cs_cue,cs_target,type,cue_type,target_type,cs_cosine
zakázaný,zakázat,related,word,word,0.576420914367581
základna,ústředí,related,word,word,0.304474860207282
zákon,ústava,related,word,word,0.50156456755568
záliv,přístav,related,word,word,0.593265070985489
žaludek,hruď,related,word,word,0.366987405753671
zamčený,zavřený,related,word,word,0.729914112587416
západ,východní,related,word,word,0.561086637750255
západ slunce,svítání,related,word,word,
zásnuby,svatba,related,word,word,0.507821347841225
zapomenout,zapamatovat si,related,word,word,
září,říjen,related,word,word,0.386622021954618
vybavení,vybavit,related,word,word,0.317554619434092
žárlivý,rozzlobený,related,word,word,0.53020310477729
záruka,slib,related,word,word,0.335159507434721
zasloužit si,hodný,related,word,word,
nálož,náklad,related,word,word,0.345873065156284
závěr,předpoklad,related,word,word,0.465992481480929
pověšení,poprava,related,word,word,0.448552218694969
nahrát,záznam,related,word,word,0.302106656973014
zbytečný,bezcenný,related,word,word,0.524685360636061
odpočívat,spát,related,word,word,0.536599803802331
zdraví,vzdělání,related,word,word,0.300414012122944
zdravý,normální,related,word,word,0.376340631819446
zdřímnutí,procházka,related,word,word,0.365512476346336
zdroj,informátor,related,word,word,0.470214286540858
zdvořilý,přátelský,related,word,word,0.589499065296736
vpravo,vlevo,related,word,word,0.906863282280944
železo,kov,related,word,word,0.528133321675288
zelený,oranžový,related,word,word,0.68174235070752
země,národ,related,word,word,0.39945153700055
zemědělec,pracovník,related,word,word,0.466008418240156
zemětřesení,výbuch,related,word,word,0.457081226676012
ženich,nevěsta,related,word,word,0.717533353544653
žíla,tepna,related,word,word,0.580171952243572
zisk,příjem,related,word,word,0.473411589628324
získat,vyhrát,related,word,word,0.481849856898668
žít,přežít,related,word,word,0.511079127824964
zítra,ráno,related,word,word,0.520395429704322
prostředí,atmosféra,related,word,word,0.40596491533728
zjevení,vize,related,word,word,0.412943105702902
prohlídka,inspekce,related,word,word,0.589521168080571
zkušenost,znalost,related,word,word,0.542771206701165
zlatý,stříbrný,related,word,word,0.649560480093102
zlo,krutost,related,word,word,0.384589100105965
zloděj,zločinec,related,word,word,0.623230047597438
změna,zlepšení,related,word,word,0.343698367766767
značka,produkt,related,word,word,0.279643843318262
znepokojení,obava,related,word,word,0.433109519145047
žoldák,asasín,related,word,word,0.355294175730972
zombie,upír,related,word,word,0.476556283420177
zoo,cirkus,related,word,word,0.404416176243524
zotavit se,vyléčit,related,word,word,
zpěvák,hudebník,related,word,word,0.682135596594143
zpravit,informovat,related,word,word,0.367501905583197
zpravodaj,novinář,related,word,word,0.546583417754858
žralok,ryba,related,word,word,0.596447423977024
ztroskotanec,vítěz,related,word,word,0.367926831883154
žurnalistika,politika,related,word,word,0.515417259097242
rovnováha,harmonie,related,word,word,0.457830091012407
zvážit,přemýšlet,related,word,word,0.436599685456677
zvýšit,snížit,related,word,word,0.701475445246664
kapacita,prase,unrelated,word,word,0.115589449706007
směšný,ucho,unrelated,word,word,0.0590722686042389
incident,obejmout,unrelated,word,word,0.032957421968317
stížnost,město,unrelated,word,word,0.0317043488572104
hormon,komunista,unrelated,word,word,0.10430528636033
firma,hadice,unrelated,word,word,0.147694399645311
poplach,umýt,unrelated,word,word,0.0604515166214797
bravo,bezpečnost,unrelated,word,word,0.119664932582017
bestie,nos,unrelated,word,word,0.0852149901667933
včela,odstranit,unrelated,word,word,0.0743290062031756
dům,operace,unrelated,word,word,0.058424194066906
povolení,cynický,unrelated,word,word,0.0863285515583684
ruka,žert,unrelated,word,word,0.127460259676988
žíla,zřídka,unrelated,word,word,0.143066160310452
vyslýchat,ďábel,unrelated,word,word,0.00339519553810281
žoldák,písek,unrelated,word,word,0.141862243586764
prostředí,milovat,unrelated,word,word,0.105506333520119
zkusit,hrad,unrelated,word,word,0.0705348033663876
pozornost,podzim,unrelated,word,word,0.0373516189271132
krabice,kardinál,unrelated,word,word,0.0408901428483034
pluk,sedět,unrelated,word,word,0.0855319345987924
aréna,učit,unrelated,word,word,0.100828644101439
vlasy,watson,unrelated,word,word,0.0763263947258794
pokoj,přátelství,unrelated,word,word,0.00380611914082322
pít,štika,unrelated,word,word,0.104066659278745
milión,kachna,unrelated,word,word,0.106294353078123
bílý,řidič,unrelated,word,word,0.121240400702382
ušlechtilý,vlevo,unrelated,word,word,0.077406769772548
roztříštit,ženský,unrelated,word,word,0.121393107605058
ženich,věta,unrelated,word,word,0.101253339145017
poškrábat,oponent,unrelated,word,word,0.0526102144377722
průmysl,alfa,unrelated,word,word,0.0428650695095963
med,vypočítat,unrelated,word,word,0.0669093977895748
prodejce,radost,unrelated,word,word,0.0933354921501618
počet,kulka,unrelated,word,word,0.110705503237731
nádor,autorita,unrelated,word,word,0.146694415575607
brýle,slyšet,unrelated,word,word,0.132522944081814
velitel,infekce,unrelated,word,word,0.0780312430010201
vozidlo,víra,unrelated,word,word,0.0813805284315649
podlaha,řecký,unrelated,word,word,0.0386432856844783
mafie,vejce,unrelated,word,word,0.143510150562588
důvod,elektřina,unrelated,word,word,0.0541191082218353
hrob,doprovázet,unrelated,word,word,0.0971026122842151
míle,výkupné,unrelated,word,word,0.0595100533896186
rituál,maminka,unrelated,word,word,0.0622615177842241
následovat,cirkus,unrelated,word,word,0.130298766453178
chléb,vyhrát,unrelated,word,word,0.139130195424725
žaludek,poker,unrelated,word,word,0.0540162348370412
cukr,vůbec,unrelated,word,word,0.126285031473119
katolík,naznačit,unrelated,word,word,0.138153186070515
kouř,možnost,unrelated,word,word,0.0608275601351939
zoo,postoj,unrelated,word,word,0.0636982964001721
hlavní město,romantický,unrelated,word,word,0
kultura,nervózní,unrelated,word,word,0.0822411024698099
nemocnice,rozvoj,unrelated,word,word,0.093388151567179
otevřít,tým,unrelated,word,word,0.102617480148982
zamčený,dělostřelectvo,unrelated,word,word,0.124295727220935
kabinet,pokračovat,unrelated,word,word,0.134172672155159
hrnek,bezcenný,unrelated,word,word,0.117335027570284
rum,daleko,unrelated,word,word,0.101690955031151
horký,postup,unrelated,word,word,0.0661704758715841
navigace,království,unrelated,word,word,0.11064725109901
rasista,výkon,unrelated,word,word,0.10985151315138
trpělivost,hiv,unrelated,word,word,0.0899638243830446
celkový,servírka,unrelated,word,word,0.0877085870954787
absolutně,okrást,unrelated,word,word,0.101146167647047
software,hladový,unrelated,word,word,0.0755093024514083
úcta,profesor,unrelated,word,word,0.118590123334462
vždy,počítač,unrelated,word,word,0.141038880669226
zákon,dětství,unrelated,word,word,-0.0420875749658979
obsahovat,prezident,unrelated,word,word,0.134945482852689
postupovat,majonéza,unrelated,word,word,0.13068742814172
opačný,lahodné,unrelated,word,word,0.0870547677865738
sirotčinec,příčina,unrelated,word,word,0.115827556075142
originál,slib,unrelated,word,word,0.0804164079739374
špatně,událost,unrelated,word,word,0.126464878145917
baron,agentura,unrelated,word,word,0.104898505823817
netvor,kaple,unrelated,word,word,0.0825762410147649
zlo,snídaně,unrelated,word,word,0.0294578462729048
tanečník,biologie,unrelated,word,word,0.102730629870061
riziko,mokrý,unrelated,word,word,0.0677283296352856
riskantní,moč,unrelated,word,word,0.110176719525256
století,protichůdný,unrelated,word,word,0.129194638363797
vítězství,nůž,unrelated,word,word,0.0596099535580481
chránit,struktura,unrelated,word,word,0.113500640989316
koncept,pas,unrelated,word,word,0.131973344053973
svoboda,hluchý,unrelated,word,word,0.139136771666097
protest,přežít,unrelated,word,word,0.130689645701256
příchod,gorila,unrelated,word,word,0.0329474497333664
agent,západní,unrelated,word,word,0.0764034957115673
podobný,syn,unrelated,word,word,0.0979251734559007
rezignace,obnovit,unrelated,word,word,0.046108452824174
konflikt,plukovník,unrelated,word,word,0.143340162978653
jednotka,manželství,unrelated,word,word,0.0737626769769006
libra,idiot,unrelated,word,word,0.129636552069706
okno,mravenec,unrelated,word,word,0.0894349426936845
malovat,adrenalin,unrelated,word,word,0.0431825255907138
noční můra,parfém,unrelated,word,word,0
sukně,vyšetřovatel,unrelated,word,word,0.00184571079698748
cestující,zvuk,unrelated,word,word,0.148628934196006
alkohol,šťastný,unrelated,word,word,0.0647084632875282
střízlivý,široký,unrelated,word,word,0.126783544843006
husa,těžce,unrelated,word,word,0.0742731874606086
odpovědnost,syndrom,unrelated,word,word,0.093811777517083
střelný prach,utečenec,unrelated,word,word,0
oko,odpověď,unrelated,word,word,0.0794933947237075
zdraví,platnost,unrelated,word,word,0.113657276347501
vliv,trojnásobný,unrelated,word,word,0.100560416176232
užitečný,lady,unrelated,word,word,0.116280410452445
kampaň,koňak,unrelated,word,word,0.0931682276953122
magnetický,poroučet,unrelated,word,word,0.110143522751601
módní,záznam,unrelated,word,word,-0.00558119852582591
faktor,juniorní,unrelated,word,word,0
duševní,bar,unrelated,word,word,0.0530352593449174
nádrž,uvěznění,unrelated,word,word,0.14571823212291
výstup,lhář,unrelated,word,word,0.0651403841989958
mor,spát,unrelated,word,word,0.0567864078812159
vybavení,upřímný,unrelated,word,word,0.00368221476692898
pozorování,trůn,unrelated,word,word,0.0412076753025638
konečně,člun,unrelated,word,word,0.124637048805065
podcenit,mikrofon,unrelated,word,word,0.0897964448876711
hrdý,heroin,unrelated,word,word,0.0155892693650188
odpustit,demonstrace,unrelated,word,word,0.104200762897805
pověšení,podnikatel,unrelated,word,word,0.00795188312754369
galerie,lék,unrelated,word,word,0.0545338871166048
čekat,psychologický,unrelated,word,word,0.0701048802646236
naděje,modrý,unrelated,word,word,0.0614654247665949
loajální,jaderný,unrelated,word,word,0.0901173838612416
realita,strom,unrelated,word,word,0.112451809287364
pomalý,vláda,unrelated,word,word,0.112943237127789
kolonie,gay,unrelated,word,word,0.037694160667802
dojem,kov,unrelated,word,word,0.0419380911885165
stěna,manipulovat,unrelated,word,word,0.14996085586769
karneval,hodný,unrelated,word,word,0.136609710155424
finančně,kvalita,unrelated,word,word,0.10716814589861
hledat,máslo,unrelated,word,word,0.0716396827948642
dna,skandál,unrelated,word,word,0.0131200790780792
žralok,heslo,unrelated,word,word,0.0874375845400928
lov,kolaps,unrelated,word,word,0.0182686354499633
tekutý,byt,unrelated,word,word,0.114782497112638
přistát,styl,unrelated,word,word,0.0743346962966235
věčný,převést,unrelated,word,word,0.132180636637822
spiknutí,špatný,unrelated,word,word,0.0670748722405168
svobodně,tam,unrelated,word,word,0.141376877550348
angličtina,snížit,unrelated,word,word,0.136361947382668
jablko,nahý,unrelated,word,word,0.0820081134358669
měkký,vítěz,unrelated,word,word,0.0603895448497237
chlapci,monitor,unrelated,word,word,0.0780292171027245
národní,kopie,unrelated,word,word,0.0617727715335074
vstoupit,krk,unrelated,word,word,0.0706834036611572
diplom,zdědit,unrelated,word,word,0.14599203997644
kilo,intimní,unrelated,word,word,0.0137379387375317
vynikající,kapela,unrelated,word,word,0.117985076656219
nevinný,vyjádřit,unrelated,word,word,0.129180903029532
puška,dopis,unrelated,word,word,0.0911081092592907
iluze,dodatečný,unrelated,word,word,0.117833893564834
sendvič,použití,unrelated,word,word,0.0615905088438052
tyč,potkat,unrelated,word,word,0.0115880852419329
tkanina,úterý,unrelated,word,word,0.114238246182251
spokojený,časovač,unrelated,word,word,0.0944506377649492
záliv,půjčka,unrelated,word,word,0.0612535302779144
helma,ovoce,unrelated,word,word,0.0444805881920139
základna,elektrický,unrelated,word,word,0.0671713368903181
nízký,doznat,unrelated,word,word,0.0380164511326299
veličenstvo,palec,unrelated,word,word,0.0698299303668499
silnice,čin,unrelated,word,word,0.0647326453651232
prasklina,psychologie,unrelated,word,word,0.10512133471736
vánoce,zbrojnice,unrelated,word,word,0.0999207128851605
děsný,vůdce,unrelated,word,word,0.0806195432235589
čerpadlo,pomoct,unrelated,word,word,0.113222903593927
uhlík,přístřeší,unrelated,word,word,0.144369924900348
zisk,psaní,unrelated,word,word,0.115060816639246
data,absurdní,unrelated,word,word,0.12458645383547
dávka,dokument,unrelated,word,word,0.0777113425185945
prohlídka,vousy,unrelated,word,word,0.147588864879136
nářadí,opilý,unrelated,word,word,0.134364700663005
vzrušující,přímo,unrelated,word,word,0.138393407844618
osobní,žízeň,unrelated,word,word,0.0682962709977006
instinkt,škola,unrelated,word,word,0.108366131372375
diamant,podivný,unrelated,word,word,0.123474844121954
trik,indikovat,unrelated,word,word,0.0931081753128534
zpravodaj,plavat,unrelated,word,word,0.0644709348466144
potěšení,místní,unrelated,word,word,0.110281597972307
romeo,obsah,unrelated,word,word,0.11790940853577
červen,krutost,unrelated,word,word,0.0946157209347562
lézt,financování,unrelated,word,word,0.0856427168917092
jed,prohlášení,unrelated,word,word,0.0837514721898101
královna,soda,unrelated,word,word,0.136158928288311
královský,cena,unrelated,word,word,0.0881804925201295
lord,soukromí,unrelated,word,word,0.0724424192702207
nájemce,zadek,unrelated,word,word,0.11279884515091
první,urazit,unrelated,word,word,0.0782786763163662
úsměv,léčba,unrelated,word,word,0.102372871708501
člen,ultimátní,unrelated,word,word,0.142873939221818
seminář,maso,unrelated,word,word,0.0915907907470094
dovolit,peklo,unrelated,word,word,0.114041454693237
taxi,skromný,unrelated,word,word,0.101780819037851
drak,absence,unrelated,word,word,0.0739225267026568
ledvina,na shledanou,unrelated,word,word,0
žába,ložnice,unrelated,word,word,0.12455793409705
regionální,dort,unrelated,word,word,0.103471816060802
sám,tekutina,unrelated,word,word,0.0904402912057035
krátký,masáž,unrelated,word,word,0.127676174587426
svačina,prototyp,unrelated,word,word,0.105569661694819
robot,obvykle,unrelated,word,word,0.0542861324273418
playboy,zóna,unrelated,word,word,0.0997361235467792
chůva,důležitost,unrelated,word,word,0.0963390293908226
rozvod,nebezpečný,unrelated,word,word,0.0909066059292276
singl,pozice,unrelated,word,word,0.0930255744071067
jóga,tunel,unrelated,word,word,0.109695769834848
šerif,plánování,unrelated,word,word,0.124637004709978
jídlo,komisař,unrelated,word,word,0.097395964360261
vepřové,odchod,unrelated,word,word,0.0455104349688272
trofej,unést,unrelated,word,word,0.119689026614513
artefakt,chladný,unrelated,word,word,0.103451105673443
konference,útočník,unrelated,word,word,0.0739658433894325
železo,sobecký,unrelated,word,word,0.119543473420318
kilometr,čest,unrelated,word,word,0.108981798031696
civilní,synovec,unrelated,word,word,0.0258160637884237
odraz,honit,unrelated,word,word,0.12603385291274
omyl,sýr,unrelated,word,word,0.136193762016673
ponížit,sdělení,unrelated,word,word,0.135860506518394
obrazovka,brzy,unrelated,word,word,0.120435020419518
zítra,rodič,unrelated,word,word,0.0954779807144614
aspirin,obíhat,unrelated,word,word,0.125552846119808
tatínek,výroba,unrelated,word,word,0.146407100794759
nerv,stříbrný,unrelated,word,word,0.106071403561334
knihovna,levný,unrelated,word,word,0.120399902151525
jazz,pobřeží,unrelated,word,word,0.0952549627820565
evoluce,bratranec,unrelated,word,word,0.0429799494007395
země,popis,unrelated,word,word,0.00776608636539523
ustaraný,výška,unrelated,word,word,0.0931005516944623
půlnoc,poslat,unrelated,word,word,0.0637408193970719
zdravý,výmluva,unrelated,word,word,0.0718328824515718
atomový,údolí,unrelated,word,word,0.0992231729678199
zjevně,herec,unrelated,word,word,0.112927210209393
moře,epizoda,unrelated,word,word,0.0874695818610709
září,perspektiva,unrelated,word,word,0.133058572381365
stůl,ocel,unrelated,word,word,0.121096748408592
oficiálně,ventilace,unrelated,word,word,0.0365908632240393
uhlí,výsost,unrelated,word,word,0.0149512976618668
česnek,zavřený,unrelated,word,word,0.100153754779325
vlastnictví,nebeský,unrelated,word,word,0.128740225605582
vzduch,rodina,unrelated,word,word,0.0831783163109564
obálka,kladivo,unrelated,word,word,0.0896843823046431
utrpení,motor,unrelated,word,word,0.0656116654368778
dospělý,císař,unrelated,word,word,0.132343751002331
nadšení,strávit,unrelated,word,word,0.0967487025974513
vagina,divize,unrelated,word,word,0.118121037950482
fáze,drobný,unrelated,word,word,0.0756869807667024
obrázek,vodík,unrelated,word,word,0.127384957497582
sexuální,stát se,unrelated,word,word,0
fragment,rozzlobený,unrelated,word,word,0.00796799475952524
tableta,palivo,unrelated,word,word,0.0985848667723087
astronaut,přijít,unrelated,word,word,0.133530494153614
příprava,vězení,unrelated,word,word,0.0283316108778743
cement,svět,unrelated,word,word,0.10169858737669
předpis,hamburger,unrelated,word,word,0.0861071449246603
postavení,špinavý,unrelated,word,word,0.0447906610345204
bezradný,zápas,unrelated,word,word,0.0936451680940024
doslova,detektiv,unrelated,word,word,0.0951278496128808
kořist,škaredý,unrelated,word,word,0.0837248745187051
kancléř,technika,unrelated,word,word,0.105590897435085
tlačítko,choroba,unrelated,word,word,0.0908112275595075
sekundární,odměna,unrelated,word,word,0.0597103918605336
princezna,shromáždit,unrelated,word,word,0.111269542218239
buňka,zastavit,unrelated,word,word,0.119157834381504
rukojmí,vyrobit,unrelated,word,word,0.00182432327351707
soukromý,krysa,unrelated,word,word,0.10277446512854
Nobelova,tkáň,unrelated,word,word,0
potíž,senátor,unrelated,word,word,0.0443775276469197
továrna,ráno,unrelated,word,word,0.0598790325208827
amatér,zadní,unrelated,word,word,0.0446026716419352
zakázaný,výsledek,unrelated,word,word,0.120106120212634
záruka,ústředí,unrelated,word,word,0.147099936305165
pravidlo,hraběnka,unrelated,word,word,0.0184719175352598
model,pohotovost,unrelated,word,word,0.112633545562793
lékařský,čepice,unrelated,word,word,0.0475482750324929
tlačit,velmi,unrelated,word,word,0.0826269282817747
vložit,mrtvý,unrelated,word,word,0.0456201686361358
kvantita,jít,unrelated,word,word,0.113977988822152
polovina,odolat,unrelated,word,word,0.0719128711653056
kontaminace,investor,unrelated,word,word,0.102369290440434
hněv,pronajmout,unrelated,word,word,0.13088747686864
optimistický,obvod,unrelated,word,word,0.0725311624190946
přední,opravdu,unrelated,word,word,0.124984378336705
spravedlivý,mapa,unrelated,word,word,0.0746048235919057
zvýšit,alej,unrelated,word,word,0.142856486021381
čerstvý,zachránit,unrelated,word,word,0.0883460349395573
pobyt,fotografie,unrelated,word,word,0.0935928809884498
odpovědět,klášter,unrelated,word,word,0.0589609149022407
kariéra,zámek,unrelated,word,word,0.0505315608744071
požadavek,lev,unrelated,word,word,0.144585218889608
chudý,inspekce,unrelated,word,word,0.0619009863105108
řídit,bota,unrelated,word,word,0.0693564009041563
ukrást,sto,unrelated,word,word,0.119051907692926
krádež,někde,unrelated,word,word,0.0580532627030032
řetěz,odhodlání,unrelated,word,word,0.123670930298003
špionáž,černá,unrelated,word,word,0.0932524699787242
pirát,protokol,unrelated,word,word,0.12173275392507
důchod,potvrdit,unrelated,word,word,0.0454889121073058
ninja,kapesník,unrelated,word,word,0.112890602745
radar,oběd,unrelated,word,word,0.115469292847997
hrdina,zavřít,unrelated,word,word,0.0814742708022881
tetování,mínus,unrelated,word,word,0.0895145194702745
kalendář,princ,unrelated,word,word,0.12699296445035
třída,záření,unrelated,word,word,0.122838792937817
génius,minulost,unrelated,word,word,0.0755414562669495
bezpečný,obvinění,unrelated,word,word,0.0164913602312091
koupit,setkání,unrelated,word,word,0.0932141510751083
parlament,zmrazit,unrelated,word,word,0.0799767427570813
guvernér,bunda,unrelated,word,word,0.0937717642217115
útočiště,televize,unrelated,word,word,0.0347593657947306
churavý,desetiletí,unrelated,word,word,0.120408566844095
razítko,klinika,unrelated,word,word,0.145159685679746
zlatý,zůstat,unrelated,word,word,0.0859202034879381
jednoduše,chytit,unrelated,word,word,0.125401639138964
toaleta,spojení,unrelated,word,word,0.10273355623234
kapka,učitel,unrelated,word,word,0.0974785526378471
malý,zprávy,unrelated,word,word,0.0500733183938489
chuť,plast,unrelated,word,word,0.148783805609507
červ,svatba,unrelated,word,word,0.0670180394070501
střelec,povinnost,unrelated,word,word,0.0511928456957339
déšť,federace,unrelated,word,word,0.0559317332581541
měsíční,mýval,unrelated,word,word,0.0954633909433
jinde,zločinec,unrelated,word,word,0.118441084349965
dcera,obrovský,unrelated,word,word,0.0754491188923076
album,metr,unrelated,word,word,0.119018860312572
hluk,šéfkuchař,unrelated,word,word,0.103598060813404
lasagně,cesta,unrelated,word,word,0.0831289068112138
povídat,upír,unrelated,word,word,0.138469463948525
vzdálenost,stisknout,unrelated,word,word,0.14344845173984
federální,návnada,unrelated,word,word,0.130316549781754
plošina,nezodpovědný,unrelated,word,word,0.123665366675745
již,rajče,unrelated,word,word,0.057318795507512
zabránit,oranžový,unrelated,word,word,0.0097969720175792
pevně,emoční,unrelated,word,word,0.148096019335423
šílenství,přístav,unrelated,word,word,0.0883090520008509
nahradit,penis,unrelated,word,word,0.0378454221770003
navrhnout,gram,unrelated,word,word,0.0891187799561014
sobota,produkt,unrelated,word,word,0.0712508116639572
operovat,ulice,unrelated,word,word,0.0720754565073689
utopit,kouzelník,unrelated,word,word,0.111363898606654
potenciál,paže,unrelated,word,word,0.0840177355936244
metoda,časopis,unrelated,word,word,0.0117541767644333
volání,externí,unrelated,word,word,0.127126337459004
rádio,králičí,unrelated,word,word,0.135268620906669
teplo,korporace,unrelated,word,word,0.0968241721378396
koruna,týdně,unrelated,word,word,0.119208818042725
blesk,poskytnout,unrelated,word,word,0.0273910875005136
název,funkční,unrelated,word,word,0.142338302817584
panenka,inteligentní,unrelated,word,word,0.106734122873621
vyzvědač,poledne,unrelated,word,word,0.146446553845322
přemístit,doutník,unrelated,word,word,0.0711107514424273
senzor,krize,unrelated,word,word,0.0917038964437306
keř,test,unrelated,word,word,0.125503204562006
dvojnásobek,unikátní,unrelated,word,word,0.12866984344488
kuře,radit,unrelated,word,word,0.11894178871301
hlemýžď,útok,unrelated,word,word,0.116453708325301
nechutný,tlak,unrelated,word,word,0.148450717315069
najednou,boston,unrelated,word,word,0.135603213704901
nepohodlný,chlapec,unrelated,word,word,0.111243092746145
krev,dospívající,unrelated,word,word,0.116555927745902
obyčejný,podpis,unrelated,word,word,0.115783577843528
poušť,financování,unrelated,word,word,0.0761210088296776
zombie,nedávno,unrelated,word,word,0.122630303800654
skořice,prapor,unrelated,word,word,0.106498223764232
ventil,organizovat,unrelated,word,word,0.0800598966008285
extrémně,důkaz,unrelated,word,word,0.0954774803421947
whisky,skákat,unrelated,word,word,0.0542412192677124
kandidát,příjemný,unrelated,word,word,0.140584966194597
kapsa,mimozemšťan,unrelated,word,word,0.114686945982888
voják,aktivita,unrelated,word,word,0.121746046250745
čistý,erekce,unrelated,word,word,0.101428419042521
sherlock,bitva,unrelated,word,word,0.108592117158101
pistole,globální,unrelated,word,word,0.0814304885921079
denně,dar,unrelated,word,word,0.0702361786157161
jižní,nevěsta,unrelated,word,word,0.120593088188898
roh,plamen,unrelated,word,word,0.115902653480486
úzký,navždy,unrelated,word,word,0.0800485359420303
kletba,náklad,unrelated,word,word,0.124056168717227
medvěd,deprese,unrelated,word,word,0.144975800125223
zaměstnání,sval,unrelated,word,word,0.0510028113345128
zbytečný,společenství,unrelated,word,word,0.0712681836973823
zasloužit si,specialista,unrelated,word,word,0
číst,kancelář,unrelated,word,word,0.119357441542248
básník,díra,unrelated,word,word,0.148191820150619
červené,ředitel,unrelated,word,word,0.0622346485950322
odejít,šaty,unrelated,word,word,0.148691930586764
páteřní,zapůsobit,unrelated,word,word,0.0401205363102697
odvléci,chyba,unrelated,word,word,0.110066429314451
přítomnost,špagety,unrelated,word,word,0.0505860665416617
terminál,dát,unrelated,word,word,0.116970360779601
motiv,květina,unrelated,word,word,0.108255674693812
ufo,dřez,unrelated,word,word,0.0169929780476976
impozantní,vražda,unrelated,word,word,0.112322904855919
pitva,silně,unrelated,word,word,0.0979849404015769
arzenál,absolvovat,unrelated,word,word,0.0564205135657135
přírodní,skupina,unrelated,word,word,0.103715891499
sekretářka,umělý,unrelated,word,word,0.0868877181168105
názor,mrtvola,unrelated,word,word,0.118644752912538
jurisdikce,cibule,unrelated,word,word,0.114445025550716
jaro,vidlička,unrelated,word,word,0.10510836573348
past,lidé,unrelated,word,word,0.112312286347595
stadión,rozbít,unrelated,word,word,0.106367200073994
gauč,zářivý,unrelated,word,word,0.103491657366926
výročí,explozivní,unrelated,word,word,0.126242321154221
bible,humr,unrelated,word,word,0.120903892300868
sklenka,hloupý,unrelated,word,word,0.10850180001324
věž,přijmout,unrelated,word,word,0.0554621032646657
ráže,motel,unrelated,word,word,0.136110120345934
prdel,oficiální,unrelated,word,word,0.105643238198542
tichý,mouka,unrelated,word,word,0.0933997156455595
anarchie,skříň,unrelated,word,word,0.107234578557784
palác,video,unrelated,word,word,0.111331048687807
lapnout,věda,unrelated,word,word,0.122948050525003
kostel,cena,unrelated,word,word,0.134852550634732
přitažlivý,babička,unrelated,word,word,0.091045170107765
drahý,novinář,unrelated,word,word,0.0746813506982722
polykat,včera,unrelated,word,word,0.125439330963337
mládí,tepna,unrelated,word,word,0.142865976318364
typický,tři,unrelated,word,word,0.081974466650551
pláž,mechanický,unrelated,word,word,0.0401332000738562
pád,hudebník,unrelated,word,word,0.130905865897539
kontakt,marketing,unrelated,word,word,0.113827013102718
teplý,budova,unrelated,word,word,0.0559430342120137
příbuzný,bolest,unrelated,word,word,0.0574922597579316
paranoidní,služka,unrelated,word,word,0.131249272861354
zloděj,oddanost,unrelated,word,word,0.0582307226903881
situace,prodej,unrelated,word,word,0.111551682840746
roztržení,náklaďák,unrelated,word,word,0.134352488112717
sladký,příjem,unrelated,word,word,0.140656592092846
strýc,sledovat,unrelated,word,word,0.128437633555534
stín,studie,unrelated,word,word,0.072574154033652
západ slunce,poděkovat,unrelated,word,word,0
naživu,centimetr,unrelated,word,word,0.114860280437011
chutný,otisk prstu,unrelated,word,word,0
stres,kočka,unrelated,word,word,0.107547566582243
tvorba,bránit,unrelated,word,word,0.0860044738660794
anděl,baseball,unrelated,word,word,0.0107257213310796
hrdost,krocan,unrelated,word,word,0.0715239555830768
konverzace,les,unrelated,word,word,0.0326443660578743
chřipka,volby,unrelated,word,word,0.115521802672395
soubor,nečekaně,unrelated,word,word,0.134348911204082
pozdě,vlk,unrelated,word,word,0.083692901873566
nemožný,univerzita,unrelated,word,word,0.102120213933485
krmit,žlutá,unrelated,word,word,0.137813898091468
proud,halucinace,unrelated,word,word,0.125505212372881
série,jezero,unrelated,word,word,0.11111205045394
uprchnout,dlouhý,unrelated,word,word,0.103044722169527
noc,symbol,unrelated,word,word,0.0659167454805242
jev,zemřít,unrelated,word,word,0.115694160297651
procvičovat,přání,unrelated,word,word,0.0924350298817846
zemětřesení,nechutný,unrelated,word,word,0.121014142553596
vnitřní,džus,unrelated,word,word,0.0993716129973311
úspěch,stanice,unrelated,word,word,0.131387669723688
klan,web,unrelated,word,word,0.147727689770754
báječné,letiště,unrelated,word,word,0.143414908846913
smrtící,náboženství,unrelated,word,word,0.0625345176236993
kašel,informace,unrelated,word,word,0.073161266946669
konec,zmizení,unrelated,word,word,0.093425873598021
oheň,rozumět,unrelated,word,word,0.0582170849894143
přistání,odpadky,unrelated,word,word,0.0800928884246108
mrak,peníze,unrelated,word,word,0.130940555368384
dva,rychlý,unrelated,word,word,0.145984015894509
zdvořilý,uniknout,unrelated,word,word,0.0884536718466567
vztah,ropa,unrelated,word,word,0.084018337860324
prázdný,tenis,unrelated,word,word,0.124163391667408
provozní,nádherná,unrelated,word,word,0.135955944109183
rozpočet,fráze,unrelated,word,word,0.054062864219719
vesmír,pískat,unrelated,word,word,0.0807652913937569
nabídnout,nehoda,unrelated,word,word,0.0967826751921766
slavný,správně,unrelated,word,word,0.149980436073318
blahopřát,zvíře,unrelated,word,word,0.0653809665248662
gang,fantazie,unrelated,word,word,0.108350977630939
klavír,kartel,unrelated,word,word,0.0613719028373466
nastat,táta,unrelated,word,word,0.0714677036014404
rovnováha,obchodník,unrelated,word,word,0.148774760991909
zotavit se,legenda,unrelated,word,word,0
těžký,vakcína,unrelated,word,word,0.0718208344147546
aids,restaurace,unrelated,word,word,0.10444859325506
privilegium,bouřka,unrelated,word,word,0.0300461121320117
osel,cigareta,unrelated,word,word,0.108368934517296
