"cs_cue","cs_target","cs_fake_target","cs_fake_cue","en_cue","en_target"
"pitva","analýza","techlýza","vatva","autopsy","analysis"
"plán","strategie","chejtegie","plzů","plan","strategy"
"planeta","obíhat","lodhat","stihneta","planet","orbit"
"playboy","časopis","časolích","playghan","playboy","magazine"
"pláž","pobřeží","poslanží","plag","beach","coast"
"plocha","zóna","hilna","tercha","area","zone"
"plošina","stanice","uvolnice","rychšina","platform","station"
"pluk","prapor","pramut","plšt","regiment","battalion"
"plus","mínus","mícii","plré","plus","minus"
"plyn","palivo","paligent","plív","gas","fuel"
"pobyt","zůstat","zůznal","pokok","stay","remain"
"počet","vypočítat","vypočíských","poříš","count","calculate"
"počet obyvatel","lidé","libur","počet obyvdonésie","population","people"
"pochybovat","tušit","tulek","poneslibovat","doubt","suspect"
"počkejte","očekávat","troukávat","pobližte","wait","expect"
"podcenění","přehánět","přehálích","strukcenění","underestimate","exaggerate"
"podlaha","koberec","kobenést","stihlaha","floor","carpet"
"podobný","odlišný","odvěstný","pokrásný","similar","different"
"podpěra, podpora","pomoc","podlu","podpěra, podseilles","support","assistance"
"podzim","kolaps","konagi","poddeí","fall","collapse"
"pohár","káva","banva","pokls","cup","coffee"
"pohled","perspektivní","pergislativní","potrem","view","perspective"
"pohostinství","vděčnost","vztanost","pohostinpadlo","hospitality","gratitude"
"pojem","definice","deprázdnice","pokři","concept","definition"
"poklad","bohatství","bohatších","poling","treasure","wealth"
"pokoj, místnost","ložnice","rentnice","pokoj, míaumont","room","bedroom"
"pokořit","skromný","stražný","pokobych","humble","modest"
"pokračovat","pokračovat","poslechčovat","poslechčovat","proceed","continue"
"pokrok","rozvoj","rozdea","poznak","progress","development"
"pokrýt","skrýt","skůtt","potřít","cover","hide"
"polévka","salát","sabav","posistka","soup","salad"
"politika","politik","polijdou","pozhroutika","policy","politician"
"poloměr","obvod","obříz","polonell","radius","perimeter"
"polovina","čtvrťák","čtvržeš","poloochutna","half","quarter"
"polykat","žvýkat","zděkat","polyžích","swallow","chew"
"pomalu","rychle","sklele","posvětlu","slowly","quickly"
"pomalý","rychle","sklele","pomajoné","slow","fast"
"pomoc","pomoc","podlu","podův","help","assist"
"pomsta","spravedlnost","vlastvedlnost","posmím","revenge","justice"
"pondělí","úterý","odorý","vztadělí","monday","tuesday"
"ponorka","loď","ijď","posvíčka","submarine","boat"
"popel","prach","prnáh","pofon","ash","dust"
"popsat","vyjádřit","vyjádtrack","pohnut","describe","express"
"poptávka","žádost","žácent","poaranka","demand","request"
"porno","film","fiaj","tróno","porn","movie"
"portál","brána","kurna","porčou","portal","gate"
"poškrábat","pohmoždit","povstadit","poznatbat","scratch","bruise"
"poslouchat","slyšet","delšet","poslouským","listen","hear"
"pošta","fax","rix","tučta","mail","fax"
"postavení","pozice","postřece","pobroskvení","status","position"
"potenciál","talent","takrýt","pozůstaciál","potential","talent"
"potěšení","radost","rabert","poneslyšení","pleasure","joy"
"potrestat","zatknout","zachelle","pošoustat","punish","arrest"
"potvrzení","potvrdit","poproudit","poslechzení","confirmation","confirm"
"poušť","údolí","gemlí","poøáť","desert","valley"
"povolení","schválení","uzdralení","poslechlení","permission","approval"
"pozdě","brzy","chózy","zdůdě","late","early"
"pozitivní","negativní","negavlastní","pozivlastní","positive","negative"
"pozornost","přitahovat","vzkvétahovat","pozorství","attention","attract"
"pozorování","hodnocení","warrenocení","pochesterování","observation","evaluation"
"práce","práce","fekce","vačce","job","work"
"prasknout","explodovat","exlabradovat","lousknout","burst","explode"
"pravděpodobnost","pravděpodobně","zvláštděpodobně","zvláštděpodobnost","probability","likely"
"pravidlo","protokol","protolémě","pravicích","rule","protocol"
"právník","žalobce","žacházce","hrozník","lawyer","prosecutor"
"praxe","cvičení","shlečení","enixe","practice","exercise"
"prázdný","plný","stoný","opravný","empty","full"
"přední","zadní","utoní","vladní","front","rear"
"představivost","tvořivost","tvořinech","představideích","imagination","creativity"
"překážka","výzva","výnud","převznika","obstacle","challenge"
"překvapení","zklamání","chanmání","přeochlupení","surprise","disappointment"
"přerušit","rušit","rulek","přeruském","interrupt","disturb"
"přezdívka","příjmení","přífekční","přetránka","nickname","surname"
"příchod","odchod","odland","příland","arrival","departure"
"přijet","přijít","přidii","připím","arrive","come"
"příkaz","objednat","objedlých","příživ","command","order"
"přímo","přímo","krémo","atomo","direct","directly"
"princezna","princ","proäc","uspocezna","princess","prince"
"přinést","poslat","posklá","připlet","bring","send"
"přípitek","slanina","uvolnina","přípinách","toast","bacon"
"příprava","plánování","warrenování","přístupva","preparation","planning"
"připravený","připravit","připratech","přitectivený","ready","prepare"
"připustit","přiznej se","připrav se","přistoutit","admit","confess"
"přírodní","umělý","mlálý","přístupní","natural","artificial"
"přirozeně","obvykle","obtelle","fosterozeně","naturally","generally"
"přísahat","přísaha","louisaha","přísaským","swear","oath"
"přistání","let","tít","přidnešní","landing","flight"
"přistát","létat","lédej","přispíš","land","fly"
"přitažlivý","okouzlující","usvědlující","přislechlivý","attractive","charming"
"přítomnost","absence","abkrytce","přítomstvo","presence","absence"
"privilegium","čest","rost","hajzlovilegium","privilege","honor"
"problémy","problém","prokham","problanc","trouble","problem"
"proces","postup","poford","prodiu","process","procedure"
"prodejce","kupující","kupugsleycí","prootázce","seller","buyer"
"prodejna","obchod","obland","probrowna","shop","store"
"profil","popis","pobre","prožák","profile","description"
"prohlídka","koncert","konstro","proznámka","tour","concert"
"projekt","program","prokris","prokrýt","project","program"
"pronájem","pronajmout si","prométheus si","pronáších","hire","rent"
"prostě","nedávno","nealleno","bramtě","just","recently"
"protein","vitamín","vitaváhu","protrou","protein","vitamin"
"protest","demonstrace","demonhloubce","protklo","protest","demonstration"
"protijed","vakcína","úklicína","protitkli","antidote","vaccine"
"proud","elektřina","sestřična","prdad","current","electricity"
"provozní","funkční","fullení","prograční","operational","functional"
"prozkoumat","vyšetřovat","vyprázdřovat","prohlédmat","examine","investigate"
"prst","palec","panět","lést","finger","thumb"
"prsten","náhrdelník","náhrvštěvník","prsnáš","ring","necklace"
"průjem","nevolnost","nevolbách","nejjem","diarrhea","nausea"
"průmysl","doušek","hlášek","dharmysl","industry","business"
"půlnoc","poledne","pofoukne","půlzvy","midnight","noon"
"puls","tlak","žrak","puým","pulse","pressure"
"pusa","obejmout","slijmout","pucí","kiss","hug"
"puška","pistole","hříštole","šička","rifle","gun"
"pyramida","struktura","obrantura","pyraalfreda","pyramid","structure"
"rada","radit, podat zprávu","radit, podat zznatky","hlída","advice","advise"
"radar","družice","staržice","ratii","radar","satellite"
"rádio","televize","televiathan","rámeš","radio","television"
"ráj","peklo","pereo","díj","paradise","hell"
"raketa","střela","buchla","rasparta","rocket","missile"
"rakev","pohřeb","poplex","ralář","coffin","funeral"
"rameno","koleno","střeleno","vzpomeno","shoulder","knee"
"rána","zranění","sklenění","tčena","wound","injury"
"rasista","komunistický","minghamunistický","rašachta","racist","communist"
"ráže","kulka","manka","rátit","caliber","bullet"
"razítko","podpis","podsey","rabouřko","stamp","signature"
"realita","fantazie","fantashou","reavzkvéta","reality","fantasy"
"realizovat","rozumět","rozuspal","gallagherealizovat","realize","understand"
"recepce","strana","svalna","retrakce","reception","party"
"regionální","místní","ocitní","regiostrukční","regional","local"
"řeka","jezero","chlazero","rážka","river","lake"
"reklamní","marketing","markeisha","revděční","advertising","marketing"
"relativní","bratranec","bratraband","relarochení","relative","cousin"
"ret","tvář","zrář","íst","lip","cheek"
"řetěz","lano","latel","řeviň","chain","rope"
"rezavý","zaprášený","zastřelšený","rezastav","rusty","dusty"
"rezignace","propuštění","pronajmetění","reodrovnace","resignation","dismissal"
"říci","sdělit","mullit","jemci","say","tell"
"řídit","jízda","rolda","říček","drive","ride"
"římský","řecký","hydký","rátský","roman","greek"
"riskantní","nebezpečný","nebezstranný","risspodní","risky","dangerous"
"rituál","obřad","obruš","rituchem","ritual","ceremony"
"řízení","manipulovat","manipulothbrok","franzení","control","manipulate"
"řízení","správní","stranní","franzení","management","administrative"
"riziko","nebezpečí","nešťastpečí","richarko","risk","danger"
"robot","stroj","důroj","ronar","robot","machine"
"rodeo","kovboj","ucíboj","rorah","rodeo","cowboy"
"roh","alej","alhů","ush","corner","alley"
"roh","pískat","tlakat","ush","horn","whistle"
"romeo","juliet","julichvá","rokua","romeo","juliet"
"rostlina","květ","fóět","okralina","plant","flower"
"rozbít","přestávka","přeaplika","rozčák","smash","break"
"rozbuška","časovač","časobách","rozchylka","detonator","timer"
"rozpočet","financování","firewallucování","rozpostří","budget","funding"
"roztržení","střih","stelh","magistržení","tear","cut"
"rozvod","manželství","manželkých","rozleh","divorce","marriage"
"rtěnka","parfém","parfua","routka","lipstick","perfume"
"ruka","paže","patit","nička","hand","arm"
"rukojmí","vězeň","věbus","ruskejm","hostage","prisoner"
"rum","koňak","koild","ejm","rum","cognac"
"rytmus","styl","rryl","z nmus","rhythm","style"
"sám","osamělý","vzdámělý","orm","alone","lonely"
"šance","možnost","ukanost","hesce","chance","possibility"
"sát","lízat","líbán","uct","suck","lick"
"sbírat","shromáždit","krismáždit","zdorat","collect","gather"
"sebevražda","vražda","krátda","sebesekunda","suicide","murder"
"šek","ověřovat","enerřovat","adk","check","verify"
"sekce","odstavec","odstajdou","vozce","section","paragraph"
"sekundární","hlavní","vlítní","střetdární","secondary","primary"
"seminář","přednáška","chutnáška","semisích","seminar","lecture"
"sendvič","hamburger","vztaburger","selývič","sandwich","hamburger"
"senior","juniorský","juniorpheus","seninách","senior","junior"
"senzační","okázalý","chruzalý","čtvrzační","sensational","spectacular"
"senzor","vysílač","vysíctou","senple","sensor","transmitter"
"série","epizoda","trouzoda","séděl","series","episode"
"šerif","starosta","stanhatta","šetkl","sheriff","mayor"
"servis","údržba","odolba","serrův","service","maintenance"
"seržant","poručík","porustat","serhřát","sergeant","lieutenant"
"sestra","bratr","nadtr","kusara","sister","brother"
"sexuální","fyzický","fykrátký","setechiální","sexual","physical"
"sherlock","watson","zhuson","atenlock","sherlock","watson"
"síla","platnost","rentnost","dvala","strength","force"
"šílenství","hloupost","hloupoté","šílentýnu","madness","stupidity"
"silnice","dálnice","chronice","opranice","road","highway"
"silný","slabý","harbý","dobný","strong","weak"
"singl","ženatý","ženadech","pytgl","single","married"
"sirotčinec","klášter","kryster","siusvědčinec","orphanage","convent"
"síť","systém","emotém","onť","network","system"
"situace","krize","tanze","chlastuace","situation","crisis"
"skála","kámen","kážíš","rvala","rock","stone"
"sklenka","láhev","láxid","středka","glass","bottle"
"skořice","vanilka","vapouška","ušetřice","cinnamon","vanilla"
"skříň","skříň","zoříň","skrzň","cabinet","closet"
"skutečný","nemovitý","nemochřestý","chlatečný","TRUE","real"
"slavný","sláva","úrova","branný","glorious","glory"
"slepý","hluchý","hlused","krapý","blind","deaf"
"slovník","fráze","míčze","steiník","dictionary","phrase"
"slovo","věta","dicta","zbavo","word","sentence"
"sluch","zkušební verze","zkušební vekings","louch","hearing","trial"
"slušný","upřímný","urychný","skrýný","decent","honest"
"směřovat","indikovat","indikolosál","chlařovat","point","indicate"
"směšný","absurdní","abnentní","stojný","ridiculous","absurd"
"smlouva","dohoda","doovláda","sekunva","contract","agreement"
"smrt","zmizení","uspození","birt","death","disappearance"
"smrtící","fatální","falýchní","zjistící","deadly","fatal"
"smutný","tragický","tracyhoký","ušetný","sad","tragic"
"snaž se","pokus","posha","snažnax","try","attempt"
"sobota","neděle","nepředle","sobolest","Saturday","Sunday"
"software","počítač","počímers","zbytware","software","computer"
"soubor","dokument","dokuvzdá","souval","file","document"
"součet","množství","ujížství","souříš","sum","amount"
"soucitný","štědrý","snadrý","soumluvný","compassionate","generous"
"soud","soudce","trukce","sopr","court","judge"
"soukromý","soukromí","souoznámí","souzřejmý","private","privacy"
"soustředit se","soustřeď se","souostro se","soustředricks","focus","concentrate"
"soutěž","mistrovství","mistrovpadlo","soumut","competition","championship"
"špatně","opravit","vštívit","zřetně","wrong","correct"
"speciální","unikátní","univrchní","vlastciální","special","unique"
"spiknutí","podvod","poddia","šťounutí","conspiracy","fraud"
"spinalý","břišní","chipní","květnalý","spinal","abdominal"
"špinavý","nechutný","nevtipný","eleknavý","dirty","disgusting"
"špionáž","sabotovat","sabotomejch","špiochol","espionage","sabotage"
"spokojený","šťastný","stranný","chvilkojený","satisfied","happy"
"společnost","korporace","transporace","společkách","company","corporation"
"společnost","společenství","společenpadla","společkách","society","community"
"spoušť","aktivovat","aktivoských","spouěm","trigger","activate"
"správa","vláda","kamda","svátva","administration","government"
"spravovat","povést se","popral se","dvojvovat","manage","succeed"
"sprcha","koupelna","kouuznána","zhucha","shower","bathroom"
"stadión","baseball","basespal","bloudión","stadium","baseball"
"starý","mladá","fardá","konrý","old","young"
"stěna","plot","izot","zigna","wall","fence"
"stín","temný","měrný","stei","shadow","dark"
"štít","zbroj","icroj","šted","shield","armor"
"stížnost","obvinění","obprázdnění","smetnost","complaint","accusation"
"století","desetiletí","deantarktiletí","kresletí","century","decade"
"stoupání","skok","skul","champání","climb","jump"
"střelec","odstřelovač","odbouchlovač","střejít","shooter","sniper"
"střelný prach","dynamit","dynašels","střelnýserakt","gunpowder","dynamite"
"stres","deprese","dethouse","důres","stress","depression"
"střízlivý","opilý","hlulý","ztroslivý","sober","drunk"
"strýc","táto","špito","stmic","uncle","dad"
"student","učitel","houtel","stuving","student","teacher"
"stůl","židle","žinae","stíň","table","chair"
"suchý","mokrý","cdčrý","suvře","dry","wet"
"sukně","šaty","visty","zvoně","skirt","dress"
"superman","bat-man","bazaan","supercyho","superman","batman"
"svačina","oběd","obsp","ukončina","snack","lunch"
"svázat","kravata","usmívata","sváliv","bind","tie"
"svědek","svědectví","svědecvost","svěchá","witness","testimony"
"svítilna","svíčka","snouka","svíhřbena","lamp","candle"
"svoboda","demokracie","demopistácie","bramboda","freedom","democracy"
"svobodně","volný, uvolnit","volný, uvdrewa","svovzácně","freely","free"
"symptom","syndrom","synzlob","kemptom","symptom","syndrome"
"tabák","cigareta","cigaplachta","tacuj","tobacco","cigarette"
"tableta","pilulka","picháska","culleta","tablet","pill"
"tábor","vesnice","chránice","tápec","camp","village"
"tady","tam","pím","tamin","here","there"
"tajemník","asistent","asisview","tastojník","secretary","assistant"
"tajný","tajemství","tajemnost","žedný","secret","mystery"
"tam","sem","ejm","pým","push","pull"
"tanečník","tanec","tavit","tastojník","dancer","dance"
"tát","zmrazit","zjiszit","éct","melt","freeze"
"tatínek","maminka","mapráska","tatížích","daddy","mum"
"taxi","limuzína","limupotkana","taráš","taxi","limousine"
"technický","mechanický","mestřednický","opranický","technical","mechanical"
"technologie","věda","věsit","vlastnologie","technology","science"
"tekutý","tekutina","tešlechtina","tekupech","liquid","fluid"
"telegram","dopis","donět","telepých","telegram","letter"
"tělo","mrtvola","dvojvola","nadlo","body","corpse"
"tenký","tlustý","kristý","plyký","thin","thick"
"teplo","teplota","zdralota","spálo","heat","temperature"
"teplý","chladný","chvilný","ocelý","warm","cool"
"terapie","léčba","hejba","teraland","therapy","treatment"
"terminál","letiště","lenosttě","uvolminál","terminal","airport"
"tetování","jizva","jinýa","christování","tattoo","scar"
"text","báseň","bánač","teuo","text","poem"
"těžký","těžce","pince","vecký","heavy","heavily"
"tichý","umlčet","rhočet","tires","silent","silence"
"tisíc","sto","dro","tibon","thousand","hundred"
"tkanina","kapesník","kažlučník","ochrnina","cloth","handkerchief"
"tma","světlo","ovlálo","owa","darkness","light"
"toaleta","dřez","dřbs","transplantoaleta","toilet","sink"
"touha","přání","svoní","jesha","desire","wish"
"továrna","výroba","výsledba","touhelna","factory","production"
"trápení","mučení","dvojčení","chlapení","torment","torture"
"trasa","cesta","nauta","přisa","route","path"
"trenér","hráč","hrfů","trerea","coach","player"
"trest","odnětí svobody","odnětí svobgustus","trnét","penalty","imprisonment"
"třetí","čtvrtý","kristý","jmutí","third","fourth"
"třída","škola","klela","ganda","class","school"
"trik","žert","žema","trno","trick","joke"
"trofej","medaile","mepukrle","trorád","trophy","medal"
"trouba","kamna","nonna","chluba","oven","stove"
"trpěliví","klienta","schoenta","trstřízliví","patient","client"
"trpělivost","soucit","souzve","trpělightma","patience","compassion"
"trpět","zemřít","zežant","trzej","suffer","die"
"tuňák","humr","husd","meňák","tuna","lobster"
"turnaj","zápas","zášlu","turřiď","tournament","match"
"tvorba","zničení","dvojčení","blouba","creation","destruction"
"tvrdohlavý","sobecký","sokrátký","vlastdohlavý","stubborn","selfish"
"tvrdý","tvrdý","spadý","snídý","tough","hard"
"typický","klasický","klaďoučký","tysladký","typical","classic"
"u","daleko","dašpičko","yb","near","far"
"ubohý","ubohý","terhý","sunhý","miserable","pathetic"
"účel","záměr","zálín","ouel","purpose","intention"
"učit se","učit","učxu","cait se","learn","teach"
"úcta","důvěra","důstaura","šita","respect","confidence"
"udělat","dělat","dězíš","brilat","make","do"
"udeřil","stávkovat","trojkovat","smiřil","hit","strike"
"ufo","mimozemšťan","mimomejšlet","mùo","ufo","alien"
"uhlí","olej","ktej","alilí","coal","oil"
"uhlík","vodík","vobij","uhdeš","carbon","hydrogen"
"ukázat","výkon","výjmu","šeszat","show","performance"
"úkol","mise","mimin","rrol","task","mission"
"ukrást","okrást","můrást","ukjíst","steal","rob"
"umělec","malíř","makdo","uměnět","artist","painter"
"umění","literatura","litechomoutura","buzní","art","literature"
"umožnit","poskytnout","pobuchnout","směšnit","enable","provide"
"unavený","hladový","středový","trouvený","tired","hungry"
"unést","unést","síést","unitt","kidnap","abduct"
"únosce","výkupné","význačné","dvorce","kidnapper","ransom"
"úplatek","vydírání","vybouchrání","arratek","bribe","blackmail"
"upoutávka","dodávka","dovýchka","křivtávka","trailer","van"
"uprchlík","uprchlík","uprchbit","uprchzel","refugee","fugitive"
"uprchnout","uniknout","quinnout","uklidnout","flee","escape"
"upustit","doušek","hlášek","spántit","drop","sip"
"urazit","urazit","ferzit","clozit","insult","offend"
"urgentní","nouzový","vzdězový","urosobní","urgent","emergency"
"urvat","chytit","kritit","urnou","grab","catch"
"ušlechtilý","statečný","starostný","uklouztilý","noble","brave"
"usměj se","smích","smažh","usmějggs","smile","laugh"
"úspěch","selhání","seuvězní","zípěch","success","failure"
"uspořádat","organizovat","organizotečnej","prinřádat","arrange","organize"
"ústa","nos","lds","ramta","mouth","nose"
"ustaraný","nervový","vražvový","ohavraný","worried","nervous"
"útočiště","přístřeší","příkdejší","špatčiště","refuge","shelter"
"utopit","plavat","znávat","zmípit","drown","swim"
"utrpení","bolest","bodley","broupení","suffering","pain"
"užitečný","efektivní","švédtivní","opratečný","useful","effective"
"úzký","široký","šislizký","mocký","narrow","wide"
"uznat","věděl","věšit","vínat","recognize","knew"
"vagina","penis","pezvu","vaadrena","vagina","penis"
"válka","bitva","bipia","rečka","war","battle"
"vánoce","dovolená","dozrychlená","vázvráce","christmas","holiday"
"varování","zpráva","znerva","millerování","warning","message"
"včela","mravenec","vzpovenec","larla","bee","ant"
"vděčný","poděkovat","poděkomiksy","vznáný","grateful","thank"
"vdova","žena","stuna","břiva","widow","woman"
"večeře","snídaně","opradaně","veopatře","dinner","breakfast"
"věčný","navždy","nasáda","utrný","eternal","forever"
"veletrh","rozumný","ropřesný","vevestr","fair","reasonable"
"velikost","délka","stýka","velinách","size","length"
"velitel","kapitán","kapipsat","velivost","commander","captain"
"velký","obrovský","obrovnost","stáký","big","huge"
"velmi","velmi","omámi","arami","extremely","very"
"velvyslanec","ministr","mizpřetr","velvybouchnec","ambassador","minister"
"ven","o","gö","aun","out","about"
"ventil","větrání","věakutní","venska","valve","ventilation"
"vepřové maso","maso","mapat","vepřové mprášit","pork","meat"
"věrnost","oddanost","oddatech","clenost","fidelity","devotion"
"věrnost","poctivost","poctinách","clenost","loyalty","honesty"
"vesmír","galaxie","galahlas","vedaír","universe","galaxy"
"většina","hlasování","morrisování","soudšina","majority","vote"
"veverka","mýval","mýtit","vetrojka","squirrel","raccoon"
"věž","budova","budoních","zež","tower","building"
"vidět","setkat","sefekt","vinem","see","meet"
"víno","šampaňské","šamskotské","nigno","wine","champagne"
"virus","infekce","intrance","vikin","virus","infection"
"vítězství","porazit","porachal","vítězvých","victory","defeat"
"vítr","bouřka","krouka","víjím","wind","storm"
"vlajka","symbol","symsví","alerka","flag","symbol"
"vlak","autobus","autoznáš","vlči","train","bus"
"vlastně","opravdu","prázddu","blouzně","actually","really"
"vlastnictví","majitel","majiných","střednictví","property","owner"
"vlasy","vousy","hessy","tursy","hair","beard"
"vliv","účinek","sžínek","oživ","influence","effect"
"vložit","dát","rýt","zřížit","insert","put"
"vnitřní","externí","exchanní","zmáčkní","internal","external"
"vnuk","synovec","synojdou","vnft","grandson","nephew"
"voják","bojovník","bodeštník","votar","soldier","warrior"
"volání","telefon","telepnul","vochodní","call","telephone"
"vole","brácho","bráler","vovat","dude","bro"
"vozidlo","auto","auješ","vozichat","vehicle","car"
"vrstva","povrch","povdáš","státva","layer","surface"
"všeobecné","plukovník","enerkovník","všeovzdušné","general","colonel"
"vstoupit","jít","irt","vstouděl","enter","go"
"vtipný","legrační","úchvatní","věstný","witty","funny"
"výběr","volba","hluba","výped","choice","option"
"vybrat","vybrat","vysvit","vyhnan","choose","select"
"vyděsit","vystrašit","vyzkoušit","vyděrech","scare","frighten"
"vydržet","sedět","sepsa","vydrským","stand","sit"
"vyhledávání","nalézt","namost","vykopnuldávání","search","find"
"výjimečný","pozoruhodný","pozorutrestaný","výjischopný","exceptional","remarkable"
"vynikající","skvělý","slušlý","sestřenikající","excellent","great"
"výrobce","ředitel","ředikých","výčtyřce","producer","director"
"výročí","narozeniny","halloweenarozeniny","výrogers","anniversary","birthday"
"výsledek","výsledek","výslechal","výslechal","result","outcome"
"vysoká škola","univerzita","vlastverzita","vysomewheola","college","university"
"výstražný","poplach","podejch","výtrestný","alert","alarm"
"výstřel","střílet","stříčíš","výstraž","shot","shoot"
"výstup","vstup","s tup","výking","exit","entrance"
"vysvětlení","přijatelný","přijakousiný","vyzrychlení","explanation","plausible"
"vytvořit","vyrobit","vyrodých","vyušetřit","create","produce"
"vývoj","mutace","krystace","výnam","evolution","mutation"
"výzkum","studie","stusky","výmknu","research","study"
"význam","důležitost","důležipadla","výpral","meaning","importance"
"vyzvědač","zrádce","vznáce","vyčístdač","spy","traitor"
"vzdálenost","rychlost","sklelost","vzdálesbič","distance","speed"
"vzduch","kyslík","týplík","móduch","air","oxygen"
"vždy","neustále","neuokouzle","úndy","always","constantly"
"vzrušující","zajímavý","zajímanager","střelšující","exciting","interesting"
"vztah","přátelství","přátelnost","octah","relationship","friendship"
"washington","boston","uvíton","waplankton","washington","boston"
"whisky","vodka","ručka","chcaky","whiskey","vodka"
"za prvé","poslední","podrobní","za pklub","first","last"
"žába","ještěrka","chvátěrka","tamba","frog","lizard"
"zabiják","vrah","vrbí","zabichům","killer","murderer"
"zabránit","stop","strý","začastnit","prevent","stop"
"zachovat","udržovat","dloužovat","zavražvat","preserve","maintain"
"zachránit","uložit","filžit","začastnit","rescue","save"
"záchranná služba","helikoptéra","helitámhletéra","zábezdětná služba","ambulance","helicopter"
"zadní","vrátit se","zmitit se","skaní","back","return"
"zakázaný","zakázat","zakárech","zakázaslech","forbidden","prohibit"
"základna","hlavní sídlo","vznikní sídlo","záurovna","base","headquarters"
"zákon","ústava","mrňava","závia","law","constitution"
"záliv","přístav","příznat","zákou","bay","harbor"
"žaludek","hruď","hrtj","žalutých","stomach","chest"
"zamčený","zavřeno","zaustano","zaklidný","locked","closed"
"západ","východní","výzkumní","zámám","west","east"
"západ slunce","svítání","atentání","západ služíšův","sunset","dawn"
"zapojení","svatba","částba","zapovlastní","engagement","wedding"
"zapomenout","zapamatovat si","zapamatovatvýchhle","zapomelissy","forget","remember"
"září","říjen","řípak","zázna","september","october"
"zařízení","vybavit","vybalerí","zaslechzení","equipment","equip"
"žárlivý","rozzlobený","gentlebený","zvětlivý","jealous","angry"
"záruka","slib","slťo","záznamka","guarantee","promise"
"zasloužit si","hodný","wilný","zahanbežit si","deserve","worthy"
"zatížení","náklad","náling","zapléstžení","load","cargo"
"závěr","předpoklad","předpočích","zálad","conclusion","assumption"
"závěsný","provedení","tectivedení","záupřený","hanging","execution"
"záznam","záznam","záchař","záspím","record","recording"
"zbytečný","bezcenný","bezslušný","identečný","useless","worthless"
"zbytek","spát","spli","prstek","rest","sleep"
"zdraví","vzdělání","ocitlání","vštíví","health","education"
"zdravý","normální","vzpomální","vzpový","healthy","normal"
"zdřímnutí","procházka","prošpička","otřesnutí","nap","stroll"
"zdroj","informátor","inaranžmátor","ovroj","source","informant"
"zdvořilý","přátelský","ohrotelský","efekřilý","polite","friendly"
"že jo","vlevo, odjet","vlevo, zklam","žesho","right","left"
"žehlička","kov","fův","vstalička","iron","metal"
"zelený","oranžový","kněžžový","střílený","green","orange"
"země","národ","nádum","zevíš","country","nation"
"zemědělec","pracovník","prazkumník","zeměděstvím","farmer","worker"
"zemětřesení","výbuch","výsumé","zevnějšsení","earthquake","explosion"
"ženich","nevěsta","neagenta","žečils","groom","bride"
"žíla","tepna","rárna","snála","vein","artery"
"zisk","příjem","příbou","čísk","profit","income"
"získat","vyhrát","vysvit","meškat","gain","win"
"žít","přežít","překey","kvt","live","survive"
"zítra","ráno","hosno","skrytra","tomorrow","morning"
"životní prostředí","atmosféra","atmokellera","životní prostřgonball","environment","atmosphere"
"zjevení","vidění","pravdění","dlužvení","revelation","vision"
"zkouška","inspekce","inhračce","zklidka","examination","inspection"
"zkušenosti","znalost","otelost","strážšenosti","experience","knowledge"
"zlatý","stříbrný","elekbrný","histý","golden","silver"
"zlo","krutost","šamtost","ošo","evil","cruelty"
"zloděj","zločinec","svědčinec","zlonin","thief","criminal"
"změna","zlepšení","uznášení","delna","change","improvement"
"značka","produkt","prosoft","ztráka","brand","product"
"znepokojení","trápit se","omepit se","ochranpokojení","concern","worry"
"žoldák","vrah","vrbí","círdák","mercenary","assassin"
"zombie","upír","uplé","juabie","zombie","vampire"
"zoo","cirkus","dánkus","žao","zoo","circus"
"zotavit se","vyléčit","vylécích","zotavštěvy","recover","heal"
"zpěvák","hudebník","huslušník","dorvák","singer","musician"
"zpráva","informovat","inquasimovat","znerva","report","inform"
"zpravodaj","novinář","novitost","dlouvodaj","reporter","journalist"
"žralok","ryba","ryčit","žratuď","shark","fish"
"ztroskotanec","vítěz","vífou","chcípkotanec","loser","winner"
"žurnalistika","politika","pozhroutika","disneynalistika","journalism","politics"
"zůstatek","harmonie","harmových","zůstakách","balance","harmony"
"zvážit","myslet si","mysletsníš","němžit","consider","think"
"zvýšit","snížit","zdržit","štěšit","increase","reduce"
