"el_target","el_cue","type","target_type","cue_type","el_cosine"
"κολιέ","μαλακός","unrelated","word","word",0.0542909016726092
"αντίχειρας","ποιητής","unrelated","word","word",0.287901715946851
"πληροφορίες","κουβέρτα","unrelated","word","word",0.201760636851926
"γραβάτα","ελευθερία","unrelated","word","word",0.177039770724521
"κινητήρας","πιστός","unrelated","word","word",0.204316150627882
"ιστός","πολύτιμος","unrelated","word","word",0.297055132970767
"τρίτη","κοντά","unrelated","word","word",0.167562831336503
"πρωταρχικός","σεπτέμβριος","unrelated","word","word",0.148980632685852
"λεπτό","κοίτα","unrelated","word","word",0.154065666907757
"σκοτώνω","καθημερινά","unrelated","word","word",0.153625330799337
"καταστροφή","περιφερειακό","unrelated","word","word",0.0907407977149874
"παράγω","υπερηφάνεια","unrelated","word","word",0.0881936308185463
"πώληση","παραίτηση","unrelated","word","word",0.210944575780632
"πολιτική","θησαυρός","unrelated","word","word",0.0422527784856013
"δημοσιογράφος","εξαιρετικός","unrelated","word","word",0.24717635763011
"διάσημος","προσβολή","unrelated","word","word",0.0909491527510456
"άσχημος","σπρώξτε","unrelated","word","word",0.105994337043948
"ιστός","νωτιαίος","unrelated","word","word",0.539867957146893
"μονοπάτι","νότιος","unrelated","word","word",0.0973262094035516
"γάμος","προχωρώ","unrelated","word","word",0.0824314680466604
"ενοχλεί","στρατιώτης","unrelated","word","word",0.0391067789670629
"κόσμημα","συγγραφέας","unrelated","word","word",0.0886408108267195
"επίδειξη","ευχαρίστηση","unrelated","word","word",0.249890898258184
"σφαίρα","άθροισμα","unrelated","word","word",0.153187154137684
"παραμένει","ψέμα","unrelated","word","word",0.127825308222296
"συναισθηματική","βρώμικος","unrelated","word","word",0.102332192226063
"ναυτία","παλάτι","unrelated","word","word",-0.00925262599043993
"αστέρι","συνειδητοποιώ","unrelated","word","word",0.106704709008485
"συνάντηση","ενεργός","unrelated","word","word",0.129739083121089
"αποθηκεύσετε","φρέσκο","unrelated","word","word",0.211420017108504
"διατηρούν","ακτίνα κύκλου","unrelated","word","word",NA
"εμπορία","αράχνη","unrelated","word","word",0.160475800526087
"πετυχαίνω","ελάχιστο","unrelated","word","word",0.191584202531505
"κυβέρνηση","όγκος","unrelated","word","word",0.157433563974535
"διοικητικός","προσφορά","unrelated","word","word",0.164460547426923
"κόσμος","σύννεφο","unrelated","word","word",0.199836927522966
"αφεντικό","λόγος","unrelated","word","word",0.127857167963193
"εξουσία","νεολαία","unrelated","word","word",0.206288969728931
"δικαστής","βήχας","unrelated","word","word",0.15395538808662
"κατήγορος","τάφος","unrelated","word","word",0.172421001218381
"σύστημα","όνομα","unrelated","word","word",0.149012522039653
"καπετάνιος","ζω","unrelated","word","word",0.0338593202940932
"επισκευή","κλέφτης","unrelated","word","word",0.185488011575667
"τριπλούς","άνοιγμα","unrelated","word","word",0.224210691709913
"αποφοιτώ","ρεύμα","unrelated","word","word",0.160772813219909
"χάπι","συγχωρώ","unrelated","word","word",0.105072769152596
"ένεση","πείνα","unrelated","word","word",0.182361031258899
"δουλειά","δύο","unrelated","word","word",0.203845631973984
"υπηρέτης","αυτοκρατορικός","unrelated","word","word",0.386912295220389
"λιοντάρι","κρέμασμα","unrelated","word","word",0.25014734779252
"κωμωδία","δώσει το έναυσμα για","unrelated","word","word",NA
"ρομαντικός","αντικείμενο","unrelated","word","word",0.226335118547935
"αυτοκινητόδρομος","ρωμαίος","unrelated","word","word",0.180551242948244
"δύναμη","εντυπωσιακός","unrelated","word","word",0.147402722978076
"αυτοκρατορία","προσγείωση","unrelated","word","word",0.139296816028896
"ταλέντο","ιδανικός","unrelated","word","word",0.190954535254904
"τέσσερις","δρόμος","unrelated","word","word",0.109549445331405
"ακάθαρτος","ποτό","unrelated","word","word",0.110056528367466
"ανατολή","αδύνατο","unrelated","word","word",0.194889457452906
"υπνοδωμάτιο","τατουάζ","unrelated","word","word",0.0879068235811515
"ανταμοιβή","θέση","unrelated","word","word",0.24269156814781
"εκβιασμός","συνωμοσία","unrelated","word","word",0.40393682824142
"θέτω εις ενέργειαν","διαχειρίζονται","unrelated","word","word",NA
"ανιψιός","σχέση","unrelated","word","word",0.0978424712149334
"υπόσχεση","άνοιξη","unrelated","word","word",0.174596582846195
"εγκεφαλικός","αφρική","unrelated","word","word",0.180414662832563
"άρρωστος","τυχερα παιχνιδια","unrelated","word","word",NA
"εκεί","αναγνωση","unrelated","word","word",0.129547094508004
"οικειοθελώς","επικίνδυνος","unrelated","word","word",0.103129714959651
"παγκόσμια","γάιδαρος","unrelated","word","word",0.0591582006900102
"μοναδικός","σάντουιτς","unrelated","word","word",0.135602541500711
"φωτογραφία","κάψουλα","unrelated","word","word",0.239358181338859
"ατλαντικός","βασανιστήριο","unrelated","word","word",0.108438813202888
"ειρωνικός","άγγελος","unrelated","word","word",0.250067974792043
"βάζω","εισβολή","unrelated","word","word",0.0360634509618569
"πηγαίνω","λαζάνια","unrelated","word","word",0.151246858579978
"επίθεση","λεπτός","unrelated","word","word",0.0683186269243781
"διαβατήριο","γραφείο","unrelated","word","word",0.171165632112553
"δισεκατομμύριο","επιλέγω","unrelated","word","word",0.115324906939077
"επιχειρηματίας","δημοπρασία","unrelated","word","word",0.226651032930727
"δικαιοσύνη","γιόγκα","unrelated","word","word",0.137188371527448
"λογικός","σάββατο","unrelated","word","word",0.10553048869588
"έκθεση","καίσαρας","unrelated","word","word",0.134894736051353
"παρεκκλήσι","πτώση","unrelated","word","word",0.0664923934768769
"φανταστικός","στρώμα","unrelated","word","word",0.151254780392787
"απογοήτευση","μοντέρνο","unrelated","word","word",0.0712510911764928
"εκραγεί","αναλυτής","unrelated","word","word",0.129759168488019
"το πολύ","μήλο","unrelated","word","word",NA
"επαληθεύω","φιλί","unrelated","word","word",0.122145412059961
"χειραγωγώ","σφυγμός","unrelated","word","word",0.10707578372957
"δημοκρατία","γάιδαρος","unrelated","word","word",0.160561707667548
"ελεύθερος","άβολος","unrelated","word","word",0.222975589544515
"γοητευτικός","αριθμός","unrelated","word","word",0.223228876125387
"πίστη","σκουλήκι","unrelated","word","word",0.015982234060847
"η γνώση","προστατεύω","unrelated","word","word",NA
"ειδικός","κίνδυνος","unrelated","word","word",0.184633708809442
"πιστεύω","έρευνα","unrelated","word","word",0.155234127871337
"έμπνευση","ξηρός","unrelated","word","word",0.217056421945132
"πρόκληση","ανήμπορος","unrelated","word","word",0.20891725815389
"έμπορος","χειρονομία","unrelated","word","word",0.186654775654826
"όπισθεν","βάσιγκτων","unrelated","word","word",NA
"στρατός","φιλανθρωπία","unrelated","word","word",0.14507981095521
"τρία","διαφήμιση","unrelated","word","word",0.125886327065727
"δόξα","ορκίζομαι","unrelated","word","word",0.278702593219036
"δραστηριότητα","καπηλειό","unrelated","word","word",0.1134330288442
"μητρική εταιρεία","συμβουλή","unrelated","word","word",NA
"πάθος","υγιής","unrelated","word","word",0.115298595853077
"σπανίως","ευγνώμων","unrelated","word","word",0.141154010407906
"ορισμός","άνετος","unrelated","word","word",0.173636004189444
"σημασια","κουτί","unrelated","word","word",0.0992891929402129
"ενοίκιο","εντύπωση","unrelated","word","word",0.152054953253394
"σπιτονοικοκύρης","καλώδιο","unrelated","word","word",0.114043089431343
"παράγραφος","φάση","unrelated","word","word",0.213250577918423
"διαίσθηση","πουκάμισο","unrelated","word","word",0.0538227817121227
"ναι","κάρβουνο","unrelated","word","word",0.149762072516882
"σειρά","βαρύς","unrelated","word","word",0.0742638249686053
"συναισθημα","κίνηση","unrelated","word","word",0.115625456873626
"φοβερο","παραγωγός","unrelated","word","word",0.139985316401723
"θεαματικός","χαμόγελο","unrelated","word","word",0.0993642253926249
"αξιοσημείωτος","φρουρά","unrelated","word","word",0.13429198157031
"αφαιρώ","παράθυρο","unrelated","word","word",0.179196572460987
"μετάλλαξη","λεία","unrelated","word","word",0.207890545394534
"ερευνώ","σπαθί","unrelated","word","word",0.0351256838911653
"επιθεώρηση","ρατσιστής","unrelated","word","word",0.0406052839703292
"εύλογος","δωμάτιο","unrelated","word","word",0.111319317370618
"είσοδος","τυπικός","unrelated","word","word",0.0343664356406905
"εξοπλίζω","πρωτότυπο","unrelated","word","word",0.254882642154678
"ενέργεια","εμπνέω","unrelated","word","word",0.187152632098187
"μεγάλος","αδικία","unrelated","word","word",0.117047332295162
"έξυπνος","μέλος","unrelated","word","word",0.177301305540393
"σχετικά με","τελετουργία","unrelated","word","word",NA
"μέσα","κυνήγι","unrelated","word","word",0.173367382225684
"πολύ","βολή","unrelated","word","word",0.136983260878773
"επείγον","μέλι","unrelated","word","word",0.129676089958339
"διαδικασία","βαρώνος","unrelated","word","word",0.101344488901876
"γενέθλια","δεξαμενή","unrelated","word","word",0.0238661473305601
"οδηγός","αργόσχολος","unrelated","word","word",0.263932176579741
"επιβεβαιώνω","ένας","unrelated","word","word",0.112285760172722
"κέικ","ουίσκι","unrelated","word","word",0.348279109053285
"επίτροπος","δισκίο","unrelated","word","word",0.092765410050117
"επιθυμία","σέρκλου","unrelated","word","word",NA
"επικίνδυνος","ορμόνη","unrelated","word","word",0.105762346268527
"σύνδεση","χαίρετε","unrelated","word","word",0.114296445049917
"επιλέγω","αέριο","unrelated","word","word",0.0537038082612741
"επιλογή","σπίτι","unrelated","word","word",0.131246738000338
"πρόσθετος","διαδίκτυο","unrelated","word","word",0.0701911509919698
"αποτέλεσμα","φωτιά","unrelated","word","word",0.0708064642692875
"επίσημος","εμπορικός","unrelated","word","word",0.48811841746056
"καρδινάλιος","αποκάλυψη","unrelated","word","word",0.199789107534085
"αφήνω","αστροναύτης","unrelated","word","word",0.102229960761724
"προμηθεύω","συνοδεία","unrelated","word","word",0.211130594429153
"επιτροπή","μαφία","unrelated","word","word",0.27613234708496
"αποτυχία","σύμβαση","unrelated","word","word",0.242908463732268
"λειτουργικός","κέρδος","unrelated","word","word",0.231555539294459
"επαγγελματίας","οστό","unrelated","word","word",0.105138972823479
"όργανο","φτωχός","unrelated","word","word",0.182745023525313
"γκαράζ","εμφύλιος","unrelated","word","word",0.02010651089758
"αποστολή","λεγεώνας","unrelated","word","word",0.244820370695118
"πρόγραμμα","όχημα","unrelated","word","word",0.269158674352329
"παραγωγή","τροχόσπιτο","unrelated","word","word",0.107719039456348
"μελέτη","πίστωση","unrelated","word","word",0.116629726136677
"κοιλάδα","παρατήρηση","unrelated","word","word",0.0823825203738854
"εραστής","ρουφώ","unrelated","word","word",0.199197185284051
"παρακαλώ","ninja","unrelated","word","word",0.102519532256492
"εξωτερικός","οργασμός","unrelated","word","word",0.216800651018807
"πρακτορείο","ελκυστικός","unrelated","word","word",0.180885902853421
"εταιρεία","εγκέφαλος","unrelated","word","word",0.103069922863429
"προετοιμάζω","αιώνας","unrelated","word","word",0.156346705700478
"γενναίος","στενός","unrelated","word","word",0.274821852207519
"φιλικός","βάση","unrelated","word","word",0.0891155541969666
"ευχαριστώ","κυριολεκτικά","unrelated","word","word",0.0841274263175588
"καθήκον","μέγεθος","unrelated","word","word",0.100748889117951
"δυνατότητα","εγώ θα","unrelated","word","word",NA
"χαρά","κάτω","unrelated","word","word",0.133099759737599
"νεαρός","εξέλιξη","unrelated","word","word",0.102291689987685
"όνειρο","σειρά","unrelated","word","word",0.0981289917365705
"αντίπαλος","φονιάς","unrelated","word","word",0.302181438527757
"σοκολάτα","καγκελάριος","unrelated","word","word",0.0883708390898316
"κρύο","ήρωας","unrelated","word","word",0.1423070358325
"δροσερός","προνόμιο","unrelated","word","word",0.0553105247695923
"θυμωμένος","πρωτεΐνη","unrelated","word","word",0.0350832913304009
"αίτηση","πριγκίπισσα","unrelated","word","word",0.123123792696803
"δάσος","επικοινωνία","unrelated","word","word",0.150738584585341
"επιζώ","μπλουζα","unrelated","word","word",0.140966260031045
"νεκρός","κρίσιμος","unrelated","word","word",0.353240622586496
"τσίρκο","πολιτισμός","unrelated","word","word",0.194256460570557
"αυγή","ραβδί","unrelated","word","word",0.167097805552273
"ψήφος","κρέμα","unrelated","word","word",0.13661885865729
"μαθηματικά","κραγιόν","unrelated","word","word",0.147444620438644
"ακόμη","ενήλικας","unrelated","word","word",0.136034527530672
"πρόγραμμα","άθλιος","unrelated","word","word",0.127184360271189
"σωτήρας","στρογγυλό","unrelated","word","word",0.0552845287048421
"ηρεμία","επιδόρπιο","unrelated","word","word",0.155866505534052
"νικητής","θαλάσσια","unrelated","word","word",0.101283481824823
"ωκεανός","ψυχή","unrelated","word","word",0.107175587020052
"πολεμικο ναυτικο","διαγράμματος","unrelated","word","word",NA
"δέντρο","λίβρα","unrelated","word","word",0.130229651839473
"μοιραίος","απαγορευμένος","unrelated","word","word",0.32069059137668
"εξαφάνιση","σύγκρουση","unrelated","word","word",0.234077947698926
"προσδιορισμός","σπάσιμο","unrelated","word","word",0.274519233353655
"εκτιμώ","απαγωγή","unrelated","word","word",0.107304185655822
"προοπτική","ώμος","unrelated","word","word",0.144383121902782
"μπαμπάς","ζήτηση","unrelated","word","word",0.186232965782141
"θεϊκός","ψευδαίσθηση","unrelated","word","word",0.222684137526881
"θεραπευτική αγωγή","άνδρας","unrelated","word","word",NA
"θερμοκρασία","καναπές","unrelated","word","word",0.190053646994455
"τοποθεσία","αγρότης","unrelated","word","word",0.145191128007776
"αρνητικός","η φυσικη","unrelated","word","word",NA
"ζώο","σιτηρά","unrelated","word","word",0.201995237436658
"πλούτος","τι","unrelated","word","word",0.125780522334155
"ήχος","πυραμίδα","unrelated","word","word",0.0251011438944547
"κομμάτι","κατάρα","unrelated","word","word",0.130413596486706
"επιτεθείς","απάντηση","unrelated","word","word",0.17542710993154
"οργή","πλατφόρμα","unrelated","word","word",0.138425829541098
"ψυχολογικός","μαγνητικός","unrelated","word","word",0.472295891597089
"τέλειος","αρσενικός","unrelated","word","word",0.40921859297574
"θεωρία","ποτάμι","unrelated","word","word",0.129543169583148
"ιδιοκτήτης","παραφροσύνη","unrelated","word","word",0.0215057888143056
"επιστήμονας","αύριο","unrelated","word","word",0.0972273759414057
"μυστικότητα","πνευματώδης","unrelated","word","word",0.211802984719065
"ευτυχισμένος","κοκαΐνη","unrelated","word","word",0.157480172980048
"μόλυνση","dvd","unrelated","word","word",0.0136980079215402
"ιούλιος","έξοχος","unrelated","word","word",0.217525114353069
"πυροβολικό","στάδιο","unrelated","word","word",0.176200540508199
"αρμονία","μέσο","unrelated","word","word",0.164645480544662
"χρήση","δυτικά","unrelated","word","word",0.0863818012673615
"αδύναμος","πύλη","unrelated","word","word",0.0624953493724112
"πρόεδρος","κοινοβούλιο","unrelated","word","word",0.364813679927141
"πλύση","μιλα ρε","unrelated","word","word",NA
"εβδομαδιαίος","βλέπω","unrelated","word","word",0.117228711558257
"χριστιανός","ϋνα","unrelated","word","word",NA
"ρώμη","προβολή","unrelated","word","word",0.115497736411749
"σκληρότητα","ζεστό","unrelated","word","word",0.11059022011143
"ζωγράφος","αδελφή","unrelated","word","word",0.221773681734016
"παπάς","εθελοντής","unrelated","word","word",0.33090272430352
"χειμώνας","εγγονός","unrelated","word","word",0.21782579555549
"κακό","ειδικός","unrelated","word","word",0.1233395101314
"κρύβω","κουτσομπολιό","unrelated","word","word",0.168495281183992
"σύρμα","μάρτυρας","unrelated","word","word",0.135386925348606
"εκλογή","η πλειοψηφία","unrelated","word","word",NA
"κατάστρωμα","λάμπα","unrelated","word","word",0.172309219327323
"νέα","γκολφ","unrelated","word","word",0.0530038347045165
"κρεβάτι","προϋπολογισμός","unrelated","word","word",0.135230994201667
"βανίλια","διάσκεψη","unrelated","word","word",0.0533857923231382
"πρωτόκολλο","γεννήτρια","unrelated","word","word",0.177385224228112
"οργανώνω","αντικαθιστώ","unrelated","word","word",0.262806969185427
"συνήθως","κιλό","unrelated","word","word",0.110785416625929
"πληροφορώ","χορεύτρια","unrelated","word","word",0.162922131748206
"εστιατόριο","τάξη","unrelated","word","word",0.0558628068367041
"πούρο","αδειάζω","unrelated","word","word",0.0796028498507501
"τσιγάρο","μόλις","unrelated","word","word",0.148225102435589
"λάδι","οθόνη","unrelated","word","word",0.0874386417020519
"φήμη","μικρός","unrelated","word","word",0.103782147947201
"φεστιβάλ","απόβλητα","unrelated","word","word",0.0855208918007789
"δόντι","συνήθης","unrelated","word","word",-0.019184384425244
"ψάρι","σκοπός","unrelated","word","word",0.0281152498505099
"εκ προθέσεως","συγκεντρώνω","unrelated","word","word",NA
"κατηγορία","ξεχνάμε","unrelated","word","word",0.0350143683404904
"μασάω","βιβλιοθήκη","unrelated","word","word",0.136995613835763
"μάγισσα","μπανάνα","unrelated","word","word",0.13770542856921
"χτίζω","πρεσβευτής","unrelated","word","word",0.14868722419395
"χωριό","μαραθώνας","unrelated","word","word",0.141350642492857
"σαμποτάζ","μεγαλείο","unrelated","word","word",0.107777281504012
"προδότης","τεχνικός","unrelated","word","word",0.255597326225258
"κρίση","εμπιστοσύνη","unrelated","word","word",0.24862362223089
"θέση","παγίδα","unrelated","word","word",0.170223072111156
"κατάστημα","κλειδωμένος","unrelated","word","word",0.14372344166518
"καταφύγιο","επιτρέπω","unrelated","word","word",0.0886988351870729
"πάνω","έλεγχος","unrelated","word","word",0.167624088120795
"μπλε","δεύτερος","unrelated","word","word",0.127642089033534
"καθετήρας","σταθερά","unrelated","word","word",0.215334266268392
"ποίημα","όμορφη","unrelated","word","word",0.23769409136112
"σφυρίζω","υποβρύχιο","unrelated","word","word",0.181412673817386
"νίκη","λεωφόρος","unrelated","word","word",0.132274765292704
"εισόδημα","αναρχία","unrelated","word","word",0.151753553877001
"μαγιονέζα","σεβασμός","unrelated","word","word",0.120098061099872
"πόλη","ποινή","unrelated","word","word",0.214172029688207
"γραμμάριο","ιούνιος","unrelated","word","word",0.136147586038945
"κίνδυνος","υπερήφανος","unrelated","word","word",0.138741778988055
"θέατρο","υπερφυσικός","unrelated","word","word",0.181536258608715
"μεταφορα","στομάχι","unrelated","word","word",0.0967961751817076
"άλλοθι","γεύση","unrelated","word","word",0.0792643002373189
"ληστεύω","αρχαιότερος","unrelated","word","word",0.117052903895924
"κλειδαριά","τρόπαιο","unrelated","word","word",0.138925605703325
"κλειστό","επιβεβαίωση","unrelated","word","word",0.109870454077913
"εγκληματίας","φωτογραφικη μηχανη","unrelated","word","word",NA
"κληρονομώ","εφηβική","unrelated","word","word",0.159838759419454
"τηλέφωνο","κυβερνήτης","unrelated","word","word",0.149194905887981
"ληστεία","αναζήτηση","unrelated","word","word",0.193450583604593
"γερουσία","φυτό","unrelated","word","word",0.0641727576255562
"κοινότητα","βελόνα","unrelated","word","word",0.0548682875683352
"παρακολουθώ","ξενοδοχειο","unrelated","word","word",0.120530545436399
"ηρωίνη","διαμαρτυρία","unrelated","word","word",0.151381478630748
"εντυπωσιάζω","αργά","unrelated","word","word",0.0943435279471882
"πανεπιστήμιο","απαγωγέας","unrelated","word","word",0.132914464238022
"πέος","φυλή","unrelated","word","word",0.14852661611697
"περιοχή","αξία","unrelated","word","word",0.106410914564813
"μακριά","κουρασμένος","unrelated","word","word",0.187194082663287
"υιός","ποτήρι","unrelated","word","word",0.108346579946752
"αγόρι","έκρηξη","unrelated","word","word",0.12687044320727
"τίμιος","διανοητικός","unrelated","word","word",0.412158295970923
"τουρκία","κατασκήνωση","unrelated","word","word",0.157752934338713
"πετσέτα","κοτόπουλο","unrelated","word","word",0.265165405114367
"παιχνίδι","χάος","unrelated","word","word",0.22587013294579
"τύπος","αλυσίδα","unrelated","word","word",0.117891893916102
"πεινασμένος","αστραπή","unrelated","word","word",0.112055564802821
"πιρούνι","μόνος","unrelated","word","word",0.15735102947989
"τσάντα","αντίσταση","unrelated","word","word",0.14156416129838
"σκάνδαλο","πιθανότητα","unrelated","word","word",0.128272084712919
"άρωμα","ησυχια","unrelated","word","word",0.110551608056296
"καπέλο","μετρώ","unrelated","word","word",0.167513770104896
"σαμπάνια","μάρκα","unrelated","word","word",0.301582316957786
"διατήρηση","καρχαρίας","unrelated","word","word",0.147747756139894
"σάλτσα","ωρες ωρες","unrelated","word","word",NA
"εκτέλεση","παρατσούκλι","unrelated","word","word",0.0658423371724615
"πολιτικός","έκθεση","unrelated","word","word",0.066009797985063
"σκληρός","πρεσβεία","unrelated","word","word",0.0473300198425271
"απεργία","περιοχή","unrelated","word","word",0.163196533741751
"γερουσιαστής","μοντέλο","unrelated","word","word",0.13869635764248
"τρίγωνο","ιδιοφυία","unrelated","word","word",0.0505244043971264
"αλιεία","χώρα","unrelated","word","word",0.176740870132422
"πρακτικά","προειδοποίηση","unrelated","word","word",0.0877729023851161
"φυλακή","βασιλικός","unrelated","word","word",0.121665884656179
"κωδικός πρόσβασης","γλυκός","unrelated","word","word",NA
"μακαρόνια","λοχίας","unrelated","word","word",0.0513359745874553
"λάθος","σχέδιο","unrelated","word","word",0.149178520644326
"λαιμός","φτιαχνω, κανω","unrelated","word","word",NA
"κερί","αντίδοτο","unrelated","word","word",0.225020978853836
"λαμπρόσ","διαχείριση","unrelated","word","word",NA
"σωστός","προφίλ","unrelated","word","word",0.187925572382654
"άμμος","δράμα","unrelated","word","word",0.078109412565169
"στρατός","συμπέρασμα","unrelated","word","word",0.0837873304060182
"αρπακτικός","ειρωνεία","unrelated","word","word",0.0759008359354447
"χειρουργική επέμβαση","κρασί","unrelated","word","word",NA
"σόδα","καθαρη","unrelated","word","word",0.217538568542477
"λέγω","ακολουθηστε","unrelated","word","word",0.167172632551236
"πρόταση","κύκλος","unrelated","word","word",0.112201933017961
"φράση","στροφή","unrelated","word","word",0.211625187277324
"ευαίσθητος","ουρανός","unrelated","word","word",0.217005581401828
"πυκνός","ιδιωτικός","unrelated","word","word",0.315398471829111
"γκέι","ανόητος","unrelated","word","word",0.209716288134985
"μπαρ","μέθοδος","unrelated","word","word",0.0343568310539709
"μαύρος","συγχώρεση","unrelated","word","word",0.102641267837589
"δρόμος","επιλογή","unrelated","word","word",0.235505104749291
"δολάριο","πανούκλα","unrelated","word","word",0.0775608422299486
"μικρό","φθάνω","unrelated","word","word",0.15018534258057
"υπολογιστή","επεξεργάζομαι, διαδικασία","unrelated","word","word",NA
"αιτία","αισιόδοξος","unrelated","word","word",0.132686682813509
"βουνό","πατερούλης","unrelated","word","word",0.157507332326102
"υπολοχαγός","παράνομος","unrelated","word","word",0.232018329287192
"τραγικός","ατυχής","unrelated","word","word",0.481105945441049
"μάγος","λογισμικό","unrelated","word","word",0.117203907786534
"σεφ","φλαμουριά","unrelated","word","word",0.107453787384481
"ηλεκτρικός","αρπάζω","unrelated","word","word",0.0847038834697391
"διδάσκω","βιομηχανία","unrelated","word","word",0.158127688537088
"δάσκαλος","κανω αναφορα","unrelated","word","word",NA
"ευγενής","έρημος","unrelated","word","word",0.217423537297192
"γενειάδα","λυπημένος","unrelated","word","word",0.146633550170382
"αγώνας","χαρτοφύλακας","unrelated","word","word",0.328807751662417
"προϊόν","κοινωνία","unrelated","word","word",0.18942465881675
"μαρτυρία","ναός","unrelated","word","word",0.141700266412644
"αυτί","εισαγω","unrelated","word","word",0.0827618145032373
"καρτέλ","επέτειος","unrelated","word","word",0.00739800435275904
"πάλη","ασπιρίνη","unrelated","word","word",0.156750655362864
"υψηλότητα","κράνος","unrelated","word","word",0.0975673285320884
"τεράστιος","θαυμάζω","unrelated","word","word",0.212296910460339
"μήκος","προσπαθήστε","unrelated","word","word",0.103956627160218
"τεχνική","το σκάω","unrelated","word","word",NA
"βούτυρο","λευκό","unrelated","word","word",0.215096229365002
"μυρμήγκι","μελλοντικός","unrelated","word","word",0.201055868855596
"το παρελθόν","μαλλιά","unrelated","word","word",NA
"ηγέτης","άρης","unrelated","word","word",0.177119587392692
"μεσημέρι","αυτοκτονία","unrelated","word","word",0.102008924127078
"ντεντεκτίβ","περιέχω","unrelated","word","word",NA
"βαμβάκι","φρίκη","unrelated","word","word",0.177105295882259
"χρήματα","μάτι","unrelated","word","word",0.128157744019907
"υπολογίζω","περιβάλλον","unrelated","word","word",0.118071320606923
"καρπός","τραπεζικεσ εργασιεσ","unrelated","word","word",NA
"εβδομάδα","ερώτηση","unrelated","word","word",0.20290103843668
"πατέρας","τοστ","unrelated","word","word",0.0714891175008266
"αρχιτέκτονας","ζωολογικοσ κηποσ","unrelated","word","word",NA
"εδώδιμος ιχθύς του βορρά","κομητεία","unrelated","word","word",NA
"μακρύς","κλήση","unrelated","word","word",0.220214042118447
"μιλώ","αλλού-κάπου αλλού","unrelated","word","word",NA
"εκατοστόμετρο","δημιουργώ","unrelated","word","word",0.162491813721005
"δολοφόνος","λάθος","unrelated","word","word",0.204455400347088
"αγάπη","αρνηθεί","unrelated","word","word",0.145430051541506
"άγαλμα","επιρροή","unrelated","word","word",0.140053573554843
"κομψός","λόφος","unrelated","word","word",0.223046046542107
"πεπρωμενο","σύνδεσμος","unrelated","word","word",0.132662840660035
"πρόσφατα","σκουπίδια","unrelated","word","word",0.0744265393113809
"ακτινοβολία","παράλογος","unrelated","word","word",0.164347635070349
"διαίρεση","ρωμαϊκός","unrelated","word","word",0.274492970874193
"παντρεμένος","ανάγνωση","unrelated","word","word",0.0879989307577975
"μοναχικός","γνώμη","unrelated","word","word",0.11111685152167
"πρωτότυπο","ντους","unrelated","word","word",0.0959173821918496
"παραδοσιακός","πάτωμα","unrelated","word","word",0.0445713658392222
"σημάδι","φέρετρο","unrelated","word","word",0.107319882859204
"φράουλα","παράγοντας","unrelated","word","word",0.15758705619622
"ποδόσφαιρο","θάνατος","unrelated","word","word",0.15116460790147
"κάτω μέρος","ακριβός","unrelated","word","word",NA
"πιθανώς","καλλιτέχνης","unrelated","word","word",0.163311681457677
"παπούτσι","εγγύηση","unrelated","word","word",0.158639686271763
"άλφα","γρατσουνιά","unrelated","word","word",0.0885178305803406
"θρύλος","κίνητρο","unrelated","word","word",0.151739624563685
"μυστήριο","κλειδί","unrelated","word","word",0.223215932523539
"παιδί","ερασιτέχνης","unrelated","word","word",0.216074165383074
"στείλετε","προσωπικός","unrelated","word","word",0.127960590017835
"μοναστήρι","αδυναμία","unrelated","word","word",0.107659260805649
"στόλος","εξω απο","unrelated","word","word",NA
"παιδική ηλικία","ρουκέτα","unrelated","word","word",NA
"μυς","μήνας","unrelated","word","word",0.134285407359793
"συκώτι","βάρος","unrelated","word","word",0.150451218848372
"μεθυσμένος","ξαφνικά","unrelated","word","word",0.184863214325944
"ήττα","άγνοια","unrelated","word","word",0.242890401614907
"δεκέμβριος","μαθητης σχολειου","unrelated","word","word",NA
"σύνταγμα","κύτταρο","unrelated","word","word",0.195806893971678
"βραβείο","αρκετά","unrelated","word","word",0.101860249788226
"κλινική","μέλισσα","unrelated","word","word",0.106182642267401
"δυτικός","ορφανοτροφείο","unrelated","word","word",0.0827078404461128
"βόρειος","πραγματικότητα","unrelated","word","word",0.179995398528845
"υπηρέτρια","το κόκκινο","unrelated","word","word",NA
"τουαλέτα","έργο","unrelated","word","word",-0.0085242241997724
"απόγευμα","αλεπού","unrelated","word","word",0.121557547579599
"κοιλιακός","σκίουρος","unrelated","word","word",0.268920559116112
"απρόσμενα","καρφί","unrelated","word","word",-0.0113422482347233
"μοτέλ","μισθοφόρος","unrelated","word","word",0.163573516814115
"θυμάμαι","μόδας","unrelated","word","word",0.133595120754695
"βρεγμένος","μάχη","unrelated","word","word",0.143822588732444
"καρκίνος","αθώος","unrelated","word","word",0.205624235494
"βόλτα","κακό","unrelated","word","word",0.136619139998283
"οθόνη","περίμενε","unrelated","word","word",0.181643205389801
"χρηματοδότηση","εργαστηρι","unrelated","word","word",0.11778227686018
"φυλακισμένος","απλά","unrelated","word","word",0.147571112479336
"κήρυγμα","μόλυνση","unrelated","word","word",0.0442784965218017
"ομολογώ","αγια γραφη","unrelated","word","word",NA
"ωραίος","τουρνουά","unrelated","word","word",0.102219848979241
