"hy_cue","hy_target","hy_fake_target","hy_fake_cue","en_cue","en_target"
"խորհրդատվություն","խորհուրդ տալ","խորհուրդիդալ","խորհավատվություն","advice","advise"
"խորհրդարան","սենատ","սեբոտ","խորհասարան","parliament","senate"
"խորտիկ","լանչ","լացվ","սիրտիկ","snack","lunch"
"խումբ","բարերար","բաահրար","ընւմբ","club","bar"
"ծածկագիր","գաղտնաբառ","գասոնաբառ","ծաձնագիր","code","password"
"ծածկոց","թաքցնել","թաթենել","ծածկքն","cover","hide"
"ծանր","մեծապես","մեծածիս","ծաик","heavy","heavily"
"ծառա","ծառա","ծաապ","ծաpe","slave","servant"
"ծառայություն","պահպանում","պատոանում","ծառագաւթյուն","service","maintenance"
"ծիծաղելի","անհեթեթ","անհեմիթ","ծիծառիլի","ridiculous","absurd"
"ծիսական","արարողություն","արարնյություն","daսական","ritual","ceremony"
"ծխախոտ","սիգարետ","սիտըրետ","հզախոտ","tobacco","cigarette"
"ծծել","լիզել","լիիալ","mwել","suck","lick"
"ծղոտ","սարք","սանց","գցոտ","chip","device"
"ծնունդ","հղիություն","իպիություն","ոյունդ","birth","pregnancy"
"ծով","օվկիանոս","օվիմանոս","բռվ","sea","ocean"
"ծովահեն","նավաստի","նավարչի","դավահեն","pirate","sailor"
"ծովային","նավաստի","նավարչի","դավային","marine","navy"
"ծովային","նավատորմ","նավատուղ","դավային","naval","fleet"
"ծուխ","սիգար","ւյգար","ծոցե","smoke","cigar"
"ծուղակ","խայծ","խաко","ծոկնակ","trap","bait"
"ծրագիր","համակարգիչ","համակարգկա","ծրագետ","software","computer"
"ծրար","փաթեթ","փաինթ","ծրլը","envelope","package"
"կաբել","մետաղալար","մետաղախոր","լեբել","cable","wire"
"կաբինետ","առանձնասենյակ","առանծկասենյակ","կաբիկոտ","cabinet","closet"
"կազմակերպել","կազմակերպել","կազմակերթըլ","կազմակերվոլ","arrange","organize"
"կաթ","հյութ","ռիութ","այթ","milk","juice"
"կաթոլիկ","քրիստոնյա","քրիսսանյա","կաոգլիկ","catholic","christian"
"կախում","կատարելը","կատաուլը","կատիւմ","hanging","execution"
"կամավոր","կամավոր","կաղովոր","կաղովոր","volunteer","voluntarily"
"կամուրջ","թունել","թործել","կաստւրջ","bridge","tunnel"
"կայծակ","որոտ","որիչ","կածրակ","lightning","thunder"
"կայսերական","կայսր","կաիբր","կակտերական","imperial","emperor"
"կայսր","գոմ","դիմ","կասևր","caesar","rome"
"կանաչ","նարնջի","նարնայ","կաշիչ","green","orange"
"կանգնել","նստել","viտել","կամանել","stand","sit"
"կանխել","կանգ առնել","կանգիիռնել","կաազել","prevent","stop"
"կանխիկ","փող","ընղ","կաւպիկ","cash","money"
"կանոն","արձանագրություն","արձանալոություն","կագան","rule","protocol"
"կանցլեր","նախագահ","նախաորհ","կանցվար","chancellor","president"
"կաշառք տալ","շանտաժ","շանտրց","կաշառքէնալ","bribe","blackmail"
"կապ","կապ","երպ","երպ","contact","connection"
"կապել","փողկապ","փողկam","կամոլ","bind","tie"
"կապիկ","գորիլա","գորիցի","կարնկ","monkey","gorilla"
"կապիտալ","քաղաք","քաասք","կարնտալ","capital","city"
"կառավարել","հաջողության հասնել","հաջողությահահասնել","կառավառալ","manage","succeed"
"կառավարում","կառավարություն","կառաբերություն","կառաբերում","administration","government"
"կառավարում","վարչական","վամիական","կառաբերում","management","administrative"
"կառնավալ","փառատոն","փառածին","կաձիավալ","carnival","festival"
"կասկածել","կասկածել","կաթնածել","կասկծվել","doubt","suspect"
"կավագործ","փամփուշտ","փամփուցչ","կավագոևը","caliber","bullet"
"կարգավիճակը","դիրք","դիյր","կարգավաշակը","status","position"
"կարդալ","գրել","թաել","կաիպալ","read","write"
"կարեկցող","մեծահոգի","մեծացեգի","կարեզնող","compassionate","generous"
"կարիերա","համբավ","հակլավ","կարիկյա","career","reputation"
"կարծիք","վերաբերմունք","վերաբելիունք","կարծte","opinion","attitude"
"կարճ","երկար","երլեր","կաца","short","long"
"կարմիր","դեղնուց","դեմոուց","կագրիր","red","yellow"
"կարողություն","ունակություն","ունահաւթյուն","կարուցւթյուն","capacity","ability"
"կարտոֆիլ","լոլիկ","պալիկ","կարտնչիլ","potato","tomato"
"կեղծել","կեղծ","կեեև","կեիթել","fake","FALSE"
"կեղտոտ","զզվելի","ժնվելի","կեղտրի","dirty","disgusting"
"կենդանաբանական այգի","կրկես","կրրդս","կենդանաբանականթեյգի","zoo","circus"
"կենդանի","մեռել","մեհյլ","ունդանի","alive","dead"
"կենսաթոշակ","աշխատավարձ","աշխատակորձ","կենսաթափակ","pension","salary"
"կես","եռամսյակ","եռամեծակ","ղոս","half","quarter"
"կեսգիշեր","կեսօր","կեղևր","կեդաիշեր","midnight","noon"
"կետ","նշել","լրել","րատ","point","indicate"
"կետչուպ","մայոնեզ","մաճինեզ","կեչբուպ","ketchup","mayonnaise"
"կերակրել","ուտել","ույալ","կերալվել","feed","eat"
"կիլոգրամ","գրամ","րիամ","կիլոխոամ","kilo","gram"
"կիլոմետր","մետր","մեկտ","կիլոմեти","kilometer","meter"
"կինոթատրոն","թատրոն","գրտրոն","կինոթարկոն","cinema","theater"
"կիսաշրջազգեստ","զգեստ","զգարտ","կիսաքաջազգեստ","skirt","dress"
"կիտեմադ","սոդա","սոէր","կիեռմադ","lemonade","soda"
"կիրառել","օգտագործել","ադտագործել","շարառել","apply","use"
"կլան","ընտանիք","եստանիք","ւհան","clan","family"
"կլոր","շուրջը","շուրիմ","վգոր","round","around"
"կնիք","ստորագրություն","ստբնագրություն","կնքե","stamp","signature"
"կոլեգա","ընկեր","ըննար","կոլեյլ","colleague","friend"
"կոկաին","հերոսուհի","հերոսորդի","կոոթին","cocaine","heroin"
"կոկորդ","պարանոց","պարասից","հակորդ","throat","neck"
"կողմնացույց","քարտեզ","քարտee","կողմնացոյաց","compass","map"
"կոճղ","մամուլ","մակրւլ","կոeu","button","press"
"կոմսություն","շրջան","շրսեն","կոտյություն","county","district"
"կոնֆլիկտ","վեճ","հիճ","կոնֆլիբա","conflict","dispute"
"կոշիկ","կոշիկ","կոեակ","կոդոկ","boot","shoe"
"կոշտ","ծանր","ծաчь","կոմն","tough","hard"
"կով","խոզ","դիզ","տիվ","cow","pig"
"կուլ տալը","ծամել","խոմել","կուլէաալը","swallow","chew"
"կույր","խուլ","խոin","կոքար","blind","deaf"
"կռվել","պայքարել","պատժարել","ոշվել","combat","fight"
"կտոր","թաշկինակ","թապաինակ","поոր","cloth","handkerchief"
"կրակոց","կրակել","րտակել","առակոց","shot","shoot"
"կրեմ","սոուս","դվուս","կրne","cream","sauce"
"կրկնակի","եռապատիկ","եռերատիկ","կրօդակի","double","triple"
"կցանք","վագոն","վաայն","պնանք","trailer","van"
"հազ","ջերմություն","գլրմություն","նիզ","cough","fever"
"հազար","հարյուր","հազրուր","համիր","thousand","hundred"
"հալվել","սառեցնել","սառենդել","հասեել","melt","freeze"
"հակադիր","հակադարձ","հակադաus","հակաթգր","opposite","contrary"
"հակաթույն","պատվաստանյութ","պատվաստաողութ","հակաթորոն","antidote","vaccine"
"հաղթանակ","պարտք","պածիք","հաիվանակ","victory","defeat"
"հաղորդել","տեղեկացնել","տեղեկայծել","հաղոռնել","report","inform"
"հաճախություն","ազդանշան","ազդայաան","հաճարպւթյուն","frequency","signal"
"հաճելի","սիրելի","ներելի","հաֆալի","nice","lovely"
"հաճոյախոսություն","նվեր","նվան","հարիյախոսություն","compliment","gift"
"հաճույք","տպավորվել","ագավորվել","հաճոերք","flatter","impress"
"հաճույք","ուրախություն","ույթխություն","հաճոերք","pleasure","joy"
"համաժողով","հանդիպում","հանդրհում","համատյղով","conference","meeting"
"համակցություն","խառնուրդ","խայրուրդ","համադաություն","combination","mixture"
"համառ","եսասեր","րզասեր","հահեռ","stubborn","selfish"
"համացանց","ոստայն","ոստանշ","համանննց","internet","web"
"համբերություն","կարեկցում","կարեսոում","հաւաերություն","patience","compassion"
"համբուրել","հյուծվել","հյուածել","հաաճուրել","kiss","hug"
"համեղ","համեղ","հաբաղ","հաիւղ","tasty","delicious"
"համտեսել","հոտ","իրտ","համտայել","taste","smell"
"հայեցակարգ","սահմանում","սակաանում","հայեցակախի","concept","definition"
"հայտնություն","տեսողություն","տեուղություն","հալանություն","revelation","vision"
"հայրիկ","մայրիկ","մայրկյ","հարմիկ","daddy","mum"
"հանգիստ","հանգիստ","հանգվատ","հանգվատ","quiet","calm"
"հանգստանալ","քնել","ղղել","հանգստանտը","rest","sleep"
"հանելուկ","գիտնական","բրտնական","հանելոre","genius","scientist"
"հանկարծակի","անսպասելիորեն","անսպխվելիորեն","հանկարժսկի","suddenly","unexpectedly"
"հանձնաժողով","կոմիտե","կոմիֆը","հաղթնաժողով","commission","committee"
"հանրաճանաչ","հայտնի","հաղանի","հանրաճանեպ","popular","famous"
"հաշվել","հաշվել","հաաթել","հաաթել","count","calculate"
"հաջողություն","ձախողում","քնխողում","հաղթղություն","success","failure"
"հասարակություն","համայնք","համատեք","հայրրակություն","society","community"
"հաստատում","հաստատել","հաստորել","հաստուում","confirmation","confirm"
"հավ","հնդկահավ","հնղղահավ","շիվ","chicken","turkey"
"հավանականություն","հավանաբար","հավանագիր","հավածքկանություն","probability","likely"
"հավասարակշռություն","համընկնում","հաունկնում","հավայրրակշռություն","balance","harmony"
"հավատարիմ","հավատարիմ","հանստարիմ","հավահորիմ","loyal","faithful"
"հավատարմություն","ազնվություն","ազնվաճթյուն","հավատափաություն","loyalty","honesty"
"հավատարմություն","նվիրվածություն","նվթխվածություն","հավատափաություն","fidelity","devotion"
"հավաքել","հավաքվել","հավարյել","համտքել","collect","gather"
"հավերժական","ընդմիշտ","ընդմճատ","հավեօրական","eternal","forever"
"հատակ","գորգ","գոձև","հաուկ","floor","carpet"
"հատուկ","եզակի","եզոնի","հատոre","special","unique"
"հարաբերություն","բարեկամություն","բարեկաստւթյուն","հարավարություն","relationship","friendship"
"հարավ","հյուսիս","հյուհաս","հանիվ","south","north"
"հարավային","արեւմտյան","արեւրայան","հարաբեյին","southern","western"
"հարգանք","վստահություն","կվտահություն","հադհանք","respect","confidence"
"հարմարավետ","դուրեկան","դուրաձան","հարմարչոետ","comfortable","pleasant"
"հարվածել","գործադուլ անել","գործադուիվանել","հարվրսել","hit","strike"
"հարց","հարցնել","հաբանել","հայծ","question","ask"
"հաց","պանիր","լենիր","ւնց","bread","cheese"
"հացահատիկ","ալյուր","ստյուր","հանեհատիկ","grain","flour"
"հեգնանք","հեգնական","հեսսական","հեթոանք","irony","ironic"
"հեծելազոր","հրետանի","աղետանի","րածելազոր","cavalry","artillery"
"հեղինակ","դերասան","դերավեն","հետենակ","author","actor"
"հեղուկ","անհոգ","անոնգ","հեղոre","liquid","fluid"
"հեշտոց","պենիս","ցինիս","հեշտմա","vagina","penis"
"հեռագիր","նամակ","նագրկ","հեռաբար","telegram","letter"
"հեռադիտակ","մանրադիտակ","մամտադիտակ","հեռադիուկ","telescope","microscope"
"հեռանալ","լքել","նաել","հեովնալ","leave","abandon"
"հեռավորություն","արագություն","արնեություն","հելիվորություն","distance","speed"
"հետազոտություն","ուսուցում","ուսոմյում","հետալիտություն","research","study"
"հետեւել","հալածում","հալալեւմ","հետեմպլ","follow","chase"
"հերթ","պտտել","պտոնլ","հեկո","turn","rotate"
"հերոս","փրկիչ","մեկիչ","բարոս","hero","savior"
"հիանալ","բարձր գնահատել","բարձափգնահատել","հիրոալ","admire","appreciate"
"հիմար","ապուշ","տմուշ","եցմար","fool","idiot"
"հիմք","շտաբ","շտնչ","հիսո","base","headquarters"
"հին","երիտասարդ","երեսասարդ","ւան","old","young"
"հիվանդ","հաճախորդ","հաճախոիր","հիվաաս","patient","client"
"հիվանդ","հիվանդ","բավանդ","հիվաաս","ill","sick"
"հիվանդանոց","կից","ծաց","հիվանդանյա","hospital","clinic"
"հմայք","գեղեցկուհի","գեղեափուհի","սկայք","charm","beauty"
"հյուրանոց","մոթել","մոդրլ","հյույթնոց","hotel","motel"
"հյուրընկալություն","երախտագիտություն","ատախտագիտություն","հյուրըցիալություն","hospitality","gratitude"
"հնարագիտություն","տգեղ","cyեղ","հնարնեիտություն","digusting","ugly"
"հնարավորություն","հավանականություն","հավածքկանություն","հնրտավորություն","chance","possibility"
"հնարք","կատակ","կաուկ","աքարք","trick","joke"
"հոբբի","սպորտ","սպկոտ","հոջկի","hobby","sport"
"հոգի","ոխակալ","սբակալ","անգի","soul","spirit"
"հոգնած","սոված","ողված","հուժած","tired","hungry"
"հոդված","թերթ","թեկո","հովհած","article","newspaper"
"հորմոն","ադրենալեն","ադրենապին","հոսպոն","hormone","adrenaline"
"հուզիչ","հետաքրքիր","հետաքրւեր","հոնխիչ","exciting","interesting"
"հունիս","հուլիս","հուլտֆ","հունավ","june","july"
"հուշարձան","արձան","արասն","հուշարեռն","monument","statue"
"հուսով եմ","հավատ","համետ","հոհրով եմ","hope","faith"
"հպարտ","հուզված","հողքված","երարտ","proud","excited"
"հպարտանալ","արժանապատվություն","արշինապատվություն","սփարտանալ","pride","dignity"
"հռոմեական","հունական","հոնդական","հռոմասկան","roman","greek"
"հսկողություն","շահարկել","շահաացել","стկողություն","control","manipulate"
"հրաժարական","հեռացում","հեռակտւմ","հրրձարական","resignation","dismissal"
"հրաժարվել","ընդունել","ընդործել","հրնտարվել","refuse","accept"
"հրաձիգ","դիպուկահար","դիպոսպահար","հրաձna","shooter","sniper"
"հրաման","պատվեր","պանտեր","հրամու","command","order"
"հրամանատար","կապիտան","կարնտան","հրամանատլը","commander","captain"
"հրաշալի","ֆանտաստիկ","ֆաահաստիկ","հրիբալի","wonderful","fantastic"
"հրատապ","արտակարգ","արտակախի","հրատչե","urgent","emergency"
"հրացան","հրացան","րջացան","րջացան","rifle","gun"
"հրդեհ","բոց","եից","հրտահ","fire","flame"
"հրեշ","արարած","արարող","հրպե","monster","creature"
"հրեշտակ","սատանա","նոտանա","հրխստակ","angel","devil"
"հրթիռ","հրթիռ","հրսառ","հրգոռ","rocket","missile"
"հրում","քաշել","քաբալ","բեում","push","pull"
"ձայն","շեշտ","շեde","քնյն","voice","accent"
"ձգան","ակտիվացնել","ակտիստցնել","լչան","trigger","activate"
"ձեռագիր","բազուկ","բարրւկ","ձերբգիր","hand","arm"
"ձեվավորել","նշան","խման","ձենցվորել","form","sign"
"ձիահ","միավ","միստ","օմահ","aids","hiv"
"ճակատագիր","ճակատագիր","ճակատանկր","ճակատանկր","fate","destiny"
"ճամբար","գյուղ","прուղ","ճամբլը","camp","village"
"ճանաչել","գիտեր","գիայր","ճանալդլ","recognize","knew"
"ճանապարհ","մայրուղի","մառնուղի","ճանապաри","road","highway"
"ճաք","խոռոչ","խոպեչ","չոք","crack","hole"
"ճիճուն","օձ","րզ","hiճուն","worm","snake"
"ճիշտ","իսկական","ծնկական","hiշտ","TRUE","real"
"ճիշտ","ձախ","ւղխ","hiշտ","right","left"
"ճիշտ","վերջերս","վեղձերս","hiշտ","just","recently"
"մագնիսական","էլեկտրական","ջեեկտրական","մագնպրական","magnetic","electric"
"մազ","մորուք","մորողը","ւյզ","hair","beard"
"մականուն","ազգանուն","ազգակաւն","մականորդ","nickname","surname"
"մահ","անհայտացում","անհապլացում","որհ","death","disappearance"
"մահացու","ճակատագրական","ճակատամիական","մահանսւ","deadly","fatal"
"մայրամուտ","արշալույս","ուշալույս","մատոամուտ","sunset","dawn"
"մայրիկ","հայր","հաքս","մառնիկ","mother","father"
"մանկատուն","վանք","վարա","մաարատուն","orphanage","convent"
"մաշկ","հյուսվածք","հյուսվւնք","մաub","skin","tissue"
"մասնավոր","գաղտնիություն","գաթանիություն","մարզավոր","private","privacy"
"մատուցող","մատուցողուհի","մատուցնյուհի","մատորժող","waiter","waitress"
"մարաթոն","մրցավազք","մրցավաcn","բերաթոն","marathon","race"
"մարդ","անհատ","անգոտ","մաթը","person","individual"
"մարդ","մարդ","մաիր","մաթը","man","human"
"մարդասպան","մարդասպան","մաիտասպան","մարդասկոն","killer","murderer"
"մարզիչ","խաղացող","խաղազաղ","մարզկա","coach","player"
"մարմին","դիակ","թվակ","մաակին","body","corpse"
"մարս","վեներա","զմներա","մաen","mars","venus"
"մաքրել","լվանալ","օֆանալ","մասոել","clean","wash"
"մաֆիա","խաբեբա","խաբեom","մաւյա","mafia","cartel"
"մեթոդ","տեխնիկա","տեխնամա","մենադ","method","technique"
"մեծ","հսկայական","վկկայական","ջած","big","huge"
"մեծամասնություն","քվեարկել","raեարկել","մերծմասնություն","majority","vote"
"մեկ","երեք","երրո","ճակ","one","three"
"մեկնաբանություն","հայտարարություն","հաաշարարություն","նակնաբանություն","comment","statement"
"մեղու","մրջյուն","մրգեուն","մեոսւ","bee","ant"
"մեղր","կարագ","կալոգ","մեէյ","honey","butter"
"մեղք","հանցանք","հագնանք","մեик","sin","crime"
"մենեջեր","շեֆ","յոֆ","մենեբոր","manager","boss"
"մետաքսե","բամբակ","բաահակ","մետաւռե","silk","cotton"
"մերկ","մերկ","մելո","մելո","nude","naked"
"միամիտ","հիմար","հիպոր","բրամիտ","naïve","stupid"
"միամիտ","ցինիկ","խրնիկ","բրամիտ","naive","cynical"
"միայնակ","ամուսնացած","ամունկացած","յքայնակ","single","married"
"միայնակ","միայնակ","միշանակ","յքայնակ","alone","lonely"
"միացնել","տրամադրել","տրամներել","միիչնել","enable","provide"
"միգուցե","հավանաբար","հավանագիր","հօգուցե","maybe","probably"
"միլիոն","միլիարդ","միլիմադ","միլինի","million","billion"
"միլիոնատեր","ձեռնարկատեր","ձեռնարկաթնր","միլինիատեր","millionaire","entrepreneur"
"միշտ","անընդհատ","անչեդհատ","միլյ","always","constantly"
"միություն","թիմ","իեմ","քրություն","league","team"
"միջադեպ","վթար","օփար","միջատնպ","incident","accident"
"միջազգային","աշխարհ","աշխաir","միջայիային","international","world"
"միջավայր","մթնոլորտ","waնոլորտ","միդժվայր","environment","atmosphere"
"միջնակարգ","առաջնային","առլանային","միրսակարգ","secondary","primary"
"մլատ","լինգ","լիts","օթատ","ming","ling"
"մղձավանջ","երազել","երմտել","մղձավաре","nightmare","dream"
"մղոն","սանտիմետր","սանտիմտիր","լճոն","mile","centimeter"
"մնալ","մնալ","коալ","րյալ","stay","remain"
"մշակում","քաղաքակրթություն","քաղաքապեթություն","էսակում","culture","civilization"
"մոգություն","հրաշագործ","հրաշխիործ","մոկաւթյուն","magic","wizard"
"մոդել","նախատիպ","նարկտիպ","մուլլ","model","prototype"
"մոլորակ","ուղեծիր","ուղեճեր","մոլուիկ","planet","orbit"
"մոխիր","փոշի","փորլ","մովէր","ash","dust"
"մոռանալ","հիշել","հիիալ","մորոնալ","forget","remember"
"մոտիկ","հեռու","հեձեւ","մոնոկ","near","far"
"մուկ","առնետ","առւյտ","մոտո","mouse","rat"
"մուտք գործել","գնալ","սկալ","մուտհօգործել","enter","go"
"մտահոգություն","անհանգստանալ","անհանգստանտը","մտահնեություն","concern","worry"
"մտավոր","հուզիչ","հուզկա","ալավոր","mental","emotional"
"մտրակել","մուրճ","մովեճ","մտրապալ","stick","hammer"
"մրցում","առաջնություն","առտանություն","շոցում","competition","championship"
"մրցում","համընկնում","հաունկնում","շոցում","tournament","match"
"յոգա","մերսել","մեղեել","յոէս","yoga","massage"
"նախագծել","ծրագիր","loագիր","նախատկել","project","program"
"նախազգուշացում","հաղորդագրություն","հաղոգրագրություն","նախաչիուշացում","warning","message"
"նահանգապետ","սենատոր","չինատոր","նահաբնապետ","governor","senator"
"նայել","դիտել","դիյալ","նավիլ","look","watch"
"նավարկություն","հաղորդակցություն","հաղոզմակցություն","նավահաություն","navigation","communication"
"նեղ","լայն","լաես","բող","narrow","wide"
"ներել","արդարացում","արկիրացում","նետիլ","forgive","excuse"
"ներխուժում","հարձակվել","հատկակվել","ներխուլեւմ","invasion","attack"
"ներշնչել","ոգեշնչում","թշեշնչում","նեմինչել","inspire","inspiration"
"ներուժ","տաղանդ","տակոնդ","ներորհ","potential","talent"
"ներում","ողորմածություն","ողորմանսւթյուն","առրում","forgiveness","mercy"
"ներքեվ","վեր","ւոր","ներքвъ","down","up"
"ներքին","արտաքին","արգրքին","նեգրին","internal","external"
"նիհար","հաստ","հաավ","նիթիր","thin","thick"
"նիհար","խիզախ","փնզախ","նիթիր","noble","brave"
"նկատի առնել","մտածել","մտրսել","նկատտաառնել","consider","think"
"նկար","լուսանկար","լուսանլեր","նկլը","picture","photo"
"նկարագրել","արտահայտիչ","արտահաինիչ","նկարներել","describe","express"
"նկարել","քաշել","քաբալ","նկարտե","paint","draw"
"նման","տարբեր","տասներ","սլան","similar","different"
"նյարդայնություն","մկաններ","որաններ","նյարդանըություն","nerve","muscle"
"նյութ","մասնիկ","մաամիկ","ելութ","matter","particle"
"նշան","համազգեստ","համաքաեստ","վոան","badge","uniform"
"նոյեմբեր","դեկտեմբեր","կոկտեմբեր","նոլոմբեր","november","december"
"նորաձեվ","էլեգանտ","էլլցանտ","նորանշվ","fashionable","elegant"
"նուրբ","զգայուն","զգուուն","նոմիբ","delicate","sensitive"
"նվագախումբ","երիզ","երփը","նվագլիումբ","orchestra","band"
"նվազագույն","առավելագույն","սլավելագույն","նվպրագույն","minimum","maximum"
"շաբաթ","կիրակի","գերակի","շավիթ","Saturday","Sunday"
"շագանակագույն","կապույտ","կապոբատ","շատինակագույն","brown","blue"
"շահ","հաղթել","հանձել","որհ","gain","win"
"շահամոլ","մարդասպան","մաիտասպան","շահաբալ","mercenary","assassin"
"շահույթ","եկամուտ","օսամուտ","շաբաւյթ","profit","income"
"շառավիղ","պարագիծ","պարառոծ","շարեվիղ","radius","perimeter"
"շարժիչ","ալիբի","ալյփի","շարժկա","motive","alibi"
"շարժվել","տեղափոխել","տեղափոսիլ","շարժարլ","move","transfer"
"շարք","դրվագ","դրենգ","շանց","series","episode"
"շաքարել","շոկոլադ","կծկոլադ","շատերել","sugar","chocolate"
"շերիֆ","քաղաքագետ","քաղաքավատ","շեզէֆ","sheriff","mayor"
"շերլոկ","ուոթսոն","ուչոսոն","շեզդոկ","sherlock","watson"
"շերտ","մակերեւույթ","մակերեգրւյթ","շենդ","layer","surface"
"շիթ","բութ","բոցն","օրթ","finger","thumb"
"շինարարություն","կառուցել","կառորտել","շինարադաւթյուն","construction","build"
"շղթա","պարան","պալին","շղee","chain","rope"
"շնաձուկ","ձուկ","դժւկ","շնաձտակ","shark","fish"
"շնորհավորել","բարեւել","բարեքիլ","շնորեցվորել","congratulate","greet"
"շուն","կատու","կաղաւ","դիւն","dog","cat"
"շտապ օգնություն","ուղղաթիռ","ուղղաթla","շտապօգգնություն","ambulance","helicopter"
"շրթնաներկ","օծանելիք","հվանելիք","շրթնանզակ","lipstick","perfume"
"շրթունք","այտ","եշտ","շրջիւնք","lip","cheek"
"շրջագայություն","համերգ","համեխի","շրջագազաւթյուն","tour","concert"
"շրջան","եռանկյունի","բյանկյունի","շրրդն","circle","triangle"
"ոլորան","որովայնային","ահովայնային","չմորան","spinal","abdominal"
"ոչինչ","ինչ - որ բան","ինչ  որջաան","կքինչ","nothing","something"
"ոսկեգույն","արծաթ","արփոթ","ոսշոգույն","golden","silver"
"ոսկոր","գանգ","գաթն","ոսքիր","bone","skull"
"որոնել","գտնել","նմնել","որքվել","search","find"
"որս անել","գիշատիչ","բրշատիչ","որէնանել","prey","predator"
"որսորդություն","ձկնորսություն","ձկնուղություն","որսուհություն","hunting","fishing"
"ուժ","էներգիա","թրերգիա","տաժ","power","energy"
"ուժ","ստիպել","ստնգել","տաժ","strength","force"
"ուժեղ","թույլ","թոբոլ","ույնղ","strong","weak"
"ուղեկցորդ","ուղեկցել","ուսիկցել","ուղեբյորդ","escort","accompany"
"ուղեղ","ուղեղային","ուջողային","ուզող","brain","cerebral"
"ուղեւոր","վարորդ","վարոնա","ուղեսիր","passenger","driver"
"ուղիղ","ուղղակիորեն","ութրակիորեն","ուկեղ","direct","directly"
"ուղղել","վերանորոգում","վերանորոպեւմ","ուոտել","fix","repair"
"ունեցվածք","սեփականատեր","սելոկանատեր","ունեցվւնք","property","owner"
"ուշադրության կենտրոնում","կենտրոնանալ","կենտրոսենալ","ուշադրությանլեենտրոնում","focus","concentrate"
"ուշադրություն","ներգրավել","մարգրավել","ուշարվություն","attention","attract"
"ուշացած","վաղաժամ","վաղացրմ","արշացած","late","early"
"ուռուցք","քաղցկեղ","քաղցրաղ","ուռոժէք","tumor","cancer"
"ուս","ծունկ","ծոշիկ","վաս","shoulder","knee"
"ուսանող","ուսուցիչ","ուսուցկա","ուշինող","student","teacher"
"չարություն","դաժանություն","դաժայռւթյուն","դրրություն","evil","cruelty"
"չափ","երկարություն","երբերություն","դրփ","size","length"
"չափազանց","շատ","վետ","դրփազանց","extremely","very"
"չափահաս","ծնող","թվող","չափանիս","adult","parent"
"չեմպիոն","մարտիկ","մարտոր","կամպիոն","champion","fighter"
"չորացնել","թաց","ռեց","րգրացնել","dry","wet"
"պալատ","ամրոց","ամիից","պապէտ","palace","castle"
"պահածոն","պահպանել","պատոանել","պահակգն","preserve","maintain"
"պահակ","պարեկություն","պակակություն","պաւրկ","guard","patrol"
"պահանջել","խնդրել","խնտվել","պահաեւել","demand","request"
"պահպանողական","լիբերալ","լիկտրալ","պատոանողական","conservative","liberal"
"պայթել","պայթել","պաիմել","պաիմել","burst","explode"
"պայմանագիր","համաձայնություն","համաձակյություն","պայմանագթը","contract","agreement"
"պանդոկ","ռեստորան","ռեստորդը","պանդми","pub","restaurant"
"պաշտոնապես","պաշտոնատար անձ","պաշտոնատարջքնձ","պաշտոնիլես","officially","official"
"պաշտպանել","պաշտպանել","պաշտպայթլ","պաշտպայթլ","protect","defend"
"պապիկ","տատիկ","տանըկ","պալմկ","grandfather","grandmother"
"պատահաբար","դիտավորյալ","դիտաֆարյալ","պատահատմր","accidentally","intentionally"
"պատահել","պատահել","պատաալլ","պատարնլ","occur","happen"
"պատանդ","բանտարկյալ","բանտարձրալ","պաբենդ","hostage","prisoner"
"պատասխան","պատասխան","պատատյան","պատատյան","answer","reply"
"պատասխանատվություն","պարտք","պածիք","պատատյանատվություն","responsibility","duty"
"պատերազմ","ճակատամարտ","ճակատամանդ","պատերաла","war","battle"
"պատժել","ձերբակալել","ձերբակալվա","պանքել","punish","arrest"
"պատճառ","պատճառ","պատճսկ","պատճть","reason","cause"
"պատյան","պարեն","դերեն","պալիան","wall","fence"
"պատուհան","դուռ","դոեւ","պահպւհան","window","door"
"պատրանք","հալյուցինացիա","հալյուխենացիա","պաազանք","illusion","hallucination"
"պատրաստ","նախապատրաստվել","նախապատրասդրել","պատրպատ","ready","prepare"
"պատրաստում","պլանավորում","իկանավորում","պատրուտում","preparation","planning"
"պարանոիդ","խենթ","եռնթ","պարանողո","paranoid","crazy"
"պարզ","պարզ","պաif","պաժա","simply","simple"
"պարզ","ակնհայտորեն","ակետայտորեն","պաժա","clearly","obviously"
"պարկեշտ","անկեղծ","ուկեղծ","պաբրեշտ","decent","honest"
"պարկուճ","զոնդ","զութ","պարկւյճ","capsule","probe"
"պարուհի","պարել","դերել","պարոեսի","dancer","dance"
"պարունակել","բովանդակություն","ասվանդակություն","պարունակտի","contain","content"
"պարուրակ","կրիա","կրոտ","պարոզնակ","snail","turtle"
"պինգ","դինգ","դիցա","պիադ","ping","ding"
"պլան","ստրատեգիա","ստրատեիդա","իկան","plan","strategy"
"պլատֆորմ","կայան","կանին","պլատեարմ","platform","station"
"պողոտա","փողոց","փոփաց","պողոպի","avenue","street"
"պոմպ","գուլպաներ","գոզապաներ","պոքե","pump","hose"
"պոռնո","կինոնկար","կիսանկար","պոնցո","porn","movie"
"պորտալ","դարպաս","դակնաս","պորտկո","portal","gate"
