"he_target","he_cue","type","target_type","cue_type","he_cosine"
"שמש","מותג","unrelated","word","word",0.173578477009276
"סביר","כ  ת ף","unrelated","word","word",NA
"באופן ישיר","ש  פ ע ת","unrelated","word","word",NA
"צָעִיר","להציע","unrelated","word","word",NA
"בִּכְבֵדוּת","סך הכל","unrelated","word","word",NA
"כביש מהיר","חו ש  ך","unrelated","word","word",NA
"חוּט","ח ט יף","unrelated","word","word",NA
"עוֹד","עור","unrelated","word","word",NA
"בִּיוֹלוֹגִי","מכירה פומבית","unrelated","word","word",NA
"ביולוגיה","שיטה","unrelated","word","word",0.252165014189377
"ארנק","ס פ ט מב  ר","unrelated","word","word",NA
"חתול","רובה","unrelated","word","word",0.187147766681202
"כלי","ל פ ע מ ים","unrelated","word","word",NA
"נוהל","ל טעו ן","unrelated","word","word",NA
"כָּבֵד","מ נ ה","unrelated","word","word",NA
"איכות","מילון","unrelated","word","word",0.0899885998032842
"קפלה","אולי","unrelated","word","word",0.110283198483073
"קְבוּצָה","קו ף","unrelated","word","word",NA
"זעם","ג רו ר","unrelated","word","word",NA
"דַרכּוֹן","ל ר או ת","unrelated","word","word",NA
"הברך","משקפיים","unrelated","word","word",0.204035781524941
"כס","גורם","unrelated","word","word",0.107967059959325
"סֵפֶר","סימפטום","unrelated","word","word",NA
"תְרוּפָה","ל ה ת נ ד ב","unrelated","word","word",NA
"אֵנֶרְגִיָה","א זו ר י","unrelated","word","word",NA
"בְּדִיקָה","פ ילו סו פ י ה","unrelated","word","word",NA
"עִתוֹנָאִי","א לב ו ם","unrelated","word","word",NA
"שם","איזון","unrelated","word","word",0.0966252426013307
"כדורגל","א זה ר ה","unrelated","word","word",NA
"כּוֹחַ","מ ט ר ה","unrelated","word","word",NA
"מַסלוּל","מ ח ב  ר","unrelated","word","word",NA
"שֵׁם מִשׁפָּחָה","אחי","unrelated","word","word",NA
"להתחבא","תנור","unrelated","word","word",0.155674893950687
"אלוף משנה","ק ש  ר","unrelated","word","word",NA
"כֶּסֶף","כ  יס","unrelated","word","word",NA
"מזלג","י ם","unrelated","word","word",NA
"המבורגר","נו ע ר","unrelated","word","word",NA
"דג","בת ערובה","unrelated","word","word",NA
"לְסַפֵּק","בעצם","unrelated","word","word",NA
"לְאַרגֵן","אוויר","unrelated","word","word",NA
"לברך","א ש ר אי","unrelated","word","word",NA
"שֶׁף","פוטנציאל","unrelated","word","word",NA
"לַחקוֹר","צ יו ד","unrelated","word","word",NA
"ללעוס","אבקת שריפה","unrelated","word","word",NA
"צָבָא","פיזיקה","unrelated","word","word",NA
"מִנהָרָה","ק י ץ","unrelated","word","word",NA
"לִשְׁדוֹד","חוסר יכולת","unrelated","word","word",NA
"מְשׁוֹך","מ פל צ ת","unrelated","word","word",NA
"מָהִיר","ע כש  יו","unrelated","word","word",NA
"לִשְׁלוֹחַ","ט כנ י","unrelated","word","word",NA
"מבינה","רו ד או ","unrelated","word","word",NA
"לבוא","ד ר קו ן","unrelated","word","word",NA
"לְהַגֵן","חלב","unrelated","word","word",NA
"לִשְׁמוֹר","ב  ט ן","unrelated","word","word",NA
"לְרַפֵּא","נ פל א","unrelated","word","word",NA
"לְהַרְשִׁים","נתונים","unrelated","word","word",NA
"לשחות","מצפן","unrelated","word","word",0.181447166028319
"תוֹכֶן","קצר","unrelated","word","word",NA
"לָשִׂים","מ ס ך","unrelated","word","word",NA
"לְשַׁלֵשׁ","מו ד א ג","unrelated","word","word",NA
"לְהַגזִים","שומר","unrelated","word","word",NA
"סַכָּנָה","סט טו ס","unrelated","word","word",NA
"לְהַעֲלִיב","מ פ ח יד","unrelated","word","word",NA
"מַעְצָר","מ קו ר","unrelated","word","word",NA
"כִּירוּרגִיָה","ב  נק א י","unrelated","word","word",NA
"להפחיד","ל יר ה","unrelated","word","word",NA
"לשמור","סדנה","unrelated","word","word",0.164179581749705
"לנצח","עזרי","unrelated","word","word",0.161466182740892
"השפעה","נמוך יותר","unrelated","word","word",NA
"חום","ד ם","unrelated","word","word",NA
"נישואים","אומץ","unrelated","word","word",0.211052818797703
"נושא","או צ ר","unrelated","word","word",NA
"מרצון","בית המקדש","unrelated","word","word",NA
"מעריך","מ יל יו ן","unrelated","word","word",NA
"לְצַפּוֹת","נו ב מב  ר","unrelated","word","word",NA
"לְהַסִיר","ה נה ל ה","unrelated","word","word",NA
"ללחוץ","ב  יש ו ף","unrelated","word","word",NA
"לַחטוֹף","נ צח י","unrelated","word","word",NA
"לִקְבּוֹר","מ או ד","unrelated","word","word",NA
"קְפִיצָה","מ פ ת ח ","unrelated","word","word",NA
"מטען","ניצחון","unrelated","word","word",0.144803112150995
"עֶרֶב","נו ח ","unrelated","word","word",NA
"קְבוּצָה","להמשיך","unrelated","word","word",NA
"ליצר","ב ו רו ת","unrelated","word","word",NA
"דוֹלָר","נ קו ד ה","unrelated","word","word",NA
"אִינְטֶלִיגֶנְטִי","ג זע ן","unrelated","word","word",NA
"ללוות","ד ר מ ה","unrelated","word","word",NA
"לְלַמֵד","ה ג ע ה","unrelated","word","word",NA
"להשקיע","לחימה","unrelated","word","word",0.144570969095346
"תפסיק","מ קל ח ת","unrelated","word","word",NA
"לְלַקֵק","זוהר","unrelated","word","word",NA
"מִבְחָן","ת ג","unrelated","word","word",NA
"לְנַסוֹת","או י ב","unrelated","word","word",NA
"לִשְׁטוֹף","ח י ה","unrelated","word","word",NA
"סְלִיחָה","שיח","unrelated","word","word",NA
"מפרש","ש ו ע ל","unrelated","word","word",NA
"לָשֶׁבֶת","י צ ר","unrelated","word","word",NA
"לַעֲנוֹת","מ לכ ו ד ת","unrelated","word","word",NA
"לעתים קרובות","נעים","unrelated","word","word",NA
"לעתים רחוקות","ש  ל ע מו ד ה ש  דר ה","unrelated","word","word",NA
"סגור","כיסוי","unrelated","word","word",0.237441830127262
"רָחָב","רעב","unrelated","word","word",NA
"אֱמוּנָה","ת חב  יב","unrelated","word","word",NA
"שְׁבוּעָה","ח ד ר","unrelated","word","word",NA
"מכירה","מו ד רנ י","unrelated","word","word",NA
"חנות","ע צ ם","unrelated","word","word",NA
"צַלֶקֶת","בינלאומי","unrelated","word","word",NA
"עניבה","חיישן","unrelated","word","word",0.137878871986288
"לִפְגוֹשׁ","ה סת ב  רו ת","unrelated","word","word",NA
"לשבור","בזבוז","unrelated","word","word",0.144836489858464
"לָלֶכֶת","ה גו ן","unrelated","word","word",NA
"צינור","בטוח","unrelated","word","word",0.15014366228596
"מִשְׂחָק","תו צ א ה","unrelated","word","word",NA
"השכרה","לקרוא","unrelated","word","word",0.117037924210734
"לְתַפְעֵל","פ  נס י ה","unrelated","word","word",NA
"בירה","ה ח ל ש ו ת","unrelated","word","word",NA
"אֶקְסְפּרֶס","ל ה כפ  יל","unrelated","word","word",NA
"אִסטרָטֶגִיָה","נ ח מ ד","unrelated","word","word",NA
"לתפוס","ט ב  ק","unrelated","word","word",NA
"לא נעים","ל ה ג יע ","unrelated","word","word",NA
"נכון","מקל","unrelated","word","word",0.247213809761477
"לֹא אַחֲרַאִי","בעל ערך","unrelated","word","word",NA
"גלוֹבָּלִי","כ  תב י ה קו ד ש ","unrelated","word","word",NA
"בִּמְהִירוּת","לאומי","unrelated","word","word",NA
"לאסוף","ח לו ד","unrelated","word","word",NA
"בּוֹדֵד","ש  יח ה","unrelated","word","word",NA
"שָׁחוֹר","ל ל וו ת","unrelated","word","word",NA
"בריחה","מ פ ק ד","unrelated","word","word",NA
"הַבטָחָה","יום שבת","unrelated","word","word",NA
"לְהַפחִית","פ רו פ יל","unrelated","word","word",NA
"להשתמש","ב  ר יא","unrelated","word","word",NA
"לדווח","מאוחר","unrelated","word","word",0.109566301176763
"ללכת","כינוי","unrelated","word","word",0.175732049005712
"הַקפָּאָה","מנורה","unrelated","word","word",NA
"לְהַמשִׁיך","ר קד ן","unrelated","word","word",NA
"לְהַצִיעַ","ל ב ר ך","unrelated","word","word",NA
"לִשְׁמוֹעַ","ג  ז","unrelated","word","word",NA
"לְהוֹדוֹת","חו מ ר","unrelated","word","word",NA
"לתת","מעגל","unrelated","word","word",0.0781829969872972
"כַּדוּר","מחקר","unrelated","word","word",NA
"לוח זמנים","ד מיו ן","unrelated","word","word",NA
"לוֹחֶם","כסף מזומן","unrelated","word","word",NA
"ידע","ראשון","unrelated","word","word",0.124473938475126
"ספגטי","ל ת פ ו ס","unrelated","word","word",NA
"לִשְׂרוֹד","ו ר יד","unrelated","word","word",NA
"מַאֲבָק","ח בר ה","unrelated","word","word",NA
"גבינה","דחוף","unrelated","word","word",0.103641983413319
"למצוא","ריק","unrelated","word","word",0.156715743494979
"דִכָּאוֹן","ב  ר יאו ת","unrelated","word","word",NA
"סודה","ג או ן","unrelated","word","word",NA
"הפגנה","ש  רו ת ים","unrelated","word","word",NA
"מצליח","צמח","unrelated","word","word",0.0928608337399688
"הוֹמִי","ר ד יו ","unrelated","word","word",NA
"לחשב","ח ת ימ ה","unrelated","word","word",NA
"אֵיִ פַּעַם","מ ט פ  ל ת","unrelated","word","word",NA
"לִנְטוֹשׁ","ל ה ת נ ג ד","unrelated","word","word",NA
"מִרדָף","סו ד","unrelated","word","word",NA
"לִכתוֹב","מ נו מ ס","unrelated","word","word",NA
"זכור","ג דו ד","unrelated","word","word",NA
"לְתַחְזֵק","ח ר ד ה","unrelated","word","word",NA
"לַחשׁוֹב","ח יל ה פ  ר ש  ים","unrelated","word","word",NA
"לְתַקֵן","ל ש  ח ק","unrelated","word","word",NA
"וֵנוּס","ח בר ה","unrelated","word","word",NA
"עָשׂוֹר","פרנואידית","unrelated","word","word",NA
"שחקן","פ  יקנ יק","unrelated","word","word",NA
"מאוד","מ ינ י","unrelated","word","word",NA
"הוֹרֶה","אדם","unrelated","word","word",NA
"פוּנקצִיוֹנָלִי","ע צ ה","unrelated","word","word",NA
"מִכְתָב","מ לכ  ה","unrelated","word","word",NA
"שִׁריוֹן","לסביות","unrelated","word","word",NA
"מלוכלך","לעזוב","unrelated","word","word",0.114464236656451
"נַעַל","ש  ק ט","unrelated","word","word",NA
"מגפה","חמור","unrelated","word","word",0.177822236552441
"בִּניָן","י ר ח י","unrelated","word","word",NA
"אַבּסוּרדִי","תהליך","unrelated","word","word",NA
"חשמלי","קללה","unrelated","word","word",0.0722008624583307
"פּוֹלִיטִיקָאִי","מ ש ק ל","unrelated","word","word",NA
"עֶמֶק","ס פ ר י ה","unrelated","word","word",NA
"שֶׁקֶר","כ  נ ס י ה","unrelated","word","word",NA
"שַׂחְקָן","יד","unrelated","word","word",NA
"מַזרֵק","א צ יל י","unrelated","word","word",NA
"מתנה","צדקה","unrelated","word","word",0.223351919213873
"כְּפָר","מעמד","unrelated","word","word",NA
"בוקר","עתיד","unrelated","word","word",0.11881480551652
"מָחוֹז","פ  ח ם","unrelated","word","word",NA
"נִשׁקִיָה","אביב","unrelated","word","word",NA
"עוזרת","ל ח כו ת","unrelated","word","word",NA
"מַטָרָה","נ או ם","unrelated","word","word",NA
"עַרפָּד","ספק","unrelated","word","word",NA
"סַנטִימֶטֶר","סמל","unrelated","word","word",NA
"מיליארד דולר","נ א מ נו ת","unrelated","word","word",NA
"יזם","ה תל ה בו ת","unrelated","word","word",NA
"גוּפָנִי","ל ה ג ן","unrelated","word","word",NA
"מַקסִימוּם","ירח","unrelated","word","word",NA
"אגדה","מ ח מ א ה","unrelated","word","word",NA
"אוּנִיבֶרְסִיטָה","א נ רכ י ה","unrelated","word","word",NA
"אתגר","ע רו ם","unrelated","word","word",NA
"שָׂטָן","כ  ב ד","unrelated","word","word",NA
"משפט","מוות","unrelated","word","word",0.280483287373478
"מֶלְצָרִית","ל ה מע יט ב  ע רכ ו ","unrelated","word","word",NA
"מגעיל","יהלום","unrelated","word","word",0.0418982082018581
"קרב","דוב","unrelated","word","word",0.156992149896417
"מלך","ל ה ש  יג","unrelated","word","word",NA
"פְּתָיוֹן","לו ח ם","unrelated","word","word",NA
"זריקה","תפוח עץ","unrelated","word","word",NA
"אַלִיבִּי","א סטרו נ או ט","unrelated","word","word",NA
"דוֹקטוֹר","ש  מ י ם","unrelated","word","word",NA
"חוֹקֵר","דו א ר","unrelated","word","word",NA
"מֶמְשָׁלָה","ס ב ל","unrelated","word","word",NA
"יְדִידוּתִי","פ  ל יש  ה","unrelated","word","word",NA
"סוֹחֵר","בית חולים","unrelated","word","word",NA
"צג","ל ק נו ת","unrelated","word","word",NA
"שן","כאן","unrelated","word","word",0.0682704904155016
"מְסוּכָּן","מ נ ת ח ","unrelated","word","word",NA
"שדה תעופה","ט כנו לו ג י ה","unrelated","word","word",NA
"נָתִיב","רו צ ח ","unrelated","word","word",NA
"חֲבִילָה","ב  נ י ה","unrelated","word","word",NA
"פרס","ע קש  ן","unrelated","word","word",NA
"מזרח","ר ק","unrelated","word","word",NA
"גדול","בהחלט","unrelated","word","word",0.196619784228755
"מְצַמרֵר","כ ו ח ","unrelated","word","word",NA
"קַרטֵל","ב ו ב  ה","unrelated","word","word",NA
"סֶרֶן","ל ס לו ח ","unrelated","word","word",NA
"נְצִיב","ש  נ י ה","unrelated","word","word",NA
"לנעול","רו ש  ם","unrelated","word","word",NA
"תִפאֶרֶת","ז כ ר","unrelated","word","word",NA
"יְצוּר","כ  מו ת","unrelated","word","word",NA
"נמל","ב  לת י חו ק י","unrelated","word","word",NA
"מַשׁבֵּר","מ ש  ימ ה","unrelated","word","word",NA
"פנטזיה","שוחד","unrelated","word","word",0.0499829536986318
"מִיקרוֹפוֹן","ל ע מו ד","unrelated","word","word",NA
"מידע","ל א רג ן","unrelated","word","word",NA
"עותק","מ ע ר ב","unrelated","word","word",NA
"חדר אמבטיה","ב ו ץ","unrelated","word","word",NA
"מעניין","מ גד ל","unrelated","word","word",NA
"מְהִירוּת","ח ז ק","unrelated","word","word",NA
"גזע","שסתום","unrelated","word","word",0.16322438902876
"משימה","ת א","unrelated","word","word",NA
"חֲשִׁיבוּת","מפסידן","unrelated","word","word",NA
"סוֹפֵר","עוף","unrelated","word","word",NA
"יְסוֹדִי","ל ה חל ים","unrelated","word","word",NA
"גוֹבַה","ש  ב ט","unrelated","word","word",NA
"מוקדם","הו רמו ן","unrelated","word","word",NA
"עיתון","ח ל ב ו ן","unrelated","word","word",NA
"מְמַמֵן","קבינט","unrelated","word","word",NA
"רָאוּי","מ ח ט","unrelated","word","word",NA
"אוּמָה","ל ה פח יד","unrelated","word","word",NA
"זֶה","ל כאו ב","unrelated","word","word",NA
"לְהַעֲבִיר","סנאי","unrelated","word","word",NA
"אַדְרִיכָל","תמיכה","unrelated","word","word",NA
"עַצבָּנִי","סוף סוף","unrelated","word","word",NA
"מָסוֹרתִי","ניסיון","unrelated","word","word",NA
"מוֹחִי","סוכר","unrelated","word","word",NA
"הכן","חצאית","unrelated","word","word",0.0787658982713162
"קוֹנֶה","ק ס ם","unrelated","word","word",NA
"מוּמחֶה","ש  מ יכ ה","unrelated","word","word",NA
"לִימוּזִינָה","ל ה ת פ  ע ל","unrelated","word","word",NA
"בָּר","הכנה","unrelated","word","word",NA
"יָעִיל","רצון עז","unrelated","word","word",NA
"בּוֹחֵר","ל בלו ע ","unrelated","word","word",NA
"סוֹכְנוּת","ק ן","unrelated","word","word",NA
"לְהִתְרַכֵּז","מ דב  ר","unrelated","word","word",NA
"לָרֶשֶׁת","יריד","unrelated","word","word",NA
"פֵדֵרַצִיָה","ק יס ר י","unrelated","word","word",NA
"הַגדָרָה","ל ק נו ת","unrelated","word","word",NA
"מַקסִים","חצות","unrelated","word","word",NA
"סֵנָטוֹר","ש  כב ה","unrelated","word","word",NA
"הֵעָלְמוּת","ה תפ  ר צו ת","unrelated","word","word",NA
"להפך","אסור","unrelated","word","word",0.177305113288436
"מוצר","ל מ צו ץ","unrelated","word","word",NA
"ארוחה","ק תו ל י","unrelated","word","word",NA
"עוֹזֵר","מרגל","unrelated","word","word",NA
"לימוד","מ ח נ ה","unrelated","word","word",NA
"לְמַעלָה","כ  ימ י ה","unrelated","word","word",NA
"ייחודי","שיער","unrelated","word","word",0.157628346066189
"מִשׁפָּט","ס דר ה","unrelated","word","word",NA
"ling","בחר","unrelated","word","word",NA
"לווין","ש  יח ה","unrelated","word","word",NA
"לְהַכּוֹת","ארץ","unrelated","word","word",NA
"מְכִירָה","פ  ת יח ה","unrelated","word","word",NA
"מוֹטֶל","ע ד","unrelated","word","word",NA
"מַלְכוּת","אישי","unrelated","word","word",NA
"בּוֹס","נינג ה","unrelated","word","word",NA
"לִישׁוֹן","נ ג יעו ת","unrelated","word","word",NA
"נר","ח ז ית","unrelated","word","word",NA
"מַסְפִּיק","מ ס מ ר","unrelated","word","word",NA
"כתובת","כ  ע ס","unrelated","word","word",NA
"לְקַבֵּל","מ יל","unrelated","word","word",NA
"משולש","ע ב ד","unrelated","word","word",NA
"בית ספר","מו ש  ג","unrelated","word","word",NA
"חֲבֵרוּת","פשוטו כמשמעו","unrelated","word","word",NA
"זוֹכֵה","א ק ד ח","unrelated","word","word",NA
"הפקה","בית משפט","unrelated","word","word",NA
"מַפָּה","צ ל","unrelated","word","word",NA
"מקום","מו מח ה","unrelated","word","word",NA
"פטיש","נוגדן","unrelated","word","word",0.0290627234924507
"מקלט","כ ו ה ל","unrelated","word","word",NA
"בּוֹגֵד","טו ב","unrelated","word","word",NA
"סלט","פ ו לח ן","unrelated","word","word",NA
"מדהים","ת נו מ ה","unrelated","word","word",NA
"אינטרנט","ק ש  ה","unrelated","word","word",NA
"כותנה","אחד","unrelated","word","word",0.144821106989867
"כובע","תנועות","unrelated","word","word",0.120926278435641
"חָמוּד","בטעות","unrelated","word","word",NA
"לִקְרוֹת","ע כ  ב יש ","unrelated","word","word",NA
"נאמן","ח יו ב י","unrelated","word","word",NA
"מְסִירוּת","מזכיר","unrelated","word","word",NA
"יוֹשֶׁר","דבש","unrelated","word","word",NA
"דְרָשָׁה","ת א","unrelated","word","word",NA
"נָשִׂיא","עורך דין","unrelated","word","word",NA
"קְרִינָה","פ  צ צ ה","unrelated","word","word",NA
"כּוֹמֶר","לבן","unrelated","word","word",NA
"טִיסָה","ע דו ת","unrelated","word","word",NA
"חביב","מאמר","unrelated","word","word",0.109275342311567
"אחיין","מ ג ף","unrelated","word","word",NA
"אמיתי","רום","unrelated","word","word",0.137265213939218
"גָבוֹהַ","ימין","unrelated","word","word",NA
"סָגוּר","ר ע ש ","unrelated","word","word",NA
"שָׁעוֹן עֶצֶר","צנוע","unrelated","word","word",NA
"רוּחַ","מלון","unrelated","word","word",NA
"פַנטַסטִי","ל ח ס ל","unrelated","word","word",NA
"רִגשִׁי","נ פ  ץ","unrelated","word","word",NA
"לָנֶצַח","לחם","unrelated","word","word",NA
"צֶדֶק","א למ נ ה","unrelated","word","word",NA
"מצביע","י צר ן","unrelated","word","word",NA
"פִּין","ערך","unrelated","word","word",NA
"לְחַבֵּק","א צב  ע","unrelated","word","word",NA
"הַדבָּקָה","חיוך","unrelated","word","word",NA
"נסיעה","א ר מו ן","unrelated","word","word",NA
"אֲגַם","כריש","unrelated","word","word",NA
"דֵצֶמבֶּר","מפעל","unrelated","word","word",NA
"נעים","ק רנ ב ל","unrelated","word","word",NA
"חַשְׁמַל","מ צל מ ה","unrelated","word","word",NA
"נהג","חו ק","unrelated","word","word",NA
"יַלדוּת","לבד","unrelated","word","word",NA
"פרס","שגרירות","unrelated","word","word",0.177128042613184
"תַרכִּיב","רו ח ","unrelated","word","word",NA
"נוֹזֵל","נפילה","unrelated","word","word",NA
"הֶעְדֵר","ב  ת","unrelated","word","word",NA
"נקודת מבט","החוף","unrelated","word","word",NA
"מַחרִיד","לא סביר","unrelated","word","word",NA
"צוֹרֶך","קו ב ץ","unrelated","word","word",NA
"תִקשׁוֹרֶת","דו ד","unrelated","word","word",NA
"סמוראי","מ יל יו נ ר","unrelated","word","word",NA
"יֶדַע","ת קר ית","unrelated","word","word",NA
"לִהַבִיס","פ  רסו ם","unrelated","word","word",NA
"עֶלִיוֹן","וושינגטון","unrelated","word","word",NA
"נסיך","לנהל","unrelated","word","word",0.102423059118653
"קריר","נהר","unrelated","word","word",0.223303719588349
"יֶלֶד","ד ג ל","unrelated","word","word",NA
"הִתמוֹטְטוּת","מטה","unrelated","word","word",NA
"מֵידָע","רסיס","unrelated","word","word",NA
"סַבתָא","שינוי","unrelated","word","word",NA
"כְּאֵב","כ  ב ל","unrelated","word","word",NA
"פרק","מ לח מ ה","unrelated","word","word",NA
"כמות","תגובה","unrelated","word","word",0.231063577229157
"רַחֲמִים","אבולוציה","unrelated","word","word",NA
"הַרצָאָה","א מ א","unrelated","word","word",NA
"מַרהִיב","ל ה כנ יס","unrelated","word","word",NA
"פסקה","ב  ב ירו ר","unrelated","word","word",NA
"מיטה","ר ע יו ן","unrelated","word","word",NA
"אוֹקְטוֹבֶּר","ת ינו ק","unrelated","word","word",NA
"מוּזֵיאוֹן","גו לף","unrelated","word","word",NA
"מַחֲלוֹקֶת","ש  נו ן","unrelated","word","word",NA
"אַטמוֹספֵרָה","מ גנ ט י","unrelated","word","word",NA
"חֶמלָה","סמוך ל","unrelated","word","word",NA
"לָקוּחַ","בראו","unrelated","word","word",NA
"מוּסָך","ש  א ל ה","unrelated","word","word",NA
"חור","רכב","unrelated","word","word",0.174801555637884
"מִסתוֹרִין","ס נס צ יו נ י","unrelated","word","word",NA
"בַּלָשׁ","שקר","unrelated","word","word",NA
"סיים","ד רו מ י","unrelated","word","word",NA
"באטמן","מו ח ","unrelated","word","word",NA
"לָמוּת","ש  נא ה","unrelated","word","word",NA
"שוקולד","נערה","unrelated","word","word",0.129229414222005
"חירש","מקלט","unrelated","word","word",0.0535373979467158
"בסופו של דבר","מ ס ח ר י","unrelated","word","word",NA
"סופי","דו פ ק","unrelated","word","word",NA
"עמדה","שותף לעבודה","unrelated","word","word",NA
"מוֹרֶה","ל ה ש  ת ע ל","unrelated","word","word",NA
"גורם","לא נכון","unrelated","word","word",NA
"חולם","שום","unrelated","word","word",0.100442922636842
"קוֹנצֶרט","להמיס","unrelated","word","word",NA
"הנחה","גו ר ל","unrelated","word","word",NA
"תִסמוֹנֶת","ל ש  לו ט","unrelated","word","word",NA
"לְהַשְׁלִים","לשקול","unrelated","word","word",NA
"כוכב","בסיס","unrelated","word","word",0.22741609159519
"אֶבֶן","א לו ף","unrelated","word","word",NA
"רָחוֹק","פ  ר ס","unrelated","word","word",NA
"סגן","צו ל ל ת","unrelated","word","word",NA
"דביבון","יו ם ה ש  נ ה","unrelated","word","word",NA
"חָשׁוּד","בפשטות","unrelated","word","word",NA
"רָשׁוּת","ר ך","unrelated","word","word",NA
"מְשָׁרֵת","ס כו ם","unrelated","word","word",NA
"סְבִיב","חשבון","unrelated","word","word",NA
"עֵד","פ  ר ט י","unrelated","word","word",NA
"רָגִישׁ","ל נ קו ת","unrelated","word","word",NA
"הוכחה","נובל","unrelated","word","word",0.0788839761099379
"לסייע","ש  ד ר ה","unrelated","word","word",NA
"אֹזֶן","ע ד ין","unrelated","word","word",NA
"חֶרֶק","חלק עליון","unrelated","word","word",NA
"לָדַעַת","מ ש נ י","unrelated","word","word",NA
"פראנורמלית","קסם","unrelated","word","word",NA
"שְׁרִיר","ש ו ד ד י ם","unrelated","word","word",NA
"לייעץ עצה","ה סב  ר","unrelated","word","word",NA
"גולגולת","ק ה ל","unrelated","word","word",NA
"טְרָגִי","רגיל","unrelated","word","word",NA
"אָנוֹכִי","ח ג ה מו ל ד","unrelated","word","word",NA
"אזעקה","הרמת כוסית","unrelated","word","word",NA
"עֵירוֹם","א טו מ י","unrelated","word","word",NA
"חֲדָשׁוֹת","ה חו צ ה","unrelated","word","word",NA
"סִיגָר","קוד","unrelated","word","word",NA
"עֲבוֹדָה","צ ב ע","unrelated","word","word",NA
"גָלַקסִיָה","ל יג ה","unrelated","word","word",NA
"מַאֲסָר","התקדמות","unrelated","word","word",NA
"אומללות","ל א פש  ר","unrelated","word","word",NA
"טורקיה","מקום","unrelated","word","word",0.178521149398559
"רִקמָה","היום","unrelated","word","word",NA
"תוֹבֵעַ","עכבר","unrelated","word","word",NA
"hiv","ח ת ן","unrelated","word","word",NA
"רעב","ת ר ב ו ת","unrelated","word","word",NA
"עִיר","נו ס ע ","unrelated","word","word",NA
"עֵט","בלתי שגרתי","unrelated","word","word",NA
"פּוֹלִיטִיקָה","גו ף","unrelated","word","word",NA
"עכברוש","ל מ נו ע ","unrelated","word","word",NA
"וַעֲדָה","בית קולנוע","unrelated","word","word",NA
"עָשִׁיר","יחידה","unrelated","word","word",NA
"עֲרָפֶל","ל ק וו ת","unrelated","word","word",NA
"חייזר","אלף","unrelated","word","word",0.155020234590996
"מחיר","מהלך   לזוז   לעבור","unrelated","word","word",NA
"לַעֲשׂוֹת","ר חו ם","unrelated","word","word",NA
"עבר","שמרני","unrelated","word","word",0.132315353985777
"מִסעָדָה","ל ג ש  ר","unrelated","word","word",NA
"אף","ס ת יר ה","unrelated","word","word",NA
"שמן","חו ט ף","unrelated","word","word",NA
"מֵימָן","ג בע ה","unrelated","word","word",NA
"מְאַהֵב","החלף","unrelated","word","word",NA
"קֶמפִּינג","ש  ל ה צ י","unrelated","word","word",NA
"מִבְנֶה","תמיד","unrelated","word","word",NA
"שיכור","מ צ ב","unrelated","word","word",NA
"נִמלָט","ש  ב ב","unrelated","word","word",NA
"לִתְקוֹף","רו ב ו ט","unrelated","word","word",NA
"חיצוני","מתוק","unrelated","word","word",0.141835013791409
"שכר","קופסא","unrelated","word","word",0.0409081987517842
"גִיטָרָה","ת בו א ה","unrelated","word","word",NA
"פעילות","ג דו ל","unrelated","word","word",NA
"פציעה","מכ ם","unrelated","word","word",NA
"חומר נפץ","ג ז","unrelated","word","word",NA
"חֲזִיר","ל ש  כ ו ר","unrelated","word","word",NA
"פְּרָטִיוּת","ט ר ף","unrelated","word","word",NA
"מֵדַלִיָה","ק סד ה","unrelated","word","word",NA
"ציפור","ג נ ר טו ר","unrelated","word","word",NA
"סֵנָט","פינה","unrelated","word","word",NA
"שיווק","עמלה","unrelated","word","word",0.257389381213997
"באופן בלתי צפוי","שולחן","unrelated","word","word",NA
"סגירת מעגל","לעקוב אחר","unrelated","word","word",NA
"טֶקֶס","חותמת","unrelated","word","word",NA
"דָת","לאט","unrelated","word","word",NA
"תַחֲנָה","ל ה חמ יא","unrelated","word","word",NA
"תכנית","א נ טו מ י ה","unrelated","word","word",NA
"תיאור","להגיש תלונה","unrelated","word","word",NA
"מדינה","בטון","unrelated","word","word",0.16377948412451
"כִּשָׁרוֹן","כ מו ס ה","unrelated","word","word",NA
"מפורסם","ל ה ע ל יב","unrelated","word","word",NA
"סרט","ל יצו ר","unrelated","word","word",NA
"מָתֵימָטִיקָה","פורנו","unrelated","word","word",NA
"דינג","שלב","unrelated","word","word",0.115538861585766
"סִמטָה","ל ה חז יק","unrelated","word","word",NA
"מגזין","ג ש  ם","unrelated","word","word",NA
"לְהַפְרִיעַ","ת זמו ר ת","unrelated","word","word",NA
"להזמין","ש  פ ה","unrelated","word","word",NA
"מְטוּרָף","ר פו א י","unrelated","word","word",NA
"למעשה","עני","unrelated","word","word",0.0843528067642296
"לצייר","מול","unrelated","word","word",0.103521871091404
"לצייד","ב  י ת","unrelated","word","word",NA
"אפל","ל דחו ף","unrelated","word","word",NA
"לְטָאָה","פ  ה","unrelated","word","word",NA
"תרומה","ט ר י","unrelated","word","word",NA
"סִירָה","ל גנו ב","unrelated","word","word",NA
"ספינה","תמים","unrelated","word","word",0.0847194087153024
"לִשְׁרוֹק","חו ז ה","unrelated","word","word",NA
"דיג","ש  לש ו ל","unrelated","word","word",NA
"פֶּרַח","ט ל סקו פ ","unrelated","word","word",NA
"צָנוּעַ","נ א מ נו ת","unrelated","word","word",NA
