"he_cue","he_target","he_fake_target","he_fake_cue","en_cue","en_target"
"כוכב לכת","מַסלוּל","riסלוּל","כוכבעיכת","planet","orbit"
"כינוי","שֵׁם מִשׁפָּחָה","שֵׁם מִשׁפָּהזה","כיבני","nickname","surname"
"כיסוי","להתחבא","להתחאק","כיגני","cover","hide"
"כללי","אלוף משנה","אלוףהגשנה","ומלי","general","colonel"
"כסף מזומן","כֶּסֶף","כֶּסhm","כסיימזומן","cash","money"
"כף","מזלג","מזיה","nc","spoon","fork"
"כריך","המבורגר","המבואקר","עשיך","sandwich","hamburger"
"כריש","דג","זת","פסיש","shark","fish"
"ל א פש  ר","לְסַפֵּק","סןסַפֵּק","zuא פש  ר","enable","provide"
"ל א רג ן","לְאַרגֵן","לְאַרגג ","ל א רגku","arrange","organize"
"ל ב ר ך","לברך","לבתנ","סשב ר ך","congratulate","greet"
"ל ב ש  ל","שֶׁף","oxׁף","ל ב ש nc","cook","chef"
"ל בחו ן","לַחקוֹר","לַחקעגר","phבחו ן","examine","investigate"
"ל בלו ע ","ללעוס","ללשכס","ilבלו ע ","swallow","chew"
"ל ג יו ן","צָבָא","rnבָא","ל ג יוגך","legion","army"
"ל ג ש  ר","מִנהָרָה","מִנהָרks","ל ג ש dj","bridge","tunnel"
"ל גנו ב","לִשְׁדוֹד","לִשְׁדשקד","ל גנאסב","steal","rob"
"ל דחו ף","מְשׁוֹך","cjשׁוֹך","סםדחו ף","push","pull"
"ל ה א ט","מָהִיר","מָדזיר","tcה א ט","slow","fast"
"ל ה ב יא","לִשְׁלוֹחַ","ףלשְׁלוֹחַ","ahה ב יא","bring","send"
"ל ה ב ין","מבינה","איינה","nrה ב ין","realize","understand"
"ל ה ג יע ","לבוא","לברנ","ל ה הריע ","arrive","come"
"ל ה ג ן","לְהַגֵן","fbהַגֵן","ל ה הכן","protect","defend"
"ל ה חז יק","לִשְׁמוֹר","tlשְׁמוֹר","gpה חז יק","hold","keep"
"ל ה חל ים","לְרַפֵּא","כםרַפֵּא","ל ה חלפשם","recover","heal"
"ל ה חמ יא","לְהַרְשִׁים","rvהַרְשִׁים","קםה חמ יא","flatter","impress"
"ל ה טב  יע ","לשחות","הכחות","ל ה טבאייע ","drown","swim"
"ל ה כ יל","תוֹכֶן","תוֹכpn","ltה כ יל","contain","content"
"ל ה כנ יס","לָשִׂים","pmשִׂים","ךנה כנ יס","insert","put"
"ל ה כפ  יל","לְשַׁלֵשׁ","pdשַׁלֵשׁ","ל לשכפ  יל","double","triple"
"ל ה מע יט ב  ע רכ ו ","לְהַגזִים","pdהַגזִים","otה מע יט ב  ע רכ ו ","underestimate","exaggerate"
"ל ה ס ת כ  ן","סַכָּנָה","lfכָּנָה","נץה ס ת כ  ן","risk","danger"
"ל ה ע ל יב","לְהַעֲלִיב","צץהַעֲלִיב","םצה ע ל יב","insult","offend"
"ל ה ע נ יש ","מַעְצָר","lyעְצָר","ohה ע נ יש ","punish","arrest"
"ל ה פ ע יל","כִּירוּרגִיָה","הםּירוּרגִיָה","lyה פ ע יל","operate","surgery"
"ל ה פח יד","להפחיד","להשויד","עףה פח יד","scare","frighten"
"ל ה צ יל","לשמור","לשיםר","סןה צ יל","rescue","save"
"ל ה ש  יג","לנצח","לנהו","cmה ש  יג","gain","win"
"ל ה ש  פ  יע ","השפעה","השאטה","uvה ש  פ  יע ","influence","effect"
"ל ה ש  ת ע ל","חום","דכם","hrה ש  ת ע ל","cough","fever"
"ל ה ת ג ר ש ","נישואים","ניקיאים","msה ת ג ר ש ","divorce","marriage"
"ל ה ת נ ג ד","נושא","נוסן","wuה ת נ ג ד","object","subject"
"ל ה ת נ ד ב","מרצון","מרפרן","hqה ת נ ד ב","volunteer","voluntarily"
"ל ה ת פ  ע ל","מעריך","וחריך","ל ה ת פ  עou","admire","appreciate"
"ל ח כו ת","לְצַפּוֹת","ufצַפּוֹת","ל ח כוvo","wait","expect"
"ל ח ס ל","לְהַסִיר","תךהַסִיר","ovח ס ל","eliminate","remove"
"ל ח צ ן","ללחוץ","קרחוץ","dlח צ ן","button","press"
"ל חטו ף","לַחטוֹף","לַחטלכף","krחטו ף","kidnap","abduct"
"ל חפ ו ר","לִקְבּוֹר","osקְבּוֹר","ptחפ ו ר","dig","bury"
"ל ט פ  ס","קְפִיצָה","ufפִיצָה","ל ט פ ao","climb","jump"
"ל טעו ן","מטען","מטבס","ל טעגרן","load","cargo"
"ל י ל ה","עֶרֶב","笙ェרֶב","ahי ל ה","night","evening"
"ל יג ה","קְבוּצָה","קְבוּצhk","ל יגגך","league","team"
"ל יצו ר","ליצר","ליעה","ל יצעהר","create","produce"
"ל יר ה","דוֹלָר","דובהָר","ןחיר ה","pound","dollar"
"ל כאו ב","אִינְטֶלִיגֶנְטִי","אִינְטֶלִיגֶנְציי","רךכאו ב","smart","intelligent"
"ל ל וו ת","ללוות","ללתית","ל ל ווגנ","escort","accompany"
"ל למו ד","לְלַמֵד","וxלַמֵד","msלמו ד","learn","teach"
"ל מ מ ן","להשקיע","להיסיע","tlמ מ ן","finance","invest"
"ל מ נו ע ","תפסיק","תפנוק","צקמ נו ע ","prevent","stop"
"ל מ צו ץ","לְלַקֵק","יףלַקֵק","ל מ צותנ","suck","lick"
"ל נ סו ת","מִבְחָן","srבְחָן","rpנ סו ת","experiment","test"
"ל נ סו ת","לְנַסוֹת","jrנַסוֹת","rpנ סו ת","try","attempt"
"ל נ קו ת","לִשְׁטוֹף","לִשְׁטהקף","osנ קו ת","clean","wash"
"ל ס לו ח ","סְלִיחָה","bpלִיחָה","קץס לו ח ","forgive","excuse"
"ל ע ג ן","מפרש","מפספ","iqע ג ן","anchor","sail"
"ל ע מו ד","לָשֶׁבֶת","לָשֶׁבph","ל נסמו ד","stand","sit"
"ל ע נו ת","לַעֲנוֹת","לַעֲנודפ","ל ססנו ת","torment","torture"
"ל פ ע מ ים","לעתים קרובות","לעתיתדקרובות","ttפ ע מ ים","sometimes","often"
"ל פ ע מ ים","לעתים רחוקות","לעתיוגרחוקות","ttפ ע מ ים","occasionally","rarely"
"ל פ תו ח ","סגור","גדור","fmפ תו ח ","open","close"
"ל צ מ צ ם","רָחָב","笙ェחָב","icצ מ צ ם","narrow","wide"
"ל ק וו ת","אֱמוּנָה","חןמוּנָה","ל ק ווdb","hope","faith"
"ל ק ל ל","שְׁבוּעָה","הףׁבוּעָה","ckק ל ל","swear","oath"
"ל ק נו ת","מכירה","שרירה","ל ק נוmu","buy","sell"
"ל ק נו ת","חנות","שיות","ל ק נוmu","shop","store"
"ל ק ע ק ע ","צַלֶקֶת","יץלֶקֶת","phק ע ק ע ","tattoo","scar"
"ל ק ש ו ר","עניבה","ענודה","וםק ש ו ר","bind","tie"
"ל ר או ת","לִפְגוֹשׁ","גץפְגוֹשׁ","hqר או ת","see","meet"
"ל ר ס ק","לשבור","לשיחר","טץר ס ק","smash","break"
"ל רו ץ","לָלֶכֶת","צקלֶכֶת","ל רוim","run","walk"
"ל ש  או ב","צינור","ציפיר","גףש  או ב","pump","hose"
"ל ש  ח ק","מִשְׂחָק","מִשְׂחhn","jiש  ח ק","play","game"
"ל ש  כ ו ר","השכרה","וזכרה","ל ש  כ ושז","hire","rent"
"ל ש  לו ט","לְתַפְעֵל","phתַפְעֵל","ל ש  לקמט","control","manipulate"
"ל ש  תו ת","בירה","ביעי","xoש  תו ת","drink","beer"
"ל ת א ר","אֶקְסְפּרֶס","אֶקְסְפּממס","ל ת תמר","describe","express"
"ל ת כ נ ן","אִסטרָטֶגִיָה","dmסטרָטֶגִיָה","ל ת כ יזן","plan","strategy"
"ל ת פ ו ס","לתפוס","במפוס","xbת פ ו ס","grab","catch"
"לא נוח","לא נעים","לארמעים","לאזיוח","uncomfortable","unpleasant"
"לא נכון","נכון","נכבי","לא נואן","wrong","correct"
"לא סביר","לֹא אַחֲרַאִי","mfא אַחֲרַאִי","לאשדביר","unreasonable","irresponsible"
"לאומי","גלוֹבָּלִי","גלוֹבָּלjp","לאיבי","national","global"
"לאט","בִּמְהִירוּת","oaּמְהִירוּת","יפט","slowly","quickly"
"לאסוף","לאסוף","לאובף","לאידף","collect","gather"
"לבד","בּוֹדֵד","בּוֹבעד","והד","alone","lonely"
"לבן","שָׁחוֹר","syׁחוֹר","חצן","white","black"
"לברוח","בריחה","ברשוה","בארוח","flee","escape"
"להבטיח","הַבטָחָה","הַבטָח笙ェ","להסביח","guarantee","promise"
"להגביר","לְהַפחִית","dlהַפחִית","להקשיר","increase","reduce"
"להגיש מועמדות","להשתמש","להשתקן","להגימסמועמדות","apply","use"
"להגיש תלונה","לדווח","בשווח","להגיש גיונה","report","inform"
"להיכנס","ללכת","לליק","להיכבו","enter","go"
"להמיס","הַקפָּאָה","זתקפָּאָה","נשמיס","melt","freeze"
"להמשיך","לְהַמשִׁיך","לְהַמשנדיך","להסדיך","proceed","continue"
"להציע","לְהַצִיעַ","לְהַאסיעַ","להידע","propose","suggest"
"להקשיב","לִשְׁמוֹעַ","dlשְׁמוֹעַ","להתהיב","listen","hear"
"להתוודות","לְהוֹדוֹת","לְהוקנוֹת","להאיודות","admit","confess"
"להתיר","לתת","כזת","תחתיר","allow","let"
"לו ח ","כַּדוּר","tlּדוּר","לומא ","tablet","pill"
"לו ח  ש  נ ה","לוח זמנים","לויסזמנים","לו ח  ש  נac","calendar","schedule"
"לו ח ם","לוֹחֶם","לוֹחpj","לו חןו","soldier","warrior"
"לזהות","ידע","ציע","לזיכת","recognize","knew"
"לזניה","ספגטי","ספלשי","לזיןה","lasagna","spaghetti"
"לחיות","לִשְׂרוֹד","igשְׂרוֹד","עויות","live","survive"
"לחימה","מַאֲבָק","ovאֲבָק","לחליה","combat","fight"
"לחם","גבינה","להינה","רסם","bread","cheese"
"לחפש","למצוא","למפלא","מהפש","search","find"
"לחץ","דִכָּאוֹן","hmכָּאוֹן","אלץ","stress","depression"
"לימונדה","סודה","חמדה","לימושבה","lemonade","soda"
"למחות","הפגנה","הפסלה","למוסת","protest","demonstration"
"לנהל","מצליח","יוליח","לנוו","manage","succeed"
"לסביות","הוֹמִי","הוֹמfa","משביות","lesbian","gay"
"לספור","לחשב","ולשב","במפור","count","calculate"
"לעולם לא","אֵיִ פַּעַם","הץיִ פַּעַם","לעולרשלא","never","ever"
"לעזוב","לִנְטוֹשׁ","krנְטוֹשׁ","לעושב","leave","abandon"
"לעקוב אחר","מִרדָף","מִרדnr","לעקוהואחר","follow","chase"
"לקרוא","לִכתוֹב","uvכתוֹב","לקטיא","read","write"
"לשכוח","זכור","סתור","לששכח","forget","remember"
"לשמור","לְתַחְזֵק","קםתַחְזֵק","לשותר","preserve","maintain"
"לשקול","לַחשׁוֹב","תכחשׁוֹב","לשבטל","consider","think"
"לתקן","לְתַקֵן","לְתַשדן","לתרז","fix","repair"
"מ א ד ים","וֵנוּס","gcנוּס","wrא ד ים","mars","venus"
"מ א ה","עָשׂוֹר","ucשׂוֹר","osא ה","century","decade"
"מ א מ ן","שחקן","שחלמ","פןא מ ן","coach","player"
"מ או ד","מאוד","בווד","ויאו ד","extremely","very"
"מ בו ג ר","הוֹרֶה","הוֹרex","מ בו גהע","adult","parent"
"מ בצ ע י","פוּנקצִיוֹנָלִי","פושלקצִיוֹנָלִי","מ בצחו י","operational","functional"
"מ בר ק","מִכְתָב","מִכְטלב","טםבר ק","telegram","letter"
"מ ג ן","שִׁריוֹן","שִׁריודו","ghג ן","shield","armor"
"מ ג ע יל","מלוכלך","מלוכבע","lhג ע יל","nasty","filthy"
"מ ג ף","נַעַל","nsעַל","bfג ף","boot","shoe"
"מ ג פ ה","מגפה","יקפה","rvג פ ה","plague","epidemic"
"מ גד ל","בִּניָן","דםּניָן","krגד ל","tower","building"
"מ גו ח ך","אַבּסוּרדִי","ןהבּסוּרדִי","מ גו חךל","ridiculous","absurd"
"מ גנ ט י","חשמלי","חשיםי","מ גנ טyo","magnetic","electric"
"מ ד ינ יו ת","פּוֹלִיטִיקָאִי","gcוֹלִיטִיקָאִי","פןד ינ יו ת","policy","politician"
"מ דב  ר","עֶמֶק","עֶנמק","טףדב  ר","desert","valley"
"מ זו י ף","שֶׁקֶר","שֶׁקft","מ זוגך ף","fake","FALSE"
"מ ח ב  ר","שַׂחְקָן","kfׂחְקָן","oiח ב  ר","author","actor"
"מ ח ט","מַזרֵק","סשזרֵק","bpח ט","needle","syringe"
"מ ח מ א ה","מתנה","מתרח","rbח מ א ה","compliment","gift"
"מ ח נ ה","כְּפָר","אךּפָר","עהח נ ה","camp","village"
"מ ח ר","בוקר","בושי","ogח ר","tomorrow","morning"
"מ חו ז","מָחוֹז","מָחוqu","מ חוio","county","district"
"מ חס ן נ ש  ק","נִשׁקִיָה","fpשׁקִיָה","ahחס ן נ ש  ק","arsenal","armory"
"מ ט פ  ל ת","עוזרת","עורבת","jtט פ  ל ת","nanny","maid"
"מ ט ר ה","מַטָרָה","ןהטָרָה","mtט ר ה","purpose","intention"
"מ טו מט ם","עַרפָּד","rnרפָּד","rpטו מט ם","zombie","vampire"
"מ יל","סַנטִימֶטֶר","סַנטִימֶזבר","snיל","mile","centimeter"
"מ יל יו ן","מיליארד דולר","מיליארמאדולר","צץיל יו ן","million","billion"
"מ יל יו נ ר","יזם","לתם","רטיל יו נ ר","millionaire","entrepreneur"
"מ ינ י","גוּפָנִי","גוּפָנג ","מ ינסנ","sexual","physical"
"מ ינ ימו ם","מַקסִימוּם","מַקסִימוtp","מ ינרקמו ם","minimum","maximum"
"מ יתו ס","אגדה","הזדה","xbיתו ס","myth","legend"
"מ כל ל ה","אוּנִיבֶרְסִיטָה","אוטןִיבֶרְסִיטָה","מ כל לjr","college","university"
"מ כש ו ל","אתגר","אתבן","מ כש וספ","obstacle","challenge"
"מ ל א ך","שָׂטָן","oiׂטָן","jjל א ך","angel","devil"
"מ ל ה","משפט","משקח","קץל ה","word","sentence"
"מ ל צ ר","מֶלְצָרִית","fxלְצָרִית","תםל צ ר","waiter","waitress"
"מ לו כל ך","מגעיל","מגדרל","מ לוכתל ך","dirty","disgusting"
"מ לח מ ה","קרב","וטב","riלח מ ה","war","battle"
"מ לכ  ה","מלך","וסך","llלכ  ה","queen","king"
"מ לכ ו ד ת","פְּתָיוֹן","פְּתָיטקן","jrלכ ו ד ת","trap","bait"
"מ נ ה","זריקה","בניקה","cfנ ה","dose","injection"
"מ נ יע ","אַלִיבִּי","כץלִיבִּי","ogנ יע ","motive","alibi"
"מ נ ת ח ","דוֹקטוֹר","דוונטוֹר","רםנ ת ח ","surgeon","doctor"
"מ נ ת ח ","חוֹקֵר","חוֹקfr","רםנ ת ח ","analyst","investigator"
"מ נה ל","מֶמְשָׁלָה","מֶמְשָׁלex","ckנה ל","administration","government"
"מ נו מ ס","יְדִידוּתִי","יְדִידוּהסי","סחנו מ ס","polite","friendly"
"מ ס ח ר י","סוֹחֵר","סוֹחפפ","cjס ח ר י","commercial","merchant"
"מ ס ך","צג","cl","מ החך","screen","monitor"
"מ ס מ ר","שן","ץר","מ ס זנר","nail","tooth"
"מ סו כ  ן","מְסוּכָּן","jbסוּכָּן","מ סוסה  ן","risky","dangerous"
"מ סו ף","שדה תעופה","שדה הנופה","מ סוpo","terminal","airport"
"מ סלו ל","נָתִיב","נָבהיב","קםסלו ל","route","path"
"מ ע ט פ ה","חֲבִילָה","צףבִילָה","ftע ט פ ה","envelope","package"
"מ ע נ ק","פרס","ופס","fpע נ ק","bonus","reward"
"מ ע ר ב","מזרח","מזשל","sbע ר ב","west","east"
"מ עו ל ה","גדול","פחול","מ עו לci","excellent","great"
"מ פ ח יד","מְצַמרֵר","xyצַמרֵר","מ פ שתיד","scary","creepy"
"מ פ י ה","קַרטֵל","בfרטֵל","בץפ י ה","mafia","cartel"
"מ פ ק ד","סֶרֶן","חןרֶן","rvפ ק ד","commander","captain"
"מ פ ק ח ","נְצִיב","cnצִיב","מ פ ק ln","inspector","commissioner"
"מ פ ת ח ","לנעול","לנפגל","תךפ ת ח ","key","lock"
"מ פו א ר","תִפאֶרֶת","תִפאֶרjo","מ פו אsb","glorious","glory"
"מ פל צ ת","יְצוּר","תךצוּר","ewפל צ ת","monster","creature"
"מ פר ץ","נמל","ותל","מ פרהך","bay","harbor"
"מ צ ב","מַשׁבֵּר","מַשׁבֵun","qcצ ב","situation","crisis"
"מ צ יאו ת","פנטזיה","פנקדיה","מ צ יאזפת","reality","fantasy"
"מ צל מ ה","מִיקרוֹפוֹן","מִיקרולאוֹן","נףצל מ ה","camera","microphone"
"מ קו ר","מידע","מיאן","מ קובצ","source","informant"
"מ קו ר י","עותק","עולת","נףקו ר י","original","copy"
"מ קל ח ת","חדר אמבטיה","חדתםאמבטיה","hpקל ח ת","shower","bathroom"
"מ ר ג ש ","מעניין","מעווין","mpר ג ש ","exciting","interesting"
"מ ר ח ק","מְהִירוּת","sdהִירוּת","snר ח ק","distance","speed"
"מ ר תו ן","גזע","עגע","qsר תו ן","marathon","race"
"מ ש  ימ ה","משימה","משאיה","hmש  ימ ה","task","mission"
"מ ש  מ עו ת","חֲשִׁיבוּת","חֲשִׁיבוטק","לםש  מ עו ת","meaning","importance"
"מ ש ו ר ר","סוֹפֵר","סוחףֵר","מ ש ו נשר","poet","writer"
"מ ש נ י","יְסוֹדִי","יְסוֹדםה","bmש נ י","secondary","primary"
"מ ש ק ל","גוֹבַה","גוֹבtp","lfש ק ל","weight","height"
"מאוחר","מוקדם","מוטטם","מאיער","late","early"
"מאמר","עיתון","עיסטן","מאלפ","article","newspaper"
"מבחינה כלכלית","מְמַמֵן","וםמַמֵן","מבומנה כלכלית","financially","financing"
"מגיע","רָאוּי","רָאוג ","מגוו","deserve","worthy"
"מדינה","אוּמָה","אוּמכצ","המינה","country","nation"
"מה","זֶה","ךבה","יך","what","that"
"מהלך   לזוז   לעבור","לְהַעֲבִיר","ftהַעֲבִיר","מהלך   לזויף  לעבור","move","transfer"
"מהנדס","אַדְרִיכָל","אַדְרִיכdj","מהופס","engineer","architect"
"מו ד א ג","עַצבָּנִי","rjצבָּנִי","מולר א ג","worried","nervous"
"מו ד רנ י","מָסוֹרתִי","טפסוֹרתִי","מו ד רסכי","modern","traditional"
"מו ח ","מוֹחִי","מוֹחjj","מווע ","brain","cerebral"
"מו כ ן","הכן","אטן","מו כtu","ready","prepare"
"מו כ ר","קוֹנֶה","קוֹנתנ","מו כjp","seller","buyer"
"מו מח ה","מוּמחֶה","מוצץחֶה","מולרח ה","expert","specialist"
"מו נ ית","לִימוּזִינָה","לִימוּזִינdb","מו נעזת","taxi","limousine"
"מו ע דו ן","בָּר","בָru","מו ע דערן","club","bar"
"מו ע יל","יָעִיל","קםעִיל","מו עלעל","useful","effective"
"מו ע מ ד","בּוֹחֵר","בּוֹהגר","מו ע מuv","candidate","voter"
"מו צ ק","סוֹכְנוּת","סוֹכְנלהת","מוזס ק","firm","agency"
"מו ק ד","לְהִתְרַכֵּז","לְהִתְרַכֵru","מו קun","focus","concentrate"
"מו ר ש  ת","לָרֶשֶׁת","ckרֶשֶׁת","מו ר שקטת","heritage","inherit"
"מו ש  ב ה","פֵדֵרַצִיָה","ג דֵרַצִיָה","מו ש  גסה","colony","federation"
"מו ש  ג","הַגדָרָה","הַגדָרho","מוטת  ג","concept","definition"
"מו ש  ך","מַקסִים","cjקסִים","מודס  ך","attractive","charming"
"מו ש  ל","סֵנָטוֹר","笙ェנָטוֹר","מו שהדל","governor","senator"
"מוות","הֵעָלְמוּת","זןעָלְמוּת","סיות","death","disappearance"
"מול","להפך","להלץ","כיל","opposite","contrary"
"מותג","מוצר","מודו","מוטץ","brand","product"
"מזון","ארוחה","ארמנה","אשון","food","meal"
"מזכיר","עוֹזֵר","עוֹזtx","מזותר","secretary","assistant"
"מחקר","לימוד","ליפרד","מחלו","research","study"
"מטה","לְמַעלָה","לְמַעלןת","עקה","down","up"
"מיוחד","ייחודי","ייתעדי","הלוחד","special","unique"
"מילון","מִשׁפָּט","ןחשׁפָּט","מיתין","dictionary","phrase"
"מינג","ling","liעץ","מיומ","ming","ling"
"מכ ם","לווין","לובון","מכחפ","radar","satellite"
"מכה","לְהַכּוֹת","nzהַכּוֹת","טמה","hit","strike"
"מכירה פומבית","מְכִירָה","טץכִירָה","מכירה יימבית","auction","sale"
"מלון","מוֹטֶל","מוֹטגך","רכון","hotel","motel"
"מלכותי","מַלְכוּת","ftלְכוּת","ויכותי","royal","kingdom"
"מנהל","בּוֹס","ג וֹס","לעהל","manager","boss"
"מנוחה","לִישׁוֹן","לִישׁוwa","לעוחה","rest","sleep"
"מנורה","נר","תס","מנדיה","lamp","candle"
"מספיק","מַסְפִּיק","ckסְפִּיק","ריפיק","enough","sufficient"
"מספר","כתובת","וזובת","ובפר","number","address"
"מסרב","לְקַבֵּל","xbקַבֵּל","מסינ","refuse","accept"
"מעגל","משולש","והולש","פיגל","circle","triangle"
"מעמד","בית ספר","בייזספר","מעהו","class","school"
"מערכת יחסים","חֲבֵרוּת","הםבֵרוּת","מערכךייחסים","relationship","friendship"
"מפסידן","זוֹכֵה","זוֹכdb","מפסיום","loser","winner"
"מפעל","הפקה","יבקה","מפיס","factory","production"
"מצפן","מַפָּה","מַפָtu","מצתח","compass","map"
"מקום","מקום","מקדי","מקדי","place","location"
"מקל","פטיש","עביש","גנל","stick","hammer"
"מקלט","מקלט","אפלט","מקגר","refuge","shelter"
"מרגל","בּוֹגֵד","cnוֹגֵד","שבגל","spy","traitor"
"מרק","סלט","הטט","ילק","soup","salad"
"מרשימים","מדהים","המהים","מרהתמים","impressive","amazing"
"מרשתת","אינטרנט","אילברנט","מרלות","internet","web"
"משי","כותנה","כוהיה","תפי","silk","cotton"
"משקפיים","כובע","כוגל","משוריים","glasses","cap"
"מתוק","חָמוּד","נהמוּד","קבוק","sweet","cute"
"מתרחש","לִקְרוֹת","לִלנרוֹת","מתקדש","occur","happen"
"נ א מ ן","נאמן","לפמן","rlא מ ן","loyal","faithful"
"נ א מ נו ת","מְסִירוּת","מְסִירתזת","נ א מ נוכמ","fidelity","devotion"
"נ א מ נו ת","יוֹשֶׁר","יוֹשעגר","נ א מ נוכמ","loyalty","honesty"
"נ או ם","דְרָשָׁה","דְרָשָwa","נ אוג ","speech","sermon"
"נ ג יד","נָשִׂיא","bpשִׂיא","adג יד","chancellor","president"
"נ ג יעו ת","קְרִינָה","קְאנינָה","בךג יעו ת","contamination","radiation"
"נ ז יר","כּוֹמֶר","כּוֹהקר","mpז יר","monk","priest"
"נ ח ית ה","טִיסָה","טִיסjt","חץח ית ה","landing","flight"
"נ ח מ ד","חביב","קטיב","wuח מ ד","nice","lovely"
"נ כ ד","אחיין","מאיין","ieכ ד","grandson","nephew"
"נ כו ן","אמיתי","רביתי","נ כוut","TRUE","real"
"נ מו ך","גָבוֹהַ","חץבוֹהַ","זתמו ך","low","high"
"נ עו ל","סָגוּר","סָגוec","כיעו ל","locked","closed"
"נ פ  ץ","שָׁעוֹן עֶצֶר","שָׁעוֹן עֶהכר","jrפ  ץ","detonator","timer"
"נ פ ש ","רוּחַ","רולסַ","נ פ חצ","soul","spirit"
"נ פל א","פַנטַסטִי","ילנטַסטִי","נ פלשה","wonderful","fantastic"
"נ פש  י","רִגשִׁי","םרגשִׁי","נ פשנחי","mental","emotional"
"נ צח י","לָנֶצַח","לָנֶמפח","נ צחjb","eternal","forever"
"נ ק מ ה","צֶדֶק","תךדֶק","txק מ ה","revenge","justice"
"נ קו ד ה","מצביע","שמביע","נ קו דgt","point","indicate"
"נ ר ת יק","פִּין","fpּין","dsר ת יק","vagina","penis"
"נ ש  יק ה","לְחַבֵּק","jcחַבֵּק","ךבש  יק ה","kiss","hug"
"נגיף","הַדבָּקָה","tjדבָּקָה","נגסי","virus","infection"
"נהיגה","נסיעה","פריעה","צליגה","drive","ride"
"נהר","אֲגַם","אֲהשם","לצר","river","lake"
"נו ב מב  ר","דֵצֶמבֶּר","דֵצֶמבטפר","נו ב מב עכ","november","december"
"נו ח ","נעים","קקים","נופץ ","comfortable","pleasant"
"נו כ ח י","חַשְׁמַל","חַשְׁמזד","נו כ חםד","current","electricity"
"נו ס ע ","נהג","אזג","נופח ע ","passenger","driver"
"נו ע ר","יַלדוּת","xxלדוּת","נו עpj","youth","childhood"
"נובל","פרס","ופס","בהבל","nobel","prize"
"נוגדן","תַרכִּיב","ךשרכִּיב","נותפן","antidote","vaccine"
"נוזל","נוֹזֵל","נוֹזפפ","נוהב","liquid","fluid"
"נוכחות","הֶעְדֵר","txעְדֵר","נולטות","presence","absence"
"נוף","נקודת מבט","נקודזימבט","בהף","view","perspective"
"נורא","מַחרִיד","יןחרִיד","בהרא","terrible","horrible"
"נחוץ","צוֹרֶך","צוֹרךת","נחיש","necessary","need"
"ניווט","תִקשׁוֹרֶת","תִקשׁוֹרסנ","מדווט","navigation","communication"
"נינג ה","סמוראי","סמליאי","נינגut","ninja","samurai"
"ניסיון","יֶדַע","zvדַע","ניקהון","experience","knowledge"
"ניצחון","לִהַבִיס","לִהַרויס","ניארון","victory","defeat"
"נמוך יותר","עֶלִיוֹן","עֶסתיוֹן","נמלה יותר","lower","upper"
"נסיכה","נסיך","עריך","נסתיה","princess","prince"
"נעים","קריר","ואיר","זקים","warm","cool"
"נערה","יֶלֶד","זתלֶד","רורה","girl","boy"
"נפילה","הִתמוֹטְטוּת","ןעתמוֹטְטוּת","ויילה","fall","collapse"
"נתונים","מֵידָע","מֵידפו","לוונים","data","information"
"ס ב  א","סַבתָא","ddבתָא","ס ב pc","grandfather","grandmother"
"ס ב ל","כְּאֵב","צקּאֵב","בxב ל","suffering","pain"
"ס דר ה","פרק","ופק","ס דרתצ","series","episode"
"ס כו ם","כמות","גיות","ס כוחך","sum","amount"
"ס ל יח ה","רַחֲמִים","iאחֲמִים","אץל יח ה","forgiveness","mercy"
"ס מ ינ ר","הַרצָאָה","hrרצָאָה","snמ ינ ר","seminar","lecture"
"ס נס צ יו נ י","מַרהִיב","ךארהִיב","jcנס צ יו נ י","sensational","spectacular"
"ס ע יף","פסקה","שוקה","םרע יף","section","paragraph"
"ס פ  ה","מיטה","מיצו","lhפ  ה","sofa","bed"
"ס פ ט מב  ר","אוֹקְטוֹבֶּר","אוינְטוֹבֶּר","רףפ ט מב  ר","september","october"
"ס פ ר י ה","מוּזֵיאוֹן","מוּזֵיאוbb","ajפ ר י ה","library","museum"
"ס ת יר ה","מַחֲלוֹקֶת","ךשחֲלוֹקֶת","בךת יר ה","conflict","dispute"
"סביבה","אַטמוֹספֵרָה","אַטמוֹספֵרכץ","סבודה","environment","atmosphere"
"סבלנות","חֶמלָה","חֶמלגץ","סבקפות","patience","compassion"
"סבלני","לָקוּחַ","icקוּחַ","סבחצי","patient","client"
"סדנה","מוּסָך","מוּסif","צפנה","workshop","garage"
"סדק","חור","כיר","נסק","crack","hole"
"סו ד","מִסתוֹרִין","nzסתוֹרִין","סוןמ","secret","mystery"
"סו כ ן","בַּלָשׁ","syּלָשׁ","סו כזכ","agent","detective"
"סו ף","סיים","וכים","סוci","end","finish"
"סו פ  רמ ן","באטמן","באמהן","סודן  רמ ן","superman","batman"
"סובל","לָמוּת","לָמוft","סויי","suffer","die"
"סוכר","שוקולד","שועללד","סוחם","sugar","chocolate"
"סומא","חירש","חימל","סופל","blind","deaf"
"סוף סוף","בסופו של דבר","בסופו שלגזבר","סוזוסוף","finally","eventually"
"סופי","סופי","ציפי","ציפי","final","ultimate"
"סט טו ס","עמדה","טאדה","סטמוו ס","status","position"
"סטו ד נט","מוֹרֶה","מוצמֶה","סטו סצנט","student","teacher"
"סיבה","גורם","גותר","סינו","reason","cause"
"סיוט","חולם","ופלם","לקוט","nightmare","dream"
