"sk_cue","sk_target","type","cue_type","target_type","sk_cosine"
"analytik","vyšetrovateľ","related","word","word",0.425607769428043
"snímač","vysielač","related","word","word",0.545443717914126
"hmotnosť","výška","related","word","word",0.458084679285548
"výsledok","výsledok","related","word","word",1
"nízky","vysoký","related","word","word",0.526522195651548
"majestátnosť","výsosť","related","word","word",0.341658391530712
"galéria","výstava","related","word","word",0.477291764389108
"vydesiť","vystrašiť","related","word","word",0.645932526581205
"dole","vystúpiť","related","word","word",0.0959210044723026
"pokrok","vývoja","related","word","word",0.325184162028193
"romeo","výživný","related","word","word",0.0152664098336033
"význam","význam","related","word","word",1
"prekážka","výzva","related","word","word",0.327538690005184
"predný","vzadu","related","word","word",0.2488712637732
"zdravie","vzdelanie","related","word","word",0.370917820857512
"hrdý","vzrušený","related","word","word",0.277661390586744
"štrbina","watson","related","word","word",0.13251043790143
"bezpečný","zabezpečiť","related","word","word",0.394823570346205
"otrava","zabiť","related","word","word",0.147422983205177
"zachovať","zachovať","related","word","word",1
"voľne","zadarmo","related","word","word",0.209924002458339
"zadok","zadok","related","word","word",1
"zakázaný","zakázať","related","word","word",0.696202088046089
"pacient","zákazník","related","word","word",0.330397807261656
"účel","zámer","related","word","word",0.492735348206674
"kľúče","zámok","related","word","word",0.281096302573055
"južný","západný","related","word","word",0.483929110191038
"zabudnúť","zapamätať si","related","word","word",NA
"turnaj","zápas","related","word","word",0.485350681724766
"lichotiť","zapôsobiť","related","word","word",0.342263696681093
"čip","zariadenie","related","word","word",0.263891768022327
"zabrániť","zastávka","related","word","word",0.0986949340408545
"strela","zastreliť","related","word","word",0.378669941770002
"uzamknutý","zatvorené","related","word","word",0.414597486369115
"trestať","zatýkať","related","word","word",0.392301499259933
"vzrušujúci","zaujímavý","related","word","word",0.475857248834669
"utopiť","zavádzať","related","word","word",0.0832338218927722
"maratón","závod","related","word","word",0.372001898303812
"otvorené","zavrieť","related","word","word",0.407781933109214
"záznam","záznam","related","word","word",1
"zbierať","zbierať","related","word","word",1
"ahoj","zbohom","related","word","word",0.404008764759285
"pištoľ","zbraň","related","word","word",0.713380930920174
"dedičstvo","zdediť","related","word","word",0.473712761830543
"vdova","žena","related","word","word",0.364862805868777
"muž","žena","related","word","word",0.526658135150412
"jedinečný","ženatý","related","word","word",0.0690931808497494
"kontaminácia","žiarenie","related","word","word",0.327955743070609
"leto","zima","related","word","word",0.299479751651096
"šelma","živočíšny","related","word","word",0.225859339112806
"aukcia","zľava","related","word","word",0.252637282351083
"zmena","zlepšenie","related","word","word",0.261489954150911
"hriech","zločin","related","word","word",0.479491569981314
"červený","žltá","related","word","word",0.452975457491592
"dobrý","zlý","related","word","word",0.616130482049852
"úspech","zlyhanie","related","word","word",0.267452163571754
"chaos","zmätok","related","word","word",0.562259066085153
"kombinácia","zmes","related","word","word",0.362478707729747
"smrť","zmiznutie","related","word","word",0.354776287037762
"roztaviť sa","zmraziť","related","word","word",NA
"skúsenosť","znalosť","related","word","word",0.473414179012331
"tvar","znamenie","related","word","word",0.101553177239518
"stvorenie","zničenie","related","word","word",0.370967644059371
"zvýšiť","znížiť","related","word","word",0.618541922141517
"trpieť","zomrieť","related","word","word",0.490014712227705
"oblasť","zóna","related","word","word",0.435596171691765
"usporiadať","zorganizovať","related","word","word",0.569023490733318
"pobyt","zostať","related","word","word",0.261352898506875
"špión","zradca","related","word","word",0.423446172170963
"príležitostne","zriedka","related","word","word",0.387854205264902
"odraz","zrkadlo","related","word","word",0.379216614746067
"klinec","zub","related","word","word",0.264763623206645
"prehĺtať","žuť","related","word","word",0.490615530054432
"hluk","zvuk","related","word","word",0.600839084340084
"normálne","zvyčajne","related","word","word",0.334151522341502
"diplom","overiť","unrelated","word","word",0.11047147201363
"absurdné","informátor","unrelated","word","word",0.181996329908131
"zvládanie","zabiť","unrelated","word","word",0.0748108398054562
"hormón","gorilla","unrelated","word","word",0.21156574870364
"číslo","vyhodnotenie","unrelated","word","word",0.248628570595847
"firma","civilizácia","unrelated","word","word",0.290791280343461
"spúšť","veda","unrelated","word","word",0.133035398466088
"upozorniť","povesť","unrelated","word","word",0.180020257510452
"bravo","duch","unrelated","word","word",0.100128176841037
"motív","politik","unrelated","word","word",0.246458630029927
"afrika","obuv","unrelated","word","word",0.0994498410549148
"pitva","komunikácia","unrelated","word","word",0.237324138373381
"inžinier","primárny","unrelated","word","word",0.311630203060585
"legie","teória","unrelated","word","word",0.142621070342063
"nevedomosť","kufor","unrelated","word","word",0.147660552919381
"arzenál","svedectvo","unrelated","word","word",0.138653625324115
"žilka","posteľ","unrelated","word","word",NA
"tajomník","uniesť","unrelated","word","word",0.130332691947845
"pacifický","nedávno","unrelated","word","word",0.192628828323453
"prostredie","uniknúť","unrelated","word","word",0.139053155300059
"vozidlo","uzáver","unrelated","word","word",0.175541939243839
"vlak","povrch","unrelated","word","word",0.149023555411865
"dedko","šťava","unrelated","word","word",0.0834422077667171
"utiecť","úlovok","unrelated","word","word",0.122720097335245
"obálka","rôzny","unrelated","word","word",0.0971941581874647
"klub","obnoviť","unrelated","word","word",0.0926149091055483
"štadión","zničenie","unrelated","word","word",0.0971854596967755
"text","milovník","unrelated","word","word",0.128037696159217
"silk","ticho","unrelated","word","word",0.0823178397472983
"zbytočný","možnosť","unrelated","word","word",0.150284153255673
"bezmocný","dverí","unrelated","word","word",0.139025534233486
"zabezpečenie","šaty","unrelated","word","word",0.131140528228192
"chémia","zavrieť","unrelated","word","word",0.0672082629862743
"chemický","hadica","unrelated","word","word",0.241948042457531
"vojna","obhajovať","unrelated","word","word",0.162503588886947
"paranoidný","potvrdiť","unrelated","word","word",0.0642124103494659
"poklad","asistent","unrelated","word","word",0.14529662708669
"chudobný","odmena","unrelated","word","word",0.203730244573975
"bojovať","volič","unrelated","word","word",0.083881269642604
"aréna","tam","unrelated","word","word",0.183324982764405
"vojak","vrah","unrelated","word","word",0.234546348006291
"majster","vôbec","unrelated","word","word",0.124308600489004
"utrpenie","umelý","unrelated","word","word",0.105316822227593
"washington","učiť","unrelated","word","word",0.0528386894317398
"boha","program","unrelated","word","word",0.125353132693973
"vlasy","televízor","unrelated","word","word",0.108170233439115
"portál","nepríjemný","unrelated","word","word",0.135243834084015
"sestra","tekutina","unrelated","word","word",0.174338184147726
"relatívny","drôt","unrelated","word","word",0.12407470315498
"štít","vyhrať","unrelated","word","word",0.168429958922612
"frajer","dĺžka","unrelated","word","word",0.106754241643925
"spinálny","klamár","unrelated","word","word",NA
"veža","hrudník","unrelated","word","word",0.119743689017867
"košeľa","vzdelanie","unrelated","word","word",0.0651040491477254
"superman","emocionálny","unrelated","word","word",0.114393302418193
"vetrovať","zima","unrelated","word","word",NA
"dom","mikrofón","unrelated","word","word",0.2042375569925
"kliatba","čoskoro","unrelated","word","word",0.109663648799896
"mágia","futbal","unrelated","word","word",0.128119376863736
"čašník","aróry","unrelated","word","word",NA
"detonátor","injekcia","unrelated","word","word",0.278503333485839
"záležitosť","prechádzka","unrelated","word","word",0.247876266790595
"niekedy","pozdraviť","unrelated","word","word",0.125389265008165
"hodnota","návnada","unrelated","word","word",0.138667458621764
"míľ","hladký","unrelated","word","word",0.0723273491306191
"privilégium","krk","unrelated","word","word",0.167159527190319
"trasa","divadlo","unrelated","word","word",0.172647041448335
"lístok","dôkaz","unrelated","word","word",0.163803677694005
"túžba","ústava","unrelated","word","word",0.217428348521549
"pera","klenot","unrelated","word","word",0.149464682147927
"ovládať","uviesť","unrelated","word","word",0.173097625195659
"teplý","úžasný","unrelated","word","word",0.264338115160927
"horúci","preháňať","unrelated","word","word",0.086587148883005
"dievča","architekt","unrelated","word","word",0.0860554331424743
"chorý","lebka","unrelated","word","word",0.123183788484808
"chyba","priateľský","unrelated","word","word",0.105358897691243
"cesnak","vinný","unrelated","word","word",0.14491799624873
"biely","bezpečnosť","unrelated","word","word",0.133099497769392
"dym","zradca","unrelated","word","word",0.192562106986254
"tabak","tmavý","unrelated","word","word",0.183585419206771
"aktívny","konečný","unrelated","word","word",0.25949222641303
"hrob","turecko","unrelated","word","word",0.0796341110886059
"zoologická záhrada","zomrieť","unrelated","word","word",NA
"cisársky","flotila","unrelated","word","word",0.275674041610829
"delikátny","rozumieť","unrelated","word","word",0.20805124380798
"kultúra","lekára","unrelated","word","word",0.0840862731937536
"ponorka","patetický","unrelated","word","word",0.179820463794422
"cukor","okolo","unrelated","word","word",0.121937430201013
"neskoro","vražda","unrelated","word","word",0.0378288714837491
"prax","zavádzať","unrelated","word","word",0.0897405287865502
"naivný","cesta","unrelated","word","word",0.111609800053112
"pokračovať","špecialista","unrelated","word","word",0.0862892191191949
"v blízkosti","ling","unrelated","word","word",NA
"kompliment","jednoduchý","unrelated","word","word",0.193860881631238
"dobročinnosť","krutý","unrelated","word","word",0.12923857572974
"vložiť","nebeský","unrelated","word","word",0.0838301248649918
"ponúknuť","oceľ","unrelated","word","word",0.099498435622301
"november","vrah","unrelated","word","word",0.152990090706848
"koncepcia","alfa","unrelated","word","word",0.116516668003091
"kavaléria","globálny","unrelated","word","word",0.118930362585204
"sloboda","baseball","unrelated","word","word",0.0880985891277269
"protest","trón","unrelated","word","word",0.221205002601674
"stres","zápas","unrelated","word","word",0.119360391125787
"storočia","úspešný","unrelated","word","word",0.146568896457822
"zástupca","záznam","unrelated","word","word",0.0557282245786094
"mládež","hamburger","unrelated","word","word",0.0407313931183752
"anjel","alarm","unrelated","word","word",0.129278710899927
"cesta","prednáška","unrelated","word","word",0.309760171186283
"prasknúť","naháňačka","unrelated","word","word",0.157890908829609
"baby","epidémia","unrelated","word","word",0.107882729009926
"chlapci","merač","unrelated","word","word",0.0866603498314193
"ping","súkromie","unrelated","word","word",0.0600172283213643
"konverzácia","systém","unrelated","word","word",0.130419268166997
"kino","letisko","unrelated","word","word",0.298497407679789
"jednotka","droga","unrelated","word","word",0.27383791699195
"krátky","oceán","unrelated","word","word",0.165893234185296
"veľkosť","prezident","unrelated","word","word",0.085313852580086
"senior","ryby","unrelated","word","word",0.0973891162483018
"vrchol","psychologický","unrelated","word","word",0.200707548771525
"dobrovoľník","senát","unrelated","word","word",0.166974712739185
"extra","finančný","unrelated","word","word",0.0788104422722652
"zmluva","vedel","unrelated","word","word",0.123089946392154
"dôkaz","hustý","unrelated","word","word",0.0659587909580327
"ideálny","poškodenie","unrelated","word","word",0.164287386126093
"súboru","chorý","unrelated","word","word",0.152787523276898
"založiť","pripraviť sa","unrelated","word","word",NA
"cenný","epizóda","unrelated","word","word",0.117000089813385
"pevne","zlepšenie","unrelated","word","word",0.0465034439154758
"misa","vedec","unrelated","word","word",0.102184174485671
"dosť","sviečka","unrelated","word","word",0.11847683101729
"pýcha","detektív","unrelated","word","word",0.156784511238769
"úcta","pozícia","unrelated","word","word",0.218413001076782
"vianoce","uzdraviť","unrelated","word","word",0.131512798719372
"toaleta, wc","reštaurácia","unrelated","word","word",NA
"alkohol","západný","unrelated","word","word",0.177922062570262
"kábel","mozgový","unrelated","word","word",0.211670466362817
"duša","ísť","unrelated","word","word",0.134392500849974
"pokles","kupujúci","unrelated","word","word",0.271516744243787
"okno","informovať","unrelated","word","word",0.122214431478011
"výstrel","jednotlivec","unrelated","word","word",0.118069797602113
"módny","technika","unrelated","word","word",0.120713288596103
"magnetický","závod","unrelated","word","word",0.223644465660263
"prúd","zámer","unrelated","word","word",0.118786571013062
"duševný","dať","unrelated","word","word",0.1261464278317
"moc","neustále","unrelated","word","word",0.0661641260590457
"hranica","diabol","unrelated","word","word",0.0862206387971115
"séria","výkon","unrelated","word","word",0.0913365748953301
"orgazmus","častica","unrelated","word","word",0.100609762898098
"výbuch","brána","unrelated","word","word",0.230440002881543
"zemetrasenie","nepočujúci","unrelated","word","word",0.128577653570151
"opísať","použitie","unrelated","word","word",0.0686473376722973
"vnútorný","kamión","unrelated","word","word",0.133776563595232
"falošný","hliadka","unrelated","word","word",0.150376814097753
"nádherný","odpovedať","unrelated","word","word",0.0488157196157904
"realita","heslo","unrelated","word","word",0.0857481134014791
"poštový","komunista","unrelated","word","word",0.236874369910139
"kolónia","majonéza","unrelated","word","word",0.313257755085863
"karneval","financovanie","unrelated","word","word",0.132918565261482
"porno","vybaviť","unrelated","word","word",0.00839889407354285
"bankový","pilulka","unrelated","word","word",0.130472259558666
"rozpočet","chladný","unrelated","word","word",0.0975074698293254
"finančne","divízia","unrelated","word","word",0.166035551517052
"sklo","kópia","unrelated","word","word",0.14010926865282
"námorný","podozrivý","unrelated","word","word",0.255778821798368
"autogram","absurdný","unrelated","word","word",0.105051201406206
"obraz","prakticky","unrelated","word","word",0.0889224737379202
"angličtina","manželka","unrelated","word","word",0.22777477771637
"slovník","opustiť","unrelated","word","word",0.0869394984170208
"utečenec","nedeľa","unrelated","word","word",0.106220085036933
"prevádzkový","fantastický","unrelated","word","word",0.212157440373542
"basketbal","odpadu","unrelated","word","word",0.165715303843572
"sexuálny","hlasovať","unrelated","word","word",0.0995668781210984
"vesmír","písmeno","unrelated","word","word",0.137025087133387
"dielňa","navrhnúť","unrelated","word","word",0.130425387406342
"klavír","detstvo","unrelated","word","word",0.181474566518839
"národný","obchodník","unrelated","word","word",0.187381246825077
"opica","otec","unrelated","word","word",0.068967607929597
"rímsky","hovoriť","unrelated","word","word",0.206744466360396
"kilo","cvičenie","unrelated","word","word",0.177894168728525
"barón","žena","unrelated","word","word",0.218226760745332
"kaliber","samuraj","unrelated","word","word",0.134473442495776
"červ","kartel","unrelated","word","word",0.171956660939474
"pumpovať","výrobok","unrelated","word","word",0.167284712554365
"ilúzia","cibuľa","unrelated","word","word",0.252672666198974
"sendvič","výstava","unrelated","word","word",0.109462970812979
"vyváženie","krutosť","unrelated","word","word",0.158405075643812
"autor","podnik","unrelated","word","word",0.098301991006429
"kokaín","príjmy","unrelated","word","word",0.161733562727677
"kód","darček","unrelated","word","word",0.129313691364541
"pomoc","šťasný","unrelated","word","word",0.123202111243449
"unavený","obrovský","unrelated","word","word",0.0942965736570017
"väčšina","čierna","unrelated","word","word",0.141005864847989
"stráž","narodeniny","unrelated","word","word",0.0547908892833056
"šialenstvo","robiť","unrelated","word","word",0.0956799505862996
"naivný","desaťročie","unrelated","word","word",0.123220702338187
"mrak","tortu","unrelated","word","word",0.16958949412649
"pavúk","pripojenie","unrelated","word","word",0.0949072094573783
"žiarlivý","ovocie","unrelated","word","word",0.129474415771127
"vysvetlenie","fotograf","unrelated","word","word",0.100261874281411
"zaslúžiť si","viera","unrelated","word","word",NA
"tuniak","suma","unrelated","word","word",0.1290365457216
"lesbička","stolička","unrelated","word","word",0.325874191293518
"nižší","hranica","unrelated","word","word",0.117586041727441
"kašeľ","ľudia","unrelated","word","word",0.146467414159603
"nájomník","nevesta","unrelated","word","word",0.151190700647023
"rozprávať sa","thirst","unrelated","word","word",NA
"hrať","vrecko","unrelated","word","word",0.0772181607618331
"bábika","podivný","unrelated","word","word",0.131041087230171
"palác","v júli","unrelated","word","word",NA
"internet","škaredý","unrelated","word","word",0.108296467903068
"blesk","potreba","unrelated","word","word",0.163258008450166
"hrozný","heroín","unrelated","word","word",0.120394977938611
"žalúdok","zapôsobiť","unrelated","word","word",0.0713165768221328
"džez","problém","unrelated","word","word",0.223451511106255
"spevák","postoj","unrelated","word","word",0.125676632181879
"tenký","elektrický","unrelated","word","word",0.309114208834048
"celebrity","stlačiť","unrelated","word","word",0.0557876409134619
"blázon","včera","unrelated","word","word",0.179388363535919
"vírus","prízvuk","unrelated","word","word",0.194087858559431
"dáta","úver","unrelated","word","word",0.186506137337852
"zdroj","demonštrácia","unrelated","word","word",0.0294435916535526
"správa","bolesť","unrelated","word","word",0.1190961335268
"dávka","námorný","unrelated","word","word",0.0793499652641285
"vyšetrenie","nebezpečenstvo","unrelated","word","word",0.211994635280633
"inšpirovať","mama","unrelated","word","word",0.124444032094922
"inteligentný","výbor","unrelated","word","word",0.16933044802972
"osobný","pekla","unrelated","word","word",0.0293218051497495
"inštinkt","dôrazne","unrelated","word","word",0.137268013423802
"bander","let","unrelated","word","word",NA
"financovať","bezcenný","unrelated","word","word",0.152022468545034
"irónia","poskytnúť","unrelated","word","word",0.0744905079639178
"zadať","výsledok","unrelated","word","word",0.160724183757957
"atómový","vysielač","unrelated","word","word",0.329699967670056
"banán","sto","unrelated","word","word",0.106296943117706
"žiariť","rozvrh","unrelated","word","word",0.0201009165558784
"žaba","priznať","unrelated","word","word",0.0443140082466967
"rieka","masáž","unrelated","word","word",0.11222390589991
"tetovanie","psychológia","unrelated","word","word",0.0876536263213522
"špeciálny","rozumný","unrelated","word","word",0.190144626340447
"jedlo","čln","unrelated","word","word",0.0952515055109792
"jednoducho","úder","unrelated","word","word",0.0838540204396764
"osoba","cisár","unrelated","word","word",0.105941852570285
"mäkký","dievča","unrelated","word","word",0.127156593894596
"v poriadku","správa","unrelated","word","word",NA
"husiť","úprimnosť","unrelated","word","word",NA
"rock","neschopný","unrelated","word","word",0.0968467681619832
"džíp","zaujímavý","unrelated","word","word",0.142599688889646
"stôl","oponent","unrelated","word","word",0.134169656476017
"orchester","korytnačka","unrelated","word","word",0.0680926113504276
"anarchia","radosť","unrelated","word","word",0.133612150533167
"kostol","piesok","unrelated","word","word",0.150672957892005
"biskup","koberec","unrelated","word","word",0.162968558953778
"mafia","vzadu","unrelated","word","word",0.0751927663888117
"pohár","politika","unrelated","word","word",0.0764839666003874
"piknik","náboženstvo","unrelated","word","word",0.119022879980509
"palica","maximálny","unrelated","word","word",0.18262024886904
"ležať","ding","unrelated","word","word",0.126110051773324
"typický","zlyhanie","unrelated","word","word",0.135949857628435
"chrám","depresia","unrelated","word","word",0.113009872651421
"sirotinec","dôležitý","unrelated","word","word",0.111033640909142
"diamant","krásny","unrelated","word","word",0.180511170653359
"helma","úradník","unrelated","word","word",0.156642676299573
"mních","vyhlásenie","unrelated","word","word",0.0814057902218457
"princezná","grécky","unrelated","word","word",0.202231298501078
"biblia","manželstvo","unrelated","word","word",0.207264066999848
"podlaha","symbol","unrelated","word","word",0.131427802049207
"napadnúť","had","unrelated","word","word",0.0985631218095628
"rameno","profesor","unrelated","word","word",0.0653168492491809
"dráma","sláva","unrelated","word","word",0.274321071028274
"inšpektor","účinok","unrelated","word","word",0.0522917104799356
"navigácia","vták","unrelated","word","word",0.184228822068777
"rasista","spisovateľ","unrelated","word","word",0.414830032745312
"osol","udalosť","unrelated","word","word",0.113969644369377
"rum","falošný","unrelated","word","word",0.146154776057606
"gesto","bojisko","unrelated","word","word",0.327801908678491
"zaostrenie","majiteľ","unrelated","word","word",0.0907057597111735
"prehliadka","spor","unrelated","word","word",0.00749506988510197
"finálny, konečný","sem","unrelated","word","word",NA
"pyramída","fyzický","unrelated","word","word",0.148315993288088
"originál","kríza","unrelated","word","word",0.0508685430059901
"spoločnosť","politický","unrelated","word","word",0.186685675134344
"slimák","kempovanie","unrelated","word","word",0.126764897034941
"rodeo","nakoniec","unrelated","word","word",0.136711157185171
"železo","hlúpy","unrelated","word","word",0.109024525840467
"kráľovná","pani","unrelated","word","word",0.236833794094141
"fox","vypočítať","unrelated","word","word",0.0842079374346304
"kráľovský","oddanosť","unrelated","word","word",0.164468798112352
"čaro","zlý","unrelated","word","word",0.0295267718559553
"pekný","ťažko","unrelated","word","word",0.134521823056368
"pekný","popis","unrelated","word","word",0.184380897235858
"viazať sa","koňak","unrelated","word","word",NA
"predstavivosť","klobúk","unrelated","word","word",0.147094596460416
"maľovať","neprítomnosť","unrelated","word","word",0.150482619310121
"katolík","svorka","unrelated","word","word",0.117289736654794
"situácia","úplný","unrelated","word","word",0.0586808236788432
"hrdlo","úmyselne","unrelated","word","word",0.112459531091337
"zmyselný","obrad","unrelated","word","word",0.177551709345479
"brutálny","stále","unrelated","word","word",0.15731114065076
"aktovka","týždeň","unrelated","word","word",0.16132775792533
"sprcha","vodík","unrelated","word","word",0.177574065923708
"predávajúci","sniper","unrelated","word","word",0.224200628218195
"fragment","romantický","unrelated","word","word",0.183213983074196
"množstvo","stvorenie","unrelated","word","word",0.199664060634931
"závod","kyslík","unrelated","word","word",0.187859766448919
"vzduch","právny","unrelated","word","word",0.0775758733244311
"drahý","hrom","unrelated","word","word",0.12485454202177
"nemožný","priamo","unrelated","word","word",0.126667292042534
"reťaz","bavlna","unrelated","word","word",0.251784375482524
"nenávisť","babička","unrelated","word","word",0.187475451910624
"kosť","odtlačok prsta","unrelated","word","word",NA
"mýtus","halucinácia","unrelated","word","word",0.273121966113376
"chirurg","žuť","unrelated","word","word",0.121398173731206
"džungľa","mladý","unrelated","word","word",0.152850283810798
"pristátie","sonda","unrelated","word","word",0.240587665599626
"pôda","brada","unrelated","word","word",0.269568353183512
"terminál","štvrtý","unrelated","word","word",0.194935982998699
"drak","strana","unrelated","word","word",0.0840427957724037
"konzervatívny","cestovný pas","unrelated","word","word",NA
"terapia","garáž","unrelated","word","word",0.136803774068363
"taxík","obec","unrelated","word","word",0.110055204825165
"móda","jahod","unrelated","word","word",NA
"umenie","veta","unrelated","word","word",0.0937845186846825
"sať","to","unrelated","word","word",0.161422458114018
"posádka","stretnutie","unrelated","word","word",0.0277646089468649
"populácia","koleno","unrelated","word","word",0.113344529177953
"muž","skončiť","unrelated","word","word",0.220432342140985
"krádež","nájsť","unrelated","word","word",0.103924021482166
"pes","navždy","unrelated","word","word",0.121387506938246
"playboy","požiadavka","unrelated","word","word",0.109723705361113
"nehnuteľnosť","blázon","unrelated","word","word",0.126333758144069
"kečup","údolie","unrelated","word","word",0.135094599173132
"umelec","pištoľ","unrelated","word","word",0.098261287821408
"malý","skriňa","unrelated","word","word",0.177064398604578
"otec","núdzový stav","unrelated","word","word",NA
"kontrola","týždenný","unrelated","word","word",0.098120444061136
"manželka","gróf","unrelated","word","word",0.203666503936859
"rozvod","nebezpečný","unrelated","word","word",0.151439964355882
"kompas","maslo","unrelated","word","word",0.144924300139229
"reklama","vľavo","unrelated","word","word",0.0940154612239314
"jóga","králik","unrelated","word","word",0.130220067483792
"med","postup","unrelated","word","word",0.100389078903424
"bravčové mäso","obdobie","unrelated","word","word",NA
"fyzika","cena","unrelated","word","word",0.203519276712495
"minimálny","odvážny","unrelated","word","word",0.202488333930686
"technický","publikum","unrelated","word","word",0.104560821417711
"artefakt","vybrať","unrelated","word","word",0.163527777232413
"trofej","lacný","unrelated","word","word",0.122382230850779
"veverička","vystrašiť","unrelated","word","word",0.217417642279419
"kilometer","zatvorené","unrelated","word","word",0.0997651286680836
"kapitál","jemný","unrelated","word","word",0.107859949368691
"regionálny","poliklinika","unrelated","word","word",NA
"miesto","vitamín","unrelated","word","word",0.0780540813504859
"fotoaparát","zľava","unrelated","word","word",0.116316393279747
"ďalekohľad","alibi","unrelated","word","word",0.0558879154608481
"milión","stroj","unrelated","word","word",0.106923366155872
"odpustenie","agentúra","unrelated","word","word",0.0534467982591427
"pani","vďačnosť","unrelated","word","word",0.159360283417006
"veľvyslanec","milosrdenstvo","unrelated","word","word",0.208185905204699
"veľvyslanectvo","ironický","unrelated","word","word",0.159463483570814
"budúcnosť","zmätok","unrelated","word","word",0.119082540241121
"plus","pocit","unrelated","word","word",0.0560387806424024
"druhý","pomáhať","unrelated","word","word",0.124946962315702
"starý","spoločenstvo","unrelated","word","word",0.0270845038727199
"krv","vanilka","unrelated","word","word",0.224602595529235
"škrabanec","nervózny","unrelated","word","word",0.161019166926719
"hnedý","komisár","unrelated","word","word",0.228141740930751
"suchý","utrpenie","unrelated","word","word",0.162570160097614
"skrinka","diera","unrelated","word","word",0.329318269123338
"aspirín","náklad","unrelated","word","word",0.196540827267137
"hotel","prístrešok","unrelated","word","word",0.372189847407933
"nádrž","pomoc","unrelated","word","word",0.162111705117861
"mozog","pieseň","unrelated","word","word",0.0986345658800934
"šanca","vodca","unrelated","word","word",0.0506121823022074
"voľba","hiv","unrelated","word","word",0.141508806360496
"včela","oranžový","unrelated","word","word",0.210569950546185
"telo","komédia","unrelated","word","word",0.0573747492636474
"nažive","armáda","unrelated","word","word",0.0485495624560307
"trápenie","na jeseň","unrelated","word","word",NA
"zrno","chcieť","unrelated","word","word",0.0983079486500896
"evolúcia","pozoruhodný","unrelated","word","word",0.28907573353665
"knižnica","odhaliť","unrelated","word","word",0.112507361877264
"zvážiť","ochorenie","unrelated","word","word",0.200154241961343
"dôchodok","prasa","unrelated","word","word",0.0674291952820178
"jar","výroba","unrelated","word","word",0.156340079188066
"filozofia","diskusia","unrelated","word","word",0.280805841825343
"sledovať","hodnoverný","unrelated","word","word",0.16263178926248
"nahradiť","námorník","unrelated","word","word",0.0551485450883574
"krúžok","strihať","unrelated","word","word",0.240479304986954
"nahý","hračka","unrelated","word","word",0.184135187763137
"vyhľadávanie","moč","unrelated","word","word",0.0818334540828256
"naložiť","zbohom","unrelated","word","word",0.0561335617376693
"nakoniec","skúška","unrelated","word","word",0.124240046349768
"pirát","funkčný","unrelated","word","word",0.121338842007092
"morský","vášeň","unrelated","word","word",0.126427044018409
"vlastne","hudba","unrelated","word","word",0.131582119020696
"čítať","zbierať","unrelated","word","word",0.298050537430211
"krajina","slnko","unrelated","word","word",0.218018343033928
"výročie","erekcia","unrelated","word","word",0.0550192918993548
"prerušiť","smiech","unrelated","word","word",0.129666959286009
"pasca","píšťalka","unrelated","word","word",0.298714273252498
"navrhnúť","točiť sa","unrelated","word","word",NA
"večný","príčina","unrelated","word","word",0.115441442990212
"obloha","vývoja","unrelated","word","word",0.142764498479494
"riziko","minister","unrelated","word","word",0.152986596158347
"riskantný","diaľnica","unrelated","word","word",0.135169570674448
"náhle","počítač","unrelated","word","word",0.0809861151753407
"teraz","cynický","unrelated","word","word",0.238458258279642
"povoliť","nezodpovedný","unrelated","word","word",0.168693161169071
"špinavý","videnie","unrelated","word","word",0.0698544479165821
"len","tunel","unrelated","word","word",0.18560229354195
"sobota","široký","unrelated","word","word",0.176905610483547
"pozitívny","čarodejnica","unrelated","word","word",0.044021767913137
"incident","žena","unrelated","word","word",0.0376528755997352
"slepý","raňajky","unrelated","word","word",0.0819207814352826
"nepohodlný","báseň","unrelated","word","word",0.136073725503806
"prítomnosť","dodatočný","unrelated","word","word",0.134064489004862
"ustarostený","predátor","unrelated","word","word",0.238841360789751
"neschopnosť","kniha","unrelated","word","word",0.111456799394973
"nespravodlivosť","bunda","unrelated","word","word",0.179089398076295
"nešťastný","kladivo","unrelated","word","word",0.0152348356327741
"vždy","špagety","unrelated","word","word",0.227409119603543
"stožiar","manipulovať","unrelated","word","word",0.141537465959846
"hnačka","zastávka","unrelated","word","word",0.261272801061264
"anonymný","zvuk","unrelated","word","word",0.182417079444648
"nerozumný","zapamätať si","unrelated","word","word",NA
"nič","talent","unrelated","word","word",0.135182840312636
"inde","novinár","unrelated","word","word",0.0833648130365201
"zdravý","autobus","unrelated","word","word",0.148890552000041
"ústa","kaplnka","unrelated","word","word",0.241789681596371
"reportér","vodič","unrelated","word","word",0.220025199120407
"kanál","socha","unrelated","word","word",0.0371157954363527
"článok","príjemný","unrelated","word","word",0.112228258644043
"meč","dolár","unrelated","word","word",0.12105943509147
"naliehavý","pravdepodobne","unrelated","word","word",0.116655694287679
"von","video","unrelated","word","word",0.186242358930452
"obchodný","voľba","unrelated","word","word",0.121037415641192
"fáza","kovboj","unrelated","word","word",0.0944714939108632
"tábor","miesto","unrelated","word","word",0.249065913483084
"snažiť sa","realistický","unrelated","word","word",NA
"planéta","šalátový","unrelated","word","word",0.085104244383762
"chrániť","výhonovať","unrelated","word","word",NA
"bozk","malý","unrelated","word","word",0.229807476034286
"príkaz","paradajka","unrelated","word","word",0.0285866794620735
"čerstvý","obvyklý","unrelated","word","word",0.213784777338057
"rituál","šampionát","unrelated","word","word",0.128730879762766
