fr_cue,fr_target,type,cue_type,target_type,fr_cosine
somme,montant,related,word,word,0.555946162179072
sortie,entrée,related,word,word,0.574520137761073
souffrance,douleur,related,word,word,0.769723305798548
souffrir,mourir,related,word,word,0.558724385333888
soupape,ventilation,related,word,word,0.459039005925331
soupe,salade,related,word,word,0.673423690249439
souris,rat,related,word,word,0.530462929258519
sous-estimer,exagérer,related,word,word,
sous-marin,bateau,related,word,word,
spécial,unique,related,word,word,0.410059455429968
dramatique,romantique,related,word,word,0.466251083454625
spinal,abdominal,related,word,word,0.583334492305526
amusant,drôle,related,word,word,0.666149565730995
stade,baseball,related,word,word,0.385865394450919
statut,position,related,word,word,0.419616335792706
stress,dépression,related,word,word,0.509084162949298
succès,échec,related,word,word,0.501523499675492
sucer,lécher,related,word,word,0.62501534927891
mignon,joli,related,word,word,0.531391453272263
sud,nord,related,word,word,0.900738325002536
suicide,meurtre,related,word,word,0.528409699866971
suivre,pourchasser,related,word,word,0.411018198238712
superman,batman,related,word,word,0.681918250506506
supplémentaire,additionnel,related,word,word,0.436815663190761
support,assistance,related,word,word,0.384804888096518
debout,assis,related,word,word,0.541924255164279
sûr,sécurisé,related,word,word,0.296482690698704
surnaturel,paranormal,related,word,word,0.636212584175858
surnom,nom,related,word,word,0.564158735715222
surprise,déception,related,word,word,0.362158488474884
pendaison,exécution,related,word,word,0.536678390980551
symptôme,syndrome,related,word,word,0.467751909626785
table,chaise,related,word,word,0.571720846052989
comprimé,pilule,related,word,word,0.564909859113438
tâche,mission,related,word,word,0.589455611292905
taille,longueur,related,word,word,0.436623257753708
tatouage,cicatrice,related,word,word,0.540179855957707
taxi,limousine,related,word,word,0.607532683969166
technique,mécanique,related,word,word,0.456486199246285
télégramme,lettre,related,word,word,0.563727154803414
télescope,microscope,related,word,word,0.572196516995929
témoin,témoignage,related,word,word,0.60936393515946
temple,monastère,related,word,word,0.578060611737409
obscurité,lumière,related,word,word,0.574378659172265
tenir,garder,related,word,word,0.538664751203099
terminal,aéroport,related,word,word,0.455411329595473
attérir,voler,related,word,word,0.265878258831631
terrible,horrible,related,word,word,0.81232368834809
têtu,égoïste,related,word,word,0.488047904595457
texte,poème,related,word,word,0.594388200763841
thérapie,traitement,related,word,word,0.571035469876078
thon,homard,related,word,word,0.591001709504757
tampon,signature,related,word,word,0.321130196360234
tir,tirer,related,word,word,0.460096890057581
tireur,sniper,related,word,word,0.678481650217276
toilettes,évier,related,word,word,0.514558245460718
chute,effondrement,related,word,word,0.522736216862979
faux,correct,related,word,word,0.3333491030642
total,achevé,related,word,word,0.161134770226381
toujours,constamment,related,word,word,0.545215316942713
tourmenter,torturer,related,word,word,0.591923380519101
tourner,pivoter,related,word,word,0.475946110790778
tournoi,match,related,word,word,0.596089605133539
soudainement,étonnamment,related,word,word,0.254338289526449
absolument,complètement,related,word,word,0.438245297981234
processus,procédure,related,word,word,0.512049710183876
job,travail,related,word,word,0.597904747348158
séisme,explosion,related,word,word,0.483577598990721
trésor,richesse,related,word,word,0.311563334293678
esclave,serviteur,related,word,word,0.489590849937027
triste,tragique,related,word,word,0.540495898062641
imbécile,idiot,related,word,word,0.831791999295312
trophée,médaille,related,word,word,0.537894414669466
tueur,meurtrier,related,word,word,0.815251234556986
tumeur,cancer,related,word,word,0.578172307070607
typique,classique,related,word,word,0.566308271460441
atterrissage,vol,related,word,word,0.402969662139142
autographe,photographe,related,word,word,0.447961721920014
rein,foie,related,word,word,0.648370640038213
une,trois,related,word,word,0.240151342432744
unité,division,related,word,word,0.57773962480093
univers,galaxie,related,word,word,0.628459007304771
collège,université,related,word,word,0.609496858042136
urgent,urgence,related,word,word,0.577530387104052
usine,production,related,word,word,0.404751750542704
utile,efficace,related,word,word,0.456077016373768
vache,cochon,related,word,word,0.632250916441466
vagin,pénis,related,word,word,0.703316113012578
véhicule,voiture,related,word,word,0.666519916167855
veine,artère,related,word,word,0.542061508560191
vendeur,acheteur,related,word,word,0.597736732090957
vengeance,justice,related,word,word,0.462185009235101
vent,tempête,related,word,word,0.51264898349818
ver,serpent,related,word,word,0.5129321764303
verre,bouteille,related,word,word,0.526640811539038
bas,haut,related,word,word,0.791565483858913
vert,orange,related,word,word,0.558401324387929
veuve,femme,related,word,word,0.468333116766585
victime,agresseur,related,word,word,0.566249614630118
vide,plein,related,word,word,0.30064112173797
vieux,jeune,related,word,word,0.329595019739842
vin,champagne,related,word,word,0.677790857982987
virus,infection,related,word,word,0.594486280018844
tournée,concert,related,word,word,0.46325779092083
vivant,mort,related,word,word,0.399884519606152
vue,perspective,related,word,word,0.387602024456246
voir,rencontrer,related,word,word,0.518959554152323
regarder,visionner,related,word,word,0.496843328564153
voix,accent,related,word,word,0.370381359259216
vol,braquage,related,word,word,0.559232635816679
voler,dérober,related,word,word,0.577144548296995
voleur,criminel,related,word,word,0.59075245315747
vrai,réel,related,word,word,0.481121766990099
washington,boston,related,word,word,0.562831140821242
whisky,vodka,related,word,word,0.698779053951436
yoga,massage,related,word,word,0.538753897282582
zombi,vampire,related,word,word,0.4921148193524
zoo,cirque,related,word,word,0.496595178644389
capacité,cochon,unrelated,word,word,0.0917062255254499
ridicule,oreille,unrelated,word,word,0.104579527128551
refuser,élevé,unrelated,word,word,0.12326809738672
escorte,propriétaire,unrelated,word,word,0.144281153183149
plainte,ville,unrelated,word,word,0.137970998995332
actif,pont,unrelated,word,word,0.0676888474842643
numéro,éducation,unrelated,word,word,0.087916726285749
hormone,communiste,unrelated,word,word,0.104487628229208
recommendation,longueur,unrelated,word,word,0.0998188808700161
entreprise,tuyau,unrelated,word,word,0.0857720772993954
alerte,laver,unrelated,word,word,0.0536607666416407
coin,maintenance,unrelated,word,word,0.115328542605352
bravo,sureté,unrelated,word,word,0.13242172277243
somme,autoroute,unrelated,word,word,0.12579623607097
bête,nez,unrelated,word,word,0.114644301962536
abeille,retirer,unrelated,word,word,0.128217315748873
maison,chirurgie,unrelated,word,word,0.13065556940217
autorisation,cynique,unrelated,word,word,0.0427175363427786
main,blague,unrelated,word,word,0.089528543022282
légion,pivoter,unrelated,word,word,0.117891248328874
veine,rarement,unrelated,word,word,0.108660371865102
cavalerie,accent,unrelated,word,word,0.10393118799023
question,diable,unrelated,word,word,0.105160287830377
mercenaire,sable,unrelated,word,word,0.1318967072671
aider,titre,unrelated,word,word,0.113281125417865
essayer,château,unrelated,word,word,0.0990782473225292
attention,automne,unrelated,word,word,0.0788847130628427
foule,samouraï,unrelated,word,word,0.0219732396457215
boîte,cardinal,unrelated,word,word,0.0905964782140011
douche,échec,unrelated,word,word,0.0907868432085394
régiment,assis,unrelated,word,word,0.0969267003601422
arène,enseigner,unrelated,word,word,0.117764547110768
cheveu,watson,unrelated,word,word,0.113708286844873
pièce,amitié,unrelated,word,word,0.0737784127308021
million,canard,unrelated,word,word,0.12915713462522
pot-de-vin,filles,unrelated,word,word,
sous-marin,médecin,unrelated,word,word,
fille,analyse,unrelated,word,word,0.0853450117712022
noble,gauche,unrelated,word,word,0.0999953914249556
fiancé,phrase,unrelated,word,word,0.104245776451712
mec,démocratie,unrelated,word,word,0.101314145614129
égratignure,adversaire,unrelated,word,word,0.0997353099715941
construction,bougie,unrelated,word,word,0.0879004280956383
creuser,football,unrelated,word,word,0.13770095922453
industrie,alpha,unrelated,word,word,0.029148536213386
miel,calculer,unrelated,word,word,0.134734662130845
vendeur,joie,unrelated,word,word,0.0395498593475215
bonjour,voiture,unrelated,word,word,0.0876401026680546
tumeur,autorité,unrelated,word,word,0.11012457185414
lunettes,entendre,unrelated,word,word,0.13357215677495
commandant,infection,unrelated,word,word,0.0687732600766889
véhicule,foi,unrelated,word,word,0.0840165935793361
charge,solaire,unrelated,word,word,0.123152708418953
sol,grec,unrelated,word,word,0.0812958777966571
mafia,oeuf,unrelated,word,word,0.103214515500148
raison,électricité,unrelated,word,word,0.0944277714857932
tombe,accompagner,unrelated,word,word,0.100350828763839
mile,rançon,unrelated,word,word,0.129911571219122
rituel,maman,unrelated,word,word,0.124156257707136
table,concert,unrelated,word,word,0.0890526958877116
obstacle,uniforme,unrelated,word,word,0.104889817929219
lèvre,écrivain,unrelated,word,word,0.0601382713146789
estomac,poker,unrelated,word,word,0.0540004066489929
catholique,suggérer,unrelated,word,word,0.112679593819533
fumée,possibilité,unrelated,word,word,0.119929860501697
zoo,avis,unrelated,word,word,0.115936195671835
culture,nerveux,unrelated,word,word,0.0545759125158339
hôpital,développement,unrelated,word,word,0.0797510671711828
ouvrir,équipe,unrelated,word,word,0.0972194108546274
cabinet,continuez,unrelated,word,word,0.0968809524519497
tasse,misérable,unrelated,word,word,0.148074156276502
rhum,loin,unrelated,word,word,0.139580481865219
chaud,procédure,unrelated,word,word,0.000652110243485163
commission,empire,unrelated,word,word,0.0741947567383268
raciste,performance,unrelated,word,word,0.121308759707311
patience,vih,unrelated,word,word,0.10698541898158
total,serveuse,unrelated,word,word,0.0289244635546616
absolument,dérober,unrelated,word,word,0.120982964032593
logiciel,faim,unrelated,word,word,0.0516895108617086
respect,professeur,unrelated,word,word,0.113833269056691
confirmation,professionnel,unrelated,word,word,0.0991807619416548
toujours,ordinateur,unrelated,word,word,0.123900125473943
droit,enfance,unrelated,word,word,0.121294692244672
contenir,président,unrelated,word,word,0.0767575122327693
procéder,mayonnaise,unrelated,word,word,0.114138986668907
opposé,délicieux,unrelated,word,word,0.123489746900658
orphelinat,cause,unrelated,word,word,0.105306031543041
faux,événement,unrelated,word,word,0.0828426215066516
baron,agence,unrelated,word,word,0.104561141021043
imagination,flotte,unrelated,word,word,0.0636393945380072
monstre,chapelle,unrelated,word,word,0.00104346160469777
mal,petit-déjeuner,unrelated,word,word,
danseur,biologie,unrelated,word,word,0.102063143895269
risqué,urine,unrelated,word,word,0.112114188821476
aveugle,personnalité,unrelated,word,word,0.14368982093329
victoire,couteau,unrelated,word,word,0.0725071621142085
protéger,structure,unrelated,word,word,0.131527574808124
concept,passeport,unrelated,word,word,0.120696390074974
liberté,sourd,unrelated,word,word,0.103552378948453
protestation,survivre,unrelated,word,word,0.0761510415071208
arrivée,gorille,unrelated,word,word,0.0671385015303433
fatalité,bacon,unrelated,word,word,0.0650198691092652
agent,occidental,unrelated,word,word,0.116194677734664
courage,sonde,unrelated,word,word,0.0816043928852073
progrès,chrétien,unrelated,word,word,0.138238230390672
souffrir,charmant,unrelated,word,word,0.116450141234142
similaire,fils,unrelated,word,word,0.0406563903532659
ding,bouteille,unrelated,word,word,0.0622616410969421
producteur,nord,unrelated,word,word,0.126473767350675
sale,abandonner,unrelated,word,word,0.0888728219870471
démission,rafraîchir,unrelated,word,word,0.0470403259722116
conflit,colonel,unrelated,word,word,0.109325462099127
interrompre,hématome,unrelated,word,word,0.0890585527635452
dieu,business,unrelated,word,word,0.0879768470337231
unité,mariage,unrelated,word,word,0.0795932144379236
charité,minute,unrelated,word,word,0.0664692379499867
peinture,adrénaline,unrelated,word,word,0.0778880100539625
jupe,enquêteur,unrelated,word,word,0.0990605425416494
alcool,content,unrelated,word,word,0.0884913779154807
oie,lourdement,unrelated,word,word,0.0945150226095445
cendre,saluer,unrelated,word,word,0.0912741276284723
rouillé,supérieur,unrelated,word,word,0.142442669985311
responsabilité,syndrome,unrelated,word,word,0.0803317720778345
poudre,fugitif,unrelated,word,word,0.0625165249723223
œil,réplique,unrelated,word,word,0.125202107100881
ouest,repas,unrelated,word,word,0.109597833175157
influence,triple,unrelated,word,word,0.0302391761063894
campagne,cognac,unrelated,word,word,0.0773790067849735
magnétique,ordonner,unrelated,word,word,0.0651335522020962
chic,enregistrement,unrelated,word,word,0.0449089670474617
facteur,junior,unrelated,word,word,0.127145359418766
char,emprisonnement,unrelated,word,word,0.101798221291356
sortie,menteur,unrelated,word,word,0.0825129804263136
peste,sommeil,unrelated,word,word,0.145083075980254
équipement,honnête,unrelated,word,word,0.0747367999274443
observation,trône,unrelated,word,word,0.102888916557631
finalement,bateau,unrelated,word,word,0.130943172709962
sous-estimer,microphone,unrelated,word,word,
fier,héroïne,unrelated,word,word,0.0701747398242389
pardonner,manifestation,unrelated,word,word,0.116213321023819
pendaison,entrepreneur,unrelated,word,word,0.00746161504414148
galerie,drogue,unrelated,word,word,0.122071167145503
attendre,psychologique,unrelated,word,word,0.0916516029963084
espérer,bleu,unrelated,word,word,0.125122128994748
loyal,nucléaire,unrelated,word,word,0.125841576524607
réalité,arbre,unrelated,word,word,0.131499760157718
lent,gouvernement,unrelated,word,word,0.1132795175684
courrier,musique,unrelated,word,word,0.123374559613791
colonie,gay,unrelated,word,word,0.114323942917895
mur,manipuler,unrelated,word,word,0.0469774919360748
carnaval,digne,unrelated,word,word,0.0898123108352526
champion,quatre,unrelated,word,word,0.133779683835724
chercher,beurre,unrelated,word,word,0.113591042081207
adn,scandale,unrelated,word,word,0.0351344930621716
requin,mot de passe,unrelated,word,word,
chasser,effondrement,unrelated,word,word,-0.0311669665331463
plante,accord,unrelated,word,word,0.0603450097506034
attérir,style,unrelated,word,word,0.0684257370539302
puissance,café,unrelated,word,word,0.0515894006134943
éternel,transfert,unrelated,word,word,0.131494341357048
librement,là-bas,unrelated,word,word,
anglais,réduire,unrelated,word,word,0.102019071608843
épouvanter,faible,unrelated,word,word,0.138102720815621
pomme,dévêtu,unrelated,word,word,0.114319378272949
jouer,fax,unrelated,word,word,0.0362984390475214
collecter,silence,unrelated,word,word,0.0402367820185098
doux,gagnant,unrelated,word,word,0.146085550637735
national,copie,unrelated,word,word,0.143867229882657
entrer,cou,unrelated,word,word,0.149072981545809
kilo,intime,unrelated,word,word,0.0800509792044461
excellent,bande,unrelated,word,word,0.00585212986577641
innocent,exprimer,unrelated,word,word,0.109634326443916
sandwich,utiliser,unrelated,word,word,0.111640984838748
chiffon,mardi,unrelated,word,word,0.0909505188048488
satisfait,minuteur,unrelated,word,word,0.086672331112749
baie,prêt,unrelated,word,word,0.106076770772306
casque,fruit,unrelated,word,word,0.145884012026391
base,électrique,unrelated,word,word,0.0986622179201505
sous,avouer,unrelated,word,word,0.110260078643342
majesté,pouce,unrelated,word,word,0.0927367055618154
route,acte,unrelated,word,word,0.0779550706278888
fissure,psychologie,unrelated,word,word,0.0985347305125728
noël,armurerie,unrelated,word,word,0.118889974247632
décent,appareil,unrelated,word,word,0.119786429720897
terrible,chef,unrelated,word,word,0.100736352316537
pompe,assister,unrelated,word,word,0.115647871399565
gros,sauveur,unrelated,word,word,0.148197718902723
carbone,abri,unrelated,word,word,0.110560675478628
profit,écriture,unrelated,word,word,0.0887418520109554
données,absurde,unrelated,word,word,0.0739395057739537
patrimoine,juillet,unrelated,word,word,0.069372450067437
dose,document,unrelated,word,word,0.0401381751837329
examen,barbe,unrelated,word,word,0.0511520633348355
outil,ivre,unrelated,word,word,0.0719384246584367
personnel,soif,unrelated,word,word,0.129573831989
instinct,école,unrelated,word,word,0.104183368128526
finance,suspecter,unrelated,word,word,0.132283152995768
examiner,ouais,unrelated,word,word,0.101901235895654
déraisonnable,alibi,unrelated,word,word,0.137686058428222
diamant,étrange,unrelated,word,word,0.139768677453999
farce,indiquer,unrelated,word,word,0.0260206481777386
reporter,baignade,unrelated,word,word,0.0925592697048668
plaisir,local,unrelated,word,word,0.0614912376338805
lait,témoignage,unrelated,word,word,0.141946691862892
roméo,contenu,unrelated,word,word,0.0917769335810273
juin,cruauté,unrelated,word,word,0.00345868352445574
grimper,financement,unrelated,word,word,0.128061280068915
vengeance,coton,unrelated,word,word,0.0470919940332693
poison,déclarer,unrelated,word,word,0.112615165518996
reine,soda,unrelated,word,word,0.124841337187102
royal,prix,unrelated,word,word,0.114957825764594
expérience,nouer,unrelated,word,word,0.0737661737240379
seigneur,intimité,unrelated,word,word,0.109537996713731
fleuve,poussière,unrelated,word,word,0.0753506941092535
premier,offenser,unrelated,word,word,0.0752540693488932
membre,ultime,unrelated,word,word,0.0855446925358624
séminaire,viande,unrelated,word,word,0.0145405431639234
mythe,exposition,unrelated,word,word,0.107389300565848
autoriser,enfer,unrelated,word,word,0.13315915548876
probabilité,préparer,unrelated,word,word,0.105065676618332
taxi,modeste,unrelated,word,word,0.143965420212227
dragon,absence,unrelated,word,word,0.0908760472677711
rein,salut,unrelated,word,word,0.0865111481392729
thon,température,unrelated,word,word,0.145013699714637
seul,fluide,unrelated,word,word,0.125681753554422
court,massage,unrelated,word,word,0.111912542742144
robot,habituellement,unrelated,word,word,0.127055953634582
playboy,zone,unrelated,word,word,0.0551792404166566
nounou,importance,unrelated,word,word,0.0636905042404741
divorce,dangereux,unrelated,word,word,0.0341210685122023
célibataire,position,unrelated,word,word,0.145185127217637
yoga,tunnel,unrelated,word,word,0.119947332801851
shérif,planification,unrelated,word,word,0.0522239853646724
aliments,commissaire,unrelated,word,word,0.0135644079803329
porc,départ,unrelated,word,word,0.0910929089812239
trophée,enlever,unrelated,word,word,0.122228517717004
artéfact,cool,unrelated,word,word,0.139789862859916
conférence,agresseur,unrelated,word,word,0.115877540117559
fer,égoïste,unrelated,word,word,0.0832003621421097
kilomètre,honneur,unrelated,word,word,0.127553373528236
civil,neveu,unrelated,word,word,0.112876054880769
erreur,fromage,unrelated,word,word,0.085032074361873
combinaison,guérir,unrelated,word,word,0.130606776751019
humble,communication,unrelated,word,word,0.126149442779501
écran,avance,unrelated,word,word,0.12171705559819
demain,parent,unrelated,word,word,0.143548396760934
aspirine,orbite,unrelated,word,word,0.11882514016798
colline,réacteur,unrelated,word,word,0.116479387964871
papa,production,unrelated,word,word,0.0885985651534115
nerf,argenté,unrelated,word,word,0.0635048592009506
bibliothèque,économique,unrelated,word,word,0.145129226761382
jazz,côte,unrelated,word,word,0.131714006762165
évolution,cousine,unrelated,word,word,0.0586249303736812
secret,civilisation,unrelated,word,word,0.11722036364592
dénudé,défaite,unrelated,word,word,0.121556128367663
pays,description,unrelated,word,word,0.0874603308981401
gorge,capitaine,unrelated,word,word,0.0725233440151363
inquiet,taille,unrelated,word,word,0.12333066539208
minuit,envoyer,unrelated,word,word,0.0669277669453474
sain,excuse,unrelated,word,word,0.0683378790721534
atomique,vallée,unrelated,word,word,0.0988542324566785
mer,épisode,unrelated,word,word,0.0952655725093069
pupitre,acier,unrelated,word,word,0.0816875614106712
officiellement,ventilation,unrelated,word,word,0.0768846620499584
charbon,altesse,unrelated,word,word,0.0231636723012223
ail,fermé,unrelated,word,word,0.105329350486587
arranger,programme,unrelated,word,word,0.0629666466087133
immobilier,céleste,unrelated,word,word,0.105253568582543
air,famille,unrelated,word,word,0.105251617108993
souffrance,moteur,unrelated,word,word,0.091556541896379
artiste,frappe,unrelated,word,word,0.106734485466386
vagin,division,unrelated,word,word,0.0482643900234909
rayon,espérer,unrelated,word,word,0.0561760397056478
phase,petit,unrelated,word,word,0.111020606101776
image,hydrogène,unrelated,word,word,0.115077915281053
autographe,sujet,unrelated,word,word,0.0789570331233256
sexuel,arriver,unrelated,word,word,0.0885642996818009
fragment,fâché,unrelated,word,word,0.0873581712622864
astronaute,venir,unrelated,word,word,0.102921353651018
préparation,prison,unrelated,word,word,0.132668424525364
ciment,monde,unrelated,word,word,0.128130280399204
bol,effet,unrelated,word,word,0.0851774721243547
politique,hamburger,unrelated,word,word,0.0921438244752719
statut,dégoûtant,unrelated,word,word,0.0667054730788001
littéralement,détective,unrelated,word,word,0.0779032699925301
proie,laid,unrelated,word,word,0.113772225620906
chancelier,technique,unrelated,word,word,0.0608250844291198
bouton,maladie,unrelated,word,word,0.0882216811403573
princesse,rassembler,unrelated,word,word,0.0679564680848938
cellule,arrêter,unrelated,word,word,0.128285587387175
otage,produire,unrelated,word,word,0.0259592574539835
privé,rat,unrelated,word,word,0.0975694654446703
nobel,tissus,unrelated,word,word,0.081126068715721
difficulté,sénateur,unrelated,word,word,0.0209525978798472
usine,matin,unrelated,word,word,0.144471417101395
amateur,arrière,unrelated,word,word,0.0792577418927274
garantie,quartier-général,unrelated,word,word,
règle,comtesse,unrelated,word,word,0.121159383118667
maquette,urgence,unrelated,word,word,0.110805046058665
médical,chapeau,unrelated,word,word,0.071639524362638
pousser,très,unrelated,word,word,0.144953823877556
insérer,mort,unrelated,word,word,0.00817202558716948
quantité,aller,unrelated,word,word,0.11054309722992
moitié,résister,unrelated,word,word,0.0418876943850172
contamination,investisseur,unrelated,word,word,0.108328950741695
colère,louer,unrelated,word,word,0.0270742095587988
parfois,morceau,unrelated,word,word,0.146725226565066
optimiste,périmètre,unrelated,word,word,0.090356865922259
face,vraiment,unrelated,word,word,0.104350137011552
équitable,carte,unrelated,word,word,0.121116512906994
augmenter,rue,unrelated,word,word,0.104642856287131
frais,sauver,unrelated,word,word,0.0620074449954255
rester,photo,unrelated,word,word,0.117527227706636
réponse,monastère,unrelated,word,word,-0.0129720145065554
pauvre,inspection,unrelated,word,word,0.0722522705230651
conduire,chaussure,unrelated,word,word,0.139577472686104
voler,cent,unrelated,word,word,0.139452323688433
vol,endroit,unrelated,word,word,0.0869079819976598
chaîne,détermination,unrelated,word,word,0.12182322652964
sécurité,facile,unrelated,word,word,0.0797367120923734
pirate,protocole,unrelated,word,word,0.132941083731173
pension,confirmer,unrelated,word,word,0.0626260856264018
enchère,théorie,unrelated,word,word,0.0783975635580598
ninja,mouchoir,unrelated,word,word,0.0454510494989003
radar,déjeuner,unrelated,word,word,0.0949853110705485
héros,fermer,unrelated,word,word,0.088045742124512
tatouage,moins,unrelated,word,word,0.0996670233754847
calendrier,prince,unrelated,word,word,0.0536458596150494
génie,passé,unrelated,word,word,0.119301515476735
parlement,geler,unrelated,word,word,0.122663385725744
gouverneur,veste,unrelated,word,word,0.0735297393456815
refuge,télévision,unrelated,word,word,0.0732512934409923
tir,rapidement,unrelated,word,word,0.0771310984566352
souffrant,décennie,unrelated,word,word,0.0918581004748357
tampon,clinique,unrelated,word,word,0.0983753917806483
doré,demeurer,unrelated,word,word,0.132791491214468
toilettes,connexion,unrelated,word,word,0.0977946414941979
goutte,professeur,unrelated,word,word,0.0801111869543273
debout,investir,unrelated,word,word,0.0270715296480311
peu,informations,unrelated,word,word,0.13221288079826
ver,mariage,unrelated,word,word,0.118005022619148
tireur,devoir,unrelated,word,word,0.0886528794087398
pluie,fédération,unrelated,word,word,0.11964557006014
lunaire,raton laveur,unrelated,word,word,
rien,limousine,unrelated,word,word,0.127343465231068
fille,énorme,unrelated,word,word,0.127233855656524
album,mètre,unrelated,word,word,0.120809895272222
bruit,chef,unrelated,word,word,0.10612946100927
lasagne,chemin,unrelated,word,word,-0.00147229301217648
discuter,vampire,unrelated,word,word,0.081292254070569
expert,vodka,unrelated,word,word,-0.00131055594425169
distance,appuyer,unrelated,word,word,0.146364363118917
célébrité,atlantique,unrelated,word,word,0.0775860916938717
fédéral,appât,unrelated,word,word,0.0564995870428438
plate-forme,irresponsable,unrelated,word,word,
empêcher,orange,unrelated,word,word,0.149612557336867
magasin,mathématiques,unrelated,word,word,0.087827670672118
banane,rage,unrelated,word,word,0.0859624033352628
avenue,capitalisme,unrelated,word,word,0.0435810501099971
sieste,sabotage,unrelated,word,word,0.0431768940696553
fermement,émotif,unrelated,word,word,0.131847249640674
démence,port,unrelated,word,word,0.120441160142857
remplacer,pénis,unrelated,word,word,0.145655547470242
assez,nation,unrelated,word,word,0.111012814339971
proposer,gramme,unrelated,word,word,0.101388734509045
samedi,produit,unrelated,word,word,0.10003824853837
opérer,rue,unrelated,word,word,0.0978788617053787
noyer,sorcier,unrelated,word,word,0.0695565505071763
méthode,magazine,unrelated,word,word,0.11369685563643
radio,lapin,unrelated,word,word,0.0952060321725898
chauffer,société,unrelated,word,word,0.075241346490912
couronne,hebdomadaire,unrelated,word,word,0.03258995107728
foudre,apporter,unrelated,word,word,0.0645241415521978
nom,fonctionnel,unrelated,word,word,0.0410284222679589
couverture,justice,unrelated,word,word,0.0496941925761171
poupée,intelligent,unrelated,word,word,0.0892191108036797
déplacement,cigare,unrelated,word,word,0.0762190500675905
capteur,crise,unrelated,word,word,0.0896450003015322
audience,tapis,unrelated,word,word,0.0728022376072723
cercle,beau,unrelated,word,word,0.102419372671649
poulet,conseil,unrelated,word,word,0.147518984955585
soudainement,boston,unrelated,word,word,0.121267402048708
badge,connu,unrelated,word,word,0.116093676244819
inconfortable,garçon,unrelated,word,word,0.121530496762646
sang,adolescent,unrelated,word,word,0.107382004805821
ordinaire,signature,unrelated,word,word,0.124654486933615
désert,financement,unrelated,word,word,0.142201450961194
cannelle,bataillon,unrelated,word,word,0.09545038464374
soupape,organiser,unrelated,word,word,0.114489034041279
extrêmement,preuve,unrelated,word,word,0.0793062268865672
whisky,saut,unrelated,word,word,0.123567073882907
majorité,camping,unrelated,word,word,0.113383021745675
candidat,agréable,unrelated,word,word,0.128246754028743
poche,extraterrestre,unrelated,word,word,0.0570766218981654
soldat,activité,unrelated,word,word,0.0738880370713701
nettoyer,érection,unrelated,word,word,0.102502975969217
sherlock,bataille,unrelated,word,word,0.12035457186854
fort,surface,unrelated,word,word,0.066645598126394
pistolet,global,unrelated,word,word,0.118955811382811
mois,combattant,unrelated,word,word,0.120885479902454
quotidiennement,don,unrelated,word,word,0.11063465496727
méridional,mariée,unrelated,word,word,0.0759162522485064
klaxon,flamme,unrelated,word,word,0.114555128623243
gain,vol,unrelated,word,word,0.128535554363533
câble,confusion,unrelated,word,word,0.0725631089056158
ours,dépression,unrelated,word,word,0.146165728800286
job,muscle,unrelated,word,word,0.144874166709599
inutile,communauté,unrelated,word,word,0.116707907868337
mériter,spécialiste,unrelated,word,word,0.0978212901804862
poète,trou,unrelated,word,word,0.149454889362264
rouge,réalisateur,unrelated,word,word,0.102045006711988
partir,robe,unrelated,word,word,0.126405581137515
spinal,impressionner,unrelated,word,word,0.0470481685264858
présence,spaghetti,unrelated,word,word,0.0634247048368033
auteur,dollar,unrelated,word,word,0.0843180387430206
terminal,donner,unrelated,word,word,0.111210839132492
ovni,évier,unrelated,word,word,0.0622526375993896
impressionnant,meurtre,unrelated,word,word,0.111749383031503
autopsie,fortement,unrelated,word,word,0.106692788820158
naturel,groupe,unrelated,word,word,0.144748928423362
secrétaire,artificiel,unrelated,word,word,0.0640928413722776
victime,fidèle,unrelated,word,word,0.133571716276791
opinion,cadavre,unrelated,word,word,0.072007054867442
juridiction,oignon,unrelated,word,word,0.088608335451609
printemps,fourchette,unrelated,word,word,0.0793743688495917
piège,gens,unrelated,word,word,0.0666121833254793
stade,casser,unrelated,word,word,0.0845572133873283
jolie,microscope,unrelated,word,word,0.124765632196392
sofa,brillant,unrelated,word,word,0.132315518196719
papillon,politique,unrelated,word,word,0.0773706417719614
bible,homard,unrelated,word,word,0.108436599901267
verre,stupide,unrelated,word,word,0.106888084350034
tour,accepter,unrelated,word,word,0.069403840208145
cul,officiel,unrelated,word,word,0.0409902400114903
tranquille,farine,unrelated,word,word,0.0676073264470945
pique-nique,sensation,unrelated,word,word,
palais,vidéo,unrelated,word,word,0.0800942654625852
église,prix,unrelated,word,word,0.0292603916752819
attractif,grand-mère,unrelated,word,word,
cher,journaliste,unrelated,word,word,0.120404904408683
avaler,hier,unrelated,word,word,0.122506866566508
jeunesse,artère,unrelated,word,word,0.0682521127207598
typique,trois,unrelated,word,word,0.13492062295161
plage,mécanique,unrelated,word,word,0.0622518642860937
chute,musicien,unrelated,word,word,0.0534127587767222
tournée,créature,unrelated,word,word,0.108679233190228
contact,marketing,unrelated,word,word,0.0821960453539475
chaleureux,bâtiment,unrelated,word,word,0.142067562650941
soie,cow-boy,unrelated,word,word,
relatif,douleur,unrelated,word,word,0.113102169803147
voleur,dévouement,unrelated,word,word,0.0945916030885121
larme,camion,unrelated,word,word,0.0445943095771301
mignon,revenu,unrelated,word,word,0.146328539619009
oncle,visionner,unrelated,word,word,0.0216102740301615
