"it_target","it_cue","it_fake_cue","it_fake_target","en_cue","en_target"
"ispirazione","ispirare","gratrare","stranrazione","inspire","inspiration"
"junior","anziano","anchorno","judiak","senior","junior"
"là","qui","eii","uz","here","there"
"la sconfitta","vittoria","scoltoria","lafayetnfitta","victory","defeat"
"lago","fiume","zanme","figgo","river","lake"
"largo","limitato","liascoltato","teggo","narrow","wide"
"lavaggio","pulire","puscorre","lastrogio","clean","wash"
"lavello","gabinetto","gabighornto","labaislo","toilet","sink"
"lavoratore","contadino","aspettadino","lavoschiettore","farmer","worker"
"lavoro","lavoro","lachiaro","lachiaro","job","work"
"le persone","popolazione","popolacheyenne","le persseiya","population","people"
"leccare","succhiare","sucscorre","giorcare","suck","lick"
"legale","illegale","strarlegale","letrolle","illegal","legal"
"leggenda","mito","trato","legchioda","myth","legend"
"leggero","buio","idio","spiegero","darkness","light"
"leone","drago","petgo","vulne","dragon","lion"
"lettera","telegramma","telefleurma","squatera","telegram","letter"
"letteratura","arte","stite","schiacteratura","art","literature"
"letto","divano","distrino","sfoto","sofa","bed"
"liberale","conservatore","strausservatore","liesplorale","conservative","liberal"
"libero","liberamente","liberaistruite","drebbero","freely","free"
"licenziamento","dimissioni","distraisioni","licenziaistrutto","resignation","dismissal"
"limousine","taxi","tagem","lieclissine","taxi","limousine"
"linguetta","ming","mifu","linsciuta","ming","ling"
"locale","regionale","returnsnale","lotrolle","regional","local"
"lontano","vicino","esercino","esautano","near","far"
"lucertola","rana","rapir","luespiatola","frog","lizard"
"luglio","giugno","giuper","luschi","june","july"
"luminosa","splendore","ghiandore","lumistressa","shine","bright"
"lunghezza","taglia","taster","luntranza","size","length"
"lungo","breve","sesve","schgo","short","long"
"lupo","orso","vasso","scapo","bear","wolf"
"macchina","robot","rorek","chiuchina","robot","machine"
"maiale","mucca","sobca","mascerle","cow","pig"
"maionese","ketchup","atochup","matreennese","ketchup","mayonnaise"
"malato","malato","trollato","trollato","ill","sick"
"mamma","papà","padek","stuma","daddy","mum"
"mangiare","foraggio","foghiagio","cheggiare","feed","eat"
"manipolare","controllo","conideolo","manischewilare","control","manipulate"
"mantenere","presa","riosa","aspettenere","hold","keep"
"mantenere","conserva","contratva","aspettenere","preserve","maintain"
"manutenzione","servizio","serviduar","manutencheyenne","service","maintenance"
"marina militare","marino","maripren","schermarina militare","marine","navy"
"marinaio","pirata","scherata","marinasreen","pirate","sailor"
"marketing","pubblicità","strapblicità","markenyon","advertising","marketing"
"martedì","lunedì","lunetier","ghettedì","monday","tuesday"
"martello","bastone","baciarne","marchialo","stick","hammer"
"massaggio","yoga","pinga","spiesaggio","yoga","massage"
"massimo","minimo","migrammo","spiesimo","minimum","maximum"
"masticare","ingoiare","ingostruire","macleancare","swallow","chew"
"matematica","fisica","prossica","matematicatskills","physics","mathematics"
"matrimonio","divorzio","diesenzio","matrimostran","divorce","marriage"
"mattina","domani","traumani","chiatina","tomorrow","morning"
"meccanico","tecnico","odianico","estrocanico","technical","mechanical"
"medaglia","trofeo","tropar","medaniel","trophy","medal"
"medaglione","artefatto","arteschioto","medashellne","artifact","medallion"
"medico","chirurgo","chisvengo","medistur","surgeon","doctor"
"meno","più","daù","stino","plus","minus"
"mercante","commerciale","comghiacciale","piancante","commercial","merchant"
"messaggio","avvertimento","avschiantimento","gransaggio","warning","message"
"metallo","ferro","gnero","meglialo","iron","metal"
"mettere","inserire","inselhoffre","guartere","insert","put"
"mezzogiorno","mezzanotte","scioczanotte","mezzoschiano","midnight","noon"
"microfono","telecamera","telecamerabrights","miglianfono","camera","microphone"
"microscopio","telescopio","telefleurpio","microtherspio","telescope","microscope"
"miglioramento","cambia","camlon","mistressramento","change","improvement"
"miliardo","milione","mibourne","minuendo","million","billion"
"militare","civile","citrolle","strarlitare","civil","military"
"ministero","ambasciata","ambaringsta","minitionsro","embassy","ministry"
"ministro","ambasciatore","ambakewelltore","miniwood","ambassador","minister"
"minuscolo","secondo","sefreddo","minutrienlo","second","minute"
"miscela","combinazione","espresbinazione","miprirla","combination","mixture"
"miseria","povertà","pobrietà","misequen","poverty","misery"
"misericordia","perdono","ciandono","misericorchurch","forgiveness","mercy"
"missile","razzo","deazo","spezsile","rocket","missile"
"missione","compito","grappito","stensione","task","mission"
"mistero","segreto","sequinto","miliarro","secret","mystery"
"misuratore","chilometro","strarlometro","michaelsratore","kilometer","meter"
"modesto","umile","rayle","modecrit","humble","modest"
"moglie","marito","maripren","mochia","husband","wife"
"molto","estremamente","transmamente","greto","extremely","very"
"monastero","tempio","temtar","monationsro","temple","monastery"
"mondo","internazionale","internazionalefleur","trido","international","world"
"montagna","collina","glielina","montastie","hill","mountain"
"morfina","aspirina","scatrina","spitfina","aspirin","morphine"
"morire","soffrire","tratfrire","morispon","suffer","die"
"morto","vivo","vitar","quato","alive","dead"
"motel","hotel","hodan","modre","hotel","motel"
"motore","serbatoio","chiacbatoio","gliatore","tank","engine"
"muscolo","nervo","gruvo","muciarlo","nerve","muscle"
"museo","biblioteca","bisfrutteca","muwan","library","museum"
"musica","jazz","jaqo","ciarsica","jazz","music"
"musicista","cantante","trettante","musicitroen","singer","musician"
"mutazione","evoluzione","stranluzione","mutableaune","evolution","mutation"
"nascondere","copertina","coghiottina","nacieuxdere","cover","hide"
"naso","bocca","mesca","nache","mouth","nose"
"nausea","diarrea","tiemrea","ginsea","diarrhea","nausea"
"nave","equipaggio","svenpaggio","wolve","crew","ship"
"navigare","ancora","ancoglie","nasprangare","anchor","sail"
"nazione","nazione","nastrine","nastrine","country","nation"
"nebbia","nuvola","gliavola","hodbia","cloud","fog"
"negativo","positivo","poatlantivo","asciugativo","positive","negative"
"negozio","negozio","negopher","negoland","shop","store"
"nero","bianco","pronco","rinro","white","black"
"nervoso","preoccupato","schiacoccupato","chanvoso","worried","nervous"
"neve","piovere","strevere","nezia","rain","snow"
"nipote","nipote","nistante","nistante","grandson","nephew"
"nonna","nonno","geono","bulna","grandfather","grandmother"
"nord","sud","uld","nolu","south","north"
"normale","sano","samen","traumale","healthy","normal"
"notevole","eccezionale","eckhardtzionale","aspettevole","exceptional","remarkable"
"notizia","canale","azionale","notitree","channel","news"
"nozze","fidanzamento","fischietzamento","yabze","engagement","wedding"
"nucleare","atomico","bluemico","nusporre","atomic","nuclear"
"nudo","nudo","giddo","valdo","nude","naked"
"nuotare","annegare","gliernegare","speztare","drown","swim"
"occidentale","meridionale","merichardsnale","occischiattale","southern","western"
"oceano","mare","mazio","smenno","sea","ocean"
"odore","gusto","gurar","witre","taste","smell"
"offendere","insulto","increato","ofesplodere","insult","offend"
"omicidio","suicidio","riaccidio","kingcidio","suicide","murder"
"onestà","lealtà","shamtà","memstà","loyalty","honesty"
"onesto","decente","destrate","adusto","decent","honest"
"onore","privilegio","privilefleur","gerre","privilege","honor"
"opzione","scelta","pretta","oppresne","choice","option"
"orario","calendario","caesplodario","latrio","calendar","schedule"
"orbita","pianeta","thorneta","ortratta","planet","orbit"
"ordine","comando","cogliedo","ordichia","command","order"
"orecchio","occhio","ocstro","gramchio","eye","ear"
"organizzare","organizzare","orgastroenzare","orgastroenzare","arrange","organize"
"orribile","terribile","schiaribile","schiaribile","terrible","horrible"
"ossigeno","aria","arbu","ossichuanno","air","oxygen"
"ottobre","settembre","settemplan","ottomasz","september","october"
"ovviamente","chiaramente","esploramente","ovescremente","clearly","obviously"
"pacchetto","busta","bucar","pacstrato","envelope","package"
"padre","madre","mated","pagel","mother","father"
"papà","zio","iao","pamay","uncle","dad"
"paragrafo","sezione","seguenne","paramountfo","section","paragraph"
"paranormale","soprannaturale","soprannaturabrights","paraschianmale","supernatural","paranormal"
"parlare","parlare","trollare","trollare","talk","speak"
"parola d'ordine","codice","codistur","parola d'orsquatch","code","password"
"parte inferiore","superiore","supemewhere","parte inferistland","top","bottom"
"partenza","arrivo","arriscal","flettenza","arrival","departure"
"particella","questione","quefortne","partiglianla","matter","particle"
"partito","ricezione","ricestruzne","identito","reception","party"
"passaporto","biglietto","bistrutto","passahyungto","ticket","passport"
"passato","futuro","istituro","chiasato","future","past"
"passeggiare","pisolino","sgressolino","passegstruire","nap","stroll"
"passeggiata","guidare","frandare","passegascolta","drive","ride"
"passione","entusiasmo","entusiafield","chiasione","enthusiasm","passion"
"pasto","cibo","cipit","patia","food","meal"
"patetico","miserabile","straesserabile","pagliartico","miserable","pathetic"
"patologia","influenza","insprezza","patolothers","flu","disease"
"pattuglia","guardia","guarmer","patturion","guard","patrol"
"paura","orrore","gliarore","srira","horror","fear"
"pazzo","paranoico","parastrelco","fenzo","paranoid","crazy"
"penale","ladro","larin","azionale","thief","criminal"
"pene","vagina","sfuggina","tarne","vagina","penis"
"penna","carta","guita","quina","paper","pen"
"pensare","ritenere","aspettenere","grossare","consider","think"
"per sempre","eterno","orecno","per sequen","eternal","forever"
"perfetto","ideale","cherle","persciato","ideal","perfect"
"pericolo","rischio","ristret","schiaricolo","risk","danger"
"pericoloso","rischioso","riesploso","pericoespresso","risky","dangerous"
"perimetro","raggio","prigio","perimelight","radius","perimeter"
"periodo","fase","cense","pefluido","phase","period"
"permettere","permettere","percloudtere","perdincktere","allow","let"
"personalità","carattere","caascoltere","schiacsonalità","character","personality"
"pesantemente","pesante","pegliete","pelhouettemente","heavy","heavily"
"pesca","a caccia","a caraib","peran","hunting","fishing"
"pescare","squalo","spallo","pegliore","shark","fish"
"petto","stomaco","pharmaco","lamto","stomach","chest"
"pezzo","frammento","unirmento","sauzo","fragment","piece"
"piacevole","comodo","stiamodo","estorcevole","comfortable","pleasant"
"pianificazione","preparazione","schiapparazione","ostruennificazione","preparation","planning"
"piatto","ciotola","sbattola","gnetto","bowl","plate"
"piccolo","poco","poriz","tratcolo","little","small"
"pietra","roccia","amecia","dartra","rock","stone"
"pillola","tavoletta","tavoascolta","scrulola","tablet","pill"
"pilota","astronauta","sciocnauta","piprieta","astronaut","pilot"
"pistola","fucile","ciarcile","pignarla","rifle","gun"
"pittore","artista","artiglie","frontore","artist","painter"
"plastica","cemento","cetrioto","scristica","cement","plastic"
"plausibile","spiegazione","blackgazione","stricsibile","explanation","plausible"
"poesia","testo","teriz","sabsia","text","poem"
"poker","gioco d'azzardo","gioco d'azznewall","posas","gambling","poker"
"politica","giornalismo","ubrianalismo","postruttica","journalism","politics"
"politico","politica","postruttica","postruttico","policy","politician"
"politico","critico","stantico","postruttico","critical","political"
"pollice","dito","diven","ciarlice","finger","thumb"
"polvere","cenere","cegliare","stanvere","ash","dust"
"polveroso","arrugginito","arruggiistrutto","iscriveroso","rusty","dusty"
"pomodoro","patata","chettata","pochiandoro","potato","tomato"
"ponte","cabina","proibina","dirte","cabin","deck"
"porta","finestra","finening","rinta","window","door"
"portafoglio","tasca","taran","portafosters","pocket","wallet"
"porto","baia","baste","scato","bay","harbor"
"posizione","luogo","peego","posignantne","place","location"
"posizione","stato","verto","posignantne","status","position"
"possibilità","opportunità","opportunischewi","schiarsibilità","chance","possibility"
"posteriore","davanti","dagliati","posteesterre","front","rear"
"predatore","preda","menda","ghiandatore","prey","predator"
"premio","nobel","nopat","preros","nobel","prize"
"prenotare","bibbia","gedbia","schianotare","bible","book"
"preoccupazione","preoccupazione","nightlioccupazione","nightlioccupazione","concern","worry"
"preparare","pronto","leotto","chiapparare","ready","prepare"
"presa","preda","menda","riosa","grab","catch"
"presidente","cancelliere","cancelstruire","presigliarte","chancellor","president"
"pressione","polso","lenso","sbalsione","pulse","pressure"
"prestazione","mostrare","mochiere","pretzelszione","show","performance"
"prestito","credito","giardito","preghetto","credit","loan"
"presto","tardi","suddi","premer","late","early"
"prezzo","valore","vasciare","poinzo","value","price"
"prigione","cellula","aspilula","cheggione","cell","prison"
"prigioniero","ostaggio","ashangio","prigiostruiro","hostage","prisoner"
"prima colazione","cena","cemen","prima colazisquatch","dinner","breakfast"
"primario","secondario","secondawalsh","primanuel","secondary","primary"
"principe","principessa","esporcipessa","sbalcipe","princess","prince"
"privacy","privato","guarvato","guarvacy","private","privacy"
"probabile","probabilità","gliaerbabilità","scialbabile","probability","likely"
"probabilmente","può essere","pleiassere","probastardsmente","maybe","probably"
"problema","problemi","prostrami","prosciuma","trouble","problem"
"procedura","processi","propriasi","sciarcedura","process","procedure"
"procedura guidata","magia","malat","schiiiincedura guidata","magic","wizard"
"procione","scoiattolo","scostruitolo","giaccione","squirrel","raccoon"
"procuratore","avvocato","iscrivocato","schiaccuratore","lawyer","prosecutor"
"prodotto","marca","brica","progresto","brand","product"
"produrre","creare","fluore","propriare","create","produce"
"produzione","fabbrica","aspibrica","produchampne","factory","production"
"professionale","dilettante","diascoltante","schiacfessionale","amateur","professional"
"professoressa","decano","depresno","professoressasquatch","dean","professor"
"profumo","rossetto","spersetto","ignifumo","lipstick","perfume"
"programma","progetto","probronto","prochiama","project","program"
"proiettile","calibro","calister","prostrartile","caliber","bullet"
"promettere","garanzia","gaspezzia","proscioltere","guarantee","promise"
"proprietario","inquilino","instrarlino","prosquartario","tenant","landlord"
"proprietario","proprietà","prorealtà","prosquartario","property","owner"
"prospettiva","visualizza","vikingslizza","propriartiva","view","perspective"
"protocollo","regola","respinla","protoglienlo","rule","protocol"
"prototipo","modello","mogiarlo","gliettotipo","model","prototype"
"prova","udito","marto","ciava","hearing","trial"
"prova","evidenza","scardenza","ciava","evidence","proof"
"psicologia","anatomia","anatoland","strapcologia","anatomy","psychology"
"psicologico","medico","medistur","straorcologico","medical","psychological"
"pubblico","folla","whila","pubstecco","crowd","audience"
"qualche cosa","niente","fleste","strocche cosa","nothing","something"
"qualità","quantità","svoltità","glielità","quantity","quality"
"quantità","somma","muoma","svoltità","sum","amount"
"quartiere","contea","conjan","emettiere","county","district"
"quattro","due","hre","squitro","two","four"
"quello","che cosa","che ckiel","atlelo","what","that"
"rabbia","rabbia","hoobia","lombia","anger","rage"
"raccapricciante","allarmante","albrockmante","raccathleenciante","scary","creepy"
"raccogliere","raccogliere","raccostruire","raccostruire","collect","gather"
"raccontare","dire","conre","racaspettare","say","tell"
"radiazione","contaminazione","istruirtaminazione","raostruzione","contamination","radiation"
"ragazze","ragazzi","raidrazi","rastenze","boys","girls"
"ragazzo","ragazza","rasterza","raschizo","girl","boy"
"ragionevole","giusto","giurar","racheyennevole","fair","reasonable"
"ragnatela","internet","insconnet","rasheedtela","internet","web"
"rapidamente","lentamente","chiactamente","rapidaestraete","slowly","quickly"
"rapina","furto","ploto","rasbrana","theft","robbery"
"rapinare","rubare","ruscorre","raesternare","steal","rob"
"rapire","rapire","rascorre","rascorre","kidnap","abduct"
"raramente","di tanto in tanto","di tanto in dreaux","raradioatte","occasionally","rarely"
"ratto","topo","suppo","couto","mouse","rat"
"re","regina","restarna","hy","queen","king"
"realistico","ottimista","ottimicrobs","esporlistico","optimistic","realistic"
"reattore","generatore","knightsbridgeneratore","frontore","generator","reactor"
"recentemente","appena","apaziona","reostruitemente","just","recently"
"recinzione","parete","glierete","reistruzione","wall","fence"
"reddito","profitto","probronto","aspidito","profit","income"
"regalo","complimento","comescremento","recheolo","compliment","gift"
"registrazione","disco","dicar","registracheyenne","record","recording"
"regno","reale","punle","recet","royal","kingdom"
"religione","filosofia","filosomewhe","reliucraine","philosophy","religion"
"reputazione","carriera","caraspira","reputaestrarne","career","reputation"
"resistere","resistenza","resighiozza","resiaguirre","resistance","resist"
"restarsi","stare","venre","reesposi","stay","remain"
"restituzione","indietro","inscontro","restitucheyenne","back","return"
"ricaricare","fresco","morsco","ricathleencare","fresh","refresh"
"ricatto","tangente","svolgente","ribronto","bribe","blackmail"
"ricchezza","tesoro","tesostie","ricsforza","treasure","wealth"
"ricco","povero","pochisro","lonco","poor","rich"
"richiesta","richiesta","rifletsta","riscalsta","demand","request"
"ricompensa","bonus.","bokurt","ricomstocksa","bonus","reward"
"ricordare","dimenticare","districtticare","riaziendare","forget","remember"
"ridere","sorridi","chiaridi","risponre","smile","laugh"
"ridurre","aumentare","austriatare","risciare","increase","reduce"
"rimuovere","eliminare","aspetminare","rischievere","eliminate","remove"
"riparazione","aggiustare","aggiuaguirre","riparaestrarne","fix","repair"
"riparo","rifugio","rifuschi","ripastic","refuge","shelter"
"riscatto","rapitore","rastruttore","ripiento","kidnapper","ransom"
"rispondere","rispondere","richarddere","richarddere","answer","reply"
"ristorante","pub","dob","ricrearrante","pub","restaurant"
"risultato","risultato","richardtato","ricreartato","result","outcome"
"rivista","playboy","playlil","riviglio","playboy","magazine"
"roma","cesare","sponsare","roton","caesar","rome"
"romantico","drammatico","estormatico","rostruttico","dramatic","romantic"
"rottura","distruggere","diciottgere","sciatura","smash","break"
"ruotare","giro","penro","blantare","turn","rotate"
"sabbia","fango","burgo","dinbia","mud","sand"
"sabotaggio","spionaggio","woolnaggio","saborhoodgio","espionage","sabotage"
"sacchetto","scatola","chettola","sacstrato","box","bag"
"sacerdote","monaco","monastri","saghiandote","monk","priest"
"saldi","asta","hita","elidi","auction","sale"
"salsa","crema","sulma","vessa","cream","sauce"
"salto","salita","glielita","chito","climb","jump"
"salutare","congratularsi","espresgratularsi","saascoltare","congratulate","greet"
"salva","salvare","gliavare","ciava","rescue","save"
"salvatore","eroe","ersì","ubriavatore","hero","savior"
"samurai","ninja.","ninsiem","samunich","ninja","samurai"
"sapere","adesso","brewso","sastrore","now","know"
"satellitare","radar","rapol","sasquatchlitare","radar","satellite"
"sbaglio","errore","erghiere","truglio","error","mistake"
"sbarra","club","clyo","schera","club","bar"
"scandalo","pettegolezzo","schiactegolezzo","riemdalo","gossip","scandal"
"scarpa","stivale","pianvale","shoppa","boot","shoe"
"scherzo","trucco","slacco","ghiozzo","trick","joke"
"scienza","tecnologia","spruznologia","scritza","technology","science"
"scienziato","genio","gelan","frainziato","genius","scientist"
"scomparsa","morte","grete","grapparsa","death","disappearance"
"sconosciuto","anonimo","brilnimo","sconootranto","anonymous","unknown"
"scrittore","poeta","huxta","fraintore","poet","writer"
"scrivere","leggere","spiegere","franvere","read","write"
"scrivere","lettura","squatura","franvere","reading","writing"
"scuola","classe","stisse","strela","class","school"
"scuro","ombra","omlon","brero","shadow","dark"
"scusa","perdonare","gliandonare","legsa","forgive","excuse"
"sede centrale","base","bazio","sede centrgewood","base","headquarters"
"sedersi","in piedi","infeldedi","seguiasi","stand","sit"
"sedia","tavolo","taciarlo","sereb","table","chair"
"segnale","frequenza","fretrizza","sesville","frequency","signal"
"selezionare","scegliere","scescorre","lighthouselezionare","choose","select"
"semplice","semplicemente","christplicemente","semaverce","simply","simple"
"sempre","mai","nyi","sembot","never","ever"
"senato","parlamento","oscillamento","seguento","parliament","senate"
"senatore","governatore","golightlynatore","ucrainatore","governor","senator"
"sensazione","impressione","imescursione","eclissazione","impression","feeling"
"sensibile","delicato","destroncato","gliassibile","delicate","sensitive"
"sentiero","rotta","peata","senbergro","route","path"
"seppellire","scavare","glievare","ubriapellire","dig","bury"
"serata","notte","pecte","seguirta","night","evening"
"sermone","discorso","diglioso","ciammone","speech","sermon"
"serpente","verme","simme","seradatte","worm","snake"
"serratura","chiave","sconve","chiacratura","key","lock"
"servo","schiavo","asciuvo","fievo","slave","servant"
"sete","fame","simme","serys","hunger","thirst"
"settimana","mese","metic","ubriatimana","month","week"
"settimanalmente","quotidiano","scrittidiano","lighthoutimanalmente","daily","weekly"
"sfida","ostacolo","clascolo","brada","obstacle","challenge"
"sì","va bene","va bnoid","kh","okay","yeah"
"sicurezza","sicurezza","sicushingza","sicushingza","security","safety"
"sicuro","sicuro","sistrero","sistrero","safe","secure"
"sigaretta","tabacco","taagrico","sigagliarta","tobacco","cigarette"
"sigaro","fumo","scomo","abrogaro","smoke","cigar"
"signora","signore","sifluire","sioscura","lord","lady"
"silenzio","silenzioso","siostruzioso","siscrezio","silent","silence"
"simbolo","bandiera","banemorra","idenbolo","flag","symbol"
"sindaco","sceriffo","scestrofo","freddaco","sheriff","mayor"
"sindrome","sintomo","trattomo","sinasimme","symptom","syndrome"
"sinistra","giusto","giurar","sinining","right","left"
"siringa","ago","iao","siabroga","needle","syringe"
"sistema","rete","cante","sidramma","network","system"
"sleale","ingiustizia","ingiustinaccc","stirle","injustice","unfair"
"società","azienda","ostenda","sovraptà","company","corporation"
"sogno","incubo","instrobo","solen","nightmare","dream"
"solare","lunare","stionare","sospetre","lunar","solar"
"sole","luna","lusin","ciale","moon","sun"
"solitario","da solo","da ssins","solitableau","alone","lonely"
"solito","ordinario","ordinathers","sopravto","ordinary","usual"
"sonda","capsula","spresula","whida","capsule","probe"
"sopravvivere","abitare","sportare","sopravvischiarre","live","survive"
"sordo","cieco","welco","cludo","blind","deaf"
"sorso","far cadere","far cadléans","nalso","drop","sip"
"sospettare","dubbio","sagbio","somewhetare","doubt","suspect"
"sostituire","sostituire","sostiesporre","sostiesporre","replace","substitute"
"spaghetti","lasagna","lasavius","spasporti","lasagna","spaghetti"
"sparare","sparo","neiro","chierare","shot","shoot"
"spaventare","spavento","spachiato","spaascoltare","scare","frighten"
"spazzatura","spazzatura","fluenzatura","fluenzatura","trash","garbage"
"specchio","riflessione","riescursione","scimchio","reflection","mirror"
"specialista","esperto","osteoto","ghiaccialista","expert","specialist"
"spendere","rifiuto","ristolto","ignodere","waste","spend"
"spesso","a volte","a vonoy","schuso","sometimes","often"
"spesso","sottile","giuntile","schuso","thin","thick"
"spettacolare","sensazionale","christsazionale","adriantacolare","sensational","spectacular"
"spirito","anima","mesma","guerrito","soul","spirit"
"sporco","sporco","idroco","stleco","nasty","filthy"
"sport","passatempo","passavingspo","spett","hobby","sport"
"sposa","sposo","rasso","racsa","groom","bride"
"sposato","separare","chiapparare","grassato","single","married"
"squadra","lega","lerei","quindra","league","team"
"stampa","pulsante","adatsante","adatpa","button","press"
"stato","federale","esploderale","verto","federal","state"
"statua","monumento","monuscritto","stanas","monument","statue"
"stazione","piattaforma","estretaforma","statuetne","platform","station"
"stella","celebrità","celeslealtà","sbirla","celebrity","star"
"stile","ritmo","sermo","crale","rhythm","style"
"stipendio","pensione","scossione","stituiadio","pension","salary"
"strada","viale","weble","chioda","avenue","street"
"strano","fuori dal comune","fuori dal cotswolds","dranno","unusual","strange"
"strategia","piano","esino","glietegia","plan","strategy"
"strega","maledizione","maledispatchne","scuoga","curse","witch"
"strumento","attrezzo","atrialzo","quarmento","tool","instrument"
"struttura","piramide","piramiglias","schiutura","pyramid","structure"
"studia","ricerca","ritratca","stumer","research","study"
"stupefacente","degno di nota","degno di thless","agreatpefacente","impressive","amazing"
"stupidità","follia","clalia","chiappidità","madness","stupidity"
"stupido","ingenuo","ingegram","chiapido","naïve","stupid"
"su","fuori uso","fuori bitt","ht","down","up"
"succo","latte","horte","diaco","milk","juice"
"sufficiente","abbastanza","abbatrossza","suffiascolte","enough","sufficient"
"suggerire","proporre","programre","ubriagerire","propose","suggest"
"suono","rumore","usiamore","cerno","noise","sound"
"superficie","strato","chetto","sudoubtficie","layer","surface"
"superiore","inferiore","infeguardre","supeastaire","lower","upper"
"sviluppo","progresso","proscorso","sviavampo","progress","development"
"tacchino","pollo","dialo","princhino","chicken","turkey"
"taglio","lacrima","laspalma","tastro","tear","cut"
"talento","potenziale","podrickziale","tastroto","potential","talent"
"tappeto","pavimento","pavigliacto","sfugpeto","floor","carpet"
"tartaruga","lumaca","spalmaca","orientaruga","snail","turtle"
"teatro","cinema","cispalma","rottro","cinema","theater"
"tecnica","metodo","mepiando","odianica","method","technique"
"telefono","chiamata","grammata","teleschiano","call","telephone"
"televisione","radio","rasen","televineyardne","radio","television"
"temperatura","calore","casciare","schiacperatura","heat","temperature"
"tempesta","il vento","il vedren","sporpesta","wind","storm"
"tenente","sergente","giungente","testrate","sergeant","lieutenant"
"tenere sotto controllo","schermo","sciammo","ablewhitenere sotto controllo","screen","monitor"
"tennis","golf","gozi","guanis","golf","tennis"
"tentativo","tentativo","ascoltativo","ascoltativo","try","attempt"
"teoria","idea","idri","zarria","idea","theory"
"test","sperimentare","sperischiastare","tenan","experiment","test"
"testimonianza","testimonianza","testimoasprezza","testimoasprezza","witness","testimony"
"timer","detonatore","istruttonatore","tipro","detonator","timer"
"tiro","spingere","eletgere","tinua","push","pull"
"titolo","nome","darme","tiglielo","name","title"
"tornado","uragano","louigano","azionado","hurricane","tornado"
"torta","dolce","tarce","niata","dessert","cake"
"tortura","tormento","zialmento","frantura","torment","torture"
"traditore","spiare","scuore","splenditore","spy","traitor"
"tradizionale","moderno","mostiano","tradistraesnale","modern","traditional"
"tragico","triste","trigan","escogico","sad","tragic"
"trasferimento","spostare","chiastare","trasferischiasto","move","transfer"
"trasmettitore","sensore","grossore","traistruirtitore","sensor","transmitter"
"trattamento","terapia","terawell","ascoltamento","therapy","treatment"
"tre","uno","iao","oue","one","three"
"triangolo","cerchio","nocchio","sfratgolo","circle","triangle"
"trimestre","metà","melot","trimeless","half","quarter"
"triplicare","doppio","purpio","aspetplicare","double","triple"
"trono","corona","cogliena","fiano","crown","throne"
"trovare","ricerca","ritratca","guarvare","search","find"
"tubo flessibile","pompa","silpa","tubo flessibsquatch","pump","hose"
"tunnel","ponte","brate","vasnel","bridge","tunnel"
"tuono","fulmine","giarmine","slino","lightning","thunder"
"ubriaco","sobrio","sognia","sfrutco","sober","drunk"
"uccello","farfalla","farscuola","ucstarlo","butterfly","bird"
"uccisione","veleno","vechiano","uccichangne","poison","kill"
"ufficiale","ufficialmente","uffirewoodmente","uffiespelle","officially","official"
"ufficio","scrivania","odiavania","uffighet","desk","office"
"ultimate.","finale","ficienle","ultimachaos","final","ultimate"
"ultimo","primo","reamo","startimo","first","last"
"umano","uomo","sbumo","brino","man","human"
"unico","speciale","spetrolle","diaco","special","unique"
"uniforme","distintivo","didioattivo","sconforme","badge","uniform"
"università","università","aspetversità","aspetversità","college","university"
"uovo","nido","nifat","lilvo","nest","egg"
"urina","sangue","sannon","mecna","blood","urine"
"utilizzo","applicare","apstroncare","utisterzo","apply","use"
"vacanza","natale","nasville","vastezza","christmas","holiday"
"vaccino","antidoto","antistratto","squicino","antidote","vaccine"
"valigia","valigetta","valichickta","valister","briefcase","suitcase"
"valle","deserto","derickto","svile","desert","valley"
"valutazione","osservazione","osservacheyenne","valutacheyenne","observation","evaluation"
"vampiro","zombie","dribie","greepiro","zombie","vampire"
"vaniglia","cannella","arianella","vanistan","cinnamon","vanilla"
"veloce","lento","emato","veriacce","slow","fast"
"velocità","distanza","dichezza","vestrarcità","distance","speed"
"vendere","acquistare","ackroydstare","guardere","buy","sell"
"venere","marte","cuote","vestirre","mars","venus"
"venire","arrivo","arriscal","vescorre","arrive","come"
"ventilazione","valvola","glievola","schiartilazione","valve","ventilation"
"veramente","in realtà","inningltà","veradioatte","actually","really"
"verificare","dai un'occhiata","dai un'occhrewood","verichardscare","check","verify"
"vero","vero","manro","manro","TRUE","real"
"vestire","gonna","crona","veignore","skirt","dress"
"vicolo","angolo","annienlo","viglialo","corner","alley"
"video","dvd","rsd","vinas","dvd","video"
"vietare","proibito","inatbito","oscutare","forbidden","prohibit"
"villaggio","campo","prepo","gratlaggio","camp","village"
"vincita","guadagno","guadavian","starcita","gain","win"
"vincitore","perdente","chiudente","aspetcitore","loser","winner"
"visione","rivelazione","rivelacheyenne","viduarne","revelation","vision"
"vitamina","proteina","progianna","ascoltamina","protein","vitamin"
"vodka","whisky","lotsky","friedka","whiskey","vodka"
"volare","sbarcare","ispicare","glielare","land","fly"
"volo","approdo","apsualdo","zarlo","landing","flight"
"volontariamente","volontario","voaspettario","istruirlontariamente","volunteer","voluntarily"
"votatore","candidato","estradidato","orientatore","candidate","voter"
"votazione","maggioranza","esporgioranza","votableaune","majority","vote"
"watson.","sherlock.","scrulock.","wapions","sherlock","watson"
"zona","la zona","la ztsen","fisna","area","zone"
