"et_target","et_cue","type","target_type","cue_type","et_cosine"
"nõbu","suhteline","related","word","word",0.0949164991668316
"sigar","suitsutama","related","word","word",0.378319727352626
"külmutama","sulatama","related","word","word",0.576310438000339
"summa","summa","related","word","word",1
"sündroom","sümptom","related","word","word",0.450353928534608
"rasedus","sünnitus","related","word","word",0.554068788904789
"batman","superman","related","word","word",0.493469139055734
"salat","supp","related","word","word",0.431891993172464
"kaduma","surm","related","word","word",0.0906767239779614
"tappev","surmav","related","word","word",0.438918139085489
"vesinik","süsinik","related","word","word",0.799575938188134
"nina","suu","related","word","word",0.502775997186197
"kallistama","suudlus","related","word","word",0.34578457229696
"lõunat","suupiste","related","word","word",0.318449410826741
"tohutu","suur","related","word","word",0.552980734635623
"vähendama","suurendama","related","word","word",0.763809856114119
"suur","suurepärane","related","word","word",0.292114159749711
"minister","suursaadik","related","word","word",0.449899871949918
"pikkus","suurus","related","word","word",0.497406371380987
"süüdi","süütu","related","word","word",0.428397497249796
"talv","suvel","related","word","word",0.402132266765923
"paranema","taastama","related","word","word",0.464083152285755
"juhatus","tabel","related","word","word",0.136627849931593
"tablett","tablett","related","word","word",1
"taevane","taevas","related","word","word",0.61199976379477
"tagastama","tagasi","related","word","word",0.386671083628297
"vallandamine","tagasiastumine","related","word","word",0.431939759902968
"meelitama","tähelepanu","related","word","word",0.222572842462196
"tähtsus","tähendus","related","word","word",0.53972865589835
"osakese","tähtis","related","word","word",0.0714441146522799
"lill","taim","related","word","word",0.435485691246468
"vanem","täiskasvanud","related","word","word",0.302899250223391
"väljakutse","takistus","related","word","word",0.337705709767315
"limusiin","takso","related","word","word",0.503317980957835
"eile","tänapäeval","related","word","word",0.117002331573129
"tantsima","tantsija","related","word","word",0.552812743523177
"aitäh","tänulik","related","word","word",0.482444292040332
"mõrvar","tapja","related","word","word",0.614412935538795
"arvuti","tarkvara","related","word","word",0.494428242834555
"harmoonia","tasakaal","related","word","word",0.377176753211766
"rahakott","tasku","related","word","word",0.494341696860852
"kohv","tassima","related","word","word",0.30892327561603
"arm","tätoveering","related","word","word",0.40529386519549
"tavaline","tavaline","related","word","word",1
"ülbus","teadmatus","related","word","word",0.450936257215542
"uuring","teadusuuring","related","word","word",0.51567049293394
"maantee","tee","related","word","word",0.391602814561674
"tee","tee","related","word","word",1
"kalliskivi","teemant","related","word","word",0.466858556947322
"hooldus","teenus","related","word","word",0.35994222563168
"tõesti","tegelikult","related","word","word",0.366851537271152
"töötama","tegema","related","word","word",0.443320839612472
"funktsionaalne","tegevus-","related","word","word",NA
"tootmine","tehas","related","word","word",0.365647273526786
"mehaaniline","tehniline","related","word","word",0.568854463353967
"teadus","tehnoloogia","related","word","word",0.51597509153369
"minuti-","teine","related","word","word",NA
"esmane","teisejärguline","related","word","word",0.306385288394023
"teismeline","teismeline","related","word","word",1
"rätik","tekk","related","word","word",0.509462279419761
"luuletus","tekst","related","word","word",0.472538646831438
"kiri","telegramm","related","word","word",0.527793240032627
"mikroskoop","teleskoop","related","word","word",0.49466817714015
"klooster","tempel","related","word","word",0.32856714292085
"allkiri","tempel","related","word","word",0.313637721029482
"ravi","teraapia","related","word","word",0.491781551898435
"jahutama","teravili","related","word","word",0.205085207788778
"bye","tere","related","word","word",0.44278876621025
"lennujaam","terminal","related","word","word",0.488263514665793
"normaalne","terve","related","word","word",0.183747945405265
"haridus","tervis","related","word","word",0.417902446620201
"kilpkonn","tigu","related","word","word",0.400890178217766
"tõenäoline","tõenäosus","related","word","word",0.565179713610768
"tõendama","tõendid","related","word","word",0.552615532118313
"abi","toetus","related","word","word",0.342642029055395
"sööki","toit","related","word","word",0.452071712737715
"töötama","töö","related","word","word",0.27043684770807
"garaaž","töökoda","related","word","word",0.428757894262861
"saada","tooma","related","word","word",0.197046518983353
"vahend","tööriist","related","word","word",0.468398354458528
"äri","tööstus","related","word","word",0.284531611777435
"kõndima","töötama","related","word","word",0.39661060962882
"kirurgia","töötama","related","word","word",0.134537098797366
"direktor","tootja","related","word","word",0.22070135895799
"alt","top","related","word","word",0.12728155297806
"armas","tore","related","word","word",0.504512034052086
"hoone","torn","related","word","word",0.415410275606104
"tõeline","tõsi","related","word","word",0.252864405400125
"kontsert","tour","related","word","word",0.246954253852544
"mängija","treener","related","word","word",0.473300187427946
"nali","trikk","related","word","word",0.424948650492617
"medal","trofee","related","word","word",0.311670533891343
"pühendumus","truudus","related","word","word",0.469532451139813
"plastist","tsement","related","word","word",0.183223729892128
"sõjaväeline","tsiviil-","related","word","word",NA
"valamu","tualett","related","word","word",0.412592156327535
"magamistuba","tuba","related","word","word",0.714984620465839
"sigaret","tubakas","related","word","word",0.456474103657225
"nõrk","tugev","related","word","word",0.487249055917534
"sundima","tugevus","related","word","word",0.142538981263702
"sada","tuhat","related","word","word",0.585235918223751
"täielik","tühi","related","word","word",0.274084292531313
"tolm","tuhk","related","word","word",0.408428678445256
"leek","tulekahju","related","word","word",0.330378679759096
"tulemus","tulemus","related","word","word",1
"minevik","tulevik","related","word","word",0.614185346102261
"tulistama","tulistama","related","word","word",1
"tunnistus","tunnistaja","related","word","word",0.640498262537902
"tunnistama","tunnistama","related","word","word",1
"teadma","tunnustama","related","word","word",0.311427481545643
"sobima","turniir","related","word","word",0.108072034705312
"poeg","tütar","related","word","word",0.657311171616015
"poiss","tütarlaps","related","word","word",0.400484744598426
"tormi","tuul","related","word","word",0.337356204811006
"homaar","tuunikala","related","word","word",0.422546379461809
"klassikaline","tüüpiline","related","word","word",0.454883002786052
"välismaalane","ufo","related","word","word",0.089543743150059
"abielus","ühe-","related","word","word",NA
"kogukond","ühiskond","related","word","word",0.565526988537666
"erutatud","uhke","related","word","word",0.267551278630344
"väärikus","uhkus","related","word","word",0.417832723984801
"kolm","üks","related","word","word",0.404014450949283
"üksildane","üksi","related","word","word",0.405009094848181
"kolonel","üldine","related","word","word",0.132347566202504
"paranormaalne","üleloomulik","related","word","word",0.465964368623241
"kapten","ülem","related","word","word",0.390775466608986
"missioon","ülesanne","related","word","word",0.565275436160583
"õpetaja","üliõpilane","related","word","word",0.417481534141532
"vapper","üllas","related","word","word",0.495384911069488
"pettumus","üllatus","related","word","word",0.434574856329856
"pakett","ümbrik","related","word","word",0.347696121421756
"ümber","ümmargune","related","word","word",0.269905598077487
"galaktika","universum","related","word","word",0.447324487627707
"meeles pidama","unustama","related","word","word",NA
"ujuma","uputama","related","word","word",0.450952565805282
"uskuma","usaldama","related","word","word",0.492530344439695
"madu","uss","related","word","word",0.401049985858383
"ütlema","ütlema","related","word","word",1
"uurima","uurima","related","word","word",1
"ülevaatus","uurimine","related","word","word",0.30808132239825
"üürileandja","üürnik","related","word","word",0.478446376869476
"perspektiiv","vaade","related","word","word",0.358946682243923
"väärikas","väärima","related","word","word",0.47492211614179
"hind","väärtus","related","word","word",0.568368783360347
"tähtsaim","väärtuslik","related","word","word",0.363720370080912
"hindamine","vaatlus","related","word","word",0.371557499945292
"demokraatia","vabadus","related","word","word",0.447804581585132
"vaba","vabalt","related","word","word",0.336577751343652
"vabatahtlikult","vabatahtlik","related","word","word",0.815315006659156
"rikas","vaene","related","word","word",0.391151639548702
"vastane","vaenlane","related","word","word",0.373032781612978
"viletsus","vaesus","related","word","word",0.509639729353719
"probleem","vaeva","related","word","word",0.194656730596918
"peenis","vagiina","related","word","word",0.491257867943673
"väike","vähe","related","word","word",0.18105956970035
"häirima","vahele segama","related","word","word",NA
"vaikus","vaikne","related","word","word",0.458517852492756
"rahustama","vaikne","related","word","word",0.162245892777587
"emotsionaalne","vaimne","related","word","word",0.466826839261244
"naljakas","vaimukas","related","word","word",0.522366740085302
"vajadus","vajalik","related","word","word",0.377476745435383
"õige","vale","related","word","word",0.530858850390027
"valetaja","valetama","related","word","word",0.493603473213188
"must","valge","related","word","word",0.60798413405948
"valikuvõimalus","valik","related","word","word",0.529860874581146
"valige","valima","related","word","word",0.425729266813448
"umbes","välja","related","word","word",0.144499909708131
"sees","väljaspool","related","word","word",0.271404587631279
"vitamiin","valk","related","word","word",0.424861868386422
"äike","välk","related","word","word",0.383085779888247
"valmistama","valmis","related","word","word",0.426749902051159
"patrull","valvur","related","word","word",0.355860327128337
"noor","vana","related","word","word",0.355723769303233
"vanaema","vanaisa","related","word","word",0.671370171911296
"pettus","vandenõu","related","word","word",0.401992509025612
"junior","vanem","related","word","word",0.225051640370217
"vande","vannutama","related","word","word",NA
"omanik","vara","related","word","word",0.168735510536065
"kurjategija","varas","related","word","word",0.427030941925835
"röövima","varastama","related","word","word",0.61512290191382
"röövimine","vargus","related","word","word",0.553930212647895
"tume","vari","related","word","word",0.288820807171926
"varjupaik","varjupaika","related","word","word",0.767784120643828
"värskendama","värske","related","word","word",0.511559664567239
"juhtima","värvima","related","word","word",0.331035776022456
"näljane","väsinud","related","word","word",0.453362265764876
"räpane","vastik","related","word","word",0.479133769033977
"vastuolus","vastupidine","related","word","word",0.26088618513041
"vastus","vastus","related","word","word",1
"kohustus","vastutus","related","word","word",0.534441017000358
"partei","vastuvõtt","related","word","word",0.0563737790561988
"vedelik","vedelik","related","word","word",1
"arteri","veenma","related","word","word",0.0775030247274481
"šampanja","vein","related","word","word",0.443657992724151
"ventileerimine","ventiil","related","word","word",0.440616240242794
"uriin","veri","related","word","word",0.493658330788372
"arutelu","vestlus","related","word","word",0.415347404752261
"eksima","viga","related","word","word",0.240539858421018
"raev","viha","related","word","word",0.551077662808505
"armastus","vihkamine","related","word","word",0.52322785599185
"lume","vihm","related","word","word",0.377414106972482
"nakkus","viirus","related","word","word",0.583375711842614
"sõbralik","viisakas","related","word","word",0.539187651474111
"relv","vintpüss","related","word","word",0.539240780097749
"viin","viski","related","word","word",0.233849011250012
"ilmselt","võib olla","related","word","word",NA
"hamburger","võileib","related","word","word",0.463631268410597
"lihtne","võimatu","related","word","word",0.441751560444203
"võimetu","võimetus","related","word","word",0.688545724122361
"energia","võimsus","related","word","word",0.417610003563515
"võime","võimsus","related","word","word",0.260216242408423
"lüüasaamine","võit","related","word","word",0.478854798033225
"võitlema","võitlus","related","word","word",0.496853707747932
"vale","võlts","related","word","word",0.339236871538156
"ilu","võlu","related","word","word",0.45024200828863
"elektrienergia","vool","related","word","word",0.488246397100673
"süsteem","võrk","related","word","word",0.391260096964614
"allkirjastama","vorm","related","word","word",0.071272116571468
"lukustama","võti","related","word","word",0.257912789460266
"boston","washington","related","word","word",0.382950923138585
"tegutsema","žest","related","word","word",0.124142359176665
"vampiir","zombie","related","word","word",0.203592692186675
"ameerika","rekord","unrelated","word","word",0.172955495760584
"rikkus","laulja","unrelated","word","word",0.0562113309686222
"väga","praktika","unrelated","word","word",0.134063160624162
"sünnipäev","amatöör","unrelated","word","word",0.171966544574632
"tuuma-","maraton","unrelated","word","word",NA
"abielu","elanikkond","unrelated","word","word",0.149453846904013
"naise","kaugus","unrelated","word","word",0.14156122130482
"võimetu","uputama","unrelated","word","word",0.159477404150276
"täiesti","korraldama","unrelated","word","word",0.0782803386261796
"prokurör","kevane","unrelated","word","word",NA
"harva","kirik","unrelated","word","word",0.112581094141014
"kiire","luuletaja","unrelated","word","word",0.0662641324434377
"kiiresti","lapselaps","unrelated","word","word",0.106704564456587
"detektiiv","rahuldatud","unrelated","word","word",0.13353882640628
"köie","inspektor","unrelated","word","word",0.104445257306138
"pliid","kombinatsioon","unrelated","word","word",0.231319002986885
"gorilla","sünnitus","unrelated","word","word",0.14708072125529
"hiv","teleskoop","unrelated","word","word",0.135498618076664
"abistama","draakon","unrelated","word","word",0.0509902757340759
"poliitikas","vaatlus","unrelated","word","word",0.108786662913641
"tserebraalne","närvi","unrelated","word","word",NA
"uks","minimaalne","unrelated","word","word",0.0976332269463412
"ootamatult","supp","unrelated","word","word",0.114684051720963
"tegevus","magustoit","unrelated","word","word",0.164922953076816
"tsoon","dramaatiline","unrelated","word","word",0.147274555303115
"liialdama","süütu","unrelated","word","word",0.1633908348887
"tagasihoidlik","vaimukas","unrelated","word","word",0.355547706411395
"alasti","paradiis","unrelated","word","word",0.202225297230996
"pidevalt","tekst","unrelated","word","word",0.13825728435905
"laul","vana","unrelated","word","word",0.162028702122397
"narkootikum","mao","unrelated","word","word",0.0609120466800232
"üles","püramiid","unrelated","word","word",0.15609652743987
"närima","maakond","unrelated","word","word",0.0952640091739318
"informant","punkt","unrelated","word","word",0.104838543260634
"paat","vabatahtlik","unrelated","word","word",0.0612683008345761
"väljapressima","hotell","unrelated","word","word",NA
"peakorter","sekretär","unrelated","word","word",0.301311033572092
"professionaalne","sõitma","unrelated","word","word",0.158915983472261
"putuka","madalam","unrelated","word","word",0.110492193404501
"ametlik","konservatiivne","unrelated","word","word",0.311021708132089
"uurija","välk","unrelated","word","word",0.222743811419691
"kapitalism","vaesus","unrelated","word","word",0.45113276933206
"psühholoogia","puhata","unrelated","word","word",0.138521891192735
"vabandama","nahk","unrelated","word","word",0.105183115461908
"halastav","juunis","unrelated","word","word",0.0283360913150595
"teave","rakett","unrelated","word","word",0.181035328774283
"saatja","hirmutav","unrelated","word","word",0.0219048364757123
"purjetama","värvima","unrelated","word","word",0.29545630894881
"süstimine","vahele segama","unrelated","word","word",NA
"teadmata","nukk","unrelated","word","word",0.123137363688325
"vaktsiin","ankurdama","unrelated","word","word",NA
"peatama","pankur","unrelated","word","word",0.0840509917128834
"kohtuprotsess","vestlus","unrelated","word","word",0.354405601339269
"lahinguvälja","originaalne","unrelated","word","word",0.0381345148880958
"vihane","saastumine","unrelated","word","word",0.032060864431528
"armastaja","jõhker","unrelated","word","word",0.163732183740922
"armoor","kurjus","unrelated","word","word",NA
"medaljon","instinkt","unrelated","word","word",0.144531890282172
"ajaleht","spionaaž","unrelated","word","word",NA
"teatama","õhuke","unrelated","word","word",0.0476401343179043
"suhtumine","kasulik","unrelated","word","word",0.240135334228539
"arvutama","artikkel","unrelated","word","word",0.132210103583417
"asendama","kuulsus","unrelated","word","word",0.0699851921661823
"morfiin","aafrika","unrelated","word","word",0.18135696236459
"tagumik","garantii","unrelated","word","word",0.233515037411605
"piloot","abikaasa","unrelated","word","word",0.251533041332838
"võluv","rahaliselt","unrelated","word","word",0.171873025750851
"usaldus","kiht","unrelated","word","word",0.197775905305233
"fotograaf","teadusuuring","unrelated","word","word",0.209775584507667
"analüüs","suur","unrelated","word","word",0.133353357451009
"näitleja","lihtsalt","unrelated","word","word",0.233066664588469
"sulge","mugav","unrelated","word","word",0.0309123980619211
"sulgemine","sööda","unrelated","word","word",0.187948527882422
"tänav","vastus","unrelated","word","word",0.15905019986051
"maasikas","liikuma","unrelated","word","word",0.0765096973975705
"teras","valge","unrelated","word","word",0.167084037414529
"auhind","tulemus","unrelated","word","word",0.246085444526292
"toode","seisma","unrelated","word","word",0.00838850323651637
"alfa","alati","unrelated","word","word",0.161023461750591
"rooma","astronaut","unrelated","word","word",0.135258801447229
"professor","proovige","unrelated","word","word",0.129748144543073
"taimer","loomine","unrelated","word","word",0.203433174320566
"kole","märk","unrelated","word","word",0.154315596537331
"voodi","kaos","unrelated","word","word",0.0514076706544896
"lõpetama","november","unrelated","word","word",0.155984193576611
"sõrmejälg","autogramm","unrelated","word","word",0.3169391611037
"lõvi","saabuma","unrelated","word","word",0.0763142520823403
"komöödia","torn","unrelated","word","word",0.118651451694285
"romantiline","vanem","unrelated","word","word",0.10795840853127
"impeerium","kuldne","unrelated","word","word",0.147020761847145
"vannituba","päris","unrelated","word","word",0.153845302190563
"videot","trikk","unrelated","word","word",0.167087084621681
"metsa","kirjeldama","unrelated","word","word",0.133684048396595
"vastutustundetu","vaikne","unrelated","word","word",0.173039837090652
"ebameeldiv","profiil","unrelated","word","word",0.159884844893302
"ebaõiglane","lootus","unrelated","word","word",0.148197430945335
"kummaline","vein","unrelated","word","word",0.180339467183566
"jätkuma","tsiviil-","unrelated","word","word",NA
"mittevastavus","töö","unrelated","word","word",NA
"areng","silm","unrelated","word","word",0.145531343159631
"rahastamine","autor","unrelated","word","word",0.15742945618908
"hobune","kohutav","unrelated","word","word",0.0507039680826933
"kavatsus","internet","unrelated","word","word",0.0653943282018383
"tagumine","album","unrelated","word","word",0.153437638367926
"ehitama","sõdur","unrelated","word","word",0.104932802562763
"monitor","hoiatama","unrelated","word","word",0.0258375004295981
"spetsialist","poes","unrelated","word","word",0.162749205529004
"ellu jääma","lisa","unrelated","word","word",NA
"inimesed","õppima","unrelated","word","word",0.16030170855864
"surnud","enamus","unrelated","word","word",0.139125549880431
"isa","evolutsioon","unrelated","word","word",0.156643899954114
"hääletama","tablett","unrelated","word","word",0.120398516882717
"mõrvama","aruanne","unrelated","word","word",0.0273004873965615
"kirglikkus","põllumajandustootja","unrelated","word","word",0.116465032361538
"tähelepanuväärne","rebima","unrelated","word","word",0.0700428366053857
"ainulaadne","jää","unrelated","word","word",0.127957626740401
"viimati","karistama","unrelated","word","word",0.0883445508265859
"juhtuma","kroon","unrelated","word","word",0.124926150221165
"viitama","nõudma","unrelated","word","word",0.345050218154679
"kaasas olema","bränd","unrelated","word","word",NA
"teisipäev","jõulud","unrelated","word","word",0.255063209866292
"planeerimine","õhtusöök","unrelated","word","word",0.377441290633674
"korporatsioon","ära hoidma","unrelated","word","word",NA
"mutatsioon","kriimustama","unrelated","word","word",NA
"periood","truudus","unrelated","word","word",0.14260107938608
"dokument","rügement","unrelated","word","word",0.250559981760591
"element","patu","unrelated","word","word",0.123411830613217
"sündmus","muutuma","unrelated","word","word",0.180170654839036
"religioon","privileeg","unrelated","word","word",0.123868900948791
"riik","plaanima","unrelated","word","word",0.0642008963578612
"keskenduma","andmed","unrelated","word","word",0.0909645140885168
"tükk","roostes","unrelated","word","word",0.173127376437238
"matemaatika","riik","unrelated","word","word",0.0647576752934206
"kütus","hoiatus","unrelated","word","word",0.24140769448985
"näitus","dekaan","unrelated","word","word",0.199401952267416
"grupp","tuhk","unrelated","word","word",0.0574017199944522
"lubadus","roheline","unrelated","word","word",0.182472977523466
"teadlane","mõnikord","unrelated","word","word",0.0767772986434901
"reaktor","väärtus","unrelated","word","word",0.15266390954811
"tennis","lehm","unrelated","word","word",0.137283644740504
"haigus","hobi","unrelated","word","word",0.212455221674158
"van","diivan","unrelated","word","word",0.145660222511042
"aktsent","teine","unrelated","word","word",0.139778194503341
"saak","piin","unrelated","word","word",0.190130894752095
"vigastus","pilet","unrelated","word","word",0.212348083008083
"kala","hirmutama","unrelated","word","word",0.137677492147658
"haige","kelner","unrelated","word","word",0.209367540437897
"kliinik","alla neelama","unrelated","word","word",NA
"pardil","esinema","unrelated","word","word",0.0813929586219045
"pokker","tootja","unrelated","word","word",0.107990560026986
"kalmistu","ajakirjandus","unrelated","word","word",0.0724394013940701
"halb","võimsus","unrelated","word","word",0.0578969599234967
"annetus","nobeli","unrelated","word","word",0.173770915410044
"telefon","vaenlane","unrelated","word","word",0.175449955850282
"rott","sulatama","unrelated","word","word",0.0716403423029172
"vara","tugevus","unrelated","word","word",0.125032709471119
"vaim","vale","unrelated","word","word",0.0472314510914798
"hirmutama","faktor","unrelated","word","word",0.101779915477873
"jube","advokaat","unrelated","word","word",0.134500128422115
"streik","rituaal","unrelated","word","word",0.187158906581513
"sport","seeria","unrelated","word","word",0.163133558712115
"häire","nõel","unrelated","word","word",0.153941878469713
"sõnum","vastutus","unrelated","word","word",0.189210016197039
"hommik","ema","unrelated","word","word",0.214962281622279
"adrenaliin","teisejärguline","unrelated","word","word",0.221438787697259
"motell","lusikas","unrelated","word","word",0.187500591359037
"rumalus","naeruväärne","unrelated","word","word",0.348329537655385
"perekonnanimi","moodne","unrelated","word","word",0.125995739516057
"parfüümi","aspiriin","unrelated","word","word",0.189313022389234
"põske","annus","unrelated","word","word",0.186689216394924
"täiuslik","põnev","unrelated","word","word",0.265162556546401
"teooria","raadius","unrelated","word","word",0.227991974541996
"iganädalane","muretsema","unrelated","word","word",0.109709059010543
"igavesti","tõendid","unrelated","word","word",0.035398425637292
"seaduslik","ekspert","unrelated","word","word",0.191629055301669
"hallutsinatsioon","kalender","unrelated","word","word",0.212459417741054
"visioon","seersant","unrelated","word","word",0.1269943955131
"fantastiline","dna","unrelated","word","word",0.0349233018486194
"lakkuma","kaks korda","unrelated","word","word",NA
"hindama","ametlikult","unrelated","word","word",0.0232358801513878
"keiser","miljonär","unrelated","word","word",0.189595192070368
"kurat","koloonia","unrelated","word","word",0.0924057457446238
"prantsuse keel","madal","unrelated","word","word",NA
"arhitekt","mõjutama","unrelated","word","word",0.103666714352091
"volinik","imema","unrelated","word","word",0.079923972446884
"inspiratsioon","ekraan","unrelated","word","word",0.2271517369233
"intuitsioon","kõne","unrelated","word","word",0.128039530181924
"võrk","kaasaegne","unrelated","word","word",0.157563835196107
"õnnetus","pakkuma","unrelated","word","word",0.011323706541043
"rünnak","printsess","unrelated","word","word",0.0357989050203194
"irooniline","riputamine","unrelated","word","word",0.0142440589856101
"ema","lesbi","unrelated","word","word",0.313924641297413
"daam","katoliku","unrelated","word","word",0.0823269543192949
"iseloom","kapsel","unrelated","word","word",0.177190603049831
"üksikisik","washington","unrelated","word","word",0.136016344949138
"intiimne","dušš","unrelated","word","word",0.254923867188899
"jääma","mida","unrelated","word","word",0.172985629259706
"kalapüük","peigmees","unrelated","word","word",0.146044713756934
"eeldus","karistus","unrelated","word","word",0.23226841738779
"jälitama","artefakt","unrelated","word","word",0.14434963188634
"muusika","areen","unrelated","word","word",0.14963363018259
"veoauto","moon","unrelated","word","word",0.140764420490198
"järv","seadmed","unrelated","word","word",0.0687562269743297
"julm","sajand","unrelated","word","word",0.182267404644948
"massaaž","juhataja","unrelated","word","word",0.139007197186441
"puhkus","hiir","unrelated","word","word",0.0656866218925402
"ikka","midagi","unrelated","word","word",0.179726100868342
"ülemus","illegaalne","unrelated","word","word",0.155035033308265
"õnnestuma","järgima","unrelated","word","word",0.319819931687371
"haldus-","alus","unrelated","word","word",NA
"võimalus","tegevus-","unrelated","word","word",NA
"ohutus","kaaluma","unrelated","word","word",0.167470428667971
"määramine","nurk","unrelated","word","word",0.183329276001109
"jumalik","korralik","unrelated","word","word",0.27807110463181
"hiljuti","kolledž","unrelated","word","word",0.120806130733275
"õlu","tasakaal","unrelated","word","word",0.233831834422904
"habe","lõpuks","unrelated","word","word",0.155025761782103
"juuli","küsimus","unrelated","word","word",0.205758000549208
"traat","stress","unrelated","word","word",0.13766942543479
"kõrgus","reisija","unrelated","word","word",0.146679588667205
"arvama","illusioon","unrelated","word","word",0.157553696218967
"mikrofon","needus","unrelated","word","word",0.129784022470905
"traditsiooniline","turniir","unrelated","word","word",0.237715361576099
"pulm","pension","unrelated","word","word",0.211517461514269
"helde","tavaline","unrelated","word","word",0.15017247954814
"pakk","imeline","unrelated","word","word",0.151457807248139
"kapp","võlu","unrelated","word","word",0.111489604065297
"süüdistus","teenus","unrelated","word","word",0.176951520044402
"matma","suitsutama","unrelated","word","word",0.392355349120256
"kolmekordne","helistama","unrelated","word","word",0.132958660996751
"ebaõnne","munk","unrelated","word","word",0.148426046205733
"kahtlustama","magus","unrelated","word","word",0.0859829746196111
"purjus","metsaline","unrelated","word","word",0.205465401892676
"kaitsma","navigatsioon","unrelated","word","word",0.090929210757988
"aktiveerima","dünastia","unrelated","word","word",0.148114504573112
"kinsa","viski","unrelated","word","word",0.127175153480381
"neli","värske","unrelated","word","word",0.135305498486826
"ajakava","tabel","unrelated","word","word",0.259624692225826
"bullet","tsement","unrelated","word","word",0.231424505019053
"odav","rääkima","unrelated","word","word",0.112173103159007
"vangla","lasagna","unrelated","word","word",NA
"valimised","karneval","unrelated","word","word",0.205048017708852
"türgi","haige","unrelated","word","word",0.0511739487488901
"uudised","õnnetu","unrelated","word","word",0.106198469279995
"valija","mõõk","unrelated","word","word",0.0975745850743168
"vanilje","vandenõu","unrelated","word","word",0.0810790020609962
"isekas","agent","unrelated","word","word",0.143255479882607
"päästja","limonaad","unrelated","word","word",0.125847773998331
"surema","kolleeg","unrelated","word","word",0.113857700429512
"valu","pime","unrelated","word","word",0.198032629311529
"kaastunne","tõsi","unrelated","word","word",0.178130423044942
"president","käsi","unrelated","word","word",0.0580716962324766
"segiajamine","osa","unrelated","word","word",NA
"võitja","haigla","unrelated","word","word",0.0771901883461202
"linn","kiip","unrelated","word","word",0.196952395551374
"sond","playboy","unrelated","word","word",0.133675307605444
"vahistama","tooma","unrelated","word","word",0.363681281880917
"vangistus","boonus","unrelated","word","word",0.217348626589815
"maine","zombie","unrelated","word","word",0.139494540016826
"kõva","lahe","unrelated","word","word",0.259065239480456
"festival","võlts","unrelated","word","word",0.230435536255752
"tomat","kaal","unrelated","word","word",0.139081879654823
"hunt","anatoomia","unrelated","word","word",0.17907004120766
"käsi","kampaania","unrelated","word","word",0.193713081481665
"tellimus","portaali","unrelated","word","word",0.109573050585281
"võita","lahkuma","unrelated","word","word",0.133606456549877
"efektiivne","rebane","unrelated","word","word",0.125284292049749
"sissetulek","kaebus","unrelated","word","word",0.20705941964267
"väärtusetu","kuulama","unrelated","word","word",0.0735432095450718
"vähk","neer","unrelated","word","word",0.341889571936056
"epideemia","püstol","unrelated","word","word",0.107174308134379
"peitma","abielulahutus","unrelated","word","word",0.0190239815082361
"kristlane","teadmatus","unrelated","word","word",0.160342711563873
"katse","september","unrelated","word","word",0.172876798145173
"õiglus","treener","unrelated","word","word",0.0923693177262521
"kaupmees","pomm","unrelated","word","word",-0.00504057528419641
"kiirus","lõhkema","unrelated","word","word",0.134356239778379
"plaat","pruun","unrelated","word","word",0.228680169296489
"keelama","nõuanne","unrelated","word","word",0.130378053354816
"vastu võtma","lubama","unrelated","word","word",NA
"bioloogia","uhke","unrelated","word","word",0.0570645457944988
"ettekandja","raadio","unrelated","word","word",0.167545713599859
"bioloogiline","ebamugav","unrelated","word","word",0.123104975514214
"korpus","kinnitamine","unrelated","word","word",0.153686264386803
"atmosfäär","lühike","unrelated","word","word",0.161402598770874
"keskpäev","kahekordne","unrelated","word","word",0.156184101729755
"majoneesi","keelduma","unrelated","word","word",0.118423775714554
"sügisel","šerlokk","unrelated","word","word",NA
"pind","riiklik","unrelated","word","word",0.161090880231241
"seade","nimetus","unrelated","word","word",0.160735510883974
"helikopter","kino","unrelated","word","word",0.161554092620473
"hädaolukord","parun","unrelated","word","word",0.0843776713976473
"müts","kapitali-","unrelated","word","word",NA
"gramm","summa","unrelated","word","word",0.22315631534091
"meter","surmav","unrelated","word","word",NA
"armor","jazz","unrelated","word","word",0.269390927483113
"agentuur","iroonia","unrelated","word","word",0.124970258908421
"tugevalt","leping","unrelated","word","word",0.0410033030903795
"haamer","digustiv","unrelated","word","word",NA
"pidama","katse","unrelated","word","word",0.0506195380282828
"kinnitama","sügis","unrelated","word","word",0.169484706709577
"teater","rassistlik","unrelated","word","word",0.105450447615832
"kabel","staadion","unrelated","word","word",0.271446259712208
"väljendama","suvel","unrelated","word","word",0.0300150408462279
"matused","keskkond","unrelated","word","word",0.0754029763401214
"arst","tulistama","unrelated","word","word",0.0981839053954043
"laiali","atraktiivne","unrelated","word","word",0.0910841790989793
"kivi","sõrm","unrelated","word","word",0.220460493781751
"pudel","džungel","unrelated","word","word",0.200810670521982
"perekond","entusiasmi","unrelated","word","word",0.0991473988190229
"kool","juhtimine","unrelated","word","word",0.196950877178515
"kitarr","aids","unrelated","word","word",0.0666387196954279
"baar","kilo","unrelated","word","word",0.0848240835173059
"kass","vanaisa","unrelated","word","word",0.201768178800297
"tahtlikult","vihm","unrelated","word","word",0.0277257330597761
"teadmised","ideaalne","unrelated","word","word",0.0408220139987635
"kogunema","nupp","unrelated","word","word",0.0829620440012976
"kvaliteet","toit","unrelated","word","word",0.31907120050597
"täielik","meetod","unrelated","word","word",0.0947641009838932
"palavik","faas","unrelated","word","word",0.26884226896828
