"et_cue","et_target","et_fake_target","et_fake_cue","en_cue","en_target"
"miil","sentimeeter","sentivõrkuter","dail","mile","centimeter"
"miljonär","ettevõtja","etteäriasja","miljokilt","millionaire","entrepreneur"
"miljonit","miljardit","milolendit","miljotuks","million","billion"
"ming","ling","ligh","mitä","ming","ling"
"minimaalne","maksimaalne","maksiruumine","miniruumine","minimum","maximum"
"mitte kunagi","kunagi","kusestgi","mitte kunnifred","never","ever"
"mõjutama","mõju","mõnas","mõningatama","influence","effect"
"mõnikord","sageli","sagelikopteriga","mõniteel","sometimes","often"
"monument","kuju","kumis","monutäis","monument","statue"
"moodne","elegantne","elekeskne","valdne","fashionable","elegant"
"mõõk","nuga","kokga","mõpr","sword","knife"
"moon","päike","juuke","mout","moon","sun"
"motiiv","alibi","krõbi","movitð","motive","alibi"
"muda","liiv","lidd","kelda","mud","sand"
"mudel","prototüüp","protovand","munan","model","prototype"
"mugav","meeldiv","meelnch","murum","comfortable","pleasant"
"mujal","kusagil","kusexis","mutee","elsewhere","somewhere"
"mulje","tunne","saane","tesje","impression","feeling"
"muljetavaldav","hämmastav","portmastav","muljetavalruumis","impressive","amazing"
"munk","preester","väeoster","mute","monk","priest"
"müra","heli","tööli","balra","noise","sound"
"mures","närviline","eemalviline","muloo","worried","nervous"
"muretsema","muretsema","musuaalsema","musuaalsema","concern","worry"
"mürk","tappa","roopa","ührk","poison","kill"
"müüja","ostja","jenja","peeja","seller","buyer"
"müüt","legend","lepans","müpj","myth","legend"
"muutuma","parandamine","parandaminemuistsel","väärtuma","change","improvement"
"nael","dollari","seadlari","navä","pound","dollar"
"naeratama","naerma","flirma","võistratama","smile","laugh"
"naeruväärne","absurdne","abnemine","naerususidne","ridiculous","absurd"
"nägema","vastama","oodatama","nätundma","see","meet"
"nahk","pabertaskurätik","parooligataskurätik","nast","skin","tissue"
"naiivne","küüniline","spiooniline","haistne","naive","cynical"
"naiivsed","loll","lotu","niaalsed","naïve","stupid"
"näitama","toimivus","toimilind","konttama","show","performance"
"nälg","janu","jades","näip","hunger","thirst"
"nap","jalutama","jagaksitama","lep","nap","stroll"
"närvi","lihas","lipil","kamvi","nerve","muscle"
"navigatsioon","kommunikatsioon","kommunikattuseks","navigattused","navigation","communication"
"needus","nõid","nõuk","mürdus","curse","witch"
"neer","maks","maab","nery","kidney","liver"
"nimetus","pealkiri","tõidkiri","nimekord","name","title"
"ninja","samurai","samumürk","rüüja","ninja","samurai"
"nobeli","auhind","auvitš","nobelikopteriga","nobel","prize"
"nõel","süstal","restal","grel","needle","syringe"
"noored","lapsepõlv","lapsemiod","ranred","youth","childhood"
"normaalselt","tavaliselt","tavaligioos","norsiivselt","normally","usually"
"nõuanne","nõustama","veentama","prooanne","advice","advise"
"nõudma","taotlus","kohtlus","goodma","demand","request"
"november","detsember","häälsember","norantber","november","december"
"nukk","mänguasi","mängukoer","hekk","doll","toy"
"number","aadress","braress","rösber","number","address"
"nupp","vajutama","vanemadtama","nuru","button","press"
"nurk","allee","altur","nupi","corner","alley"
"nutikas","arukas","pankas","nutiühin","smart","intelligent"
"nüüd","teadma","kahtma","nüac","now","know"
"objekt","teema","kirma","obhead","object","subject"
"õde","vend","jänd","mke","sister","brother"
"õhk","hapnik","klunik","lük","air","oxygen"
"õhtusöök","hommikusöök","hommikulusid","õhtunael","dinner","breakfast"
"õhuke","paks","pasc","barke","thin","thick"
"ohutu","kindlustama","elektlustama","poltu","safe","secure"
"ohver","ründaja","mõisdaja","ohgut","victim","attacker"
"õigus","vasakule","vasakuleviisorist","õival","right","left"
"okei","jah","ath","oklv","okay","yeah"
"oksjon","soodustus","tõendustus","oksrub","auction","sale"
"õla","põlve","vinve","rüa","shoulder","knee"
"olukord","kriis","krrds","neekord","situation","crisis"
"omakorda","pöörama","tähtrama","omadestda","turn","rotate"
"õnnetu","haletsusväärne","haletsuspetentne","õnnemist","miserable","pathetic"
"õnnitlema","tervitama","kaitsvitama","õnchandlema","congratulate","greet"
"onu","isa","coa","jeu","uncle","dad"
"öösel","õhtu","laptu","käsel","night","evening"
"ootama","ootama","veentama","veentama","wait","expect"
"õppima","õpetama","prootama","plaapima","learn","teach"
"optimistlik","realistlik","reakondlik","optiebardlik","optimistic","realistic"
"orav","pesukaru","pesukamisel","orbs","squirrel","raccoon"
"orgasm","erektsioon","ericksioon","orkats","orgasm","erection"
"ori","teenija","plaanija","lti","slave","servant"
"originaalne","koopia","kooten","origipunktne","original","copy"
"orkaan","tornaado","torgwendo","orlien","hurricane","tornado"
"orkester","bändi","ropdi","ortwitter","orchestra","band"
"õrn","tundlik","treelik","ðon","delicate","sensitive"
"osa","lõik","tðik","tõa","section","paragraph"
"osa","divisjon","divisheks","tõa","unit","division"
"ostma","müüma","virma","jenma","buy","sell"
"otsene","otse","lisse","otjärgne","direct","directly"
"otsima","valvama","meievama","ottundma","look","watch"
"otsing","leidma","täisma","otrice","search","find"
"õudus","hirm","hina","õusel","horror","fear"
"õudusunenägu","unenägu","charnägu","õualaarenenägu","nightmare","dream"
"õun","viljad","morjad","ryn","apple","fruit"
"paak","mootor","seator","panc","tank","engine"
"päästma","säästa","juusta","pootsma","rescue","save"
"paber","pliiats","pltrats","parad","paper","pen"
"pacific","atlandi","atkoordi","paciong","pacific","atlantic"
"pagulane","lenduv","lengar","pagulanemuistsel","refugee","fugitive"
"päikeseloojang","koitu","lõptu","päikeselooniseid","sunset","dawn"
"pakkuma","andma","kaima","kuulkuma","offer","give"
"palee","loss","lofi","pamii","palace","castle"
"palgasõdur","palgamõrvar","palgamõrrooga","palgasõteist","mercenary","assassin"
"pangandus","rahaline","rahalinemuistsel","pangannalt","banking","financial"
"pankur","investor","inpuurtor","järkur","banker","investor"
"pantvang","vangija","georgija","pantbaid","hostage","prisoner"
"paradiis","põrgu","kaogu","parakely","paradise","hell"
"pärand","pärima","ameerima","päpuud","heritage","inherit"
"parandama","remont","remuks","paniigadama","fix","repair"
"paranoiline","hull","huas","paranoilinemuistsel","paranoid","crazy"
"päris","ilus","iltt","päter","pretty","beautiful"
"parlament","senati","franciscossenati","parlatorn","parliament","senate"
"parun","loendatus","ihaldatus","papab","baron","countess"
"patsient","klient","skient","patriana","patient","client"
"patu","kuritegevus","kuritegetõmmet","lootu","sin","crime"
"peegeldus","peegel","väägel","peepiirdus","reflection","mirror"
"pehmed","õrn","oun","diimed","soft","gentle"
"peigmees","pruut","praft","phoemees","groom","bride"
"pension","palk","pasq","pendium","pension","salary"
"pesa","muna","rünna","peris","nest","egg"
"piibel","raamat","luumat","tembel","bible","book"
"piim","mahl","mazy","pisõ","milk","juice"
"piin","piinamine","korstnamine","piuk","torment","torture"
"piirkondlik","kohalik","kohadest","piirlistlik","regional","local"
"piisav","piisav","piibio","piimón","enough","sufficient"
"piiskop","kardinal","kardidest","piissex","bishop","cardinal"
"piknik","telkimine","dusidkimine","füünik","picnic","camping"
"pilet","passi","hiisi","pibad","ticket","passport"
"pilt","foto","folus","pizz","picture","photo"
"pilv","udu","hyu","pizi","cloud","fog"
"pime","kurt","kugi","pidut","blind","deaf"
"pimedus","valgus","valval","pimeteoo","darkness","light"
"ping","ding","digb","pias","ping","ding"
"piraat","meremees","meretusi","pirell","pirate","sailor"
"plaanima","strateegia","töötteegia","mõisnima","plan","strategy"
"planeet","orbiit","orriod","planüüd","planet","orbit"
"platvorm","jaama","ränma","platkers","platform","station"
"playboy","ajakiri","leltkiri","playazy","playboy","magazine"
"pluss","miinus","nähnus","oruss","plus","minus"
"poes","pood","pote","caes","shop","store"
"põgenema","põgenemine","põgeneminemuistsel","põrandanema","flee","escape"
"põhjendus","põhjustama","põhkärvatama","põhavaldus","reason","cause"
"poisid","tüdrukud","tüdruplat","liksid","boys","girls"
"poliitika","poliitik","poliikese","popaavstika","policy","politician"
"põllumajandustootja","töötaja","alustaja","põllumajandustootjaguariga","farmer","worker"
"pomm","plahvatusohtlik","ekskluvatusohtlik","poto","bomb","explosive"
"põnev","huvitav","huvikuid","põpid","exciting","interesting"
"pool","veerand","veerius","pomy","half","quarter"
"põõsas","puu","jeu","hüüsas","bush","tree"
"populaarne","kuulus","poolus","popuakuutne","popular","famous"
"põrand","vaip","vary","põhaav","floor","carpet"
"porn","film","fibs","pone","porn","movie"
"portaali","värav","väauk","porneilli","portal","gate"
"positiivne","negatiivne","negaraazine","posiruumine","positive","negative"
"potentsiaal","talent","tahang","potentliele","potential","talent"
"pragu","auk","mek","rotgu","crack","hole"
"praktika","harjutus","harjuvõim","juustika","practice","exercise"
"prillid","kork","koio","smitlid","glasses","cap"
"printsess","prints","praats","printsöök","princess","prince"
"privaatne","eraelu","eramia","primoodne","private","privacy"
"privileeg","austama","pöörtama","priviisik","privilege","honor"
"profiil","kirjeldus","kirsuundus","prodion","profile","description"
"projekt","programm","krisramm","propaks","project","program"
"proovige","katse","hoose","alusvige","try","attempt"
"protestima","demonstratsioon","debaccaratsioon","uudistestima","protest","demonstration"
"protsess","protseduur","protsetica","protlehe","process","procedure"
"prügikast","prügi","kopgi","prüginumb","trash","garbage"
"pruun","sinine","sipoolne","prinn","brown","blue"
"pubi","restoran","alantoran","zerbi","pub","restaurant"
"puhas","pesta","jakta","pulie","clean","wash"
"puhata","magama","matundma","pumary","rest","sleep"
"pulss","rõhk","rõem","pungs","pulse","pressure"
"pump","voolik","tavlik","puhe","pump","hose"
"punane","kollane","vanglane","pusioone","red","yellow"
"punkt","näitama","konttama","puüst","point","indicate"
"püramiid","struktuur","strukteed","püranoch","pyramid","structure"
"purustama","vaheaeg","vahedust","pupeoletama","smash","break"
"püstol","relv","rerl","kittol","pistol","weapon"
"raadio","televisioon","televiduaal","raaven","radio","television"
"raadius","perimeeter","peripoisster","raadood","radius","perimeter"
"rääkima","rääkima","uurikima","uurikima","talk","speak"
"raamatukogu","muuseum","muuleeg","kloostmatukogu","library","museum"
"radar","satelliit","satelnema","rarum","radar","satellite"
"raha","raha","ratid","ratid","cash","money"
"rahaliselt","rahastamine","rahastaminemuistsel","rahaligioos","financially","financing"
"rahandus","investeerima","inprioriteerima","radistdus","finance","invest"
"rahuldatud","õnnelik","õnnetest","ralaiendatud","satisfied","happy"
"rahvahulk","publik","sihlik","rahvareet","crowd","audience"
"rahvusvaheline","maailm","maanee","rahvusvahelinemuistsel","international","world"
"raiskama","kulutama","kumisestama","alankama","waste","spend"
"rakendama","kasutama","teistsutama","radioakdama","apply","use"
"rakett","rakett","rapead","rapead","rocket","missile"
"rand","rannikul","rannilist","raje","beach","coast"
"raske","tugevalt","tugemeel","seake","heavy","heavily"
"rassistlik","kommunistlik","kommualandlik","raseraklik","racist","communist"
"ratsavägi","suurtükivägi","preesttükivägi","väeossavägi","cavalry","artillery"
"rauda","metallist","metalveks","ramoa","iron","metal"
"reaalsus","fantaasia","fantaaland","teesksus","reality","fantasy"
"realiseerima","mõistma","transma","jacqueliseerima","realize","understand"
"rebane","jänes","jätak","rejärgne","fox","rabbit"
"rebima","lõigatud","taasgatud","rekoorma","tear","cut"
"reegel","protokoll","protoverd","võrgel","rule","protocol"
"reisija","juht","jugi","taassija","passenger","driver"
"reklaam","turundus","tutaksdus","rekfael","advertising","marketing"
"rekord","salvestus","salhoiatus","rekest","record","recording"
"relvapowder","dünamiit","dünacutt","relvalivadder","gunpowder","dynamite"
"rendi","rendima","kulddima","tamdi","hire","rent"
"reporter","ajakirjanik","ajakirjapoolt","rehwester","reporter","journalist"
"resistentsus","vastu seisma","vastulauassma","resisniaalsus","resistance","resist"
"riie","taskurätik","elektkurätik","riak","cloth","handkerchief"
"riik","rahvas","julvas","rimu","country","nation"
"riiklik","ülemaailmne","ülemaasuaalne","efeklik","national","global"
"ring","kolmnurk","kolmlisk","rily","circle","triangle"
"riputamine","täitmine","suunmine","abikloostriputamine","hanging","execution"
"riskantne","ohtlik","evalik","risteiine","risky","dangerous"
"riskima","oht","ldt","kuulkima","risk","danger"
"rituaal","tseremoonia","idiooremoonia","ritoaga","ritual","ceremony"
"robot","masin","mades","rolav","robot","machine"
"rodeo","kauboi","kauhue","romir","rodeo","cowboy"
"roheline","oranž","orbuž","rohelinemuistsel","green","orange"
"romeo","juliet","jusate","ronci","romeo","juliet"
"rong","buss","lass","roie","train","bus"
"rõngas","kaelakee","kaelaburg","sokgas","ring","necklace"
"ronima","hüpata","hüimesta","ronidest","climb","jump"
"rõõm","rõõmustama","eelismustama","zoõm","pleasure","joy"
"rooma","kreeka keel","mõõtka keel","tesma","roman","greek"
"roostes","tolmune","lihtmune","piistes","rusty","dusty"
"röövima","lunaraha","lutusedraha","taasvima","kidnapper","ransom"
"röövima","röövima","taasvima","taasvima","kidnap","abduct"
"röstsai","peekon","peerem","röstmod","toast","bacon"
"rügement","pataljon","patalmärk","rügerard","regiment","battalion"
"rumm","konjak","konhel","rurt","rum","cognac"
"rütm","stiili","seemli","rüxx","rhythm","style"
"saabuma","tulla","kehla","triibuma","arrive","come"
"saabumine","lahkumine","päästkumine","elektbumine","arrival","departure"
"saak","kiskja","piibja","sawy","prey","predator"
"saastumine","kiirgus","kiirtoi","viientumine","contamination","radiation"
"saatkond","ministeerium","ministeesuses","koorkond","embassy","ministry"
"saatus","saatus","gistus","gistus","fate","destiny"
"sagedus","signaal","chanaal","sagekael","frequency","signal"
"säilitama","säilitama","translitama","translitama","preserve","maintain"
"sajand","kümnend","kümpany","sanuni","century","decade"
"salajane","müsteerium","müsteepoeg","salajanemuistsel","secret","mystery"
"särama","helge","emage","meelrama","shine","bright"
"särk","jope","drape","aerk","shirt","jacket"
"sarnane","erinev","osanev","mõisnane","similar","different"
"sarv","vilistama","visuaaltama","sabu","horn","whistle"
"seadmed","varustama","vanemadtama","suunmed","equipment","equip"
"seadus","põhiseadus","põhidalgodus","rasdus","law","constitution"
"sealiha","liha","litid","muutliha","pork","meat"
"seelik","kleit","klryt","varlik","skirt","dress"
"seeria","episood","dunsood","seeuks","series","episode"
"seersant","leitnant","leithust","shansant","sergeant","lieutenant"
"sein","tara","talen","seha","wall","fence"
"seisma","istuma","istusest","paksma","stand","sit"
"sekretär","assistent","assisnoos","sekrerand","secretary","assistant"
"seksuaalne","füüsiline","eelissiline","seklusõnne","sexual","physical"
"selgelt","ilmselt","padselt","selteel","clearly","obviously"
"selgitus","usutav","jõltav","selgivald","explanation","plausible"
"seljaaju","kõhu-","viihu","seljabeth","spinal","abdominal"
"seminar","loeng","treng","semilien","seminar","lecture"
"sensatsiooniline","tähelepanuväärne","tähelepanuväärnemuistsel","sensatsioonilinemuistsel","sensational","spectacular"
"seonduma","lips","liva","õpikduma","bind","tie"
"september","oktoober","okhäärber","poistember","september","october"
"šerif","linnapea","linnavust","šegar","sheriff","mayor"
"šerlokk","watson","monson","ptelokk","sherlock","watson"
"shooter","snaiper","sektper","steeter","shooter","sniper"
"siid","puuvilla","puuteadla","sife","silk","cotton"
"siin","seal","seco","sife","here","there"
"silla","tunnel","tundin","dekla","bridge","tunnel"
"silm","kõrvaklapp","kõrvalaque","siub","eye","ear"
"sisaldama","sisu","sikir","sitäiendama","contain","content"
"sisemine","väline","isikline","siseminemuistsel","internal","external"
"sisenema","minema","minetest","situaalnema","enter","go"
"sisestama","panema","sioonema","sihooratama","insert","put"
"sõda","lahing","lavend","jelda","war","battle"
"sõdur","sõdalane","sõdalanemuistsel","sõket","soldier","warrior"
"soe","jahe","jakas","þee","warm","cool"
"söe","õli","uai","nte","coal","oil"
"sõiduk","auto","aulus","sõilom","vehicle","car"
"sõitma","sõitma","igatma","haigma","drive","ride"
"solvav","solvang","solsuni","solteo","insult","offend"
"sõna","lause","bisse","välna","word","sentence"
"sõna otseses mõttes","praktiliselt","meisttiliselt","sõna otseses mviisorit","literally","practically"
"sõnaraamat","fraas","froms","sõnapoissmat","dictionary","phrase"
"sööda","sööma","dusma","pelda","feed","eat"
"soojus","temperatuur","temperameest","sookab","heat","temperature"
"soovima","soovima","oliivima","oliivima","desire","wish"
"sõrm","pöial","ugial","sõue","finger","thumb"
"spionaaž","sabotaaž","sabonuud","spiopial","espionage","sabotage"
"spioon","reetur","võrtur","idioon","spy","traitor"
"staadion","pesapall","pesamiat","staamiad","stadium","baseball"
"staatus","asend","asiad","naabtus","status","position"
"stress","depressioon","depressurss","streie","stress","depression"
"sügis","kollaps","tarlaps","sümee","fall","collapse"
"suhe","sõprus","ricrus","suvas","relationship","friendship"
"suhkur","šokolaad","šokotown","suhsit","sugar","chocolate"
"suhteline","nõbu","musbu","mõistteline","relative","cousin"
"suitsutama","sigar","sidei","eemalsutama","smoke","cigar"
"sulatama","külmutama","elektmutama","itaallatama","melt","freeze"
"summa","summa","disma","jesma","sum","amount"
"sümptom","sündroom","sündloed","smittom","symptom","syndrome"
"sünnitus","rasedus","raseliin","sünnipüüd","birth","pregnancy"
"superman","batman","kipman","sutillman","superman","batman"
"supp","salat","saher","kipp","soup","salad"
"surm","kaduma","kadusest","sune","death","disappearance"
"surmav","tappev","taproc","sursid","deadly","fatal"
"süsinik","vesinik","vesituat","süsident","carbon","hydrogen"
"suu","nina","rünna","jeu","mouth","nose"
"suudlus","kallistama","džunglistama","maitlus","kiss","hug"
"suupiste","lõunat","vaenat","suunoorte","snack","lunch"
"suur","tohutu","tokirstu","sufe","big","huge"
"suurendama","vähendama","välisukdama","suuliialdama","increase","reduce"
"suurepärane","suur","suna","suurepäranemuistsel","excellent","great"
"suursaadik","minister","minismaks","ülessaadik","ambassador","minister"
"suurus","pikkus","säikus","suuner","size","length"
"süütu","süüdi","maadi","vaatu","innocent","guilty"
"suvel","talv","tafa","sumai","summer","winter"
"taastama","paranema","paradioakma","järgtama","recover","heal"
"tabel","juhatus","juhaselt","tahun","table","chair"
"tablett","tablett","tabliin","emilett","tablet","pill"
"taevas","taevane","lõppvane","ohtvas","sky","heavenly"
"tagasi","tagastama","tanicuttama","tatain","back","return"
"tagasiastumine","vallandamine","vallandaminemuistsel","tagasiastuminemuistsel","resignation","dismissal"
"tähelepanu","meelitama","täiuslitama","tähelemiseksnu","attention","attract"
"tähendus","tähtsus","tähtpäe","täusaldus","meaning","importance"
"tähtis","osakese","kuskese","bortis","matter","particle"
"taim","lill","ligh","taõh","plant","flower"
"täiskasvanud","vanem","vaduv","eemalkasvanud","adult","parent"
"takistus","väljakutse","väljamiegase","tavalttus","obstacle","challenge"
"takso","limusiin","limutant","posso","taxi","limousine"
"tänapäeval","eile","ratle","tänahalisval","today","yesterday"
"tantsija","tantsima","kuulsima","kuulsija","dancer","dance"
"tänulik","aitäh","aisep","tänuväär","grateful","thank"
"tapja","mõrvar","mõrrum","mulja","killer","murderer"
"tarkvara","arvuti","aridenti","algovara","software","computer"
"tasakaal","harmoonia","harmoovust","tasaters","balance","harmony"
"tasku","rahakott","rahahaav","metku","pocket","wallet"
"tassima","kohv","koez","meelsima","cup","coffee"
"tätoveering","arm","olm","tätoveeduses","tattoo","scar"
"tavaline","tavaline","tavalinemuistsel","tavalinemuistsel","ordinary","usual"
"teadmatus","ülbus","ülsik","kahtmatus","ignorance","arrogance"
"teadusuuring","uuring","plring","teadusuuhast","research","study"
"tee","maantee","maanjus","bbe","road","highway"
"tee","tee","nte","bbe","route","path"
"teemant","kalliskivi","kalstreikivi","teetaud","diamond","jewel"
"teenus","hooldus","sihtdus","teegem","service","maintenance"
"tegelikult","tõesti","võrdti","tegelisioon","actually","really"
"tegema","töötama","mõistama","tetundma","make","do"
"tegevus-","funktsionaalne","itaalsionaalne","tegemaid","operational","functional"
"tehas","tootmine","praamine","tekir","factory","production"
"tehniline","mehaaniline","mehaanilinemuistsel","kaitsniline","technical","mechanical"
"tehnoloogia","teadus","märdus","kaitsnoloogia","technology","science"
"teine","minuti-","miidenti","jätne","second","minute"
"teisejärguline","esmane","estreene","teisejärgulinemuistsel","secondary","primary"
"teismeline","teismeline","mohammeline","kvantmeline","teenage","teenager"
"tekk","rätik","räpas","tehu","blanket","towel"
"tekst","luuletus","kohtletus","teõht","text","poem"
"telegramm","kiri","soori","telegtein","telegram","letter"
"teleskoop","mikroskoop","mikrosvert","telespeid","telescope","microscope"
"tempel","klooster","vronster","nõipel","temple","monastery"
"tempel","allkiri","lihtkiri","nõipel","stamp","signature"
"teraapia","ravi","ramad","teraakett","therapy","treatment"
"teravili","jahutama","japoolttama","teravilikopteriga","grain","flour"
"tere","bye","xae","tekan","hello","bye"
"terminal","lennujaam","lennupühi","termiseid","terminal","airport"
"terve","normaalne","norseemne","puuve","healthy","normal"
"tervis","haridus","harikraa","terkel","health","education"
"tigu","kilpkonn","kilpkusi","tises","snail","turtle"
"tõenäosus","tõenäoline","tõemõistline","tõekortsus","probability","likely"
"tõendid","tõendama","kuuldama","ülemdid","evidence","proof"
"toetus","abi","kki","rustus","support","assistance"
"toit","sööki","mõrki","keit","food","meal"
"töö","töötama","mõistama","glö","job","work"
"töökoda","garaaž","garett","draakoda","workshop","garage"
"tooma","saada","gelda","ragma","bring","send"
"tööriist","vahend","vabert","töötiivi","tool","instrument"
"tööstus","äri","yxi","sakstus","industry","business"
"töötama","kõndima","suitdima","mõistama","run","walk"
"töötama","kirurgia","kirurtelt","mõistama","operate","surgery"
"tootja","direktor","direkliga","heitja","producer","director"
"top","alt","ret","arp","top","bottom"
"tore","armas","artik","totad","nice","lovely"
"torn","hoone","magne","touc","tower","building"
"tõsi","tõeline","suurline","joosi","TRUE","real"
"tour","kontsert","kontjeks","auur","tour","concert"
"treener","mängija","võitgija","treerib","coach","player"
"trikk","nali","sooli","vaikk","trick","joke"
"trofee","medal","measi","trojit","trophy","medal"
"truudus","pühendumus","pühendufayel","iraadus","fidelity","devotion"
"tsement","plastist","haistist","sirment","cement","plastic"
"tsiviil-","sõjaväeline","sõjaväelinemuistsel","tsitity","civil","military"
"tualett","valamu","valanokk","roclett","toilet","sink"
"tuba","magamistuba","magamistumiseks","tusel","room","bedroom"
"tubakas","sigaret","siganing","tubariik","tobacco","cigarette"
"tugev","nõrk","nõos","tukot","strong","weak"
"tugevus","sundima","koordima","tugemaid","strength","force"
"tuhat","sada","jelda","tunic","thousand","hundred"
"tühi","täielik","piitlik","hoohi","empty","full"
"tuhk","tolm","toav","tuol","ash","dust"
"tulekahju","leek","lerc","tulemiselju","fire","flame"
"tulemus","tulemus","tuleheit","tulereid","result","outcome"
"tulevik","minevik","minetusi","tuletult","future","past"
"tulistama","tulistama","tutuulttama","tumeelttama","shot","shoot"
"tunnistaja","tunnistus","tunväärtus","tunpaquitaja","witness","testimony"
"tunnistama","tunnistama","tunvärvatama","tunkärvatama","admit","confess"
"tunnustama","teadma","kahtma","tungivadtama","recognize","knew"
"turniir","sobima","sokoorma","turlica","tournament","match"
"tütar","poeg","poäl","tüvin","daughter","son"
"tütarlaps","poiss","poels","tütarking","girl","boy"
"tuul","tormi","jõumi","tuor","wind","storm"
"tuunikala","homaar","honier","hassanikala","tuna","lobster"
"tüüpiline","klassikaline","priorisikaline","nicorpiline","typical","classic"
"ufo","välismaalane","välismaalanemuistsel","nto","ufo","alien"
"ühe-","abielus","abiesitt","bbe","single","married"
"ühiskond","kogukond","koguheit","jõudkond","society","community"
"uhke","erutatud","amettatud","anake","proud","excited"
"uhkus","väärikus","taasrikus","uhsel","pride","dignity"
"üks","kolm","kour","ris","one","three"
"üksi","üksildane","ükteerudane","salsi","alone","lonely"
"üldine","kolonel","kolotuur","sülene","general","colonel"
"üleloomulik","paranormaalne","paranorpetentne","laiskloomulik","supernatural","paranormal"
"ülem","kapten","berten","ülhk","commander","captain"
"ülesanne","missioon","rünsioon","suuranne","task","mission"
"üliõpilane","õpetaja","prootaja","ülirootslane","student","teacher"
"üllas","vapper","husper","ülbit","noble","brave"
"üllatus","pettumus","pettuprot","üllaselt","surprise","disappointment"
"ümbrik","pakett","pasilt","ümbham","envelope","package"
"ümmargune","ümber","ümrad","ümmargunemuistsel","round","around"
"universum","galaktika","gaidiootika","univerrael","universe","galaxy"
"unustama","meeles pidama","meeles pidplekke","arentama","forget","remember"
"uputama","ujuma","penma","märktama","drown","swim"
"usaldama","uskuma","võitkuma","järgdama","trust","believe"
"uss","madu","matel","ies","worm","snake"
"ütlema","ütlema","mõislema","mõislema","say","tell"
"uurima","uurima","järgma","järgma","examine","investigate"
"uurimine","ülevaatus","üleunistus","vajamine","examination","inspection"
"üürnik","üürileandja","chandleandja","scanik","tenant","landlord"
"vaade","perspektiiv","evanpektiiv","silde","view","perspective"
"väärima","väärikas","taasrikas","taasrima","deserve","worthy"
"väärtus","hind","ound","psühtus","value","price"
"väärtuslik","tähtsaim","päässaim","psühtuslik","valuable","important"
"vaatlus","hindamine","teerudamine","viielus","observation","evaluation"
"vabadus","demokraatia","demokraapoolt","vabataht","freedom","democracy"
"vabalt","vaba","vasis","vapaik","freely","free"
"vabatahtlik","vabatahtlikult","vabakeskealikult","vabasiusklik","volunteer","voluntarily"
"vaene","rikas","risid","määne","poor","rich"
"vaenlane","vastane","hoiatane","kõrglane","enemy","opponent"
"vaesus","viletsus","vikuulsus","määsus","poverty","misery"
"vaeva","probleem","probmers","lõuva","trouble","problem"
"vagiina","peenis","vionis","vakaarna","vagina","penis"
"vähe","väike","carke","vävas","little","small"
"vahele segama","häirima","saatrima","vahele segncewind","interrupt","disturb"
"vaikne","vaikus","vaimad","staine","silent","silence"
"vaikne","rahustama","radioaktama","staine","quiet","calm"
"vaimne","emotsionaalne","kliensionaalne","daalne","mental","emotional"
"vaimukas","naljakas","naljapool","vaimuselt","witty","funny"
"vajalik","vajadus","vajamõel","vajatest","necessary","need"
"vale","õige","halge","vaban","wrong","correct"
"valetama","valetaja","teeskletaja","teeskletama","lie","liar"
"valge","must","cost","burge","white","black"
"valik","valikuvõimalus","valikuvõimarakratt","vatee","choice","option"
"valima","valige","varöntge","valisest","choose","select"
"välja","umbes","umvis","kuuja","out","about"
"väljaspool","sees","seha","väljastust","outside","inside"
"valk","vitamiin","vitareas","vauc","protein","vitamin"
"välk","äike","dalke","väia","lightning","thunder"
"valmis","valmistama","valkeelatama","valval","ready","prepare"
"valvur","patrull","patroos","valgen","guard","patrol"
"vana","noor","noee","vased","old","young"
"vanaisa","vanaema","vanaist","vananeel","grandfather","grandmother"
"vandenõu","pettus","lantus","vandevärk","conspiracy","fraud"
"vanem","junior","jutorn","varif","senior","junior"
"vannutama","vande","abide","elektnutama","swear","oath"
"vara","omanik","omakul","vakud","property","owner"
"varas","kurjategija","naalasjategija","valeb","thief","criminal"
"varastama","röövima","taasvima","vakeelatama","steal","rob"
"vargus","röövimine","elektvimine","kolgus","theft","robbery"
"vari","tume","tuvad","vaban","shadow","dark"
"varjupaika","varjupaik","varjurium","varjutusedka","refuge","shelter"
"värske","värskendama","reaalkendama","mustke","fresh","refresh"
"värvima","juhtima","võittima","kuulvima","paint","draw"
"väsinud","näljane","võrdjane","väsimist","tired","hungry"
"vastik","räpane","meespane","vasvus","nasty","filthy"
"vastupidine","vastuolus","vastubisi","vastupidinemuistsel","opposite","contrary"
"vastus","vastus","kuutus","kuutus","answer","reply"
"vastutus","kohustus","koriietus","vastuprot","responsibility","duty"
"vastuvõtt","partei","parsum","vastumiks","reception","party"
"vedelik","vedelik","vedetest","vedetest","liquid","fluid"
"veenma","arteri","lesiteri","seksma","vein","artery"
"vein","šampanja","moskpanja","sfin","wine","champagne"
"ventiil","ventileerimine","ventileeriminemuistsel","venhell","valve","ventilation"
"veri","uriin","urmon","vesed","blood","urine"
"vestlus","arutelu","biootelu","tahtlus","conversation","discussion"
"viga","eksima","klassima","visid","error","mistake"
"viha","raev","rapi","vitid","anger","rage"
"vihkamine","armastus","arriietus","elektkamine","hate","love"
"vihm","lume","inime","viub","rain","snow"
"viirus","nakkus","thokus","sõbrus","virus","infection"
