"lv_target","lv_cue","lv_fake_cue","lv_fake_target","en_cue","en_target"
"kurls","akls","akhu","kuļas","blind","deaf"
"kvalitāte","daudzums","dauliams","kvalitāteņutyrrell","quantity","quality"
"laikraksts","raksts","ravīts","planraksts","article","newspaper"
"laimīgs","apmierināts","apmieridziet","lailiek","satisfied","happy"
"laiva","zemūdens","zemūriem","ddeva","submarine","boat"
"laizīšana","sūkāt","sūdzu","laizīšanabadzîgiem","suck","lick"
"laulība","laulības šķiršana","laulīnijdanršana","vienlība","divorce","marriage"
"laupīšana","zādzība","zāmiesba","laupīšanabadzîgiem","theft","robbery"
"laupītājs","laupījums","laupīķiem","laupīriem","prey","predator"
"ļaut","atļaut","atdurt","säut","allow","let"
"lauva","pūķis","pūtai","shova","dragon","lion"
"leģenda","mīts","rgts","leskauda","myth","legend"
"leitnants","seržants","serfests","leitdukts","sergeant","lieutenant"
"lekcija","seminārs","semitage","spalcija","seminar","lecture"
"lēkt","uzkāpt","uzjāts","lēlā","climb","jump"
"letāls","nāvējošs","nāvēģiem","lejons","deadly","fatal"
"lēts","dārgs","dādēs","šuts","expensive","cheap"
"liberāls","konservatīvs","konservarējäm","libetram","conservative","liberal"
"līdaka","ming","gong","līdakaļaspūlkve","ming","ling"
"līderis","biedrs","bitļrs","līdekard","member","leader"
"lidojums","nolaišanās","nosprāgšanās","lidoņiem","landing","flight"
"lidosta","termināls","termistat","likrauta","terminal","airport"
"lidot","zeme","virme","linās","land","fly"
"līdzjūtība","pacietība","pacietībaterfīldas","skaidjūtība","patience","compassion"
"liecība","liecinieks","liecinoshi","svārcība","witness","testimony"
"liels","lielisks","lieciāls","liuts","excellent","great"
"liesma","uguns","ņauns","grezma","fire","flame"
"līgava","līgavainis","līgapīpmanis","līgadīgs","groom","bride"
"līķis","korpuss","korgits","līzei","body","corpse"
"likt","ievietot","ieviešais","liņo","insert","put"
"liktenis","liktenis","dzeltenis","trautenis","fate","destiny"
"likumīgs","nelegāls","neledzer","likuliek","illegal","legal"
"limuzīns","taksometrs","taksoglābs","limukaut","taxi","limousine"
"literatūra","māksla","mākkes","literatūratiņkrēsls","art","literature"
"lode","kalibrs","karints","lojās","caliber","bullet"
"ļoti","ļoti","gurti","krēti","extremely","very"
"lūgt","apšaubīt","apstipbīt","lūta","question","ask"
"mācīt","mācīties","mācīstam","mākar","learn","teach"
"maigs","mīksts","tūksts","mauds","soft","gentle"
"maisījums","kombinācija","jasdarbinācija","maisīniem","combination","mixture"
"majonēze","kečups","ketnēs","majoaugšeze","ketchup","mayonnaise"
"maka","kabata","kaglābta","majes","pocket","wallet"
"maksimums","minimums","minijiem","maksišauj","minimum","maximum"
"mākslīgs","dabisks","dabergs","mākmaigs","natural","artificial"
"maltīte","ēdiens","ēdieti","šķīstīte","food","meal"
"mamma","tētis","tējām","nelma","daddy","mum"
"manipulēt","kontrole","konskārle","manipumains","control","manipulate"
"mantot","mantojums","mantoriem","skatot","heritage","inherit"
"mārketings","reklāma","šķirlāma","mārkeliets","advertising","marketing"
"masāža","joga","dinga","mabrieža","yoga","massage"
"mašīna","robots","roaugs","mašīnabadzîgiem","robot","machine"
"matemātika","fizika","fizikaļaspūlkve","matemātikaļaspūlkve","physics","mathematics"
"mazgāt","tīrs","tīmu","mazjaa","clean","wash"
"mazs","mazliet","sieliet","ilzs","little","small"
"medaļa","trofeja","smirfeja","metietļa","trophy","medal"
"medaljons","artefakts","artedievs","medalsedz","artifact","medallion"
"mēģinājums","mēģināt","mēģijums","mēģinākošne","try","attempt"
"mehānisks","tehnisks","pubnisks","mehāteikt","technical","mechanical"
"meitenes","zēni","klīni","drautenes","boys","girls"
"melis","gulēt","gudai","meran","lie","liar"
"melns","balts","babys","meras","white","black"
"mērce","krējums","dzījums","roice","cream","sauce"
"mērs","šerifs","šekačs","mēna","sheriff","mayor"
"metāls","dzelzs","adelzs","mevīgs","iron","metal"
"metrs","kilometrs","kilonings","mežss","kilometer","meter"
"mežs","džungļi","džērgļi","meor","jungle","forest"
"mierīgs","kluss","kląts","šaurīgs","quiet","calm"
"migla","mākonis","mākolēģī","zvēla","cloud","fog"
"mikrofons","kamerā","kameļaus","mikroleum","camera","microphone"
"mikroskops","teleskops","telestumj","mikrosdegt","telescope","microscope"
"mīļākais","saimniece","saimniecepeškrāsns","mīļājiet","mistress","lover"
"mīlestība","ienīst","ierīds","mīlestībaterfīldas","hate","love"
"militārs","civils","ciliem","milidzet","civil","military"
"miljards","miljons","milvīgs","milžains","million","billion"
"milti","grauds","grautu","krēti","grain","flour"
"milzīgs","liels","liuts","milmets","big","huge"
"ministrija","vēstniecība","dziesniecība","minisdīdžeja","embassy","ministry"
"mīnuss","plus","caus","mīšers","plus","minus"
"minūte","otrkārt","dulkārt","minūteņutyrrell","second","minute"
"miris","dzīvs","dzols","minuu","alive","dead"
"mirt","ciest","cibat","miķi","suffer","die"
"misija","uzdevums","uzdesist","klausija","task","mission"
"mitrs","sauss","sarūž","mijas","dry","wet"
"morfīns","aspirīns","aspidiit","morvics","aspirin","morphine"
"motelis","viesnīca","brīvnīca","moteređu","hotel","motel"
"muca","ass","ids","mulis","ass","butt"
"muskuļi","nervs","neias","džeikuļi","nerve","muscle"
"mutācija","attīstība","attīstībaterfīldas","piedäväjumutācija","evolution","mutation"
"muzejs","bibliotēka","bibliotēkaļaspūlkve","muloms","library","museum"
"mūzika","džezs","tāezs","mūzikaļaspūlkve","jazz","music"
"mūziķis","dziedātājs","dziedāsiet","mūzinaam","singer","musician"
"nācija","valsts","valsen","pontčartreinācija","country","nation"
"narkotika","alkohols","alkošķeļ","narkotikaļaspūlkve","alcohol","drug"
"nauda","nauda","leoda","lemda","cash","money"
"nazis","zobens","zokoks","nanoa","sword","knife"
"nedēļa","mēnesis","mēnetrau","nemirkļa","month","week"
"negaidīti","pēkšņi","pēknar","nesprukdīti","suddenly","unexpectedly"
"negatīvs","pozitīvs","poziņoùu","negaleet","positive","negative"
"neglīts","grēkozi","meiskozi","nekrits","digusting","ugly"
"negodīgs","netaisnība","nespruknība","negošiem","injustice","unfair"
"nelaime","neveiksmīgs","neveikstumt","negresme","unfortunate","misfortune"
"nelaimes gadījums","incidents","incifisks","nelaimes gadrindžer","incident","accident"
"nepatiess","viltus","vilkto","nepastēts","fake","FALSE"
"nepatīkams","neērts","nekreņ","nepatīslēdz","uncomfortable","unpleasant"
"nepieciešams","nepieciešams","nepiecieslēpj","nepiecieslēpj","necessary","need"
"nervozs","noraizējies","noraizēbrauc","nerlord","worried","nervous"
"nesen","tikko","kļūko","nemak","just","recently"
"nespējīgs","nespēja","nepiesja","nespēsist","inability","unable"
"netīrs","šķebinošs","šķebiziet","neteic","nasty","filthy"
"neveiksme","panākumi","panākumilitârais","neskarsme","success","failure"
"nevērtīgs","bezjēdzīgs","bezjēsties","nevērdiem","useless","worthless"
"nežēlība","ļaunums","ļauvējs","nežēlībaterfīldas","evil","cruelty"
"nežēlīgs","brutāls","brudzīs","nežēdzam","brutal","cruel"
"nezināms","anonīms","anobins","nezidzat","anonymous","unknown"
"no rīta","rīt","fat","no rpont","tomorrow","morning"
"nodaļa","vienība","drauība","nodaties","unit","division"
"nodevējs","spiegs","spienâ","nodedzām","spy","traitor"
"nodoklis","atbildība","atbildībaterfīldas","nogremlis","responsibility","duty"
"nodoms","mērķis","mērdzi","noless","purpose","intention"
"nogalināt","inde","parde","nogaliverpū","poison","kill"
"nolaupīt","nolaupīšana","nolaupīšanabadzîgiem","nolauvelk","kidnap","abduct"
"nolīgums","līgums","līdējs","nolīdzat","contract","agreement"
"noma","noma","noblo","noblo","hire","rent"
"noņemt","izskaust","izšņaukt","nomums","eliminate","remove"
"norādīt","punkts","punkam","norāgiem","point","indicate"
"normāls","veselīgs","veseļiem","norķots","healthy","normal"
"noslēpums","noslēpums","noslēmest","noslēlaid","secret","mystery"
"nospiest","poga","popār","noskrien","button","press"
"nosūtīt","atnest","atsēts","nosūdies","bring","send"
"notikt","rasties","kemties","notaur","occur","happen"
"notikums","parādība","parādībaterfīldas","notiķiem","phenomenon","event"
"novērtēšana","novērošana","novērošanabadzîgiem","novērtēšanabadzîgiem","observation","evaluation"
"novērtēt","apbrīnot","apîstenot","noarestēt","admire","appreciate"
"nožēlojams","nelaimīgs","nelailiek","nožēlorenco","miserable","pathetic"
"noziedznieks","zaglis","leilis","nostrādnieks","thief","criminal"
"noziegums","grēks","grtļs","nozieniet","sin","crime"
"nozīme","nozīme","nozīmerikânismâ","nozīmerikânismâ","meaning","importance"
"nozveja","grābiens","grāviārs","nomirsja","grab","catch"
"okeāns","jūra","piira","oksins","sea","ocean"
"oktobris","septembris","septemzodz","okelekris","september","october"
"ola","ligzda","ligtīv","ppa","nest","egg"
"omārs","tunzivis","tukenvis","omsys","tuna","lobster"
"orbītā","planēta","kcionēta","orsaistā","planet","orbit"
"organizēt","sakārtot","satrautot","organikolso","arrange","organize"
"osta","līcis","līšeb","dukta","bay","harbor"
"otrdiena","pirmdiena","pirnoùana","otkuanna","monday","tuesday"
"pa kreisi","taisnība","strānība","pafočēisi","right","left"
"pabeigt","kopā","konīt","pašķirt","total","complete"
"pabeigt","beigt","benot","pašķirt","end","finish"
"pagātnē","nākotne","pontčartreinākotne","pazīgenē","future","past"
"pagriezt pagriezt","pārvērsties","pārvērments","pagriezt pabrauks","turn","rotate"
"paklājs","grīda","evada","patrijs","floor","carpet"
"paldies","pateicīgs","pateireiz","trīdies","grateful","thank"
"palīdzēt","palīdzēt","palīvies","palīvies","help","assist"
"palīdzība","atbalsts","atprasts","palīdzībaterfīldas","support","assistance"
"palīgs","sekretārs","sekredžij","paraus","secretary","assistant"
"palikt","palikšana","palikšanabadzîgiem","pabiem","stay","remain"
"panest","iekārta","iedageta","pamāts","equipment","equip"
"papildu","papildus","pastāsdus","pastāsdu","extra","additional"
"par to","ārā","ržā","parlex","out","about"
"paragrāfs","sadaļa","sadariet","paragpauž","section","paragraph"
"paraksts","zīmogs","zījues","pamanļts","stamp","signature"
"paranormāls","pārdabisks","pārdadains","paranorpashi","supernatural","paranormal"
"parasti","normāli","lielmāli","pateikti","normally","usually"
"parasti","protams","prostās","pateikti","naturally","generally"
"pārbaude","eksāmens","eksejams","pārarcade","examination","inspection"
"pārbaude","eksperimentēt","ekvidflorimentēt","pārarcade","experiment","test"
"pārbaudīt","pārbaude","pārstende","pārbaugiem","check","verify"
"pārdošana","izsole","izkaisle","pārdošanabadzîgiem","auction","sale"
"pārdot","pirkt","pitot","pārplu","buy","sell"
"pareizs","nepareizi","nepaķiņķēzi","paejies","wrong","correct"
"parole","kodekss","kodants","pasniele","code","password"
"pārskaitījums","kustēties","kustēstam","pārgrieztījums","move","transfer"
"pārspīlēt","novērtēt par zemu","novērtēt par cials","pārspīsons","underestimate","exaggerate"
"pārsteidzošs","iespaidīgs","iespaiņiem","pārsteipeits","impressive","amazing"
"pārtraukt","novērst","notaurs","pārtrieks","prevent","stop"
"pārtraukums","sagraut","sateaus","pārtrauceet","smash","break"
"pasaule","starptautisks","starskeptisks","padvēsle","international","world"
"pase","biļete","tnerspachubiļete","pašno","ticket","passport"
"pastaiga","napa","napastâvođajâm","papiecga","nap","stroll"
"pastāstīt","teiksim","cietsim","pateiktīt","say","tell"
"pastāvīgi","vienmēr","vienlem","paarlievīgi","always","constantly"
"pateicība","viesmīlība","skaidmīlība","pateicībaterfīldas","hospitality","gratitude"
"patīkams","ērts","nąts","patīlikt","comfortable","pleasant"
"patrula","sargs","satos","paksvila","guard","patrol"
"patversme","patvērums","patvēdzat","palikssme","refuge","shelter"
"pavadīt","pavadīt","pavagiem","pavagiem","escort","accompany"
"paziņojums, apgalvojums","komentēt","koadoptēt","paziņojums, apgalstinktiem","comment","statement"
"pēdējais","pirmais","stamais","pēdēliem","first","last"
"peldēt","noslīcināt","noziedzcināt","simdēt","drown","swim"
"perfekts","ideāls","čāeāls","percists","ideal","perfect"
"perimetrs","rādiuss","rāsauls","perinings","radius","perimeter"
"periods","fāze","aisze","peziōas","phase","period"
"pērkons","zibens","zikurs","pērdass","lightning","thunder"
"personība","raksturs","rakstâti","personībaterfīldas","character","personality"
"perspektīva","skats","skrls","perkaļsūtīva","view","perspective"
"pētījums","pētniecība","pētniecībaterfīldas","pētīviem","research","study"
"piedzēries","prātīgs","zvatīgs","piedzēstam","sober","drunk"
"piekraste","pludmale","ozolmale","pieniente","beach","coast"
"pieņemt","atteikties","atslēpties","pievums","refuse","accept"
"pieņēmums","secinājums","secinākošne","pieņētikt","conclusion","assumption"
"pieprasījums","pieprasījums","pieprasīgascī","pieprasīgascī","demand","request"
"pierādījums","pierādījumi","pierādījumilitârais","pierādīzeļze","evidence","proof"
"piesaistīt","uzmanība","uzmanībaterfīldas","piebiedtīt","attention","attract"
"pieticīgs","pazemīgs","pazenith","pietiniet","humble","modest"
"pietiekams","pietiekami","pieforšākami","pietiebiem","enough","sufficient"
"pildspalva","papīrs","paraus","gvarspalva","paper","pen"
"pīle","zoss","zorg","tizle","goose","duck"
"pilnīgi","pilnīgi","svētnīgi","svētnīgi","absolutely","completely"
"pilns","tukšs","tuđas","piurs","empty","full"
"pilnvaras","jurisdikcija","piesârōojurisdikcija","pilskudras","jurisdiction","authority"
"pilots","kosmonauts","kosmodzins","pilūdz","astronaut","pilot"
"pils","pils","pitā","pitā","palace","castle"
"pilsēta","kapitāls","kapistēt","trumsēta","capital","city"
"pircējs","pārdevējs","pārdekāpj","pirstas","seller","buyer"
"pirkstu nospiedums","dna","äda","pirkstu nospirunąju","dna","fingerprint"
"pistole","šautene","šautenedraudzŗjas","skritole","rifle","gun"
"plāksne","bļoda","fesda","plākbāz","bowl","plate"
"plānošana","sagatavošana","sagatavošanabadzîgiem","plānošanabadzîgiem","preparation","planning"
"plašs","šaurs","cburs","plīss","narrow","wide"
"plastmasa","cements","cerēùos","vjettmasa","cement","plastic"
"plīts","cepeškrāsns","cetiņkrēsls","plēšs","oven","stove"
"pokers","azartspēles","transforles","pozīts","gambling","poker"
"politika","žurnālistika","žurnālistikaļaspūlkve","politikaļaspūlkve","journalism","politics"
"politiķis","politika","politikaļaspūlkve","politicētka","policy","politician"
"politisks","kritisks","mantisks","poligarhs","critical","political"
"praktiski","burtiski","teistiski","džentiski","literally","practically"
"precējies","viens","vilēs","precēstam","single","married"
"pretēji","pretējs","presīgs","adoptēji","opposite","contrary"
"pretīgs","netīrs","netram","kustīgs","dirty","disgusting"
"pretinieks","ienaidnieks","iekļaunieks","pretimonss","enemy","opponent"
"pretoties","pretestība","pretestībaterfīldas","pretolaik","resistance","resist"
"prezidents","kanclers","kangress","prezibilst","chancellor","president"
"prieks","prieks","priežē","prielē","pleasure","joy"
"priekšmets","objekts","obmetrs","priekštiis","object","subject"
"priesteris","mūks","tûks","steigteris","monk","priest"
"primārs","sekundārs","sekuntumj","prilīds","secondary","primary"
"princis","princese","līdzcese","sprucis","princess","prince"
"privātums","privāts","privald","privāciņš","private","privacy"
"problēma","nepatikšanas","nepakaļdzīšanas","glielēma","trouble","problem"
"procedūra","pārstrādāt","pārgriedāt","procedūratiņkrēsls","process","procedure"
"produkts","zīmols","zīlebs","proforts","brand","product"
"profesionāls","amatieris","snietieris","profesiostiet","amateur","professional"
"profesors","dekāns","depīts","profeciem","dean","professor"
"programma","projekts","proveikt","slikramma","project","program"
"prokurors","advokāts","advopērk","prokudrāž","lawyer","prosecutor"
"protokols","valdīt","valsam","protoduùi","rule","protocol"
"prototips","modelis","modesant","protocaam","model","prototype"
"psiholoģija","anatomija","sprostomija","līdzdaholoģija","anatomy","psychology"
"psiholoģisks","medicīnisks","medicīplūst","psiholospied","medical","psychological"
"pudele","stikls","stikga","pudevējs","glass","bottle"
"pulkvedis","vispārējs","vispājiet","pulnbārdis","general","colonel"
"pusaudzis","pusaudža","pusaumēts","pusauliem","teenage","teenager"
"pusdienas","pusnakts","pussiets","draudienas","midnight","noon"
"pusdienas","uzkodas","uzkolēģu","draudienas","snack","lunch"
"putekļains","sarūsējis","sarūsēbrauc","putekdzums","rusty","dusty"
"putekļi","pelni","vaini","pudvieļi","ash","dust"
"putns","tauriņš","tautiks","puēks","butterfly","bird"
"radījums","briesmonis","tanhamonis","radīgiem","monster","creature"
"radošums","iztēle","izidille","radosmei","imagination","creativity"
"raganties","nolādēt","nolāmies","ragandalf","curse","witch"
"raidītājs","sensors","sentins","raidīgiem","sensor","transmitter"
"raķete","raķete","raķeteņutyrrell","raķeteņutyrrell","rocket","missile"
"rakstīšana","lasīšana","lasīšanabadzîgiem","rakstīšanabadzîgiem","reading","writing"
"rakstīt","izlasīt","izladzes","raksiem","read","write"
"rakstnieks","dzejnieks","trennieks","makminieks","poet","writer"
"rāpojošs","biedējoši","transdējoši","rāpoliem","scary","creepy"
"rase","maratons","maradist","pārse","marathon","race"
"ražošana","rūpnīca","smilnīca","ražošanabadzîgiem","factory","production"
"ražot","radīt","raroi","razis","create","produce"
"reaktors","ģenerators","ģeneradžiem","spaitors","generator","reactor"
"reālistisks","optimistisks","optimisdziet","reālisdzies","optimistic","realistic"
"reāls","taisnība","strānība","rercs","TRUE","real"
"reliģija","filozofija","filosandžefija","reliverpūja","philosophy","religion"
"remonts","noteikt","notiens","regarts","fix","repair"
"reputācija","karjera","džuljera","priekšpareputācija","career","reputation"
"restorāns","krogs","krīns","restovill","pub","restaurant"
"rēta","tetovējums","striptīzmeitetovējums","sleta","tattoo","scar"
"reti","reizēm","reiste","kauti","occasionally","rarely"
"rietumu","dienvidu","starvidu","slēptumu","southern","western"
"rīkojums","komandēt","kodziedēt","rīkodiet","command","order"
"rokas","roka","mērka","rojot","hand","arm"
"romantisks","dramatisks","dramanaams","romandzies","dramatic","romantic"
"roms","ķezara","ķezaratiņkrēsls","rodg","caesar","rome"
"rotaļlieta","lelle","trāle","robinsolieta","doll","toy"
"rudens","pavasarī","pavasatisks","rustās","spring","autumn"
"runāt","runāt","rutes","rutes","talk","speak"
"sabotāža","spiegošana","conmigošana","sabotāžakamlaffi","espionage","sabotage"
"sabrukums","kritums","krimēts","sabruciet","fall","collapse"
"sagaidīt","nogaidīt","nojiesdīt","sagaigiem","wait","expect"
"sagatavoties","gatavs","gagārs","sagatavobraukt","ready","prepare"
"saimnieks","īrnieks","īrdziet","saimports","tenant","landlord"
"sajūta","iespaids","ieskatąs","sateikta","impression","feeling"
"sakāve","uzvara","uzvaratiņkrēsls","sakāvevelsburgā","victory","defeat"
"salāti","zupa","zupastâvođajâm","sadrauti","soup","salad"
"samazināt","palielināt","palieliverpū","samazilająs","increase","reduce"
"šampanietis","vīns","vīti","pārkepanietis","wine","champagne"
"samurajs","ninja","niņoa","samuesot","ninja","samurai"
"sanāksme","konference","konferencepeškrāsns","sanākriņš","conference","meeting"
"šantāža","kukulis","kukudzel","idiotāža","bribe","blackmail"
"sāpes","ciešanas","brukšanas","sācēt","suffering","pain"
"sapnis","murgs","horgs","saceit","nightmare","dream"
"saprast","saprast","sasprau","sapēsts","realize","understand"
"saprātīgs","godīgs","gosies","saprādiem","fair","reasonable"
"satelīts","radars","raceps","sateraak","radar","satellite"
"satikt","redzēt","restot","sators","see","meet"
"satraukts","lepns","käpns","saspraust","proud","excited"
"saturs","saturēt","satuliem","sastis","contain","content"
"saule","mēness","mēnāùu","sabio","moon","sun"
"saules","lunar","ludii","sazārs","lunar","solar"
"šaut","šāviens","šālikts","šala","shot","shoot"
"savādāk","līdzīgs","līdziet","savārald","similar","different"
"savāds","neparasts","nepatiens","saguos","unusual","strange"
"savākt","savākt","saļaut","salūst","collect","gather"
"savienojums","sazināties","sazinākošmē","savienoziedz","contact","connection"
"savtīgs","spītīgs","kustīgs","bestīgs","stubborn","selfish"
"sēdēt","stāvēt","cenvēt","sējie","stand","sit"
"šefpavārs","pavārs","pašķus","šefpasper","cook","chef"
"senators","gubernators","gubernadziet","senaliem","governor","senator"
"senāts","parlaments","parlajevnu","sedzāt","parliament","senate"
"siers","maize","denze","gners","bread","cheese"
"sieva","vīrs","vītē","mazva","husband","wife"
"sieviete","vīrietis","vīsportis","siejaukte","male","female"
"sieviete","atraitne","atklāsne","siejaukte","widow","woman"
"signāls","biežums","bieķots","sigdots","frequency","signal"
"sikspārņacilvēks","supermens","superstul","sikjamsviņacilvēks","superman","batman"
"simbols","karogs","kavārs","simšķus","flag","symbol"
"simts","tūkstotis","kliestotis","siugs","thousand","hundred"
"sindroms","simptoms","simakums","siporoms","symptom","syndrome"
"sip","nomest","nosiet","oop","drop","sip"
"sīpols","ķiploki","leanloki","sīrees","garlic","onion"
"sistēma","tīkls","tīnos","glābtēma","network","system"
"skābeklis","gaiss","rkiss","brenbeklis","air","oxygen"
"skaists","diezgan","pletgan","zvaists","pretty","beautiful"
"skaistums","šarms","šaibs","skaisnaas","charm","beauty"
"skaņa","troksnis","trokguns","bezņa","noise","sound"
"skandāls","tenkas","sonkas","skannors","gossip","scandal"
"skapis","kabinets","kabiraut","skaņot","cabinet","closet"
"skatīties","skaties","bezties","skatīrīùa","look","watch"
"šķidrums","šķidrums","flirrums","šķidnīts","liquid","fluid"
"skola","klase","pikse","vinla","class","school"
"skolotājs","students","kledents","skoloniem","student","teacher"
"skudra","bite","ùaute","arodra","bee","ant"
"slāpes","bads","bask","tempes","hunger","thirst"
"slava","krāšņs","krāštr","nerva","glorious","glory"
"slavens","populārs","popustie","muļvens","popular","famous"
"slēgšana","atklāšana","atklāšanabadzîgiem","efekšana","opening","closure"
"slēgts","bloķēts","blodars","eiēgts","locked","closed"
"slepkava","algotnis","alspārnis","progkava","mercenary","assassin"
"slepkava","slepkava","progkava","progkava","killer","murderer"
"slepkavība","pašnāvība","pašnāvībaterfīldas","transkavība","suicide","murder"
"slēpt","piesegt","pieļīgs","slukt","cover","hide"
"slikta dūša","caureja","slepreja","tamfeta dūša","diarrhea","nausea"
"slikti","labs","laej","progti","good","bad"
"slimība","gripa","renpa","līdzmība","flu","disease"
"slims","slims","sllas","sljus","ill","sick"
"šļirce","adata","derta","šķaice","needle","syringe"
"šļūtene","sūknis","zainis","šļūtenedraudzŗjas","pump","hose"
"smadzeņu","smadzenes","dziedzenes","diendzeņu","brain","cerebral"
"smagā mašīna","džips","džcas","smagā mašmēkļos","jeep","truck"
"smags","grūts","grjąs","smoes","tough","hard"
"smarža","garša","pusša","stikža","taste","smell"
"smaržas","lūpu krāsa","lūdziesāsa","graužas","lipstick","perfume"
"smieklīgi","asprātīgs","asprādiem","straulīgi","witty","funny"
"smieties","smaids","praids","skrities","smile","laugh"
"smiltis","dubļi","vamļi","triotis","mud","sand"
"sniega","lietus gāze","lieliussāze","krūšga","rain","snow"
"sniegt","ļaut","hāut","snieil","enable","provide"
"sniperis","šāvējs","šātars","lžkoperis","shooter","sniper"
"soda","limonāde","limonādemokrätiskäs","labda","lemonade","soda"
"šokolāde","cukurs","cutins","šokolādemokrätiskäs","sugar","chocolate"
"solīt","garantēt","gaflirtēt","sozās","guarantee","promise"
"soma","lodziņš","loejiet","herma","box","bag"
"šoseja","ceļš","ceiv","šokrāpja","road","highway"
"spageti","lasagna","lasaulį","temgeti","lasagna","spaghetti"
"speciālists","eksperts","ekšķelts","speciābeidz","expert","specialist"
"spēja","ietilpība","ietilpībaterfīldas","lauja","capacity","ability"
"spēks","spēks","sppts","spđos","strength","force"
"spēle","spēlēt","spērai","tuale","play","game"
"spēlētājs","treneris","treneskai","spēlēniem","coach","player"
"spīdzināšana","mocīt","mosam","spīdzināšanabadzîgiem","torment","torture"
"spiediens","pulss","punds","slepdiens","pulse","pressure"
"spilgts","spīdēt","beidēt","sviedts","shine","bright"
"spogulis","pārdomas","pārdojiet","dziegulis","reflection","mirror"
"sports","hobijs","hologs","sporģi","hobby","sport"
"sprādziens","zemestrīce","zemestrīcepeškrāsns","sprāsniegs","earthquake","explosion"
"sprāgstošs","bumba","plēba","splaustošs","bomb","explosive"
"sprediķis","runa","terna","mouzdiķis","speech","sermon"
"stacija","platforma","spekforma","princija","platform","station"
"staigāt","palaist","palankī","stainēs","run","walk"
"starojums","piesārņojums","piesārņodziet","starosiet","contamination","radiation"
"statuja","piemineklis","piemiskaitlis","teiktuja","monument","statue"
"stieple","kabelis","kabestam","griesle","cable","wire"
"stils","ritms","riūls","stąss","rhythm","style"
"stingri","stingri","stindej","stinroa","firmly","strongly"
"stipri","smags","opags","lielri","heavy","heavily"
"strādnieks","lauksaimnieks","akorsaimnieks","spraunieks","farmer","worker"
"stratēģija","plāns","caāns","kriettēģija","plan","strategy"
"streiks","sist","tîst","strejss","hit","strike"
"strīds","konflikts","konraukts","staļds","conflict","dispute"
"struktūra","piramīda","piramīdamerdžans","mērfitūra","pyramid","structure"
"stulbs","naivi","krāvi","stulll","naïve","stupid"
"stulbums","trakums","šlikums","stullēns","madness","stupidity"
"sudrabs","zelts","nglts","sudfels","golden","silver"
"sula","piens","pitus","jasla","milk","juice"
"summa","summa","šefma","zinma","sum","amount"
"svarīgs","vērtīgs","cietīgs","kļūrīgs","valuable","important"
"svece","lampa","nerpa","labce","lamp","candle"
"sveikt","apsveikt","appieiet","sveiļo","congratulate","greet"
"svētdiena","sestdiena","sesklauna","caurdiena","Saturday","Sunday"
"sviests","medus","menam","kriests","honey","butter"
"svilpe","rags","rari","kniepe","horn","whistle"
"tablete","tablete","grezlete","grūtlete","tablet","pill"
"taimeris","detonators","kortfīldgārdetonators","taimežacū","detonator","timer"
"taisnīgums","atriebība","atriebībaterfīldas","strānīgums","revenge","justice"
"talants","potenciāls","potengtons","taleins","potential","talent"
"tālu","tuvu","tulei","gallu","near","far"
"tas","kas","drs","uds","what","that"
"teātris","kinoteātris","kinoloėisris","tiekris","cinema","theater"
"tehnika","metode","metodemokrätiskäs","jaunnika","method","technique"
"teikums","vārds","mirds","plākums","word","sentence"
"telefons","zvanīt","bienīt","telelauž","call","telephone"
"televīzija","radio","ravēk","striptīzmeitelevīzija","radio","television"
"tēlot","žests","žejss","tēkas","gesture","act"
"temperatūra","sildīt","guidīt","temperatūratiņkrēslā","heat","temperature"
"teniss","golfs","goāks","teauts","golf","tennis"
"teorija","ideja","ķenja","šķirrija","idea","theory"
"tērauds","betons","bedzis","tēframs","concrete","steel"
"tētis","tēvocis","tēvojaat","tējot","uncle","dad"
"tēvs","māte","glīte","tēle","mother","father"
"ticams","paskaidrojums","paaugstrojums","tikins","explanation","plausible"
"ticība","cerība","grauzdsiercerība","nepârtraukticība","hope","faith"
"tiešām","faktiski","turptiski","tienie","actually","really"
"tieši","tiešs","poešs","dārši","direct","directly"
"tiesnesis","tiesa","dārsa","skarnesis","court","judge"
"tīmeklis","internets","intermiņš","tīkauslis","internet","web"
"tirgotājs","komerciāls","komerstošs","tirgojiet","commercial","merchant"
"tīši","nejauši","nedoieši","tīmek","accidentally","intentionally"
"tituls","vārds","mirds","tikejs","name","title"
"tomāts","kartupeļi","grieztupeļi","topies","potato","tomato"
"tornado","viesuļvētra","viesuļvētratiņkrēsls","tornadotiespūlkve","hurricane","tornado"
"tradicionāls","moderns","moforts","tradiciostiet","modern","traditional"
"traģisks","skumjš","skumea","trajiens","sad","tragic"
"tramdīt","sekot","seriā","tiekdīt","follow","chase"
"traucēt","pārtraukt","pārtrieks","traupes","interrupt","disturb"
"trauksme","brīdinājums","brīdinākošne","traukzēs","alert","alarm"
"trijstūris","aplis","apele","lauzstūris","circle","triangle"
"trīs","viens","vilēs","träp","one","three"
"trīskārši","divkāršoties","divkāršobrauc","līdzkārši","double","triple"
"tronis","vainags","vaivids","mennis","crown","throne"
"trūkums","klātbūtne","giezbūtne","upukums","presence","absence"
"trusis","lapsa","geisa","trutei","fox","rabbit"
"tūlīt","jau","ŗtu","tūdas","already","still"
"tumšs","ēna","ģēa","tudos","shadow","dark"
