"lv_cue","lv_target","type","cue_type","target_type","lv_cosine"
"trakums","stulbums","related","word","word",0.606669461446851
"zelts","sudrabs","related","word","word",0.486962954343113
"piens","sula","related","word","word",0.208486159357488
"summa","summa","related","word","word",1
"vērtīgs","svarīgs","related","word","word",0.591084795895229
"lampa","svece","related","word","word",0.439922753663731
"apsveikt","sveikt","related","word","word",0.857296953542719
"sestdiena","svētdiena","related","word","word",0.900928044164573
"medus","sviests","related","word","word",0.297605357875313
"rags","svilpe","related","word","word",NA
"tablete","tablete","related","word","word",1
"detonators","taimeris","related","word","word",NA
"atriebība","taisnīgums","related","word","word",NA
"potenciāls","talants","related","word","word",0.557751617943902
"tuvu","tālu","related","word","word",0.350994146646274
"kas","tas","related","word","word",0.331340135444883
"kinoteātris","teātris","related","word","word",NA
"metode","tehnika","related","word","word",0.511969506944844
"vārds","teikums","related","word","word",0.37239398819601
"zvanīt","telefons","related","word","word",0.466064508948802
"radio","televīzija","related","word","word",0.34195035225136
"žests","tēlot","related","word","word",0.113441456953267
"sildīt","temperatūra","related","word","word",NA
"golfs","teniss","related","word","word",NA
"ideja","teorija","related","word","word",0.498429483844124
"betons","tērauds","related","word","word",NA
"tēvocis","tētis","related","word","word",0.593608091708068
"māte","tēvs","related","word","word",0.43663445653909
"paskaidrojums","ticams","related","word","word",NA
"cerība","ticība","related","word","word",0.6927055019725
"faktiski","tiešām","related","word","word",0.155136385980953
"tiešs","tieši","related","word","word",0.647507148354985
"tiesa","tiesnesis","related","word","word",0.648810620501763
"internets","tīmeklis","related","word","word",NA
"komerciāls","tirgotājs","related","word","word",NA
"nejauši","tīši","related","word","word",0.459810370817393
"vārds","tituls","related","word","word",0.343439508589014
"kartupeļi","tomāts","related","word","word",NA
"viesuļvētra","tornado","related","word","word",0.455756567619229
"moderns","tradicionāls","related","word","word",NA
"skumjš","traģisks","related","word","word",0.546385282305162
"sekot","tramdīt","related","word","word",NA
"pārtraukt","traucēt","related","word","word",0.614536631076073
"brīdinājums","trauksme","related","word","word",0.221609836434201
"aplis","trijstūris","related","word","word",NA
"viens","trīs","related","word","word",0.176734613664149
"divkāršoties","trīskārši","related","word","word",NA
"vainags","tronis","related","word","word",NA
"klātbūtne","trūkums","related","word","word",0.347515945659696
"lapsa","trusis","related","word","word",0.216051461968018
"jau","tūlīt","related","word","word",0.0657176183813284
"ēna","tumšs","related","word","word",0.315506159109536
"tilts","tunelis","related","word","word",0.446317189409496
"šeit","tur","related","word","word",0.361441651754774
"cālis","turcija","related","word","word",NA
"aizturēt","turēt","related","word","word",0.772600911091413
"rīkoties","turpināt","related","word","word",0.293017642393428
"ogleklis","ūdeņradis","related","word","word",NA
"īpašs","unikāls","related","word","word",NA
"koledža","universitāte","related","word","word",0.465030734211666
"asinis","urīns","related","word","word",NA
"uz leju","uz augšu","related","word","word",NA
"mūžīgs","uz visiem laikiem","related","word","word",NA
"dienvidos","uz ziemeļiem","related","word","word",NA
"cietušais","uzbrucējs","related","word","word",NA
"iebrukums","uzbrukums","related","word","word",0.848398046508186
"veikals","uzglabāt","related","word","word",NA
"klausīties","uzklausīt","related","word","word",0.72646278427167
"mainīt","uzlabošana","related","word","word",NA
"miljonārs","uzņēmējs","related","word","word",0.441690730105073
"siets","uzraudzīt","related","word","word",NA
"uzticība","uzskatīt","related","word","word",0.191609202883538
"cieņa","uzticība","related","word","word",0.452090166359793
"lojāls","uzticīgs","related","word","word",NA
"bažas","uztraukums","related","word","word",NA
"apkalpošana","uzturēšana","related","word","word",0.717936255527369
"uzglabāt","uzturēt","related","word","word",NA
"segvārds","uzvārds","related","word","word",0.776367478397637
"iegūt","uzvarēt","related","word","word",0.225542372300818
"zaudētājs","uzvarētājs","related","word","word",0.627342215766578
"brilles","vāciņš","related","word","word",NA
"pasažieris","vadītājs","related","word","word",0.386354374420609
"lūpa","vaigs","related","word","word",0.260023626553357
"nevainīgs","vainīgs","related","word","word",0.855500865387182
"spēcīgs","vājš","related","word","word",0.520407058573215
"šodienas","vakar","related","word","word",0.189586808258677
"naktis","vakars","related","word","word",0.254797362033437
"antidots","vakcīna","related","word","word",NA
"administrācija","valdība","related","word","word",0.47716033767065
"federāls","valsts","related","word","word",NA
"zombija","vampīrs","related","word","word",NA
"kanēlis","vaniļa","related","word","word",NA
"duša","vannas istaba","related","word","word",NA
"portāls","vārti","related","word","word",0.364887574723561
"pieaugušais","vecāks","related","word","word",0.266608518636406
"vectēvs","vecmāmiņa","related","word","word",0.545225026420908
"muguras","vēdera","related","word","word",0.29419949052161
"maģija","vednis","related","word","word",NA
"parādīt","veiktspēja","related","word","word",NA
"kampaņa","vēlēšanas","related","word","word",0.343926639944272
"vēlēties","vēlēšanās","related","word","word",0.329027960799292
"kandidāts","vēlētājs","related","word","word",NA
"eņģelis","velns","related","word","word",0.247253911171354
"precizitāte","veltīšana","related","word","word",NA
"marss","venera","related","word","word",NA
"vārsts","ventilācija","related","word","word",NA
"telegramma","vēstule","related","word","word",0.43414278553377
"vējš","vētra","related","word","word",0.489781921854735
"audzējs","vēzis","related","word","word",NA
"dvd","video","related","word","word",0.399383477874704
"neiespējams","viegli","related","word","word",0.282497485463916
"žetons","vienāds","related","word","word",0.18686188516143
"vienkārši","vienkāršs","related","word","word",0.860822822902876
"vienīgais","vientuļš","related","word","word",0.437451069046019
"viesmīlis","viesmīle","related","word","word",0.831614467901558
"reģionālais","vietējais","related","word","word",NA
"lācis","vilks","related","word","word",0.422343770437031
"virzīt","vilkt","related","word","word",0.500771262327564
"pārsteigums","vilšanās","related","word","word",0.330804083824579
"prakse","vingrinājums","related","word","word",NA
"slānis","virsotne","related","word","word",NA
"ķēde","virve","related","word","word",NA
"proteīns","vitamīns","related","word","word",NA
"atklāšana","vīzija","related","word","word",0.394395376612202
"šerloks","watson","related","word","word",NA
"piedošana","žēlastība","related","word","word",0.45180191591006
"banāns","zemeņu","related","word","word",NA
"meitene","zēns","related","word","word",0.343703473525693
"labdarība","ziedojums","related","word","word",0.312939339999559
"augs","zieds","related","word","word",0.313573385180343
"vasara","ziema","related","word","word",0.451784297404488
"brūns","zils","related","word","word",0.697615494256865
"forma","zīme","related","word","word",0.472054893324992
"atpazīt","zināja","related","word","word",0.124685904656318
"pieredze","zināšanas","related","word","word",0.238904075147181
"tagad","zināt","related","word","word",0.135028463215426
"tehnoloģija","zinātne","related","word","word",0.410443884513484
"ģēnijs","zinātnieks","related","word","word",0.456111911255614
"brīdinājums","ziņojums","related","word","word",0.50476599230835
"ēzelis","zirgs","related","word","word",0.537199124390819
"haizivs","zivis","related","word","word",0.269449754390084
"nagla","zobs","related","word","word",0.537536660020745
"siena","žogs","related","word","word",NA
"platība","zona","related","word","word",NA
"kapsula","zonde","related","word","word",NA
"pele","žurka","related","word","word",0.459261011210466
"reportieris","žurnālists","related","word","word",0.555364114522969
"playboy","žurnāls","related","word","word",NA
"slavenība","zvaigzne","related","word","word",0.343934744836786
"medības","zveja","related","word","word",0.265592713453161
"zvērināt","zvērests","related","word","word",NA
"diploms","smags","unrelated","word","word",NA
"smieklīgs","komunikācija","unrelated","word","word",NA
"skaidri","muzejs","unrelated","word","word",0.190424852676936
"vadība","prokurors","unrelated","word","word",0.309681914007811
"hormons","kapela","unrelated","word","word",NA
"numurs","zvaigzne","unrelated","word","word",0.300131310974398
"stingrs","vakars","unrelated","word","word",0.288796215463919
"vēlu","konstitūcija","unrelated","word","word",0.0936573783493168
"bēgt","vēlētājs","unrelated","word","word",NA
"kredīts","vēlēšanās","unrelated","word","word",0.169069822347018
"šaubīties","pudele","unrelated","word","word",0.158627703598872
"aizliegts","bērns","unrelated","word","word",0.11965825560012
"priekšā","bailes","unrelated","word","word",0.144651371176486
"aizsargāt","ziedojums","unrelated","word","word",0.180233512774306
"sodīt","vannas istaba","unrelated","word","word",NA
"apvainojums","stils","unrelated","word","word",0.454428774143035
"atvērt","temperatūra","unrelated","word","word",0.188820036561051
"aizvietot","solīt","unrelated","word","word",0.226342397255152
"balss","liktenis","unrelated","word","word",0.167594580716553
"akmens","uzklausīt","unrelated","word","word",0.0441431037888402
"nieres","dziedēt","unrelated","word","word",NA
"autors","paragrāfs","unrelated","word","word",NA
"sprūds","mārketings","unrelated","word","word",NA
"stūris","sudrabs","unrelated","word","word",0.378224934978915
"bravo","bez maksas","unrelated","word","word",NA
"pensija","kardināls","unrelated","word","word",0.247484268810158
"motīvs","prezidents","unrelated","word","word",0.337341417810421
"dzert","bioloģija","unrelated","word","word",NA
"statuss","pilnvaras","unrelated","word","word",0.214353962850612
"āfrika","mantot","unrelated","word","word",0.13261335313296
"nūja","cūka","unrelated","word","word",0.347090874029334
"autopsija","atmosfēra","unrelated","word","word",NA
"tops","vāciņš","unrelated","word","word",NA
"boot","restorāns","unrelated","word","word",NA
"zaļš","elektrība","unrelated","word","word",0.230726624768906
"novads","summa","unrelated","word","word",NA
"izrakt","attieksme","unrelated","word","word",0.204197034321545
"haoss","dokuments","unrelated","word","word",0.358983112340585
"raunds","koncerts","unrelated","word","word",0.44609671578293
"nozagt","satikt","unrelated","word","word",0.242861822983132
"drosme","helikopters","unrelated","word","word",0.2580666146538
"profils","laikraksts","unrelated","word","word",NA
"skaitīt","viesmīle","unrelated","word","word",0.0999099129981492
"atļauja","dāvana","unrelated","word","word",0.332777893049782
"apstiprinājums","klients","unrelated","word","word",0.345376001692016
"sūdzība","burvīgs","unrelated","word","word",0.0959021608701349
"iekšējs","kaķis","unrelated","word","word",NA
"inženieris","ļaut","unrelated","word","word",0.153384006184157
"steidzams","gods","unrelated","word","word",0.299058309735653
"arsenāls","masāža","unrelated","word","word",0.279397642283655
"leģions","norādīt","unrelated","word","word",NA
"terapija","karaliste","unrelated","word","word",NA
"ķirurgs","vecāks","unrelated","word","word",0.3719793451597
"vein","plāksne","unrelated","word","word",0.246615431002035
"kavalērija","piesaistīt","unrelated","word","word",0.14282309911829
"ufo","roms","unrelated","word","word",NA
"atbildēt","pētījums","unrelated","word","word",0.0852723984452254
"turnīrs","tūlīt","unrelated","word","word",0.180043551571283
"aizmirst","kempings","unrelated","word","word",NA
"silts","aizmugurē","unrelated","word","word",0.226599626469183
"atpakaļ","deguns","unrelated","word","word",0.171795992871655
"svaigs","pretēji","unrelated","word","word",0.0617804502277894
"atkritumi","mikroskops","unrelated","word","word",NA
"atkāpšanās no amata","pa kreisi","unrelated","word","word",NA
"klusais okeāns","valsts","unrelated","word","word",NA
"izvēlēties","dators","unrelated","word","word",0.139222119564712
"bonuss","nepatiess","unrelated","word","word",NA
"vide","prieks","unrelated","word","word",0.148643679136575
"ierasties","dinamīts","unrelated","word","word",NA
"vieta","palīgs","unrelated","word","word",0.134067376666051
"meklēt","kvalitāte","unrelated","word","word",0.0775030422043401
"lēnām","slimība","unrelated","word","word",0.19936933491285
"lēns","maksimums","unrelated","word","word",0.233562326354187
"attālums","atlantijas okeāns","unrelated","word","word",NA
"piedot","vakcīna","unrelated","word","word",NA
"atvaļinājums","fizisks","unrelated","word","word",NA
"atzinums","uzturēšana","unrelated","word","word",NA
"progress","interesants","unrelated","word","word",0.3748117030376
"atzīt","svētdiena","unrelated","word","word",0.112957348226829
"āda","rokas","unrelated","word","word",0.135079136752995
"pūlis","pokers","unrelated","word","word",0.323422550418152
"ābele","ieslodzījums","unrelated","word","word",NA
"zemāks","guļamistaba","unrelated","word","word",NA
"vienaldzība","bekons","unrelated","word","word",NA
"zems","apglabāt","unrelated","word","word",0.108669976948642
"majestātiskums","izdzīvot","unrelated","word","word",NA
"svars","frāze","unrelated","word","word",0.217549276252671
"karsts","tituls","unrelated","word","word",0.319281902865143
"acs","reputācija","unrelated","word","word",0.359751823785656
"rietumi","elektrisks","unrelated","word","word",NA
"vilciens","nezināms","unrelated","word","word",0.265415831416412
"transportlīdzeklis","unikāls","unrelated","word","word",NA
"dārgums","iespēja","unrelated","word","word",0.152886163394193
"nabadzīgs","produkts","unrelated","word","word",0.2481538483596
"skandāls","privātums","unrelated","word","word",NA
"šausmas","kaklarota","unrelated","word","word",0.144200812533643
"uzņemšana","decembris","unrelated","word","word",0.369608429076786
"vairums","kāzas","unrelated","word","word",0.172142106227327
"iejūgt","vājš","unrelated","word","word",NA
"mati","augļi","unrelated","word","word",0.313267456484583
"klubs","gudrs","unrelated","word","word",0.327900225711162
"pulks","medaljons","unrelated","word","word",0.424961056663114
"bēglis","tehnika","unrelated","word","word",0.225153838934919
"stadija","mērce","unrelated","word","word",0.417533759982157
"grauzdiņš","halucinācija","unrelated","word","word",NA
"zārks","finansējums","unrelated","word","word",NA
"jaunatne","no rīta","unrelated","word","word",NA
"bērns","augsts","unrelated","word","word",0.147012085403804
"brīvi","kalps","unrelated","word","word",0.230944917935834
"nepamatots","bloķēt","unrelated","word","word",NA
"bezpalīdzīgs","nedēļa","unrelated","word","word",0.174535484110783
"dažreiz","izstāde","unrelated","word","word",-0.0111606278547296
"tievs","zinātnieks","unrelated","word","word",0.238902002604253
"ķīmija","struktūra","unrelated","word","word",0.40926920142708
"ķīmija","precējies","unrelated","word","word",0.124263659325462
"galds","pēdējais","unrelated","word","word",0.212484632787192
"riskants","samazināt","unrelated","word","word",0.239196926366555
"nozare","izlidošana","unrelated","word","word",NA
"atslēga","slēpt","unrelated","word","word",0.326360215908566
"vadītājs","militārs","unrelated","word","word",NA
"vašingtona","nevērtīgs","unrelated","word","word",NA
"dude","sagatavoties","unrelated","word","word",NA
"mazdēls","pastāstīt","unrelated","word","word",0.172647064058928
"relatīvs","furgons","unrelated","word","word",NA
"māsa","karavīrs","unrelated","word","word",0.147671538464599
"disks","informēt","unrelated","word","word",0.0701585630182508
"risks","paklājs","unrelated","word","word",0.371576177771592
"šausmīgs","ticams","unrelated","word","word",0.467926505933721
"ziemsvētki","drošība","unrelated","word","word",NA
"brīvprātīgais","ārējs","unrelated","word","word",NA
"vakariņas","cīņa","unrelated","word","word",0.146228695882808
"vairogs","rakstīt","unrelated","word","word",0.0870068135803253
"gliemeža","tas","unrelated","word","word",NA
"enkurs","grāfiene","unrelated","word","word",0.33275760766707
"pievilcīgs","ievainojums","unrelated","word","word",0.336506447254106
"būvniecība","vaniļa","unrelated","word","word",0.357611606776111
"sveiki","sikspārņacilvēks","unrelated","word","word",NA
"plaisa","pildspalva","unrelated","word","word",0.218991974249672
"pleca","griezt","unrelated","word","word",0.186601828364678
"maršruts","pārskaitījums","unrelated","word","word",NA
"portfelis","komanda","unrelated","word","word",0.119053318736657
"konkurence","deja","unrelated","word","word",0.254536751229582
"vērtība","ballīte","unrelated","word","word",0.158841924224241
"jūdze","amerika","unrelated","word","word",0.276729485714418
"ķivere","tīmeklis","unrelated","word","word",NA
"rituāls","pusdienas","unrelated","word","word",0.135695232561707
"divi","pilsēta","unrelated","word","word",0.0815486152427675
"pusi","ēka","unrelated","word","word",0.163499339996349
"trešais","uzturēt","unrelated","word","word",0.117028787913183
"nometne","atjaunot","unrelated","word","word",0.197453730514473
"lepnums","sniegt","unrelated","word","word",0.201436610478651
"pelnījuši","gars","unrelated","word","word",0.140677737463255
"nabadzība","maka","unrelated","word","word",0.199855862778992
"šūna","emocionāls","unrelated","word","word",0.347274947055748
"tabaka","uz augšu","unrelated","word","word",NA
"dūmi","mitrs","unrelated","word","word",NA
"populācija","izmeklētājs","unrelated","word","word",0.302610313357693
"cilvēks","aizliegt","unrelated","word","word",0.0947808972943458
"cīnīties","pirkstu nospiedums","unrelated","word","word",NA
"karš","uzvarēt","unrelated","word","word",0.173343457395985
"naivs","universitāte","unrelated","word","word",0.278482799203111
"čempions","turcija","unrelated","word","word",NA
"zooloģiskais dārzs","negodīgs","unrelated","word","word",NA
"kultūra","finansējums","unrelated","word","word",NA
"paranoiķis","video","unrelated","word","word",NA
"govs","senāts","unrelated","word","word",0.204044280426908
"tārps","pagātnē","unrelated","word","word",0.16632474932545
"karote","brāļadēls","unrelated","word","word",NA
"lieta","efekts","unrelated","word","word",0.211468016084354
"kungs","jaunākais","unrelated","word","word",0.149251275530214
"aktīvs","karte","unrelated","word","word",NA
"darbs","pārdot","unrelated","word","word",0.0855882264414096
"dimants","dot","unrelated","word","word",0.155547280960991
"veidot","literatūra","unrelated","word","word",0.226875436134387
"līdzjūtīgs","priesteris","unrelated","word","word",NA
"programmatūra","sagaidīt","unrelated","word","word",NA
"kompliments","ceturksnis","unrelated","word","word",NA
"saulriets","tieši","unrelated","word","word",0.179689367532731
"debess","bārda","unrelated","word","word",0.239222426443138
"novembris","zveja","unrelated","word","word",0.275464236075985
"koncepcija","degvīns","unrelated","word","word",NA
"muti","maltīte","unrelated","word","word",0.126178465118227
"gāze","sabrukums","unrelated","word","word",0.388339288895019
"viskijs","infekcija","unrelated","word","word",0.316654107441019
"dejotājs","zonde","unrelated","word","word",NA
"meita","alfa","unrelated","word","word",0.18358610781567
"brīvība","depresija","unrelated","word","word",0.367450063561243
"protests","brālēns","unrelated","word","word",0.271920779893262
"stress","četri","unrelated","word","word",0.283919798512817
"gadsimtā","tumšs","unrelated","word","word",0.240482644843872
"aģents","ceremonija","unrelated","word","word",0.172088552103189
"dievs","smiltis","unrelated","word","word",0.178845221700614
"šaujampulveris","aprēķināt","unrelated","word","word",NA
"ping","pase","unrelated","word","word",NA
"ražotājs","savākt","unrelated","word","word",0.178277341394948
"saruna","atkritumi","unrelated","word","word",0.144948515148931
"fabrika","baidīt","unrelated","word","word",0.162285745221287
"mārciņa","mutācija","unrelated","word","word",0.238515118347563
"apsvērt","civilizācija","unrelated","word","word",0.196900242042717
"piedāvājums","sieviete","unrelated","word","word",0.098917278988055
"attiecības","apstiprinājums","unrelated","word","word",0.296393703549881
"pieklājīgs","viegli","unrelated","word","word",0.265516033033678
"kolēģis","programma","unrelated","word","word",0.177212118120987
"drošība","zobs","unrelated","word","word",0.199494581356847
"cēls","paldies","unrelated","word","word",0.118262706466878
"drošs","desmitgade","unrelated","word","word",NA
"klepus","putns","unrelated","word","word",0.401352418068459
"logs","raķete","unrelated","word","word",0.362725983791013
"dusmas","braukt","unrelated","word","word",0.156486188620498
"greizsirdīgs","intīms","unrelated","word","word",NA
"sega","klosteris","unrelated","word","word",NA
"teksts","koks","unrelated","word","word",NA
"sarkans","grieķu valoda","unrelated","word","word",NA
"atgūties","automašīna","unrelated","word","word",NA
"albums","izloze","unrelated","word","word",NA
"jubileja","šaut","unrelated","word","word",0.183570490404999
"maksts","pārbaudīt","unrelated","word","word",NA
"tvertne","iztērēt","unrelated","word","word",0.249671874173305
"zvērs","uztraukums","unrelated","word","word",NA
"māja","kuģis","unrelated","word","word",0.190274732304765
"noderīgs","dvielis","unrelated","word","word",NA
"ietekme","gulta","unrelated","word","word",0.161392201661881
"tornis","centimetrs","unrelated","word","word",NA
"eksplodēt","definīcija","unrelated","word","word",NA
"moderns","par to","unrelated","word","word",NA
"strāva","izzušana","unrelated","word","word",NA
"magnētisks","vilšanās","unrelated","word","word",NA
"faktors","trīs","unrelated","word","word",0.0983931335812597
"ogles","zivis","unrelated","word","word",0.321602822790125
"paradīze","vienāds","unrelated","word","word",0.182403507776065
"garīgs","žurnāls","unrelated","word","word",0.390787065439883
"jauda","politika","unrelated","word","word",0.316056801287732
"mēris","iespaidīgs","unrelated","word","word",0.294298502797965
"sērija","patrula","unrelated","word","word",NA
"orgasms","rotaļlieta","unrelated","word","word",0.311433059424823
"slazds","omārs","unrelated","word","word",NA
"barot","čempionāts","unrelated","word","word",0.127471774083182
"upe","efektīvs","unrelated","word","word",0.297664854016359
"mail","draugs","unrelated","word","word",NA
"brīnišķīgs","elle","unrelated","word","word",0.149335641424026
"realitāte","melis","unrelated","word","word",0.296702696805175
"kolonija","patīkams","unrelated","word","word",NA
"karnevāls","strīds","unrelated","word","word",NA
"porno","tirgotājs","unrelated","word","word",0.39939115055122
"budžets","noziegums","unrelated","word","word",NA
"finansiāli","izteikt","unrelated","word","word",NA
"banka","pateicība","unrelated","word","word",0.177691245832645
"seksuāls","saprast","unrelated","word","word",NA
"marine","darbība","unrelated","word","word",NA
"jūras","sviests","unrelated","word","word",0.102566619784252
"bilde","pusaudzis","unrelated","word","word",0.213335418276205
"autogramma","jaunietis","unrelated","word","word",NA
"angļu","laiva","unrelated","word","word",0.331009711267198
"vārdnīca","pilnīgi","unrelated","word","word",NA
"operatīvs","spīdzināšana","unrelated","word","word",NA
"piekabe","mērs","unrelated","word","word",NA
"basketbols","valdība","unrelated","word","word",NA
"fragments","caurums","unrelated","word","word",0.444564984382931
"tumsa","cīnītājs","unrelated","word","word",0.206102523388021
"cūkgaļa","kapsēta","unrelated","word","word",NA
"visums","vīzija","unrelated","word","word",0.239802601684716
"galīgs","pārtraukums","unrelated","word","word",0.229340357997396
"beidzot","vilkt","unrelated","word","word",0.209722804961831
"kauls","pārbaude","unrelated","word","word",0.285124652176114
"bāze","sieviete","unrelated","word","word",0.218816737446671
"seminārs","ceļš","unrelated","word","word",NA
"dvēsele","stratēģija","unrelated","word","word",0.260131101049869
"īslaicīgs","teniss","unrelated","word","word",NA
"garšīgs","priekšmets","unrelated","word","word",0.226951674144524
"izmērs","šķidrums","unrelated","word","word",0.432385507262159
"lesbiete","sula","unrelated","word","word",0.416450343915279
"klana","nodoms","unrelated","word","word",0.219905191247037
"klavieres","jaka","unrelated","word","word",0.265440893495358
"varonis","milzīgs","unrelated","word","word",0.248573927032166
"mākslinieks","ķēriens","unrelated","word","word",0.370210449092798
"valsts","artērija","unrelated","word","word",NA
"pienācīgs","galu galā","unrelated","word","word",NA
"lojalitāte","lēts","unrelated","word","word",NA
"privilēģija","durvis","unrelated","word","word",0.148742890656429
"mērkaķis","negatīvs","unrelated","word","word",NA
"barons","noslēpums","unrelated","word","word",0.305586710417731
"kalendārs","izsalcis","unrelated","word","word",NA
"bible","rietumu","unrelated","word","word",NA
"kilograma","leitnants","unrelated","word","word",NA
"romiešu","karalis","unrelated","word","word",0.344943247461697
"plīsums","krava","unrelated","word","word",0.267573767053667
"banda","ārkārtas","unrelated","word","word",0.00710053201815819
"dzimšana","personība","unrelated","word","word",NA
"salds","kurls","unrelated","word","word",0.38699157398261
"gudrs","nervozs","unrelated","word","word",0.400894050630319
"istaba","zīme","unrelated","word","word",0.407128898227246
"atpūsties","spēle","unrelated","word","word",0.084318096057617
"dīvāns","ģimene","unrelated","word","word",0.139551196099342
"pārvaldīt","smarža","unrelated","word","word",0.193826338531045
"ilūzija","mācīt","unrelated","word","word",0.11484320729017
"sviestmaize","garš","unrelated","word","word",0.333696558581075
"līdzsvars","zēns","unrelated","word","word",0.281253522380808
"ātrā palīdzība","dusmīgs","unrelated","word","word",NA
"kokaīns","koncentrāts","unrelated","word","word",NA
"palīglīdzekļi","raidītājs","unrelated","word","word",NA
"muļķis","brālis","unrelated","word","word",0.458653863410643
"iedvesmot","augstums","unrelated","word","word",NA
"izeja","lidot","unrelated","word","word",0.154991683713518
"finanses","lūgt","unrelated","word","word",NA
"ārā","brīvdiena","unrelated","word","word",0.152079746129326
"avēnija","smieklīgi","unrelated","word","word",0.120579377000099
"tuksnesis","līgava","unrelated","word","word",0.298698672980814
"peļņa","federācija","unrelated","word","word",NA
"aploksne","pierādījums","unrelated","word","word",NA
"ierakstīt","ticība","unrelated","word","word",0.0181862843944549
"oficiāli","košļāt","unrelated","word","word",0.174013634261669
"chip","ātrs","unrelated","word","word",NA
"pistole","telefons","unrelated","word","word",0.313695949363796
"izkausēt","bezspēcīgs","unrelated","word","word",NA
"glaimot","skolotājs","unrelated","word","word",0.426604881462299
"sods","acīmredzami","unrelated","word","word",0.24199424804344
"ķīlnieks","mežs","unrelated","word","word",0.392628621655687
"sensacionāls","pabeigt","unrelated","word","word",NA
"iespēja","cieņa","unrelated","word","word",0.257821430234956
"izvēle","slava","unrelated","word","word",0.31646441983604
"var būt","miljards","unrelated","word","word",NA
"varbūtība","hamburgers","unrelated","word","word",NA
"ievadīt","mazs","unrelated","word","word",0.0851783154683234
"glābt","paraksts","unrelated","word","word",-0.0140954142516235
"ierosināt","milti","unrelated","word","word",NA
"ieskrāpēt","īpašnieks","unrelated","word","word",NA
"ārkārtējs","apsūdzība","unrelated","word","word",NA
"ikdienas","augstprātība","unrelated","word","word",NA
"pirksts","gleznotājs","unrelated","word","word",NA
"imperiāls","ārsts","unrelated","word","word",NA
"dinastija","ēsma","unrelated","word","word",0.225357404129222
"persona","putekļi","unrelated","word","word",0.060918563697066
"vīruss","alus","unrelated","word","word",0.217191940662222
"dati","gabals","unrelated","word","word",0.160814791765123
"avots","atgriešanās","unrelated","word","word",0.144659183032035
"ziņot","nācija","unrelated","word","word",0.204669512004601
"deva","tomāts","unrelated","word","word",NA
"rīks","iela","unrelated","word","word",0.0526834673163132
"aizraujošs","trūkums","unrelated","word","word",0.295639779236663
"personisks","bruņurupucis","unrelated","word","word",0.339561769353378
"instinkts","cirks","unrelated","word","word",0.316535938398922
"baņķieris","bura","unrelated","word","word",0.186707578903784
"īpašums","nozveja","unrelated","word","word",NA
"ironija","sip","unrelated","word","word",NA
"šķērslis","franču valoda","unrelated","word","word",NA
"tiešraide","atteikties","unrelated","word","word",0.214999539387573
"veselība","dāma","unrelated","word","word",0.344385649408507
"ierašanās","alga","unrelated","word","word",0.196989353653493
"tualete","līderis","unrelated","word","word",0.210216757771728
"gleznot","grafiks","unrelated","word","word",NA
"piemērot","auss","unrelated","word","word",NA
"uzklausīšana","manipulēt","unrelated","word","word",NA
"pārbaudīt","elegants","unrelated","word","word",NA
"analītiķis","kalpone","unrelated","word","word",0.353314552384455
"rezultāts","prototips","unrelated","word","word",0.465734564398177
"radīšana","komunists","unrelated","word","word",NA
"karājas","šļūtene","unrelated","word","word",0.277947699057898
"nolaupītājs","dzejolis","unrelated","word","word",NA
"iemesls","fantāzija","unrelated","word","word",0.206632154621056
"noguris","uzbrucējs","unrelated","word","word",0.34657977939482
"galerija","saprātīgs","unrelated","word","word",NA
"aprakstīt","soma","unrelated","word","word",0.229421065289166
"atkritumi","komisārs","unrelated","word","word",0.238607064241897
"nāve","tablete","unrelated","word","word",0.159738953146038
"labi","saturs","unrelated","word","word",0.0820090391761198
"krekls","turpināt","unrelated","word","word",0.0998582236343756
"jauks","armija","unrelated","word","word",0.0295584599649034
"vecākais","birojs","unrelated","word","word",0.23994220254682
"vecs","apraksts","unrelated","word","word",0.265001938352469
"kanāls","stulbums","unrelated","word","word",0.420899004588738
"vāvere","bruņas","unrelated","word","word",0.333364975075193
"triks","artilērija","unrelated","word","word",NA
"orķestris","periods","unrelated","word","word",0.548070624343774
"romeo","paranormāls","unrelated","word","word",NA
"jūnijs","limuzīns","unrelated","word","word",0.383888740819128
"pirāts","austrumi","unrelated","word","word",0.284324346399391
"delikāts","saimnieks","unrelated","word","word",NA
"parasts","finansiāls","unrelated","word","word",NA
"audums","staigāt","unrelated","word","word",NA
"nekad","lidojums","unrelated","word","word",0.10219600167866
"kauss","atzīties","unrelated","word","word",0.142491897067278
"kails","jūlijs","unrelated","word","word",0.356798824362836
"entuziasms","televīzija","unrelated","word","word",NA
"brūce","slepkava","unrelated","word","word",0.192504045794275
"suns","nospiest","unrelated","word","word",0.233933603689987
"saistīt","psiholoģisks","unrelated","word","word",NA
"gredzens","iesaldēt","unrelated","word","word",NA
"rīkle","primārs","unrelated","word","word",NA
"kalns","grams","unrelated","word","word",NA
"aukle","cilvēks","unrelated","word","word",0.163685413761594
"vēstnieks","mūziķis","unrelated","word","word",0.441278504896122
"vergs","grupa","unrelated","word","word",0.207527412446294
"baznīca","injekcija","unrelated","word","word",NA
"anarhija","apakšējā daļa","unrelated","word","word",NA
"kaps","audi","unrelated","word","word",0.107093200176787
"komandieris","kukaiņa","unrelated","word","word",NA
"karaliene","misija","unrelated","word","word",0.318847565723888
