"eu_cue","eu_target","eu_fake_target","eu_fake_cue","en_cue","en_target"
"idazle","antzezle","antzmele","idazta","author","actor"
"idazmahai","buelgo","burigo","idazakhai","desk","office"
"ideal","ezin hobe","ezinksobe","idaol","ideal","perfect"
"ideia","teoria","teorri","idpua","idea","theory"
"igel","musker","muskin","iggi","frog","lizard"
"igerileku","an","ir","igpaileku","dude","bro"
"igoera","salto egin","saltmaegin","anoera","climb","jump"
"ihauteri","jaialdi","irialdi","nkauteri","carnival","festival"
"ikasi","irakatsi","iraklusi","iklai","learn","teach"
"ikasle","irakasle","irakerle","ikmale","student","teacher"
"ikatz","koipeztatu","koipletatu","ikdiz","coal","oil"
"ikerkuntza","ikasketa","ikuzketa","ikermintza","research","study"
"ikusi","topatu","tokotu","iksei","see","meet"
"ikuskari","komislario","komiouario","ikusturi","inspector","commissioner"
"ikusmen","ikuskera","ikorkera","ikermen","view","perspective"
"ilargi","eguzki","egatki","ilarel","moon","sun"
"iltze","hortz","hozuz","artze","nail","tooth"
"ilunsenti","argi-urratze","argiutxatze","ilunseizi","sunset","dawn"
"iluntasun","arin","jain","ililtasun","darkness","light"
"inbasio","atake","liake","inpesio","invasion","attack"
"indartsu","ahul","ahho","inekrtsu","strong","weak"
"indibidual","ezkondu","ezkomuu","indibidunb","single","married"
"industria","negozioak","nelazioak","inkastria","industry","business"
"ingeles","frantsesa","frantsuka","intales","english","french"
"ingurugiro","atmosfera","atmonuera","inguergiro","environment","atmosphere"
"injineru","arkitekto","arkiteteo","injiliru","engineer","architect"
"inperioko","enperadore","alperadore","inagrioko","imperial","emperor"
"irabazia","garaipen","gaekipen","irabogia","gain","win"
"irail","urria","amria","apail","september","october"
"irain","laidotu","lankotu","rgain","insult","offend"
"irakurri","idatzi","iduazi","iriturri","read","write"
"irakurtze","idazketa","idazpita","iriturtze","reading","writing"
"iraupen","eutsi","euuri","irauvin","resistance","resist"
"ireki","hurbileko","norbileko","irchi","open","close"
"irekitze","itxiera","itximoa","irekorze","opening","closure"
"iritzia","jarrera","zerrera","editzia","opinion","attitude"
"irmotly","ahalki biziki","ahalkiykiziki","irmopey","firmly","strongly"
"irrati","telebista","telebizka","dorati","radio","television"
"irrazional","axolagabe","axxeagabe","dorazional","unreasonable","irresponsible"
"irrikatu","desira","dezara","irritutu","desire","wish"
"irriño","barre","bauke","irpaño","smile","laugh"
"irteera","sarbide","sagoide","irslera","exit","entrance"
"irtenda","murtxikatu","murtizkatu","irterfa","swallow","chew"
"irudi","argazki","argatzi","irdei","picture","photo"
"irudimen","sorgartasun","sochartasun","irekimen","imagination","creativity"
"irudipen","haluzinazio","hazazinazio","irudeken","illusion","hallucination"
"isil","isiltasun","isuntasun","isoi","silent","silence"
"isileko","misterio","rasterio","ismoeko","secret","mystery"
"islada","ispilu","istulu","islanc","reflection","mirror"
"ito","igeri egin","igermaegin","nko","drown","swim"
"itsasoa","ozeano","queano","itsakua","sea","ocean"
"itsasuntzi-","flota","agota","itsamintzi","naval","fleet"
"itsu","gor","ver","itdo","blind","deaf"
"iturri","hobekien","hobeaten","akurri","source","informant"
"itxaron","itxaron","itxaben","itxaben","wait","expect"
"itxaropen","konfiantza","kotriantza","itxaronan","hope","faith"
"itxuroso","prestu","przatu","itelroso","decent","honest"
"izaeraz","eskuarki","estsarki","izuaraz","naturally","generally"
"izen","izenburua","izenigrua","keen","name","title"
"izena izan","telefono","teletrno","izenweizan","call","telephone"
"izkina","kaleska","kaletea","fakina","corner","alley"
"izu","beldur","raldur","etu","horror","fear"
"izualdi","izutu","izrru","agualdi","scare","frighten"
"izurri","epidemikoa","epidrkikoa","izairi","plague","epidemic"
"jabetasun","jabea","jamoa","janatasun","property","owner"
"jadanik","lasai","lazzi","jambnik","already","still"
"jainko","desberdin","detherdin","arinko","god","divine"
"jaiotza","haurdunaldi","haurdunarai","tziotza","birth","pregnancy"
"janari","bazkari","zizkari","esnari","food","meal"
"jangai","jan","nin","jaiaai","feed","eat"
"jarraiki","segika ibili","segikagobili","jarraizk","follow","chase"
"jasan","otso","otas","jaton","bear","wolf"
"jatorrizko","kopia","koima","jatorranko","original","copy"
"jauregi","gaztelu","gaztttu","jauriti","palace","castle"
"jaurtitzaile","frankotiratzaile","frankomaratzaile","jaurbetzaile","shooter","sniper"
"jazo","gertatu","gertzau","japi","occur","happen"
"jazoera","ezbehar","ezadhar","jaylera","incident","accident"
"jeazz","musika","rtsika","snazz","jazz","music"
"jeep","kamioi","kamiil","jeck","jeep","truck"
"jeinu","zientzilari","zienamilari","ininu","genius","scientist"
"jeloskor","sumindu","sustndu","jeduskor","jealous","angry"
"jendetza","entzuleria","entzageria","jeztetza","crowd","audience"
"jeneral","koronel","kororol","loneral","general","colonel"
"jo","jo","ul","ys","hit","strike"
"jokatu","jarraitu","zerraitu","fikatu","proceed","continue"
"jokatu","joko","ozko","fikatu","play","game"
"joko","polit","podat","ozko","gambling","poker"
"jungla","oihan","oimon","juonla","jungle","forest"
"kabi","arrautza","arldutza","kaem","nest","egg"
"kabinete","armairu","armarou","kagonete","cabinet","closet"
"kablegrama","burdin hari","burdinpìari","kableggema","cable","wire"
"kaliba","bala","kila","kalisk","caliber","bullet"
"kamera","mikrofonoa","mikrofongo","kamese","camera","microphone"
"kanela","hrinta","hrmata","karkla","cinnamon","vanilla"
"kanpaina","hautaketa","hauteneta","kaaraina","campaign","election"
"kanpatu","herriska","herrisat","kaalatu","camp","village"
"kanpo","ei buruz","ae buruz","kahao","out","about"
"kantitate","kalitate","kazetate","kaimitate","quantity","quality"
"kantzelari","presidente","przaidente","esntzelari","chancellor","president"
"kapsula","zopa","zost","kaezula","capsule","probe"
"karbono","hidrogeni","hidrogali","kagaono","carbon","hydrogen"
"karraska","agiri","rdiri","karregka","file","document"
"karrera","entzute","entzere","esrrera","career","reputation"
"kasket","kapelu","kabilu","katuet","helmet","hat"
"katea","soka","naka","kalaa","chain","rope"
"katilu","plater","utater","katiti","bowl","plate"
"katoliko","kristau","krisscu","katozeko","catholic","christian"
"kazetari","kazetari","kardtari","kaartari","reporter","journalist"
"kazetaritza","politika","militika","kaartaritza","journalism","politics"
"keinu","jokatu","fikatu","keeau","gesture","act"
"kemen","erabaki","erilaki","keakn","courage","determination"
"ketchup","maonionesa","ejonionesa","keoshup","ketchup","mayonnaise"
"kezkatsu","urduri","amduri","keldatsu","worried","nervous"
"kide","lagun","landn","code","colleague","friend"
"kikara","kafe","kaoo","cokara","cup","coffee"
"kilo","gramo","gruso","kian","kilo","gram"
"kilometro","kontagailu","kotragailu","kianmetro","kilometer","meter"
"kimika","biologia","biolazia","comika","chemistry","biology"
"kirurgilari","doktore","dolaore","kikergilari","surgeon","doctor"
"klan","familia","nimilia","pian","clan","family"
"kobratu","diru","dimo","kolbatu","cash","money"
"kodea","kontrazeinu","kontrazergu","kotxa","code","password"
"koilara","bidebanatze","bidellnatze","reilara","spoon","fork"
"kokaina","heroína","herosba","koitina","cocaine","heroin"
"kokapen","kokaleku","kokaleth","kokabin","status","position"
"kokatu","transferitu","tranozeritu","koittu","move","transfer"
"kolonia","federazio","viderazio","kolorua","colony","federation"
"komandante","kapitain","kapitaro","komareante","commander","captain"
"komentartzi","merkatari","meidatari","komentarnei","commercial","merchant"
"konbinazio","nahasketa","nahangeta","konbinpoio","combination","mixture"
"konkurrentzia","txapelketa","txapaiketa","konkairentzia","competition","championship"
"konpas","mapa","mast","konpso","compass","map"
"kontaktu","lotune","logine","kotxaktu","contact","connection"
"kontratu","akordio","akorrgo","koleratu","contract","agreement"
"kontrolatu","maneiatu","mapaiatu","kontkilatu","control","manipulate"
"kontserbatu","mantendu","maudendu","kontseanatu","preserve","maintain"
"kontserbazio","liberal","likiral","kontsemoazio","conservative","liberal"
"konturatu","ulertu","jiertu","kontroatu","realize","understand"
"kontzeptu","definizio","defitezio","kontzeoku","concept","definition"
"koroa","tronu","trlku","koada","crown","throne"
"korrika egin","ibili","iblai","korriknoegin","run","walk"
"korronte","elektrizitate","elektroeitate","korrsate","current","electricity"
"kreditu","mailegu","mahaegu","krukitu","credit","loan"
"krema","saltsa","saltzi","krzoa","cream","sauce"
"kritiko","politiko","porttiko","editiko","critical","political"
"kudeaketa","administrazio","doministrazio","kusiaketa","management","administrative"
"kudeatu","arrakasta","arrakania","kulpatu","manage","succeed"
"kudeatzailea","nagusi","nabisi","kuniatzailea","manager","boss"
"kultura","zibilizazio","zibililuzio","kurrura","culture","civilization"
"kutsadura","erradiazio","erraulazio","kutsieura","contamination","radiation"
"kutxa","poltsa","potrsa","kubia","box","bag"
"kuxkuxean ibili","eskandalu","eskandttu","kuiluxean ibili","gossip","scandal"
"labe","sutegi","fetegi","gobe","oven","stove"
"labur","luze","luor","larer","short","long"
"laga","ibar","near","lanc","desert","valley"
"lagun-talde","talde","tatxe","laguntatxe","gang","group"
"lagundi","korporazio","kotrorazio","lagulki","company","corporation"
"lagundu","sorospen","sorooren","landndu","support","assistance"
"laguntza","sorotsi","soroski","landntza","help","assist"
"laguntzak","e-a","éma","landntzak","aids","hiv"
"laiziko","atlantiko","atlantxao","lawtiko","pacific","atlantic"
"lakirio","beita","belma","lamorio","trap","bait"
"langai","eguzki","egatki","langel","lunar","solar"
"laño","errudun","erkadun","layn","innocent","guilty"
"lanpara","kandela","kaevela","lagoara","lamp","candle"
"lantegi","ekoizpen","ekoiisen","lagregi","factory","production"
"lapur","kriminal","krseinal","laxar","thief","criminal"
"lapurreta","lapurreta","lazirreta","lazirreta","theft","robbery"
"lapurtu","lapurreta egin","lapurretålegin","lanortu","steal","rob"
"larri","kanposantu","kanposansi","dirri","grave","cemetery"
"larru","mukizapi","mukizazo","lautu","skin","tissue"
"larunbat","igande","peande","zirunbat","Saturday","Sunday"
"lasagna","spaghetti","spageltti","lasaaca","lasagna","spaghetti"
"lasai","bare","mire","lauri","quiet","calm"
"laudorio","opari","ulari","latsorio","compliment","gift"
"lege","konstituzioa","korotituzioa","leum","law","constitution"
"legebiltzar","su","ck","lesubiltzar","parliament","senate"
"legezkontrako","arauzko","ariezko","lezozkontrako","illegal","legal"
"legio","gudaroste","gudaieste","lezzo","legion","army"
"lehenengo","azken","azton","ledinengo","first","last"
"lehengoen","menpeko","mesheko","lehengern","senior","junior"
"lehergailu","eztandagarri","ezpendagarri","lemurgailu","bomb","explosive"
"lehortu","heze","heta","legurtu","dry","wet"
"leial","leial","onial","letel","loyal","faithful"
"leialtasun","zintzotasuna","zinttitasuna","onialtasun","loyalty","honesty"
"leiho","ate","ide","leodo","window","door"
"leku","kokaleku","kokaleth","leum","place","location"
"lesiera","gauer","gacor","leteera","lesbian","gay"
"libritan","dohainik","bihainik","lidaitan","freely","free"
"liburutegi","museoa","muapoa","liburuteel","library","museum"
"likido","fluido","shuido","lismdo","liquid","fluid"
"limoi-edari","seltz-ur","sepezur","liltiedari","lemonade","soda"
"lokatz","harea","ferea","sukatz","mud","sand"
"losentxatu","azpimarratu","azlomarratu","lochntxatu","flatter","impress"
"lur","hegan egin","hegarhegin","uor","land","fly"
"lurreratze","hegaldi","hegaini","torreratze","landing","flight"
"lurrikara","leherketa","lenarketa","torrikara","earthquake","explosion"
"mafia","kartel","kartue","maosa","mafia","cartel"
"magia","emode","emize","iegia","magic","wizard"
"magital","elektriko","elekegiko","maratal","magnetic","electric"
"mahai","aulki","aundi","maidi","table","chair"
"maiztasun","seinalea","serialea","bliztasun","frequency","signal"
"maizter","etxeko jabe","etxekodbabe","koizter","tenant","landlord"
"makila","barra","aurra","mabala","club","bar"
"makineria","lore","gire","makineuka","plant","flower"
"maletategi","zapata","zaizta","maletateel","boot","shoe"
"malguki","udazken","zoazken","malgndi","spring","autumn"
"maratcho","lasterketa","lastdaketa","maraakho","marathon","race"
"margotu","marraztu","marrazik","marguru","paint","draw"
"marka","ekoizkin","ekoimain","mabia","brand","product"
"markak","artizarra","artiburra","maaiak","mars","venus"
"marraskilo","dortoka","dolfoka","marrsekilo","snail","turtle"
"marrazo","arrain","arrazi","marrrno","shark","fish"
"marroi","urdin","amdin","marrig","brown","blue"
"medikuntza-","psikologiko","psikolbliko","medietntza","medical","psychological"
"mehe","lodi","loar","ishe","thin","thick"
"meket","artera","intera","merlt","ming","ling"
"mende","hamarkada","hamarkroa","meche","century","decade"
"mendebalde","ekialde","raialde","mendrealde","west","east"
"mendeku","zuzentasun","zuzeerasun","mendutu","revenge","justice"
"merezi","duin","dutx","norezi","deserve","worthy"
"merpenatar","hiltzaile","moltzaile","tarpenatar","mercenary","assassin"
"metodo","teknika","tebrika","ostodo","method","technique"
"miatu","arduratu","arparatu","keatu","look","watch"
"mila","ehun","igun","eela","thousand","hundred"
"milia","zentimetro","zentuletro","polia","mile","centimeter"
"milioi","bilioi","birroi","milize","million","billion"
"minkultza","sabelezur","sabetuzur","minkaztza","spinal","abdominal"
"mintegi","hitzaldi","hiapaldi","kuntegi","seminar","lecture"
"mintzamen","prediku","predrnu","mintximen","speech","sermon"
"miragarri","harrigarri","harroiarri","noragarri","impressive","amazing"
"miretsi","eskertu","eskedau","mireuri","admire","appreciate"
"mito","elezahar","eltxahar","migr","myth","legend"
"mode","dotore","ritore","moni","fashionable","elegant"
"monako","apaiz","appez","annako","monk","priest"
"monumentu","estatua","katatua","morgmentu","monument","statue"
"mota","eskola","espila","gata","class","school"
"motel","agudo","agiwo","moial","slow","fast"
"mugimendu","biratu","keratu","legimendu","turn","rotate"
"muino","mendi","meshi","llino","hill","mountain"
"munstro","izaki","izrti","mumatro","monster","creature"
"munys","partikula","pagoikula","muids","matter","particle"
"murru","hespila","henzila","muutu","wall","fence"
"museo","erakusketa","erakneketa","mubko","gallery","exhibition"
"musu","besarkada","besarkroa","resu","kiss","hug"
"mutil","neska","netia","muiel","boys","girls"
"nabano","ergel","erill","nakono","naïve","stupid"
"nabaritasun","froga","frhua","naloritasun","evidence","proof"
"nabigazio","komunikazio","kondnikazio","tibigazio","navigation","communication"
"nahikoa","nahiko","nahine","nahinea","enough","sufficient"
"nanbiri","neskatila","neskateta","napsiri","nanny","maid"
"nasa","gune","rene","napo","platform","station"
"natural","artifizial","artiarzial","nastral","natural","artificial"
"nazioarteko","mundu","musiu","nazidorteko","international","world"
"nazional","mundu mailako","mundlkmailako","rtzional","national","global"
"nekatu","goseti","baseti","negutu","tired","hungry"
"nerabe","nerabe","nerail","nerail","teenage","teenager"
"nerbio","gihar","girir","nesiio","nerve","muscle"
"neska","mutiko","retiko","netia","girl","boy"
"ninja","samurai","samutti","nioha","ninja","samurai"
"nobele","sari","kori","nobetu","nobel","prize"
"noble","andre","ankie","nolae","lord","lady"
"nobulu","adoretsu","adatetsu","noburi","noble","brave"
"noizbait","maiz","koiz","noaebait","sometimes","often"
"noizik behin","oso gutxitan","ossigutxitan","noizik briin","occasionally","rarely"
"normalean","normalean","noxualean","termalean","normally","usually"
"odol","gernu","gediu","nuol","blood","urine"
"ogi","gazta","gayra","gni","bread","cheese"
"ohiko","ohiko","ediko","ediko","ordinary","usual"
"ohizkanpoko","nabarmen","nabaagen","ohtukanpoko","exceptional","remarkable"
"oilasko","indioilar","indivalar","oilardo","chicken","turkey"
"oinaztargi","trumoi","trrtoi","oiliztargi","lightning","thunder"
"okerreko","zuzen","zulan","scerreko","wrong","correct"
"olerkari","idazle","idazta","emerkari","poet","writer"
"on","txar","erar","ap","good","bad"
"ondasun","hiri","stri","dudasun","capital","city"
"onegintza","emari","moari","tiegintza","charity","donation"
"ontzat hartu","aitortu","aizurtu","ontzatznartu","admit","confess"
"orain","jakin","alkin","muain","now","know"
"oraingo","tradiziozko","ldadiziozko","apaingo","modern","traditional"
"oratu","oratu","muatu","ortzu","grab","catch"
"ordezkatu","ordeztu","ordeeiu","ordeldatu","replace","substitute"
"orgasmo","ezabar","ezabia","orgaiso","orgasm","erection"
"orkestra","aldra","alnua","ankestra","orchestra","band"
"oroiaz","funtzionari","nentzionari","orboaz","officially","official"
"orratz","xiringa","xiaonga","muratz","needle","syringe"
"osaba","aitatxo","tetatxo","oslda","uncle","dad"
"osasun","heziera","heltera","klasun","health","education"
"osasuntsu","ohiko","ediko","osaseltsu","healthy","normal"
"ospetsu","izar","amar","ostatsu","celebrity","star"
"ospitale","kontsultategi","kontsualategi","osottale","hospital","clinic"
"otamen","bazkari","zizkari","edamen","snack","lunch"
"oztopoak jarri","menperatu","meoteratu","oztopoakzdarri","object","subject"
"paintaila handi","behatu","behaga","paintailjahandi","screen","monitor"
"pairatu","hil","eal","palkatu","suffer","die"
"panpina","jostailu","sistailu","pakeina","doll","toy"
"paper-zorro","maleta","maista","pasirzorro","briefcase","suitcase"
"papera","boligrafo","boligrelo","pasira","paper","pen"
"paradisu","infernu","infetou","duradisu","paradise","hell"
"patata","tomate","tomaha","iztata","potato","tomato"
"patu","patu","zetu","zetu","fate","destiny"
"pazientzia","erruki","errune","lizientzia","patience","compassion"
"pentsio","soldata","sozkata","pentndo","pension","salary"
"pertsona","indibidual","indibidunb","pertgina","person","individual"
"piano","gitarra","ratarra","ilano","piano","guitar"
"piiberak","zinki","zitsi","sfiberak","naive","cynical"
"pikniko","kanpin","kaalin","piroiko","picnic","camping"
"pilula","pilula","piluet","pirila","tablet","pill"
"ping","ding","dier","pies","ping","ding"
"piramide","egitura","egakura","piraelde","pyramid","structure"
"pirata","marinel","maeenel","pirald","pirate","sailor"
"pisu","luzera","utzera","pido","weight","height"
"pitzadura","ebaki","ebisi","pitzigura","tear","cut"
"piztia","animalia","angoalia","pikaia","beast","animal"
"planeta","ormito","rumito","rianeta","planet","orbit"
"plano","estrategia","estratuzia","zeano","plan","strategy"
"playboy","bolbora-ontzi","bonforaontzi","plrlboy","playboy","magazine"
"plazer","alaitasun","altetasun","ukazer","pleasure","joy"
"pobrezia","sufrimen","susmimen","pobrodia","poverty","misery"
"polit","polit","podat","pocat","pretty","beautiful"
"politikatu","oroaretasun","npoaretasun","militikatu","majesty","highness"
"poltsegi ere","agudo","agiwo","poltsegihyre","slowly","quickly"
"poltsiko","diruzorro","dirufurro","pobasiko","pocket","wallet"
"populazio","jende","jeole","polllazio","population","people"
"porlan","plastiko","utastiko","girlan","cement","plastic"
"porn","filme","fitse","poko","porn","movie"
"posta","farka","fauea","rista","mail","fax"
"pozik","zoriontsu","zorionaku","poork","satisfied","happy"
"pozoin","asasinatu","asashlatu","poigin","poison","kill"
"praktika","jardun","jateun","prentika","practice","exercise"
"premiazko","larrialdi","larriaori","prosiazko","urgent","emergency"
"prest","prestatu","prestari","priot","ready","prepare"
"prestakuntza","plangintza","planstntza","prestamintza","preparation","planning"
"prestatu","sukaldari-buru","sukaldaribumo","prestari","cook","chef"
"pribatu","barru-barruko","bautubarruko","prekatu","personal","intimate"
"pribatu","pribatutasun","prekatutasun","prekatu","private","privacy"
"pribilegio","ohore","ekore","pribilegor","privilege","honor"
"printzesa","printze","prottze","printzuka","princess","prince"
"probetxugarri","eraginkor","eragindir","probetxusirri","useful","effective"
"profil","deskribapen","deskribatrn","prinil","profile","description"
"proiektu","bitamina","bitatsna","proilotu","protein","vitamin"
"proiektu","programa","pribrama","proilotu","project","program"
"proposatu","iradokosten","iraditosten","propostuu","propose","suggest"
"protesta egin","erakustaldi","erakaztaldi","protestaaagin","protest","demonstration"
"prozesua","prozedura","prozedeka","preresua","process","procedure"
"publizitate","marketing","marketokg","puifizitate","advertising","marketing"
"pultsu","presio","preske","purisu","pulse","pressure"
"puzkailu","tutu malgu","tutudhalgu","purpailu","pump","hose"
"radar","satelite","ontelite","rator","radar","satellite"
"rodeo","beh> cowdoy","beh> cowsly","roelo","rodeo","cowboy"
"romeo","julet","juint","roklo","romeo","juliet"
"sagar","fruta","souta","sasir","apple","fruit"
"sagu","arratoi","arradai","sait","mouse","rat"
"sail","lerroalde","lerroaale","sarr","section","paragraph"
"saltzaile","erosle","erosam","sailzaile","seller","buyer"
"sandwich","hanburger","habaurger","sandwime","sandwich","hamburger"
"sare","sistema","sistzoa","sauz","network","system"
"sarjentu","untzi-teniente","untziteasente","saogentu","sergeant","lieutenant"
"sarrarazi","etorri","etoria","sailarazi","inspire","inspiration"
"sartu","bidaiatu","bitxiatu","bortu","enter","go"
"saskibaloi","zautoin","zauthnn","saogibaloi","basketball","football"
"segida","pasarte","paborte","segian","series","episode"
"segundu","ñimiño","ucmiño","segurtu","second","minute"
"seguru","seguru","segumo","segumo","safe","secure"
"sekula ez","inoiz","ingrz","sekuladyz","never","ever"
"sen","intuizio","inafizio","uan","instinct","intuition"
"senar","emazte","teazte","sezur","husband","wife"
"sendo","agentzia","rmentzia","seano","firm","agency"
"sendotasun","indar","intor","sergotasun","strength","force"
"senitarteko","lehengusu","leherousu","senirerteko","relative","cousin"
"sentsore","igantero","iganteen","sentsoli","sensor","transmitter"
"sexual","fisiko","fiduko","sermal","sexual","physical"
"sheria","alkate","tekate","ckeria","sheriff","mayor"
"sherlock","watsons","watsezs","shernick","sherlock","watson"
"sintoma","sindrome","sindazme","zontoma","symptom","syndrome"
"sobera","osagarri","oskearri","solura","extra","additional"
"sofa","ohe","iee","iffa","sofa","bed"
"software","ordenadore","ordenamdre","songware","software","computer"
"soilik","soil","rril","rrilik","simply","simple"
"solas egin","mintzatu","suntzatu","solaupegin","talk","speak"
"soldadu","gerrari","jarrari","sotradu","soldier","warrior"
"somor","mozkorti","mozkorue","yemor","sober","drunk"
"sorbalda","belaun","begiun","karbalda","shoulder","knee"
"sorgailu","erreaktore","erregotore","sorgaido","generator","reactor"
"sorkuntza","suntsipen","sunturpen","someuntza","creation","destruction"
"sortu","ekoitzi","ekoinei","dartu","create","produce"
"sufratzen","min","kon","sutuatzen","suffering","pain"
"superman","pilara","gulara","supeagan","superman","batman"
"sute","gar","ver","fete","fire","flame"
"suziri","misil","miael","suegri","rocket","missile"
"tabako","zigarro","zigaibo","tabari","tobacco","cigarette"
"taberna","jatetxe","jateale","tabepea","pub","restaurant"
"tailer","garaje","garalf","tailun","workshop","garage"
"tamaina","luze-labur","luzelabel","tamarma","size","length"
"tanta","zurrupatu","zurrenatu","ienta","drop","sip"
"tatuaje","ebakiondo","ebakawndo","tatuire","tattoo","scar"
"taxi","limoi","liumi","taim","taxi","limousine"
"tekniko","mekaniko","mekastko","tebriko","technical","mechanical"
"teknologia","zientzia","yrentzia","tenbologia","technology","science"
"telegrama","letra","leusa","telegreka","telegram","letter"
"teleskopio","mikroskopio","mikroskolto","teleskezio","telescope","microscope"
"tenplu","monastegi","monagregi","teeklu","temple","monastery"
"terapia","tratu","izatu","teratta","therapy","treatment"
"testigatu","lekukotza","lekukozia","testohatu","witness","testimony"
"testu","olerki","emerki","pistu","text","poem"
"tiro","jaurtiki","jaurxeki","xaro","shot","shoot"
"toki","logela","lotila","ieki","room","bedroom"
"tontor","azpi","azff","toskor","top","bottom"
"trebatu","autobus","autosis","trtiatu","train","bus"
"tresna","tresna","tresto","trzona","tool","instrument"
"trikimailu","txiste","txokte","trikimielu","trick","joke"
"tripulazio","untzi","unnei","tripulekio","crew","ship"
"trukatu","hobekuntza","hobelsntza","trnbatu","change","improvement"
"tumore","minbizi","miazizi","nemore","tumor","cancer"
"txakur","katu","artu","ntakur","dog","cat"
"txakurtegi","barruan","barraln","ntakurtegi","pound","dollar"
"txapeldun","ehiza-hegazkin","ehrgahegazkin","txapjudun","champion","fighter"
"txapelketa","berdindu","betxindu","txapaiketa","tournament","match"
"txartel","pasaporte","pasaburte","txarial","ticket","passport"
"txerriki","okela","okura","txerrioe","pork","meat"
"txertatu","jarri","serri","txintatu","insert","put"
"txiki","txiki","otiki","otiki","little","small"
"tximeleta","txori","txldi","txgueleta","butterfly","bird"
"tximino","gorila","gorire","tximoko","monkey","gorilla"
"txiro","aberats","abermas","txnko","poor","rich"
"txundigarri","zirraragarri","zirrtuagarri","txundisfrri","sensational","spectacular"
"txundigarri","alegiazko","aliziazko","txundisfrri","wonderful","fantastic"
"ubide","berriak","berrekk","rhide","channel","news"
"uda","negu","neoi","ega","summer","winter"
"udazken","erroiztu","erdriztu","zoazken","fall","collapse"
"ufo","airb","aité","eio","ufo","alien"
"ukatu","onetsi","uretsi","exatu","refuse","accept"
"ukuiluzain","emaztegai","emazbagai","ukuiozzain","groom","bride"
"umea","ume","rge","ndea","baby","child"
"umezurtz-etxe","ale","lde","umezurtzelde","orphanage","convent"
"une","adierazi","adpirazi","ire","point","indicate"
"unibertsitate","unibertsitate","uniberititate","uniberititate","college","university"
"unibertso","lalaxia","lapoxia","uniberazo","universe","galaxy"
"unitate","zatiketa","zauzketa","ositate","unit","division"
"urdail","kutxatzar","kutxerzar","urdami","stomach","chest"
"urduritasun","depresio","deusesio","amduritasun","stress","depression"
"urguilu","duintasun","dutxtasun","urwailu","pride","dignity"
"urpekuntzi","untzi","unnei","ampekuntzi","submarine","boat"
"urrezko","zilar","uelar","urrelao","golden","silver"
"urteurrena","urtebetetzea","urtebesttzea","urtezarena","anniversary","birthday"
"urtu","izoztu","izgitu","amtu","melt","freeze"
"urtxintxa","mapatxe","mafitxe","urtxinbia","squirrel","raccoon"
"washington","boston","bolion","waadington","washington","boston"
"xahupen","irion","irbrn","xakspen","waste","spend"
"xarma","politasun","pozetasun","xajea","charm","beauty"
"xigortu","urdai","urgei","xiturtu","toast","bacon"
"yogano","masaje","masads","yorrno","yoga","massage"
"zabor","zabor","zamur","zamur","trash","garbage"
"zahar","gazte","gaire","zaner","old","young"
"zain","arteria","interia","zari","vein","artery"
"zaindari","patruila","paipuila","zainekri","guard","patrol"
"zalantzatu","susmagarri","suicagarri","zalantzald","doubt","suspect"
"zalduneria","artilleria","artizieria","zatuuneria","cavalry","artillery"
"zaletasun","kirola","corola","zaistasun","hobby","sport"
"zamatu","kargamentu","kargamenik","zamada","load","cargo"
"zaparrada","bainugela","bainbaela","zapausada","shower","bathroom"
"zapore","usain","rbain","ropore","taste","smell"
"zapore oneko","oso gozo","osibgozo","zaporeltneko","tasty","delicious"
"zarata","osasuntsu","osaseltsu","zarald","noise","sound"
"zatiki","zati","zaue","zatipu","fragment","piece"
"zauritu","zauri","zatei","zauregu","wound","injury"
"zazkoki","profesional","prinesional","zazkiji","amateur","professional"
"zeharo","oso","eno","zehasg","extremely","very"
"zelatatu","traidore","traiozre","palatatu","spy","traitor"
"zenbaki","hitzaldi","hiapaldi","zenbisi","number","address"
"zenbatze","kalkulatu","kardulatu","zeolatze","count","calculate"
"zer","hura","hube","tur","what","that"
"zerbitzari","zerbitzari","zezaitzari","zeegitzari","waiter","waitress"
"zeregin","lan","hen","zehagin","job","work"
"zeregin","misio","rtsio","zehagin","task","mission"
"zeru","zerura","zegora","zemo","sky","heavenly"
"zesar","errome","erdame","tusar","caesar","rome"
"zeta","kotoi","koipi","lita","silk","cotton"
"zibil","militarra","politarra","zinal","civil","military"
"zigilu","sinadura","siondura","zisolu","stamp","signature"
"zigor","kartzelatze","kartzeaitze","ziour","penalty","imprisonment"
"zigortu","gelditu","gekoitu","ziklrtu","punish","arrest"
"zikin","nazkagarri","nazkiaarri","eekin","dirty","disgusting"
"zin egin","zin","xen","zisoegin","swear","oath"
"zine","antzerti","antzerue","zida","cinema","theater"
"zintzketa","exekutatu","exekplatu","zintañeta","hanging","execution"
"zio","alibi","alhri","oko","motive","alibi"
"zirkulu","triangelu","trtongelu","zitzulu","circle","triangle"
"zirraragarri","interesgarri","intereelarri","zirrtuagarri","exciting","interesting"
"zirritu","zulo","zusu","ziteitu","crack","hole"
"zizare","suge","suma","ziurre","worm","snake"
"zombi","banpera","bagoera","membi","zombie","vampire"
"zoologiko","zirku","ziapu","zoinogiko","zoo","circus"
"zopa","entsalada","entsztada","zost","soup","salad"
"zorigaitzeko","zoritxarrda","zoriazarrda","zoriatitzeko","unfortunate","misfortune"
