"eu_target","eu_cue","type","target_type","cue_type","eu_cosine"
"ikertu","nerabe","unrelated","word","word",0.0304300124136269
"txokolate","zaletasun","unrelated","word","word",0.202360489680004
"indargabe","erome","unrelated","word","word",NA
"babestu","lasai","unrelated","word","word",0.108608216435028
"portu","ezizen","unrelated","word","word",0.221673296436261
"zakil","babestu","unrelated","word","word",0.0435788737547129
"jokatzaile","birus","unrelated","word","word",NA
"erreskate","bi","unrelated","word","word",0.115417782432599
"preso","ukuiluzain","unrelated","word","word",NA
"bahitu","errub","unrelated","word","word",0.152671958814625
"ezezko","beherantz","unrelated","word","word",0.109356756731142
"errealista","jungla","unrelated","word","word",NA
"laga","lanpara","unrelated","word","word",0.308102076867335
"oniritzi","edalontzi","unrelated","word","word",0.22974095019798
"utzi","ezohiko","unrelated","word","word",0.0899396971254525
"hondoratu","limoi-edari","unrelated","word","word",NA
"bakarrik","espioitza","unrelated","word","word",0.13352542993338
"aireztapen","asalde","unrelated","word","word",NA
"salneurri","sarrarazi","unrelated","word","word",NA
"garrantzitsu","nazioarteko","unrelated","word","word",0.187770756787884
"marrubi","ikuskari","unrelated","word","word",NA
"finantzario","arerio","unrelated","word","word",0.233231239522673
"sinbolo","klan","unrelated","word","word",0.293352749834829
"inorri","eragozpen","unrelated","word","word",0.172052676297903
"tipula","kudeaketa","unrelated","word","word",NA
"gupida","bankari","unrelated","word","word",0.137801335684577
"barkatu","senitarteko","unrelated","word","word",NA
"kanpoko","finkatu","unrelated","word","word",0.187114506688999
"berezko","taxi","unrelated","word","word",0.121505745662134
"zentzugabe","playboy","unrelated","word","word",NA
"anker","zirraragarri","unrelated","word","word",0.173284809143228
"bulego nagusi","afari","unrelated","word","word",NA
"hiru","bazkide","unrelated","word","word",0.0505664277670077
"ustekaba ere","erle","unrelated","word","word",NA
"kopuru","beherako","unrelated","word","word",0.072471237956591
"komite","askatasuna","unrelated","word","word",0.226191750678967
"garai","oztopoak jarri","unrelated","word","word",NA
"goiko","esklabo","unrelated","word","word",0.034454840318297
"buruzagi","drama","unrelated","word","word",0.237142682003171
"belarri","monako","unrelated","word","word",0.109250006849451
"konfiantza","iturri","unrelated","word","word",0.15528416889872
"ebaluazio","erregimentu","unrelated","word","word",NA
"behar","ahalbidetu","unrelated","word","word",0.269109018653417
"alfonbra","azterketa","unrelated","word","word",0.0467767036289923
"goragale","ibilbidea","unrelated","word","word",0.237356778329083
"gora","ezer ez","unrelated","word","word",NA
"txerri","ordezkatu","unrelated","word","word",0.0380350659441764
"azken","anatomia","unrelated","word","word",0.139280870962145
"delitu","iltze","unrelated","word","word",0.153293229536849
"minusbi","asto","unrelated","word","word",NA
"benetako","nekatu","unrelated","word","word",0.0728162088532191
"laranja","kaliba","unrelated","word","word",NA
"bakar","ergel","unrelated","word","word",0.208110900237472
"klasiko","esan","unrelated","word","word",0.121223491676692
"promestu","artiflact","unrelated","word","word",NA
"segurtasun","konturatu","unrelated","word","word",0.0547829042347582
"hotzeri","erreal","unrelated","word","word",0.137906496213332
"tenperatura","armategi","unrelated","word","word",NA
"sendatu","kabi","unrelated","word","word",0.0326921657759889
"berretsi","estalki","unrelated","word","word",0.133038548265284
"mantenimendu","izena izan","unrelated","word","word",NA
"ez egote","zubi","unrelated","word","word",NA
"nonbait","auzitegi","unrelated","word","word",0.130039437080118
"txapel","kanpatu","unrelated","word","word",0.118907916011339
"etengabe","gorputz","unrelated","word","word",0.12475392450454
"betirako","herrialde","unrelated","word","word",0.164958731991172
"tragiko","jauregi","unrelated","word","word",0.152594933002043
"lau","saskibaloi","unrelated","word","word",0.178056301709419
"jokagoa egin","aukera","unrelated","word","word",NA
"liburu","ale","unrelated","word","word",0.150113492847927
"kontzertu","gose","unrelated","word","word",0.0296533462969478
"gidari","anabasa","unrelated","word","word",0.0772474295525568
"gogoa bildu","sendo","unrelated","word","word",NA
"funtsezko","errepide","unrelated","word","word",0.108852517104638
"leun","bildu","unrelated","word","word",0.126484891437814
"goiz","eraldagai","unrelated","word","word",NA
"handi","haserre","unrelated","word","word",0.101209999203888
"erromso","udazken","unrelated","word","word",NA
"erasotzaile","gona","unrelated","word","word",0.0967764652780967
"mutazio","zeharo","unrelated","word","word",0.214851900946377
"bildu","antidoto","unrelated","word","word",0.102591807115856
"bizar","egaluño","unrelated","word","word",NA
"iloba","deskribatzea","unrelated","word","word",NA
"bilera","azkenik","unrelated","word","word",0.0839164611640942
"biluzik","arrazista","unrelated","word","word",0.090507366124541
"-en inguru","sare","unrelated","word","word",NA
"infekzio","biblia","unrelated","word","word",0.248051623662018
"biziraun","izurri","unrelated","word","word",0.16715089568389
"hil","kultura","unrelated","word","word",0.091706228255022
"itzulera","urteurrena","unrelated","word","word",0.193077500565606
"admientsu","erosi","unrelated","word","word",NA
"amaraun","etako","unrelated","word","word",NA
"dinamatu","funtzionatu","unrelated","word","word",NA
"borondatez","kreditu","unrelated","word","word",0.190879061075512
"langile","giltza","unrelated","word","word",0.0984971550083608
"talentu","diamante","unrelated","word","word",0.201034429779386
"energia","bigun","unrelated","word","word",0.190839898343775
"prentsa","hegalabur","unrelated","word","word",NA
"paus","botere","unrelated","word","word",NA
"uste","hiztegi","unrelated","word","word",0.167060674823693
"aireportua","jangai","unrelated","word","word",NA
"tiratu","bordari","unrelated","word","word",NA
"metal","gela","unrelated","word","word",0.167564297711472
"lehertu","barkamen","unrelated","word","word",0.0676024229168826
"zerebal","dosi","unrelated","word","word",NA
"amultsu","erradio","unrelated","word","word",NA
"gizahilketa","heldu","unrelated","word","word",NA
"xukadera","prest","unrelated","word","word",NA
"inperio","baiezko","unrelated","word","word",0.127274403849074
"bidetsio","bolondres","unrelated","word","word",NA
"dantzatu","alaba","unrelated","word","word",0.115059957440556
"informazio","botoi","unrelated","word","word",0.171438599604586
"debekatu","ingeles","unrelated","word","word",0.180974488684051
"irakasle","gizon puska","unrelated","word","word",NA
"hornidura","apal","unrelated","word","word",0.17378641076207
"desatsegin","baxuagoa","unrelated","word","word",0.132205430250407
"adierazi","artikulu","unrelated","word","word",0.280675294960781
"ordutegi","zin egin","unrelated","word","word",NA
"bitxi","leku","unrelated","word","word",0.105797513544702
"ezkontza","gudukatu","unrelated","word","word",NA
"itsusi","liburutegi","unrelated","word","word",0.101582560967052
"iraizte","faltsutu","unrelated","word","word",NA
"graduatu","kabinete","unrelated","word","word",0.259941511913326
"grabazio","administrazio","unrelated","word","word",0.401381289562977
"abiadura","zio","unrelated","word","word",NA
"distiratsu","somor","unrelated","word","word",NA
"hatz-aztarna","xarma","unrelated","word","word",NA
"antzepegi","agindu","unrelated","word","word",NA
"eraikin","zalduneria","unrelated","word","word",NA
"injekzio","gidatu","unrelated","word","word",0.0517087437998401
"komedia","jeloskor","unrelated","word","word",0.05452891454147
"erromantiko","gas","unrelated","word","word",0.0254236013976631
"funtzional","zesar","unrelated","word","word",0.00444929296898113
"botila","gaur","unrelated","word","word",0.0483486945095212
"garagardo","geriza","unrelated","word","word",NA
"alai","irudimen","unrelated","word","word",0.0749444041618227
"trebetasun","bolbora","unrelated","word","word",0.221991373182176
"talde","baratxuri","unrelated","word","word",0.118688632918407
"egiaztatu","populazio","unrelated","word","word",0.248720630061441
"ezezagun","konkurrentzia","unrelated","word","word",NA
"egin","bat-batean","unrelated","word","word",NA
"benetan","jasan","unrelated","word","word",0.0410081125648205
"krisi","baroi","unrelated","word","word",0.134965086483955
"jarraiki","atomiko","unrelated","word","word",0.133784348719559
"bezero","tontor","unrelated","word","word",0.124564348297972
"berekoi","bukaerako","unrelated","word","word",0.0598934430643734
"asteko","sandwich","unrelated","word","word",0.155604243676643
"egutegi","maizter","unrelated","word","word",0.121628419347752
"mukizapi","soldadu","unrelated","word","word",NA
"uztail","bertan egote","unrelated","word","word",NA
"bidali","-en berri eman","unrelated","word","word",NA
"zuzendari","bizkor","unrelated","word","word",0.122626720587227
"finantzamendu","harrapakiak","unrelated","word","word",NA
"kapera","katoliko","unrelated","word","word",0.212668515802006
"emaitza","margotu","unrelated","word","word",0.073505725461446
"ministerio","antolatu","unrelated","word","word",NA
"zerbitzari","arima","unrelated","word","word",0.169385094311804
"uniforme","monumentu","unrelated","word","word",0.249621636137815
"froga","ezkutu","unrelated","word","word",0.157464921427204
"entzun","zabor","unrelated","word","word",0.144998475576821
"ahalegin","ito","unrelated","word","word",0.155277321049817
"hoztu","oilasko","unrelated","word","word",0.268092406511005
"erabat","eztul","unrelated","word","word",0.109385434663822
"ondorio","lapurreta","unrelated","word","word",0.0986453574701606
"jardun","murru","unrelated","word","word",NA
"geldialdi","gobernadore","unrelated","word","word",0.281613428367286
"erronka","biribil","unrelated","word","word",0.152281848782559
"eraiki","labur","unrelated","word","word",0.100187210815607
"xarmangarri","proiektu","unrelated","word","word",0.235738038280309
"zentzuzko","maiztasun","unrelated","word","word",0.132524549703948
"antzezpen","autopsia","unrelated","word","word",0.245857818283899
"ironiko","garaikur","unrelated","word","word",0.19373291072556
"zerga","pobrezia","unrelated","word","word",0.221697859159344
"erantzun","itxuroso","unrelated","word","word",NA
"iduneko","beste nonbait","unrelated","word","word",NA
"laurden","altxor","unrelated","word","word",0.0937683297821298
"prototipoa","erosi","unrelated","word","word",0.128451062516033
"mozolo","eroso","unrelated","word","word",0.105888008554415
"inurri","erabat","unrelated","word","word",0.161750901899713
"arrantza","magia","unrelated","word","word",0.1956144420354
"alarma","egoera","unrelated","word","word",0.180305533896217
"ergelkeria","tresna","unrelated","word","word",0.244792136683924
"txantaje","prozesua","unrelated","word","word",0.249195732346475
"saldu","jokatu","unrelated","word","word",0.0711355063218088
"atsegingarri","oroiaz","unrelated","word","word",NA
"perimetro","esangura","unrelated","word","word",0.310705197992311
"errakuntza","banana","unrelated","word","word",NA
"hauts","sagu","unrelated","word","word",0.290508161919397
"puru","zauritu","unrelated","word","word",0.0798075892653762
"erresuma","erre","unrelated","word","word",0.601723787663421
"fantasia","gutxietsi","unrelated","word","word",0.171828768032326
"arma","lurreratze","unrelated","word","word",0.0936462550723484
"iheslari","bizkar","unrelated","word","word",0.179101294380491
"batailoi","mendeku","unrelated","word","word",0.203697376625279
"errege","dna","unrelated","word","word",0.0747932286287155
"salmenta","orratz","unrelated","word","word",0.15645134573618
"errepide","kutsadura","unrelated","word","word",0.21576422982686
"aurreztu","baimendu","unrelated","word","word",0.132495571916195
"pistola","pentsio","unrelated","word","word",0.162443886182427
"estilo","pribatu","unrelated","word","word",0.300568065384533
"zeremonia","zain","unrelated","word","word",0.146362932889462
"cognac","ezagutarazte","unrelated","word","word",NA
"eskuzabal","lagundu","unrelated","word","word",0.214862426366571
"adierazpen","asto","unrelated","word","word",0.0560520987563102
"kontatu","irrikatu","unrelated","word","word",NA
"garrantzi","miretsi","unrelated","word","word",0.186349882722943
"eman","eztarri","unrelated","word","word",0.202700924534182
"esker","kontrolatu","unrelated","word","word",0.0908982781483549
"otsein","azaro","unrelated","word","word",NA
"lagundu","trikimailu","unrelated","word","word",0.0789070882545145
"hornitu","urtu","unrelated","word","word",0.301813931154883
"alde","txiki","unrelated","word","word",0.0587176818657258
"lokal","irtenda","unrelated","word","word",0.209251201486631
"aginte","fisika","unrelated","word","word",0.134789527131639
"zuku","errugai","unrelated","word","word",NA
"ezagutza","segida","unrelated","word","word",0.138668850650301
"saiatu","bat","unrelated","word","word",0.158946101726917
"sabotaje","enbaxada","unrelated","word","word",NA
"gudu-zelai","meket","unrelated","word","word",NA
"beisbol","ingurugiro","unrelated","word","word",NA
"larru","gehiengo","unrelated","word","word",0.0880670630536452
"gorbata","arau","unrelated","word","word",0.148407951323331
"oinaze","galdetu","unrelated","word","word",0.0951528905744119
"zabal","izen","unrelated","word","word",0.0288218288074321
"barruti","legebiltzar","unrelated","word","word",NA
"jarauntsi","aukera","unrelated","word","word",0.154073408516321
"diru-sarrerak","kikara","unrelated","word","word",NA
"destorbatu","marrazo","unrelated","word","word",NA
"kale","romeo","unrelated","word","word",0.156044841751749
"apartamentu","txakurtegi","unrelated","word","word",0.275558303608941
"elur","kilo","unrelated","word","word",0.160092148990024
"gorde","protesta egin","unrelated","word","word",NA
"atera","tximeleta","unrelated","word","word",0.0869634526022027
"ikuste","proiektu","unrelated","word","word",0.0958003996503413
"zerbait","ezabatu","unrelated","word","word",0.133229107313504
"nola izan","edari","unrelated","word","word",NA
"erraz","igel","unrelated","word","word",0.129090832411981
"deitura","berde","unrelated","word","word",0.114898250072123
"harrokeria","superman","unrelated","word","word",0.241785294972695
"eztei","miatu","unrelated","word","word",0.104105137203431
"armadura","esperimentu","unrelated","word","word",0.113463334343022
"arraro","orain","unrelated","word","word",0.181599217521776
"masaila","gora egin","unrelated","word","word",NA
"lurrin","yogano","unrelated","word","word",NA
"tramankulu","gauzaez","unrelated","word","word",NA
"aizto","azalpen","unrelated","word","word",0.127840347352708
"idun","behin","unrelated","word","word",NA
"gurin","marraskilo","unrelated","word","word",NA
"sukar","arazo","unrelated","word","word",0.107280272382735
"osagai","ikusmen","unrelated","word","word",0.342711119737714
"gezurrezko","nabigazio","unrelated","word","word",NA
"esakune","medikuntza-","unrelated","word","word",NA
"estatu","gorri","unrelated","word","word",0.00366192223886172
"gertaera","ubide","unrelated","word","word",0.194970791072741
"sinetsi","irakurtze","unrelated","word","word",NA
"eraspen","planeta","unrelated","word","word",NA
"erlijio","errauts","unrelated","word","word",0.192785298080348
"sentibera","burmuin","unrelated","word","word",0.203982228539501
"inbertitu","aurrekontu","unrelated","word","word",0.286565578858079
"konponketa","fase","unrelated","word","word",0.221114059181068
"matematika","pilula","unrelated","word","word",0.195522680796107
"sinatu","xigortu","unrelated","word","word",NA
"freskatu","magital","unrelated","word","word",NA
"kirurgia","miragarri","unrelated","word","word",0.0945519523103794
"opor","mugimendu","unrelated","word","word",0.17967825054749
"biologiko","testigatu","unrelated","word","word",NA
"gaixo","betierekoa","unrelated","word","word",0.0654360903853099
"banztatu","pairatu","unrelated","word","word",NA
"galdetu","hurakan","unrelated","word","word",NA
"garaile","burdin lehertu","unrelated","word","word",NA
"domina","iraupen","unrelated","word","word",0.263160451718689
"porrot","astun","unrelated","word","word",0.0603670401217548
"garbitu","asasino","unrelated","word","word",NA
"merke","denda","unrelated","word","word",0.297421738805966
"erregai","hezur","unrelated","word","word",0.178595397393398
"eztabaidatu","milioi","unrelated","word","word",0.187896452265345
"iluntze","bravo","unrelated","word","word",NA
"eguerlan","sheria","unrelated","word","word",NA
"atzo","ireki","unrelated","word","word",0.118089804840234
"baliorik gabe","trebatu","unrelated","word","word",NA
"haurtzaro","zeta","unrelated","word","word",0.182395470539715
"mezu","bukaera","unrelated","word","word",0.146460402493934
"ken","errefuxiatu","unrelated","word","word",0.116563032185061
"botoa eman","normalean","unrelated","word","word",NA
"kartzela","suziri","unrelated","word","word",0.220859738042272
"bizkar","nerbio","unrelated","word","word",0.162064637485626
"iluna","astronauta","unrelated","word","word",0.170281096761248
"iragana","eraginkor","unrelated","word","word",0.229899623637441
"azalera","irail","unrelated","word","word",NA
"iruzurti","anbulantzia","unrelated","word","word",0.179855370291146
"zamalkatu","erantzukizun","unrelated","word","word",0.194615732725368
"morroilo","umezurtz-etxe","unrelated","word","word",NA
"itxi","zeregin","unrelated","word","word",0.0746365979588326
"gibel","nabaritasun","unrelated","word","word",NA
"irakasle","mila","unrelated","word","word",0.0333744939464376
"elkarte","testu","unrelated","word","word",0.114477931777421
"gizaki","disko","unrelated","word","word",0.0810804340194733
"nortasun","ukatu","unrelated","word","word",0.0854059545442383
"jategona","automata","unrelated","word","word",NA
"grina","bandera","unrelated","word","word",0.160258056043526
"pentsatu","uda","unrelated","word","word",0.161692558040752
"gogor","orgasmo","unrelated","word","word",0.174997020903905
"tenis","harremanak","unrelated","word","word",0.103268744446365
"jantzi","orkestra","unrelated","word","word",0.176761409388318
"murriztu","janari","unrelated","word","word",0.185801981891653
"motore","industria","unrelated","word","word",0.197639834164611
"gorpu","seguru","unrelated","word","word",0.117159619723012
"horia","bilakaera","unrelated","word","word",0.242644151821432
"maite izan","gorrotatu","unrelated","word","word",NA
"egarri","alargun","unrelated","word","word",0.140593383885484
"polit","basati","unrelated","word","word",0.0679629726105168
"gaixotasun","ekonomikoki","unrelated","word","word",NA
"bataila","biloba","unrelated","word","word",0.204869607739373
"borroka","deseroso","unrelated","word","word",0.0898537699033337
"pakete","kutxa","unrelated","word","word",0.256108025307279
"gehienezko","kimika","unrelated","word","word",NA
"exageratu","jarraiki","unrelated","word","word",NA
"burutu","balio","unrelated","word","word",0.106709553992468
"mailu","jabetasun","unrelated","word","word",NA
"nahita","ezpain","unrelated","word","word",0.142677682845
"itzel","drato","unrelated","word","word",NA
"ekaitz","aitatxo","unrelated","word","word",0.138907677291783
"bahitzaile","plano","unrelated","word","word",NA
"adospen","isil","unrelated","word","word",NA
"jai","iritzia","unrelated","word","word",0.105405389148126
"etsipen","asuntu","unrelated","word","word",NA
"ernagarri","araketa","unrelated","word","word",NA
"sumin","txundigarri","unrelated","word","word",NA
"erpuru","bainugela","unrelated","word","word",NA
"hautespe","diploma","unrelated","word","word",NA
"abakando","kezkatsu","unrelated","word","word",NA
"ipar","eutsi","unrelated","word","word",0.172672055555158
"mendebaldeko","distantzia","unrelated","word","word",0.0846868255423851
"guraso","egonarri handiko","unrelated","word","word",NA
"etorri","zuzen","unrelated","word","word",0.166699671557516
"irteera","puzkailu","unrelated","word","word",NA
"hautseztatu","katea","unrelated","word","word",NA
"lehoi","hobari","unrelated","word","word",NA
"galtze","aingura","unrelated","word","word",0.10893305195961
"saltzor","ezpata","unrelated","word","word",NA
"nazio","estu","unrelated","word","word",0.118951128261021
"ospetsu","hilkutxa","unrelated","word","word",0.171369142971209
"garezur","eskualde","unrelated","word","word",NA
"ugerdo","ibai","unrelated","word","word",NA
"aste","epaitu","unrelated","word","word",0.146660222696419
"hilgarri","halabeharrez","unrelated","word","word",0.251479511830483
"hileta","jaurtitzaile","unrelated","word","word",0.212457902389515
"laugarren","mode","unrelated","word","word",NA
"epaitu","jendetza","unrelated","word","word",0.0747874148381415
"eskualde","emaitza","unrelated","word","word",0.259410631034465
"eztabaida","ezjakintasun","unrelated","word","word",0.259425752338466
"esaldi","tiro","unrelated","word","word",0.0853393667907555
"saria","herrikoi","unrelated","word","word",NA
"laino","atsegin","unrelated","word","word",0.133801918047505
"harmonia","ohiko","unrelated","word","word",-0.00911516565484761
"kostaldea","sorkuntza","unrelated","word","word",0.194187429907037
"hausketa","lakirio","unrelated","word","word",NA
"altzairu","egin-eginean","unrelated","word","word",NA
"adrenalina","urtxintxa","unrelated","word","word",0.27521072020233
"hornitu","ezkongai-aldi","unrelated","word","word",NA
"moten","bagina","unrelated","word","word",NA
"tornado","ekoizle","unrelated","word","word",0.355221498809457
"urrutiko","ezpain","unrelated","word","word",0.0762839359524449
"bete","bizkor","unrelated","word","word",0.00749519488978895
"laku","dimisioa","unrelated","word","word",0.0707089002003719
"bidezidor","zigor","unrelated","word","word",NA
"kotxe","egin","unrelated","word","word",0.167132534044866
"laguntzaile","gai kimiko","unrelated","word","word",NA
"antzezle","teknologia","unrelated","word","word",NA
"buelgo","nazional","unrelated","word","word",NA
"ezin hobe","forma","unrelated","word","word",NA
"teoria","arraia egin","unrelated","word","word",NA
"musker","sortu","unrelated","word","word",0.144145133103992
"an","iluntasun","unrelated","word","word",0.0240059094122004
"salto egin","batuketa","unrelated","word","word",NA
"jaialdi","atsedena","unrelated","word","word",0.162902833640128
"irakatsi","entseina","unrelated","word","word",NA
"irakasle","atxiki","unrelated","word","word",0.127921974813841
"koipeztatu","dekano","unrelated","word","word",NA
"ikasketa","tanta","unrelated","word","word",0.119802978803281
"topatu","kokatu","unrelated","word","word",0.424350825328524
"komislario","zine","unrelated","word","word",NA
"ikuskera","sentsore","unrelated","word","word",NA
"eguzki","senar","unrelated","word","word",0.108547707594869
"hortz","terapia","unrelated","word","word",0.127997007244619
"argi-urratze","garaitza","unrelated","word","word",NA
"arin","oraingo","unrelated","word","word",0.124268394361989
"atake","kontserbazio","unrelated","word","word",NA
"ahul","karrera","unrelated","word","word",0.0879602939403897
"ezkondu","giltzurrun","unrelated","word","word",0.144901840298435
"negozioak","digusting","unrelated","word","word",NA
"frantsesa","doilor","unrelated","word","word",0.179889964263769
"atmosfera","une","unrelated","word","word",0.228219834498001
"arkitekto","zenbaki","unrelated","word","word",0.205866733132789
"enperadore","garesti","unrelated","word","word",0.127390495456638
"garaipen","enbaxadore","unrelated","word","word",0.206307495969556
"urria","bikain","unrelated","word","word",0.0975269808236796
"laidotu","sartu","unrelated","word","word",NA
"idatzi","koilara","unrelated","word","word",0.111534355503586
"idazketa","plazer","unrelated","word","word",0.1772193417416
"eutsi","milia","unrelated","word","word",0.117230783721714
"hurbileko","software","unrelated","word","word",0.235557562008099
"itxiera","eredu","unrelated","word","word",0.211794277930784
"jarrera","gaztigu","unrelated","word","word",NA
"ahalki biziki","irteera","unrelated","word","word",NA
"telebista","guda","unrelated","word","word",0.0508569424354848
"axolagabe","jadanik","unrelated","word","word",0.202987429413823
"desira","higuingarri","unrelated","word","word",0.235529194693804
"barre","zeru","unrelated","word","word",0.196867360376548
"sarbide","egon","unrelated","word","word",0.140123997055185
"murtxikatu","fideltasun","unrelated","word","word",NA
"argazki","gizalege","unrelated","word","word",0.160643391936291
"sorgartasun","arte","unrelated","word","word",NA
"haluzinazio","eduki","unrelated","word","word",0.17072078275547
"isiltasun","lagun-talde","unrelated","word","word",NA
"misterio","estadio","unrelated","word","word",0.203449483353888
"ispilu","gizarte","unrelated","word","word",0.199342699356287
"igeri egin","aturan","unrelated","word","word",NA
"ozeano","itxaropen","unrelated","word","word",0.225869189462669
"flota","aurrealdeko","unrelated","word","word",NA
"gor","gutxienezko","unrelated","word","word",NA
"hobekien","zopa","unrelated","word","word",0.121843895286753
"itxaron","zigilu","unrelated","word","word",0.16374193924732
"konfiantza","taberna","unrelated","word","word",0.132461323513328
"prestu","erdi","unrelated","word","word",0.0827315991533003
"eskuarki","soilik","unrelated","word","word",NA
"izenburua","izu","unrelated","word","word",0.251428282565865
"telefono","huts","unrelated","word","word",0.0990576437405089
"kaleska","idazkari","unrelated","word","word",NA
"beldur","telegrama","unrelated","word","word",0.0649028468137838
"izutu","beti bait","unrelated","word","word",NA
"epidemikoa","bizirik","unrelated","word","word",NA
"jabea","zoologiko","unrelated","word","word",0.213479671410143
"lasai","marka","unrelated","word","word",0.113676671713399
"desberdin","alkohol","unrelated","word","word",0.174566098115019
"haurdunaldi","kritiko","unrelated","word","word",0.297596718449274
"bazkari","erakustazoka","unrelated","word","word",NA
"jan","batzorde","unrelated","word","word",-0.0258579375479899
"segika ibili","berrespen","unrelated","word","word",NA
"otso","banatz","unrelated","word","word",NA
"kopia","labe","unrelated","word","word",0.18408172721922
"gaztelu","dantzari","unrelated","word","word",0.185514762516076
"frankotiratzaile","kolonia","unrelated","word","word",NA
"gertatu","ebakuntza","unrelated","word","word",0.132538711409932
"ezbehar","minkultza","unrelated","word","word",NA
"musika","larunbat","unrelated","word","word",0.122299340440607
"kamioi","eraikuntza","unrelated","word","word",0.258758173382409
"zientzilari","txartel","unrelated","word","word",NA
"sumindu","premiazko","unrelated","word","word",0.151526085320879
"entzuleria","errifle","unrelated","word","word",NA
"koronel","kide","unrelated","word","word",0.322936894430756
"jo","sekula ez","unrelated","word","word",NA
"jarraitu","aukera","unrelated","word","word",0.0777464527980687
"joko","gogor","unrelated","word","word",0.222548698537831
"polit","kantitate","unrelated","word","word",0.177642286357828
"oihan","kamera","unrelated","word","word",0.216160760056051
"arrautza","eskerroneko","unrelated","word","word",NA
"armairu","jainko","unrelated","word","word",0.115222193513419
"burdin hari","zer","unrelated","word","word",NA
"bala","pribilegio","unrelated","word","word",0.174684935252874
"mikrofonoa","unibertso","unrelated","word","word",0.152128139242211
"hrinta","hil","unrelated","word","word",NA
"hautaketa","ahizpa","unrelated","word","word",0.0868399615157317
"herriska","behi","unrelated","word","word",NA
"ei buruz","sorbalda","unrelated","word","word",NA
"kalitate","d / marraz","unrelated","word","word",NA
"presidente","ikasle","unrelated","word","word",0.263447501331984
"zopa","laguntzak","unrelated","word","word",0.0518339271665353
"hidrogeni","zaparrada","unrelated","word","word",NA
"agiri","erremate","unrelated","word","word",NA
"entzute","aholku","unrelated","word","word",NA
"kapelu","patu","unrelated","word","word",0.180869986444295
"soka","mintzamen","unrelated","word","word",NA
"plater","arrakasta","unrelated","word","word",0.11321728857579
"kristau","baxu","unrelated","word","word",0.168781355928471
"kazetari","sherlock","unrelated","word","word",0.337816351175045
"politika","asko","unrelated","word","word",0.188488847156263
"jokatu","datuak","unrelated","word","word",0.162113065013876
"erabaki","aterpe","unrelated","word","word",0.104136320788018
"maonionesa","ezgaitasun","unrelated","word","word",NA
"urduri","apezpiku","unrelated","word","word",0.341129136683887
"lagun","bideratu","unrelated","word","word",0.0524291964732962
"kafe","nanbiri","unrelated","word","word",NA
"gramo","galtzaile","unrelated","word","word",0.200234099137288
"kontagailu","irekitze","unrelated","word","word",NA
"biologia","fidatu","unrelated","word","word",0.182350097184216
"doktore","mende","unrelated","word","word",0.100229992852037
"familia","aditu","unrelated","word","word",0.170569898856337
"diru","heroi","unrelated","word","word",0.218399264282705
"kontrazeinu","aurrerabide","unrelated","word","word",NA
"bidebanatze","bakarrik","unrelated","word","word",NA
"heroína","ahots","unrelated","word","word",NA
"kokaleku","printzesa","unrelated","word","word",0.0571813357107521
"transferitu","zarata","unrelated","word","word",0.202126328715878
"federazio","urduritasun","unrelated","word","word",0.268382103828852
"kapitain","trukatu","unrelated","word","word",0.115401074076193
"merkatari","helduera","unrelated","word","word",NA
"nahasketa","zizare","unrelated","word","word",0.145344511534637
"txapelketa","nahikoa","unrelated","word","word",0.0755762561780026
"mapa","lagundi","unrelated","word","word",NA
"lotune","biktima","unrelated","word","word",NA
"akordio","inbasio","unrelated","word","word",0.36023049949105
"maneiatu","markak","unrelated","word","word",0.17880990274518
"mantendu","odol","unrelated","word","word",0.0340707280706415
"liberal","dibortziatu","unrelated","word","word",0.187375551174791
"ulertu","alokatu","unrelated","word","word",0.130439464036303
"definizio","bikoitz","unrelated","word","word",0.214198379500041
"tronu","kuxkuxean ibili","unrelated","word","word",NA
"ibili","ufo","unrelated","word","word",NA
"elektrizitate","jaiotza","unrelated","word","word",0.121226113804462
"mailegu","estiratu","unrelated","word","word",NA
"saltsa","kilometro","unrelated","word","word",0.0708206692232603
"politiko","abeslari","unrelated","word","word",0.17814814006165
"administrazio","indartsu","unrelated","word","word",0.0863140989836913
"arrakasta","larri","unrelated","word","word",0.0931809967575682
"nagusi","eskolta","unrelated","word","word",0.149520796417648
"zibilizazio","artista","unrelated","word","word",0.304239788826743
"erradiazio","hatz","unrelated","word","word",0.200579952539647
"poltsa","mota","unrelated","word","word",0.066279897896968
"eskandalu","konpas","unrelated","word","word",0.164061276657108
"sutegi","probetxugarri","unrelated","word","word",NA
"luze","burusi","unrelated","word","word",NA
"ibar","giltzapore","unrelated","word","word",NA
"talde","ahaztu","unrelated","word","word",-0.017962371327726
"korporazio","hautagai","unrelated","word","word",NA
"sorospen","zintzketa","unrelated","word","word",NA
"sorotsi","ama","unrelated","word","word",NA
"e-a","dorre","unrelated","word","word",NA
"atlantiko","hilkor","unrelated","word","word",0.0737496606133257
"beita","etxe","unrelated","word","word",0.0604095933454885
"eguzki","mendebalde","unrelated","word","word",0.12271939927339
"errudun","porn","unrelated","word","word",NA
"kandela","zurrupatu","unrelated","word","word",0.278636437428943
"ekoizpen","leiho","unrelated","word","word",0.0472658882138018
"kriminal","atari","unrelated","word","word",0.214570681033479
"lapurreta","irriño","unrelated","word","word",NA
"lapurreta egin","malguki","unrelated","word","word",NA
