"no_target","no_cue","no_fake_cue","no_fake_target","en_cue","en_target"
"lykkelig","fornøyd","forsøvn","knivkelig","satisfied","happy"
"lykkes","få til","fåtulu","naskes","manage","succeed"
"lys","mørke","æreke","wis","darkness","light"
"lys","skinne","strine","wis","shine","bright"
"majones","ketchup","ronchup","majohaug","ketchup","mayonnaise"
"maksimum","minimum","minisint","maksilips","minimum","maximum"
"makt","styrke","spenke","maco","strength","force"
"maktesløs","hjelpeløs","hjelpemid","flyttesløs","helpless","powerless"
"maler","kunstner","drapsner","maene","artist","painter"
"måler","kilometer","stalmeter","mådig","kilometer","meter"
"måltid","mat","ept","unitid","food","meal"
"mamma","pappa","frypa","vitma","daddy","mum"
"manipulere","kontroll","kontrykk","warpplasmanipulere","control","manipulate"
"marinen","marine","makjenne","marisiko","marine","navy"
"markedsføring","reklame","reringme","marstrømføring","advertising","marketing"
"maskin","robot","rosko","masjer","robot","machine"
"massasje","yoga","løga","massaging","yoga","massage"
"matematikk","fysikk","fyseng","matemasjons","physics","mathematics"
"maur","bie","cke","maha","bee","ant"
"med vilje","ved et uhell","ved etlewild","med vikuyu","accidentally","intentionally"
"medalje","trofé","lysfé","merineje","trophy","medal"
"medaljong","gjenstand","gjenbrudd","medalsell","artifact","medallion"
"medfølelse","tålmodighet","sendemodighet","skapsfølelse","patience","compassion"
"mekanisk","teknisk","rasnisk","mekasjen","technical","mechanical"
"mel","korn","koms","exl","grain","flour"
"menneskelig","mann","maro","menuskikkelig","man","human"
"mennesker","befolkning","bekjenning","menulykker","population","people"
"mesterskap","konkurranse","kontrollranse","mesterhjem","competition","championship"
"metall","jern","jeie","mefilm","iron","metal"
"metalltråd","kabel","kalie","metallmelt","cable","wire"
"middagstid","midnatt","midtarr","midfulltid","midnight","noon"
"mikrofon","kamera","kameling","kjemrofon","camera","microphone"
"mikroskop","teleskop","telelåst","mikrorikt","telescope","microscope"
"mild","myk","ørk","mity","soft","gentle"
"militær","sivile","sitrolle","milihund","civil","military"
"milliard","million","miljern","millinikk","million","billion"
"minister","ambassadør","ambassalings","miskytter","ambassador","minister"
"minus","plus","yous","mitem","plus","minus"
"minutt","sekund","sekrim","mivitz","second","minute"
"mistenkt","tvil","hjil","miskreft","doubt","suspect"
"modig","noble","kønle","moven","noble","brave"
"mord","selvmord","selvvogn","mofi","suicide","murder"
"morder","morder","stader","stader","killer","murderer"
"morfin","aspirin","suitrin","morbys","aspirin","morphine"
"morgen","i morgen","i morold","bilgen","tomorrow","morning"
"mørk","skygge","pingge","møci","shadow","dark"
"morsom","vittig","armtig","mormes","witty","funny"
"motbydelig","skitne","seksne","kirkebydelig","dirty","disgusting"
"møte","konferanse","streiferanse","tote","conference","meeting"
"møte","se","cr","tote","see","meet"
"motell","hotell","hotrer","motrer","hotel","motel"
"motor","tank","tair","modes","tank","engine"
"motsetning","motsatte","landsatte","motsetsjon","opposite","contrary"
"motstander","fiende","sterde","motgiftder","enemy","opponent"
"mulighet","sjanse","spikse","muterthet","chance","possibility"
"museum","bibliotek","bikamptek","musenior","library","museum"
"musiker","sanger","redger","musitron","singer","musician"
"musikk","jazz","jaaf","mustad","jazz","music"
"muskel","nerve","trive","porkel","nerve","muscle"
"mutasjon","utvikling","utvikrams","mutalent","evolution","mutation"
"myndighetene","administrasjon","administralandsk","gjestedighetene","administration","government"
"mysterium","hemmelig","kortmelig","svineterium","secret","mystery"
"nåde","tilgivelse","ferengivelse","lude","forgiveness","mercy"
"naken","naken","nazis","nazis","nude","naked"
"nakke","hals","omls","tufke","throat","neck"
"nasjon","land","labo","nalist","country","nation"
"nederlag","seier","bomer","nederstil","victory","defeat"
"negativ","positivt","posikans","negaport","positive","negative"
"nervøs","bekymret","bevannret","neryal","worried","nervous"
"nese","munn","muss","esse","mouth","nose"
"nevø","barnebarn","barneskin","nejj","grandson","nephew"
"nippe","miste","rekte","idope","drop","sip"
"nødsituasjon","som haster","som harest","nødsituafield","urgent","emergency"
"noe","ingenting","ingenkval","hne","nothing","something"
"noensinne","aldri","oppri","snifsinne","never","ever"
"nord","sør","tér","novi","south","north"
"normal","sunn","supi","norhen","healthy","normal"
"nuclear","atomisk","atçaisk","mccluar","atomic","nuclear"
"nydelig","velsmakende","velkjentkende","nyderens","tasty","delicious"
"nyheter","kanal","kaden","nyheming","channel","news"
"nylig","bare","pere","nyope","just","recently"
"oberst","generell","genebære","aperst","general","colonel"
"observere","skjerm","skjepp","obkrigsvere","screen","monitor"
"ødeleggelse","opprettelse","oppfolketelse","sinnsleggelse","creation","destruction"
"offisielt","offisielt","offisilands","offisilands","officially","official"
"ofte","noen ganger","noen gacovs","jete","sometimes","often"
"øgle","frosk","frilk","ltle","frog","lizard"
"oksygen","luft","luvo","oksyklub","air","oxygen"
"oktober","september","whittember","oktograf","september","october"
"øl","drikke","hackke","gn","drink","beer"
"olje","kull","kuty","kkje","coal","oil"
"om","ute","ase","ys","out","about"
"omkrets","radius","radigert","omkjørt","radius","perimeter"
"opp","ned","hyd","agp","down","up"
"oppdrag","oppgave","dagsgave","oppbarn","task","mission"
"opptreden","forestilling","vannstilling","balltreden","show","performance"
"oransje","grønn","groon","trigsje","green","orange"
"øre","øye","ahe","nie","eye","ear"
"organisere","arrangere","artistsgere","orgaprestesere","arrange","organize"
"ost","brød","brmb","øtt","bread","cheese"
"øst","vest","omst","rdt","west","east"
"overdrive","undervurdere","underiblantdere","selvdrive","underestimate","exaggerate"
"overføre","bevege seg","bevegecains","krigføre","move","transfer"
"overleve","bo","ks","skalleve","live","survive"
"øverste","nedre","turre","sterkte","lower","upper"
"pakke","konvolutt","konvotics","søske","envelope","package"
"pappa","onkel","onrie","ondpa","uncle","dad"
"paranormal","overnaturlig","martinaturlig","flernormal","supernatural","paranormal"
"parfyme","leppestift","luktestift","metafyme","lipstick","perfume"
"parti","resepsjon","reseptisk","disti","reception","party"
"partikkel","saken","sasjo","partiktikk","matter","particle"
"pass","billett","bilverk","pact","ticket","passport"
"passord","kode","mede","passkan","code","password"
"patetisk","elendig","penddig","paterets","miserable","pathetic"
"patrulje","vakt","skkt","parineje","guard","patrol"
"penger","penger","masger","matger","cash","money"
"penis","vagina","vasjonna","pefar","vagina","penis"
"penn","papir","pasyk","fann","paper","pen"
"perfekt","ideell","lipell","pervant","ideal","perfect"
"periode","fase","arse","peripor","phase","period"
"personlighet","karakter","kachester","peretterlighet","character","personality"
"personvern","privat","prilup","persontopp","private","privacy"
"perspektiv","utsikt","utslip","perfarttiv","view","perspective"
"pille","tablett","nielett","blale","tablet","pill"
"pilot","astronaut","astrosofa","pimie","astronaut","pilot"
"planlegger","forberedelse","forberethrickse","bryllegger","preparation","planning"
"plassering","plass","måass","speisering","place","location"
"plast","sement","sekven","måast","cement","plastic"
"plausible","forklaring","forklamert","vanesible","explanation","plausible"
"plikt","ansvar","anhead","plelt","responsibility","duty"
"plukke ut","velge","minge","plukkehed","choose","select"
"plystre","horn","hoov","blottre","horn","whistle"
"poker","gambling","gamblods","polis","gambling","poker"
"politiker","politikk","polinert","politisjist","policy","politician"
"politikk","journalistikk","fargenalistikk","polinert","journalism","politics"
"politisk","kritisk","meltisk","polisens","critical","political"
"port","portal","uuttal","jært","portal","gate"
"posisjon","status","stasak","posident","status","position"
"praktisk talt","bokstavelig","bokkrigsvelig","praktisktrust","literally","practically"
"preken","tale","bole","dekken","speech","sermon"
"premie","nobel","norom","pretro","nobel","prize"
"president","kansler","knirler","presiwood","chancellor","president"
"press","puls","mals","prtts","pulse","pressure"
"prest","munk","muii","pralt","monk","priest"
"prins","prinsesse","charsesse","prees","princess","prince"
"pris","verdi","bildi","whis","value","price"
"problem","problemer","prostammer","proenes","trouble","problem"
"produksjon","fabrikk","fabkins","produkkert","factory","production"
"produkt","merke","gamke","probatt","brand","product"
"produsere","skape","kolpe","lokkedusere","create","produce"
"profesjonell","amatør","leitør","profesjoplass","amateur","professional"
"professor","dekanus","dekaplan","profesvest","dean","professor"
"program","prosjekt","prostrek","proming","project","program"
"protokoll","regel","redak","protonyrd","rule","protocol"
"prototype","modell","morets","protorykk","model","prototype"
"psykologi","anatomi","jordtomi","hundekologi","anatomy","psychology"
"psykologisk","medisinsk","medistick","psykolobrudd","medical","psychological"
"publikum","publikum","publibein","øyenlikum","crowd","audience"
"rådgi","råd","fyd","murgi","advice","advise"
"rakett","rakett","rawell","raseng","rocket","missile"
"ran","tyveri","skriveri","orn","theft","robbery"
"rane","stjele","sjakle","kine","steal","rob"
"rar","uvanlig","finnlig","jær","unusual","strange"
"raseri","sinne","knene","fengseri","anger","rage"
"raskt","sakte","apote","raont","slowly","quickly"
"reaktor","generator","generaments","reaksjen","generator","reactor"
"realistisk","optimistisk","optimiskredi","realisbury","optimistic","realistic"
"redusere","øke","ize","skrivesperredusere","increase","reduce"
"regissør","produsent","produbrev","regisdelt","producer","director"
"regne ut","telle","frole","regnecro","count","calculate"
"rekkefølge","kommando","kompseudo","sprekfølge","command","order"
"religion","filosofi","filosobrudd","relisorg","philosophy","religion"
"reparere","fastsette","stemsette","skrivesperreparere","fix","repair"
"restaurant","pub","ibb","restaudets","pub","restaurant"
"rettferdighet","hevn","heté","fiskeferdighet","revenge","justice"
"rettssaken","hørsel","trysel","brannsaken","hearing","trial"
"ri","kjøre","chare","cr","drive","ride"
"rik","fattige","spektige","lsk","poor","rich"
"rikdom","skatt","skypt","gundom","treasure","wealth"
"rike","royal","roerl","risi","royal","kingdom"
"riktig","feil","feus","snotig","wrong","correct"
"rimelig","rettferdig","atomferdig","rimetall","fair","reasonable"
"rolig","stille","leiele","robai","quiet","calm"
"roma","caesar","caestw","rono","caesar","rome"
"romantisk","dramatisk","dramasjon","romanches","dramatic","romantic"
"rømling","flyktning","forutning","fonling","refugee","fugitive"
"romvesen","ufo","cto","luftvesen","ufo","alien"
"rotere","sving","raing","spiltere","turn","rotate"
"rotte","mus","iks","lemte","mouse","rat"
"rovdyret","bytte","nente","kinndyret","prey","predator"
"rundt","rund","cond","ruart","round","around"
"rustning","skjold","skjone","klatning","shield","armor"
"rute","kalender","katarrder","dite","calendar","schedule"
"rykte","karriere","livsriere","tiste","career","reputation"
"sabotasje","spionasje","goldnasje","sabotalings","espionage","sabotage"
"salat","suppe","tynpe","sasis","soup","salad"
"salg","auksjon","rydsjon","saru","auction","sale"
"samfunnet","samfunn","samcans","samsvarnet","society","community"
"samle","samle inn","samgening","forle","collect","gather"
"samurai","ninja","gesja","samunics","ninja","samurai"
"sand","søle","glle","sabi","mud","sand"
"sang","album","alech","saro","album","song"
"sannsynlig","sannsynlighet","brystsynlighet","golfsynlig","probability","likely"
"sannsynligvis","kan være","kan vcans","herresynligvis","maybe","probably"
"satellitt","radar","raply","satelhånd","radar","satellite"
"saus","krem","krur","sace","cream","sauce"
"se","se","cr","cr","look","watch"
"seile","anker","antyd","horle","anchor","sail"
"selge","kjøpe","chape","kange","buy","sell"
"selskap","selskap","kanskap","diaskap","company","corporation"
"selvopptatt","sta","owa","selvoppsjer","stubborn","selfish"
"senatet","stortinget","agustinget","senappin","parliament","senate"
"senator","guvernør","guversell","senalist","governor","senator"
"sende","bringe","dropge","carde","bring","send"
"sender","sensor","sencan","forder","sensor","transmitter"
"seng","sofa","soev","seru","sofa","bed"
"seremoni","ritual","ritusjon","serespektni","ritual","ceremony"
"servitør","kelner","liener","servifull","waiter","waitress"
"setning","ord","nyd","pudning","word","sentence"
"sette","sett inn","settoonn","honte","insert","put"
"sette pris på","beundre","beslutre","mcclu pris på","admire","appreciate"
"sigar","røyk","røxy","simel","smoke","cigar"
"sigarett","tobakk","tobone","sigaslag","tobacco","cigarette"
"signal","frekvens","frestans","valnal","frequency","signal"
"signatur","stemple","skjemle","signaking","stamp","signature"
"sikkerhet","sikkerhet","sikkerspil","sikkerspil","security","safety"
"sikre","sikker","velker","korre","safe","secure"
"sint","sjalu","koplu","evnt","jealous","angry"
"sirkus","dyrehage","dyredant","sirdia","zoo","circus"
"siste","først","earst","angte","first","last"
"sitt","stå","gfå","sira","stand","sit"
"sivilisasjon","kultur","fagtur","sivilisalandsk","culture","civilization"
"sjåfør","passasjer","passatatt","båtfør","passenger","driver"
"sjarmerende","attraktivt","attrakbeid","pornomerende","attractive","charming"
"sjef","sjef","sjok","sjvd","manager","boss"
"sjelden","av og til","encog til","bullden","occasionally","rarely"
"sjenerøs","medfølende","skapsfølende","charnerøs","compassionate","generous"
"sjokolade","sukker","hamker","kongekolade","sugar","chocolate"
"sjømann","sjørøver","gullrøver","mermann","pirate","sailor"
"skade","sår","clr","kolde","wound","injury"
"skandale","sladder","klynder","krysdale","gossip","scandal"
"skap","kabinett","kabisarr","sken","cabinet","closet"
"skapning","monster","åndster","stumning","monster","creature"
"skilpadde","snegl","ludgl","woodpadde","snail","turtle"
"skilt","form","foså","isilt","form","sign"
"skip","mannskap","lekeskap","skyl","crew","ship"
"skitten","ekkel","eksak","sverten","nasty","filthy"
"skje","skje","vaje","vaje","occur","happen"
"skjebne","skjebne","skulpne","skildne","fate","destiny"
"skjegg","hår","jær","skjeam","hair","beard"
"skjønnhet","sjarm","blarm","tredjehet","charm","beauty"
"sko","støvel","fikvel","hio","boot","shoe"
"skog","jungel","gasgel","skil","jungle","forest"
"skole","klasse","feltse","klale","class","school"
"skremme","skremme","startme","sengeme","scare","frighten"
"skrive","lese","esse","hardve","read","write"
"skriving","lesning","camning","sideving","reading","writing"
"skuespiller","forfatter","foreninter","prisspiller","author","actor"
"skuffelse","overraskelse","banderaskelse","flagfelse","surprise","disappointment"
"skulle ønske","ønske","lapke","fullas ønske","desire","wish"
"skummel","skummelt","skumteam","sjarmel","scary","creepy"
"skyldig","uskyldig","skulpdig","røykdig","innocent","guilty"
"skyte","skudd","vaudd","tekte","shot","shoot"
"slag","krig","oiig","slul","war","battle"
"slagmark","arena","hadna","skormark","arena","battlefield"
"slange","pumpe","metpe","blokge","pump","hose"
"slange","mark","mame","blokge","worm","snake"
"slåss","kamp","kape","slans","combat","fight"
"slikke","suge","pege","beckke","suck","lick"
"slips","binde","fyrde","sleys","bind","tie"
"smerte","lidelse","litikkse","pleite","suffering","pain"
"smør","honning","tjening","smhy","honey","butter"
"snakke","snakke","sveike","banske","talk","speak"
"snikskytter","skytespill","kaffespill","flamskytter","shooter","sniper"
"snø","regn","rema","jrø","rain","snow"
"soda","limonade","bestemonade","pada","lemonade","soda"
"sol","måne","plne","eal","moon","sun"
"solar","lunar","lufel","sorik","lunar","solar"
"soloppgang","solnedgang","solnedslak","soloppders","sunset","dawn"
"sølv","gylden","hauden","søgd","golden","silver"
"som regel","naturlig","nabøyelig","som rhugg","naturally","generally"
"søndag","lørdag","brådag","latdag","Saturday","Sunday"
"sonde","kapsel","skisel","fikde","capsule","probe"
"sone","område","omkledde","solu","area","zone"
"sønn","datter","bufter","søss","daughter","son"
"søppel","søppel","søpmos","søpkar","trash","garbage"
"søt","søt","glt","uet","sweet","cute"
"sove","hvile","kaule","solv","rest","sleep"
"soverom","rom","imm","sovepil","room","bedroom"
"spaghetti","lasagne","lahjørne","spahalvti","lasagna","spaghetti"
"spaser","lur","jær","horser","nap","stroll"
"speil","speilbilde","gjestbilde","kleil","reflection","mirror"
"spektakulær","oppsiktsvekkende","oppsiktsvekmathilde","vernetakulær","sensational","spectacular"
"spent","stolt","stdot","spict","proud","excited"
"spesialist","ekspert","eksrell","spesiawood","expert","specialist"
"spill","spille","åpenle","sperl","play","game"
"spiller","trener","tredob","knivler","coach","player"
"spise","mate","kete","kapse","feed","eat"
"spørre","spørsmål","salgsmål","quarre","question","ask"
"sport","hobby","honny","speet","hobby","sport"
"sprøyte","nål","etl","stripte","needle","syringe"
"stå imot","motstand","derstand","stå sjeg","resistance","resist"
"stadig","bestandig","begyntdig","stavel","always","constantly"
"stål","betong","behand","stfu","concrete","steel"
"stasjon","plattform","akuttform","missjon","platform","station"
"stat","føderal","fødenist","støp","federal","state"
"statue","monument","monuerer","stanym","monument","statue"
"stearinlys","lampe","winpe","trigrinlys","lamp","candle"
"stein","stein","sttan","stann","rock","stone"
"stemme","flertall","snortall","fastme","majority","vote"
"sterkt","fast","ldst","sterbo","firmly","strongly"
"sti","rute","aste","dji","route","path"
"stil","rytme","gafme","stea","rhythm","style"
"stillhet","stille","leiele","streihet","silent","silence"
"stjerne","kjendis","kjennan","sjakkne","celebrity","star"
"stol","bord","omrd","sthi","table","chair"
"stoppe","forhindre","forbløfre","tonepe","prevent","stop"
"storm","vind","viks","staim","wind","storm"
"støv","aske","asma","stås","ash","dust"
"støvete","rusten","lanten","blanvete","rusty","dusty"
"stråling","forurensning","forfruktning","portling","contamination","radiation"
"strategi","plan","nean","blantegi","plan","strategy"
"streik","truffet","boulfet","streya","hit","strike"
"struktur","pyramide","pyrasvarsde","sjekktur","pyramid","structure"
"studere","undersøkelser","undersøførsteser","mengdere","research","study"
"stygg","digusting","vicksting","stlig","digusting","ugly"
"stykke","fragment","grenment","saumke","fragment","piece"
"sulten","trett","alett","dødten","tired","hungry"
"svak","sterk","stusk","svhy","strong","weak"
"svangerskap","fødsel","detsel","kickgerskap","birth","pregnancy"
"svare","svar","svit","dokre","answer","reply"
"svart","hvit","pyit","svndt","white","black"
"svømme","drukne","æresne","strame","drown","swim"
"syk","jeg vil","jegwill","alk","ill","sick"
"sykdom","influensa","instinkensa","kjedom","flu","disease"
"symbol","flagg","flopg","chebol","flag","symbol"
"syn","åpenbaring","flambaring","tín","revelation","vision"
"syndrom","symptom","symperb","syndekk","symptom","syndrome"
"synes at","ta i betraktning","ta i betraegoire","synesaur","consider","think"
"synke","toalett","birlett","møkke","toilet","sink"
"system","nettverk","nettlett","syslon","network","system"
"ta bort","eliminere","skyteminere","tacwort","eliminate","remove"
"tåke","sky","vay","løke","cloud","fog"
"takke","takknemlig","hoffnemlig","sexke","grateful","thank"
"takknemlighet","gjestfrihet","homsefrihet","pølsenemlighet","hospitality","gratitude"
"talent","potensiell","potensigurur","tagets","potential","talent"
"tallerken","bolle","faile","taletikken","bowl","plate"
"tann","spiker","belker","tayl","nail","tooth"
"tau","kjede","surde","hru","chain","rope"
"team","liga","lifi","diam","league","team"
"teater","kino","kidé","vikter","cinema","theater"
"tegne","maling","matikk","wiene","paint","draw"
"teknikk","metode","memengde","grunikk","method","technique"
"telefon","anrop","anart","telebrød","call","telephone"
"temperatur","varme","tisme","chrisperatur","heat","temperature"
"tenåring","tenåring","tentrekk","tentrekk","teenage","teenager"
"tennis","golf","sulf","tenfar","golf","tennis"
"teori","idé","ézé","teiii","idea","theory"
"teppe","gulv","guyr","muepe","floor","carpet"
"test","eksperiment","eksperikards","tegi","experiment","test"
"tiår","århundre","årsøstre","tilow","century","decade"
"tidlig","sent","jont","vurlig","late","early"
"tillit","respekt","retrikt","tilsam","respect","confidence"
"tilstå","innrømme","inngullme","tilbus","admit","confess"
"tilstrekkelig","nok","awk","tilholdskelig","enough","sufficient"
"tiltrekke","merk følgende","spion følgende","tilstanke","attention","attract"
"timer","detonator","detonazepam","tikan","detonator","timer"
"tirsdag","mandag","mankow","karadag","monday","tuesday"
"tittel","navn","nalv","andtel","name","title"
"tjener","slave","yndve","lomner","slave","servant"
"tomat","potet","polis","toder","potato","tomato"
"tommel","finger","karger","mesmel","finger","thumb"
"torden","lyn","pun","kriden","lightning","thunder"
"tornado","orkan","ornoe","framnado","hurricane","tornado"
"tørst","sult","succ","acrst","hunger","thirst"
"tortur","pine","gyne","mastur","torment","torture"
"tradisjonell","moderne","mokratne","tradisjoplass","modern","traditional"
"tragisk","lei seg","lewsseg","lergisk","sad","tragic"
"tre","busk","hosk","cle","bush","tree"
"tre","en","cr","cle","one","three"
"trenge","nødvendig","sykevendig","horege","necessary","need"
"trening","øve på","øvehik","våkning","practice","exercise"
"triangel","sirkel","donkel","trianalfa","circle","triangle"
"trippel","dobbelt","dobborg","tripsar","double","triple"
"tro","håp","ørp","lio","hope","faith"
"tro","tillit","tilmad","lio","trust","believe"
"trofast","lojal","lorix","trofugl","loyal","faithful"
"trone","krone","sukne","vogne","crown","throne"
"trykk","knapp","dorpp","trøyk","button","press"
"tungt","tung","tupe","tuått","heavy","heavily"
"tunnel","bro","lfo","glanel","bridge","tunnel"
"tvist","konflikt","konskikk","edist","conflict","dispute"
"tygge","svelge","skroge","fasge","swallow","chew"
"tykk","tynn","tyss","tyai","thin","thick"
"tyrkia","kylling","nanling","clokia","chicken","turkey"
"uansvarlig","urimelig","svarmelig","uanfentlig","unreasonable","irresponsible"
"ubehagelig","ubehagelig","transhagelig","transhagelig","uncomfortable","unpleasant"
"uke","måned","måmit","zie","month","week"
"ukentlig","daglig","ordlig","skrenlig","daily","weekly"
"ukjent","anonym","anoloy","ukarnt","anonymous","unknown"
"ultimat","endelig","enderens","ultiårin","final","ultimate"
"ulv","bjørn","ddørn","kov","bear","wolf"
"ulykke","hendelse","hensynsse","eggeke","incident","accident"
"ulykke","uheldig","flekdig","eggeke","unfortunate","misfortune"
"unable","manglende evne","manglendecover","uvetle","inability","unable"
"undersøke det","undersøke","unskyldsøke","undersøkestorff","examine","investigate"
"undersøkelse","undersøkelse","undersøalphonse","undersøalphonse","examination","inspection"
"ung","gammel","lovmel","agg","old","young"
"uniform","skilt","skett","kjøform","badge","uniform"
"unik","spesiell","spesigang","trik","special","unique"
"universitet","høyskole","blodskole","kjøttversitet","college","university"
"unnskyldning","tilgi","lergi","unnstengning","forgive","excuse"
"urettferdig","urettferdighet","slåssferdighet","førtiferdig","injustice","unfair"
"urin","blod","blig","okin","blood","urine"
"utdanning","helse","hejee","utdanvers","health","education"
"uteksamineres","diplom","dielen","uteksaminebichaud","diploma","graduate"
"utfall","resultat","resullins","utsolg","result","outcome"
"utfordring","hindring","rensring","utsparring","obstacle","challenge"
"utpressing","bestikkelse","bekjentkelse","utpresløst","bribe","blackmail"
"utruste","utstyr","utskin","utvoldte","equipment","equip"
"utstilling","galleri","jernleri","uttrykling","gallery","exhibition"
"uttalelse","kommentar","kommenfest","uttasjonsse","comment","statement"
"uttrykk","ordbok","ordtem","uttroll","dictionary","phrase"
"uttrykke","beskrive","betjenve","utvekske","describe","express"
"utvendig","innvendig","innflytdig","utbruddig","internal","external"
"utvikling","framgang","framders","utvikrams","progress","development"
"uventet","plutselig","hνorselig","jævetet","suddenly","unexpectedly"
"væpne","hånd","håas","dårne","hand","arm"
"væske","væske","uvake","semke","liquid","fluid"
"vakker","ganske","kaitke","temker","pretty","beautiful"
"vaksine","antidot","antinil","drømsine","antidote","vaccine"
"valg","kampanje","villpanje","vaap","campaign","election"
"vampyr","zombie","guibie","vambun","zombie","vampire"
"vanilje","kanel","kaant","valentje","cinnamon","vanilla"
"vanlig","vanlig","turlig","borlig","ordinary","usual"
"vanligvis","normalt","norways","ståeligvis","normally","usually"
"våpen","pistol","pishen","vådig","pistol","weapon"
"våpen","rifle","wonle","vådig","rifle","gun"
"varebil","tilhenger","tilsideger","varesje","trailer","van"
"vask","ren","orn","ensk","clean","wash"
"vaskebjørn","ekorn","uporn","kongebjørn","squirrel","raccoon"
"våt","tørke","rævke","ect","dry","wet"
"vedlikehold","service","servent","vedlikeriene","service","maintenance"
"vedlikeholde","bevare","betjenre","førstelikeholde","preserve","maintain"
"veiviseren","magic","makur","statsviseren","magic","wizard"
"veldig","ekstremt","eksgrønt","vellyk","extremely","very"
"velgeren","kandidat","feildidat","kryogeren","candidate","voter"
"venn","kollega","langlega","vess","colleague","friend"
"vennlig","høflig","rytlig","voldlig","polite","friendly"
"vennskap","forhold","forflyt","franskap","relationship","friendship"
"venstre","ikke sant","ikkepants","verdsre","right","left"
"ventilasjon","ventil","lovtil","ventilaments","valve","ventilation"
"venus","mars","maor","verys","mars","venus"
"verden","internasjonal","inplancinasjonal","studen","international","world"
"verdig","fortjene","forspione","bildig","deserve","worthy"
"verdighet","stolthet","klosthet","verdigring","pride","dignity"
"verdiløs","ubrukelig","lazakelig","partiløs","useless","worthless"
"vestlig","sør-","ñor","vestkys","southern","western"
"vet","nå","dé","jöt","now","know"
"vev","hud","ødd","tav","skin","tissue"
"video","dvd","jød","vibon","dvd","video"
"viktig","verdifullt","verdisinsk","teatig","valuable","important"
"vinne","gevinst","getiskt","spene","gain","win"
"vinner","taper","taene","vindus","loser","winner"
"vinter","sommer","galmer","høyter","summer","winter"
"virksomhet","industri","inducutt","tjuvsomhet","industry","business"
"visste det","kjenne igjen","cherue igjen","visstetulu","recognize","knew"
"vitamin","protein","protale","vitaburg","protein","vitamin"
"vitenskap","teknologi","kongenologi","vitentens","technology","science"
"vitnesbyrd","vitne","armne","vitnesnoge","witness","testimony"
"vits","triks","kviks","ents","trick","joke"
"vodka","whisky","guilky","nukka","whiskey","vodka"
"watson","sherlock","firelock","lofson","sherlock","watson"
"web","internett","interback","prb","internet","web"
"yeah","greit","akeit","yeod","okay","yeah"
"ytterligere","ekstra","ekslos","ytkroppsligere","extra","additional"
