"no_cue","no_target","type","cue_type","target_type","no_cosine"
"forhold","vennskap","related","word","word",0.391725840739271
"ikke sant","venstre","related","word","word",NA
"ventil","ventilasjon","related","word","word",0.785353028525522
"mars","venus","related","word","word",0.341805268815991
"internasjonal","verden","related","word","word",0.171699706247701
"fortjene","verdig","related","word","word",0.383285629823611
"stolthet","verdighet","related","word","word",0.50584690325881
"ubrukelig","verdiløs","related","word","word",0.503247803113689
"sør-","vestlig","related","word","word",NA
"nå","vet","related","word","word",0.445758295231368
"hud","vev","related","word","word",0.378299812052208
"dvd","video","related","word","word",0.339609203594886
"verdifullt","viktig","related","word","word",0.427486456568205
"gevinst","vinne","related","word","word",0.257181751925391
"taper","vinner","related","word","word",0.555118789881117
"sommer","vinter","related","word","word",0.5131583277163
"industri","virksomhet","related","word","word",0.394108465374422
"kjenne igjen","visste det","related","word","word",NA
"protein","vitamin","related","word","word",0.455850793013746
"teknologi","vitenskap","related","word","word",0.428862753413524
"vitne","vitnesbyrd","related","word","word",0.554113622247809
"triks","vits","related","word","word",0.271990070208087
"whisky","vodka","related","word","word",0.557901730392467
"sherlock","watson","related","word","word",0.298780958113307
"internett","web","related","word","word",0.0880274847071517
"greit","yeah","related","word","word",0.259690315109288
"ekstra","ytterligere","related","word","word",0.200951472710426
"gripe","sand","unrelated","word","word",0.0861905309522157
"spinal","insekt","unrelated","word","word",0.110139349623768
"latterlig","hushjelp","unrelated","word","word",0.114242192700798
"ledelse","klinikk","unrelated","word","word",0.154436903639784
"hormon","uteksamineres","unrelated","word","word",0.245101377091531
"nummer","låse","unrelated","word","word",0.162641704166741
"privilegium","slag","unrelated","word","word",0.178001983091625
"skikkelig","utfordring","unrelated","word","word",0.137172813896788
"lojalitet","forberede","unrelated","word","word",0.132724807182234
"felle","enhet","unrelated","word","word",0.131893816020358
"stemme","gate","unrelated","word","word",0.103411785760415
"nekte","infeksjon","unrelated","word","word",0.133632250143697
"avtrekker","kvalitet","unrelated","word","word",0.146342757934039
"aktiv","forstå","unrelated","word","word",0.0809845866444009
"advokat","universitet","unrelated","word","word",0.204987388953959
"varsling","politikk","unrelated","word","word",0.17427461010246
"motiv","lovlig","unrelated","word","word",0.0723073404877002
"bravo","barn","unrelated","word","word",0.153242921406441
"valg","galaxy","unrelated","word","word",0.0437100135232786
"afrika","vits","unrelated","word","word",0.164521005783911
"autopsi","armory","unrelated","word","word",NA
"gås","cognac","unrelated","word","word",0.274547049945742
"sjel","tåke","unrelated","word","word",0.139542731127019
"invasjon","hoppe","unrelated","word","word",0.183082146057424
"offer","olje","unrelated","word","word",0.127549156990531
"klage","herlig","unrelated","word","word",0.0882111889167264
"lignende","lommebok","unrelated","word","word",0.0742393328078233
"konklusjon","kristen","unrelated","word","word",0.138727271737259
"helt klart","liten","unrelated","word","word",NA
"jobb","bane","unrelated","word","word",0.176115198231444
"bonde","kone","unrelated","word","word",0.205411710270488
"ingeniør","hard","unrelated","word","word",0.0606706617685454
"arsenal","hastighet","unrelated","word","word",0.160021188953348
"tatovering","slange","unrelated","word","word",0.297179887621082
"straffe","administrativ","unrelated","word","word",0.196406015409207
"uvitenhet","skilt","unrelated","word","word",0.175259632646982
"årsaken","elegant","unrelated","word","word",0.0459135588062151
"blodåre","boston","unrelated","word","word",0.0683913960800775
"kavaleri","forvirring","unrelated","word","word",0.117239573836743
"arv","vanlig","unrelated","word","word",0.155332491343234
"leiesoldat","elektrisk","unrelated","word","word",0.0831117737465683
"brukerstøtte","synes at","unrelated","word","word",NA
"sekretær","hav","unrelated","word","word",0.0922354803643004
"hjelp","flyplassen","unrelated","word","word",0.152795950690031
"hva","døv","unrelated","word","word",0.194531345469615
"stillehavet","kollapse","unrelated","word","word",0.0801473982878378
"miljø","gift","unrelated","word","word",0.0894867105593157
"jurisdiksjon","problem","unrelated","word","word",0.247769280793531
"ankomst","funksjonell","unrelated","word","word",0.124764342818695
"artikkel","alibi","unrelated","word","word",0.112908692273136
"oppsigelse","stat","unrelated","word","word",0.148935696273251
"seksjon","unik","unrelated","word","word",0.00324389258386597
"kontrakt","alarm","unrelated","word","word",0.159261076179336
"skål","ytterligere","unrelated","word","word",0.0546149429938998
"dusj","overføre","unrelated","word","word",0.107939547228988
"eske","flott","unrelated","word","word",0.144990918459642
"hjørne","fullstendig","unrelated","word","word",0.0975518848376695
"front","nåde","unrelated","word","word",0.092250930208875
"orkester","enorm","unrelated","word","word",0.0164966065200165
"planet","fantastisk","unrelated","word","word",0.10964542549162
"klubb","frivillig","unrelated","word","word",0.200608922596467
"baby","kjøpmann","unrelated","word","word",0.0961932578824436
"ungdom","vennskap","unrelated","word","word",0.16285539356184
"stadion","noe","unrelated","word","word",0.134253111516872
"undervannsbåt","eksplodere","unrelated","word","word",0.182012889356479
"regiment","annerledes","unrelated","word","word",0.157014244861937
"superman","rakett","unrelated","word","word",0.221865303178644
"kreve","pilot","unrelated","word","word",0.0430703575658439
"sammensvergelse","motell","unrelated","word","word",0.0970786133240795
"fenomen","utvendig","unrelated","word","word",0.19465122360537
"grave","nese","unrelated","word","word",0.109555521048612
"kiste","indikerer","unrelated","word","word",0.0265885153782389
"terapi","beløp","unrelated","word","word",0.169062638335402
"holde","måltid","unrelated","word","word",0.111908459351872
"bekreftelse","våpen","unrelated","word","word",0.108253031604945
"kryss av","informasjon","unrelated","word","word",NA
"bekymring","rundt","unrelated","word","word",0.120919193901649
"bonus","fengsel","unrelated","word","word",0.1676226624657
"sum","stå imot","unrelated","word","word",NA
"eksepsjonell","som regel","unrelated","word","word",NA
"populær","spent","unrelated","word","word",0.197037628576503
"advarsel","festival","unrelated","word","word",0.113418270772518
"ydmyk","bestemor","unrelated","word","word",0.134319248305541
"profil","tvist","unrelated","word","word",0.1087403871603
"mot","kokk","unrelated","word","word",0.0646981650120469
"farfar","tortur","unrelated","word","word",0.0427828727654909
"betydning","bror","unrelated","word","word",0.0567846523440249
"bevis","kake","unrelated","word","word",0.0760166324515513
"kjøretøy","rikdom","unrelated","word","word",0.146957598626139
"dyrt","grunnlov","unrelated","word","word",0.133315797252524
"kjemi","bortføre","unrelated","word","word",0.0292199385334739
"kjemisk","forsker","unrelated","word","word",0.299256639751741
"brun","venn","unrelated","word","word",0.160047910098906
"lekegutt","lokal","unrelated","word","word",NA
"ripe","tau","unrelated","word","word",0.266374440591592
"kombinasjon","sigarett","unrelated","word","word",0.104554404931293
"slutt","om","unrelated","word","word",0.173088239493152
"anlegg","virksomhet","unrelated","word","word",0.173121723670202
"bibel","kne","unrelated","word","word",0.081128833997826
"silke","penis","unrelated","word","word",0.194150330003519
"slott","investere","unrelated","word","word",0.104985517257634
"sheriff","hovedkvarter","unrelated","word","word",0.143362782371417
"kidnappe","jagerfly","unrelated","word","word",0.113710361195211
"washington","følsom","unrelated","word","word",0.081519504638243
"smal","ukjent","unrelated","word","word",0.164696243742069
"gass","løsepenger","unrelated","word","word",0.188255697467859
"telegram","tidlig","unrelated","word","word",0.125777424506648
"dude","hummer","unrelated","word","word",0.154508455013937
"søster","utfall","unrelated","word","word",0.11333861235273
"brudgommen","arbeid","unrelated","word","word",0.0524381758573156
"søke om","inngang","unrelated","word","word",NA
"avfall","kjøtt","unrelated","word","word",0.255031941861277
"engasjement","rolig","unrelated","word","word",0.0956384153595226
"mage","selskap","unrelated","word","word",0.110451706559041
"topp","vodka","unrelated","word","word",0.0827000088198085
"tog","pass","unrelated","word","word",0.135287011340802
"butikk","beholde","unrelated","word","word",0.0574527061755662
"ass","bar","unrelated","word","word",0.105079736228253
"hovedstad","skap","unrelated","word","word",0.0872045232883254
"konstruksjon","psykologisk","unrelated","word","word",0.228050922883381
"tårn","vedlikehold","unrelated","word","word",0.111444738497471
"fast","triangel","unrelated","word","word",0.0757414822649291
"piknik","kapitalisme","unrelated","word","word",0.0468422932504889
"mil","tyrkia","unrelated","word","word",0.163305582279928
"hjerne","utstilling","unrelated","word","word",0.151162358573839
"vin","flaske","unrelated","word","word",0.433791862549784
"typisk","utvikling","unrelated","word","word",0.0849226566859159
"rom","himmelsk","unrelated","word","word",0.114220551065039
"baron","feil","unrelated","word","word",0.0772977594122862
"rodeo","instrument","unrelated","word","word",0.103553416021464
"ørken","gresk","unrelated","word","word",0.111870809362518
"lord","bag","unrelated","word","word",0.112395935177248
"danser","sol","unrelated","word","word",0.188615202746732
"flink","fjernsyn","unrelated","word","word",0.11215608813352
"programvare","forvent","unrelated","word","word",0.148180029758086
"konsept","ereksjon","unrelated","word","word",0.159214565433136
"hytte","avsnitt","unrelated","word","word",0.103017218095016
"frihet","erstatning","unrelated","word","word",0.17848985756679
"protest","falsk","unrelated","word","word",0.183138454006694
"ambassade","baksiden","unrelated","word","word",0.127017854902238
"understreke","heks","unrelated","word","word",0.109535765906633
"her","etter hvert","unrelated","word","word",NA
"november","gå","unrelated","word","word",0.109701242519676
"middel","grusomhet","unrelated","word","word",0.231933662907371
"tekst","enkel","unrelated","word","word",0.20037362091101
"ping","gruppe","unrelated","word","word",0.162677178385608
"direkte","bånd","unrelated","word","word",0.110824200056673
"samtale","gi","unrelated","word","word",0.168804913055245
"fylke","fort","unrelated","word","word",0.0614777316041087
"engel","fortsette","unrelated","word","word",0.0629117596113667
"lide","brev","unrelated","word","word",0.176576889844568
"i live","biologisk","unrelated","word","word",NA
"kirurg","fornærme","unrelated","word","word",0.0410862224746308
"fil","praktisk talt","unrelated","word","word",NA
"pund","angriperen","unrelated","word","word",0.0455930662550652
"domstol","bruke","unrelated","word","word",0.085876034414069
"veldedighet","gal","unrelated","word","word",0.133686892877415
"vindu","undersøke det","unrelated","word","word",NA
"blind","film","unrelated","word","word",0.195757043319031
"trykk","stil","unrelated","word","word",0.115258315194257
"gift","bygning","unrelated","word","word",0.100897004396519
"mareritt","stygg","unrelated","word","word",0.133339020490446
"naiv","øverste","unrelated","word","word",0.0340452721616061
"galskap","mel","unrelated","word","word",0.140259420281042
"krutt","stål","unrelated","word","word",0.28310528154532
"beist","kunstig","unrelated","word","word",0.109773376497182
"sverge","mutasjon","unrelated","word","word",-0.0165183738886935
"innflytelse","henrettelse","unrelated","word","word",0.173520765146795
"nyttig","billig","unrelated","word","word",0.166498597543795
"faktisk","romvesen","unrelated","word","word",0.191024522417018
"rede","dynamitt","unrelated","word","word",0.0819952367546483
"eiendom","forbrytelse","unrelated","word","word",0.20841352967609
"briste","intimt","unrelated","word","word",0.154922377652461
"bombe","test","unrelated","word","word",0.156998385874604
"jordskjelv","foreldre","unrelated","word","word",0.0841899517108389
"ekte","morfin","unrelated","word","word",0.0868145282844184
"skilsmisse","tørst","unrelated","word","word",0.119795209195646
"fasjonable","tomat","unrelated","word","word",0.154330461380389
"nåværende","skyte","unrelated","word","word",0.0865913721959333
"magnetisk","hatt","unrelated","word","word",0.135023062269425
"faktor","gratis","unrelated","word","word",0.036272371107236
"fattigdom","camping","unrelated","word","word",0.185562684468206
"gjenstand","demonstrasjon","unrelated","word","word",0.242394689581262
"mental","publikum","unrelated","word","word",0.0356002284437344
"makt","ulv","unrelated","word","word",0.129610634261933
"chip","mikrofon","unrelated","word","word",0.0676157197285186
"ganske enkelt","senator","unrelated","word","word",NA
"stor","unable","unrelated","word","word",NA
"alene","politisk","unrelated","word","word",0.0685990355703762
"millionær","kule","unrelated","word","word",0.112026539877647
"pest","lukket","unrelated","word","word",0.102432184597184
"serie","finansiering","unrelated","word","word",0.172075374226697
"orgasme","riktig","unrelated","word","word",0.162304770455622
"erstatte","jordbær","unrelated","word","word",0.0772149007072693
"andre steder","maur","unrelated","word","word",NA
"endelig","å fange","unrelated","word","word",NA
"analytiker","servitør","unrelated","word","word",0.26208979268924
"kallenavn","kul","unrelated","word","word",0.203396385399358
"observasjon","senatet","unrelated","word","word",0.148104019069052
"kapasitet","gram","unrelated","word","word",0.192823274010517
"post","energi","unrelated","word","word",0.124329809782952
"forfalskning","stein","unrelated","word","word",0.0788829935368208
"klan","kapell","unrelated","word","word",0.0471031820468753
"gissel","lys","unrelated","word","word",0.121310856896153
"virkelighet","helbrede","unrelated","word","word",0.187018665447753
"herlig","der","unrelated","word","word",0.267265694718692
"imponerende","alpha","unrelated","word","word",0.110369380608378
"mor","urettferdig","unrelated","word","word",0.168291959634485
"fare","egg","unrelated","word","word",0.10829262179219
"risikabelt","undersøkelse","unrelated","word","word",0.13547294214005
"dødelig","død","unrelated","word","word",0.230801169916467
"hoste","uansvarlig","unrelated","word","word",0.166682446814355
"feil","aksent","unrelated","word","word",0.144440615101332
"suksess","team","unrelated","word","word",0.08255945372403
"celle","setning","unrelated","word","word",0.164679162040188
"straff","injeksjon","unrelated","word","word",0.268149806088096
"jul","svart","unrelated","word","word",0.1796579544936
"karneval","leketøy","unrelated","word","word",0.26983665689447
"slektning","holdning","unrelated","word","word",0.102284011552224
"porno","feil","unrelated","word","word",0.0895002899167171
"banking","tro","unrelated","word","word",0.104155872873456
"budsjett","arroganse","unrelated","word","word",0.0806435078825234
"økonomisk","kriger","unrelated","word","word",0.153153761507687
"dna","begrave","unrelated","word","word",0.167842364854295
"søk","beskrivelse","unrelated","word","word",0.101340180561719
"to","fotball","unrelated","word","word",0.187523390060437
"hai","last","unrelated","word","word",0.158149185297727
"jakt","full","unrelated","word","word",0.0885547037435392
"høyde","centimeter","unrelated","word","word",0.216651120728525
"tredje","svangerskap","unrelated","word","word",0.133057973517945
"halv","gjemme seg","unrelated","word","word",NA
"radio","ukentlig","unrelated","word","word",0.173937405459851
"brann","fire","unrelated","word","word",0.0959900581733864
"glass","religion","unrelated","word","word",0.143098322183475
"lag","kaptein","unrelated","word","word",0.09353009859779
"marine-","tungt","unrelated","word","word",NA
"utmerket","slagmark","unrelated","word","word",0.115760461602436
"flykte","organisere","unrelated","word","word",0.215601120521879
"land","gi","unrelated","word","word",0.120929483859928
"landing","belønning","unrelated","word","word",0.0815255126697761
"terminal","lever","unrelated","word","word",0.0564736146926287
"koloni","løk","unrelated","word","word",0.131426754784199
"jubileum","lykkelig","unrelated","word","word",0.180628174713723
"inntrykk","unnskyldning","unrelated","word","word",0.131550593088845
"delikat","finansiell","unrelated","word","word",0.246250599792977
"evig","verdiløs","unrelated","word","word",0.192686961049141
"endring","lang","unrelated","word","word",0.158552606155702
"klar","myndighetene","unrelated","word","word",0.126645330226998
"framtid","mysterium","unrelated","word","word",0.186804857646082
"ta kontakt med","åpenbart","unrelated","word","word",NA
"oppholde seg","verdighet","unrelated","word","word",NA
"synd","innsiden","unrelated","word","word",0.0428176286068595
"tyv","tygge","unrelated","word","word",0.150519279078361
"forbudt","metall","unrelated","word","word",0.114622414206644
"seminar","morder","unrelated","word","word",0.0416439626737402
"voksen","spaser","unrelated","word","word",0.0250255269757714
"foreslå","snø","unrelated","word","word",0.0614417352659426
"dikter","farlig","unrelated","word","word",0.165617790711556
"fersk","slikke","unrelated","word","word",0.206857103847517
"permisjon","prototype","unrelated","word","word",0.13191065207864
"fornærmelse","gris","unrelated","word","word",0.210008633317604
"spion","vanligvis","unrelated","word","word",0.122738503864751
"geni","verden","unrelated","word","word",0.206571574392074
"prøve","innspilling","unrelated","word","word",0.15405000315632
"innse","plassering","unrelated","word","word",0.0773738827909386
"avbryte","bakgate","unrelated","word","word",-0.011858546283425
"beskytte","bedrageri","unrelated","word","word",0.212421734823554
"død","parti","unrelated","word","word",0.116804205935145
"langsom","skapning","unrelated","word","word",0.169211384723749
"si","produkt","unrelated","word","word",0.144446599124748
"allerede","ekte","unrelated","word","word",0.053223683080708
"fortsette","intensjon","unrelated","word","word",0.238842055392621
"vente","sang","unrelated","word","word",0.130929453944955
"kaos","vedlikeholde","unrelated","word","word",0.135786863828784
"basketball","bevis","unrelated","word","word",0.0964430328795835
"bilde","høyhet","unrelated","word","word",0.111135478359915
"autograf","arrestere","unrelated","word","word",0.165557826864627
"engelsk","sigar","unrelated","word","word",0.199022345397899
"tilstedeværelse","stadig","unrelated","word","word",0.147905973826073
"helt","landsby","unrelated","word","word",0.157923753449862
"prosess","demokrati","unrelated","word","word",0.158352675375238
"frivillig","museum","unrelated","word","word",0.10958547259041
"middag","oppdrag","unrelated","word","word",0.120737012312468
"eple","lidenskap","unrelated","word","word",0.19810978204471
"skrekk","leder","unrelated","word","word",0.0919025194744878
"fryktelig","bli ferdig","unrelated","word","word",NA
"smelte","restaurant","unrelated","word","word",0.148321254368943
"sommerfugl","partikkel","unrelated","word","word",0.196422687540929
"tømme","hengivenhet","unrelated","word","word",0.0591993689401365
"nykter","forsvinning","unrelated","word","word",0.155639450078591
"total","idiot","unrelated","word","word",0.186077904271528
"operativ","patrulje","unrelated","word","word",0.135722883396563
"seksuell","væpne","unrelated","word","word",0.121299248053946
"tast inn","dollar","unrelated","word","word",NA
"løpe","symbol","unrelated","word","word",0.0693474306378717
"knuse","gjøre","unrelated","word","word",0.25698465103688
"skje","romantisk","unrelated","word","word",0.101746280669222
"paranoid","spesialist","unrelated","word","word",0.113793144767138
"univers","oksygen","unrelated","word","word",0.187973877702697
"verksted","kinn","unrelated","word","word",0.0887740401154412
"allé","møte","unrelated","word","word",0.20116305873434
"kompliment","alternativ","unrelated","word","word",0.190446675440625
"by på","flamme","unrelated","word","word",NA
"muliggjøre","avtale","unrelated","word","word",0.226121162319005
"enkelt","streik","unrelated","word","word",0.0957490995362592
"piano","tjener","unrelated","word","word",0.094930651069272
"dekke","plast","unrelated","word","word",0.191450438268484
"vegg","kommunistisk","unrelated","word","word",0.186908860471878
"gjøre","vask","unrelated","word","word",0.176121433999741
"glede","fryktelig","unrelated","word","word",0.190009137175856
"nasjonal","musikk","unrelated","word","word",0.127382318188724
"tillatelse","forbli","unrelated","word","word",0.135580471030121
"ape","godkjenning","unrelated","word","word",0.0459108097988532
"kilo","bok","unrelated","word","word",0.137422891212756
"fritt","spektakulær","unrelated","word","word",0.0495660278574075
"grav","bekrefte","unrelated","word","word",0.101321011725892
"roman","prins","unrelated","word","word",0.0602243728558958
"ku","stemme","unrelated","word","word",0.116618057931428
"lov","tirsdag","unrelated","word","word",0.0252315354882581
"gjeng","innsjø","unrelated","word","word",0.108960145875527
"brutal","selge","unrelated","word","word",0.0876744405976654
"ond","vampyr","unrelated","word","word",0.271295301792986
"gud","kommisjonær","unrelated","word","word",0.168640674595856
"rød","dikt","unrelated","word","word",0.0473441380934948
"pike","uttrykke","unrelated","word","word",0.21128406411815
"hallo","datamaskin","unrelated","word","word",0.128485413127288
"legion","årsaken","unrelated","word","word",0.0471611593755529
"illusjon","bryst","unrelated","word","word",0.0917635179023535
"ringe","tre","unrelated","word","word",0.141798467724336
"smørbrød","trofast","unrelated","word","word",0.121473177955081
"pinne","syn","unrelated","word","word",0.101841586819592
"teppe","gitar","unrelated","word","word",0.211275927887721
"gest","legende","unrelated","word","word",0.0732795328948282
"vanskelig","trippel","unrelated","word","word",0.14252321073217
"balansere","høre","unrelated","word","word",0.128796633576942
"avstand","fremgangsmåte","unrelated","word","word",0.207831059349494
"hjelm","modig","unrelated","word","word",0.198048985307225
"hav","venus","unrelated","word","word",0.193055350909284
"bukt","utpressing","unrelated","word","word",0.124096696278055
"forbannelse","fange","unrelated","word","word",0.170535922711671
"komme seg","sølv","unrelated","word","word",NA
"ambulanse","kanin","unrelated","word","word",0.097522161307428
"absolutt","beskjeden","unrelated","word","word",0.115071393763497
"paradis","vev","unrelated","word","word",0.0598029596961152
"gjengivelse","teppe","unrelated","word","word",0.0872456215464622
"henger","intelligent","unrelated","word","word",0.201499704577891
"hyggelig","klem","unrelated","word","word",0.162258129942303
"herlig","sannsynlig","unrelated","word","word",0.139642738382074
"kokain","personvern","unrelated","word","word",0.149225789003083
"esel","mesterskap","unrelated","word","word",0.170845342234629
"gratulere","ærlighet","unrelated","word","word",0.149085508333083
"himmel","sti","unrelated","word","word",0.189641640420862
"hjelpemidler","yeah","unrelated","word","word",0.185329886227731
"bein","spiller","unrelated","word","word",0.132140662355291
"mening","tiltrekke","unrelated","word","word",0.101087529857363
"lesbisk","lønn","unrelated","word","word",0.0473608377126075
"klatre","rettferdighet","unrelated","word","word",0.116086607010325
"lytte","avgang","unrelated","word","word",0.114490856826928
"vår","fugl","unrelated","word","word",0.103544699083971
"sekundær","nevø","unrelated","word","word",0.117090225329506
"utgangspunkt","love","unrelated","word","word",0.0430227777786356
"vei","jenter","unrelated","word","word",0.158194091538489
"lav","garasje","unrelated","word","word",0.160423905693645
"vekt","skade","unrelated","word","word",0.158242730874094
"majestet","motbydelig","unrelated","word","word",0.0977639973851123
"sprekk","hodeskalle","unrelated","word","word",0.248704441858123
"tunfisk","fengsling","unrelated","word","word",0.0860719706059876
"tusen","spill","unrelated","word","word",0.139616556947076
"mann","global","unrelated","word","word",0.0981327181535048
"leietaker","baderom","unrelated","word","word",0.204813908018942
"nanny","lukt","unrelated","word","word",0.152657984117604
"glemme","kjærlighet","unrelated","word","word",0.180861534962892
"tilfluktssted","ekteskap","unrelated","word","word",0.221885990225855
"karbon","evaluering","unrelated","word","word",0.223310831270682
"komfortabel","møte","unrelated","word","word",0.0839081668198286
"i dag","kreativitet","unrelated","word","word",NA
"lure","uttalelse","unrelated","word","word",0.0809636976549233
"dynastiet","classic","unrelated","word","word",0.159038010577088
"smigre","teori","unrelated","word","word",0.134370213069167
"punkt","mulighet","unrelated","word","word",0.181198367381114
"person","søt","unrelated","word","word",0.213221774715805
"virus","kvalme","unrelated","word","word",0.141362982600205
"kilde","kamp","unrelated","word","word",0.0873670096371148
"data","lykkes","unrelated","word","word",0.0897969210887094
"rapportere","harmoni","unrelated","word","word",0.0160570576563672
"dose","maskin","unrelated","word","word",0.213805436754329
"enhet","episode","unrelated","word","word",0.207119611029721
"exit","paranormal","unrelated","word","word",0.159345377074943
"inneholde","syk","unrelated","word","word",0.0675975211873794
"utenfor","flåte","unrelated","word","word",0.200346028396931
"elv","borgermester","unrelated","word","word",0.154698728221107
"ta opp","effekt","unrelated","word","word",NA
"profitt","høy","unrelated","word","word",0.192180804753063
"edderkopp","skjegg","unrelated","word","word",0.211979395116576
"inspirere","plystre","unrelated","word","word",0.224464326317016
"verktøy","frykt","unrelated","word","word",0.150410977114583
"smart","dyr","unrelated","word","word",0.143767543293541
"hensikt","heroin","unrelated","word","word",0.160924494742345
"spennende","huseier","unrelated","word","word",0.148826999926232
"personlig","at","unrelated","word","word",0.247512905349309
"instinkt","kontor","unrelated","word","word",0.148337802626712
"finansiere","helikopter","unrelated","word","word",0.128000103830156
"bankier","tillit","unrelated","word","word",0.13451314555853
"ironi","dekk","unrelated","word","word",0.0611517608487396
"følg","protokoll","unrelated","word","word",0.0984953719482553
"champion","gå","unrelated","word","word",0.190341759958207
"skjorte","direkte","unrelated","word","word",-0.0165116817114695
"gutter","tegne","unrelated","word","word",0.121349601960175
"banan","marinen","unrelated","word","word",0.170430393588983
"journalist","i går","unrelated","word","word",NA
"melk","trening","unrelated","word","word",0.183176175623858
"juni","tilstrekkelig","unrelated","word","word",0.103952046329144
"romeo","antagelse","unrelated","word","word",0.104963287257134
"senior","agn","unrelated","word","word",0.103776477009701
"diamant","elektrisitet","unrelated","word","word",0.155351405365666
"kopp","eksplosiv","unrelated","word","word",0.118419816174587
"dessert","forbindelse","unrelated","word","word",0.118394468690807
"varmt","artilleri","unrelated","word","word",0.150652469897526
"turnering","lukk","unrelated","word","word",0.136484073233957
"rev","nyheter","unrelated","word","word",0.053912369485873
"kirke","leie","unrelated","word","word",0.16201477011506
"anarki","bred","unrelated","word","word",0.16389716529898
"kommandør","strategi","unrelated","word","word",0.20260777464551
"biskop","syndrom","unrelated","word","word",0.162479013713998
"kompass","langt","unrelated","word","word",0.143479593620872
"mafia","støv","unrelated","word","word",0.105635080115561
"hund","fjerde","unrelated","word","word",0.0785770019396458
"imperial","øgle","unrelated","word","word",0.228157198938911
"leppe","husly","unrelated","word","word",-0.00335426420897241
"operere","spørre","unrelated","word","word",0.20527238635323
"hat","tre","unrelated","word","word",0.128574895579054
"skjørt","angrep","unrelated","word","word",0.0610775733222214
"selger","statue","unrelated","word","word",0.131146956923075
"kommersiell","hunn","unrelated","word","word",0.207609384422665
"svinekjøtt","vennlig","unrelated","word","word",0.103739774241345
"kysse","fysisk","unrelated","word","word",0.140917675794155
"pasient","bomull","unrelated","word","word",0.237545009773103
"sykehus","snikskytter","unrelated","word","word",0.127992188152757
"barnehjem","port","unrelated","word","word",0.1859256792106
"tinning","handling","unrelated","word","word",0.283591682394498
"skulder","soda","unrelated","word","word",0.162565992738145
"sverd","tann","unrelated","word","word",0.276759516464284
"stresskoffert","katt","unrelated","word","word",0.207454549713259
"kokk","dokument","unrelated","word","word",0.0768855670912692
"falle","lastebil","unrelated","word","word",0.132557409882017
"drama","keiser","unrelated","word","word",0.135387077580852
"stekeovn","ofte","unrelated","word","word",0.031381419226912
"kommisjon","mistenkt","unrelated","word","word",0.283508816729774
"ankomme","stol","unrelated","word","word",0.0150671533858564
"tilbake","overleve","unrelated","word","word",0.132494108728464
"inspektør","kveld","unrelated","word","word",0.0661569065866583
"navigasjon","arbeider","unrelated","word","word",0.119046663361098
"rasist","departement","unrelated","word","word",0.121797193893522
"ektemann","redusere","unrelated","word","word",0.0632961011128461
"dronning","jakke","unrelated","word","word",0.141538512530962
"fokus","juli","unrelated","word","word",0.0901721768092865
"tur","lik","unrelated","word","word",0.0434446725701757
"pulten","kart","unrelated","word","word",0.180390149346868
"opprinnelig","hallusinasjon","unrelated","word","word",0.0890604018204846
"fantasi","løve","unrelated","word","word",0.173110294442276
"svulst","lagre","unrelated","word","word",0.166031612351078
"soldat","nord","unrelated","word","word",0.106875361306426
"situasjon","fotograf","unrelated","word","word",0.0698645532684373
"katolikk","stjerne","unrelated","word","word",0.121501851276231
"varm","rane","unrelated","word","word",0.0503088964174616
"kaliber","salg","unrelated","word","word",0.128166961173808
"erfaring","fetter","unrelated","word","word",0.0504115026630948
"naturlig","hest","unrelated","word","word",0.105781708619103
"rive","liberal","unrelated","word","word",0.0683540733863794
"mengde","fly","unrelated","word","word",0.0226736409233354
"diaré","fjerdedel","unrelated","word","word",0.0773090329817283
"natt","skje","unrelated","word","word",0.184395312582045
"enke","selvopptatt","unrelated","word","word",0.144671065669221
"naiv","element","unrelated","word","word",0.0362830036428184
"strand","avskjedigelse","unrelated","word","word",0.106860675634798
"tillate","skuffelse","unrelated","word","word",0.113855485026684
"lære","premie","unrelated","word","word",0.151907187890156
"student","sikkerhet","unrelated","word","word",0.0684420746539248
"redde","vitenskap","unrelated","word","word",0.175629802090521
"leir","lys","unrelated","word","word",0.0784674885574351
"kreditt","sjokolade","unrelated","word","word",0.276929281204998
"kort","brensel","unrelated","word","word",0.152166817134811
"nær","lokk","unrelated","word","word",0.124060840277934
"nøkkel","behandling","unrelated","word","word",0.124077368455125
"laste","hovedvei","unrelated","word","word",0.202714691065798
"jeep","sirkus","unrelated","word","word",0.119862353571044
"smil","ung","unrelated","word","word",0.11812416425426
"medlem","løytnant","unrelated","word","word",0.184350788448718
"eskorte","perfekt","unrelated","word","word",0.0583160720994668
"alkohol","professor","unrelated","word","word",0.0503528511694156
"myte","forlate","unrelated","word","word",0.10518128945573
"ansette","tiår","unrelated","word","word",0.151483791968827
"hus","morsom","unrelated","word","word",0.101210249379763
"dukke","bro","unrelated","word","word",0.194161265911663
"størrelse","forfriske","unrelated","word","word",0.14901753500005
"umulig","mørk","unrelated","word","word",0.137524440568834
"nyre","trone","unrelated","word","word",0.191085397625562
"konservativ","forbryter","unrelated","word","word",0.138171582724621
"entusiasme","dal","unrelated","word","word",0.0775706626782749
"kropp","produksjon","unrelated","word","word",0.180783739849867
"taxi","danse","unrelated","word","word",0.143359948334736
"ming","høst","unrelated","word","word",0.0124100062179392
"litt","rømling","unrelated","word","word",0.110622947100679
