hu_cue,hu_target,type,cue_type,target_type,hu_cosine
tünet,szindróma,related,word,word,0.475883217404888
túra,koncert,related,word,word,0.340294366709709
türelem,együttérzés,related,word,word,0.433317130680717
túsz,rab,related,word,word,0.411258608302838
tűz,láng,related,word,word,0.651260540921757
udvarias,barátságos,related,word,word,0.575524813480735
ufó,idegen,related,word,word,0.322061229802988
anyag,részecske,related,word,word,0.428882635944564
ügynök,nyomozó,related,word,word,0.557309081893277
ujj,hüvelykujj,related,word,word,0.636421458935401
újságírás,politika,related,word,word,0.498521385597845
unokája,unokaöcs,related,word,word,0.494255409888194
üres,teljes,related,word,word,0.137846881786616
űrhajós,pilóta,related,word,word,0.519352027052736
úrnő,szerető,related,word,word,0.179818722839628
út,országút,related,word,word,0.517288893216044
utas,sofőr,related,word,word,0.490440119360142
útvonal,pálya,related,word,word,0.392143615819183
pohár,üveg,related,word,word,0.627048154971012
üzlet,bolt,related,word,word,0.581687622429991
vacsora,reggeli,related,word,word,0.452430442840416
vadállat,állat,related,word,word,0.654234963435461
lövész,mesterlövész,related,word,word,0.777459579161803
vadászat,halászat,related,word,word,0.628447229146996
vágy,kívánság,related,word,word,0.334428680165038
vak,süket,related,word,word,0.555597927635811
válás,házasság,related,word,word,0.593527768426185
felelet,válasz,related,word,word,0.467992493020306
választ,kiválaszt,related,word,word,0.654773428498924
választás,választási lehetőség,related,word,word,
váll,térd,related,word,word,0.469484783776944
cég,vállalat,related,word,word,0.782540690913848
valóság,fantázia,related,word,word,0.55228175727286
valószínűség,valószínűleg,related,word,word,0.447342655265387
változás,javulás,related,word,word,0.650540542957145
varázslat,varázsló,related,word,word,0.677146916594003
várjon,elvár,related,word,word,0.00370470726479871
vas,fém,related,word,word,0.506046344849408
védelem,megvéd,related,word,word,0.257350857674165
vége,befejez,related,word,word,0.338435599795739
utolsó,végső,related,word,word,0.426061083410489
végül,végül is,related,word,word,
vékony,vastag,related,word,word,0.658449948110003
vélemény,hozzáállás,related,word,word,0.412039625354834
véletlen,lehetőség,related,word,word,0.208190294308961
véletlenül,szándékosan,related,word,word,0.45214643228629
véna,artéria,related,word,word,0.587581575582804
vendégszeretet,hála,related,word,word,0.198942866254168
vér,vizelet,related,word,word,0.493941642200765
verseny,bajnokság,related,word,word,0.594857507486474
bajnokság,mérkőzés,related,word,word,0.678341191883339
vese,máj,related,word,word,0.644082070200353
vesztes,győztes,related,word,word,0.659029418801977
világegyetem,galaxis,related,word,word,0.640838745141832
villám,mennydörgés,related,word,word,0.52585866127666
vírus,fertőzés,related,word,word,0.693760569890496
vissza,visszatérés,related,word,word,0.402731421980331
visszaszerez,gyógyít,related,word,word,0.113978506211577
visszaverődés,tükör,related,word,word,0.387827344391165
vizsgálat,ellenőrzés,related,word,word,0.586488908141366
vőlegény,menyasszony,related,word,word,0.827489482934109
vonat,busz,related,word,word,0.755068407129154
gond,aggodalom,related,word,word,0.290023178197837
vonzó,bájos,related,word,word,0.485437353966077
washington,boston,related,word,word,0.526571724814034
wc,mosogató,related,word,word,0.421981744029409
whisky,vodka,related,word,word,0.550160397904388
zaj,hang,related,word,word,0.544509692622231
zárt,zárva,related,word,word,0.59939730261764
zászló,szimbólum,related,word,word,0.392332820151245
orkesztra,zenekar,related,word,word,
zöld,narancssárga,related,word,word,0.631252581301269
zombi,vámpír,related,word,word,0.503314224496826
zongora,gitár,related,word,word,0.60199654112592
szütyő,pénztárca,related,word,word,0.405852540697674
zseni,tudós,related,word,word,0.480548821648442
zsoldos,orgyilkos,related,word,word,0.485751038102523
zuhany,fürdőszoba,related,word,word,0.587919642599033
nevetséges,fül,unrelated,word,word,0.0957542102935231
megtagadja,magas,unrelated,word,word,0.123082568889569
panasz,város,unrelated,word,word,0.146788637511864
szám,oktatás,unrelated,word,word,0.0999297209806386
tanács,hossz,unrelated,word,word,0.137622609410971
cég,tömlő,unrelated,word,word,0.146665802372182
éber,mosás,unrelated,word,word,0.066262343631386
összeg,országút,unrelated,word,word,0.145270005783696
vadállat,orr,unrelated,word,word,0.114687996513067
engedély,cinikus,unrelated,word,word,0.0202246987187065
kéz,tréfa,unrelated,word,word,0.127844068128667
légió,forog,unrelated,word,word,0.119650609932591
kerek,fog,unrelated,word,word,0.115059630145006
véna,ritkán,unrelated,word,word,0.083453187835916
kérdés,ördög,unrelated,word,word,0.115089288048395
zsoldos,homok,unrelated,word,word,0.127404309089493
következtetés,hála,unrelated,word,word,0.13082574702408
figyelem,ősz,unrelated,word,word,0.0443047356537079
tömeg,szamuráj,unrelated,word,word,0.107447295454177
klub,klasszikus,unrelated,word,word,0.120666545731733
aréna,tanít,unrelated,word,word,0.0531008705251582
báj,nap,unrelated,word,word,0.0695707227519488
szoba,barátság,unrelated,word,word,0.0835425611753688
ital,ling,unrelated,word,word,0.10366047373061
millió,kacsa,unrelated,word,word,0.039493030055937
megveszteget,lányok,unrelated,word,word,0.103189001002951
lány,elemzés,unrelated,word,word,0.127898195794145
nemes,bal,unrelated,word,word,0.0587546701909865
széttör,női,unrelated,word,word,
vőlegény,mondat,unrelated,word,word,0.0713752504618968
ás,futball,unrelated,word,word,0.0860730111189711
ipar,alfa,unrelated,word,word,0.0537393781130705
édesem,kiszámítja,unrelated,word,word,0.0891907850605657
tumor,hatóság,unrelated,word,word,0.0910253914859794
betöltés,nap-,unrelated,word,word,
padló,görög,unrelated,word,word,0.0882064307183052
maffia,tojás,unrelated,word,word,0.124284099118832
tekint,elektromosság,unrelated,word,word,0.103858474928322
sír,kísérő,unrelated,word,word,0.134244168049294
mérföld,váltságdíj,unrelated,word,word,0.107052999852369
szertartás,mama,unrelated,word,word,0.148388031371268
asztal,koncert,unrelated,word,word,0.0850719241604322
kövesse,cirkusz,unrelated,word,word,0.0771999628577371
ajak,író,unrelated,word,word,0.138374112488752
gyomor,póker,unrelated,word,word,0.137840423662684
cukor,valaha,unrelated,word,word,0.100920577596336
katolikus,javasol,unrelated,word,word,0.127030262519182
kultúra,ideges,unrelated,word,word,0.0635763582945662
kórház,fejlődés,unrelated,word,word,0.130421635911656
kinyit,csapat,unrelated,word,word,0.0937627032910207
zárt,tüzérségi,unrelated,word,word,0.0527988109079256
szekrény,folytatni,unrelated,word,word,0.117555937029313
rum,messze,unrelated,word,word,0.123448464085163
forró,eljárás,unrelated,word,word,0.11991725227433
navigáció,királyság,unrelated,word,word,0.148426368744732
rasszista,teljesítmény,unrelated,word,word,0.0980836030755879
türelem,hiv,unrelated,word,word,0.0773140573494147
totális,pincérnő,unrelated,word,word,0.0711918521303125
teljesen,rabol,unrelated,word,word,0.133403937080727
szoftver,éhes,unrelated,word,word,0.0729349829236551
fókusz,megtilt,unrelated,word,word,0.0630145606167525
tisztelet,egyetemi tanár,unrelated,word,word,
mindig,számítógép,unrelated,word,word,0.122613026792667
tartalmaz,elnök,unrelated,word,word,0.11502037401979
folytassa,majonéz,unrelated,word,word,0.0872540373834306
szemben,finom,unrelated,word,word,0.0901906256126875
árvaház,ok,unrelated,word,word,0.125307207271872
helytelen,esemény,unrelated,word,word,0.108716104551524
báró,ügynökség,unrelated,word,word,0.10314607281735
képzelet,flotta,unrelated,word,word,0.116352164044175
szörnyeteg,kápolna,unrelated,word,word,0.0698887911887772
gonosz,reggeli,unrelated,word,word,0.0289781240194436
táncos,biológia,unrelated,word,word,0.132485903172981
kockázat,nedves,unrelated,word,word,0.0684748286537849
kockázatos,vizelet,unrelated,word,word,0.102916463503567
vak,személyiség,unrelated,word,word,0.136156203481031
század,ellentétes,unrelated,word,word,0.1226387775743
szabadság,süket,unrelated,word,word,0.0400128013027528
tiltakozás,túlél,unrelated,word,word,0.111939753709381
érkezés,gorilla,unrelated,word,word,0.133906109926164
végzet,szalonna,unrelated,word,word,0.0609095810939619
ügynök,nyugati,unrelated,word,word,0.0898150240642308
bátorság,szonda,unrelated,word,word,0.133505322077188
előrehalad,keresztény,unrelated,word,word,0.104764032647644
szenvedni,bájos,unrelated,word,word,0.137991948600818
hasonló,fia,unrelated,word,word,0.0295362910161844
ping,üveg,unrelated,word,word,0.145154914680998
producer,északi,unrelated,word,word,0.0884738454328345
piszkos,elhagyott,unrelated,word,word,0.104856674414041
megszakít,zúzódás,unrelated,word,word,0.0494018824072868
isten,üzleti,unrelated,word,word,0.0735798860462688
egység,házasság,unrelated,word,word,0.108767306298727
font,idióta,unrelated,word,word,0.0541969488640359
jótékonyság,perc,unrelated,word,word,0.142706909567549
ablak,hangya,unrelated,word,word,0.0786743028842617
rémálom,parfüm,unrelated,word,word,0.148275169664171
utas,hang,unrelated,word,word,0.149269974445587
alkohol,boldog,unrelated,word,word,0.0614315695379367
józan,széles,unrelated,word,word,0.117793215129258
liba,nehezen,unrelated,word,word,0.0970403749485257
puskapor,szökevény,unrelated,word,word,0.0975982807889648
szem,válasz,unrelated,word,word,0.119393437018311
nyugat,étkezés,unrelated,word,word,0.00995270523422749
egészség,kényszerítés,unrelated,word,word,0.147197621912216
hasznos,hölgy,unrelated,word,word,0.0883139804318472
kampány,konyak,unrelated,word,word,0.0700124204669466
mágneses,rendelés,unrelated,word,word,0.0863698829981832
divatos,felvétel,unrelated,word,word,0.0738318361926058
tényező,junior,unrelated,word,word,0.107166934341333
szellemi,rúd,unrelated,word,word,0.015709925185855
kijárat,hazug,unrelated,word,word,0.102757668208968
felszerelés,becsületes,unrelated,word,word,0.134398973022206
megfigyelés,trón,unrelated,word,word,0.0614918435656281
végül,hajó,unrelated,word,word,0.0869388983623161
alábecsül,mikrofon,unrelated,word,word,0.116349276211675
büszke,heroin,unrelated,word,word,0.0578768505899196
megbocsát,demonstráció,unrelated,word,word,0.0803015838860903
galéria,drog,unrelated,word,word,0.128204643065542
várjon,pszichológiai,unrelated,word,word,0.12366897264187
leír,nyalás,unrelated,word,word,0.128624948524129
lojális,nukleáris,unrelated,word,word,0.0648066015000067
valóság,fa,unrelated,word,word,0.0958341856664542
lassú,kormány,unrelated,word,word,0.0768880144242681
benyomás,fém,unrelated,word,word,0.117772453604648
fal,manipulál,unrelated,word,word,0.133008632319744
bajnok,négy,unrelated,word,word,0.14584999512872
keresés,vaj,unrelated,word,word,0.100470166290053
dns,botrány,unrelated,word,word,0.0796941584725533
cápa,jelszó,unrelated,word,word,0.120194049582848
vadászat,összeomlás,unrelated,word,word,0.126781848296152
növény,megegyezés,unrelated,word,word,0.12170984694746
folyékony,lakás,unrelated,word,word,0.0432082051044729
föld,stílus,unrelated,word,word,0.104107322440134
erő,kávé,unrelated,word,word,0.147045479932781
örök,szállítás,unrelated,word,word,0.138961026433887
összeesküvés,rossz,unrelated,word,word,0.139060793115436
szabadon,ott,unrelated,word,word,0.142093929615973
angol,csökkent,unrelated,word,word,0.0256384610017679
rémület,gyenge,unrelated,word,word,0.145166794310271
alma,pucér,unrelated,word,word,0.030834558107158
gyűjt,csend,unrelated,word,word,0.078014720203717
természetesen,milliárd,unrelated,word,word,0.132985991885562
finom,győztes,unrelated,word,word,0.117489305396305
fiúk,monitor,unrelated,word,word,0.102959636831597
nemzeti,másolat,unrelated,word,word,0.107114082482056
belép,nyak,unrelated,word,word,0.100697376018186
adminisztráció,tart,unrelated,word,word,0.105568342626211
kiló,meghitt,unrelated,word,word,-0.012166428137918
kiváló,zenekar,unrelated,word,word,0.116721406350925
római,ésszerű,unrelated,word,word,0.0864566923054981
ártatlan,kifejez,unrelated,word,word,0.0904503369377363
illúzió,további,unrelated,word,word,0.0782756264793437
szendvics,használat,unrelated,word,word,0.139084337013153
rúd,találkozik,unrelated,word,word,-0.00614811184674627
szövet,kedd,unrelated,word,word,0.143829914844091
elégedett,időzítő,unrelated,word,word,0.10090368446444
öböl,hitel,unrelated,word,word,0.0616315557913947
bázis,elektromos,unrelated,word,word,0.115747391363594
alacsony,bevallani,unrelated,word,word,0.0621865509860541
felség,hüvelykujj,unrelated,word,word,0.114718603293933
rés,pszichológia,unrelated,word,word,0.0750236131396755
karácsony,fegyvertár,unrelated,word,word,0.125029188023856
rettenetes,vezető,unrelated,word,word,0.131189179606611
szivattyú,segít,unrelated,word,word,0.0581282846160357
szén,menedék,unrelated,word,word,0.131234796277853
pont,kegyelem,unrelated,word,word,0.0970240051303664
adat,abszurd,unrelated,word,word,0.0869377485760811
dózis,dokumentum,unrelated,word,word,0.116883783541223
eszköz,részeg,unrelated,word,word,0.126408657148694
izgalmas,közvetlenül,unrelated,word,word,0.108348957558253
személyes,szomjúság,unrelated,word,word,0.125743980161522
pénzügy,gyanúsított,unrelated,word,word,0.128141470740543
gyémánt,furcsa,unrelated,word,word,0.0883377774160012
trükk,jelez,unrelated,word,word,0.136859301502658
riporter,úszás,unrelated,word,word,0.13957706163475
élvezet,helyi,unrelated,word,word,0.0265749498705761
rómeó,tartalom,unrelated,word,word,0.120515776350873
június,kegyetlenség,unrelated,word,word,0.0666090306652393
mászik,finanszírozás,unrelated,word,word,0.0653698086725898
bosszú,pamut-,unrelated,word,word,
királynő,szóda,unrelated,word,word,0.111667888866356
királyi,ár,unrelated,word,word,0.0506056708601322
elismerik,végül is,unrelated,word,word,
lord,magánélet,unrelated,word,word,0.0117047059088565
folyó,por,unrelated,word,word,0.125878767211164
tag,végső,unrelated,word,word,0.0706620394076592
szeminárium,hús,unrelated,word,word,0.109740943826787
lehetővé teszi,pokol,unrelated,word,word,
valószínűség,készít,unrelated,word,word,0.135993694826008
sárkány,hiány,unrelated,word,word,0.134147002749323
vese,viszlát,unrelated,word,word,0.074606904418153
béka,hálószoba,unrelated,word,word,0.11971054117312
regionális,torta,unrelated,word,word,0.0207302399666479
egyedül,folyadék,unrelated,word,word,0.048566448456778
rövid,masszázs,unrelated,word,word,0.0836780198547822
gyűlöl,sikerül,unrelated,word,word,0.126641296885208
falatozás,prototípus,unrelated,word,word,0.0998293215317542
robot,általában,unrelated,word,word,0.145042863770133
selyemfiú,zóna,unrelated,word,word,0.143372013280451
dajka,fontosság,unrelated,word,word,0.0542943683609236
iránytű,terhesség,unrelated,word,word,0.120177206175874
válás,veszélyes,unrelated,word,word,0.123668049329364
egyetlen,pozíció,unrelated,word,word,0.133077003587857
jóga,alagút,unrelated,word,word,0.147021982331351
seriff,tervezés,unrelated,word,word,0.0962757739648941
étel,biztos,unrelated,word,word,0.147737347251125
trófea,elrabol,unrelated,word,word,0.110429099766789
műalkotás,hűvös,unrelated,word,word,0.125172925487473
konferencia,támadó,unrelated,word,word,0.0872895888393949
vas,önző,unrelated,word,word,0.0732931828210623
kilométer,becsület,unrelated,word,word,0.0760252990477748
civil,unokaöcs,unrelated,word,word,0.0517260547128441
tévedés,sajt,unrelated,word,word,0.138127707001211
alázatos,kommunikáció,unrelated,word,word,0.144355890044291
képernyő,korai,unrelated,word,word,-0.00436797349621031
aszpirin,pálya,unrelated,word,word,0.0807619290652866
magaslat,reaktor,unrelated,word,word,0.138716635358361
ideg,ezüst,unrelated,word,word,0.118359849410876
dzsezz,tengerpart,unrelated,word,word,
evolúció,unokatestvér,unrelated,word,word,0.130975842462761
titok,civilizáció,unrelated,word,word,0.14323485452465
ország,leírás,unrelated,word,word,0.0950384756001031
torok,kapitány,unrelated,word,word,0.0451814135559717
szükséges,táska,unrelated,word,word,0.127885631506374
aggódó,magasság,unrelated,word,word,0.122600632549651
éjfél,küld,unrelated,word,word,0.00412499767815607
tisztán,színész,unrelated,word,word,0.0937840729793495
tenger,epizód,unrelated,word,word,0.0540694456548139
hivatalosan,szellőzés,unrelated,word,word,0.0537229246854394
szén,fenség,unrelated,word,word,0.0995332336968839
fokhagyma,zárva,unrelated,word,word,0.107767864637417
rendezni,program,unrelated,word,word,0.10403986055307
ingatlan,mennyei,unrelated,word,word,0.0660586141595929
levegő,család,unrelated,word,word,0.0360421762563089
szenvedő,motor,unrelated,word,word,0.0498528533660142
művész,ütés,unrelated,word,word,0.0958554419249739
felnőtt,császár,unrelated,word,word,0.100882937750599
sugár,elvár,unrelated,word,word,0.121220797136821
fázis,kicsi,unrelated,word,word,0.0764530432033793
kép,hidrogén,unrelated,word,word,0.102613224374539
szótár,beteg,unrelated,word,word,0.0752884826102909
szexuális,történik,unrelated,word,word,0.103748323315026
töredék,mérges,unrelated,word,word,0.0441772459115485
tehén,irodalom,unrelated,word,word,0.0879812693881296
űrhajós,jön,unrelated,word,word,0.130194352795227
tál,hatás,unrelated,word,word,0.0389756563797403
újságírás,ágy,unrelated,word,word,0.141854815354301
állapot,mocskos,unrelated,word,word,-0.00912709283164043
tehetetlen,mérkőzés,unrelated,word,word,0.147830142782711
szó szerint,nyomozó,unrelated,word,word,
zsákmány,csúnya,unrelated,word,word,0.116633562726684
kész,különböző,unrelated,word,word,0.146080818482432
kancellár,technika,unrelated,word,word,0.0967895955348184
hercegnő,összegyűjt,unrelated,word,word,0.139314272169221
cella,megállít,unrelated,word,word,0.0605285926785438
túsz,előállít,unrelated,word,word,0.0068932544053675
magán,patkány,unrelated,word,word,0.0877798069057548
nobel,szövet,unrelated,word,word,0.0590858301451421
baj,szenátor,unrelated,word,word,0.0427854979080879
gyár,reggel,unrelated,word,word,0.107022465974742
amatőr,hátulsó,unrelated,word,word,0.116153205965606
tiltott,eredmény,unrelated,word,word,0.0557868249343992
garancia,központ,unrelated,word,word,0.0878016311133317
szabály,grófnő,unrelated,word,word,0.0561680836713243
modell,vészhelyzet,unrelated,word,word,0.110821557181852
orvosi,kalap,unrelated,word,word,0.140973472104904
nyom,nagyon,unrelated,word,word,0.107501819136449
betét,halott,unrelated,word,word,0.0424155860308495
fél,ellenáll,unrelated,word,word,0.0998072577601311
mókus,könyv,unrelated,word,word,0.0494701326236994
szennyeződés,befektető,unrelated,word,word,0.111956042748993
optimista,kerület,unrelated,word,word,0.021536837952987
becsületes,térkép,unrelated,word,word,0.0697446928051489
növekedés,sikátor,unrelated,word,word,0.120259876959662
friss,megment,unrelated,word,word,0.0866800797462423
bérel,befejez,unrelated,word,word,0.0178220812599351
felelet,kolostor,unrelated,word,word,0.126136186168062
igény,oroszlán,unrelated,word,word,0.144383463630198
szegény,ellenőrzés,unrelated,word,word,0.0515324457514027
lop,száz,unrelated,word,word,0.0833751307262731
lopás,valahol,unrelated,word,word,0.0364832704864498
fordulat,járőr,unrelated,word,word,0.0977706354922601
kémkedés,fekete,unrelated,word,word,0.0770484152295753
elhárítás,egyszerű,unrelated,word,word,0.139359925842709
horgony,amerika,unrelated,word,word,0.142690766830558
kalóz,jegyzőkönyv,unrelated,word,word,0.0422846078005249
nyugdíj,megerősít,unrelated,word,word,0.0834542554741997
árverés,elmélet,unrelated,word,word,0.124280603731582
nindzsa,zsebkendő,unrelated,word,word,0.0232494954756946
radar,ebéd,unrelated,word,word,0.13430999147312
hős,bezárás,unrelated,word,word,0.0984462945281081
tetoválás,mínusz,unrelated,word,word,0.114540044976126
naptár,herceg,unrelated,word,word,0.0764146631437554
osztály,sugárzás,unrelated,word,word,0.0309372864968422
zseni,múlt,unrelated,word,word,0.106922414994807
megvesz,találkozó,unrelated,word,word,0.101727865784853
kormányzó,dzseki,unrelated,word,word,0.12644100383422
lövés,gyorsan,unrelated,word,word,0.126567169135536
rossz,évtized,unrelated,word,word,0.135334717390891
egyszerűen,fogás,unrelated,word,word,0.137776621492382
wc,kapcsolat,unrelated,word,word,0.0561725513667864
csepp,tanár,unrelated,word,word,0.0889471059033362
áll,befektetés,unrelated,word,word,0.0741068727425173
kis,hírek,unrelated,word,word,0.110062550102091
íz,műanyag,unrelated,word,word,0.110458049490366
féreg,esküvő,unrelated,word,word,0.00812566574826452
lövész,kötelesség,unrelated,word,word,0.0680121177384994
eső,szövetség,unrelated,word,word,0.0625214560714532
hold-,mosómedve,unrelated,word,word,
máshol,bűnügyi,unrelated,word,word,0.0643848135284713
lánya,hatalmas,unrelated,word,word,0.1025352522252
album,méter,unrelated,word,word,0.112997153488003
lasagna,pálya,unrelated,word,word,0.134381840235122
beszélgetés,vámpír,unrelated,word,word,0.133257835934193
távolság,nyomja meg,unrelated,word,word,
hobbi,agyi-,unrelated,word,word,
híres ember,atlanti,unrelated,word,word,
felület,felelőtlen,unrelated,word,word,0.102190019851581
megelőz,narancssárga,unrelated,word,word,0.108140631818441
banán,düh,unrelated,word,word,0.13434624441264
szundi,szabotázs,unrelated,word,word,0.144544672184871
határozottan,érzelmi,unrelated,word,word,0.13029786041509
őrültség,kikötő,unrelated,word,word,0.133341735178186
ajánl,gramm,unrelated,word,word,0.115153325024511
szombat,termék,unrelated,word,word,0.0723237872115493
operál,utca,unrelated,word,word,0.0975902716592107
megfullad,varázsló,unrelated,word,word,0.0836851095378017
lehetséges,kar,unrelated,word,word,0.040139663543018
hívás,külső,unrelated,word,word,0.121561742407233
rádió,nyúl,unrelated,word,word,0.0862894301654439
hő,vállalat,unrelated,word,word,0.124821151412311
villám,biztosítani,unrelated,word,word,0.0702921789782199
név,funkcionális,unrelated,word,word,0.141003772036805
takaró,igazságszolgáltatás,unrelated,word,word,0.139565215738113
baba,intelligens,unrelated,word,word,0.079330272725125
kém,dél,unrelated,word,word,0.139350834727106
mozog,szivar,unrelated,word,word,0.110092312958228
érzékelő,válság,unrelated,word,word,0.0760861058640083
kör,bájos,unrelated,word,word,0.11473574927802
hétfő,hamis,unrelated,word,word,0.0780115360473681
csirke,tanácsol,unrelated,word,word,0.0475395147474796
csiga,támadás,unrelated,word,word,0.141015613579615
szűkítés,nyomás,unrelated,word,word,
utolsó,tehetség,unrelated,word,word,0.0463258997422013
hirtelen,boston,unrelated,word,word,0.149198159823303
jelvény,tudta,unrelated,word,word,0.10295912291715
névtelen,rák,unrelated,word,word,0.109096213385575
kényelmetlen,fiú,unrelated,word,word,0.0794128106159232
vér,tizenéves,unrelated,word,word,0.136729142445837
zombi,mostanában,unrelated,word,word,0.105708484532055
filmelőzetes,megkísérel,unrelated,word,word,
fahéj,zászlóalj,unrelated,word,word,0.0941924065878299
szelep,szervez,unrelated,word,word,0.047060648097806
többség,kemping,unrelated,word,word,0.0199198101087576
jelölt,kellemes,unrelated,word,word,0.103503540402407
tiszta,erekció,unrelated,word,word,0.106693451175833
sherlock,csata,unrelated,word,word,0.0558595626332829
pisztoly,globális,unrelated,word,word,0.1241503753544
hónap,harcos,unrelated,word,word,0.104728204922697
napi,adomány,unrelated,word,word,0.0765150748351036
déli,menyasszony,unrelated,word,word,0.13953296385475
özvegy,vád,unrelated,word,word,0.131245870607443
olvas,hivatal,unrelated,word,word,0.0794737382752187
oké,gyakran,unrelated,word,word,0.08077376539589
piros,rendező,unrelated,word,word,0.0434012935212705
elhagy,ruha,unrelated,word,word,0.0991358755895112
gerinc-,lenyűgöz,unrelated,word,word,
elvisz,hiba,unrelated,word,word,0.0900040224427201
jelenlét,spagetti,unrelated,word,word,0.0386545147160449
terminál,adni,unrelated,word,word,0.0860763867874411
ufó,mosogató,unrelated,word,word,0.0824757182217584
hatásos,gyilkosság,unrelated,word,word,0.142025006994233
boncolás,erősen,unrelated,word,word,0.0400965131034006
mérnök,szavazó,unrelated,word,word,0.13096320063303
arzenál,érettségizni,unrelated,word,word,0.0669383702110074
természetes,csoport,unrelated,word,word,0.110720195749828
támogatás,vitorla,unrelated,word,word,0.146123240227702
titkár,mesterséges,unrelated,word,word,0.0373525064030528
áldozat,hűséges,unrelated,word,word,0.0467054414299165
vélemény,hulla,unrelated,word,word,0.137415390140254
tavaszi,villa,unrelated,word,word,0.113248372212338
csapda,emberek,unrelated,word,word,0.107591737302606
stádium,eltör,unrelated,word,word,0.120439405733047
csinos,mikroszkóp,unrelated,word,word,0.0333955192719895
biblia,homár,unrelated,word,word,0.10762061181819
pohár,hülye,unrelated,word,word,0.10643437306861
torony,elfogad,unrelated,word,word,0.105011599350366
segg,hivatalos,unrelated,word,word,0.129633413968679
csendes,liszt,unrelated,word,word,0.0945734353069731
anarchia,fülke,unrelated,word,word,0.113216313199268
palota,videó-,unrelated,word,word,
templom,díj,unrelated,word,word,0.0817070486721495
drága,újságíró,unrelated,word,word,0.0357476895661288
nyel,tegnap,unrelated,word,word,0.0884079005760315
ifjúság,artéria,unrelated,word,word,0.144418046169562
nyitás,szobor,unrelated,word,word,0.129651315555207
strand,mechanikai,unrelated,word,word,0.143567933623302
esik,zenész,unrelated,word,word,0.0951341542092311
ellenőr,pisztoly,unrelated,word,word,0.141135307620928
társadalom,szék,unrelated,word,word,0.134776481269696
túra,teremtmény,unrelated,word,word,0.135503010086404
kapcsolatba lépni,marketing,unrelated,word,word,
meleg,épület,unrelated,word,word,0.0508752950487265
paranoid,szobalány,unrelated,word,word,0.10617897923725
tolvaj,odaadás,unrelated,word,word,0.0911046196834566
helyzet,eladás,unrelated,word,word,0.108936134853237
édes,jövedelem,unrelated,word,word,0.146982995055022
nagybácsi,néz,unrelated,word,word,0.103121732871389
napnyugta,köszönet,unrelated,word,word,0.0655530746904505
élő,centiméter,unrelated,word,word,0.147254759598167
ízletes,ujjlenyomat,unrelated,word,word,0.133125566172966
feszültség,macska,unrelated,word,word,0.0247118625470374
teremtés,megvéd,unrelated,word,word,0.0726319315997272
angyal,baseball,unrelated,word,word,0.142188302687425
fájl,váratlanul,unrelated,word,word,0.111935016620208
késő,farkas,unrelated,word,word,0.122493693030976
jelenlegi,hallucináció,unrelated,word,word,0.142514719116392
menekülni,hosszú,unrelated,word,word,0.148114559092014
éjszaka,szimbólum,unrelated,word,word,0.142253071792567
jelenség,meghal,unrelated,word,word,0.103940073983104
földrengés,undorító,unrelated,word,word,0.0980769429423601
belső,gyümölcslé,unrelated,word,word,0.0356794353043142
siker,állomás,unrelated,word,word,0.0960619165029498
klán,webes,unrelated,word,word,0.119877984857222
szörnyű,vallás,unrelated,word,word,0.10308603774361
köhögés,információ,unrelated,word,word,0.140763489817325
vége,eltűnés,unrelated,word,word,0.101249341313147
tűz,megért,unrelated,word,word,0.0733568185463983
leszállás,hulladék,unrelated,word,word,0.127429825292062
két,gyors,unrelated,word,word,0.109832319018353
udvarias,szökés,unrelated,word,word,0.0425683118443072
kapcsolat,olaj,unrelated,word,word,0.0599294566942873
üres,tenisz,unrelated,word,word,0.0395024816335779
hadműveleti,szép,unrelated,word,word,0.0671401221224292
világegyetem,síp,unrelated,word,word,0.0877985495978871
portál,önkéntesen,unrelated,word,word,0.0998914034480156
ajánlat,baleset,unrelated,word,word,0.0807389927348944
gratulál,állat,unrelated,word,word,0.0920605096530403
zongora,kartell,unrelated,word,word,0.0648949262239959
előfordul,apu,unrelated,word,word,0.129470665379482
egyensúly,kereskedő,unrelated,word,word,0.126211215835601
visszaszerez,legenda,unrelated,word,word,0.100029681093606
hallgat,hegy,unrelated,word,word,0.0610184550576352
ég,vicces,unrelated,word,word,0.0758070203531275
nehéz,vakcina,unrelated,word,word,0.118750533187237
paradicsom,apa,unrelated,word,word,0.0926012319002949
kokain,huzal,unrelated,word,word,0.140268783011
aids,étterem,unrelated,word,word,0.033864173723893
kiváltság,vihar,unrelated,word,word,0.121634788429492
értékes,légkör,unrelated,word,word,0.0846459311239217
büntetés,keleti,unrelated,word,word,0.0912911676301623
forrás,gondol,unrelated,word,word,0.102587553056602
célja,téli,unrelated,word,word,0.129267609455304
véletlenül,visszatérés,unrelated,word,word,0.0623439070009292
idősebb,igazi,unrelated,word,word,0.100938816965239
illegális,fiatal,unrelated,word,word,0.0738905291149804
távirat,kiválaszt,unrelated,word,word,0.123704615523123
konzervatív,játék,unrelated,word,word,0.0177238085433126
sötétség,eszik,unrelated,word,word,0.120263585092366
ming,térd,unrelated,word,word,0.0962426943303655
megőrzik,polgármester,unrelated,word,word,0.0943690105676491
ellenőrzés,ügyész,unrelated,word,word,0.106267113717164
minimális,politikus,unrelated,word,word,0.117091650175993
ketchup,buli,unrelated,word,word,0.102414567170631
kereskedelmi,intuíció,unrelated,word,word,0.0910602132899034
