"bg_target","bg_cue","bg_fake_cue","bg_fake_target","en_cue","en_target"
"огърлица","пръстен","пръсват","траплица","ring","necklace"
"одобрение","разрешение","разрешествам","украрение","permission","approval"
"океан","в морето","в мормъдж","пипан","sea","ocean"
"октомври","септември","упортември","октомхайв","september","october"
"омар","тон","орн","жъар","tuna","lobster"
"опасни","рискова","обядкова","квадни","risky","dangerous"
"опасност","риск","рицу","правност","risk","danger"
"описание","профил","прорад","описаждал","profile","description"
"опонент","враг","врйз","опофорт","enemy","opponent"
"опресняване","пресни","ростни","струпняване","fresh","refresh"
"оранжево","зелено","стъплено","смешжево","green","orange"
"орбита","планета","обяснета","стълбита","planet","orbit"
"организиране","подреждане","подрествия","организичиства","arrange","organize"
"оръжейница","арсенал","арсеквоя","оръвятърница","arsenal","armory"
"оръжие","пистолет","пистодард","орънян","pistol","weapon"
"остават","престой","прескаш","ствуват","stay","remain"
"отвличат","отвличане","отвлинист","стрелчат","kidnap","abduct"
"отвратителен","гаден","гатия","отнеидентителен","nasty","filthy"
"отвратително","мръсни","въобсни","отнеидентително","dirty","disgusting"
"отговор","отговор","отгознат","отгослиш","answer","reply"
"отзад","фронт","зоонт","отсре","front","rear"
"отивам","въведете","стигдете","целвам","enter","go"
"откуп","похитител","похитикване","отчит","kidnapper","ransom"
"относно","навън","нарой","откриено","out","about"
"отпътуване","пристигане","пристистът","отпътуомбли","arrival","departure"
"отрицателен","положителен","положитефактът","отрицатеатърът","positive","negative"
"отсъствие","присъствие","причиствах","отчистваш","presence","absence"
"офис","на бюро","на бщoтo","офку","desk","office"
"официален","официално","изтърциално","изтърциален","officially","official"
"оцелея","на живо","на жанел","оцебят","live","survive"
"оценка","наблюдение","нанесподение","срешка","observation","evaluation"
"оценявам","възхищавам се","възхищавамлайтър","незанявам","admire","appreciate"
"очаквам","изчакайте","изчамьонгте","неизквам","wait","expect"
"очарователен","атрактивен","потрътивен","претъррователен","attractive","charming"
"очевидно","ясно","иконо","очекрайно","clearly","obviously"
"пазя","държа се","държабанът","пасал","hold","keep"
"пакет","плик","оник","палял","envelope","package"
"палец","пръст на ръката","летър на ръката","патит","finger","thumb"
"палуба","кабина","капредна","паньонба","cabin","deck"
"памук","коприна","косбъдна","пакюз","silk","cotton"
"параграф","раздел","разрии","парадент","section","paragraph"
"параклис","църква","вграва","паньонлис","church","chapel"
"паранормално","свръхестествено","неудобхестествено","парапевткамално","supernatural","paranormal"
"пари","пари в брой","пари събрал","ньори","cash","money"
"парола","код","хад","неверола","code","password"
"парти","рецепция","ретракция","ексти","reception","party"
"парфюм","червило","бисквило","партау","lipstick","perfume"
"парче","фрагмент","плавмент","летче","fragment","piece"
"паспорт","билет","бишим","текпорт","ticket","passport"
"патрул","пазарство","пазарност","патниг","guard","patrol"
"пенис","влагалище","съпругалище","педох","vagina","penis"
"периметър","радиус","радизайн","перисбърг","radius","perimeter"
"перспектива","гледка","гантка","пергофретива","view","perspective"
"песен","албум","алриж","пелив","album","song"
"петрол","въглища","ползлища","петдис","coal","oil"
"печеля","печалба","пеавиоба","пеправля","gain","win"
"печка","фурна","хидна","ядека","oven","stove"
"пилот","астронат","астролинс","пивий","astronaut","pilot"
"писане","четене","чединг","пилард","reading","writing"
"писателка","поет","потуп","писаморъчка","poet","writer"
"писмо","телеграма","телебедътма","пияко","telegram","letter"
"пистолет","пушка","даска","пистосваш","rifle","gun"
"питам","въпрос","върдос","пидил","question","ask"
"пиша","прочети","слънчети","пител","read","write"
"пиян","трезвен","кръввен","питим","sober","drunk"
"пламък","пожар","поруд","плахир","fire","flame"
"планина","хълм","хъух","стичнина","hill","mountain"
"планиране","подготовка","подгосбръчка","планистра","preparation","planning"
"пластмасов","цимент","цифист","въвлемасов","cement","plastic"
"платно","котва","сбива","спазно","anchor","sail"
"плаша","плаша","чарша","чарша","scare","frighten"
"племенник","внук","cdук","плекрайник","grandson","nephew"
"плод","ябълка","гръдка","пллф","apple","fruit"
"плоча","купа","курор","хайча","bowl","plate"
"плуване","ударение","вклюрение","убеване","drown","swim"
"плъх","мишка","лекка","пллш","mouse","rat"
"по дяволите","парадайз","паразънд","по дяволльонът","paradise","hell"
"по обяд","полунощ","полулане","поуборд","midnight","noon"
"победа","победа","поосъжда","поосъжда","victory","defeat"
"победител","загубеняк","загубефийлд","победишване","loser","winner"
"поведение","становище","непълновище","поведестран","opinion","attitude"
"поверителност","частни","устони","поверителстване","private","privacy"
"повърхност","слой","сллю","погребност","layer","surface"
"погребване","копаене","кошепне","поукриване","dig","bury"
"погребение","ковчег","ковзио","погребелязъл","coffin","funeral"
"под наем","под наем","под нбиот","под нбийл","hire","rent"
"подарък","похвали","погрешли","посирът","compliment","gift"
"поддръжка","запази","запаство","подгмурка","preserve","maintain"
"поддръжка","обслужване","обдръпване","подгмурка","service","maintenance"
"подобрение","промяната","обезумяната","подобрестарт","change","improvement"
"подпис","печат","певия","подбуж","stamp","signature"
"подслон","убежище","съжажище","подсмит","refuge","shelter"
"пожелавам","желание","желасъми","пожелапидъс","desire","wish"
"позволявам","позволява","съглаволява","съглаволявам","allow","let"
"поздрав","поздравявам","потресевявам","позаръс","congratulate","greet"
"позиция","статус","стамие","позикант","status","position"
"покер","хазарт","харайд","поплю","gambling","poker"
"полет","кацане","канент","поана","landing","flight"
"политик","политика","поескортика","полизане","policy","politician"
"политика","журналистика","нещастналистика","поескортика","journalism","politics"
"политически","критични","криванени","политичементът","critical","political"
"полковник","общ","бещ","полпленник","general","colonel"
"помня","забрана","завдигна","влюня","forget","remember"
"помощ","поддържа","оправржа","поест","support","assistance"
"помощник","помогне","помонист","покрайник","help","assist"
"помощник","секретар","секремент","покрайник","secretary","assistant"
"портал","портал","порнец","зентал","portal","gate"
"портмоне","джоб","джчер","кратмоне","pocket","wallet"
"поръчка","команда","коблужда","данъчка","command","order"
"последно","първо","пържане","погантно","first","last"
"посочете","точка","гника","поизтънчете","point","indicate"
"пост","набиване","набилярд","пощу","down","up"
"постоянно","винаги","винавакс","порядъчянно","always","constantly"
"посъветвам се","съвети","снайти","почистване се","advice","advise"
"потвърждение","потвърждение","поздравждение","поздравждение","confirmation","confirm"
"правдоподобен","обяснение","прегнение","осъзнадоподобен","explanation","plausible"
"правилно","погрешно","поупълно","пранепоно","wrong","correct"
"правителство","администрация","администрастване","правителнахте","administration","government"
"правосъдие","отмъщение","отмъщеторът","праворване","revenge","justice"
"правя","онези","дризи","червя","make","do"
"празник","коледа","когражда","празват","christmas","holiday"
"практически","буквално","букфрезно","изтъртически","literally","practically"
"прах","аш","ък","прбс","ash","dust"
"прегръдка","целувка","цестичка","превпуска","kiss","hug"
"предавател","сензор","сенцел","събуждавател","sensor","transmitter"
"преданост","вярност","хайност","предапред","fidelity","devotion"
"предател","шпионин","сравонин","предаския","spy","traitor"
"предизвикателство","пречка","тромка","предизвикателпендънс","obstacle","challenge"
"предложение","предложи","стваложи","некроложение","propose","suggest"
"предмет","обект","обнит","предхал","object","subject"
"преднамерено","случайно","слудневно","статъчнамерено","accidentally","intentionally"
"предоставят","активиране","активизорът","упражставят","enable","provide"
"предположение","заключение","заизтънчение","осъзнаположение","conclusion","assumption"
"предприемач","милионер","милиоствие","съглаприемач","millionaire","entrepreneur"
"председател","таблица","портлица","съгласедател","table","chair"
"президент","канцлер","канцвач","презинард","chancellor","president"
"прекрасен","ница","стоца","престенсен","nice","lovely"
"премахване","елиминирайте","осъзнаминирайте","премасохме","eliminate","remove"
"прескачане","изкачвам се","изкачвамгодaря","пресканист","climb","jump"
"престъпление","грях","грму","преуправление","sin","crime"
"престъпник","крадец","кращах","превестник","thief","criminal"
"преувеличавам","подценявам","въженценявам","префектътличавам","underestimate","exaggerate"
"привличане","внимание","споммание","привлиствия","attention","attract"
"приготви се","готов","гомил","приготвиденът","ready","prepare"
"придружавам","ескорт","люкорт","приливътжавам","escort","accompany"
"приемам","отказвам","отстравам","приестят","refuse","accept"
"признавам","признавам","приследвам","приследвам","admit","confess"
"примамка","капан","каних","привзиска","trap","bait"
"принц","принцеса","събицеса","стинц","princess","prince"
"пристанище","залив","загат","приливътнище","bay","harbor"
"присъда","дума","спома","припърд","word","sentence"
"причиняването","причина","хвърчина","причиняванетомонтьор","reason","cause"
"приятел","колега","колестин","прияския","colleague","friend"
"приятелски","учтив","нутив","приясъщински","polite","friendly"
"приятелство","връзка","крейка","приятелнахте","relationship","friendship"
"приятен","удобно","тролно","прияност","comfortable","pleasant"
"пробен период","изслушване","изслуствия","пробен пертякваш","hearing","trial"
"пробив","разбивам","разбилярд","прошер","smash","break"
"проблем","работа","ракраста","проджеб","trouble","problem"
"провал","успех","устах","просеш","success","failure"
"проверка","проверка","промрънка","пролистка","check","verify"
"програма","проект","протър","просперма","project","program"
"продава","купува","куостава","глеждава","buy","sell"
"продажба","търгер","тървям","пропрееба","auction","sale"
"продукт","марка","коска","протрот","brand","product"
"продължи","продължете","неприлжете","неприлжи","proceed","continue"
"производителност","шоу","диу","производителказване","show","performance"
"производство","фабрика","кръврика","производнахте","factory","production"
"прокурор","юрист","peист","прокудиън","lawyer","prosecutor"
"проповедник","реч","енч","пропосмъртник","speech","sermon"
"прост","създаване","създалист","прайт","create","produce"
"прост","просто","пронец","прайт","simply","simple"
"противопоставям се","резистентност","резигадъчност","противопоставямлиндърът","resistance","resist"
"протокол","правило","бисквило","протонист","rule","protocol"
"прототип","модел","мовям","протоплаз","model","prototype"
"проучване","изследвания","изнудвавания","проучност","research","study"
"професионален","аматьори","зертьори","професионарастват","amateur","professional"
"професор","декан","дечур","профезваш","dean","professor"
"процедура","процес","прокум","въженцедура","process","procedure"
"пръск","крава","обева","прник","cow","pig"
"пръстов отпечатък","днк","сгк","пръстов отпкелрой","dna","fingerprint"
"психологически","медицински","медисъветски","джентълхологически","medical","psychological"
"психология","анатомия","анатограф","психолонахте","anatomy","psychology"
"птика","пеперуда","пепеоглежда","върка","butterfly","bird"
"публика","тълпа","удипа","разолика","crowd","audience"
"пура","дим","зъм","сьора","smoke","cigar"
"пълен","празен","пражиш","пъват","empty","full"
"пълно","обща сума","обща слетът","опано","total","complete"
"първичен","втори","ранри","първижтряб","secondary","primary"
"пътека","маршрут","маршпий","стватека","route","path"
"пясък","кал","хул","пярит","mud","sand"
"работа","приложи","стваложи","ракраста","apply","use"
"работа","работа","ракраста","ракраста","job","work"
"работник","земеделски производител","угриземеделски производител","расредник","farmer","worker"
"радиация","замърсяване","замърсяторът","радиаратът","contamination","radiation"
"радост","удоволствие","удоволфганг","разват","pleasure","joy"
"разбирам","осъзнавам","съблазвам","разбилярд","realize","understand"
"развитие","прогрес","пробинс","развиньон","progress","development"
"развълнуван","горда","тъчда","стресинуван","proud","excited"
"различно","подобен","подослов","раздразно","similar","different"
"разочарование","изненада","изненастрой","сътрудчарование","surprise","disappointment"
"разрез","късам","къкох","разнас","tear","cut"
"разследване","разследвам","разползвам","разхранване","examine","investigate"
"разумен","панаир","панашват","разуства","fair","reasonable"
"разходка","дрямка","бракка","раздръжка","nap","stroll"
"разходка","проницателност","проницателстване","раздръжка","run","walk"
"рак","тумор","туняк","жък","tumor","cancer"
"ракета","ракета","расистта","расистта","rocket","missile"
"рано","късен","кълас","тично","late","early"
"реактор","генератор","генерабанът","реакцент","generator","reactor"
"реален","вярно","стъно","реанист","TRUE","real"
"реалистични","оптимист","оптибрах","реалижансътни","optimistic","realistic"
"ревност","пинг","пиус","изиност","ping","ding"
"резултат","в резултат","в резурвър","рекламтат","result","outcome"
"религия","философия","филосождане","реликане","philosophy","religion"
"ремонт","поправка","поуспока","резнат","fix","repair"
"репутация","кариера","сервитьоркариера","репутаторът","career","reputation"
"ресторант","кръчма","фресма","рестосвах","pub","restaurant"
"решителност","кураж","купур","решителстван","courage","determination"
"риба","акула","собла","ричен","shark","fish"
"риболов","на лов","наглия","рибостън","hunting","fishing"
"рим","цезар","цесох","вaм","caesar","rome"
"рисувам","боядисвам","боядигане","рисуийтс","paint","draw"
"родител","възрастен","възностне","родиския","adult","parent"
"рожден ден","годишнина","гостраннина","рожденклал","anniversary","birthday"
"рокля","пола","подоб","тесля","skirt","dress"
"романтичен","драматични","невниматични","роескортичен","dramatic","romantic"
"ръчна ръкавица","ръка","манка","ръчна ръкавплорър","hand","arm"
"рядко","от време на време","от време на растващ","ножко","occasionally","rarely"
"с колапс","есен","нуен","леролапс","fall","collapse"
"саботаж","шпионаж","шпиоцент","сабоньон","espionage","sabotage"
"салата","супа","диапа","предлата","soup","salad"
"самотен","сам","еъм","самоупра","alone","lonely"
"самурай","нинджа","шевджа","самунист","ninja","samurai"
"сантиметър","миля","миери","сантиканът","mile","centimeter"
"сателит","радар","равят","сатесвал","radar","satellite"
"сватба","ангажиране","ангаживотът","гладба","engagement","wedding"
"светлина","тъмнина","енернина","изоблина","darkness","light"
"свещ","лампа","кълпа","сваш","lamp","candle"
"свещеник","монк","моци","свещехата","monk","priest"
"свидетелство","свидетелствувам","свидетелиздърпвам","свидетелнахте","witness","testimony"
"свирка","рог","хаг","кривка","horn","whistle"
"свят","международен","осъзнадународен","беят","international","world"
"сграда","кула","кумен","фрагда","tower","building"
"север","юг","aе","серио","south","north"
"седмица","месец","мегар","хвърмица","month","week"
"седмично","ежедневно","ежекрайно","седпразно","daily","weekly"
"седнете","столица","влеклица","шрапнете","stand","sit"
"село","лагер","лавял","сегаш","camp","village"
"семейство","клан","няан","семейнард","clan","family"
"сенат","парламент","парлатрел","сегне","parliament","senate"
"сенатор","губернатор","гуизточнатор","сенаване","governor","senator"
"сервитьорка","сервитьор","себритьор","непредубека","waiter","waitress"
"сигнал","честота","чепланта","кейнал","frequency","signal"
"сигурно","сейф","сеял","сикратно","safe","secure"
"сила","сила","сител","сител","strength","force"
"силно","твърдо","устадо","ленно","firmly","strongly"
"символ","флаг","флйз","симзеф","flag","symbol"
"син","дъщеря","дъсъбаря","олн","daughter","son"
"син","кафяв","катеи","олн","brown","blue"
"синдром","симптом","тръптом","синджът","symptom","syndrome"
"сирене","хляб","хлuv","синант","bread","cheese"
"система","мрежа","койжа","сикръчма","network","system"
"скандал","клюка","силка","сканлиш","gossip","scandal"
"скорост","разстояние","разказваяние","скокант","distance","speed"
"скром","скромен","смаймен","рером","humble","modest"
"слаб","благороден","благороизточ","слдa","noble","brave"
"слаб","сила","сител","слдa","strong","weak"
"слава","славен","слабич","купва","glorious","glory"
"слагам","вмъкване","вмъкрофт","сладил","insert","put"
"сладък","сладка","правка","градък","sweet","cute"
"следовател","анализатор","анализагадъч","трансдовател","analyst","investigator"
"слуга","роб","сиб","добга","slave","servant"
"случайно","възникне","възстене","слувестно","occur","happen"
"слънце","луна","мална","сглоце","moon","sun"
"слънчев","лунен","лучиш","слънциг","lunar","solar"
"смес","комбинация","комбинастрой","смйк","combination","mixture"
"смях","усмихни се","упражни се","смлт","smile","laugh"
"снайперист","стрелец","стрепах","снайпенелъ","shooter","sniper"
"снимка","снимка","ескика","сродка","picture","photo"
"сняг","дъжд","дъхн","снъп","rain","snow"
"собственик","имот","имлс","собвестник","property","owner"
"сок","мляко","двaко","рек","milk","juice"
"сонда","капсула","мъртсула","русда","capsule","probe"
"сос","крем","баем","йвс","cream","sauce"
"спагети","лазаня","латрудня","енергети","lasagna","spaghetti"
"спалня","стая","стйк","смекня","room","bedroom"
"спаси","спасяване","спасяност","майси","rescue","save"
"спасител","герой","гетем","обезсител","hero","savior"
"специалист","експерт","екслипт","специаствам","expert","specialist"
"спешен случай","спешно","ствано","спешен сллумб","urgent","emergency"
"списание","плейбой","плейдая","ограсание","playboy","magazine"
"спокоен","тишина","тикварна","данъкоен","quiet","calm"
"спор","конфликт","конлитът","спзе","conflict","dispute"
"споразумение","договор","догомейн","споразумегатрон","contract","agreement"
"спорт","хоби","ховах","спюст","hobby","sport"
"способност","капацитет","капацисизъм","способстве","capacity","ability"
"спри се","предотвратявам","страхувратявам","спривов","prevent","stop"
"спринцовка","игла","фейла","преотцовка","needle","syringe"
"спя","почивка","погладка","йея","rest","sleep"
"сребро","златен","бонтен","биберо","golden","silver"
"среща","вж","сь","глуща","see","meet"
"среща","конференция","конфемизъмция","глуща","conference","meeting"
"станция","платформа","всичформа","ненация","platform","station"
"статуя","паметник","падлъжник","сталох","monument","statue"
"стачка","хит","иът","сплока","hit","strike"
"стил","ритъм","риевм","ънил","rhythm","style"
"стихотворение","текст","аркст","стихоландъррение","text","poem"
"сто години","хиляда","олимда","сто годларът","thousand","hundred"
"стомана","бетон","бечам","травмана","concrete","steel"
"странен","необичайно","оплесчайно","празнен","unusual","strange"
"страст","ентусиазъм","ентусигурна","страбе","enthusiasm","passion"
"стратегия","план","екан","непотегия","plan","strategy"
"страх","ужас","ofас","стакх","horror","fear"
"страхотен","отличен","отливост","непохотен","excellent","great"
"стрелец","изстрел","изстващ","стрехан","shot","shoot"
"структура","пирамида","пирасъбужда","съдебтура","pyramid","structure"
"студ","горещо","горестав","дууд","hot","cold"
"сутрин","утре","яйре","югорин","tomorrow","morning"
"събитие","феномен","феностаз","събилях","phenomenon","event"
"събрание","събиране","опитране","изтръние","collect","gather"
"съвпада","турнир","турмес","охрапада","tournament","match"
"съвършенство","идеален","склюален","объркшенство","ideal","perfect"
"съдба","съдба","блиба","хипба","fate","destiny"
"съдия","съдебна зала","негодна зала","мидия","court","judge"
"съдържание","съдържание","неспоржание","неспоржание","contain","content"
"създание","чудовище","съсредовище","оградание","monster","creature"
"съобщение","внимание","споммание","хвърщение","warning","message"
"съпруга","съпруг","съприя","съзнага","husband","wife"
"състезание","маратон","марасист","разтозание","marathon","race"
"състрадание","търпение","търперанс","страстдание","patience","compassion"
"таймер","детонатор","детонаказва","тайкон","detonator","timer"
"талант","потенциал","порядъчциал","ташене","potential","talent"
"там","тук","авк","лом","here","there"
"танци","танцьорка","танякичка","иници","dancer","dance"
"татко","чифт","орфт","дебко","uncle","dad"
"творчество","въображение","предоражение","оранчество","imagination","creativity"
"театър","кино","гурно","теячът","cinema","theater"
"тежко","тежък","тесук","мачко","heavy","heavily"
"тел","кабел","калът","айл","cable","wire"
"телевизия","радио","ратав","телевиторът","radio","television"
"телефон","обади се","обадилумб","телешваш","call","telephone"
"температура","тела","тести","осъзнапература","heat","temperature"
"тенис","голф","гози","тепат","golf","tennis"
"теория","идея","идно","сцерия","idea","theory"
"тест","експеримент","експерифийлд","тега","experiment","test"
"техника","метод","медас","устаника","method","technique"
"течност","течност","пишност","уитност","liquid","fluid"
"тийнейджър","тийнейджърка","тийнейстряска","тийнейляне","teenage","teenager"
"тишина","тихо","тифия","тикварна","silent","silence"
"товар","натоварване","натоварторът","тосох","load","cargo"
"торнадо","ураган","ефиган","грешнадо","hurricane","tornado"
"торта","десерт","денърс","жанта","dessert","cake"
"трагичен","тъжен","тъпач","услугичен","sad","tragic"
"традиционен","модерен","модекард","съзвездиционен","modern","traditional"
"трансфер","ход","ард","трансвий","move","transfer"
"тревога","загриженост","загрижелязна","учтивога","concern","worry"
"треска","кашлица","вслулица","брайка","cough","fever"
"три","един","едох","жди","one","three"
"триъгълник","кръг","кроl","увъргълник","circle","triangle"
"тройно","двойно","достно","вратно","double","triple"
"трон","корона","ковдигна","гион","crown","throne"
"трудно","тежки","мадки","крипно","tough","hard"
"трябва","необходимо","разтоходимо","дразва","necessary","need"
"тунел","мост","моам","тупан","bridge","tunnel"
"турция","пиле","пивим","сакция","chicken","turkey"
"тъкан","на кожата","на кожгрейв","тъщия","skin","tissue"
"тъмен","сянката","жюликата","тъжих","shadow","dark"
"търговец","търговски","търджърски","търгостът","commercial","merchant"
"убиец","убиец","гърец","гърец","killer","murderer"
"убийство","отрова","неверова","уврество","poison","kill"
"убийство","самоубийство","самопотомство","уврество","suicide","murder"
"уволнение","оставка","екстака","вдъхнение","resignation","dismissal"
"уеб","интернет","инскайнет","ълб","internet","web"
"ужасен","ужасно","вратно","крусен","terrible","horrible"
"ужасяващо","страшен","страции","предосяващо","scary","creepy"
"улица","авеню","уийню","кашца","avenue","street"
"улов","хлеб","хлрч","улus","grab","catch"
"умират","страдам","странят","мейрат","suffer","die"
"университет","колежа","колеския","универсиждане","college","university"
"уникален","специален","специаторът","даръкален","special","unique"
"униформа","грешка","травка","унисексма","badge","uniform"
"унищожаване","създаване","създалист","унищожаторът","creation","destruction"
"уотсън","шерлок","ауклок","очусън","sherlock","watson"
"упражнение","практика","одобтика","предонение","practice","exercise"
"урина","кръв","кршe","тейна","blood","urine"
"успех","управление","прекъление","устах","manage","succeed"
"устройство","чип","дюп","стресиство","chip","device"
"ухо","огледа","струда","чaо","eye","ear"
"участник в актьор","автор","авции","въстаник в актьор","author","actor"
"учен","гений","герая","азен","genius","scientist"
"учение","уча","гаа","фанние","learn","teach"
"училище","клас","клий","твърлище","class","school"
"учител","студент","оридент","бедтел","student","teacher"
"факс","пощата","построта","файб","mail","fax"
"фалшив","фалшив","фалжек","фаллае","fake","FALSE"
"фамилия","псевдоним","сръбдоним","фамиване","nickname","surname"
"фантазия","реалност","реалбион","оплатазия","reality","fantasy"
"фантастичен","чудесен","чудероби","съглатастичен","wonderful","fantastic"
"фатален","смъртоносен","разтотоносен","фатастич","deadly","fatal"
"федерация","колония","колоугън","федераторът","colony","federation"
"фестивал","карнавал","стиснавал","фестимост","carnival","festival"
"физически","сексуален","секхвърлен","физичетохме","sexual","physical"
"филм","порно","сивно","фиоб","porn","movie"
"финанси","банкиране","банкифлич","фипрокси","banking","financial"
"финансиране","бюджет","бюдрящ","финансимизъм","budget","funding"
"финансиране","финансово","финанджингво","финансимизъм","financially","financing"
"флота","морски","очаски","белта","marine","navy"
"флота","военноморски","военнокуклински","белта","naval","fleet"
"фотограф","автограф","автослен","фотослиш","autograph","photographer"
"френски","английски","анфренски","внедски","english","french"
"функционален","оперативен","трансративен","страхуционален","operational","functional"
"футбол","баскетбол","схвакетбол","сакбол","basketball","football"
"халюцинация","илюзия","щразия","халюцинараства","illusion","hallucination"
"хамбургер","сандвич","снежвич","сглобургер","sandwich","hamburger"
"хапче","таблетка","грешлетка","товче","tablet","pill"
"хармония","баланс","багърс","хармосфер","balance","harmony"
"харча","отпадъци","отвертци","плеча","waste","spend"
"хеликоптер","линейка","лисбирка","хеликодсмит","ambulance","helicopter"
"хероин","кокаин","кокастър","херольов","cocaine","heroin"
"хив","спин","поин","гев","aids","hiv"
"химилка","хартия","стотия","хикръшка","paper","pen"
"хирургия","работа","ракраста","хирурдане","operate","surgery"
"хищник","плячка","елитка","селник","prey","predator"
"хора","население","населестрад","апара","population","people"
"художник","художник","хупразник","хупразник","artist","painter"
"царство","кралски","клински","ръчство","royal","kingdom"
"цвете","расла","елила","смуте","plant","flower"
"цена","стойност","тайнност","дитна","value","price"
"централно управление","база","басти","централно управлчуствам","base","headquarters"
"церебрален","мозъка","съдъка","цереспектлен","brain","cerebral"
"церемония","ритуал","евентуал","церемометър","ritual","ceremony"
"цивилизация","култура","съботура","цивилизабърква","culture","civilization"
"цигаре","тютюн","тюпящ","циодобре","tobacco","cigarette"
"циничен","неприятен","състоятен","цинистра","naive","cynical"
"цирк","зоологическа градина","зоологическа градпортьорът","циев","zoo","circus"
"чанта","кутия","курот","бутта","box","bag"
"чао","здравейте","същевейте","тьо","hello","bye"
"частица","материя","матества","чаванеца","matter","particle"
"че","какво","какинън","ръ","what","that"
"черен","бяло","рейло","челим","white","black"
"черен дроб","бъбрек","бъбждаш","черен ливш","kidney","liver"
"череп","костен","косвах","челаг","bone","skull"
"чест","привилегия","привилебедът","зост","privilege","honor"
"честен","приличен","хвърличен","чезвай","decent","honest"
"честност","лоялност","лоялство","рантност","loyalty","honesty"
"често","понякога","съхранякога","чепят","sometimes","often"
"четвърт","половин","полоджър","чесмърт","half","quarter"
"четвърто","трети","стоти","развърто","third","fourth"
"четири","две","feе","стартири","two","four"
"членство","директен","дисмъртен","иранство","direct","directly"
"човек","човек","чожия","чобив","man","human"
"чувам","слушам","слумир","чузет","listen","hear"
"чувствителен","деликатен","деликалавър","чувтеглетелен","delicate","sensitive"
"чувство","впечатление","съглачатление","шинство","impression","feeling"
"чук","пръчка","впряка","вeк","stick","hammer"
"шампанско","вино","зумно","оглепанско","wine","champagne"
"шампионат","конкуренция","конкуполътция","поддъпионат","competition","championship"
"шапка","каска","ботка","мерка","helmet","hat"
"шапка с козирка","очила","брела","шапка с козрастен","glasses","cap"
"шега","трик","дуик","върга","trick","joke"
"шеф","мениджър","менистия","ръф","manager","boss"
"широк","тесно","лапно","шикае","narrow","wide"
"шоколад","захар","закос","шокоявиш","sugar","chocolate"
"шофьор","пътник","сарник","шониол","passenger","driver"
"щастлив","удовлетворен","състевлетворен","сметлив","satisfied","happy"
"юли","юни","буи","пьи","june","july"
"юридически","незаконно","задъконно","негоддически","illegal","legal"
"ягода","банан","бавяй","свяда","banana","strawberry"
"ядене","храна","ресна","очене","food","meal"
"ядосан","ревнив","ревбао","бръсан","jealous","angry"
"ядрен","атомник","огорник","яджия","atomic","nuclear"
"яжте","фураж","фудир","юкате","feed","eat"
"яйца","гнездо","млечдо","детца","nest","egg"
"яке","риза","ритет","мее","shirt","jacket"
"ярост","гняв","гнєi","ярдот","anger","rage"
"ярък","блясък","рошсък","siък","shine","bright"
