"fr_cue","fr_target","fr_fake_target","fr_fake_cue","en_cue","en_target"
"lasagne","spaghetti","spakristi","lapause","lasagna","spaghetti"
"le chaos","confusion","tuyausion","lechasse","chaos","confusion"
"le commandant","capitaine","capisives","le commacelse","commander","captain"
"le dessert","gâteau","gâtown","le degleux","dessert","cake"
"le golf","tennis","tenham","leghold","golf","tennis"
"le jazz","la musique","la mneille","leplatz","jazz","music"
"le management","administratif","administraçables","le managturges","management","administrative"
"le minimum","maximum","maxiraj","le mincordj","minimum","maximum"
"le pardon","pitié","pidou","le paguev","forgiveness","mercy"
"le printemps","automne","authans","le pricieres","spring","autumn"
"le progrès","développement","développerasses","le prkoums","progress","development"
"le respect","confiance","confiagee","le reviets","respect","confidence"
"le sida","vih","ådh","le ssayo","aids","hiv"
"le sourire","rire","rict","le socret ","smile","laugh"
"le tabac","cigarette","cigageais","le tfood","tobacco","cigarette"
"légion","armée","archu","létium","legion","army"
"lent","vite","alte","trnt","slow","fast"
"lentement","rapidement","rapideville","lenterais","slowly","quickly"
"les données","information","informazette","les dolacks","data","information"
"lesbiennes","gay","ewy","pombiennes","lesbian","gay"
"lèvre","joue","jomi","euvre","lip","cheek"
"liberté","la démocratie","la démocrcrunch","liploité","freedom","democracy"
"librement","libre","lirae","librequin","freely","free"
"lier","nouer","nobur","lipu","bind","tie"
"lieu","lieu","liié","roeu","place","location"
"ligue","équipe","dûuipe","linde","league","team"
"limonade","un soda","un smenc","limosphé","lemonade","soda"
"liquide","fluide","flopde","livulse","liquid","fluid"
"lire","écrivez","écridée","jere","read","write"
"locataire","propriétaire","propriénique","localiste","tenant","landlord"
"loger","appartement","appartenaire","lotée","house","apartment"
"logiciel","l'ordinateur","l'ordinculpe","logitout","software","computer"
"loisir","sport","réort","saesir","hobby","sport"
"lourd","fortement","forterais","lohad","heavy","heavily"
"lunaire","solaire","soléeje","lutante","lunar","solar"
"lundi","mardi","avidi","neadi","monday","tuesday"
"lune","soleil","sovese","lumé","moon","sun"
"lunettes","casquette","touquette","lumeuses","glasses","cap"
"mafia","cartel","carrou","madog","mafia","cartel"
"magasin","boutique","diatique","magageur","shop","store"
"magnétique","électrique","élecmiques","magnéteurs","magnetic","electric"
"magnifique","fantastique","fantasteurs","magnitente","wonderful","fantastic"
"main","bras","broo","poin","hand","arm"
"maîtresse","amoureux","acroreux","goûtresse","mistress","lover"
"majesté","altesse","alpette","maflirté","majesty","highness"
"majorité","voter","voqué","majoritémoignent","majority","vote"
"mal","cruauté","courtté","ehl","evil","cruelty"
"malade","malade","malies","masite","ill","sick"
"malédiction","sorcière","sorcient","malédicments","curse","witch"
"malheureux","malheur","malmett","malheumore","unfortunate","misfortune"
"mallette","valise","vavait","terlette","briefcase","suitcase"
"manifestation","manifestation","manifestalogues","manifestanesque","protest","demonstration"
"maquette","prototype","protoblin","manentes","model","prototype"
"marathon","course","cobase","marasuel","marathon","race"
"mari","femme","feide","maley","husband","wife"
"marin","marine","mamore","maqui","marine","navy"
"marque","produit","proprie","magoue","brand","product"
"marron","bleu","blhn","cheron","brown","blue"
"mars","vénus","vélée","maig","mars","venus"
"masculin","femme","feide","mascusées","male","female"
"mec","copain","cotuit","uic","dude","bro"
"méchant","sale","eule","mérions","nasty","filthy"
"médical","psychologique","psycholotants","médiquer","medical","psychological"
"membre","chef","chlm","meetre","member","leader"
"mensonge","menteur","grateur","mentomne","lie","liar"
"mental","émotif","agatif","castal","mental","emotional"
"mer","océan","ocwen","uor","sea","ocean"
"mercenaire","assassin","assasgeur","mercerises","mercenary","assassin"
"mère","père","ayre","spre","mother","father"
"mériter","digne","ditoe","mérirais","deserve","worthy"
"méthode","technique","éternique","méplose","method","technique"
"meugler","haut","haya","bingler","low","high"
"mile","centimètre","centitille","tèle","mile","centimeter"
"mille","cent","thnt","uelle","thousand","hundred"
"million","milliard","mildiaux","milriel","million","billion"
"millionnaire","entrepreneur","entreprerable","millionsants","millionaire","entrepreneur"
"mince","épais","éplus","mimee","thin","thick"
"ming","lingue","songue","mitr","ming","ling"
"minuit","midi","prédi","migune","midnight","noon"
"misérable","pathétique","pathécaire","misérieux","miserable","pathetic"
"moderne","traditionnel","tradicalesnel","moniere","modern","traditional"
"moine","prêtre","prngre","monue","monk","priest"
"mois","semaine","sedable","modu","month","week"
"mon chéri","beurre","churre","mon chpise","honey","butter"
"monstre","créature","frotture","mopotre","monster","creature"
"monument","statue","stapas","monuphar","monument","statue"
"mortel","fatal","facez","morcan","deadly","fatal"
"mot","phrase","rorase","oît","word","sentence"
"motif","alibi","borbi","moras","motive","alibi"
"mur","clôture","dobture","urr","wall","fence"
"mythe","légende","lémenes","myéme","myth","legend"
"naissance","grossesse","grossodes","frinsance","birth","pregnancy"
"naïve","cynique","cyclage","nabee","naive","cynical"
"naïve","stupide","brûpide","nabee","naïve","stupid"
"nationale","global","glogit","natiovées","national","global"
"naturel","artificiel","artifitends","natulage","natural","artificial"
"naturellement","généralement","généraledogues","naturelledogues","naturally","generally"
"naval","flotte","fleute","nagea","naval","fleet"
"nécessaire","besoin","bequik","nécesgniez","necessary","need"
"nerf","muscle","muscea","nelà","nerve","muscle"
"nettoyer","lavage","labant","cirtoyer","clean","wash"
"nid","oeuf","hauf","ved","nest","egg"
"ninja","samouraï","samousort","rhuja","ninja","samurai"
"nobel","prix","preq","nosor","nobel","prize"
"noble","braver","cenver","ibble","noble","brave"
"noël","vacances","vazarres","notr","christmas","holiday"
"nom","titre","ettre","xam","name","title"
"nounou","femme de ménage","femme de vorces","nouvee","nanny","maid"
"novembre","décembre","dévestre","nobeurre","november","december"
"noyer","baignade","baigares","peyer","drown","swim"
"nu","nu","e ","e ","nude","naked"
"nuage","brouillard","brouillabi","nurte","cloud","fog"
"nuit","soirée","riérée","nusi","night","evening"
"numéro","adresse","ltresse","numérosexuelles","number","address"
"objet","matière","malisme","obsos","object","subject"
"observation","évaluation","évaluament","observalente","observation","evaluation"
"obstacle","défi","déken","obsriole","obstacle","challenge"
"œil","oreille","ormelle","wll","eye","ear"
"officiellement","officiel","offimaux","offiquantslement","officially","official"
"offrir","donner","susner","offell","offer","give"
"oie","canard","calade","rle","goose","duck"
"ombre","foncé","viscé","omuve","shadow","dark"
"oncle","père","ayre","onuée","uncle","dad"
"opérationnel","fonctionnel","écartionnel","opérashrapnel","operational","functional"
"opposé","contraire","contrause","chanposé","opposite","contrary"
"optimiste","réaliste","griliste","optitiens","optimistic","realistic"
"orchestre","bande","batae","orcentres","orchestra","band"
"ordinaire","habituel","habivert","ordisants","ordinary","usual"
"organiser","organiser","organiserpillières","organiserpillières","arrange","organize"
"orgasme","érection","bergtion","orgubre","orgasm","erection"
"orgueil","dignité","dicrypté","orgnies","pride","dignity"
"original","copie","cotra","abatginal","original","copy"
"orphelinat","couvent","cocoent","orphelitions","orphanage","convent"
"os","crâne","croûe","e ","bone","skull"
"otage","prisonnier","prisondait","otsue","hostage","prisoner"
"oubliez","rappelles toi","rappellesthyle","ouciles","forget","remember"
"ouest","est","ght","ouart","west","east"
"ouragan","tornade","torguée","ourafler","hurricane","tornado"
"ours","loup","lomb","yers","bear","wolf"
"outil","instrument","instrusion","ouryn","tool","instrument"
"ouverture","fermeture","fermedias","ouversons","opening","closure"
"ouvrir","fermer","fernan","ourish","open","close"
"ovni","extraterrestre","extraterquêtes","phani","ufo","alien"
"pacifique","atlantique","atlanciers","pacicente","pacific","atlantic"
"pain","fromage","élumage","pava","bread","cheese"
"palais","château","metteau","pasian","palace","castle"
"papa","maman","matro","papatrouillant","daddy","mum"
"papier","stylo","urolo","pamers","paper","pen"
"papillon","oiseau","oisure","pavilles","butterfly","bird"
"paradis","enfer","endés","paranage","paradise","hell"
"paranoïaque","fou","iau","paranuyante","paranoid","crazy"
"pardonner","excuse","expuis","parchaîner","forgive","excuse"
"parfois","souvent","soumeon","parlers","sometimes","often"
"parfois","rarement","raretour","parlers","occasionally","rarely"
"parlement","sénat","sérée","parlevées","parliament","senate"
"parler","parlez","parche","partia","talk","speak"
"partir","abandonner","tremdonner","parmon","leave","abandon"
"passager","chauffeur","chaufnaud","passaline","passenger","driver"
"passionnant","intéressant","intérestiers","pastournant","exciting","interesting"
"patate","tomate","toraux","padose","potato","tomato"
"patience","la compassion","la compaclane","pavieuse","patience","compassion"
"patient","client","clannt","pafiait","patient","client"
"patrimoine","hériter","hérirais","patrivisse","heritage","inherit"
"pauvre","riche","rieue","paarre","poor","rich"
"péché","la criminalité","la criminaltrophes","pétue","sin","crime"
"peine","emprisonnement","emprisonnetoques","peloe","penalty","imprisonment"
"peinture","dessiner","dessiphon","evanture","paint","draw"
"pension","un salaire","un svrance","harsion","pension","salary"
"perdant","gagnant","gadante","perbare","loser","winner"
"permettre","apporter","apchester","permètres","enable","provide"
"personnage","personnalité","personnalitémoignent","persongiez","character","personality"
"personnel","intime","intard","personwood","personal","intimate"
"petit fils","neveu","nenif","petitrenes","grandson","nephew"
"peu","petit","pesey","ncu","little","small"
"peut être","probablement","probabletique","peuplâtre","maybe","probably"
"phase","point final","point fdonn","phève","phase","period"
"phénomène","un événement","un événphill","phénoriez","phenomenon","event"
"philosophie","religion","relinuer","philosociaux","philosophy","religion"
"piano","guitare","guiniée","openo","piano","guitar"
"piège","appât","apgae","piewe","trap","bait"
"ping","dingue","dinges","veng","ping","ding"
"pique-nique","camping","camlene","piquetaire","picnic","camping"
"pirate","marin","mager","pimand","pirate","sailor"
"pistolet","arme","argé","pistoqués","pistol","weapon"
"plage","côte","twte","plrte","beach","coast"
"plainte","accusation","accusacrées","ruainte","complaint","accusation"
"plaisir","joie","stie","plaiflé","pleasure","joy"
"planète","orbite","ortome","plafure","planet","orbit"
"planifier","stratégie","brontégie","planiront","plan","strategy"
"plante","fleur","gueur","ruante","plant","flower"
"plate-forme","station","rection","platenaude","platform","station"
"playboy","magazine","magavoit","playglé","playboy","magazine"
"pluie","neiger","eckger","fruie","rain","snow"
"plus","moins","grins","amus","plus","minus"
"plus bas","supérieur","supédiait","plusviks","lower","upper"
"poche","portefeuille","porteveillés","tsche","pocket","wallet"
"poète","écrivain","écritois","poike","poet","writer"
"poids","la taille","ladailles","pooks","weight","height"
"poison","tuer","turt","mulson","poison","kill"
"poli","amical","crecal","poper","polite","friendly"
"politique","politicien","politigeais","polisions","policy","politician"
"pomme","fruit","frert","pocoe","apple","fruit"
"pompe","tuyau","geyau","poase","pump","hose"
"pont","tunnel","gionel","poui","bridge","tunnel"
"populaire","célèbre","céluque","poputives","popular","famous"
"population","gens","erns","populaporte","population","people"
"porc","viande","vibede","poex","pork","meat"
"porno","film","fii ","liano","porn","movie"
"portail","portail","pormard","porvrai","portal","gate"
"porter secours","enregistrer","enregisrante","porter scketts","rescue","save"
"positif","négatif","négareth","posignés","positive","negative"
"pot-de-vin","chantage","chandise","potdechai","bribe","blackmail"
"potentiel","talent","tadins","potenjour","potential","talent"
"potins","scandale","écradale","potrez","gossip","scandal"
"poudre à canon","dynamiter","dynaminable","poudre à nouil","gunpowder","dynamite"
"poulet","dinde","dimee","grelet","chicken","turkey"
"poupée","jouet","joaft","pounet","doll","toy"
"pousser","tirer","tisan","équiser","push","pull"
"première","dernier","derline","firmière","first","last"
"prendre conscience de","comprendre","treprendre","prendre conscietoyées","realize","understand"
"préoccuper","s'inquiéter","s'inquitaya","préoccutable","concern","worry"
"préparation","planification","planificapables","préparapeute","preparation","planning"
"près","loin","plin","prwn","near","far"
"présence","absence","absille","présuite","presence","absence"
"préserver","maintenir","chastenir","présertion","preserve","maintain"
"prêt","préparer","prépation","prnj","ready","prepare"
"preuve","preuve","prlive","gueuve","evidence","proof"
"prime","récompense","récomviste","prure","bonus","reward"
"princesse","prince","prinac","prinfeene","princess","prince"
"privé","intimité","intimitémoignent","slové","private","privacy"
"privilège","honneur","verneur","privitrus","privilege","honor"
"probabilité","probable","procarne","probabilitémoignent","probability","likely"
"procéder","continuez","contitles","procérale","proceed","continue"
"producteur","réalisateur","réalisacrées","producrons","producer","director"
"profil","la description","la descrimauve","proclu","profile","description"
"profit","le revenu","le revckait","pronek","profit","income"
"proie","prédateur","prédaniel","prièe","prey","predator"
"projet","programme","pronistes","prosos","project","program"
"proposer","suggérer","traîgérer","proporont","propose","suggest"
"protéger","défendre","démestre","protérium","protect","defend"
"protéine","vitamine","vitavais","prosiére","protein","vitamin"
"pub","restaurant","restaulier","afb","pub","restaurant"
"puissance","énergie","tremgie","payesance","power","energy"
"punir","arrêter","arrêvant","pulas","punish","arrest"
"pupitre","bureau","burick","puditch","desk","office"
"pyramide","structure","déshoture","pyraghav","pyramid","structure"
"quantité","qualité","preslité","electité","quantity","quality"
"quel","ce","éc","quja","what","that"
"question","interroger","interroscope","westtion","question","ask"
"question","particule","partigers","westtion","matter","particle"
"raciste","communiste","commuteuse","razième","racist","communist"
"radar","satellite","sateltras","rapla","radar","satellite"
"radio","télévision","télévivante","ralov","radio","television"
"raison","causer","caulay","spéson","reason","cause"
"rapport","informer","informerveilleuses","rappées","report","inform"
"rayon","périmètre","péritille","raidn","radius","perimeter"
"rayure","hématome","hémaciés","rapére","scratch","bruise"
"réalité","fantaisie","fanréussie","écoulité","reality","fantasy"
"recherche","étude","étace","rechestre","research","study"
"rechercher","juge","juch","reaguicher","court","judge"
"reconnaissant","remercier","remerdale","recontreuxsant","grateful","thank"
"reconnaître","savait","sakabe","reconpierre","recognize","knew"
"réflexion","miroiter","minuéeter","réblaient","reflection","mirror"
"refuge","abri","étri","refonc","refuge","shelter"
"réfugié","fugitif","fugicler","réfumant","refugee","fugitive"
"refuser","j'accepte","bebccepte","refuront","refuse","accept"
"régiment","bataillon","bavaillés","régigote","regiment","battalion"
"région","zone","ynne","réthos","area","zone"
"régional","local","loqué","réjournal","regional","local"
"régner","protocole","protogant","rénine","rule","protocol"
"reine","roi","nfi","poine","queen","king"
"relatif","cousine","sassine","relavant","relative","cousin"
"relation amoureuse","relation amicale","relation amvoyions","relation amolonnent","relationship","friendship"
"remplacer","remplacer","remplalant","remplalant","replace","substitute"
"renard","lapin","labar","retait","fox","rabbit"
"réparer","réparation","réparapeute","répation","fix","repair"
"répondre","réponse","réplexe","réphoïde","answer","reply"
"requin","poisson","joueson","resing","shark","fish"
"réseau","système","thotème","rébral","network","system"
"responsabilité","devoir","delion","responsabilitémoignent","responsibility","duty"
"rester","rester","ressée","drater","stay","remain"
"résultat","résultat","résulvrer","résulborn","result","outcome"
"révélation","vision","vicher","révélaporte","revelation","vision"
"rhum","cognac","conaan","rhay","rum","cognac"
"ridicule","absurde","absueur","ridivers","ridiculous","absurd"
"rien","quelque chose","quelquechives","rity","nothing","something"
"risque","danger","fliger","riptue","risk","danger"
"risqué","dangereux","dangenève","lonqué","risky","dangerous"
"rituel","la cérémonie","la cérémthayus","rivrez","ritual","ceremony"
"robot","machine","majoint","rowie","robot","machine"
"roche","calcul","calzés","romue","rock","stone"
"rodeo","cow-boy","ovaboy","rothy","rodeo","cowboy"
"romain","grec","grît","ronois","roman","greek"
"romeo","julietre","jucieres","rolaï","romeo","juliet"
"rond","environ","envinées","ropo","round","around"
"rouge","jaune","javee","rooue","red","yellow"
"rouge à lèvres","parfum","parjà ","rouge noeuvres","lipstick","perfume"
"rouillé","poussiéreux","poussiémore","rockllé","rusty","dusty"
"route","autoroute","autodasse","rodye","road","highway"
"route","chemin","chesel","rodye","route","path"
"royal","royaume","roécume","liyal","royal","kingdom"
"rue","rue","ële","mke","avenue","street"
"rythme","style","stave","ryname","rhythm","style"
"sain","ordinaire","orditeurs","inin","healthy","normal"
"saisir","attraper","attraquée","saibré","grab","catch"
"sale","dégoûtant","dégoûriez","nule","dirty","disgusting"
"salle","chambre à coucher","chambre à cçaises","dulle","room","bedroom"
"samedi","dimanche","dibouche","samesées","Saturday","Sunday"
"sandwich","hamburger","foncburger","sandbien","sandwich","hamburger"
"sans espoir","impuissant","imécrasant","sans eshane","helpless","powerless"
"santé","éducation","éducadrer","jecté","health","education"
"satisfait","content","coaient","satispées","satisfied","happy"
"se concentrer","concentrer","concendées","se concedoirs","focus","concentrate"
"se produire","arriver","arritais","se prcruste","occur","happen"
"se remettre","guérir","racrir","se rckettes","recover","heal"
"sécher","mouiller","mouillga","sédées","dry","wet"
"secondaire","primaire","primères","seconstone","secondary","primary"
"seconde","minute","milot ","secille","second","minute"
"secret","mystère","mysvrez","sebers","secret","mystery"
"secrétaire","assistant","assissiez","secréchait","secretary","assistant"
"section","paragraphe","parageants","gootion","section","paragraph"
"sécurité","sécurité","sécuritémoignent","sécuritémoignent","security","safety"
"seigneur","dame","dagé","phygneur","lord","lady"
"séminaire","conférence","confédrons","sémisants","seminar","lecture"
"sénior","junior","julors","sédour","senior","junior"
"sensationnel","spectaculaire","spectacufield","sensashrapnel","sensational","spectacular"
"septembre","octobre","ocpître","septèbres","september","october"
"sergent","lieutenant","hamptenant","serrins","sergeant","lieutenant"
"séries","épisode","épitèle","sédais","series","episode"
"serveur","serveuse","serpelle","sercent","waiter","waitress"
"service","maintenance","mainteniens","serfils","service","maintenance"
"seule","solitaire","solinique","secue","alone","lonely"
"sexuel","physique","vassique","seréel","sexual","physical"
"shérif","maire","mague","gaerif","sheriff","mayor"
"sherlock","watson","gooson","amorlock","sherlock","watson"
"siècle","décennie","dégoutnie","brècle","century","decade"
"sieste","flâner","córner","sityte","nap","stroll"
"signification","importance","imporphone","significapables","meaning","importance"
"silencieux","calmer","rhumer","silencules","quiet","calm"
"silencieux","silence","sidents","silencules","silent","silence"
"similaire","différent","diffétère","simitives","similar","different"
"simplement","facile","facées","simplegate","simply","simple"
"singe","gorille","gosulte","sirae","monkey","gorilla"
"situation","crise","crgne","situament","situation","crisis"
"sobre","ivre","dére","souce","sober","drunk"
"société","communauté","commuexempté","soajusté","society","community"
"sœur","frère","frrge","sœke","sister","brother"
"sofa","lit","oot","sogin","sofa","bed"
"soie","coton","coléo","laie","silk","cotton"
"sol","tapis","talem","ehl","floor","carpet"
"soldat","guerrier","anesrier","solfly","soldier","warrior"
"solidifier","agence","agenrô","solidisants","firm","agency"
"somme","montant","fectant","soyee","sum","amount"
"sortir","entrée","engoue","sormon","exit","entrance"
"souffrance","douleur","balleur","souffrette","suffering","pain"
"souffrir","mourir","mougné","soufcoin","suffer","die"
"soupape","ventilation","ventilaporte","soubose","valve","ventilation"
"soupe","salade","sanise","soaie","soup","salad"
"souris","rat","oot","sounal","mouse","rat"
"sous-estimer","exagérer","prosgérer","sousestimerveilleuses","underestimate","exaggerate"
"sous-marin","bateau","baties","thelmarin","submarine","boat"
"spécial","unique","ungeue","raicial","special","unique"
"spectaculaire","romantique","romandante","spectacufield","dramatic","romantic"
"spinal","abdominal","abdomitoire","spitor","spinal","abdominal"
"spirituel","drôle","drine","spiricott","witty","funny"
"stade","base-ball","basechis","inade","stadium","baseball"
"statut","position","posigner","stajon","status","position"
"stress","dépression","décharsion","strend","stress","depression"
"succès","échec","écaic","suctot","success","failure"
"sucer","lécher","légées","sunai","suck","lick"
"sucré","mignon","midien","sunic","sweet","cute"
"sud","nord","nobi","rld","south","north"
"suicide","meurtre","menétre","suidell","suicide","murder"
"suivre","chasser","exisser","supère","follow","chase"
"superman","homme chauve-souris","homme chauvesophonent","supercute","superman","batman"
"supplémentaire","additionnel","addicalesnel","supplémencions","extra","additional"
"support","assistance","assisrette","suppées","support","assistance"
"supporter","asseoir","asserte","charporter","stand","sit"
"sûr","sécurise","sécubain","eyr","safe","secure"
"surnaturel","paranormal","paranormalveillantes","surnatunions","supernatural","paranormal"
"surnom","nom de famille","nom de sayions","surpre","nickname","surname"
"surprendre","déception","décepment","treprendre","surprise","disappointment"
"suspendu","exécution","exéculait","susfraudu","hanging","execution"
"symptôme","syndrome","crédrome","sympshoe","symptom","syndrome"
"table","chaise","chaily","ouble","table","chair"
"tablette","pilule","pilées","tatiente","tablet","pill"
"tâche","mission","étusion","zuche","task","mission"
"taille","longueur","ramgueur","tamile","size","length"
"tatouage","cicatrice","cicanique","tacouple","tattoo","scar"
"taxi","limousine","limoufler","pixi","taxi","limousine"
"technique","mécanique","mécasante","éternique","technical","mechanical"
"télégramme","lettre","lerire","télépreuse","telegram","letter"
"télescope","microscope","micronance","télesthur","telescope","microscope"
"témoin","témoignage","témoinores","tégnim","witness","testimony"
"temple","monastère","monasriel","tecele","temple","monastery"
"ténèbres","léger","lérée","téribles","darkness","light"
"tenir","garder","chider","techa","hold","keep"
"terminal","aéroport","aérogiez","termilons","terminal","airport"
"terre","voler","voque","telye","land","fly"
"terrible","horrible","hormiãre","terdiles","terrible","horrible"
"tête de mule","égoïste","égcaste","tête dbouzes","stubborn","selfish"
"texte","poème","porée","tenje","text","poem"
"thérapie","traitement","quittement","vienrapie","therapy","treatment"
"thon","homard","hocure","blon","tuna","lobster"
"timbre","signature","signagnas","humbre","stamp","signature"
"tirer","tirer","tisan","tisan","shot","shoot"
"tireur","tireur d'élite","tireur dliance","tigner","shooter","sniper"
"toilettes","évier","phier","quélettes","toilet","sink"
"tomber","s'effondrer","s'effodraic","psyber","fall","collapse"
"tort","correct","corfred","pert","wrong","correct"
"total","achevée","achelan","todes","total","complete"
"toujours","constamment","consompment","camjours","always","constantly"
"tourmenter","torture","clature","presmenter","torment","torture"
"tourner","tourner","chainer","chonner","turn","rotate"
"tournoi","rencontre","rennombre","tourcup","tournament","match"
"tout à coup","de façon inattendue","de façon inatttrayants","tout couple","suddenly","unexpectedly"
"tout à fait","complètement","complètenaire","tout couant","absolutely","completely"
"traiter","procédure","procérish","tienter","process","procedure"
"travail","travailler","tradrilles","tradoin","job","work"
"tremblement de terre","explosion","explocher","tremblement dquêtent","earthquake","explosion"
"trésor","richesse","riciente","trépis","treasure","wealth"
"trimer","serviteur","servicale","rhumer","slave","servant"
"triste","tragique","tracisme","trbute","sad","tragic"
"tromper","idiot","iduet","avanper","fool","idiot"
"trophée","médaille","métiable","trolude","trophy","medal"
"tueur","meurtrier","amoutrier","lieur","killer","murderer"
"tumeur","cancer","morcer","tucieu","tumor","cancer"
"typique","classique","clastible","tyville","typical","classic"
"un atterrissage","vol","nsl","un atterrinuyez","landing","flight"
"un autographe","photographe","photonettes","épelutographe","autograph","photographer"
"un rein","foie","foun","unrexie","kidney","liver"
"une","trois","trims","gle","one","three"
"unité","division","divicher","lenté","unit","division"
"univers","galaxie","galuait","uninies","universe","galaxy"
"université","université","mckeeversité","éprouversité","college","university"
"urgent","urgence","urverse","ongent","urgent","emergency"
"usine","production","producment","usque","factory","production"
"utile","efficace","effibels","aaile","useful","effective"
"vache","porc","ponz","auche","cow","pig"
"vagin","pénis","pérai","vanes","vagina","penis"
"véhicule","auto","auder","véhigers","vehicle","car"
"veine","artère","arvert","velye","vein","artery"
"vendeur","acheteur","cketteur","cordeur","seller","buyer"
"vengeance","justice","jussian","vengantes","revenge","justice"
"vent","orage","orsie","gont","wind","storm"
"ver de terre","serpent","sertems","ver dchambre","worm","snake"
"verre","bouteille","boutriéme","veade","glass","bottle"
"vers le bas","en haut","enghans","ille le bas","down","up"
"vert","orange","thange","veui","green","orange"
"veuve","femme","feide","vebre","widow","woman"
"victime","attaquant","attagnard","buntime","victim","attacker"
"vide","plein","ruein","urde","empty","full"
"vieux","jeune","jeate","oueux","old","young"
"vin","champagne","champille","ldn","wine","champagne"
"virus","infection","infecment","vizer","virus","infection"
"visiter","concert","concult","visignée","tour","concert"
"vivant","mort","molé","viplan","alive","dead"
"voir","la perspective","la perspelasts","vort","view","perspective"
"voir","rencontrer","renconsive","vort","see","meet"
"voir","regardez","rerontdez","vort","look","watch"
"voix","accent","accour","voud","voice","accent"
"vol","vol","nsl","ohl","theft","robbery"
"voler","rob","abb","voqué","steal","rob"
"voleur","criminel","crimitage","volone","thief","criminal"
"vrai","réel","révè","itai","TRUE","real"
"washington","boston","ratton","wastratton","washington","boston"
"whisky","vodka","tymka","étinky","whiskey","vodka"
"yoga","massage","masmais","yojim","yoga","massage"
"zombi","vampire","gibpire","fiabi","zombie","vampire"
"zoo","cirque","ciseue","mão","zoo","circus"
