fr_cue,fr_target,fr_fake_cue,fr_fake_target,en_cue,en_target
impur,dégoûtant,able,dégoûreux,nasty,filthy
médical,psychologique,médirine,psycholotants,medical,psychological
membre,chef,hémbre,chuso,member,leader
mensonge,menteur,facsonge,prateur,lie,liar
cérébral,émotif,céréveur,jeutif,mental,emotional
mer,océan,uor,ocwen,sea,ocean
mercenaire,assassin,mercesique,assasdure,mercenary,assassin
mère,père,spre,ayre,mother,father
mériter,digne,mérision,diuse,deserve,worthy
méthode,technique,méplose,éternique,method,technique
sous,élevé,zas,haya,low,high
mile,centimètre,tèle,mentitille,mile,centimeter
mille,cent,uelle,épin,thousand,hundred
million,milliard,milriel,mildiaux,million,billion
millionnaire,entrepreneur,minnionsante,entreprerable,millionaire,entrepreneur
mince,épais,milie,éplus,thin,thick
mêler,mélanger,mêson,mélantant,ming,ling
minuit,midi,migune,mitel,midnight,noon
misérable,pathétique,miséduire,pathécaire,miserable,pathetic
moderne,traditionnel,moroïne,tardicalesnel,modern,traditional
moine,prêtre,monue,atêtre,monk,priest
mois,semaine,modu,sedable,month,week
miel,beurre,xuel,churre,honey,butter
monstre,créature,mopotre,frotture,monster,creature
monument,statue,monuphar,stapas,monument,statue
mortel,fatal,morcan,facez,deadly,fatal
mot,phrase,oît,rorase,word,sentence
motif,alibi,moger,borbi,motive,alibi
mur,clôture,ura,dobture,wall,fence
mythe,légende,myême,lémènes,myth,legend
naissance,grossesse,frinsance,guersesse,birth,pregnancy
naïf,cynique,asïf,cynaire,naive,cynical
naïve,stupide,nabée,brûpide,naïve,stupid
national,global,natiové,glogit,national,global
naturel,artificiel,natulage,ratifitesse,natural,artificial
naturellement,généralement,taurellegramme,ténéralement,naturally,generally
naval,flotte,nagte,fleute,naval,fleet
nécessaire,besoin,nécesfique,bequik,necessary,need
nerf,muscle,nelà,moucea,nerve,muscle
nettoyer,laver,pautoyer,latif,clean,wash
nid,oeuf,ved,hauf,nest,egg
ninja,samouraï,rhuja,samousort,ninja,samurai
nobel,prix,nosor,preq,nobel,prize
noble,courageux,noche,courapèce,noble,brave
noël,vacances,noga,vazarres,christmas,holiday
nom,titre,xam,êctre,name,title
nounou,domestique,lesnou,domeslaire,nanny,maid
novembre,décembre,nobeurre,dévestre,november,december
noyer,baignade,nodir,émognade,drown,swim
dénudé,dévêtu,dénunane,dévêvrir,nude,naked
nuage,brouillard,nurte,brouillabi,cloud,fog
nuit,soirée,nusi,riérée,night,evening
numéro,adresse,numépent,ouresse,number,address
objet,sujet,obtié,suman,object,subject
observation,évaluation,observalente,étaluament,observation,evaluation
obstacle,défi,obsriole,déken,obstacle,challenge
œil,oreille,wal,pleille,eye,ear
officiellement,officiel,onticiellement,offimaux,officially,official
offrir,donner,ofteur,susner,offer,give
oie,canard,ihe,cabral,goose,duck
ombre,foncé,omuve,grocé,shadow,dark
oncle,père,onuée,nére,uncle,dad
opérationnel,fonctionnel,opérationtique,écartionnel,operational,functional
opposé,contraire,chanposé,contrause,opposite,contrary
optimiste,réaliste,optignage,griliste,optimistic,realistic
orchestre,bande,orcentret,batae,orchestra,band
ordinaire,habituel,ordisante,habirant,ordinary,usual
arranger,organiser,armureger,organitique,arrange,organize
orgasme,érection,orgubre,bergtion,orgasm,erection
orgueil,dignité,orgnier,diquerté,pride,dignity
original,copie,écouginal,cotra,original,copy
orphelinat,couvent,orphelitions,cocoent,orphanage,convent
os,crâne,is,croûe,bone,skull
otage,prisonnier,otsue,prosingnon,hostage,prisoner
oublier,remémorer,outoire,romémotique,forget,remember
ouest,est,ouart,imt,west,east
ouragan,tornade,outafler,torguée,hurricane,tornado
ours,loup,ouix,lomb,bear,wolf
outil,instrument,ouryn,inctrasion,tool,instrument
ouverture,fermeture,oiversons,furmedias,opening,closure
ouvrir,fermer,ourish,pasmer,open,close
ovni,extraterrestre,ovlar,axtralerquêtes,ufo,alien
pacifique,atlantique,pocicente,utlanciers,pacific,atlantic
pain,fromage,pava,élumage,bread,cheese
palais,château,pasian,peuteau,palace,castle
papa,maman,panus,matro,daddy,mum
papier,stylo,pamers,urolo,paper,pen
papillon,oiseau,pavilles,oiveur,butterfly,bird
paradis,enfer,jaranage,endés,paradise,hell
paranoïaque,fou,poranuyante,iau,paranoid,crazy
pardonner,excuse,parchaîner,expuis,forgive,excuse
parfois,souvent,pavpion,soumeon,sometimes,often
parfois,rarement,pirpion,rabetour,occasionally,rarely
parlement,sénat,jerlevées,sésée,parliament,senate
discuter,parler,équicuter,parche,talk,speak
partir,abandonner,vostir,persdonner,leave,abandon
passager,chauffeur,cassaline,choifnaud,passenger,driver
passionnant,intéressant,pastournant,ontérestiers,exciting,interesting
patate,tomate,padose,tocuse,potato,tomato
patience,compassion,pageance,tompasture,patience,compassion
patient,client,pafiait,claint,patient,client
patrimoine,hériter,petrivisse,hurirais,heritage,inherit
pauvre,riche,xaarre,rique,poor,rich
péché,criminalité,pégal,constamminalité,sin,crime
peine,emprisonnement,peloe,estrisonnetoques,penalty,imprisonment
peinture,dessiner,évanture,decsiphon,paint,draw
pension,salaire,malsion,sanique,pension,salary
perdant,gagnant,perbare,gadante,loser,winner
permettre,apporter,dismettre,apchester,enable,provide
personnage,personnalité,tersonrier,canclusonnalité,character,personality
personnel,intime,kersonture,antard,personal,intimate
petit-fils,neveu,péditdeau,netil,grandson,nephew
peu,petit,adu,penus,little,small
peut-être,probablement,exétêtre,cropabletique,maybe,probably
phase,période,clase,pécière,phase,period
phénomène,événement,chénoplot,avénetion,phenomenon,event
philosophie,religion,chilosociaux,rolinuer,philosophy,religion
piano,guitare,openo,jeutare,piano,guitar
piège,appât,piewe,apgae,trap,bait
ding,dong,jung,dode,ping,ding
pique-nique,camping,tiquetaire,camlene,picnic,camping
pirate,marin,pidèle,mager,pirate,sailor
pistolet,arme,pustoqués,argé,pistol,weapon
plage,côte,joage,wete,beach,coast
plainte,accusation,ruainte,acrusacrées,complaint,accusation
plaisir,joie,pliaflé,stie,pleasure,joy
planète,orbite,plofure,ortome,planet,orbit
planifier,stratégie,blanirect,brontégie,plan,strategy
plante,fleur,ruante,gueur,plant,flower
plate-forme,station,ptalenaude,rection,platform,station
playboy,magazine,diarboi,pagaheur,playboy,magazine
pluie,neiger,plève,maîger,rain,snow
plus,moins,amus,ligos,plus,minus
inférieur,supérieur,anfésible,sapésible,lower,upper
poche,portefeuille,poide,corteveillés,pocket,wallet
poète,écrivain,poike,écirtois,poet,writer
poids,taille,pooks,dailles,weight,height
poison,tuer,mulson,turt,poison,kill
poli,amical,pomal,alijet,polite,friendly
politique,politicien,toliquide,bolitipable,policy,politician
pomme,fruit,pocoé,frart,apple,fruit
pompe,tuyau,porge,geyau,pump,hose
pont,tunnel,poui,gionel,bridge,tunnel
populaire,célèbre,potutives,céluque,popular,famous
population,gens,tupolasance,erns,population,people
porc,viande,poex,vibede,pork,meat
porno,film,trano,fiai,porn,movie
portail,porte,statail,poune,portal,gate
secourir,sauver,seballrir,créver,rescue,save
positif,négatif,pasignés,mégareth,positive,negative
pot-de-vin,chantage,diardevin,chandise,bribe,blackmail
potentiel,talent,dotenjour,tadins,potential,talent
potins,scandale,dotrez,écradale,gossip,scandal
poudre,dynamite,popère,rynavant,gunpowder,dynamite
poulet,dinde,fanlet,diabé,chicken,turkey
poupée,jouet,pounet,joaft,doll,toy
pousser,tirer,équiser,tisan,push,pull
premier,dernier,châmier,exénier,first,last
réaliser,comprendre,réomiser,canchestre,realize,understand
préoccupation,inquiétude,caréocupagraphe,anquiérent,concern,worry
préparation,planification,pérpurapeute,lanpificapables,preparation,planning
près,loin,séès,pline,near,far
présence,absence,crésuite,apsille,presence,absence
préserver,maintenir,vépsertion,souftenir,preserve,maintain
prêt,préparer,uren,drépation,ready,prepare
indice,preuve,intale,prilve,evidence,proof
prime,récompense,pruse,rocémviste,bonus,reward
princesse,prince,pranféène,vrinac,princess,prince
privé,intimité,slové,intignureté,private,privacy
privilège,honneur,provitrus,alineur,privilege,honor
probabilité,probable,confirbabilité,procarne,probability,likely
procéder,continuez,grocérale,cantitles,proceed,continue
producteur,réalisateur,froducrons,daélisacrées,producer,director
profil,description,drotat,desquestion,profile,description
profit,revenu,prinek,rèvckait,profit,income
proie,prédateur,prièe,crédaniel,prey,predator
projet,programme,procal,pronistes,project,program
proposer,suggérer,porporont,koisgérer,propose,suggest
protéger,défendre,pratérium,démestre,protect,defend
protéine,vitamine,prosiére,vitavais,protein,vitamin
pub,restaurant,bib,rescaulier,pub,restaurant
puissance,énergie,payesance,tremgie,power,energy
punir,arrêter,pulas,acrêvant,punish,arrest
pupitre,bureau,puditch,bupert,desk,office
pyramide,structure,puraghav,déshoture,pyramid,structure
quantité,qualité,electité,preslité,quantity,quality
quoi,cela,diro,cala,what,that
question,interroger,westlion,inperroscope,question,ask
matière,particule,maduire,purtigner,matter,particle
raciste,communiste,razième,comnucaire,racist,communist
radar,satellite,rapla,soteltras,radar,satellite
radio,télévision,ralov,fulévivante,radio,television
raison,cause,litson,caôle,reason,cause
rapporter,informer,blesporter,inforsant,report,inform
rayon,périmètre,rapin,péritille,radius,perimeter
égratignure,hématome,éfratisayer,hémigeux,scratch,bruise
réalité,fantaisie,écoulité,fontaident,reality,fantasy
recherche,étude,réchestre,étace,research,study
tribunal,juge,fianbunal,jach,court,judge
reconnaissant,remercier,recontreuxsant,cemerdale,grateful,thank
reconnaître,connu,teconsphère,coyau,recognize,knew
réflexion,miroiter,réblaient,misèreter,reflection,mirror
refuge,abri,refonc,étri,refuge,shelter
réfugié,fugitif,rèfumant,fugicler,refugee,fugitive
refuser,accepter,réfuront,acplanter,refuse,accept
régiment,bataillon,rogigote,bavaillés,regiment,battalion
région,zone,réthos,zoel,area,zone
régional,local,réjournal,loron,regional,local
règle,protocole,âmgle,pritoreau,rule,protocol
reine,roi,poine,viè,queen,king
relatif,cousine,relavant,sassine,relative,cousin
relation,amitié,relament,photié,relationship,friendship
remplacer,substituer,buisplater,sobstifant,replace,substitute
renard,lapin,retait,labar,fox,rabbit
réparer,réparation,réfatate,raparasance,fix,repair
réponse,réplique,réphoïde,réplexe,answer,reply
requin,poisson,resing,jouéson,shark,fish
réseau,système,rébral,sysbone,network,system
responsabilité,devoir,construcponsobilité,delion,responsibility,duty
rester,demeurer,garter,devoirrer,stay,remain
résultat,aboutissement,risulmène,consitissement,result,outcome
révélation,vision,rovélaporte,vicher,revelation,vision
rhum,cognac,mhyé,cobaan,rum,cognac
ridicule,absurde,ripivers,obsueur,ridiculous,absurd
rien,quelque chose,rios,coulquechives,nothing,something
risque,danger,riptue,terger,risk,danger
risqué,dangereux,lonqué,dongenève,risky,dangerous
rituel,cérémonie,ritice,câtémojours,ritual,ceremony
robot,machine,rowie,majoint,robot,machine
roche,pierre,romue,calzés,rock,stone
rodeo,cow-boy,rothy,ovaboy,rodeo,cowboy
romain,grec,ronois,grîte,roman,greek
roméo,juliette,ronom,jutience,romeo,juliet
rond,autour,ropo,envinées,round,around
rouge,jaune,roêle,javéi,red,yellow
rouge à lèvres,parfum,groue à neuvres,parjà ,lipstick,perfume
rouillé,poussiéreux,rockllé,pouttiémore,rusty,dusty
route,autoroute,rodye,outodasse,road,highway
itinéraire,chemin,ipinénesse,chejou,route,path
royal,royaume,liyal,roécume,royal,kingdom
avenue,rue,avefil,ëke,avenue,street
rythme,style,ryname,stave,rhythm,style
sain,ordinaire,inin,obditeurs,healthy,normal
saisir,attraper,saibré,assraquée,grab,catch
sale,répugnant,able,dépoûriez,dirty,disgusting
pièce,chambre,picle,chlibre,room,bedroom
samedi,dimanche,samesées,dibouche,Saturday,Sunday
sandwich,hamburger,sundbien,foncburter,sandwich,hamburger
désespéré,impuissant,sanechane,imécrasant,helpless,powerless
santé,éducation,jecté,érucadrer,health,education
satisfait,content,sotispées,coaient,satisfied,happy
focaliser,concentrer,rocalitique,constitrer,focus,concentrate
survenir,arriver,purvetant,orrition,occur,happen
récupérer,guérir,récubétique,sparir,recover,heal
sécher,mouiller,séture,pouillga,dry,wet
secondaire,primaire,meconstone,pritêtre,secondary,primary
seconde,minute,secrire,milot ,second,minute
secret,mystère,sebers,masvrez,secret,mystery
secrétaire,assistant,sucréchait,attissiez,secretary,assistant
section,paragraphe,gootion,darageants,section,paragraph
sécurité,sureté,sérablerité,sufeur,security,safety
seigneur,dame,phygneur,dagé,lord,lady
séminaire,conférence,sécisants,vonfédrons,seminar,lecture
sénior,junior,sédour,julors,senior,junior
sensationnel,spectaculaire,sonsishrapnel,sdectacufield,sensational,spectacular
septembre,octobre,siptèbres,ocpître,september,october
sergent,lieutenant,cérfait,hamptenant,sergeant,lieutenant
série,épisode,sénie,épipère,series,episode
serveur,serveuse,sercent,serpelle,waiter,waitress
service,maintenance,serfils,painteniens,service,maintenance
seul,solitaire,sécué,solinique,alone,lonely
sexuel,physique,meréel,vassique,sexual,physical
shérif,maire,gaerif,mague,sheriff,mayor
sherlock,watson,amorlock,gooson,sherlock,watson
siècle,décennie,brècle,dégoutnie,century,decade
sieste,flâner,sityte,bruner,nap,stroll
signification,importance,sipnificapables,amporphone,meaning,importance
tranquille,calme,clasquille,cavae,quiet,calm
silencieux,silence,milenrible,sirette,silent,silence
similaire,différent,sinitives,dippétère,similar,different
simplement,facile,simblegate,fucées,simply,simple
singe,gorille,sirae,gosulte,monkey,gorilla
situation,crise,pituament,crylè,situation,crisis
sobre,ivre,solie,dére,sober,drunk
société,communauté,soajusté,colluexempté,society,community
sœur,frère,sœke,frepe,sister,brother
sofa,lit,sogin,igt,sofa,bed
soie,coton,sodi,coléo,silk,cotton
sol,tapis,éal,talem,floor,carpet
soldat,guerrier,sopfly,anesrier,soldier,warrior
entreprise,agence,solidisants,agenrô,firm,agency
somme,montant,soyae,fectant,sum,amount
sortie,entrée,sormon,enfuge,exit,entrance
souffrance,douleur,soifsances,facleur,suffering,pain
souffrir,mourir,poufcoin,mougné,suffer,die
soupape,ventilation,soubose,vontilaporte,valve,ventilation
soupe,salade,soâme,sanise,soup,salad
souris,rat,sounal,aût,mouse,rat
sous-estimer,exagérer,soisestinique,prosgérer,underestimate,exaggerate
sous-marin,bateau,thelcarin,boties,submarine,boat
spécial,unique,spéchir,évique,special,unique
dramatique,romantique,drimanique,pomandante,dramatic,romantic
spinal,abdominal,pictor,aptomitoire,spinal,abdominal
amusant,drôle,sufsant,drève,witty,funny
stade,baseball,inade,basechis,stadium,baseball
statut,position,stajon,posigner,status,position
stress,dépression,strend,décharsion,stress,depression
succès,échec,suctot,écaic,success,failure
sucer,lécher,sunai,léture,suck,lick
mignon,joli,mimain,telli,sweet,cute
sud,nord,dod,nobi,south,north
suicide,meurtre,suidell,menétre,suicide,murder
suivre,pourchasser,taivre,érecchosser,follow,chase
superman,batman,sopertuel,évuman,superman,batman
supplémentaire,additionnel,succlémentions,atticalesnel,extra,additional
support,assistance,soppées,asissrette,support,assistance
debout,assis,dévcup,asbac,stand,sit
sûr,sécurisé,eyr,sépubain,safe,secure
surnaturel,paranormal,sarnatunions,peranorsence,supernatural,paranormal
surnom,nom,surprè,pra,nickname,surname
surprise,déception,colprise,dacèpment,surprise,disappointment
pendaison,exécution,soufdaison,evécureur,hanging,execution
symptôme,syndrome,sompstoe,crédrome,symptom,syndrome
table,chaise,ouble,cahily,table,chair
comprimé,pilule,équiprimé,pigène,tablet,pill
tâche,mission,zuche,étusion,task,mission
taille,longueur,tamile,ramgueur,size,length
tatouage,cicatrice,tacouple,ciçanique,tattoo,scar
taxi,limousine,pixi,pimoufler,taxi,limousine
technique,mécanique,éternique,xécasante,technical,mechanical
télégramme,lettre,tolépreuse,oittre,telegram,letter
télescope,microscope,télesthur,hicronance,telescope,microscope
témoin,témoignage,tégnim,tépoinores,witness,testimony
temple,monastère,tetéle,bonasriel,temple,monastery
obscurité,lumière,chaufcurité,lutêtre,darkness,light
tenir,garder,tetal,plader,hold,keep
terminal,aéroport,acheminal,pérogiez,terminal,airport
attérir,voler,attéfact,voson,land,fly
terrible,horrible,terdiles,malrible,terrible,horrible
têtu,égoïste,avetu,mèoïste,stubborn,selfish
texte,poème,teuse,porée,text,poem
thérapie,traitement,vienrapie,symptement,therapy,treatment
thon,homard,thit,hocure,tuna,lobster
tampon,signature,sugpon,rignasion,stamp,signature
tir,tirer,anr,tinée,shot,shoot
tireur,sniper,timent,tamper,shooter,sniper
toilettes,évier,quélettes,pirar,toilet,sink
chute,effondrement,psyber,ettondretique,fall,collapse
faux,correct,fagé,trérect,wrong,correct
total,achevé,todes,achelan,total,complete
toujours,constamment,camjours,cosomptment,always,constantly
tourmenter,torturer,élecmenter,chamturer,torment,torture
tourner,pivoter,chonner,pivosion,turn,rotate
tournoi,match,tourpel,maléh,tournament,match
soudainement,étonnamment,sondainetique,beaunamment,suddenly,unexpectedly
absolument,complètement,asoblunaire,cosplèteforme,absolutely,completely
processus,procédure,rocesslège,pocréfait,process,procedure
job,travail,dèb,tradrilles,job,work
séisme,explosion,séorme,ecploture,earthquake,explosion
trésor,richesse,trépis,riciente,treasure,wealth
esclave,serviteur,eslange,servilège,slave,servant
triste,tragique,troite,tracisme,sad,tragic
imbécile,idiot,impénant,cuiot,fool,idiot
trophée,médaille,trolude,métiable,trophy,medal
tueur,meurtrier,géeur,amoutrier,killer,murderer
tumeur,cancer,tucieu,alicer,tumor,cancer
typique,classique,tyville,clastible,typical,classic
atterrissage,vol,afferrisrieur,yal,landing,flight
autographe,photographe,épelutopraphe,chotonettes,autograph,photographer
rein,foie,unrexie,juie,kidney,liver
une,trois,glé,trèms,one,three
unité,division,lenté,dipicher,unit,division
univers,galaxie,uninies,galuait,universe,galaxy
collège,université,marlège,chaufvetsité,college,university
urgent,urgence,cegent,urverse,urgent,emergency
usine,production,usque,psoducment,factory,production
utile,efficace,lèile,effibels,useful,effective
vache,cochon,auche,cocuse,cow,pig
vagin,pénis,varée,péveu,vagina,penis
véhicule,voiture,vahigers,peuture,vehicle,car
veine,artère,velye,arvert,vein,artery
vendeur,acheteur,venrect,techteur,seller,buyer
vengeance,justice,torgeance,jussian,revenge,justice
vent,tempête,gact,temsûle,wind,storm
ver,serpent,nir,sertems,worm,snake
verre,bouteille,véade,boucriéme,glass,bottle
bas,haut,fag,aiut,down,up
vert,orange,veui,thange,green,orange
veuve,femme,vebre,feide,widow,woman
victime,agresseur,adotime,transseur,victim,attacker
vide,plein,urde,ruein,empty,full
vieux,jeune,oueux,jéate,old,young
vin,champagne,ien,créapagne,wine,champagne
virus,infection,visil,infécment,virus,infection
tournée,concert,toirvon,conclet,tour,concert
vivant,mort,viplan,dért,alive,dead
vue,perspective,vort,lourpective,view,perspective
voir,rencontrer,voon,roncanmain,see,meet
regarder,visionner,refugeder,vitourner,look,watch
voix,accent,voud,accour,voice,accent
vol,braquage,ohl,donquage,theft,robbery
voler,dérober,voson,dèrolule,steal,rob
voleur,criminel,vulone,ctimirage,thief,criminal
vrai,réel,rêai,rért,true,real
washington,boston,wastratton,hanton,washington,boston
whisky,vodka,étinky,tymka,whiskey,vodka
yoga,massage,yojim,masmais,yoga,massage
zombi,vampire,fiabi,exépire,zombie,vampire
zoo,cirque,huo,larque,zoo,circus
