"fr_target","fr_cue","type","target_type","cue_type","fr_cosine"
"poussière","finir","unrelated","word","word",0.132909981996105
"triangle","noël","unrelated","word","word",0.125590646622252
"funéraire","succès","unrelated","word","word",0.0776957174170347
"cérébral","cinéma","unrelated","word","word",0.150974870495363
"rome","commission","unrelated","word","word",0.184460329843635
"corde","personnage","unrelated","word","word",0.158167382803618
"frais","piano","unrelated","word","word",0.14457098457283
"combattant","embaucher","unrelated","word","word",0.0694876482944086
"possibilité","l'internet","unrelated","word","word",NA
"président","fidélité","unrelated","word","word",0.171757822157138
"amélioration","hormone","unrelated","word","word",0.322062926939248
"musicien","galerie","unrelated","word","word",0.164856001178007
"moteur","sherlock","unrelated","word","word",0.0714488217408141
"huile","griller","unrelated","word","word",0.22225186362435
"cargaison","accueil","unrelated","word","word",0.104764529376542
"don","robot","unrelated","word","word",0.187175751968295
"beauté","tournoi","unrelated","word","word",0.201691061368325
"faire de la pêche","mon chéri","unrelated","word","word",NA
"du froid","passager","unrelated","word","word",NA
"température","du sucre","unrelated","word","word",NA
"veste","mer","unrelated","word","word",0.125413599204269
"vérifier","malheureux","unrelated","word","word",0.10444094020438
"pas cher","mercenaire","unrelated","word","word",NA
"trouver","projet","unrelated","word","word",0.136428500680294
"barbe","anonyme","unrelated","word","word",0.0432695598813396
"chat","nom","unrelated","word","word",0.161270435786623
"mouchoir","le commandant","unrelated","word","word",NA
"la biologie","la source","unrelated","word","word",NA
"biologique","incapacité","unrelated","word","word",0.211085318110432
"médecin","pomme","unrelated","word","word",0.100999060343429
"sélectionner","admirer","unrelated","word","word",0.280328850182935
"option","mot","unrelated","word","word",0.196169530329548
"céleste","profit","unrelated","word","word",0.110289648787735
"plastique","tueur","unrelated","word","word",0.250486025894026
"théâtre","inconfortable","unrelated","word","word",0.107179217099244
"militaire","crème","unrelated","word","word",0.0924640050196084
"de toute évidence","pardonner","unrelated","word","word",NA
"famille","espérer","unrelated","word","word",0.152802656947536
"l'école","ouragan","unrelated","word","word",NA
"fermer à clé","opposé","unrelated","word","word",NA
"dent","verre","unrelated","word","word",0.219379659629232
"bar","ironie","unrelated","word","word",0.11750813430638
"héroïne","zoo","unrelated","word","word",0.0851348844758013
"le mot de passe","insulter","unrelated","word","word",NA
"ruelle","gorge","unrelated","word","word",0.292698204907206
"rage","dynastie","unrelated","word","word",0.121128027739001
"déjeuner","mafia","unrelated","word","word",0.10884646808939
"rassembler","forme","unrelated","word","word",0.154375955129639
"amie","monument","unrelated","word","word",0.0525832664867541
"marteau","imagination","unrelated","word","word",0.191420699465513
"montagne","considérer","unrelated","word","word",0.0662547403146593
"fédération","bande annonce","unrelated","word","word",NA
"se battre","gâchette","unrelated","word","word",NA
"mélange","candidat","unrelated","word","word",0.139541845029539
"commande","meugler","unrelated","word","word",0.128946280557735
"déclaration","gros","unrelated","word","word",0.0968336364943218
"marchande","doigt","unrelated","word","word",0.0696348723929757
"comité","terminal","unrelated","word","word",0.209971606906254
"généreuse","sale","unrelated","word","word",0.166016088500634
"cadeau","instinct","unrelated","word","word",0.106033368590115
"calculer","tourmenter","unrelated","word","word",0.225495347469023
"quartier","mille","unrelated","word","word",0.097720937487841
"définition","la lecture","unrelated","word","word",NA
"supposition","conduire","unrelated","word","word",0.122837759140159
"championnat","destin","unrelated","word","word",0.224028121940586
"conduire","potentiel","unrelated","word","word",0.0931739692447397
"rencontre","se remettre","unrelated","word","word",NA
"croyez","sandwich","unrelated","word","word",0.120585392610559
"confirmer","cuisiner","unrelated","word","word",0.128841709367258
"contestation","porc","unrelated","word","word",0.0544202617538081
"conseiller","œil","unrelated","word","word",0.146109357735157
"libéral","résultat","unrelated","word","word",0.140139860230073
"pense","médical","unrelated","word","word",0.0951895454906109
"fraude","casque","unrelated","word","word",-0.0534242129341616
"construire","fatigué","unrelated","word","word",0.0644821631146742
"connexion","réalité","unrelated","word","word",0.27676479347204
"radiation","entreprise","unrelated","word","word",0.148772156605892
"contenu","kidnappeur","unrelated","word","word",0.183191254004012
"accord","playboy","unrelated","word","word",0.0323129632515842
"manipuler","malédiction","unrelated","word","word",0.0923011685330941
"discussion","commander","unrelated","word","word",0.159634553269954
"corps","les données","unrelated","word","word",NA
"surface","en retard","unrelated","word","word",NA
"aube","innocent","unrelated","word","word",0.113638212441643
"café","observation","unrelated","word","word",0.110606201607954
"détermination","paranoïaque","unrelated","word","word",0.154355160974305
"électricité","du sang","unrelated","word","word",NA
"trône","urgent","unrelated","word","word",0.0192376717813166
"fax","illusion","unrelated","word","word",0.0397718719960999
"marche","responsabilité","unrelated","word","word",0.0846211863187952
"long","charme","unrelated","word","word",0.0412031769398627
"serviette","araignée","unrelated","word","word",0.274505605322927
"cacher","fidélité","unrelated","word","word",0.143417280683151
"destruction","construction","unrelated","word","word",0.503741677857386
"prêter","illégal","unrelated","word","word",0.11945945306378
"produire","traiter","unrelated","word","word",0.295538273490461
"sauce","ordinaire","unrelated","word","word",0.114946111071562
"enterrer","noyer","unrelated","word","word",0.385570085160072
"politique","boussole","unrelated","word","word",0.134314408669134
"fourchette","magasin","unrelated","word","word",0.125918620615655
"chef","ping","unrelated","word","word",0.0673899055267409
"bout","raison","unrelated","word","word",0.140180490505472
"civilisation","un atterrissage","unrelated","word","word",NA
"ouais","santé","unrelated","word","word",0.103614755984753
"danse","enthousiasme","unrelated","word","word",0.13573346725316
"nation","majesté","unrelated","word","word",0.28475330917548
"arrière","agréable","unrelated","word","word",0.127237501095251
"drogue","afficher","unrelated","word","word",0.0492477859960208
"important","moine","unrelated","word","word",0.0595648359415478
"honnête","silencieux","unrelated","word","word",0.247650101057464
"disparition","loisir","unrelated","word","word",0.0783044976023882
"des ordures","atomique","unrelated","word","word",NA
"dépenser","trimer","unrelated","word","word",0.393053333058941
"express","inquiet","unrelated","word","word",0.0673484715125698
"toujours","embrasser","unrelated","word","word",0.164988947026091
"sensible","peut être","unrelated","word","word",NA
"délicieuse","à l'extérieur","unrelated","word","word",NA
"matin","séminaire","unrelated","word","word",0.173007800222286
"demande","pluie","unrelated","word","word",0.0940374934780081
"chaussure","tort","unrelated","word","word",0.115080378380505
"trimestre","auteur","unrelated","word","word",0.118052980258965
"congédiement","appliquer","unrelated","word","word",0.210132000849212
"irresponsable","contamination","unrelated","word","word",0.192356939216435
"vallée","ténèbres","unrelated","word","word",0.32178576649547
"souhaiter","broyer","unrelated","word","word",0.230035842414553
"destin","jaloux","unrelated","word","word",0.155394138724714
"amour","voleur","unrelated","word","word",0.11071950538852
"minuteur","article","unrelated","word","word",0.133208509722021
"quatre","pyramide","unrelated","word","word",0.175256668864521
"bijou","la fenêtre","unrelated","word","word",NA
"phrase","terrible","unrelated","word","word",0.162161643650684
"divin","os","unrelated","word","word",0.152665786655496
"dur","bible","unrelated","word","word",0.124403623427192
"laid","texte","unrelated","word","word",0.211713057624713
"petit-déjeuner","clou","unrelated","word","word",NA
"diplômé","le pardon","unrelated","word","word",NA
"dire","vivant","unrelated","word","word",0.14129210539382
"directement","journaliste","unrelated","word","word",0.14633121181743
"chef","poli","unrelated","word","word",0.0222650300732418
"sermon","rythme","unrelated","word","word",0.158462400176847
"enregistrement","cher","unrelated","word","word",0.102697037450685
"vitesse","pirate","unrelated","word","word",0.0936888040874721
"mariage","commercial","unrelated","word","word",0.140964442732631
"pouce","préserver","unrelated","word","word",0.115052673450125
"argent","manifestation","unrelated","word","word",-0.00197290891638378
"injection","incident","unrelated","word","word",0.131630491778069
"tripler","coin","unrelated","word","word",0.128481783121888
"salle de bain","église","unrelated","word","word",NA
"suspect","alimentation","unrelated","word","word",0.156563633793489
"doux","carbone","unrelated","word","word",0.107782524733422
"professeur","dose","unrelated","word","word",0.0861967471860505
"lion","ouest","unrelated","word","word",0.138173057781709
"la comédie","aveugle","unrelated","word","word",NA
"symbole","fondre","unrelated","word","word",0.1268347956339
"la gauche","calibre","unrelated","word","word",NA
"constitution","thon","unrelated","word","word",0.0691960285602446
"hebdomadaire","papier","unrelated","word","word",0.170974387241704
"sommeil","nuage","unrelated","word","word",0.147779616547418
"urine","capitale","unrelated","word","word",0.0305899345479788
"chocolat","rapport","unrelated","word","word",0.110976953140484
"occidental","souris","unrelated","word","word",0.0712358621099972
"blague","mental","unrelated","word","word",0.081486882364807
"vidéo","financièrement","unrelated","word","word",0.1082225587536
"empire","de valeur","unrelated","word","word",NA
"appareil","voler","unrelated","word","word",0.120850878399823
"brillant","somme","unrelated","word","word",0.0764729174519738
"exploser","baron","unrelated","word","word",0.052385859144462
"écouter","douche","unrelated","word","word",0.149603517911163
"surveiller","révélation","unrelated","word","word",-0.0177451461482925
"raton laveur","siècle","unrelated","word","word",NA
"sinistre","billet","unrelated","word","word",0.0317048226607731
"effrayer","délicieux","unrelated","word","word",0.157593502116441
"chapelle","parlement","unrelated","word","word",0.207175065023602
"prof","samedi","unrelated","word","word",0.17127174154714
"retirer","cercueil","unrelated","word","word",0.0938422001623133
"louer","amateur","unrelated","word","word",0.154184283449881
"câlin","stade","unrelated","word","word",0.0914997997953218
"arrêter","nerf","unrelated","word","word",0.140389576666553
"sur","anatomie","unrelated","word","word",0.130446917674263
"de l'argent","conversation","unrelated","word","word",NA
"vraiment","bravo","unrelated","word","word",0.149750352702127
"de bonne heure","avocat","unrelated","word","word",NA
"d'habitude","nationale","unrelated","word","word",NA
"vendre","haut","unrelated","word","word",0.121580956526441
"mariage","civil","unrelated","word","word",0.180407162278156
"adversaire","antidote","unrelated","word","word",0.195418461113345
"passion","expérience","unrelated","word","word",0.360977162358143
"exercer","locataire","unrelated","word","word",0.106530810587727
"joueur","objet","unrelated","word","word",0.189239359846085
"société","héros","unrelated","word","word",0.11874121516836
"va","pension","unrelated","word","word",0.142255015675474
"emballer","lasagne","unrelated","word","word",0.260630725630728
"atmosphère","le golf","unrelated","word","word",NA
"le genou","courant","unrelated","word","word",NA
"couteau","poison","unrelated","word","word",0.302506544025693
"harmonie","offrir","unrelated","word","word",0.0844468401036365
"bateau","réfugié","unrelated","word","word",0.123205609393627
"équiper","patience","unrelated","word","word",0.11967147835902
"raisonnable","duper","unrelated","word","word",0.16553803444307
"erreur","âme","unrelated","word","word",0.104865383543391
"tortue","visiter","unrelated","word","word",0.0527868705519697
"accompagner","lèvre","unrelated","word","word",0.086600392604884
"foi","plage","unrelated","word","word",0.0708589004197479
"sabotage","pain","unrelated","word","word",0.114168116598435
"traitre","de l'alcool","unrelated","word","word",NA
"tentative","requin","unrelated","word","word",0.0636039965998523
"coffre","royal","unrelated","word","word",0.134541983171718
"toujours","raciste","unrelated","word","word",0.123788086217315
"large","pauvre","unrelated","word","word",0.156499129444856
"le prix","boîte","unrelated","word","word",NA
"cardinal","lampe","unrelated","word","word",0.0732287225701235
"mutation","sensationnel","unrelated","word","word",0.108637625402497
"inspection","fédéral","unrelated","word","word",0.239836315871688
"enquêter","arène","unrelated","word","word",0.0814163208967885
"génial","court","unrelated","word","word",0.160535899708322
"remarquable","bénévole","unrelated","word","word",0.249120400585754
"connaissances","rond","unrelated","word","word",0.0290061734582727
"test","base","unrelated","word","word",0.165903105520686
"spécialiste","population","unrelated","word","word",0.0393749737413079
"plausible","tâche","unrelated","word","word",0.105450720263545
"très","créer","unrelated","word","word",0.177011102046457
"fais","plante","unrelated","word","word",0.195736261808515
"élément","cavalerie","unrelated","word","word",0.162219890875438
"la soif","utile","unrelated","word","word",NA
"réussir","salle","unrelated","word","word",0.173569747276041
"faim","conflit","unrelated","word","word",0.144828278137736
"faux","combat","unrelated","word","word",0.0850052442038838
"etat","suspendu","unrelated","word","word",0.194789615253179
"saluer","garçons","unrelated","word","word",0.135446846559121
"métal","veuve","unrelated","word","word",-0.0020828927094704
"fermé","preuve","unrelated","word","word",0.0465946591406731
"fortement","demain","unrelated","word","word",-0.0267360299753879
"ouvrier","culture","unrelated","word","word",0.138614895489221
"flamme","conservateur","unrelated","word","word",0.14919511292608
"document","aspirine","unrelated","word","word",0.119711687235724
"fidèle","biens","unrelated","word","word",0.0871838571923985
"dévouement","magnétique","unrelated","word","word",0.0805064976480075
"honnêteté","à la mode","unrelated","word","word",NA
"excité","solidifier","unrelated","word","word",0.0819409066321201
"garçon","jeune marié","unrelated","word","word",NA
"ultime","sœur","unrelated","word","word",0.0525465949095575
"finalement","foudre","unrelated","word","word",0.138833064994811
"financement","radio","unrelated","word","word",0.104464875806267
"terminer","membre","unrelated","word","word",0.0876458323614787
"trou","silencieux","unrelated","word","word",0.156355712135354
"impressionner","au sens propre","unrelated","word","word",NA
"lac","plus bas","unrelated","word","word",NA
"opération","sucer","unrelated","word","word",0.101256343767621
"geler","toilettes","unrelated","word","word",0.151462862241027
"obliger","finalement","unrelated","word","word",0.169389876916928
"signer","entraine toi","unrelated","word","word",NA
"autobus","cellule","unrelated","word","word",0.103028858966913
"faible","fissure","unrelated","word","word",0.144563139031004
"tonnerre","mythe","unrelated","word","word",0.140218563574886
"public","renard","unrelated","word","word",0.138290249296753
"poêle","extrêmement","unrelated","word","word",0.122790848372887
"pièce","couverture","unrelated","word","word",0.195542894490115
"rafraîchir","la troisième","unrelated","word","word",NA
"la grève","expérience","unrelated","word","word",NA
"échapper","section","unrelated","word","word",0.0874255510240467
"cigare","privé","unrelated","word","word",0.18468285483597
"missile","relatif","unrelated","word","word",0.172981142285431
"arme à feu","jupe","unrelated","word","word",NA
"activer","attendre","unrelated","word","word",0.248335198665491
"gagner","rodeo","unrelated","word","word",0.205824098516443
"exposition","victime","unrelated","word","word",0.104618234086116
"grouper","coller","unrelated","word","word",0.312850292342006
"promettre","dictionnaire","unrelated","word","word",0.0256873698276305
"filles","analyste","unrelated","word","word",0.0490126724126293
"patrouille","exceptionnel","unrelated","word","word",0.107031144381839
"carburant","total","unrelated","word","word",0.18378153625275
"colonel","indiquer","unrelated","word","word",0.123051585735566
"réacteur","du sud","unrelated","word","word",NA
"scientifique","chien","unrelated","word","word",0.154639219340265
"acte","cul","unrelated","word","word",0.0467589425656744
"gloire","tromper","unrelated","word","word",0.157760462410175
"cou","perdant","unrelated","word","word",0.0823997802332745
"sentir","entrer","unrelated","word","word",0.156875450490525
"sénateur","campagne","unrelated","word","word",0.386568911929105
"farine","bouge toi","unrelated","word","word",NA
"grand-mère","espionnage","unrelated","word","word",NA
"lézard","rayon","unrelated","word","word",0.0938692138204248
"bacon","mile","unrelated","word","word",0.0633899939977386
"saut","poids","unrelated","word","word",0.233628547985916
"maladie","diplôme","unrelated","word","word",0.0761457548803851
"énorme","buisson","unrelated","word","word",0.123538652552862
"bataille","lunaire","unrelated","word","word",0.122950340634399
"survivre","princesse","unrelated","word","word",0.0876052028082378
"bas","fabriquer","unrelated","word","word",0.131424921059477
"sauveur","interdit","unrelated","word","word",0.0589012999705294
"humain","potins","unrelated","word","word",0.0718852010775998
"clinique","bancaire","unrelated","word","word",0.16097407084987
"adrénaline","désert","unrelated","word","word",0.12895649054296
"peur","grippe","unrelated","word","word",0.284121157782216
"reconnaissance","divorce","unrelated","word","word",0.124702569150099
"motel","ming","unrelated","word","word",0.00525139398142883
"modeste","banquier","unrelated","word","word",0.226391250240394
"là","vrai","unrelated","word","word",0.228579802062023
"parfait","excellent","unrelated","word","word",0.545261917481061
"théorie","bruit","unrelated","word","word",0.154812403845639
"arrogance","charité","unrelated","word","word",0.234777025329746
"légal","lier","unrelated","word","word",0.0722702713077497
"hallucination","liquide","unrelated","word","word",0.120160998837209
"photo","chasse","unrelated","word","word",0.170032650420239
"la créativité","chaîne","unrelated","word","word",NA
"empereur","une","unrelated","word","word",0.110269094080811
"facile","naïve","unrelated","word","word",0.202429815144553
"sentiment","washington","unrelated","word","word",0.11985868395055
"étonnante","prime","unrelated","word","word",0.0802442645739363
"pression","jouer","unrelated","word","word",0.113346277069242
"incapable","équitable","unrelated","word","word",0.180225973606833
"accident","estomac","unrelated","word","word",0.181243903801076
"désagréable","ecoutez","unrelated","word","word",0.152953587071015
"indiquer","kidnapper","unrelated","word","word",0.104329622591624
"affaires","club","unrelated","word","word",0.169942565795411
"effet","garantie","unrelated","word","word",0.12909587948221
"architecte","voix","unrelated","word","word",0.0982419289404402
"étrange","phénomène","unrelated","word","word",0.315086726536983
"injuste","pompe","unrelated","word","word",0.0238435198971168
"coupable","chaud","unrelated","word","word",0.116966602214094
"nerveux","jolie","unrelated","word","word",0.182072746977285
"problème","poche","unrelated","word","word",0.131748050353944
"mettre","soldat","unrelated","word","word",0.0870475641645416
"le commissaire","vendeur","unrelated","word","word",NA
"inspiration","yoga","unrelated","word","word",0.216625520855042
"intuition","ancre","unrelated","word","word",0.187356961419604
"offenser","quantité","unrelated","word","word",0.0526219759783907
"intelligent","international","unrelated","word","word",0.183670088016441
"interdire","fumée","unrelated","word","word",0.176953701023129
"monde","délicat","unrelated","word","word",0.137146564458929
"externe","décris","unrelated","word","word",0.0867940601129159
"déranger","invasion","unrelated","word","word",0.167445728979268
"sans valeur","but","unrelated","word","word",NA
"attaque","hospitalité","unrelated","word","word",0.125854532854155
"ironique","planète","unrelated","word","word",0.1481183846272
"en colère","romeo","unrelated","word","word",NA
"jamais","gouverneur","unrelated","word","word",0.123927222412034
"un camion","librement","unrelated","word","word",NA
"la mariée","cabine","unrelated","word","word",NA
"enfance","risqué","unrelated","word","word",0.0490831313826144
"poker","bouclier","unrelated","word","word",0.0854071536651482
"magnifique","sous-estimer","unrelated","word","word",NA
"jeu","effrayant","unrelated","word","word",0.181874458545337
"politique","la technologie","unrelated","word","word",NA
"journaliste","intelligent","unrelated","word","word",0.19101096549413
"juillet","régner","unrelated","word","word",0.120186760342248
"forêt","pique-nique","unrelated","word","word",NA
"robe","piège","unrelated","word","word",0.1104120979214
"serment","gain","unrelated","word","word",0.108718947424798
"autorité","confirmation","unrelated","word","word",0.2294203997675
"récemment","chirurgien","unrelated","word","word",0.104464024814146
"mayonnaise","probabilité","unrelated","word","word",0.0972448198222903
"enlever","tenir","unrelated","word","word",0.264654679385103
"une rançon","se concentrer","unrelated","word","word",NA
"gramme","agent","unrelated","word","word",0.193492567863895
"mètre","banane","unrelated","word","word",0.135718583016502
"siffler","fier","unrelated","word","word",0.16903344229276
"hiver","patient","unrelated","word","word",0.0557616080129735
"la toile","la physique","unrelated","word","word",NA
"stupidité","directeur","unrelated","word","word",0.132342971134353
"la nausée","colère","unrelated","word","word",NA
"porte","homme","unrelated","word","word",0.196802857829422
"fils","coucher de soleil","unrelated","word","word",NA
"investir","chanteur","unrelated","word","word",0.110743115372224
"signal","temple","unrelated","word","word",0.155287254027915
"en écrivant","plate-forme","unrelated","word","word",NA
"sorcier","force","unrelated","word","word",0.144055687257122
"la communication","sous-marin","unrelated","word","word",NA
"misère","difficile","unrelated","word","word",0.136124989887273
"tissu","ignorance","unrelated","word","word",0.153475748110685
"individuel","soie","unrelated","word","word",0.0682838774302087
"épidémie","diamant","unrelated","word","word",0.0671146456053934
"mathématiques","basket-ball","unrelated","word","word",NA
"commercialisation","table","unrelated","word","word",0.0321592044249132
"résister","protéger","unrelated","word","word",0.319692400463959
"informateur","entraîneur","unrelated","word","word",0.297140066029492
"la science","déchets","unrelated","word","word",NA
"cimetière","ambulance","unrelated","word","word",0.297366933467983
"bâtiment","générateur","unrelated","word","word",0.357115951200214
"fièvre","méchant","unrelated","word","word",0.199260970754273
"quatrième","doute","unrelated","word","word",0.0678267408258692
"défaite","larme","unrelated","word","word",0.181924576789936
"siroter","whisky","unrelated","word","word",0.432816384116758
"jus","numéro","unrelated","word","word",0.144861399098559
"bougie","critique","unrelated","word","word",0.130330595163925
"couper","thérapie","unrelated","word","word",0.139053773293966
"spaghetti","puissance","unrelated","word","word",0.0539195323345484
"confusion","célébrité","unrelated","word","word",0.202106858350248
"capitaine","former","unrelated","word","word",0.134090547280604
"gâteau","du quotidien","unrelated","word","word",NA
"tennis","alerte","unrelated","word","word",0.104078677007524
"la musique","faux","unrelated","word","word",NA
"administratif","aujourd'hui","unrelated","word","word",NA
"maximum","nuit","unrelated","word","word",0.0343942585960133
"pitié","papa","unrelated","word","word",0.179829659735409
"automne","ridicule","unrelated","word","word",0.127086411576205
"développement","examiner","unrelated","word","word",0.18873870965109
"confiance","la tour","unrelated","word","word",NA
"vih","univers","unrelated","word","word",0.10495633474101
"rire","sûr","unrelated","word","word",0.185454343448378
"cigarette","d'accord","unrelated","word","word",NA
"armée","doré","unrelated","word","word",0.168061920807601
"vite","couche","unrelated","word","word",0.0974373159070264
"rapidement","frapper","unrelated","word","word",0.110114965662919
"information","ouvrir","unrelated","word","word",0.192416661223523
"gay","arsenal","unrelated","word","word",0.0468410080726208
"joue","se produire","unrelated","word","word",NA
"la démocratie","de face","unrelated","word","word",NA
"libre","carrière","unrelated","word","word",0.0763057983470614
"nouer","oncle","unrelated","word","word",0.00344316897915609
"lieu","mari","unrelated","word","word",0.176512621672728
"équipe","mallette","unrelated","word","word",0.155569748689447
"un soda","four","unrelated","word","word",NA
"fluide","disque","unrelated","word","word",0.19007040806881
"écrivez","cerveau","unrelated","word","word",0.126620540444847
"propriétaire","kilomètre","unrelated","word","word",0.17080348966653
"appartement","klaxon","unrelated","word","word",0.118133026346656
"l'ordinateur","procéder","unrelated","word","word",NA
"sport","faire en sorte","unrelated","word","word",NA
"fortement","anniversaire","unrelated","word","word",0.0564294101668594
"solaire","attractif","unrelated","word","word",0.282999613053346
"mardi","ingénieur","unrelated","word","word",0.156848571568026
"soleil","la finance","unrelated","word","word",NA
"casquette","légion","unrelated","word","word",0.126048037920382
"cartel","support","unrelated","word","word",0.151730506812487
"boutique","apprendre","unrelated","word","word",0.148526991395651
"électrique","glorieux","unrelated","word","word",0.102635348340516
"fantastique","fermement","unrelated","word","word",0.0563571641260814
"bras","faim","unrelated","word","word",0.163449631292431
"amoureux","surnom","unrelated","word","word",0.0894000671787812
"altesse","la fille","unrelated","word","word",NA
"voter","demande","unrelated","word","word",0.184172373766759
"cruauté","la magie","unrelated","word","word",NA
"malade","maquette","unrelated","word","word",0.0696935632802532
"sorcière","acheter","unrelated","word","word",0.0653605567234774
"malheur","nobel","unrelated","word","word",0.0509019297212336
"valise","supporter","unrelated","word","word",0.100394190164276
"manifestation","spirituel","unrelated","word","word",0.224807086157851
"prototype","ninja","unrelated","word","word",0.19337911903642
"course","petit fils","unrelated","word","word",NA
"femme","fusil","unrelated","word","word",0.143154496438845
"marine","jeux d'argent","unrelated","word","word",NA
"produit","minuit","unrelated","word","word",0.125942868008207
"bleu","en temps normal","unrelated","word","word",NA
"vénus","décès","unrelated","word","word",0.0675350509442843
"femme","seigneur","unrelated","word","word",0.147132900822868
"copain","pupitre","unrelated","word","word",0.17071667734571
"sale","plus","unrelated","word","word",0.133097398264655
"psychologique","éliminer","unrelated","word","word",0.144647632860675
"chef","seconde","unrelated","word","word",0.0649597933511507
"menteur","monstre","unrelated","word","word",0.414885891464603
"émotif","question","unrelated","word","word",0.205807896141916
"océan","pacifique","unrelated","word","word",0.514599079872472
"assassin","reconnaissant","unrelated","word","word",0.15835783061637
"père","concurrence","unrelated","word","word",0.121931880257626
"digne","reconnaître","unrelated","word","word",0.232360673864527
"technique","refuge","unrelated","word","word",0.0789836261594782
"haut","direct","unrelated","word","word",0.317876664697316
"centimètre","officiellement","unrelated","word","word",0.0976397130032534
"cent","passionnant","unrelated","word","word",0.144862643511779
"milliard","rouge","unrelated","word","word",0.0895126522246058
"entrepreneur","final","unrelated","word","word",0.103187957680951
"épais","le sourire","unrelated","word","word",NA
"lingue","ambassade","unrelated","word","word",0.199638043015776
"midi","préoccuper","unrelated","word","word",0.098565197972611
"pathétique","album","unrelated","word","word",0.115652900637139
"traditionnel","cauchemar","unrelated","word","word",0.12887355672405
"prêtre","épée","unrelated","word","word",0.234866382490495
"semaine","spécial","unrelated","word","word",0.146491528279822
"beurre","rouillé","unrelated","word","word",0.20821618277491
"créature","conclusion","unrelated","word","word",0.246751969092606
"statue","stress","unrelated","word","word",-0.0730348437650543
"fatal","ligue","unrelated","word","word",0.0581823840199687
"phrase","soupape","unrelated","word","word",0.117653196914699
"alibi","double","unrelated","word","word",0.0999428341708705
"clôture","mortel","unrelated","word","word",0.0184477769346143
"légende","la peau","unrelated","word","word",NA
"grossesse","mériter","unrelated","word","word",0.089183991088481
"cynique","vin","unrelated","word","word",0.142181011547058
"stupide","boue","unrelated","word","word",0.175564235281008
"global","outil","unrelated","word","word",0.167620031265603
"artificiel","peu","unrelated","word","word",0.18806018423766
"généralement","attention","unrelated","word","word",0.148493174975275
"flotte","relation amoureuse","unrelated","word","word",NA
"besoin","impérial","unrelated","word","word",0.0593002694615411
"muscle","sans espoir","unrelated","word","word",NA
"lavage","idée","unrelated","word","word",0.141998415271287
"oeuf","rouge à lèvres","unrelated","word","word",NA
"samouraï","la toux","unrelated","word","word",NA
"prix","explication","unrelated","word","word",0.11763320936909
"braver","prêt","unrelated","word","word",0.144477092212961
"vacances","colline","unrelated","word","word",0.148814873752946
"titre","magnifique","unrelated","word","word",0.147950138583383
"femme de ménage","le sida","unrelated","word","word",NA
"décembre","arrière","unrelated","word","word",0.131096566034461
"baignade","industrie","unrelated","word","word",0.112011154141744
"nu","première","unrelated","word","word",0.114943361031199
"brouillard","ovni","unrelated","word","word",0.32713715852038
"soirée","organiser","unrelated","word","word",0.327987810719979
"adresse","télescope","unrelated","word","word",0.0821605324572214
"matière","aliments","unrelated","word","word",0.250397765817038
"évaluation","essayer","unrelated","word","word",0.141496147244118
"défi","quel","unrelated","word","word",0.0761622289834964
"oreille","laissez tomber","unrelated","word","word",NA
"officiel","changement","unrelated","word","word",0.201552729868098
"donner","contact","unrelated","word","word",0.149654358016192
"canard","impossible","unrelated","word","word",0.0942099092232463
"foncé","veine","unrelated","word","word",0.0795864057476913
"père","camp","unrelated","word","word",0.154933985811555
"fonctionnel","courage","unrelated","word","word",0.0614312022626374
"contraire","la résistance","unrelated","word","word",NA
"réaliste","attention","unrelated","word","word",0.124836442108503
"bande","usine","unrelated","word","word",0.174392774070901
"habituel","détonateur","unrelated","word","word",0.145610985226372
"organiser","positif","unrelated","word","word",0.0719006890097121
"érection","étroit","unrelated","word","word",0.218748900653305
"dignité","vers le bas","unrelated","word","word",NA
"copie","dragon","unrelated","word","word",0.11416388033696
"couvent","rayure","unrelated","word","word",-0.0178279551184445
"crâne","environnement","unrelated","word","word",0.148772010497211
"prisonnier","mois","unrelated","word","word",0.128065433857216
"rappelles toi","le minimum","unrelated","word","word",NA
"est","vide","unrelated","word","word",0.214012893870072
"tornade","ici","unrelated","word","word",0.152053675130478
"loup","compter","unrelated","word","word",0.0415301898546677
"instrument","grand-père","unrelated","word","word",NA
"fermeture","zombi","unrelated","word","word",0.141867236206486
"fermer","collecter","unrelated","word","word",0.191822499749243
"extraterrestre","la personne","unrelated","word","word",NA
"atlantique","planifier","unrelated","word","word",0.128667562240893
"fromage","juridiction","unrelated","word","word",0.0822047552222329
"château","gaz","unrelated","word","word",0.163048116646928
"maman","blesser","unrelated","word","word",0.189571072147773
"stylo","calendrier","unrelated","word","word",0.225881047867157
"oiseau","philosophie","unrelated","word","word",0.15865295042569
"enfer","partir","unrelated","word","word",0.0869334196111216
"fou","cuillère","unrelated","word","word",0.170684096727048
"excuse","canal","unrelated","word","word",0.0748143936498924
"souvent","ébrécher","unrelated","word","word",0.132188528977252
"rarement","vagin","unrelated","word","word",0.169894850152322
"sénat","classer","unrelated","word","word",0.137819189575051
"parlez","équipage","unrelated","word","word",0.11637749559923
"abandonner","char","unrelated","word","word",0.0990243556545788
"chauffeur","actif","unrelated","word","word",0.129847369038784
"intéressant","logiciel","unrelated","word","word",0.188723419486101
"tomate","sécher","unrelated","word","word",0.226416383343211
"la compassion","un rein","unrelated","word","word",NA
"client","atelier","unrelated","word","word",0.149734311939813
