"vi_cue","vi_target","type","cue_type","target_type","vi_cosine"
"bánh mì sandwich","cắt","unrelated","word","word",NA
"bài báo","làng quê","unrelated","word","word",NA
"gió","mét","unrelated","word","word",0.168666255069824
"không bao giờ","xung quanh","unrelated","word","word",NA
"thư viện","sửa","unrelated","word","word",NA
"báo động","thập kỷ","unrelated","word","word",NA
"dịch vụ","dịch","unrelated","word","word",NA
"thần kinh","nổ","unrelated","word","word",NA
"bắt cóc","tù giam","unrelated","word","word",NA
"trừng phạt","cô gái","unrelated","word","word",NA
"thật không may","thất vọng","unrelated","word","word",NA
"bất lực","vũ khí","unrelated","word","word",NA
"đột ngột","nhanh","unrelated","word","word",NA
"siêu nhân","nghe","unrelated","word","word",NA
"trung đoàn","gửi","unrelated","word","word",NA
"nội bộ","nghi ngờ","unrelated","word","word",NA
"tôi sẽ","bài hát","unrelated","word","word",NA
"tai họa","chủ tịch","unrelated","word","word",NA
"lò vi sóng","hỗn hợp","unrelated","word","word",NA
"bí mật","motel","unrelated","word","word",NA
"hãnh diện","hiếm","unrelated","word","word",NA
"kính trọng","trang bị","unrelated","word","word",NA
"phạt","bưu kiện","unrelated","word","word",NA
"buồn","bình minh","unrelated","word","word",NA
"uống","dành","unrelated","word","word",0.160756858108515
"hiện tượng","đơn hàng","unrelated","word","word",NA
"tử vong","đáp lại","unrelated","word","word",NA
"hiện nay","ngựa","unrelated","word","word",NA
"nhìn nhận","bồn rửa chén","unrelated","word","word",NA
"điểm","tồi tệ","unrelated","word","word",NA
"lá cờ","người giúp việc","unrelated","word","word",NA
"hoàng hôn","kim loại","unrelated","word","word",NA
"chú","lạnh","unrelated","word","word",0.106993223332338
"chồng yêu","ngọn lửa","unrelated","word","word",NA
"đại sứ quán","hỗ trợ","unrelated","word","word",NA
"bờ biển","sự bức xạ","unrelated","word","word",NA
"số đông","rất có thể","unrelated","word","word",NA
"khiêu dâm","xa lộ","unrelated","word","word",NA
"rời bỏ","liên lạc","unrelated","word","word",NA
"đại sứ","phủ định","unrelated","word","word",NA
"chết chìm","thủ tục","unrelated","word","word",NA
"hai","ánh sáng","unrelated","word","word",NA
"phòng vệ sinh","sự thử nghiệm","unrelated","word","word",NA
"lụa","sự phá hoại","unrelated","word","word",NA
"sân vận động","quân sự","unrelated","word","word",NA
"bóng rổ","siêng năng","unrelated","word","word",NA
"washington","hoàn hảo","unrelated","word","word",NA
"ngũ cốc","ngai vàng","unrelated","word","word",NA
"đồ ăn","liên tục","unrelated","word","word",NA
"bữa tối","đại tá","unrelated","word","word",NA
"snack","hệ thống điều khiển","unrelated","word","word",NA
"tro","thú vị","unrelated","word","word",NA
"cột sống","centimet","unrelated","word","word",NA
"lời phàn nàn","điếu xì gà","unrelated","word","word",NA
"chuyến du lịch","thời thơ ấu","unrelated","word","word",NA
"ngày mai","trợ lý","unrelated","word","word",NA
"tiếp nhận","mát lạnh","unrelated","word","word",NA
"bộ sưu tập","khó chịu","unrelated","word","word",NA
"bệnh tiêu chảy","trực tiếp","unrelated","word","word",NA
"phong bì","tập đoàn","unrelated","word","word",NA
"cá mập","tang lễ","unrelated","word","word",NA
"khoai tây","khép kín","unrelated","word","word",NA
"người","cái túi","unrelated","word","word",NA
"tách","đường phố","unrelated","word","word",NA
"trói buộc","thép","unrelated","word","word",NA
"giấy","chuộc","unrelated","word","word",0.146645267523976
"họng","mọi người","unrelated","word","word",NA
"chiếc bàn","tháng bảy","unrelated","word","word",NA
"máy ảnh","alibi","unrelated","word","word",NA
"cái thìa","áo khoác","unrelated","word","word",NA
"hộp","bệnh","unrelated","word","word",0.0985572630910608
"cấm","bộ","unrelated","word","word",0.193773211557735
"ấn tượng","thân thiện","unrelated","word","word",NA
"truyền cảm hứng","nghĩa trang","unrelated","word","word",NA
"tri ân","phẫu thuật","unrelated","word","word",NA
"đi chơi picnic","kẻ tấn công","unrelated","word","word",NA
"noble","mẹ","unrelated","word","word",0.193878762157072
"căn nhà","lâu đài","unrelated","word","word",NA
"cổng thông tin","ủy viên","unrelated","word","word",NA
"tay","tôn kính","unrelated","word","word",NA
"thấp","làm","unrelated","word","word",0.152695417625656
"nghiệp dư","căn hộ, chung cư","unrelated","word","word",NA
"anarchy","tấm thảm","unrelated","word","word",NA
"bùn","mùa đông","unrelated","word","word",NA
"xé","phía đông","unrelated","word","word",NA
"từ","đại dương","unrelated","word","word",NA
"cô gái","dài","unrelated","word","word",NA
"bí quyết, thuật, mẹo","adrenaline","unrelated","word","word",NA
"bush","nổi tiếng","unrelated","word","word",NA
"dán","kính hiển vi","unrelated","word","word",NA
"dặm","cậu bé","unrelated","word","word",NA
"óc","đế chế","unrelated","word","word",NA
"mẹ","capitalism","unrelated","word","word",NA
"người lớn","đi","unrelated","word","word",NA
"an toàn","phi công","unrelated","word","word",NA
"rõ ràng","hàng hóa","unrelated","word","word",NA
"cốc thủy tinh","núi","unrelated","word","word",NA
"vết thương","chết","unrelated","word","word",NA
"chúc mừng","cây","unrelated","word","word",NA
"treo","tu viện","unrelated","word","word",NA
"từ chối","sốt","unrelated","word","word",NA
"cháu trai","yêu và quý","unrelated","word","word",NA
"người tị nạn","thay thế","unrelated","word","word",NA
"mỏ neo","hài kịch","unrelated","word","word",NA
"còn sống","tệ hại","unrelated","word","word",NA
"chịu đựng","giấu","unrelated","word","word",NA
"lính","bia","unrelated","word","word",0.174771162376672
"kế hoạch","hành chính","unrelated","word","word",NA
"đấu trường","người yêu","unrelated","word","word",NA
"cân nặng","sự lôi kéo","unrelated","word","word",NA
"kích cỡ","áp lực","unrelated","word","word",NA
"con bướm","không khí","unrelated","word","word",NA
"sự quản lý","chiến lược","unrelated","word","word",NA
"chính thức","phút","unrelated","word","word",NA
"phê bình","giữ","unrelated","word","word",NA
"báo chí","đánh giá cao","unrelated","word","word",NA
"chính sách","dịu dàng","unrelated","word","word",NA
"sai lầm","trẻ tuổi","unrelated","word","word",NA
"chào hàng","vắng mặt","unrelated","word","word",NA
"chờ đã","nhu cầu","unrelated","word","word",NA
"chịu","xe tải","unrelated","word","word",NA
"đào","sự hoang mang","unrelated","word","word",NA
"telegram","ngân hà","unrelated","word","word",NA
"mục đích","âm nhạc","unrelated","word","word",NA
"con tem","nhỏ","unrelated","word","word",NA
"người thuê nhà","cuộc họp","unrelated","word","word",NA
"bất động sản","gây tử vong","unrelated","word","word",NA
"thứ bảy","web","unrelated","word","word",NA
"chancellor","lời hứa","unrelated","word","word",NA
"bán kính","xấu xí","unrelated","word","word",NA
"bình phục","hợp lý","unrelated","word","word",NA
"sẵn sàng","vận dụng","unrelated","word","word",NA
"hoạt động","thiếu niên","unrelated","word","word",NA
"cuộc thi","khát","unrelated","word","word",NA
"tên","quyên góp","unrelated","word","word",NA
"trạng thái","nói chung","unrelated","word","word",NA
"bắt cóc","thông minh","unrelated","word","word",NA
"dự án","khả năng","unrelated","word","word",NA
"vồ lấy","vùng","unrelated","word","word",NA
"đổ bộ","trung thực","unrelated","word","word",NA
"thạo","nền văn minh","unrelated","word","word",NA
"di chuyển","đại lý","unrelated","word","word",NA
"đặc trưng","nói","unrelated","word","word",NA
"một mình","kiến trúc sư","unrelated","word","word",NA
"những cậu bé","cung cấp","unrelated","word","word",NA
"hữu ích","lời khai","unrelated","word","word",NA
"dung tích","ví tiền","unrelated","word","word",NA
"kỹ thuật","vương quốc","unrelated","word","word",NA
"có lẽ","tiết kiệm","unrelated","word","word",NA
"vô tội","điện","unrelated","word","word",NA
"chỉ huy","rào chắn","unrelated","word","word",NA
"giải trình","heroin","unrelated","word","word",NA
"vô tình","thể hiện","unrelated","word","word",NA
"rum","sẹo","unrelated","word","word",0.114647466919089
"sừng","con rùa","unrelated","word","word",NA
"đã","sắc đẹp, vẻ đẹp","unrelated","word","word",NA
"con chuột","phân tích","unrelated","word","word",NA
"con khỉ","bao giờ","unrelated","word","word",NA
"con ong","giáo dục","unrelated","word","word",NA
"chú chó","bánh","unrelated","word","word",NA
"sâu","cơ trưởng","unrelated","word","word",NA
"ốc sên","nhớ","unrelated","word","word",NA
"con ếch","tra tấn","unrelated","word","word",NA
"cáo","tức giận","unrelated","word","word",NA
"tàu ngầm","nhiên liệu","unrelated","word","word",NA
"con gái","lạ lùng","unrelated","word","word",NA
"nhện","kẻ phản bội","unrelated","word","word",NA
"lối ra","chấp hành","unrelated","word","word",NA
"xã hội","gương","unrelated","word","word",NA
"phân biệt chủng tộc","thành công","unrelated","word","word",NA
"luật sư","thông tin","unrelated","word","word",NA
"công việc","hố","unrelated","word","word",NA
"rodeo","lòng biết ơn","unrelated","word","word",NA
"ứng viên","xà lách","unrelated","word","word",NA
"cửa sổ","cửa hàng","unrelated","word","word",NA
"cửa tiệm","mũi tiêm","unrelated","word","word",NA
"đá","vợ","unrelated","word","word",0.198429373380585
"từ điển","nỗi đau","unrelated","word","word",NA
"cho phép","dấu hiệu","unrelated","word","word",NA
"chiến dịch","thể dục","unrelated","word","word",NA
"marathon","tôn giáo","unrelated","word","word",NA
"hội nghị","tẩy","unrelated","word","word",NA
"tình hình","dusty","unrelated","word","word",NA
"mỉm cười","phô mai","unrelated","word","word",NA
"đầu tiên","ruồi","unrelated","word","word",NA
"độc thân","bắp thịt","unrelated","word","word",NA
"cực khoái","thứ lỗi","unrelated","word","word",NA
"ăn cắp","cháu trai","unrelated","word","word",NA
"trộm cắp","điện thoại","unrelated","word","word",NA
"anh hùng","lợn","unrelated","word","word",NA
"tâm thần","liếm","unrelated","word","word",NA
"gầy","thế giới","unrelated","word","word",NA
"ngắn","phía trong","unrelated","word","word",NA
"biển","batman","unrelated","word","word",0.121076036614969
"vững chãi","cương cứng","unrelated","word","word",NA
"chung","đặc","unrelated","word","word",0.111336792944053
"váy","việc kinh doanh","unrelated","word","word",NA
"hăng hái","nổ","unrelated","word","word",NA
"calibre","người hy lạp","unrelated","word","word",NA
"góa phụ","công việc","unrelated","word","word",NA
"đàn piano","kết quả","unrelated","word","word",NA
"quốc gia","chào hỏi","unrelated","word","word",NA
"đặc biệt","giản dị","unrelated","word","word",NA
"khổ sở","mũ lưỡi trai","unrelated","word","word",NA
"rác thải","chôn","unrelated","word","word",NA
"chiến thắng","bữa ăn","unrelated","word","word",NA
"săn bắn","watson","unrelated","word","word",NA
"đánh","quay","unrelated","word","word",0.191136144293628
"khâm phục","hệ mặt trời","unrelated","word","word",NA
"chiến đấu","vận mạng","unrelated","word","word",NA
"sự nghiệp","có tội","unrelated","word","word",NA
"thanh kiếm","phòng vệ","unrelated","word","word",NA
"trả lời","thuốc uống","unrelated","word","word",NA
"chèn","mông","unrelated","word","word",0.153305049265386
"than","giọng","unrelated","word","word",0.110698511038163
"đầu bếp","quả dâu","unrelated","word","word",NA
"vai","thông tin","unrelated","word","word",NA
"biểu mẫu","gay","unrelated","word","word",NA
"tần số","vui","unrelated","word","word",NA
"khúc xương","tranh chấp","unrelated","word","word",NA
"quán quân","con mèo","unrelated","word","word",NA
"thêm","cái bút","unrelated","word","word",NA
"tài chính","thông báo","unrelated","word","word",NA
"dna","phù thủy","unrelated","word","word",NA
"học hỏi","xác minh","unrelated","word","word",NA
"đứng đầu","cây búa","unrelated","word","word",NA
"trống rỗng","phòng khám","unrelated","word","word",NA
"cáp","tuyên thệ","unrelated","word","word",NA
"chuỗi","cà phê","unrelated","word","word",NA
"không thể nào","tâm lý","unrelated","word","word",NA
"triều đại","chuyển khoản","unrelated","word","word",NA
"cho phép","yếu","unrelated","word","word",NA
"bên phải","kết cấu","unrelated","word","word",NA
"kẹo","viết","unrelated","word","word",0.116983048075137
"cabin","chức vụ","unrelated","word","word",NA
"đến nơi","môn học","unrelated","word","word",NA
"đẹp","thỏa thuận cạnh tranh","unrelated","word","word",NA
"đi vào","mật khẩu mở khóa","unrelated","word","word",NA
"chạy","tàn ác","unrelated","word","word",NA
"ngủ trưa","tầm nhìn","unrelated","word","word",NA
"cái bát","vòi nước","unrelated","word","word",NA
"con số","báo thức","unrelated","word","word",NA
"thiên đường","học thuyết","unrelated","word","word",NA
"khu vực","người mua","unrelated","word","word",NA
"chất lỏng","sự nhiễm trùng","unrelated","word","word",NA
"cúm","mát xa","unrelated","word","word",NA
"mù","va li","unrelated","word","word",NA
"yên tĩnh","hàng tuần","unrelated","word","word",NA
"hiện hành","đóng cửa","unrelated","word","word",NA
"từ tính","sinh vật","unrelated","word","word",NA
"gọi","chính quyền","unrelated","word","word",NA
"tác giả","hạt","unrelated","word","word",NA
"cái gì","gan","unrelated","word","word",NA
"xem xét","tiếp tục","unrelated","word","word",NA
"kiểm tra","ống tiêm","unrelated","word","word",NA
"nhà phân tích","râu","unrelated","word","word",NA
"khói","bài giảng","unrelated","word","word",NA
"ping","chim","unrelated","word","word",0.125338375376794
"ý tưởng","sản xuất","unrelated","word","word",NA
"dịu dàng","cái mic cờ rô","unrelated","word","word",NA
"búp bê","cắm trại","unrelated","word","word",NA
"pao","đồ chơi","unrelated","word","word",NA
"tiết diện","tài chính","unrelated","word","word",NA
"nhà triệu phú","ông chủ","unrelated","word","word",NA
"bán đấu giá","quán ăn","unrelated","word","word",NA
"đặc biệt","quốc gia","unrelated","word","word",NA
"liên đoàn","đi bộ","unrelated","word","word",NA
"mệt mỏi","tivi","unrelated","word","word",NA
"yêu cầu","đường dẫn","unrelated","word","word",NA
"xe tăng","giáp","unrelated","word","word",NA
"bị khóa","sản lượng","unrelated","word","word",NA
"tan chảy","buổi triển lãm","unrelated","word","word",NA
"hộ tống","gần","unrelated","word","word",NA
"nhìn","nhà đầu tư","unrelated","word","word",NA
"tĩnh mạch","nhai","unrelated","word","word",NA
"huy hiệu","bếp","unrelated","word","word",NA
"prey","răng","unrelated","word","word",NA
"sự tiến hóa","nhảy","unrelated","word","word",NA
"đứa bé","bằng chứng","unrelated","word","word",NA
"dụng cụ","chữa trị","unrelated","word","word",NA
"tuyến đường","danh tiếng","unrelated","word","word",NA
"cầu","la mã","unrelated","word","word",NA
"đại lộ","lễ","unrelated","word","word",NA
"âm đạo","rùng mình","unrelated","word","word",NA
"rusty","cảm tạ","unrelated","word","word",NA
"bảo tồn","tập phim","unrelated","word","word",NA
"ở lại","sáng","unrelated","word","word",NA
"gà","tự nguyện","unrelated","word","word",NA
"xưởng","quân đội","unrelated","word","word",NA
"quả thận","ảo giác","unrelated","word","word",NA
"mở","cộng đồng","unrelated","word","word",NA
"thấy","thu nhập = earnings","unrelated","word","word",NA
"squirrel","cho","unrelated","word","word",0.150494269701493
"đồng tính nữ","nghiên cứu","unrelated","word","word",NA
"nịnh nọt","trạm","unrelated","word","word",NA
"chết người","động cơ","unrelated","word","word",NA
"ghi","thực tế","unrelated","word","word",NA
"giá trị","sự sụp đổ","unrelated","word","word",NA
"gia tộc","không xác định","unrelated","word","word",NA
"phần kết luận","chính thức","unrelated","word","word",NA
"giai đoạn","viết","unrelated","word","word",NA
"tăng lên","ban nhạc","unrelated","word","word",NA
"nhà sản xuất","buổi sáng","unrelated","word","word",NA
"đơn giản","vị trí","unrelated","word","word",NA
"âm mưu","cát","unrelated","word","word",NA
"sức khỏe","quyến rũ","unrelated","word","word",NA
"trưởng khoa","trẻ em","unrelated","word","word",NA
"qui định","phía trên","unrelated","word","word",NA
"học sinh","sau cùng","unrelated","word","word",NA
"cái khiên","tưởng tượng","unrelated","word","word",NA
"che","trái ngược","unrelated","word","word",NA
"nghèo","dao","unrelated","word","word",0.0636662568892642
"boot","tháng 12","unrelated","word","word",NA
"chất độc","ăn","unrelated","word","word",NA
"tự tử","sự thất bại","unrelated","word","word",NA
"giọng nói","phiền muộn","unrelated","word","word",NA
"nam giới","không công bằng","unrelated","word","word",NA
"tổ chức","cử tri","unrelated","word","word",NA
"ghế sô pha","nhà báo","unrelated","word","word",NA
"cầu hôn","hạm đội","unrelated","word","word",NA
"kilo","mũi","unrelated","word","word",0.139106017181971
"mang đến","duy trì","unrelated","word","word",NA
"sự phản xạ","buổi tiệc","unrelated","word","word",NA
"vịnh","đầu bếp","unrelated","word","word",NA
"sự cân bằng","kẻ ngốc","unrelated","word","word",NA
"kịch","mùa thu","unrelated","word","word",NA
"thoải mái","tính cách","unrelated","word","word",NA
"gần biển","người lái xe","unrelated","word","word",NA
"hải quân","vui mừng","unrelated","word","word",NA
"trọng tải","gia đình","unrelated","word","word",NA
"một ngàn","hoàng tử","unrelated","word","word",NA
"hằng ngày","battalion","unrelated","word","word",NA
"sự quản lý","phần thưởng","unrelated","word","word",NA
"cử chỉ","nước hoa","unrelated","word","word",NA
"tỏi","mỹ","unrelated","word","word",0.0890631512887664
"mũ sắt của lính","chó sói","unrelated","word","word",NA
"vấn đề","bản đồ","unrelated","word","word",NA
"âm lịch","con trai","unrelated","word","word",NA
"mạng","thần kinh","unrelated","word","word",NA
"cảm biến","sư tử","unrelated","word","word",NA
"góc","thiên đường","unrelated","word","word",NA
"cocaine","săn bắt","unrelated","word","word",NA
"cực kì","chụp lấy","unrelated","word","word",NA
"thỉnh thoảng","máy móc","unrelated","word","word",NA
"hợp đồng","ôm","unrelated","word","word",NA
"nhận ra","sản phẩm","unrelated","word","word",NA
"trải qua","đáy","unrelated","word","word",NA
"ảnh hưởng","tòa nhà","unrelated","word","word",NA
"hình ảnh","pháo binh","unrelated","word","word",NA
"aids","tạp chí","unrelated","word","word",NA
"nứt","bài thơ","unrelated","word","word",NA
"dòng sông","vâng","unrelated","word","word",NA
"tên nick","mặt trời","unrelated","word","word",NA
"vé","kiểm tra","unrelated","word","word",NA
"cứu giúp","chính trị gia","unrelated","word","word",NA
"thực vật","bữa trưa","unrelated","word","word",NA
"quả táo","mạnh mẽ","unrelated","word","word",NA
"họa sĩ","nhựa","unrelated","word","word",NA
"tên lửa","dễ","unrelated","word","word",NA
"ngây thơ","bi thảm","unrelated","word","word",NA
"lý tưởng","má","unrelated","word","word",NA
"toàn bộ","giày","unrelated","word","word",NA
"chấm dứt","tài liệu","unrelated","word","word",NA
"chắc chắn rồi","có vẻ hợp lý","unrelated","word","word",NA
"thành nội","sai lầm, điều sai, ngộ nhận","unrelated","word","word",NA
"sự sợ hãi","xinh đẹp","unrelated","word","word",NA
"công chúa","đầy","unrelated","word","word",NA
"tích cực","ướt","unrelated","word","word",NA
"ý kiến","gấu mèo - gấu mèo","unrelated","word","word",NA
"câu hỏi","buổi hòa nhạc","unrelated","word","word",NA
"triệu chứng","vanilla","unrelated","word","word",NA
"hôm nay","cha mẹ","unrelated","word","word",NA
"sự phối hợp","điều đó","unrelated","word","word",NA
"ly hôn","vấn đề","unrelated","word","word",NA
"giám mục","để lại","unrelated","word","word",NA
"khuy ao","hồ","unrelated","word","word",NA
"công bằng","giết chết","unrelated","word","word",NA
"đầy đủ","một vài nơi","unrelated","word","word",NA
"bất hợp pháp","ngôi trường","unrelated","word","word",NA
"tàn bạo","phân công","unrelated","word","word",NA
"giật gân","tai nạn","unrelated","word","word",NA
"xuống","thường","unrelated","word","word",0.164039628146285
"mối quan hệ","yếu tố","unrelated","word","word",NA
"chiếc cúp","tù nhân","unrelated","word","word",NA
"carbon","còn","unrelated","word","word",0.174698506149968
"bướng bỉnh","gà tây","unrelated","word","word",NA
"im lặng","đường hầm","unrelated","word","word",NA
"lố bịch","dây điện","unrelated","word","word",NA
"romeo","nguyên nhân","unrelated","word","word",NA
"lính đánh thuê","bài học","unrelated","word","word",NA
"bắn súng","đầu tư","unrelated","word","word",NA
"sát thủ","con khỉ đột","unrelated","word","word",NA
"lừa gạt","nguyên mẫu","unrelated","word","word",NA
"gián điệp","giá bán","unrelated","word","word",NA
"nạn nhân","lãng mạn","unrelated","word","word",NA
"kim tự tháp","không bật","unrelated","word","word",NA
"kết quả","chiều dài","unrelated","word","word",NA
"cơ hội","sinh vật học","unrelated","word","word",NA
"giống","câu nói đùa","unrelated","word","word",NA
"bệnh nhân","phẩm chất","unrelated","word","word",NA
"khẩn cấp","quán ba","unrelated","word","word",NA
"da","mồi","unrelated","word","word",0.134015638665941
"cái mền","nghỉ","unrelated","word","word",NA
"vải","hỏi","unrelated","word","word",0.218213014339527
"sức cản","vinh quang","unrelated","word","word",NA
"nạn đói","đáng chú ý","unrelated","word","word",NA
"khai mạc","thường","unrelated","word","word",NA
"khiêm tốn","tỷ","unrelated","word","word",NA
"không thoải mái","bán","unrelated","word","word",NA
"chìa khóa","cưới nhau","unrelated","word","word",NA
"công nghệ","hydro","unrelated","word","word",NA
"khỏa thân","điện","unrelated","word","word",NA
"tín dụng","đi dạo","unrelated","word","word",NA
"nửa đêm","hoa quả","unrelated","word","word",NA
"bất công","tin nhắn","unrelated","word","word",NA
"môi trường","tài chính","unrelated","word","word",NA
"không có khả năng","rộng","unrelated","word","word",NA
"vô danh","sự đánh giá","unrelated","word","word",NA
"hoang tưởng","bột","unrelated","word","word",NA
"lời khuyên","hệ thống","unrelated","word","word",NA
"cò súng","phong cách","unrelated","word","word",NA
"cuộc thí nghiệm","cao","unrelated","word","word",NA
"kĩ sư","giết người","unrelated","word","word",NA
"thiếu hiểu biết","hoạt động","unrelated","word","word",NA
"bàn là","miễn phí","unrelated","word","word",NA
"kính thiên văn","nước xốt","unrelated","word","word",NA
"ấn tượng","biết","unrelated","word","word",NA
"ngân sách","thông thường","unrelated","word","word",NA
"bẩn thỉu","nữ phục vụ","unrelated","word","word",NA
"công giáo","bốn","unrelated","word","word",NA
"phương pháp","bắc","unrelated","word","word",NA
"không bình thường","nhạy cảm","unrelated","word","word",NA
"caesar","atlantic","unrelated","word","word",0.16599804584828
"lái xe","chủ nhật","unrelated","word","word",NA
"làm","kẻ giết người","unrelated","word","word",NA
"mới","người phụ nữ","unrelated","word","word",NA
"kịch","công tố viên","unrelated","word","word",NA
"trại","tiền bạc","unrelated","word","word",NA
"nóng bức","con chuột","unrelated","word","word",NA
"hội viên","ngày sinh nhật","unrelated","word","word",NA
"sự chuẩn bị","số lượng","unrelated","word","word",NA
"cung điện","doanh thu","unrelated","word","word",NA
"nghi thức","màu đen","unrelated","word","word",NA
"hôn ước","tuyệt vời","unrelated","word","word",NA
"lễ hội hóa trang","giống cái","unrelated","word","word",NA
"lịch","chiến trường","unrelated","word","word",NA
"mút","con rắn","unrelated","word","word",NA
"thuộc địa","màn hình","unrelated","word","word",NA
"dẫn đường","timer","unrelated","word","word",NA
"luôn","nhà nguyện","unrelated","word","word",NA
"xe tắc xi","tối cao","unrelated","word","word",NA
"ming","tầm quan trọng","unrelated","word","word",NA
"bận tâm","làm tươi","unrelated","word","word",NA
"máy phát điện","thịt ba rọi","unrelated","word","word",NA
"bão","vắc-xin","unrelated","word","word",NA
"bảo hành","tốt nghiệp","unrelated","word","word",NA
"chứng kiến","đói bụng","unrelated","word","word",NA
"bò","giảm bớt","unrelated","word","word",NA
"lòng hiếu khách","sách","unrelated","word","word",NA
"chọn","bánh hamburger","unrelated","word","word",NA
"sự lựa chọn","màu vàng","unrelated","word","word",NA
"sức lực","dân tộc","unrelated","word","word",NA
"lương hưu","đẹp","unrelated","word","word",NA
"môi","chủ nhân","unrelated","word","word",NA
"thây ma","dầu","unrelated","word","word",NA
"vĩnh hằng","súng","unrelated","word","word",NA
"chỉ","nước ép","unrelated","word","word",NA
"màn","máy bay trực thăng","unrelated","word","word",NA
"miếng","điều tra","unrelated","word","word",NA
"vững chắc","đội","unrelated","word","word",NA
"lớp","thuốc nổ","unrelated","word","word",NA
"mã số","phần thưởng","unrelated","word","word",NA
"ấm áp","mơ","unrelated","word","word",NA
"mặt trăng","anh em họ","unrelated","word","word",NA
"yoga","vitamin","unrelated","word","word",0.277218776488985
"chậm rãi","cá nhân","unrelated","word","word",NA
"trắng","cổng","unrelated","word","word",0.115980859375937
"màu đỏ","noi","unrelated","word","word",NA
"màu nâu","cái nĩa","unrelated","word","word",NA
"xe cứu thương","tàu thủy","unrelated","word","word",NA
"robot","có khả năng","unrelated","word","word",NA
"phần mềm","limousine","unrelated","word","word",NA
"sốt cà chua","khoản vay","unrelated","word","word",NA
"bố","thanh lịch","unrelated","word","word",NA
"tạo tác","gram","unrelated","word","word",NA
"thuoc ve thuong mai","dễ thương","unrelated","word","word",NA
"km","bất hạnh","unrelated","word","word",NA
"mì nướng kiểu ý","sự chấp thuận","unrelated","word","word",NA
"trớ trêu","thương hại","unrelated","word","word",NA
"tự do","chức vô địch","unrelated","word","word",NA
"phía nam","đô la","unrelated","word","word",NA
"nghèo","vệ tinh","unrelated","word","word",NA
"cơn ác mộng","quan trọng","unrelated","word","word",NA
"hành lý","thung lũng","unrelated","word","word",NA
"chỉ cần","nội dung","unrelated","word","word",NA
"dân số","xác nhận","unrelated","word","word",NA
"vật","định nghĩa","unrelated","word","word",NA
"ass","đánh đập","unrelated","word","word",NA
"aspirin","cảm giác","unrelated","word","word",NA
"làm rơi","duy trì","unrelated","word","word",NA
"một nửa","giàu có","unrelated","word","word",NA
"ở nơi khác","năng lực","unrelated","word","word",NA
"khách sạn","tuần tra","unrelated","word","word",NA
"kính","chức năng","unrelated","word","word",NA
"mùa hè","nhà văn","unrelated","word","word",NA
"mùa xuân","đánh bại","unrelated","word","word",NA
"nếm","tội ác","unrelated","word","word",NA
"mồm","bơi","unrelated","word","word",0.104925764719093
"liều lượng","trái cam","unrelated","word","word",NA
"sự mong muốn","thực tế","unrelated","word","word",NA
"châu phi","armory","unrelated","word","word",NA
"tiềm năng","bóng đá","unrelated","word","word",NA
"sức mạnh","biểu thị","unrelated","word","word",NA
"nặng","misery","unrelated","word","word",0.100549083357495
"đèn ngủ","chủ nhà","unrelated","word","word",NA
"sự tự do","ling","unrelated","word","word",NA
"văn hoá","đồng hành","unrelated","word","word",NA
"vương miện","sự nguy hiểm","unrelated","word","word",NA
"vũ trụ","khiêm tốn","unrelated","word","word",NA
"giáng sinh","xung quanh","unrelated","word","word",NA
"dịp kỉ niệm","im lặng","unrelated","word","word",NA
"nghe","lựa chọn","unrelated","word","word",NA
"xem xét","bất ngờ","unrelated","word","word",NA
"đập vỡ","mãi mãi","unrelated","word","word",NA
"nghi ngờ","hoàn toàn","unrelated","word","word",NA
"phần mộ","điều tra","unrelated","word","word",NA
"trách nhiệm","thắng lợi","unrelated","word","word",NA
"tìm kiếm","gợi ý","unrelated","word","word",NA
"ngây thơ","rác","unrelated","word","word",NA
"đứng","tối","unrelated","word","word",0.138634094108412
"danh nhân","tập đoàn","unrelated","word","word",NA
"lớp","lái","unrelated","word","word",0.111176399500352
"ngon","sự giận dữ","unrelated","word","word",NA
"lửa","cướp bóc","unrelated","word","word",NA
"ngón tay","thám tử","unrelated","word","word",NA
"nghỉ ngơi","lương","unrelated","word","word",NA
"điên cuồng","chèo","unrelated","word","word",NA
"lừa","viên ngọc","unrelated","word","word",NA
"dạ dày","nguyên tử","unrelated","word","word",NA
"ngăn ngừa","sự mô tả","unrelated","word","word",NA
"anh bạn","tấn công","unrelated","word","word",NA
"kẻ thua cuộc","điềm tĩnh","unrelated","word","word",NA
"huấn luyện viên","mảnh","unrelated","word","word",NA
"bảo mẫu","đầu lâu","unrelated","word","word",NA
"nô lệ","cổ điển","unrelated","word","word",NA
"roman","cuộc khủng hoảng","unrelated","word","word",NA
"hành khách","hồng y","unrelated","word","word",NA
"nông dân","thượng nghị sĩ","unrelated","word","word",NA
"người bán","không thể","unrelated","word","word",NA
"nằm","mau","unrelated","word","word",0.0770731967795785
"tiếng anh","tập trung","unrelated","word","word",NA
"chúa tể","điếc","unrelated","word","word",NA
"tình nhân","nỗ lực","unrelated","word","word",NA
"người mẫu","khóa","unrelated","word","word",NA
"lý do","xúc phạm","unrelated","word","word",NA
"nguyên tử","cao thủ","unrelated","word","word",NA
"phóng viên","thượng nghị viện","unrelated","word","word",NA
"banker","bắn","unrelated","word","word",NA
"thiên tài","người chiến thắng","unrelated","word","word",NA
