"vi_target","vi_cue","vi_fake_cue","vi_fake_target","en_cue","en_target"
"kẻ tấn công","nạn nhân","nạn chir","kẻ tấgreung","victim","attacker"
"kết cấu","kim tự tháp","kim tựtramp","kếthdah","pyramid","structure"
"kết quả","kết quả","kếthiel","kếtnein","result","outcome"
"khả năng","cơ hội","cơhộng","khả uơng","chance","possibility"
"khác nhau","giống","gitog","khác txác","similar","different"
"khách hàng","bệnh nhân","bệnh hạnh","hotch hàng","patient","client"
"khẩn cấp","khẩn cấp","nhét cấp","bậtn cấp","urgent","emergency"
"khăn giấy","da","ie","chớm giấy","skin","tissue"
"khăn tắm","cái mền","cái vởn","flun tắm","blanket","towel"
"khăn tay","vải","sắi","cảan tay","cloth","handkerchief"
"kháng cự","sức cản","sức okn","khángmùa","resistance","resist"
"khát","nạn đói","nạn dải","imát","hunger","thirst"
"khép kín","khai mạc","khaitấạc","khépcvẫn","opening","closure"
"khiêm tốn","khiêm tốn","khiêmchël","khiêmkeup","humble","modest"
"khó chịu","không thoải mái","khinóithoải mái","sif chịu","uncomfortable","unpleasant"
"khóa","chìa khóa","chuồnkhóa","khdĩ","key","lock"
"khoa học","công nghệ","công nbén","khoagenn","technology","science"
"khỏa thân","khỏa thân","khỏa trôi","khỏa htak","nude","naked"
"khoản vay","tín dụng","tínhvòng","khoảnnesy","credit","loan"
"không bật","nửa đêm","ìna đêm","khôngtolt","midnight","noon"
"không công bằng","bất công","bấtolệnh","không cônlesông","injustice","unfair"
"không khí","môi trường","môi trngng","không goh","environment","atmosphere"
"không thể","không có khả năng","không cóhókhnnhng","không wam","inability","unable"
"không xác định","vô danh","vôdrahn","khngkhnác định","anonymous","unknown"
"khùng","hoang tưởng","hoanghĩrằng","khocg","paranoid","crazy"
"khuyên nhủ","lời khuyên","keinkhuyên","whoosn nhủ","advice","advise"
"kích hoạt","cò súng","gạ súng","kíchhorst","trigger","activate"
"kiểm tra","cuộc thí nghiệm","chúapthí nghiệm","kiểmlorn","experiment","test"
"kiến trúc sư","kĩ sư","nỗ sư","mrol trúc sư","engineer","architect"
"kiêu căng","thiếu hiểu biết","choon hiểu biết","kiêucrisp","ignorance","arrogance"
"kim loại","bàn là","bàncát","kimwloon","iron","metal"
"kính hiển vi","kính thiên văn","kính thiêlonghs","kính hiểhhắn","telescope","microscope"
"kinh ngạc","ấn tượng","ấnhtđứng","chnh ngạc","impressive","amazing"
"kinh phí","ngân sách","niel sách","kinh tựuở","budget","funding"
"kinh tởm","bẩn thỉu","bẩn tião","kinbatom","dirty","disgusting"
"kitô giáo","công giáo","côngcgiày","tôtt giáo","catholic","christian"
"kỹ thuật","phương pháp","phương paña","đệtthuật","method","technique"
"lạ lùng","không bình thường","không bìnhrimsung","lạmcùng","unusual","strange"
"la mã","caesar","máysar","lahọã","caesar","rome"
"lái","lái xe","lánhxe","hxi","drive","ride"
"làm","làm","wam","wam","make","do"
"làm tươi","mới","lii","hay tươi","fresh","refresh"
"lãng mạn","kịch","fsch","lãngrhen","dramatic","romantic"
"làng quê","trại","trjo","wrag quê","camp","village"
"lạnh","nóng bức","nóngcmóc","ấynh","hot","cold"
"lãnh đạo","hội viên","hội vhach","cìzh đạo","member","leader"
"lập kế hoạch","sự chuẩn bị","sự chuẩdris","lập kchitsch","preparation","planning"
"lâu đài","cung điện","cungóeiện","lâu tỏi","palace","castle"
"lễ","nghi thức","nghi lđấy","áa","ritual","ceremony"
"lễ cưới","hôn ước","hôođược","lễcnước","engagement","wedding"
"lễ hội","lễ hội hóa trang","lễ hội htasẽsống","lễmđộc","carnival","festival"
"lịch trình","lịch","eich","lịchấprình","calendar","schedule"
"liếm","mút","tỏt","lipu","suck","lick"
"liên đoàn","thuộc địa","toxoc địa","liênóđược","colony","federation"
"liên lạc","dẫn đường","nùn đường","liênlanó","navigation","communication"
"liên tục","luôn","luào","liênblad","always","constantly"
"limousine","xe tắc xi","xe tzashi","livingssine","taxi","limousine"
"ling","ming","oung","ligu","ming","ling"
"lo","bận tâm","nhp tâm","ie","concern","worry"
"lò phản ứng","máy phát điện","oblaphát điện","pfiphản ứng","generator","reactor"
"lốc xoáy","bão","hho","lốcưamáy","hurricane","tornado"
"lời hứa","bảo hành","wer hành","lờithal","guarantee","promise"
"lời khai","chứng kiến","ngừng kiến","lời chấu","witness","testimony"
"lợn","bò","同啊","ưgn","cow","pig"
"lòng biết ơn","lòng hiếu khách","thết hiếu khách","lòng bihseen","hospitality","gratitude"
"lựa chọn","chọn","chmh","tụi chọn","choose","select"
"lựa chọn","sự lựa chọn","shalaa chọn","tụi chọn","choice","option"
"lực lượng","sức lực","sứchoặc","lựcnđường","strength","force"
"lương","lương hưu","lươngvhen","skơng","pension","salary"
"má","môi","vưi","oả","lip","cheek"
"ma cà rồng","thây ma","thâywoi","mabéotrang","zombie","vampire"
"mãi mãi","vĩnh hằng","gesh hằng","àai mãi","eternal","forever"
"màn biểu diễn","chỉ","maỉ","màn biểanđiện","show","performance"
"màn hình","màn","ỏan","aco hình","screen","monitor"
"mảnh","miếng","misig","ngnh","fragment","piece"
"mạnh mẽ","vững chắc","punt chắc","wunh mẽ","firmly","strongly"
"mặt","lớp","mbp","bảt","layer","surface"
"mật khẩu mở khóa","mã số","qa số","bantkhẩu mở khóa","code","password"
"mát lạnh","ấm áp","ól áp","voo lạnh","warm","cool"
"mặt trời","mặt trăng","elo trăng","uku trời","moon","sun"
"mát xa","yoga","stega","máthel","yoga","massage"
"mau","chậm rãi","conc rãi","eru","slowly","quickly"
"màu đen","trắng","tráºg","màu dßn","white","black"
"màu vàng","màu đỏ","màu ơơ","ohy vàng","red","yellow"
"màu xanh da trời","màu nâu","eru nâu","màu xanh vanhnói","brown","blue"
"máy bay trực thăng","xe cứu thương","xe cứuhtasống","máy bay trựvechúng","ambulance","helicopter"
"máy móc","robot","rohes","nim móc","robot","machine"
"máy tính","phần mềm","pash mềm","mávôtính","software","computer"
"mayonaise","sốt cà chua","sốt cterđưa","mayogorovse","ketchup","mayonnaise"
"mẹ","bố","ợc","kl","daddy","mum"
"medallion","tạo tác","tạo lộc","mesteñolion","artifact","medallion"
"merchant","thuoc ve thuong mai","thuoc ve thuogiỏilắm","merquang","commercial","merchant"
"mét","km","oã","ñit","kilometer","meter"
"mì ống ý","mì nướng kiểu ý","mainfrag kiểu ý","mìlỏng ý","lasagna","spaghetti"
"mỉa mai","trớ trêu","ăca trêu","mỉapair","irony","ironic"
"miễn phí","tự do","tựlời","miễn aìc","freely","free"
"miền tây","phía nam","phíaleau","mcaf tây","southern","western"
"misery","nghèo","ngthe","misemann","poverty","misery"
"mơ","cơn ác mộng","bondác mộng","ểt","nightmare","dream"
"mồi","hành lý","hànhưrý","ixi","trap","bait"
"mới đây","chỉ cần","chỉnern","bâi đây","just","recently"
"mọi người","dân số","dânbột","mọhằngười","population","people"
"môn học","vật","iệt","lda học","object","subject"
"mông","ass","nks","oung","ass","butt"
"morphin","aspirin","aspilots","morbinh","aspirin","morphine"
"một hớp","làm rơi","làmhtúi","mộtchob","drop","sip"
"một phần tư","một nửa","mộtanít","swedphần tư","half","quarter"
"một vài nơi","ở nơi khác","ở nơischáu","han vài nơi","elsewhere","somewhere"
"motel","khách sạn","tasch sạn","mokay","hotel","motel"
"mũ lưỡi trai","kính","ứanh","nü lưỡi trai","glasses","cap"
"mùa đông","mùa hè","mùaith","mùa cing","summer","winter"
"mùa thu","mùa xuân","mùlexuân","mùa buy","spring","autumn"
"mùi","nếm","inm","uòi","taste","smell"
"mũi","mồm","vãm","síi","mouth","nose"
"mũi tiêm","liều lượng","liềuừđượng","mũi tnaul","dose","injection"
"muốn","sự mong muốn","sự mongchung","muọi","desire","wish"
"mỹ","châu phi","chtr phi","ọn","africa","america"
"năng lực","tiềm năng","châm năng","năngmiếc","potential","talent"
"năng lượng","sức mạnh","sứchđánh","nănghhưởng","power","energy"
"nặng nề","nặng","ălng","nặngvực","heavy","heavily"
"nến","đèn ngủ","hển ngủ","ién","lamp","candle"
"nền dân chủ","sự tự do","sự tgach","nền dârasha","freedom","democracy"
"nền văn minh","văn hoá","lúc hoá","nền văssaint","culture","civilization"
"ngai vàng","vương miện","maang miện","ngaihsáng","crown","throne"
"ngân hà","vũ trụ","vũwerp","thèn hà","universe","galaxy"
"ngày nghỉ","giáng sinh","giáng hạnó","ngàyeughỉ","christmas","holiday"
"ngày sinh nhật","dịp kỉ niệm","dịp ktụđiểm","ngày sinhhimột","anniversary","birthday"
"nghe","nghe","rethe","rethe","listen","hear"
"nghĩ","xem xét","xelomét","ngrit","consider","think"
"nghỉ","đập vỡ","đậpgyk","ngtay","smash","break"
"nghi ngờ","nghi ngờ","nghtinga","nghïióng","doubt","suspect"
"nghĩa trang","phần mộ","phầnkyo","nghĩahïióng","grave","cemetery"
"nghĩa vụ","trách nhiệm","trách nenếu","nghĩahoại","responsibility","duty"
"nghiên cứu","tìm kiếm","biệ kiếm","nghiênvàđang","research","study"
"ngốc nghếch","ngây thơ","ngây bac","ngốc naaaah","naïve","stupid"
"ngồi","đứng","réng","ngbu","stand","sit"
"ngôi sao","danh nhân","danh nagh","gwai sao","celebrity","star"
"ngôi trường","lớp","mbp","ngth trường","class","school"
"ngon","ngon","nghĩt","nghĩt","tasty","delicious"
"ngọn lửa","lửa","âua","ngọnblet","fire","flame"
"ngón tay cái","ngón tay","ngónhtồn","ngón taticks","finger","thumb"
"ngủ","nghỉ ngơi","nghểôngấy","yđủ","rest","sleep"
"ngu ngốc","điên cuồng","điêncruits","ngu ngét","madness","stupidity"
"ngựa","lừa","kịa","ngæn","donkey","horse"
"ngực","dạ dày","dạgiey","ngtv","stomach","chest"
"ngừng lại","ngăn ngừa","nguô ngừa","ngừnggrôi","prevent","stop"
"người anh em","anh bạn","anhesun","người achnia","dude","bro"
"người chiến thắng","kẻ thua cuộc","kẻ thulesund","người chiếnstains","loser","winner"
"người chơi","huấn luyện viên","huấn luyện fraid","ngườihchưa","coach","player"
"người giúp việc","bảo mẫu","đốo mẫu","người giúpaying","nanny","maid"
"người hầu","nô lệ","nôvni","ngườichứạ","slave","servant"
"người hy lạp","roman","rober","ngườihtrởlại","roman","greek"
"người lái xe","hành khách","hành aaaah","người lái ẫm","passenger","driver"
"người làm việc","nông dân","nôngoâng","người lào việt","farmer","worker"
"người mua","người bán","ngườilern","ngườismen","seller","buyer"
"người nói dối","nằm","uôm","người nói bơi","lie","liar"
"người pháp","tiếng anh","highg anh","người choe","english","french"
"người phụ nữ","chúa tể","chúanyj","ngưiyêphụ nữ","lord","lady"
"người yêu","tình nhân","mãnhnnhân","ngườnnyêu","mistress","lover"
"nguyên mẫu","người mẫu","người edu","nguyêntopp","model","prototype"
"nguyên nhân","lý do","lýatm","nguyên vàem","reason","cause"
"nguyên tử","nguyên tử","nguyênlha","nguyêntrß","atomic","nuclear"
"nhà báo","phóng viên","quânx viên","nhàtxác","reporter","journalist"
"nhà đầu tư","banker","gisker","nhnđđầu tư","banker","investor"
"nhà khoa học","thiên tài","thiêncbin","nhà khostrip","genius","scientist"
"nhà nguyện","nhà thờ","ngănthờ","choxnguyện","church","chapel"
"nhà văn","bài thơ","brokthơ","nhàrein","poet","writer"
"nhà vua","nữ hoàng","nữchuóng","nhàyaut","queen","king"
"nhạc sĩ","ca sĩ","cacoĩ","bộnc sĩ","singer","musician"
"nhai","nuốt","gsốt","txai","swallow","chew"
"nhân loại","đàn ông","lăn ông","nhânhđoạt","man","human"
"nhân tạo","tự nhiên","vậtnnhiên","nhânchoo","natural","artificial"
"nhân từ","tha thứ","tha vod","nhânmệt","forgiveness","mercy"
"nhanh","chậm","chuf","nhngh","slow","fast"
"nhảy","vũ công","vũnđàng","nhgl","dancer","dance"
"nhảy","trèo","trtn","nhgl","climb","jump"
"nhạy cảm","nhạy bén","khoặ bén","heyn cảm","delicate","sensitive"
"nhiên liệu","khí ga","khíorõ","nhiêncbiçt","gas","fuel"
"nhiếp ảnh gia","chữ ký","chẩuký","cântp ảnh gia","autograph","photographer"
"nhiệt độ","nhiệt","nhhật","ghost độ","heat","temperature"
"nhỏ","nhỏ bé","émi bé","deỏ","little","small"
"nhớ","quên đi","quêtởđó","itớ","forget","remember"
"nhu cầu","cần thiết","nướ thiết","foo cầu","necessary","need"
"nhựa","xi măng","xiriăng","nhje","cement","plastic"
"nổ","động đất","ltng đất","âc","earthquake","explosion"
"nổ","bom","uừm","âc","bomb","explosive"
"nỗ lực","cố gắng","rr gắng","nỗ lâp","try","attempt"
"noi","nói","aci","cii","say","tell"
"nói","nói chuyện","mur chuyện","aci","talk","speak"
"nói chung","một cách tự nhiên","mộtcáigìđóự nhiên","nóichoơng","naturally","generally"
"nỗi đau","đau khổ","đau tog","xệi đau","suffering","pain"
"nội dung","lưu trữ","lưổitrữ","moọ dung","contain","content"
"nói quá","đánh giá quá thấp","đánh giá qutrnhnh","nóideup","underestimate","exaggerate"
"nỗi sợ","kinh dị","kinhien","sẵi sợ","horror","fear"
"nổi tiếng","phổ biến","lzu biến","zho tiếng","popular","famous"
"nữ phục vụ","phục vụ nam","phục vhángb","nữ phvchuk","waiter","waitress"
"núi","đồi","óii","ggi","hill","mountain"
"nước ép","sữa","dảa","nướzurp","milk","juice"
"nước hoa","son môi","sonmuội","nướchoen","lipstick","perfume"
"nước ngọt","nước chanh","ngor chanh","mugc ngọt","lemonade","soda"
"nước tiểu","máu","vûu","nướcàhiểu","blood","urine"
"nước xốt","kem","ựám","nướcruit","cream","sauce"
"ở đó","đây","aay","rûđó","here","there"
"ở phía sau","sự trơ trẽn","sự trhtrăng","ở phíhesun","front","rear"
"ôm","hôn","ryn","xõ","kiss","hug"
"ông chủ","người quản lý","người quảcđây","ôngsach","manager","boss"
"ống tiêm","cây kim","câyhpie","osce tiêm","needle","syringe"
"ôxy","hàng không","đừngkkhông","jäy","air","oxygen"
"phẩm chất","số lượng","sốàđượng","phẩmchold","quantity","quality"
"phẩm giá","tự hào","tựchìm","thắt giá","pride","dignity"
"phân công","đơn vị","đơnhkể","phângrung","unit","division"
"phản đối","kẻ thù","kẻ glo","phản đic","enemy","opponent"
"phần thưởng","nobel","nopin","phạmnthưởng","nobel","prize"
"phần thưởng","tặng kem","thểo kem","phạmnthưởng","bonus","reward"
"phân tích","khám nghiệm tử thi","khám nghiệm hảitrả","shee tích","autopsy","analysis"
"pháo binh","kỵ sĩ","vở sĩ","shya binh","cavalry","artillery"
"phát nổ","nổ","ẽn","phátvệt","burst","explode"
"phẫu thuật","vận hành","cál hành","shaugthuật","operate","surgery"
"phi công","phi hành gia","phi hàchỉđưa","phizđừng","astronaut","pilot"
"phi trường","thiết bị đầu cuối","schil bị đầu cuối","phi trinng","terminal","airport"
"phía đông","hướng tây","hướngotàn","phơi đông","west","east"
"phía trên","thấp hơn","thấpcóbn","shai trên","lower","upper"
"phía trong","ngoài","ngtại","pend trong","outside","inside"
"phiền muộn","căng thẳng","căng taynh","phiềnchuộc","stress","depression"
"phô mai","bánh mỳ","ocnh mỳ","phôdeþi","bread","cheese"
"phong cách","nhịp","nhäc","phongchich","rhythm","style"
"phòng khám","bệnh viện","usmh viện","phòng glàm","hospital","clinic"
"phòng ngủ","phòng","phimg","phònvưngủ","room","bedroom"
"phòng tắm","vòi sen","lyz sen","phònghịêm","shower","bathroom"
"phòng vệ","bảo vệ","bảoefm","phòngwaa","protect","defend"
"phủ định","tích cực","tíchđươc","phầmđịnh","positive","negative"
"phù thủy","nguyền rủa","nguyềnzron","whomthủy","curse","witch"
"phút","thứ hai","thứhàđi","phîn","second","minute"
"poker","bài bạc","gir bạc","pomat","gambling","poker"
"quà","khen ngợi","khểu ngợi","ểlà","compliment","gift"
"quả dâu","chuối","chơii","oht dâu","banana","strawberry"
"quận","quận","qulm","qurp","county","district"
"quán ăn","pub","onb","quánbồn","pub","restaurant"
"quán ba","câu lạc bộ","chuồnạc bộ","quánrob","club","bar"
"quân đội","quân đoàn","quân đynn","quân đhệ","legion","army"
"quân sự","dân sự","dânpđể","quândoi","civil","military"
"quan trọng","quý giá","quýquit","okay trọng","valuable","important"
"quay","xoay","chỉay","quis","turn","rotate"
"quấy rầy","ngắt","ngsu","bulk rầy","interrupt","disturb"
"quốc gia","nam tước","tot tước","lệtc gia","baron","countess"
"quỹ đạo","hành tinh","nich tinh","quỹ dảo","planet","orbit"
"quyên góp","tổ chức từ thiện","tổ chức từđâuđến","quyên nập","charity","donation"
"quyến rũ","hấp dẫn","ryt dẫn","quyếnuch","attractive","charming"
"rác","rác","eoc","oic","trash","garbage"
"răng","móng tay","móngcaaa","néng","nail","tooth"
"rào chắn","tường","sẽờng","păn chắn","wall","fence"
"rạp hát","rạp chiếu phim","rạphiềungườimỹ","bát hát","cinema","theater"
"rất có thể","xác suất","xálasrất","rõràngôngấyrất có thể","probability","likely"
"râu","tóc","owc","ìêu","hair","beard"
"rẻ","đắt tiền","làa tiền","kã","expensive","cheap"
"rộng","chật hẹp","chậtrhic","ữưng","narrow","wide"
"rộng lượng","thương xót","thươngogót","pank lượng","compassionate","generous"
"rửa sạch","lau dọn","lauoojn","nầa sạch","clean","wash"
"rừng","rừng","àong","mỉng","jungle","forest"
"rùng mình","đáng sợ","đángếcợ","reut mình","scary","creepy"
"ruồi","đất","óat","rugu","land","fly"
"rượu sâm banh","rượu","rưdó","rượu sâhquanh","wine","champagne"
"rượu vodka","whisky","brigky","croc vodka","whiskey","vodka"
"sa thải","sự từ chức","sự tcáchti","évêthải","resignation","dismissal"
"sắc đẹp, vẻ đẹp","quyến rũ","quyếntaý","sắpđượp, vẻ đẹp","charm","beauty"
"sách","kinh thánh","kinh chnia","sáin","bible","book"
"sai","đồ giả","đồnóig","tii","fake","FALSE"
"sai lầm, điều sai, ngộ nhận","lỗi","nci","sai lầm, điều saihôngđếngần","error","mistake"
"sấm sét","lightning","lightstal","kud sét","lightning","thunder"
"samurai","nhẫn giả","nhẫndrix","samubers","ninja","samurai"
"săn bắt","theo","thzz","awo bắt","follow","chase"
"sản lượng","xưởng sản xuất","xưởng sảrixuất","tcá lượng","factory","production"
"sản phẩm","thương hiệu","thươngmđiều","sứctphẩm","brand","product"
"sản xuất","tạo ra","tạohđo","vợn xuất","create","produce"
"sáng","chiếu sáng","chiếnssáng","âyng","shine","bright"
"sáng tạo","trí tưởng tượng","trí tưởngrõràng","sánghtồn","imagination","creativity"
"sao chép","nguyên bản","nguyêngđến","saochchỗ","original","copy"
"sao kim","sao hoả","saoclar","saoloth","mars","venus"
"sau cùng","cuối cùng","cass cùng","sauquãng","finally","eventually"
"say","tỉnh táo","eruh táo","gey","sober","drunk"
"sẹo","xăm hình","đêp hình","lîo","tattoo","scar"
"siêng năng","khó","óió","siêngcónăm","tough","hard"
"siêu linh","siêu nhiên","siêu nhnected","siêchđánh","supernatural","paranormal"
"sinh học","hóa chất","ởyu chất","sinhchết","chemical","biological"
"sinh vật","quái vật","quáilatt","sinhbast","monster","creature"
"sinh vật học","hóa học","mli học","sinh vậthews","chemistry","biology"
"sơ cấp","thứ hai","thứhàđi","sơhơấu","secondary","primary"
"sô cô la","đường","lnờng","sô ccend","sugar","chocolate"
"số fax","thư","ềnư","sốslau","mail","fax"
"số lượng","tổng","mụng","ưi lượng","sum","amount"
"sớm","muộn","muûi","dåm","late","early"
"sóng sót","trực tiếp","trổn tiếp","uhng sót","live","survive"
"sốt","ho","ie","iềt","cough","fever"
"sự an toàn","bảo vệ","bảoefm","spryn toàn","security","safety"
"sự bức xạ","ô nhiễm","ô gáiem","sự bhcưng","contamination","radiation"
"sự cải tiến","thay đổi","thay đyn","sự cảnetrin","change","improvement"
"sự chấp thuận","sự cho phép","sự chospiel","sự chấphtrung","permission","approval"
"sự công bằng","sự trả thù","sự trảhưió","sự công vinh","revenge","justice"
"sự đánh giá","quan sát","quanbist","sdaugnh giá","observation","evaluation"
"sự đối xử","trị liệu","uku liệu","ây đối xử","therapy","treatment"
"sử dụng","áp dụng","ápcường","sửmiếng","apply","use"
"sự giận dữ","sự phẫn nộ","sự phẫcoub","sự giậstep","anger","rage"
"sự giàu có","kho báu","khoscậu","sự giàoori","treasure","wealth"
"sự giúp đỡ","hỗ trợ","hỗtrie","sự gihấyđã","support","assistance"
"sự hoang mang","sự hỗn loạn","sự hỗdelson","sự hoansagnas","chaos","confusion"
"sự khởi hành","đến","ivn","sự khởvelanh","arrival","departure"
"sự liên quan","tiếp xúc","myop xúc","sự liêscotch","contact","connection"
"sự lôi kéo","đẩy vào","gìi vào","sự lôilạéo","push","pull"
"sứ mệnh","bài tập","bài oup","sứhbình","task","mission"
"sự mô tả","hồ sơ","qo sơ","sự mfoor","profile","description"
"sự nguy hiểm","rủi ro","gip ro","sự nguchkiểu","risky","dangerous"
"sự nguy hiểm","rủi ro","gip ro","sự nguchkiểu","risk","danger"
"sự nhiễm trùng","vi-rút","vimex","sự nhiễhĩarằng","virus","infection"
"sự phá hoại","gián điệp","thán điệp","sự phhchỉđi","espionage","sabotage"
"sự phá hủy","sự sáng tạo","sự sángytôi","sự phungày","creation","destruction"
"sự phát triển","phát triển","flet triển","sự phátriểngì","progress","development"
"sự quyết tâm","lòng can đảm","wind can đảm","sự quyếtemtn","courage","determination"
"sự riêng tư","riêng","ricer","sự riênraxes","private","privacy"
"sự sụp đổ","mùa thu","chagthu","snelụp đổ","fall","collapse"
"sự thất bại","thành công","thànhtđừng","sự thấtayôm","success","failure"
"sự thử nghiệm","thính giác","cçanh giác","sự thử schitz","hearing","trial"
"sự tiếp kiến","bầy đàn","dềy đàn","sựtuyệp kiến","crowd","audience"
"sự tin tưởng","mong","ưông","sự tinóiđúng","hope","faith"
"sư tử","rồng","oàng","sưtuy","dragon","lion"
"sự vui mừng","vui lòng","vui lòai","sựbrielđừng","pleasure","joy"
"sửa","sửa chữa","ogo chữa","mha","fix","repair"
"súng","súng trường","skee trường","gưng","rifle","gun"
"sương mù","đám mây","đámsmột","sươngcbn","cloud","fog"
"tai","con mắt","conczyt","jii","eye","ear"
"tài chính","ngân hàng","ăgiú hàng","fey chính","banking","financial"
"tài chính","tài chính","phí chính","fey chính","financially","financing"
"tài liệu","tập tin","tậpdinn","bic liệu","file","document"
"tai nạn","biến cố","biếntắc","uhm nạn","incident","accident"
"tam giác","vòng tròn","bank tròn","hãy giác","circle","triangle"
"tâm lý","y khoa","y lyou","tâmliz","medical","psychological"
"tâm lý","giải phẫu học","việnnphẫu học","tâmliz","anatomy","psychology"
"tầm nhìn","khải huyền","hơin huyền","traînhìn","revelation","vision"
"tầm quan trọng","ý nghĩa","ý nclửa","tầm quakicking","meaning","importance"
"tấm thảm","giá thấp nhất","brahthấp nhất","tấm chho","floor","carpet"
"tàn ác","tà ác","bâ ác","tàn rl","evil","cruelty"
"tấn công","cuộc xâm lăng","cuộc xâtyđang","cuf công","invasion","attack"
"tận tụy","fidelity","mcquadelity","lyb tụy","fidelity","devotion"
"tang lễ","quan tài","quanmđôi","tangwgf","coffin","funeral"
"tạp chí","playboy","playhần","tạphbản","playboy","magazine"
"tập đoàn","băng nhóm","tanganhóm","tậpeburn","gang","group"
"tập đoàn","công ty","côngføx","tậpeburn","company","corporation"
"tập phim","hàng loạt","hàngplett","hệp phim","series","episode"
"tập trung","tiêu điểm","tiêchhiểu","avi trung","focus","concentrate"
"tàu thủy","phi hành đoàn","phi hàchơiđàn","clurthủy","crew","ship"
"tẩy","loại bỏ","loạiuôi","kịy","eliminate","remove"
"tệ hại","kinh khủng","kinh stons","tệhtúi","terrible","horrible"
"tennis","golf","goớn","saunis","golf","tennis"
"thách thức","trở ngại","trvẵngại","thách được","obstacle","challenge"
"thái độ","ý kiến","我學kiến","ởcái độ","opinion","attitude"
"thai kỳ","sinh","ã nh","thaicặp","birth","pregnancy"
"thăm dò","viên con nhộng","viên conrushka","thămoei","capsule","probe"
"thẩm quyền","quyền hạn","quyềnguín","thẩmhquanh","jurisdiction","authority"
"thám tử","đại lý","đại pc","thámloc","agent","detective"
"thần kinh","lo lắng","lo ligg","thần deþi","worried","nervous"
"thân mật","riêng tư","riêngkred","thânfret","personal","intimate"
"thần thánh","chúa trời","chúahàrồi","thần hịanh","god","divine"
"thân thiện","lịch sự","lịchchủ","hàng thiện","polite","friendly"
"tháng 12","tháng mười một","nhngk mười một","tháng 了命","november","december"
"tháng bảy","tháng sáu","quáng sáu","thángskiy","june","july"
"thắng lợi","thu được","thếmđược","kling lợi","gain","win"
"tháng mười","tháng chín","thángchaun","thángralời","september","october"
"thành công","quản lý","quảnnão","thànhtrung","manage","succeed"
"thanh lịch","hợp thời trang","hildthời trang","thanh arch","fashionable","elegant"
"thành phố","thủ đô","thủ nf","rằngh phố","capital","city"
"thảo luận","cuộc hội thoại","cuộc hộistroms","chuô luận","conversation","discussion"
"thập kỷ","thế kỷ","thế ẻn","tsuy kỷ","century","decade"
"thật sự","thực ra","akac ra","thậthoy","actually","really"
"thất vọng","sự ngạc nhiên","nilàmạc nhiên","raut vọng","surprise","disappointment"
"thay thế","thay thế","thay hàn","thay hëa","replace","substitute"
"thầy tu","monk","movn","thầyblé","monk","priest"
"thể dục","thực hành","feec hành","thểngốc","practice","exercise"
"thế giới","quốc tế","quốccốế","thếcomới","international","world"
"thể hiện","diễn tả","diễnorõ","thểchaun","describe","express"
"thể thao","sở thích","lẻnthích","thể chcô","hobby","sport"
"thêm vào","thêm","thâì","thêmhvar","extra","additional"
"thép","bê tông","bêkoung","thlê","concrete","steel"
"thị trưởng","cảnh sát trưởng","cảnh sáhảotưởng","acu trưởng","sheriff","mayor"
"thiên đường","bầu trời","xốu trời","thiênecting","sky","heavenly"
"thiết bị","chip","chhú","thiếtfui","chip","device"
"thiếu niên","tuổi teen","twel teen","talks niên","teenage","teenager"
"thịt","thịt heo","thịthoẻo","thºi","pork","meat"
"thịt ba rọi","nướng","lỗớng","aret ba rọi","toast","bacon"
"thỏa thuận cạnh tranh","xã hội đen","xãchạytrốn","roofithuận cạnh tranh","mafia","cartel"
"thoát khỏi","chạy trốn","choi trốn","thoát keet","flee","escape"
"thời thơ ấu","thiếu niên","guild niên","thronthơ ấu","youth","childhood"
"thông báo","báo cáo","báothio","thôngdaio","report","inform"
"thông gió","van","gón","thôngsnip","valve","ventilation"
"thông minh","thông minh","thôngphing","thôngprint","smart","intelligent"
"thông thường","mạnh khỏe","mạnh nens","tríngnthường","healthy","normal"
"thông tin","dữ liệu","dữplish","thôngcgie","data","information"
"thông tin","nguồn","ngtân","thôngcgie","source","informant"
"thứ ba","thứ hai","thứhàđi","thứees","monday","tuesday"
"thứ gì đó","không có gì","khôngquêngì","thếegì đó","nothing","something"
"thu hút","chú ý","cháyý","thuprất","attention","attract"
"thứ lỗi","tha lỗi","thẫylỗi","thénlỗi","forgive","excuse"
"thu nhập = earnings","lợi nhuận","trinnhuận","thu nhập =cçamnhnào","profit","income"
"thứ tư","ngày thứ ba","ngày thnaal","vàn tư","third","fourth"
"thủ tục","quy trình","quy trugh","thủtydc","process","procedure"
"thú vật","quái thú","quái snó","thúdust","beast","animal"
"thú vị","hứng thú","hứng noj","thúrắc","exciting","interesting"
"thừa kế","di sản","dingản","thoy kế","heritage","inherit"
"thuật sĩ","ma thuật","hupthuật","thuậtsah","magic","wizard"
"thực tế","thật","thướ","thoă tế","TRUE","real"
"thực tế","lạc quan","lạhquanh","thoă tế","optimistic","realistic"
"thực tế","theo đúng nghĩa đen","theo đúng nđườngđến","thoă tế","literally","practically"
"thuê","thuê","thnx","thmh","hire","rent"
"thung lũng","sa mạc","sa mẹt","thron lũng","desert","valley"
"thuốc lá","thuốc lá","thuốconh","thuốzels","tobacco","cigarette"
"thuốc nổ","thuốc súng","thuốnósáng","thuốhund","gunpowder","dynamite"
