"ro_cue","ro_target","type","cue_type","target_type","ro_cosine"
"impresionant","uimitor","related","word","word",0.661608061521115
"cărbune","ulei","related","word","word",0.368076755589961
"primul","ultimul","related","word","word",0.73926328200868
"om","uman","related","word","word",0.339503233105312
"uscat","umed","related","word","word",0.580807697260249
"în altă parte","undeva","related","word","word",NA
"special","unic","related","word","word",0.469725371874224
"insigna","uniformă","related","word","word",0.493394361120449
"colegiu","universitate","related","word","word",0.71877063854934
"miere","unt","related","word","word",0.417260179124619
"digunting","urât","related","word","word",NA
"ochi","ureche","related","word","word",0.314993356915442
"sânge","urină","related","word","word",0.592336215529344
"urma","urmarire","related","word","word",0.269464235977633
"fereastră","uşă","related","word","word",0.584996012740641
"întuneric","ușoară","related","word","word",0.0952087766943207
"imposibil","uşor","related","word","word",0.454194447757759
"aplica","utilizare","related","word","word",0.338596831225052
"crăciun","vacanţă","related","word","word",0.401899559310931
"antidot","vaccin","related","word","word",0.66844893104133
"deşert","vale","related","word","word",0.350886422107372
"servietă","valiză","related","word","word",0.734462086218159
"zombie","vampir","related","word","word",0.530198925889112
"remorcă","van","related","word","word",0.313386311207034
"scorţişoară","vanilie","related","word","word",0.589151534497535
"licitaţie","vânzare","related","word","word",0.645677601242765
"relativ","vărul","related","word","word",0.0903917129954981
"ajunge","veniți","related","word","word",0.155906226081119
"supapă","ventilare","related","word","word",0.418409915063148
"marte","venus","related","word","word",0.593721121564676
"verifica","verifica","related","word","word",1
"câştig","victorie","related","word","word",0.322495848010752
"dvd","video","related","word","word",0.518644340638932
"cumpără","vinde","related","word","word",0.605034074807884
"recupera","vindeca","related","word","word",0.410036384607321
"nevinovat","vinovat","related","word","word",0.721152363985975
"coșmar","vis","related","word","word",0.453805641201027
"proteină","vitamina","related","word","word",0.545852492616058
"distanţă","viteză","related","word","word",0.287410677842788
"revelatie","viziune","related","word","word",0.466159016779021
"whisky","vodcă","related","word","word",0.694079893853037
"vorbi","vorbi","related","word","word",1
"majoritate","vot","related","word","word",0.369347841382744
"blestem","vrăjitoare","related","word","word",0.411866513691217
"merita","vrednic","related","word","word",0.342910145093578
"nu","vreodată","related","word","word",0.278940257506341
"sherlock","watson","related","word","word",0.454329916820464
"internet","web","related","word","word",0.587035733146265
"southern","western","related","word","word",0.489085939527049
"magie","wizard","related","word","word",0.299064424675475
"ploaie","zăpadă","related","word","word",0.489662006721767
"aterizare","zbor","related","word","word",0.476136479417846
"zgârietură","zdrobi","related","word","word",0.193454684430577
"aniversare","zi de nastere","related","word","word",NA
"articol","ziar","related","word","word",0.699189553291867
"zonă","zona","related","word","word",0.74383327484604
"admira","simplu","unrelated","word","word",0.114529132862449
"atenţie","penis","unrelated","word","word",0.0156332230618266
"confirmare","ţigară","unrelated","word","word",0.171079145820684
"a picta","ceva","unrelated","word","word",NA
"realizează","ușoară","unrelated","word","word",0.142668096563963
"suferi","informa","unrelated","word","word",0.147907367031794
"hold","client","unrelated","word","word",0.155431114786442
"învăța","morfină","unrelated","word","word",0.0663599389978007
"gata","valiză","unrelated","word","word",0.092737312257366
"introduce","explozie","unrelated","word","word",0.164238666162985
"zâmbet","radiații","unrelated","word","word",0.101200729834991
"administra","căpșună","unrelated","word","word",0.131300943136126
"rezistenţă","dawn","unrelated","word","word",0.137697911121528
"a urca","fără putere","unrelated","word","word",NA
"rupere","vanilie","unrelated","word","word",0.0812141446002743
"teren","sabotaj","unrelated","word","word",0.173980275561175
"părăsi","premiu","unrelated","word","word",0.0907878891568586
"spinarii","spaghete","unrelated","word","word",0.0730519851498529
"capacitate","comitet","unrelated","word","word",0.136555400001266
"număr","restaurant","unrelated","word","word",0.150004927110991
"prezenţă","public","unrelated","word","word",0.186566647154196
"diplomă","mesteca","unrelated","word","word",0.150960744203387
"ridicol","elimina","unrelated","word","word",0.123658007873482
"voce","hamburger","unrelated","word","word",0.122883459747121
"refuza","fericit","unrelated","word","word",0.170028076258748
"incident","criză","unrelated","word","word",0.237648175084059
"ce","afirmație","unrelated","word","word",0.123261493266179
"aici","confuzie","unrelated","word","word",0.144427332384255
"contracta","grozav","unrelated","word","word",0.0868302714370195
"gest","interzice","unrelated","word","word",0.0492398046837162
"trigger","mort","unrelated","word","word",0.19055441695907
"activ","birou","unrelated","word","word",0.160049577334985
"autor","cumpărător","unrelated","word","word",0.331956857769837
"plângere","indica","unrelated","word","word",0.155591516625592
"refugiu","hartă","unrelated","word","word",0.166656881710365
"suplimentar","şarpe","unrelated","word","word",0.0655426007414822
"management","program","unrelated","word","word",0.270757686363285
"adolescenta","procuror","unrelated","word","word",0.169185503759663
"hormon","sursa de venit","unrelated","word","word",NA
"colectarea","instrument","unrelated","word","word",0.0874571018845701
"dusman","episod","unrelated","word","word",0.155243645006639
"terminal","sticla","unrelated","word","word",0.107773122342553
"industrie","maxim","unrelated","word","word",0.122754407709462
"cometariu","adiţional","unrelated","word","word",NA
"firmă","sniper","unrelated","word","word",0.162003572323302
"îngrijorat","web","unrelated","word","word",0.106720920405694
"al treilea","exagera","unrelated","word","word",NA
"alerta","minus","unrelated","word","word",0.132215169015834
"maro","tratament","unrelated","word","word",0.113995180592938
"colţ","analiză","unrelated","word","word",0.168129884093689
"candidat","universitate","unrelated","word","word",0.273348126132894
"campanie","suc","unrelated","word","word",0.125971188424846
"bravo","rareori","unrelated","word","word",0.096414372857
"motiv","definiție","unrelated","word","word",0.195999366289504
"africa","festival","unrelated","word","word",0.109082576174595
"combinaţie","civilizaţie","unrelated","word","word",0.299814778440626
"miezul nopţii","limuzina","unrelated","word","word",NA
"adn","motel","unrelated","word","word",0.165406068863524
"spiritual","căpitan","unrelated","word","word",0.0957558352980005
"autopsie","perfect","unrelated","word","word",0.104955005103139
"fiară","studiu","unrelated","word","word",0.00161222268006923
"milionar","tăcere","unrelated","word","word",0.0316083527473049
"proteja","pescuit","unrelated","word","word",0.0669250629543759
"casă","fermecător","unrelated","word","word",0.192184218897364
"permisiune","faimos","unrelated","word","word",0.104302288278457
"pedepsi","exploziv","unrelated","word","word",0.0298819696853587
"de aur","o largă","unrelated","word","word",NA
"inginer","slănină","unrelated","word","word",0.0851998245061608
"pistol","utilizare","unrelated","word","word",0.142976493556857
"legiune","exploda","unrelated","word","word",0.0682787912584943
"echilibru","rece","unrelated","word","word",0.172872665989283
"arsenal","finanțare","unrelated","word","word",0.0940547510622608
"scut","prizonier","unrelated","word","word",0.216230687376634
"ignoranţă","pantof","unrelated","word","word",0.136807233108893
"venă","atac","unrelated","word","word",0.0645602015359211
"natural","chitară","unrelated","word","word",0.119537993229006
"cavalerie","ciocan","unrelated","word","word",0.0814896760070233
"mercenar","galben","unrelated","word","word",0.111524814176671
"acoperi","mutaţie","unrelated","word","word",-0.00160536348020543
"ajutor","gard","unrelated","word","word",0.187568181688384
"secretar","samurai","unrelated","word","word",0.119983633268404
"a sustine","prietenos","unrelated","word","word",NA
"aștepta","subiect","unrelated","word","word",0.0701970804808569
"invazie","intentionat","unrelated","word","word",0.186624213769406
"victimă","viziune","unrelated","word","word",0.178384399329935
"încerca","jignița","unrelated","word","word",NA
"opinie","religie","unrelated","word","word",0.375809377232387
"pacific","deplin","unrelated","word","word",0.166250858635785
"mediu inconjurator","poziţie","unrelated","word","word",NA
"tren","cantitate","unrelated","word","word",0.107286924806658
"jurisdicție","bumbac","unrelated","word","word",0.094689174595399
"drum","liberal","unrelated","word","word",0.0602380504014399
"asculta","oxigen","unrelated","word","word",0.0932310936311322
"fată","patru ani","unrelated","word","word",NA
"duș","adăpost","unrelated","word","word",0.188520567502515
"bani gheata","sigur","unrelated","word","word",NA
"club","eșec","unrelated","word","word",0.0930414404791436
"păr","cauză","unrelated","word","word",0.211090371071585
"submarin","heroina","unrelated","word","word",0.0771407072775241
"stadiu","durere","unrelated","word","word",0.155845442881952
"regiment","fluid","unrelated","word","word",0.161146006782152
"pânză","fotbal","unrelated","word","word",0.0376471331260395
"supraom","cerere","unrelated","word","word",0.104381542760748
"arenă","semn","unrelated","word","word",0.0748382892112895
"sobru","s-au cunoscut","unrelated","word","word",NA
"băutură","alegeri","unrelated","word","word",0.091886291035331
"diamant","triunghi","unrelated","word","word",0.352014839614121
"chimic","confidențialitate","unrelated","word","word",0.180255248511479
"chimie","medalion","unrelated","word","word",0.103263186108335
"birou","accident","unrelated","word","word",0.123077898649145
"moale","alegător","unrelated","word","word",0.134493800039797
"gripa","intuiţie","unrelated","word","word",0.146237008226081
"săraci","batistă","unrelated","word","word",0.195870501499005
"comoară","furios","unrelated","word","word",0.0382561341030076
"bolnav","tragic","unrelated","word","word",0.227881247533614
"washington","pix","unrelated","word","word",0.185195847444794
"pâine","mizerie","unrelated","word","word",0.273964936601324
"mână","ghinion","unrelated","word","word",0.0659798031674648
"melc","locație","unrelated","word","word",0.0865282418911779
"fragment","războinic","unrelated","word","word",0.215634466954197
"bucătar","bani","unrelated","word","word",0.0954373418282946
"plăcere","vărul","unrelated","word","word",0.242320984514094
"mătase","rezultat","unrelated","word","word",0.0960021338000907
"bunicul","mireasă","unrelated","word","word",0.129388521552599
"comun","nevoie","unrelated","word","word",0.206258025178099
"corp","normal","unrelated","word","word",0.145461289642181
"compliment","genunchi","unrelated","word","word",0.187659599624629
"ceașcă","battlefield","unrelated","word","word",0.192914395034458
"măgar","comedie","unrelated","word","word",0.105931588582091
"numara","floare","unrelated","word","word",0.123709031287171
"software","tată","unrelated","word","word",0.153553457311182
"traseu","speranța","unrelated","word","word",0.120613520003071
"cantitate","scrisoare","unrelated","word","word",0.19268406446219
"liniște","colaps","unrelated","word","word",0.138105147107868
"jeep","iepure","unrelated","word","word",0.23575236867537
"picnic","posibilitate","unrelated","word","word",0.0757027110174762
"concurență","uimitor","unrelated","word","word",0.15907041502907
"tumor","profesor","unrelated","word","word",0.107479230504773
"album","preț","unrelated","word","word",0.23848777677336
"sumă","tort","unrelated","word","word",0.119445360597505
"ochelari","absența","unrelated","word","word",0.0662751622538342
"biserică","important","unrelated","word","word",0.157137666824742
"anarhie","dans","unrelated","word","word",0.200967282134759
"comandant","oameni","unrelated","word","word",0.127834020033155
"banană","poem","unrelated","word","word",0.134722508139099
"apuca","a atrage","unrelated","word","word",NA
"episcop","stânga","unrelated","word","word",0.120127740747858
"sarcină","activati","unrelated","word","word",0.140959843338492
"porc","vacanţă","unrelated","word","word",0.145034651358025
"biblie","trage","unrelated","word","word",0.127287874001384
"mafia","băiat","unrelated","word","word",0.0430042920551445
"divorț","colonel","unrelated","word","word",0.0926171525100893
"singur","calm","unrelated","word","word",0.237641324872673
"palat","nuntă","unrelated","word","word",0.234014433709558
"pierzător","gratuit","unrelated","word","word",0.207224297437144
"motiv","impresiona","unrelated","word","word",0.109821088965272
"usturoi","cred","unrelated","word","word",0.133236253112752
"uite","elegant","unrelated","word","word",0.112542729775685
"nor","telefon","unrelated","word","word",0.155058150776033
"mile","investiga","unrelated","word","word",0.131793780271665
"întrebare","cadavru","unrelated","word","word",0.118129427278168
"creier","meci","unrelated","word","word",0.143663398454942
"ritual","rău","unrelated","word","word",0.121635564142515
"cerere","cerebral","unrelated","word","word",0.0628767038334127
"cer","fiu","unrelated","word","word",0.180678278617514
"nimic","protocol","unrelated","word","word",0.0994456239740528
"chelner","lumânare","unrelated","word","word",0.108517084444218
"închiriere","argint","unrelated","word","word",0.105526871178812
"pian","sincer","unrelated","word","word",0.135199435398288
"toaletă","comunicare","unrelated","word","word",0.0876485128952052
"tatuaj","video","unrelated","word","word",0.167932060520407
"mormânt","chirie","unrelated","word","word",0.0356242706678074
"naiv","dispozitiv","unrelated","word","word",0.124936560135935
"băț","leu","unrelated","word","word",0.22256579069534
"zahăr","pădure","unrelated","word","word",0.272697618078413
"grădină zoologică","dusty","unrelated","word","word",NA
"neobișnuit","execuţie","unrelated","word","word",0.191547693666694
"cultură","corect","unrelated","word","word",0.149405130790282
"turn","performanţă","unrelated","word","word",0.0462353546519403
"tipic","onora","unrelated","word","word",0.137246034697156
"rabdator","presiune","unrelated","word","word",0.138868916575946
"spital","camion","unrelated","word","word",0.308735930727436
"plajă","prinţ","unrelated","word","word",0.143109195800628
"toamna","ministerul","unrelated","word","word",0.148202491951743
"inel","farfurie","unrelated","word","word",0.240702259215924
"general","metru","unrelated","word","word",0.071592235114896
"gaz","realist","unrelated","word","word",0.0759834089736526
"dramă","murdar","unrelated","word","word",0.121979258011522
"comercial","inspecţie","unrelated","word","word",0.123349760153171
"inspector","nas","unrelated","word","word",0.0628100231096791
"comision","scris","unrelated","word","word",0.0740584624205373
"răbdare","ultimul","unrelated","word","word",0.0861796750474612
"absolut","întoarcere","unrelated","word","word",0.157536864865862
"total","încredere","unrelated","word","word",0.145438490021717
"navigare","epidemie","unrelated","word","word",0.13839869001148
"rasist","circ","unrelated","word","word",0.168849558200114
"societate","muncitor","unrelated","word","word",0.221818141258196
"demisie","armonie","unrelated","word","word",0.128163614819908
"focus","răspuns","unrelated","word","word",0.194928445387503
"tur","oficial","unrelated","word","word",0.191831810861101
"pasager","a tăia","unrelated","word","word",NA
"a lua legatura","luptă","unrelated","word","word",NA
"privat","furie","unrelated","word","word",0.14824733190542
"haos","discuţie","unrelated","word","word",0.0830246297646532
"rom","apăra","unrelated","word","word",0.0837716834998039
"lege","şcoală","unrelated","word","word",0.150741636514546
"constructie","disputa","unrelated","word","word",0.231621910887645
"baron","tradiţional","unrelated","word","word",0.0599908339091708
"continua","finalizarea","unrelated","word","word",0.247887594083641
"conține","înregistrare","unrelated","word","word",0.222152009130271
"opus","concentrați-vă","unrelated","word","word",NA
"tufiș","pasăre","unrelated","word","word",0.163232335616937
"original","muzeu","unrelated","word","word",0.152937392481777
"bebelus","placut","unrelated","word","word",0.189792309967918
"tineret","barbă","unrelated","word","word",0.124752926934614
"gresit","politic","unrelated","word","word",0.181842186555641
"companie","mic","unrelated","word","word",0.193950440975978
"podea","pentru totdeauna","unrelated","word","word",NA
"rodeo","parola","unrelated","word","word",0.0708039093027054
"os","aeroport","unrelated","word","word",0.0856528501079112
"lega","ceapă","unrelated","word","word",0.114654142412516
"imaginație","gun","unrelated","word","word",0.116366461659186
"monstru","moşteni","unrelated","word","word",0.110534646618725
"încredere","echipă","unrelated","word","word",0.181385244897287
"loial","orbită","unrelated","word","word",0.0792982493376751
"speranţă","rob","unrelated","word","word",0.0441177010402334
"catolic","aroganţă","unrelated","word","word",0.160385825733933
"sinucidere","muncă","unrelated","word","word",0.151154317050567
"păcat","simbol","unrelated","word","word",0.220898081543621
"ucigaş","director","unrelated","word","word",0.170453156619268
"situatie","semnătură","unrelated","word","word",0.118223699708133
"brutal","provocare","unrelated","word","word",0.2445565060648
"rău","teatru","unrelated","word","word",0.105814187872287
"stomac","închis","unrelated","word","word",0.0503533406279211
"vânzător","politician","unrelated","word","word",0.329423199540272
"experienţă","masa de pranz","unrelated","word","word",NA
"cuptor","întuneric","unrelated","word","word",0.212050723816159
"nobil","federaţie","unrelated","word","word",0.192469852390894
"pui","vot","unrelated","word","word",0.0765011419432039
"sabie","craniu","unrelated","word","word",0.225396261681915
"bine","al patrulea","unrelated","word","word",NA
"oferi","glonţ","unrelated","word","word",0.128242982341098
"dansator","legal","unrelated","word","word",0.135216147976746
"responsabilitate","împărat","unrelated","word","word",0.119372033469617
"apus de soare","reduce","unrelated","word","word",NA
"uneori","vampir","unrelated","word","word",0.108541041946624
"în mod normal","unt","unrelated","word","word",NA
"urgent","evident","unrelated","word","word",0.238616994748999
"noiembrie","roșie","unrelated","word","word",0.202385877314836
"secol","amiază","unrelated","word","word",0.222895742053627
"concept","asistent","unrelated","word","word",0.178707764233229
"deget","prădător","unrelated","word","word",0.134738435630025
"gustos","mers pe jos","unrelated","word","word",NA
"mândrie","bere","unrelated","word","word",0.185244002090233
"libertate","revistă","unrelated","word","word",0.0619830264277988
"protest","furtună","unrelated","word","word",0.165537610765507
"lângă","film","unrelated","word","word",-0.00583785445232298
"gol","dormitor","unrelated","word","word",0.249536602625396
"stres","masaj","unrelated","word","word",0.192065412386283
"profil","adversar","unrelated","word","word",0.167815184166819
"out","înot","unrelated","word","word",0.154619045983608
"fate","biologic","unrelated","word","word",0.162557398052155
"agent","destin","unrelated","word","word",0.166368673538822
"curaj","rege","unrelated","word","word",0.177162274984056
"fidelitate","ling","unrelated","word","word",0.109935615534557
"surprinde","biologie","unrelated","word","word",0.0758791221949029
"murdar","undeva","unrelated","word","word",0.107078300120972
"progresul","calculati","unrelated","word","word",0.145529365109025
"înger","cadou","unrelated","word","word",0.228252979862239
"similar","căsătorit","unrelated","word","word",0.0927922433920824
"mâine","îmbrăţişare","unrelated","word","word",0.139197480414607
"târziu","document","unrelated","word","word",0.101494815769459
"praf de puşcă","transfer","unrelated","word","word",NA
"ping","carne","unrelated","word","word",0.144976518058683
"unghii","acord","unrelated","word","word",0.105517299476618
"direct","praf","unrelated","word","word",0.0604142463582997
"producător","centimetru","unrelated","word","word",0.0895469003787147
"conversaţie","stop","unrelated","word","word",0.0590452086820464
"moarte","campionat","unrelated","word","word",0.146898242740037
"cip","sentiment","unrelated","word","word",0.27649837911481
"conflict","mărturie","unrelated","word","word",0.144885981735195
"județ","peşte","unrelated","word","word",0.218755759732942
"creare","şobolan","unrelated","word","word",0.142934609686684
"dumnezeu","comisar","unrelated","word","word",0.138817876855458
"unitate","spectaculos","unrelated","word","word",0.0752656494103664
"face","fraza","unrelated","word","word",0.195012839049951
"lord","interesant","unrelated","word","word",0.107935286384902
"chirurg","scrie","unrelated","word","word",0.134372484673879
"fişier","zdrobi","unrelated","word","word",0.033650266837473
"livră","profesional","unrelated","word","word",0.0481793215731031
"caritate","negativ","unrelated","word","word",0.0825344167829238
"dorință","animal","unrelated","word","word",0.16572017895191
"odihnă","erecție","unrelated","word","word",0.19331443600725
"cameră","cimitir","unrelated","word","word",0.121388987967314
"dovezi","jurământ","unrelated","word","word",0.159853788713491
"ură","clinica","unrelated","word","word",0.103334435920817
"dulce","salut","unrelated","word","word",0.176159682127637
"cabinet","doctor","unrelated","word","word",0.390451722850027
"sâmbătă","importanţă","unrelated","word","word",0.171220446020355
"suferinţă","dolar","unrelated","word","word",0.102775067158798
"ruginit","a intelege","unrelated","word","word",NA
"echipamente","servitorul","unrelated","word","word",0.0877796171699056
"ligă","contrar","unrelated","word","word",0.141214024920548
"sănătate","boston","unrelated","word","word",0.0772377066301897
"influență","scuză","unrelated","word","word",0.153148186252719
"util","incapabil","unrelated","word","word",0.258865234638385
"încăpăţânat","rasă","unrelated","word","word",0.249405579571116
"magnetic","sunet","unrelated","word","word",0.263826511246938
"actual","microfon","unrelated","word","word",0.0647132290851266
"la modă","bucătar","unrelated","word","word",NA
"factor","psihologie","unrelated","word","word",0.129197818826175
"ambulanță","fără valoare","unrelated","word","word",NA
"înlătura","săptămânal","unrelated","word","word",0.115101260379873
"mental","pedeapsa cu închisoarea","unrelated","word","word",NA
"putere","reparație","unrelated","word","word",0.143709876549943
"ciumă","presupunere","unrelated","word","word",0.18092177549388
"serie","știi","unrelated","word","word",0.119962227026762
"orgasm","ministru","unrelated","word","word",0.156025743688951
"succes","întreținere","unrelated","word","word",0.135209341664142
"vest","abdominal","unrelated","word","word",0.162452910449583
"flee","electric","unrelated","word","word",0.292714071009244
"observare","forta","unrelated","word","word",0.152240515735219
"fenomen","furculiţă","unrelated","word","word",0.0639259273179938
"clar","conducător auto","unrelated","word","word",NA
"subestima","jaf","unrelated","word","word",0.031865474697
"mândru","bolnav","unrelated","word","word",0.230952032943572
"agăţat","frânghie","unrelated","word","word",0.399518762424965
"practică","vindeca","unrelated","word","word",0.176291344955363
"izbucni","îngheţa","unrelated","word","word",0.245794206821676
"cutremur","mincinos","unrelated","word","word",0.147199595412347
"bombă","înălţime","unrelated","word","word",0.172464355978328
"galerie","batman","unrelated","word","word",0.0251664765038526
"descrie","pașaport","unrelated","word","word",0.142820261564275
"intern","castel","unrelated","word","word",0.0181457911048997
"popular","creativitate","unrelated","word","word",0.156789463286319
"cereale","stea","unrelated","word","word",0.0847510985029212
"fals","do","unrelated","word","word",0.169145594669882
"clan","linge","unrelated","word","word",0.0882198569974133
"minunat","personalitate","unrelated","word","word",0.114875204350146
"realitate","autostradă","unrelated","word","word",0.114750170410069
"neajutorat","particulă","unrelated","word","word",0.0739341086977743
"inutil","calculator","unrelated","word","word",0.170137638605294
"castron","servitoare","unrelated","word","word",0.205882992314904
"mortal","frate","unrelated","word","word",0.145506023837533
"poștă","patrulare","unrelated","word","word",0.218769832400121
"tuse","auzi","unrelated","word","word",0.226409537300516
"colonie","a confirma","unrelated","word","word",NA
"văduvă","albastru","unrelated","word","word",0.102856006747108
"masculin","talent","unrelated","word","word",0.178952834771187
"mulțumit","cravată","unrelated","word","word",0.152384473677535
"atractiv","neasteptat","unrelated","word","word",0.269742049676018
"carnaval","creştin","unrelated","word","word",0.152517418981013
"băieți","câştigător","unrelated","word","word",0.137644661113031
"rinichi","investitor","unrelated","word","word",0.184030722451035
"porno","deceniu","unrelated","word","word",0.16428734565005
"final","fugar","unrelated","word","word",0.0853704643139592
"sfârșit","cancer","unrelated","word","word",0.148227311335384
"bancar","imens","unrelated","word","word",0.187698364038924
"financiar","uşor","unrelated","word","word",0.0563117732223232
"buget","perioadă","unrelated","word","word",0.15197187580883
"fiica","fructe","unrelated","word","word",0.0755847123625249
"sexual","femeie","unrelated","word","word",0.266719018409024
"foc","absolvent","unrelated","word","word",0.106053310685699
"plantă","lăsa","unrelated","word","word",0.136702478033538
"naval","paranormal","unrelated","word","word",0.205631498696404
"lichid","elicopter","unrelated","word","word",0.182603152850656
"corn","curajos","unrelated","word","word",0.146329480538735
"obosit","echipa","unrelated","word","word",0.0763649713123927
"extrem","împărăție","unrelated","word","word",0.142217561898229
"putere","neplăcut","unrelated","word","word",0.0731836983443108
"baschet","individual","unrelated","word","word",0.215515207161291
"autograf","coniac","unrelated","word","word",0.239408843360172
"imagine","muzică","unrelated","word","word",0.195436701576817
"lanţ","baie","unrelated","word","word",0.129276728854311
"omule","prieteni","unrelated","word","word",0.261054484296592
"sora","dulap","unrelated","word","word",0.194336338138205
"conspiraţie","dormi","unrelated","word","word",0.0995824549586334
"dicţionar","fals","unrelated","word","word",0.11456172740821
"groază","sus","unrelated","word","word",0.126171431299104
"măr","sindrom","unrelated","word","word",0.0700055592043834
"frumos","lac","unrelated","word","word",0.211783768227592
"farmec","a preda","unrelated","word","word",NA
"refugiat","administrativ","unrelated","word","word",0.0782518254875113
"operațional","iubit","unrelated","word","word",0.0971343085015087
"top","şopârlă","unrelated","word","word",0.146956911806244
"cur","complet","unrelated","word","word",0.0936934506530942
"linguriţă","efect","unrelated","word","word",0.158561407475794
"furie","în jurul","unrelated","word","word",NA
"gelos","district","unrelated","word","word",0.0821026414232122
"albină","surd","unrelated","word","word",0.193468289077905
"permite","watson","unrelated","word","word",0.1590091518989
"pompa","cargo","unrelated","word","word",0.149264573338178
"vânt","lungime","unrelated","word","word",0.163257451418707
"univers","tornadă","unrelated","word","word",0.160632232101603
"roșu","a aprecia","unrelated","word","word",NA
"considera","nebun","unrelated","word","word",0.126391675754871
"atelier","sat","unrelated","word","word",0.287836191050367
"perete","fantezie","unrelated","word","word",0.158964575958099
"căutare","doamnă","unrelated","word","word",0.171359536304444
"gât","perturba","unrelated","word","word",0.0307855352771477
"sparge","necunoscut","unrelated","word","word",0.0445560588795759
"milos","evadare","unrelated","word","word",0.0740172204362403
"umăr","nepotrivit","unrelated","word","word",0.0252797486861983
"nefericit","gros","unrelated","word","word",0.148649321191043
"naţional","spate","unrelated","word","word",0.0679831178042669
"calibru","în cele din urmă","unrelated","word","word",NA
"glorios","cardinal","unrelated","word","word",0.183494590231854
"truc","concediere","unrelated","word","word",0.0845022377317678
"nud","sârmă","unrelated","word","word",0.181865384090134
"maimuţă","idiot","unrelated","word","word",0.266705887365797
"kilogram","plauzibil","unrelated","word","word",0.0855965116631273
"liber","reputatie","unrelated","word","word",0.053220158484495
"diaree","prietenie","unrelated","word","word",0.10081788283761
"român","diferit","unrelated","word","word",0.101988770206709
"eroare","da","unrelated","word","word",0.206188245854741
"greu","glumă","unrelated","word","word",0.134049739840872
"lovit","dezamăgire","unrelated","word","word",0.19623345818668
"îngrijorare","temporizator","unrelated","word","word",0.0807138534694185
"subţire","efectiv","unrelated","word","word",0.217067621729728
"excelent","recomanda","unrelated","word","word",0.304342515654703
"bandă","demonstrație","unrelated","word","word",0.262854406259688
"orchestră","informație","unrelated","word","word",0.1526333266504
"puşcă","remarcabil","unrelated","word","word",0.139664714483809
"gunoi","act","unrelated","word","word",0.112042946105812
"administrare","bogat","unrelated","word","word",0.152614615129126
"iluzie","negru","unrelated","word","word",0.103044598707199
"sandwich","global","unrelated","word","word",0.120965880331451
"busolă","menţine","unrelated","word","word",0.133485383954605
"cocaină","comunist","unrelated","word","word",0.16017932812727
"carbon","dinamită","unrelated","word","word",0.194688126585308
"sida","bucurie","unrelated","word","word",0.119374187596395
"ton","punte","unrelated","word","word",0.146109915509994
"lesbiene","navă","unrelated","word","word",-0.01688108978266
"paradis","ding","unrelated","word","word",0.0605224184382805
"vară","democraţie","unrelated","word","word",0.106320374927668
"prost","aduna","unrelated","word","word",0.124837444715405
"scump","dezgustător","unrelated","word","word",0.332059291823245
"vulpe","modest","unrelated","word","word",0.13714199858518
"azi","griji","unrelated","word","word",0.174531212059584
"sărut","devotament","unrelated","word","word",0.262088034663488
"schimbare","miliard","unrelated","word","word",0.150268961884296
"mare","scandal","unrelated","word","word",0.230080694739685
"imperial","pat","unrelated","word","word",0.132760104795076
"regal","halucinaţie","unrelated","word","word",0.0770760210070553
"dinastie","mecanic","unrelated","word","word",0.0483120102020559
"valoros","proprietar","unrelated","word","word",0.213538788981823
"sens","jucărie","unrelated","word","word",0.090957041782299
"flata","mânca","unrelated","word","word",0.193125154219677
"credit","naviga","unrelated","word","word",0.168508737222942
"in cele din urma","poker","unrelated","word","word",NA
"natural","trecut","unrelated","word","word",0.0949970318826882
"rundă","baseball","unrelated","word","word",0.165109666938112
"mereu","tron","unrelated","word","word",0.125632245875075
"voluntar","momeală","unrelated","word","word",0.123913733968941
"scăzut","primar","unrelated","word","word",0.130254524415104
"greutate","port","unrelated","word","word",0.153025849093442
"majestate","cuţit","unrelated","word","word",0.0886973044898189
"deja","mămică","unrelated","word","word",0.103751704749488
"incapacitatea","victorie","unrelated","word","word",0.122565903292484
"deschis","marketing","unrelated","word","word",0.10878376204414
"deschidere","iad","unrelated","word","word",0.0398406375701549
"blocat","știri","unrelated","word","word",0.165249377897076
"celulă","masă","unrelated","word","word",0.264866470412716
"respect","beat","unrelated","word","word",0.215768211576134
"punct","medicament","unrelated","word","word",0.134364594704688
"persoană","drăguţ","unrelated","word","word",0.220625058685011
"virus","alibi","unrelated","word","word",0.130908142367077
"infricosator","cale","unrelated","word","word",0.200201261498181
"raport","ordin","unrelated","word","word",0.375540111603515
"date","mister","unrelated","word","word",0.113823535243063
"sursă","intrare","unrelated","word","word",0.186905064653051
"victorie","atacator","unrelated","word","word",0.193954157889819
"topi","atentat, încercare","unrelated","word","word",NA
"cădere brusca","dispariție","unrelated","word","word",NA
"săpa","sistem","unrelated","word","word",0.0957611988504062
"doza","detectiv","unrelated","word","word",0.122945615966596
"sicriu","sugera","unrelated","word","word",0.103072538303169
"îneca","produs","unrelated","word","word",0.12590807725201
"record","expres","unrelated","word","word",0.11086106829304
"păianjen","pa","unrelated","word","word",0.159102264734339
"escorta","ceresc","unrelated","word","word",0.0822041594871542
"examinare","cicatrice","unrelated","word","word",0.208714818029642
"a inspira","braţ","unrelated","word","word",NA
"instrument","covor","unrelated","word","word",0.192440857838734
"vedea","copac","unrelated","word","word",0.163581223491382
