"nl_target","nl_cue","nl_fake_cue","nl_fake_target","en_cue","en_target"
"ministerie","ambassade","amwerktsade","mislechterie","embassy","ministry"
"minnaar","minnares","voornares","dernaar","mistress","lover"
"minus","plus","plon","mitie","plus","minus"
"minuut","seconde","sestemde","midokt","second","minute"
"mis","armoede","arbeidde","ucs","poverty","misery"
"misdaad","zonde","duide","miswind","sin","crime"
"mislukking","succes","tilces","mislukraak","success","failure"
"misselijkheid","diarree","siegree","missementsheid","diarrhea","nausea"
"missie","taak","liak","carsie","task","mission"
"mist","wolk","woes","mium","cloud","fog"
"moedig","edele","kwile","heldig","noble","brave"
"moeilijk","moeilijk","kostlijk","kostlijk","tough","hard"
"mogelijkheid","kans","owns","mogesteldheid","chance","possibility"
"mooi","mooi","moha","movy","pretty","beautiful"
"moord","zelfmoord","zelfstorm","modod","suicide","murder"
"moordenaar","moordenaar","beaudenaar","wijsdenaar","killer","murderer"
"morfine","aspirine","asgangsrine","graffine","aspirin","morphine"
"motel","hotel","hogie","mogra","hotel","motel"
"motor","tank","tame","mosie","tank","engine"
"museum","bibliotheek","bibliofoons","muserend","library","museum"
"musicus","zanger","sepger","musiwood","singer","musician"
"mutatie","evolutie","randlutie","mutalent","evolution","mutation"
"muziek","jazz-","jabb","muvoer","jazz","music"
"mysterie","geheim","gevens","sparterie","secret","mystery"
"naakt","naakt","isakt","isakt","nude","naked"
"nadrukkelijk","beschrijven","bestuursven","namischkelijk","describe","express"
"nat","droog","drijg","lpt","dry","wet"
"natie","land","laak","nanen","country","nation"
"neef","kleinzoon","kleindoek","nely","grandson","nephew"
"neef","familielid","famimentslid","nely","relative","cousin"
"neerzetten","invoegen","inzichgen","doodzetten","insert","put"
"negatief","positief","posicaan","negabeys","positive","negative"
"nek","keel","zwel","ulk","throat","neck"
"nerveus","bezorgd","beziend","nerread","worried","nervous"
"neus","mond","moit","neta","mouth","nose"
"niet in staat","onvermogen","onvermonisch","brui in staat","inability","unable"
"nieuws","kanaal","kawell","nieunu","channel","news"
"nog steeds","al","ën","gim steeds","already","still"
"noodgeval","dringend","slijgend","stukgeval","urgent","emergency"
"noorden","zuiden","greden","overden","south","north"
"normaal","gezond","gedoel","chemaal","healthy","normal"
"nucleair","atomair","feemair","nuclerett","atomic","nuclear"
"oceaan","zee","oge","quiaan","sea","ocean"
"ochtend","morgen","lingen","neptend","tomorrow","morning"
"ochtendgloren","zonsondergang","strucondergang","ochtendcreeeren","sunset","dawn"
"oefening","oefening","oefelaar","oefereer","practice","exercise"
"officieel","officieel","officikaart","officikaart","officially","official"
"oktober","september","sepblueber","oktotijd","september","october"
"olie-","steenkool","steendogs","twie","coal","oil"
"omhoog","omlaag","omlijs","omdorp","down","up"
"onaangenaam","ongemakkelijk","ongemakkescreen","onaangedeeld","uncomfortable","unpleasant"
"onbekend","anoniem","anozins","onbestem","anonymous","unknown"
"onderhoud","dienst","dienti","onderball","service","maintenance"
"onderhouden","beschermen","bestadsmen","onzichthouden","preserve","maintain"
"onderkant","bovenkant","boventeen","onderblad","top","bottom"
"ondernemer","miljonair","miljowind","ondernetisch","millionaire","entrepreneur"
"onderwerp","voorwerp","voorcard","onderlied","object","subject"
"onderzoeken","onderzoeken","onderschapken","onderschapken","examine","investigate"
"onderzoeker","analist","norlist","onderschapker","analyst","investigator"
"oneerlijk","onrecht","onschul","oneerwaar","injustice","unfair"
"onenigheid","conflict","condriet","onenigtisch","conflict","dispute"
"ongeluk","incident","incifoon","ongetijn","incident","accident"
"onlangs","zojuist","zoflits","ongyang","just","recently"
"ontbijt","diner","diplo","ontboro","dinner","breakfast"
"onthouden","vergeten","vergerukt","ontspanden","forget","remember"
"ontmoeting","conferentie","strafferentie","ontmoeheid","conference","meeting"
"ontploffen","uitbarsting","uitbarluidt","ontspanfen","burst","explode"
"ontslag","ontslag","ontnaar","ontnaar","resignation","dismissal"
"ontsnappen","vluchten","fruitten","ontklompen","flee","escape"
"ontvoeren","ontvoeren","ontslagren","ontslagren","kidnap","abduct"
"ontwikkeling","voortgang","voortzend","ontwikketeers","progress","development"
"onverantwoordelijk","onredelijk","onredejaars","onverantslachtsdelijk","unreasonable","irresponsible"
"onverwacht","plotseling","tremseling","onverhaald","suddenly","unexpectedly"
"ooit","nooit","troit","aeit","never","ever"
"oor","oog","yeg","aer","eye","ear"
"oorzaak","reden","recla","oorveld","reason","cause"
"oosten-","west","weto","heften","west","east"
"op prijs stellen","bewonderen","beschikderen","op prijs stderfs","admire","appreciate"
"opbrengst","rug","mcg","opstrongs","back","return"
"opgewonden","trots","traas","opgerechtden","proud","excited"
"opleiding","gezondheid","gestigheid","opleitjes","health","education"
"opmerkelijk","uitzonderlijk","uitzonderhouds","opmerkeraars","exceptional","remarkable"
"opname","vermelding","vermelbour","opnatuur","record","recording"
"oppervlak","laag","lary","opperlied","layer","surface"
"opslaan","redden","moeden","opsprin","rescue","save"
"optie","keuze","brize","opkno","choice","option"
"opzettelijk","per abuis","per sists","opzetterecht","accidentally","intentionally"
"oranje","groente","dorpste","dwarje","green","orange"
"organiseren","afspreken","afvaarken","organiseplaats","arrange","organize"
"ouder","volwassen","volgingsen","oubol","adult","parent"
"over","uit","idt","xeer","out","about"
"over het algemeen","van nature","van natvacht","over het alsleurt","naturally","generally"
"overdracht","actie","acnen","overvraagd","move","transfer"
"overdrijven","onderschatten","onderbroekten","overhaalven","underestimate","exaggerate"
"overeenkomst","toernooi","vietnooi","overeennacht","tournament","match"
"overleven","live","livelingstaart","castleven","live","survive"
"pa","oom","aem","gy","uncle","dad"
"paard","ezel","hmel","snard","donkey","horse"
"pad","route","dunte","ogd","route","path"
"pakket","envelop","envefuus","floket","envelope","package"
"paragraaf","sectie","loutie","parachael","section","paragraph"
"paranormaal","bovennatuurlijk","bovennaschijnlijk","paranorvrouw","supernatural","paranormal"
"parfum","lippenstift","lippentoets","pareok","lipstick","perfume"
"partij","ontvangst","ontblaast","parkom","reception","party"
"paspoort","ticket","oxyket","paspaard","ticket","passport"
"passie","enthousiasme","schoolthousiasme","zeesie","enthusiasm","passion"
"patrouille","bewaker","bewagons","panieuwsle","guard","patrol"
"pauze","kapot","kavis","kwaze","smash","break"
"pen","papier","parein","cun","paper","pen"
"penis","vagina","varendna","peler","vagina","penis"
"perfect","ideaal","touaal","pertern","ideal","perfect"
"perimeter","straal","stknal","perimenings","radius","perimeter"
"persoonlijkheid","karakter","kamerster","perdraaglijkheid","character","personality"
"perspectief","visie","viley","perhekstief","view","perspective"
"pet","bril","brsh","lgt","glasses","cap"
"pijn","lijden","keiden","pidu","suffering","pain"
"pil","tablet","taklin","esl","tablet","pill"
"piloot","astronaut","astrodors","pitrok","astronaut","pilot"
"pistool","geweer-","getjes","pislaat","rifle","gun"
"plaats","plaats","plghts","plaart","place","location"
"planning","voorbereiding","ringsbereiding","kleining","preparation","planning"
"plastic","cement","celers","graptic","cement","plastic"
"plicht","verantwoordelijkheid","verantdresscodelijkheid","plicik","responsibility","duty"
"poging","poging","poneer","poneer","try","attempt"
"poker","gokken","floken","poman","gambling","poker"
"politicus","beleid","besief","politifield","policy","politician"
"politiek","journalistiek","wraaknalistiek","poligaat","journalism","politics"
"politiek","kritisch","leatisch","poligaat","critical","political"
"poort","portaal","redtaal","pollt","portal","gate"
"portemonnee","zak-","ulk","portekaartnee","pocket","wallet"
"positie","toestand","toeneerd","posinaas","status","position"
"praktisch","letterlijk","letterstof","troetisch","literally","practically"
"preek","toespraak","genspraak","praak","speech","sermon"
"president","kanselier","kansevens","presitair","chancellor","president"
"prettig","comfortabel","complexetabel","spentig","comfortable","pleasant"
"priester","monnik","monste","zielster","monk","priest"
"prijs","waarde","ceerde","prads","value","price"
"prijs","nobel","norij","prads","nobel","prize"
"primair","ondergeschikt","ondergewichts","prifier","secondary","primary"
"prins","prinses","knipses","rnins","princess","prince"
"privacy","privaat","prinett","neervacy","private","privacy"
"probleem","probleem","proploeg","proploeg","trouble","problem"
"procedure","verwerken","verslagken","proceduresienstadt","process","procedure"
"proces","gehoor","geslot","prolia","hearing","trial"
"produceren","creëren","haarëren","producepaard","create","produce"
"product","merk","meey","proaugh","brand","product"
"productie","fabriek","faneert","prostratie","factory","production"
"professioneel","amateur","surteur","professiostrijd","amateur","professional"
"professor","decaan","devast","profesdeed","dean","professor"
"programma","project","prozers","proschema","project","program"
"protocol","regel","rerij","protokaan","rule","protocol"
"prototype","model-","mosie","wachttotype","model","prototype"
"psychologie","anatomie","anatowood","moordchologie","anatomy","psychology"
"psychologisch","medisch","metract","psycholowoord","medical","psychological"
"publiek","menigte","melonkte","pupleit","crowd","audience"
"punt uit","fase","mense","puntveid","phase","period"
"race","marathon","marapler","rator","marathon","race"
"raket","raket","raron","rasis","rocket","missile"
"rat","muis","geis","kst","mouse","rat"
"reactor","generator","generamisch","reaccent","generator","reactor"
"realistisch","optimistisch","optimisnoegd","realisseerd","optimistic","realistic"
"rechter","rechtbank","rechtzing","vrouter","court","judge"
"redder","held","heut","porder","hero","savior"
"redelijk","kermis","kercle","redesche","fair","reasonable"
"regering","administratie","adminichollstie","regevech","administration","government"
"regisseur","producent","produtoor","regisdoek","producer","director"
"reparatie","repareren","reparedwood","reparagraaf","fix","repair"
"reputatie","carrière","carrièresienstadt","reputalaans","career","reputation"
"restaurant","kroeg","spoeg","restaucier","pub","restaurant"
"resultaat","resultaat","resulmerk","resulvies","result","outcome"
"reusachtig","groot","grist","egoiachtig","big","huge"
"rijden","rit","fot","studen","drive","ride"
"rijk","arm","uim","rieb","poor","rich"
"rijk","dynastie","dytructie","rieb","dynasty","empire"
"rijkdom","schat","sctut","sierdom","treasure","wealth"
"romantisch","dramatisch","dramanierd","romancheck","dramatic","romantic"
"rome","caesar","lutsar","parme","caesar","rome"
"rondom","ronde","netde","woonom","round","around"
"rondslenteren","dutje","bamje","ronddouchteren","nap","stroll"
"roofdier","prooi","shooi","stokdier","prey","predator"
"sabotage","spionage","spionageschreeuwd","sabotageschreeuwd","espionage","sabotage"
"salade","soep","sori","sadeerde","soup","salad"
"salaris","pensioen","pensihart","salaslag","pension","salary"
"samurai","ninja","womja","samukner","ninja","samurai"
"sap","melk","meap","arp","milk","juice"
"satelliet","radar","rahen","satelboom","radar","satellite"
"saus","room","rosi","sadi","cream","sauce"
"schandaal","roddel","butdel","schanlair","gossip","scandal"
"schattig","zoet","klet","schatzoe","sweet","cute"
"schedel","bot","uat","speldel","bone","skull"
"schema","kalender","kavaarder","spelma","calendar","schedule"
"schepsel","monster","terster","zachtsel","monster","creature"
"schieten","schot","scimt","splinten","shot","shoot"
"schild","schild","schiol","schire","shield","armor"
"schilder","artiest","arvoets","borstder","artist","painter"
"schildpad","slak","reak","schildcho","snail","turtle"
"schip","bemanning","bemantels","screp","crew","ship"
"schoen","laars","lawss","sceden","boot","shoe"
"school","klas","klën","sctrol","class","school"
"schoonheid","bedel","beamb","stoordheid","charm","beauty"
"schrijven","lezen","letje","spraakven","read","write"
"schrijven","lezing","lerijk","spraakven","reading","writing"
"schuilplaats","toevluchtsoord","toevluchtsstam","blijfsplaats","refuge","shelter"
"schuldig","onschuldig","onzichtdig","stortdig","innocent","guilty"
"schutting","muur","mupo","speurting","wall","fence"
"selecteren","kiezen","wolzen","seschitteren","choose","select"
"senaat","parlement","parleboog","sestad","parliament","senate"
"senator","gouverneur","gouvertand","senalist","governor","senator"
"serveerster","bediende","bewustde","sermaakster","waiter","waitress"
"sigaar","rook","roay","sihals","smoke","cigar"
"sigaret","tabak-","tavia","siganals","tobacco","cigarette"
"signaal","frequentie","freadoptie","sigwell","frequency","signal"
"slaap","rust uit","jnst uit","slsop","rest","sleep"
"slaapkamer","kamer","katon","kerstkamer","room","bedroom"
"slagader","ader","adol","slaguren","vein","artery"
"slagen","beheren","behelaas","chegen","manage","succeed"
"slagveld","arena","hoxna","slagneel","arena","battlefield"
"slang","pomp","simp","slisg","pump","hose"
"slang","worm","woia","slisg","worm","snake"
"slecht","goed","gory","slecik","good","bad"
"slokje","laten vallen","laten vafaald","koosje","drop","sip"
"slot","toets","toses","sleu","key","lock"
"sluipmoordenaar","huurling","keerling","wolfsmoordenaar","mercenary","assassin"
"sluipschutter","schutter","speurter","flashschutter","shooter","sniper"
"sluiting","opening","ginning","spijting","opening","closure"
"snee","traan","trixn","sngs","tear","cut"
"sneeuw","regenen","regetrok","sneehy","rain","snow"
"snel","traag","trekg","thel","slow","fast"
"snel","langzaam","noegzaam","thel","slowly","quickly"
"snelheid","afstand","afneerd","straheid","distance","speed"
"snelweg","weg","eug","sneltis","road","highway"
"sonde","capsule","heersule","avede","capsule","probe"
"spaghetti","lasagne","latyrone","spakristi","lasagna","spaghetti"
"specialist","deskundige","deskundigeschreeuwd","speciadeerd","expert","specialist"
"spectaculair","sensationeel","sensatiostrijd","spectacuzucht","sensational","spectacular"
"speelgoed-","pop","elp","speelteld","doll","toy"
"spek","geroosterd brood","geroosterdscreen","spoc","toast","bacon"
"spel","speel","spool","spra","play","game"
"speler","coach","blach","garler","coach","player"
"spiegel","reflectie","rekwartie","crisgel","reflection","mirror"
"spier","zenuw","zeett","frier","nerve","muscle"
"sport","hobby","tesby","enort","hobby","sport"
"spreken","praten","sasten","ploeken","talk","speak"
"springen","beklimmen","behulpmen","drinkgen","climb","jump"
"spuit","naald-","nangd","truit","needle","syringe"
"staal","betonnen","bezwijnen","koaal","concrete","steel"
"staat","federaal-","fedemort","stert","federal","state"
"stad","kapitaal","kapiclub","haad","capital","city"
"staking","hit","aît","zakking","hit","strike"
"standbeeld","monument","monukaar","grensbeeld","monument","statue"
"station","platform","platfels","zelftion","platform","station"
"steeg","hoek","deek","staag","corner","alley"
"steen","steen","creen","creen","rock","stone"
"stel voor","voorstellen","voorraadlen","ziek voor","propose","suggest"
"stemmen","meerderheid","longderheid","bergmen","majority","vote"
"ster","beroemdheid","berechtheid","guer","celebrity","star"
"sterk","stevig","sterot","koerk","firmly","strongly"
"stijl","ritme","purme","stoml","rhythm","style"
"stilte","stil","stea","spette","silent","silence"
"stoel","tafel","taaan","pioel","table","chair"
"stof","as","ën","strm","ash","dust"
"stoffig","roestig","geeftig","stofkot","rusty","dusty"
"storen","onderbreken","onderschapken","breren","interrupt","disturb"
"storm","wind","ound","stham","wind","storm"
"straat","laan","pian","strane","avenue","street"
"straling","besmetting","bereikting","branling","contamination","radiation"
"strategie","plan","gean","luistegie","plan","strategy"
"strijd","oorlog","oorrit","gerijd","war","battle"
"strijder","soldaat","solkert","schimder","soldier","warrior"
"stropdas","binden","volden","stropbia","bind","tie"
"structuur","piramide","piratrouwde","steeltuur","pyramid","structure"
"studie","onderzoek","onderdend","stuses","research","study"
"symbool","vlag","vlrf","symtock","flag","symbol"
"syndroom","symptoom","stoetoom","turdroom","symptom","syndrome"
"systeem","netwerk","sorwerk","uriteem","network","system"
"taart","toetje","toestu","taelt","dessert","cake"
"talent","potentieel","potentikaart","tavang","potential","talent"
"tand","nagel","nalis","tare","nail","tooth"
"tapijt","vloer","vlair","tadits","floor","carpet"
"tas","doos","glos","egs","box","bag"
"team","liga","liver","teva","league","team"
"techniek","methode","mezwadde","stelniek","method","technique"
"teder","zacht","zakit","temis","soft","gentle"
"tegendeel","tegenovergestelde","poortruimtegenovergestelde","tegenboog","opposite","contrary"
"tegenslag","ongelukkig","ongelukmoord","tegenmast","unfortunate","misfortune"
"tegenstander","vijand","vijdij","tegenlijstder","enemy","opponent"
"teken","formulier","formukant","telij","form","sign"
"tekenen","verf","vefy","tekelaar","paint","draw"
"telefoon","telefoongesprek","telefoongevraagd","telecier","call","telephone"
"teleurstelling","verrassing","verrashard","teringsstelling","surprise","disappointment"
"televisie","radio-","rague","televimaakt","radio","television"
"temperatuur-","warmte","sparte","temperamaakt","heat","temperature"
"tennis","golf","goër","dranis","golf","tennis"
"tentoonstelling","galerij","galevert","tenlijststelling","gallery","exhibition"
"test","experiment","experiscoop","onst","experiment","test"
"theater","bioscoop","biosboys","hartater","cinema","theater"
"theorie","idee","idpo","hartorie","idea","theory"
"tiener","tiener-","palner","kwaner","teenage","teenager"
"tijdschrift","playboy","playjas","tuigschrift","playboy","magazine"
"timer","detonator","detonamisch","ticon","detonator","timer"
"titel","naam","nane","tiaan","name","title"
"toegeven","geef toe","pech toe","toegelijk","admit","confess"
"toewijding","trouw","traiw","toewijzers","fidelity","devotion"
"toezicht houden op","scherm","scheia","toespraak houden op","screen","monitor"
"tomaat","aardappel","ruimappel","tolang","potato","tomato"
"tornado","orkaan","orjoen","shannado","hurricane","tornado"
"touw","keten","kenis","toky","chain","rope"
"traditioneel","modern","mowekt","traditiostrijd","modern","traditional"
"tragisch","triest","triend","chigisch","sad","tragic"
"trekken","duw","caw","kleuken","push","pull"
"troon","kroon","smoon","tramn","crown","throne"
"trouw","loyaal","froaal","triew","loyal","faithful"
"tunnel","brug","breu","edinel","bridge","tunnel"
"ui","knoflook","kuitlook","nz","garlic","onion"
"uitdaging","obstakel","obwijnkel","uitdabeer","obstacle","challenge"
"uiteindelijk","tenslotte","tenmelkte","uiteindejaars","finally","eventually"
"uitgeven","afval","afber","uitgelijk","waste","spend"
"uitrusten","apparatuur","apparamaakt","uitklanten","equipment","equip"
"uitspraak","opmerking","opmerdeur","genspraak","comment","statement"
"uitverkoop","veiling","midling","uitverdens","auction","sale"
"uitvoering","laten zien","latencoins","uitvoeders","show","performance"
"ultiem","laatste","cleaste","ulleis","final","ultimate"
"uniek","speciaal","specisers","unchk","special","unique"
"uniform","kenteken","hartteken","roeform","badge","uniform"
"universiteit","middelbare school","middelbarebatsjov","universiriyah","college","university"
"urine","bloed","bluld","sysne","blood","urine"
"vaak","soms","soom","valy","sometimes","often"
"vaccin","tegengif","tegennood","dodcin","antidote","vaccine"
"vader","moeder","subder","vakan","mother","father"
"vakantie","kerstmis","kersthof","vastratie","christmas","holiday"
"vallei","woestijn","woesrist","valdak","desert","valley"
"vals","nep","elp","vazo","fake","FALSE"
"vampier","zombie","caybie","zuspier","zombie","vampire"
"van","aanhanger","aansluiger","irn","trailer","van"
"van mening zijn","vertrouwen","verjaarwen","van meninstript","trust","believe"
"vangst","grijpen","kreupen","vakost","grab","catch"
"vanille","kaneel","kaveld","varendle","cinnamon","vanilla"
"varken","koe","ife","nieken","cow","pig"
"vechter","kampioen","snelpioen","schuter","champion","fighter"
"veiligheid","beveiliging","beveilitouws","veiligging","security","safety"
"vennootschap","bedrijf","belijst","vendrijschap","company","corporation"
"ventilatie","ventiel","venjoen","moordtilatie","valve","ventilation"
"venus","mars","mave","velia","mars","venus"
"ver","in de buurt","in dschuurd","iar","near","far"
"verbergen","omslag","omstre","verpandgen","cover","hide"
"verbetering","verandering","verandelaars","verbetekaart","change","improvement"
"verbieden","verboden","tromboden","vergaatden","forbidden","prohibit"
"verbinding","contact","contern","verbinteam","contact","connection"
"verdachte","twijfel","twijaan","verzetste","doubt","suspect"
"verdedigen","beschermen","bestadsmen","schiededigen","protect","defend"
"verdrievoudigen","dubbele","starbele","verstandsvoudigen","double","triple"
"verdwijning","dood","dorg","verscanning","death","disappearance"
"vergissing","fout","foap","vergisteer","error","mistake"
"verifiëren","rekening","rekebaar","verifiëplaats","check","verify"
"verjaardag","jubileum","jubiletisch","vertroudag","anniversary","birthday"
"verkiezing","campagne","bouwpagne","verkiekamp","campaign","election"
"verkopen","kopen","konij","verkowitz","buy","sell"
"verlaten","vertrekken","verduisken","stallaten","leave","abandon"
"verleden","toekomst","toenacht","castleden","future","past"
"verlies","zege","carge","vervens","victory","defeat"
"verminderen","toenemen","schonemen","verkleedderen","increase","reduce"
"vermogen","capaciteit","capacifixen","vermonoxi","capacity","ability"
"vernieuwen","vers","vely","vertrapwen","fresh","refresh"
"verrader","spion","vison","stuwrader","spy","traitor"
"verrukkelijk","smakelijk","smakesche","verrukketeers","tasty","delicious"
"verschillend","vergelijkbaar","vergestuurbaar","verpleeglend","similar","different"
"versturen","breng","eteng","vermantren","bring","send"
"vertellen","zeggen","acagen","verslaglen","say","tell"
"vertrek","aankomst","aannacht","verdrie","arrival","departure"
"vertrouwen","hoop","hols","verjaarwen","hope","faith"
"vertrouwen","respect","resleef","verjaarwen","respect","confidence"
"vervanging","vervangen","vertrekgen","vervanwaar","replace","substitute"
"verwachten","wacht","watct","verzetsten","wait","expect"
"verwardheid","chaos","steos","vergrofheid","chaos","confusion"
"verwijderen","verwijderen","vervreugderen","vertrouwderen","eliminate","remove"
"verwoesting","schepping","steunping","versnipting","creation","destruction"
"verzoek","vraag","olaag","verzets","demand","request"
"video-","dvd","ofd","vinik","dvd","video"
"vier","twee","twpo","viso","two","four"
"vierde","derde","badde","windde","third","fourth"
"vies","naar","sear","viot","nasty","filthy"
"vind","zoekopdracht","traiopdracht","vica","search","find"
"vingerafdruk","dna","sva","vingerafsters","dna","fingerprint"
"vis","haai","hatz","mys","shark","fish"
"visie","openbaring","openbatros","viley","revelation","vision"
"vissen","jacht-","jayst","spisen","hunting","fishing"
"vitamine","eiwit","eiful","viseerdmine","protein","vitamin"
"vlam","vuur","vums","vlie","fire","flame"
"vlees","varkensvlees","varkensbaars","vlows","pork","meat"
"vlieg","land-","laak","chieg","land","fly"
"vloeistof","vloeistof","vloeiraat","fluisstof","liquid","fluid"
"vloot","marine","mawaarne","croot","naval","fleet"
"vlucht","landen","disden","igucht","landing","flight"
"vogel","vlinder","grijder","vorij","butterfly","bird"
"vol","leeg","lese","uml","empty","full"
"voldoen aan","zie je wel","zie jgrees","voldoenghum","see","meet"
"voldoende","genoeg","geseem","volkeurde","enough","sufficient"
"volgorde","opdracht","opspeeld","reukorde","command","order"
"volledig","absoluut","absostin","volleverd","absolutely","completely"
"voor altijd","eeuwig","eeuzan","voor alious","eternal","forever"
"voornemen","doel","smel","plannemen","purpose","intention"
"voortdurend","altijd","almigh","rechtdurend","always","constantly"
"voorzien in","inschakelen","infarctkelen","voorvech in","enable","provide"
"vork","lepel","lerie","zark","spoon","fork"
"vrachtauto","jeep","jenk","drijfsauto","jeep","truck"
"vragen","vraag","olaag","kisgen","question","ask"
"vreemd","ongebruikelijk","ongezichtskelijk","vreesc","unusual","strange"
"vreselijk","verschrikkelijk","verstandskelijk","vreserend","terrible","horrible"
"vreugde","plezier","plejoen","krankde","pleasure","joy"
"vriend","collega","hartlega","oliend","colleague","friend"
"vriendelijk","beleefd","bevloed","droogdelijk","polite","friendly"
"vriendschap","relatie","relawaai","schildschap","relationship","friendship"
"vrij","vrij","olij","olij","freely","free"
"vrijwillig","vrijwilliger","kwaadwilliger","melswillig","volunteer","voluntarily"
"vroeg","laat","labi","iloeg","late","early"
"vrolijk","tevreden","tejaarden","alalijk","satisfied","happy"
"vrouw","weduwe","weduwelijkstaart","olouw","widow","woman"
"vrouw","echtgenoot","echtgeheim","olouw","husband","wife"
"vrouwelijk","mannelijk","mannerend","bankwelijk","male","female"
"waardeloos","nutteloos","nutteming","waarderend","useless","worthless"
"waardig","verdien","vermeel","zelfdig","deserve","worthy"
"waardigheid","trots","traas","zelfdigheid","pride","dignity"
"waarschijnlijk","waarschijnlijkheid","waarplaatslijkheid","zelfschijnlijk","probability","likely"
"waarschijnlijk","kan zijn","kanzwijg","zelfschijnlijk","maybe","probably"
"wachtwoord","code","terde","blackwoord","code","password"
"wandeling","rennen","bomnen","wandesche","run","walk"
"wang","lip-","sép","watc","lip","cheek"
"wapen","pistool","pislaat","watie","pistol","weapon"
"wapenkamer","arsenaal","arselend","wanachtkamer","arsenal","armory"
"wasbak","wc","ié","borbak","toilet","sink"
"wasbeer","eekhoorn","raghoorn","wasrens","squirrel","raccoon"
"wassen","schoon","schopi","borsen","clean","wash"
"waterstof","koolstof","knufstof","waterkomt","carbon","hydrogen"
"watson","sherlock","shermaak","kinson","sherlock","watson"
"web","internet","intertrum","fub","internet","web"
"week","maand","mayad","weom","month","week"
"weerstand bieden","weerstand","openstand","weervrouw bieden","resistance","resist"
"wekelijks","dagelijks","dagejaagd","weketeert","daily","weekly"
"wens","verlangen","verkwisgen","owns","desire","wish"
"wereld-","internationale","internationalelieknop","webied","international","world"
"werknemer","boer","boxe","spinnemer","farmer","worker"
"westelijk","zuidelijk","zuidesche","westesche","southern","western"
"weten","nu","fy","welij","now","know"
"wetenschap","technologie","droomnologie","wetenseerd","technology","science"
"wetenschapper","genie","gehan","wetenhoofdper","genius","scientist"
"wettelijk","onwettig","ontachtig","wettesche","illegal","legal"
"wijk","district","disgrant","wihs","county","district"
"winkel","winkel","buikel","buikel","shop","store"
"winnaar","verliezer","verwaarzer","buinaar","loser","winner"
"winnen","verdienen","verstannen","buinen","gain","win"
"winter","zomer","zoton","buiter","summer","winter"
"wiskunde","fysica","heensica","daarkunde","physics","mathematics"
"wist","herken","nieken","winy","recognize","knew"
"wizard","magie","macel","wihawk","magic","wizard"
"wodka","whisky","ransky","gylka","whiskey","vodka"
"woede","woede","maide","vasde","anger","rage"
"wolf","beer","beso","wotz","bear","wolf"
"woud","jungle","yelgle","naud","jungle","forest"
"wreed","brutaal","taltaal","queed","brutal","cruel"
"wreedheid","slecht","slecnk","moeidheid","evil","cruelty"
"zakdoek","lap","irp","zakkort","cloth","handkerchief"
"zakdoek","huid","huep","zakkort","skin","tissue"
"zand","modder","cinder","hend","mud","sand"
"zeil-","anker","anman","zene","anchor","sail"
"zeker","veilig","chalig","zeman","safe","secure"
"zelden","zo nu en dan","zo nu lestar","opiden","occasionally","rarely"
"zender","sensor","senchy","itader","sensor","transmitter"
"zich zorgen maken","zorg","zove","zich zorgen burcht","concern","worry"
"ziek","ziek","obek","zida","ill","sick"
"ziekte","griep","gromp","evente","flu","disease"
"zilver","gouden","ritden","goover","golden","silver"
"zin","woord","bjord","ofn","word","sentence"
"zin","woordenboek","klimdenboek","ofn","dictionary","phrase"
"zitten","stellage","graflage","gooten","stand","sit"
"zon","maan","lyan","rôn","moon","sun"
"zondag","zaterdag","zatermijn","zonber","Saturday","Sunday"
"zone","oppervlakte","oppergroente","binne","area","zone"
"zonne-","maan-","lyan","chine","lunar","solar"
"zoon","dochter","montter","gron","daughter","son"
"zuurstof","lucht","ischt","planstof","air","oxygen"
"zwaar","zwaar","zwler","ouaar","heavy","heavily"
"zwak","sterk","guerk","ouak","strong","weak"
"zwangerschap","geboorte","geschote","woesgerschap","birth","pregnancy"
"zwart","wit","obt","jaart","white","black"
"zwemmen","verdrinken","verwoesken","viermen","drown","swim"
