"nl_cue","nl_target","type","cue_type","target_type","nl_cosine"
"potentieel","talent","related","word","word",0.420465676306512
"nagel","tand","related","word","word",0.483621230130596
"vloer","tapijt","related","word","word",0.546571937057717
"doos","tas","related","word","word",0.55924718904395
"liga","team","related","word","word",0.386522683093233
"methode","techniek","related","word","word",0.581730158107912
"zacht","teder","related","word","word",0.610509950220764
"tegenovergestelde","tegendeel","related","word","word",0.475949702454413
"ongelukkig","tegenslag","related","word","word",0.310101125566752
"vijand","tegenstander","related","word","word",0.557850312288667
"formulier","teken","related","word","word",0.238658889354011
"verf","tekenen","related","word","word",0.201081168231877
"telefoongesprek","telefoon","related","word","word",0.520273907966757
"verrassing","teleurstelling","related","word","word",0.438527575533298
"radio-","televisie","related","word","word",NA
"warmte","temperatuur-","related","word","word",NA
"golf","tennis","related","word","word",0.452513417098676
"galerij","tentoonstelling","related","word","word",0.585414323307315
"experiment","test","related","word","word",0.52794096433194
"bioscoop","theater","related","word","word",0.498809953261136
"idee","theorie","related","word","word",0.424444660381363
"tiener-","tiener","related","word","word",NA
"playboy","tijdschrift","related","word","word",0.444157590502446
"detonator","timer","related","word","word",0.59201034361236
"naam","titel","related","word","word",0.344993593377679
"geef toe","toegeven","related","word","word",NA
"trouw","toewijding","related","word","word",0.554009714313202
"scherm","toezicht houden op","related","word","word",NA
"aardappel","tomaat","related","word","word",0.558572357550796
"orkaan","tornado","related","word","word",0.639558297780857
"keten","touw","related","word","word",0.221392217857694
"modern","traditioneel","related","word","word",0.501107727445074
"triest","tragisch","related","word","word",0.591725601862592
"duw","trekken","related","word","word",0.298087103920183
"kroon","troon","related","word","word",0.613734826886041
"loyaal","trouw","related","word","word",0.636800347176483
"brug","tunnel","related","word","word",0.507797879286783
"knoflook","ui","related","word","word",0.439481677126391
"obstakel","uitdaging","related","word","word",0.385017201040514
"tenslotte","uiteindelijk","related","word","word",0.344521473495239
"afval","uitgeven","related","word","word",0.128002808574685
"apparatuur","uitrusten","related","word","word",0.357410030822246
"opmerking","uitspraak","related","word","word",0.48710460454605
"veiling","uitverkoop","related","word","word",0.494390621815769
"laten zien","uitvoering","related","word","word",NA
"laatste","ultiem","related","word","word",0.227838909871727
"speciaal","uniek","related","word","word",0.489539817232175
"kenteken","uniform","related","word","word",0.297544929161445
"middelbare school","universiteit","related","word","word",NA
"bloed","urine","related","word","word",0.562296291738286
"soms","vaak","related","word","word",0.441115679766563
"tegengif","vaccin","related","word","word",0.617137515882773
"moeder","vader","related","word","word",0.842042041072836
"kerstmis","vakantie","related","word","word",0.416652426505538
"woestijn","vallei","related","word","word",0.443940439299003
"nep","vals","related","word","word",0.498723964981718
"zombie","vampier","related","word","word",0.554507806366329
"aanhanger","van","related","word","word",0.212301677542575
"vertrouwen","van mening zijn","related","word","word",NA
"grijpen","vangst","related","word","word",0.231194468990032
"kaneel","vanille","related","word","word",0.575096775539877
"koe","varken","related","word","word",0.554872972259531
"kampioen","vechter","related","word","word",0.459929242241248
"beveiliging","veiligheid","related","word","word",0.477529523232439
"bedrijf","vennootschap","related","word","word",0.523913020660922
"ventiel","ventilatie","related","word","word",0.529497532303205
"mars","venus","related","word","word",0.583021283049842
"in de buurt","ver","related","word","word",NA
"omslag","verbergen","related","word","word",0.0897964493785406
"verandering","verbetering","related","word","word",0.535715001797442
"verboden","verbieden","related","word","word",0.563041043504141
"contact","verbinding","related","word","word",0.555037586437778
"twijfel","verdachte","related","word","word",0.217941354974579
"beschermen","verdedigen","related","word","word",0.626677041566553
"dubbele","verdrievoudigen","related","word","word",0.432104837515071
"dood","verdwijning","related","word","word",0.394351339768052
"fout","vergissing","related","word","word",0.712059338879713
"rekening","verifiëren","related","word","word",0.263549923253376
"jubileum","verjaardag","related","word","word",0.598703287151528
"campagne","verkiezing","related","word","word",0.552480014770481
"kopen","verkopen","related","word","word",0.700329509103761
"vertrekken","verlaten","related","word","word",0.553744749767066
"toekomst","verleden","related","word","word",0.470316357534295
"zege","verlies","related","word","word",0.284385117979585
"toenemen","verminderen","related","word","word",0.604323358067357
"capaciteit","vermogen","related","word","word",0.578049157226333
"vers","vernieuwen","related","word","word",0.259066007187228
"spion","verrader","related","word","word",0.586491288770588
"smakelijk","verrukkelijk","related","word","word",0.61266450328518
"vergelijkbaar","verschillend","related","word","word",0.479054686986334
"breng","versturen","related","word","word",0.206649460553997
"zeggen","vertellen","related","word","word",0.642789687669582
"aankomst","vertrek","related","word","word",0.577868080147303
"hoop","vertrouwen","related","word","word",0.273747664592934
"respect","vertrouwen","related","word","word",0.455968225751186
"vervangen","vervanging","related","word","word",0.620266354452206
"wacht","verwachten","related","word","word",0.192774663313033
"chaos","verwardheid","related","word","word",0.289348795058829
"verwijderen","verwijderen","related","word","word",1
"schepping","verwoesting","related","word","word",0.439732249947681
"vraag","verzoek","related","word","word",0.442170434618877
"dvd","video-","related","word","word",NA
"twee","vier","related","word","word",0.782812707667147
"derde","vierde","related","word","word",0.801033761302678
"naar","vies","related","word","word",0.172479755354621
"zoekopdracht","vind","related","word","word",0.170729115902336
"dna","vingerafdruk","related","word","word",0.649171819487949
"haai","vis","related","word","word",0.621801408646581
"openbaring","visie","related","word","word",0.328865675552772
"jacht-","vissen","related","word","word",NA
"eiwit","vitamine","related","word","word",0.496297008837254
"vuur","vlam","related","word","word",0.666896182444708
"varkensvlees","vlees","related","word","word",0.639035684177173
"land-","vlieg","related","word","word",NA
"vloeistof","vloeistof","related","word","word",1
"marine","vloot","related","word","word",0.492245539965787
"landen","vlucht","related","word","word",0.297004631033672
"vlinder","vogel","related","word","word",0.563174198691828
"leeg","vol","related","word","word",0.426953812441485
"zie je wel","voldoen aan","related","word","word",NA
"genoeg","voldoende","related","word","word",0.708575925336216
"opdracht","volgorde","related","word","word",0.209850880476111
"absoluut","volledig","related","word","word",0.427886673526167
"eeuwig","voor altijd","related","word","word",NA
"doel","voornemen","related","word","word",0.305046952908514
"altijd","voortdurend","related","word","word",0.504904489990176
"inschakelen","voorzien in","related","word","word",NA
"lepel","vork","related","word","word",0.620096591549397
"jeep","vrachtauto","related","word","word",0.550277015932843
"vraag","vragen","related","word","word",0.745795605267246
"ongebruikelijk","vreemd","related","word","word",0.5196958757593
"verschrikkelijk","vreselijk","related","word","word",0.871244200538355
"plezier","vreugde","related","word","word",0.484285523072026
"collega","vriend","related","word","word",0.607636044674486
"beleefd","vriendelijk","related","word","word",0.654960754097737
"relatie","vriendschap","related","word","word",0.600240306142892
"vrij","vrij","related","word","word",1
"vrijwilliger","vrijwillig","related","word","word",0.681812439016135
"laat","vroeg","related","word","word",0.301480697130968
"tevreden","vrolijk","related","word","word",0.304988937419548
"weduwe","vrouw","related","word","word",0.509847829833096
"echtgenoot","vrouw","related","word","word",0.69535496864762
"mannelijk","vrouwelijk","related","word","word",0.768822634619569
"nutteloos","waardeloos","related","word","word",0.698508170997174
"verdien","waardig","related","word","word",0.367179105597334
"trots","waardigheid","related","word","word",0.375620478474631
"waarschijnlijkheid","waarschijnlijk","related","word","word",0.636754633071135
"kan zijn","waarschijnlijk","related","word","word",NA
"code","wachtwoord","related","word","word",0.555235780898839
"rennen","wandeling","related","word","word",0.306876690846162
"lip-","wang","related","word","word",NA
"pistool","wapen","related","word","word",0.814106111337042
"arsenaal","wapenkamer","related","word","word",0.508631435464121
"wc","wasbak","related","word","word",0.570127955282132
"eekhoorn","wasbeer","related","word","word",0.592750798695439
"schoon","wassen","related","word","word",0.518381691675869
"koolstof","waterstof","related","word","word",0.663613580743113
"sherlock","watson","related","word","word",0.469165231870785
"internet","web","related","word","word",0.436022653790289
"maand","week","related","word","word",0.879477472856966
"weerstand","weerstand bieden","related","word","word",NA
"dagelijks","wekelijks","related","word","word",0.58526647490189
"verlangen","wens","related","word","word",0.410178702769629
"internationale","wereld-","related","word","word",NA
"boer","werknemer","related","word","word",0.318333380534701
"zuidelijk","westelijk","related","word","word",0.679841390648124
"nu","weten","related","word","word",0.320745373413653
"technologie","wetenschap","related","word","word",0.57975299632096
"genie","wetenschapper","related","word","word",0.479360008043846
"onwettig","wettelijk","related","word","word",0.571423718353096
"district","wijk","related","word","word",0.54177048828306
"winkel","winkel","related","word","word",1
"verliezer","winnaar","related","word","word",0.584334678137383
"verdienen","winnen","related","word","word",0.38195019950581
"zomer","winter","related","word","word",0.723681144571462
"fysica","wiskunde","related","word","word",0.585432811745685
"herken","wist","related","word","word",0.230067547537972
"magie","wizard","related","word","word",0.325316965471024
"whisky","wodka","related","word","word",0.645314968596816
"woede","woede","related","word","word",1
"beer","wolf","related","word","word",0.615525616565509
"jungle","woud","related","word","word",0.538924840306984
"brutaal","wreed","related","word","word",0.559702438846363
"slecht","wreedheid","related","word","word",0.166859190784479
"lap","zakdoek","related","word","word",0.321107671714087
"huid","zakdoek","related","word","word",0.216108205437102
"modder","zand","related","word","word",0.549995201482218
"anker","zeil-","related","word","word",NA
"veilig","zeker","related","word","word",0.328083986814357
"zo nu en dan","zelden","related","word","word",NA
"sensor","zender","related","word","word",0.443571303395901
"zorg","zich zorgen maken","related","word","word",NA
"ziek","ziek","related","word","word",1
"griep","ziekte","related","word","word",0.527996274210962
"gouden","zilver","related","word","word",0.483339084490855
"woord","zin","related","word","word",0.289020656337768
"woordenboek","zin","related","word","word",0.269123440300569
"stellage","zitten","related","word","word",0.129979102054205
"maan","zon","related","word","word",0.59506052921361
"zaterdag","zondag","related","word","word",0.811430861168349
"oppervlakte","zone","related","word","word",0.320191349232478
"maan-","zonne-","related","word","word",NA
"dochter","zoon","related","word","word",0.759129867468593
"lucht","zuurstof","related","word","word",0.485704273012755
"zwaar","zwaar","related","word","word",1
"sterk","zwak","related","word","word",0.537898104074781
"geboorte","zwangerschap","related","word","word",0.443177160954247
"wit","zwart","related","word","word",0.741794162932054
"verdrinken","zwemmen","related","word","word",0.49143633395347
"advocaat","toewijding","unrelated","word","word",0.0982681799443364
"conclusie","vrouw","unrelated","word","word",0.198878660251635
"uitleg","slagveld","unrelated","word","word",0.149242357802474
"aandacht","slagader","unrelated","word","word",0.128054703410592
"weigeren","ochtend","unrelated","word","word",0.0890840890295686
"invasie","proces","unrelated","word","word",0.283879935958145
"slachtoffer","politicus","unrelated","word","word",0.156249689208162
"extra","denken","unrelated","word","word",0.0739862841407619
"punt","bevriezen","unrelated","word","word",0.13541331681152
"banaan","druk","unrelated","word","word",0.0591391325272873
"val","bericht","unrelated","word","word",0.183402739712934
"spinale","grondwet","unrelated","word","word",0.156370947053562
"belachelijk","winter","unrelated","word","word",0.0382637318024499
"stem","commissie","unrelated","word","word",0.190312759868311
"voorkant","piloot","unrelated","word","word",0.0721390770619766
"bijnaam","sneeuw","unrelated","word","word",0.0884737540269474
"volgen","officieel","unrelated","word","word",0.0260752490256309
"schrijver","uitvoering","unrelated","word","word",0.182161955821671
"in gang zetten","oefening","unrelated","word","word",NA
"actief","vier","unrelated","word","word",0.11981955577936
"beheer","microfoon","unrelated","word","word",0.00810123816493131
"hormoon","storm","unrelated","word","word",0.147817422014344
"nummer","keizer","unrelated","word","word",0.113263616560063
"advies","schattig","unrelated","word","word",0.098791301252386
"serie","ooit","unrelated","word","word",0.120881757684681
"vies","buitenaards wezen","unrelated","word","word",NA
"diploma","volgorde","unrelated","word","word",0.0423646297153286
"afval","individueel","unrelated","word","word",0.203974825533739
"aanwezigheid","oorzaak","unrelated","word","word",0.208925333935096
"contract","vogel","unrelated","word","word",0.0832788518555913
"alert","moordenaar","unrelated","word","word",0.0947470350295409
"motief","waterstof","unrelated","word","word",0.10388811359742
"alleen","horen","unrelated","word","word",0.248952087251874
"bravo","natie","unrelated","word","word",0.0753599831251792
"afrika","woud","unrelated","word","word",0.351305060487101
"basketbal","massage","unrelated","word","word",0.238266618009107
"autopsie","hongerig","unrelated","word","word",0.119222782178734
"verschrikking","steen","unrelated","word","word",0.188215861914755
"antwoord","gevangenis","unrelated","word","word",0.0954674256433959
"chip","lening","unrelated","word","word",0.139933646189776
"huis","spaghetti","unrelated","word","word",0.101691982430011
"ingenieur","wiskunde","unrelated","word","word",0.306222201153224
"hand","foto","unrelated","word","word",0.162010145537873
"straffen","pijn","unrelated","word","word",0.290497135904096
"onwetendheid","mutatie","unrelated","word","word",0.244697625214381
"cavalerie","inkomen","unrelated","word","word",0.112736114659336
"chirurg","leger","unrelated","word","word",0.206123844908852
"secretaris","maximum","unrelated","word","word",0.0350283016702998
"grote oceaan","infectie","unrelated","word","word",NA
"omgeving","zitten","unrelated","word","word",0.144017710355962
"dichter","oor","unrelated","word","word",0.164925499568637
"voertuig","touw","unrelated","word","word",0.222716545670005
"nacht","rechter","unrelated","word","word",0.103000796415556
"planeet","vrolijk","unrelated","word","word",0.130714350265937
"haar","rijk","unrelated","word","word",0.158119635634188
"manager","informant","unrelated","word","word",0.27789005655232
"douche","slecht","unrelated","word","word",0.176230061863269
"orkest","matroos","unrelated","word","word",0.168910461993704
"club","positie","unrelated","word","word",0.149259560176379
"stadion","cowboy","unrelated","word","word",0.112538891656601
"regiment","legende","unrelated","word","word",0.194896896491498
"superman","docent","unrelated","word","word",0.126704029717456
"laten schrikken","neef","unrelated","word","word",NA
"bank","gelofte","unrelated","word","word",0.107875881996217
"slaaf","wasbak","unrelated","word","word",0.0984442059747545
"industrie","bureau","unrelated","word","word",0.129646782552651
"begeleiden","van mening zijn","unrelated","word","word",NA
"graf","handelen","unrelated","word","word",0.06885551009408
"kist","priester","unrelated","word","word",0.172381164312175
"graven","hallucinatie","unrelated","word","word",0.0135011292037923
"realiseren","verwardheid","unrelated","word","word",0.206921319543322
"feliciteren","kolonel","unrelated","word","word",0.160669607728587
"therapie","kliniek","unrelated","word","word",0.461221108164466
"vereist","weerstand bieden","unrelated","word","word",NA
"populair","atlantische oceaan","unrelated","word","word",NA
"betekenis","bereiden","unrelated","word","word",0.146133173150446
"waardevol","aannemelijk","unrelated","word","word",0.286513678266704
"belediging","wekelijks","unrelated","word","word",0.0544614078706786
"bankier","hamer","unrelated","word","word",0.161821530983608
"garantie","ergens","unrelated","word","word",0.0346176489007483
"bonus","apparaat","unrelated","word","word",0.185632425126751
"moed","neef","unrelated","word","word",0.077195524810126
"klaar","theater","unrelated","word","word",0.110414375688736
"graaf","vampier","unrelated","word","word",0.187066701420323
"heuvel","omhoog","unrelated","word","word",0.229414482940091
"waarschuwing","samurai","unrelated","word","word",0.144842499718402
"stelen","professioneel","unrelated","word","word",0.0715197911365537
"diefstal","fluit","unrelated","word","word",0.0456660442912873
"cultuur","hulp in de huishouding","unrelated","word","word",NA
"nederig","structuur","unrelated","word","word",0.12689913312468
"profiel","abdominaal","unrelated","word","word",0.230756247050429
"klacht","globaal","unrelated","word","word",0.105424504779367
"het lot","pa","unrelated","word","word",NA
"passagier","alleen","unrelated","word","word",0.154132298870878
"bevestiging","dinsdag","unrelated","word","word",0.167260998637504
"smelten","juliet","unrelated","word","word",0.0548347412596276
"bewijs","doden","unrelated","word","word",0.139921158337656
"drankje","alarm","unrelated","word","word",0.0838093234472062
"liefdadigheid","deeltje","unrelated","word","word",0.0754340293292194
"verzamelen","amerikaans voetbal","unrelated","word","word",NA
"steun","bekend","unrelated","word","word",0.0526214873628881
"buiten","architect","unrelated","word","word",0.0242162052983182
"chemie","kneuzing","unrelated","word","word",0.121995094909743
"chemisch","rijkdom","unrelated","word","word",0.0872528077755779
"bruin","zonne-","unrelated","word","word",NA
"wond","salade","unrelated","word","word",0.127316880414905
"blijven","gebeuren","unrelated","word","word",0.178754412929811
"plant","staat","unrelated","word","word",0.150606472149895
"bijbel","aanvaller","unrelated","word","word",0.150912324608782
"struik","vloot","unrelated","word","word",0.0983804752554318
"jaloers","bijdrage","unrelated","word","word",0.0421048133828213
"onderzeeër","product","unrelated","word","word",0.144395017124001
"schaal","doof","unrelated","word","word",-0.00476604481558462
"maag","inhoud","unrelated","word","word",0.286552254111998
"washington","inspiratie","unrelated","word","word",0.0529009054229111
"honing","adres","unrelated","word","word",0.0953844563885787
"bouw","school","unrelated","word","word",0.176446139666191
"lager","nieuws","unrelated","word","word",0.0785405411956205
"gas-","medaillon","unrelated","word","word",NA
"smal","crisis","unrelated","word","word",0.0907819071128001
"telegram","adviseren","unrelated","word","word",0.1223642619039
"gozer","aardbei","unrelated","word","word",0.204674461499578
"zus","gek","unrelated","word","word",0.225188597802318
"bruidegom","strijder","unrelated","word","word",0.226991012268362
"verloving","decennium","unrelated","word","word",0.158291529878125
"ufo","plicht","unrelated","word","word",0.109423658051979
"firma","niet in staat","unrelated","word","word",NA
"sheriff","wereld-","unrelated","word","word",NA
"trein","passie","unrelated","word","word",0.1664772149035
"picknick","donder","unrelated","word","word",0.19515546920664
"mijl","functioneel","unrelated","word","word",0.0698185793371778
"brein","herfst","unrelated","word","word",0.0266916837145636
"ritueel","vrouwelijk","unrelated","word","word",0.231158278525624
"wijn","bruiloft","unrelated","word","word",0.278168719277629
"omkoping","gebouw","unrelated","word","word",0.107396136768073
"aantrekkelijk","sterk","unrelated","word","word",0.297212437835809
"kok","ontbijt","unrelated","word","word",0.310770942636387
"bedienen","lijk","unrelated","word","word",0.0505438219927
"suiker","straling","unrelated","word","word",0.192283925000664
"katholiek","satelliet","unrelated","word","word",0.0501399082784174
"dierentuin","alibi","unrelated","word","word",0.0581514207871176
"geduldig","schip","unrelated","word","word",0.12581221266349
"rum","microscoop","unrelated","word","word",0.100515263249433
"inspecteur","missie","unrelated","word","word",0.113313554643849
"commissie","lengte","unrelated","word","word",0.0841719361083637
"navigatie","eerlijk","unrelated","word","word",0.0708853712127537
"racistisch","vork","unrelated","word","word",0.137119976518412
"totaal","stoel","unrelated","word","word",0.0877476020151605
"software","ontwikkeling","unrelated","word","word",0.270878146370153
"focus","mes","unrelated","word","word",0.139874631653949
"tour","depressie","unrelated","word","word",0.0835064898376606
"fout","tomaat","unrelated","word","word",0.12341829151266
"rodeo","financiering","unrelated","word","word",0.127819331847934
"verbeelding","jongen","unrelated","word","word",0.171717571527468
"dief","badkamer","unrelated","word","word",0.192614256412754
"situatie","fles","unrelated","word","word",0.176074715204592
"naief","volledig","unrelated","word","word",0.113881770397276
"hier","boek","unrelated","word","word",0.186831691175488
"heer","ministerie","unrelated","word","word",0.173052763039711
"dankbaar","slang","unrelated","word","word",0.111301724980789
"gastvrijheid","bed","unrelated","word","word",0.13375607749636
"danser","speelgoed-","unrelated","word","word",NA
"wat","toegeven","unrelated","word","word",0.2382521616739
"november","arrogantie","unrelated","word","word",0.0754733244780112
"eeuw","tennis","unrelated","word","word",0.0723803541189821
"fragment","knuffel","unrelated","word","word",0.0947439327338105
"materie","onenigheid","unrelated","word","word",0.231345532679847
"concept","afschuwelijk","unrelated","word","word",0.138487930920428
"cabine","vaccin","unrelated","word","word",0.0934278645097312
"vrijheid","likken","unrelated","word","word",0.18681973604252
"protest","spek","unrelated","word","word",0.162835014117612
"beschouwen","snelweg","unrelated","word","word",0.0908628871994621
"spanning","neerzetten","unrelated","word","word",0.0980561406570632
"tussenpersoon","schilder","unrelated","word","word",0.222701675299749
"raam","zondag","unrelated","word","word",0.129650046271517
"open","berg","unrelated","word","word",0.0702838183901624
"beest","effect","unrelated","word","word",0.130526244660939
"dun","intiem","unrelated","word","word",0.264269520518662
"ping","detective","unrelated","word","word",0.116045224591519
"maandag","kalkoen","unrelated","word","word",0.11735676400222
"direct","test","unrelated","word","word",0.0923026622207806
"gesprek","vreselijk","unrelated","word","word",0.14351793660441
"eenheid","tentoonstelling","unrelated","word","word",0.12936264778772
"student","opname","unrelated","word","word",0.126753580204324
"het dossier","deel","unrelated","word","word",NA
"vergif","mensen","unrelated","word","word",0.176628403641609
"hallo","stad","unrelated","word","word",0.133159018805371
"maken","aanval","unrelated","word","word",0.10708447818424
"pond","losgeld","unrelated","word","word",0.262709669283634
"naief","hel","unrelated","word","word",0.0642828671792936
"krankzinnigheid","links","unrelated","word","word",0.0199547212686198
"bliksem","grappig","unrelated","word","word",0.139469222980986
"schaduw","christen","unrelated","word","word",0.127106009574988
"in leven","toezicht houden op","unrelated","word","word",NA
"lijden","mier","unrelated","word","word",0.153573670085073
"blind","administratief","unrelated","word","word",0.142065957887098
"doorgaan","bataljon","unrelated","word","word",0.124820489221798
"kamp","plastic","unrelated","word","word",0.0523592999355146
"honger","communistisch","unrelated","word","word",0.126890450482222
"kabel","organiseren","unrelated","word","word",0.0423609729366654
"draai","voor altijd","unrelated","word","word",NA
"een","cerebral","unrelated","word","word",0.160024166981438
"cirkel","waarschijnlijk","unrelated","word","word",0.066071337135961
"nuchter","vennootschap","unrelated","word","word",0.122480100545559
"nachtmerrie","eend","unrelated","word","word",0.112255024721079
"alcohol","bewijs","unrelated","word","word",0.152635585198816
"puls","behandeling","unrelated","word","word",0.197924846633599
"knop","verwijderen","unrelated","word","word",0.218393437062809
"duidelijk","antwoorden","unrelated","word","word",0.173665299927575
"vinger","blauw","unrelated","word","word",0.204906227704055
"engel","meisjes","unrelated","word","word",0.221355377696727
"buskruit","camping","unrelated","word","word",0.110189956839784
"waar","hoog","unrelated","word","word",0.151704588766007
"eigenlijk","amerika","unrelated","word","word",0.168948839849359
"gans","restaurant","unrelated","word","word",0.17989330203092
"onmogelijk","investeren","unrelated","word","word",0.0869001363877238
"eenvoudig","grieks","unrelated","word","word",0.236779133389627
"voorrecht","wassen","unrelated","word","word",0.166112482075793
"redelijk","zilver","unrelated","word","word",0.0963195009777233
"loyaliteit","hoogheid","unrelated","word","word",0.235837486050888
"invloed hebben","doei","unrelated","word","word",NA
"bruikbaar","dankbaarheid","unrelated","word","word",0.112673628786257
"eigenwijs","dichtbij","unrelated","word","word",0.207831264896147
"nest","heerlijkheid","unrelated","word","word",0.162319886294764
"eigenschap","slot","unrelated","word","word",0.0627283146551729
"modieus","helder","unrelated","word","word",0.276147569289427
"huidige","staking","unrelated","word","word",0.163701209331548
"magnetisch","troon","unrelated","word","word",0.0298868663919852
"factor","redelijk","unrelated","word","word",0.173522613051257
"miserabel","erven","unrelated","word","word",0.176855729107426
"mentaal","leeuw","unrelated","word","word",0.104725836869284
"stroom","deur-","unrelated","word","word",NA
"eng","jong","unrelated","word","word",0.248677095545034
"pest","programma","unrelated","word","word",0.0792751680494248
"orgasme","weten","unrelated","word","word",0.0627040014922503
"ergens anders","timer","unrelated","word","word",NA
"erfenis","literatuur","unrelated","word","word",0.224495269640976
"voer","komedie","unrelated","word","word",0.14543882293381
"observatie","epidemie","unrelated","word","word",0.110613041996376
"fenomeen","nerveus","unrelated","word","word",0.15719917026003
"vergeven","klassiek","unrelated","word","word",0.15001614302276
"hangend","traditioneel","unrelated","word","word",0.165238542482709
"aardbeving","realistisch","unrelated","word","word",0.0714659307608711
"bom","het werk","unrelated","word","word",NA
"intern","negatief","unrelated","word","word",0.23011814154647
"clan","vertellen","unrelated","word","word",0.0865903881346745
"realiteit","juweel","unrelated","word","word",0.0681532974113098
"prachtig","dorp","unrelated","word","word",0.115795219393678
"dodelijk","beschrijving","unrelated","word","word",0.0804532834357849
"mail","onderwerp","unrelated","word","word",0.146643855658996
"kolonie","tegenslag","unrelated","word","word",0.0917557952924905
"carnaval","jasje","unrelated","word","word",0.189894167394732
"porno","mooi","unrelated","word","word",0.0961447546453867
"bank-","snel","unrelated","word","word",NA
"financieel","oneerlijk","unrelated","word","word",0.212112183393429
"begroting","gesloten","unrelated","word","word",0.132419094168752
"einde","machine","unrelated","word","word",0.104232993140765
"glas","festival","unrelated","word","word",0.0305580374503377
"hoorn","poort","unrelated","word","word",0.244332325539888
"oven","strategie","unrelated","word","word",0.0610998740627804
"afbeelding","eigenaar","unrelated","word","word",0.142601953952811
"handtekening","misdaad","unrelated","word","word",0.134642148566365
"engels","overdracht","unrelated","word","word",0.1139041547307
"complot","luitenant","unrelated","word","word",0.0860301749495099
"limonade","gebruikelijk","unrelated","word","word",0.115242103553211
"appel","ver","unrelated","word","word",0.263704601689967
"vluchteling","onverwacht","unrelated","word","word",0.121527982077815
"operationeel","pistool","unrelated","word","word",0.0799059004120945
"seksueel","vis","unrelated","word","word",0.15022707503382
"binnenkomen","kaars","unrelated","word","word",0.130352081325782
"workshop","katoen","unrelated","word","word",0.0424874785027453
"scheur","ui","unrelated","word","word",0.184530199018957
"voorkomen","zakdoek","unrelated","word","word",0.133174820711099
"toren","voortdurend","unrelated","word","word",0.129918736553776
"normaal","winnaar","unrelated","word","word",0.0789365824921315
"normaal gesproken","zon","unrelated","word","word",NA
"van toepassing zijn","atmosfeer","unrelated","word","word",NA
"tekst","fantasie","unrelated","word","word",0.171228681703709
"rood","sigaar","unrelated","word","word",0.0952618961385587
"ziel","blijven","unrelated","word","word",0.129041643198633
"paranoïde","beledigen","unrelated","word","word",0.208096871986418
"contant geld","zakdoek","unrelated","word","word",NA
"zweer","verdedigen","unrelated","word","word",0.174521515587774
"filosofie","poging","unrelated","word","word",0.120151021241021
"lawaai","extern","unrelated","word","word",0.151814871530217
"samenleving","democratie","unrelated","word","word",0.530566374081411
"vergiffenis","dat","unrelated","word","word",0.204089567707982
"medelijdend","centimeter","unrelated","word","word",0.10599759958403
"herstellen","specialist","unrelated","word","word",0.168557036681962
"wraak","informatie","unrelated","word","word",0.184140240004248
"compliment","laatst","unrelated","word","word",0.0793632273966657
"op slot","kust","unrelated","word","word",NA
"enkel","dood gaan","unrelated","word","word",NA
"getuige","kopiëren","unrelated","word","word",0.0442280622998434
"smaak","vlees","unrelated","word","word",0.338443638007135
"risico","sigaret","unrelated","word","word",0.0505714854895585
"riskant","vlam","unrelated","word","word",0.0711333493549765
"gegijzelde","schieten","unrelated","word","word",0.305060373439364
"cel","eenvoudig","unrelated","word","word",0.0528231217196097
"straf","moord","unrelated","word","word",0.191104918055814
"gevecht","kreeft","unrelated","word","word",0.195179000824775
"aanbieding","televisie","unrelated","word","word",0.232311509322444
"indruk","belangrijk","unrelated","word","word",0.175297686970863
"delicaat","steeg","unrelated","word","word",-0.087638186398913
"indrukwekkend","aanwijzen","unrelated","word","word",0.0545255954385653
"jurisdictie","vriend","unrelated","word","word",0.179016989168151
"vandaag","tas","unrelated","word","word",0.159787052533685
"piano","hamburger","unrelated","word","word",0.161316697028164
"nationaal","kind","unrelated","word","word",0.184169053582423
"god","financiering","unrelated","word","word",0.0769089370552489
"toestemming","verschillend","unrelated","word","word",0.051968579231797
"duur","licht","unrelated","word","word",0.134710241972086
"aap","houding","unrelated","word","word",0.248962081325632
"kilo","homo","unrelated","word","word",0.0342547848365162
"truc","versturen","unrelated","word","word",0.15421284595868
"ad rem","koffer","unrelated","word","word",NA
"baron","onthouden","unrelated","word","word",0.12743731812662
"roman","genezen","unrelated","word","word",0.108223246475231
"bende","assistent","unrelated","word","word",0.0984433104769544
"wet","kwartaal","unrelated","word","word",0.0813498765305624
"excellent","opslaan","unrelated","word","word",0.114554815143914
"grootvader","film","unrelated","word","word",0.101322017196236
"kikker","reputatie","unrelated","word","word",0.0163663161386656
"illusie","gat","unrelated","word","word",0.138653111227514
"ring","winkel","unrelated","word","word",0.261467199497392
"broodje","regisseur","unrelated","word","word",0.124927991473567
"stok","meel","unrelated","word","word",0.24012290710561
"deken","afstuderen","unrelated","word","word",0.0338819917114962
"reclame","woede","unrelated","word","word",0.130040058452774
"gebaar","geluid","unrelated","word","word",0.298509856900538
"stempel","litteken","unrelated","word","word",0.293223645994295
"balans","wettelijk","unrelated","word","word",0.126747612007197
"baai","zin","unrelated","word","word",0.0981929991144787
"extreem","lelijk","unrelated","word","word",0.183377227209364
"universum","stel voor","unrelated","word","word",NA
"glorieus","intelligent","unrelated","word","word",0.235688766345649
"vloek","theorie","unrelated","word","word",0.178518316173324
"paradijs","verleden","unrelated","word","word",0.244904519794342
"schijnen","huur","unrelated","word","word",0.0972071721946153
