"zh_cue","zh_target","zh_fake_cue","zh_fake_target","en_cue","en_target"
"大的","巨大的","弄巴","巡笨","big","huge"
"房间","卧室","鏈信","量例","room","bedroom"
"错误的","正确的","珠查","區告","wrong","correct"
"机会","可能性","中柳","趕展","chance","possibility"
"国家","国家","熱市","汽念","country","nation"
"晚餐","早餐","樹飼","化橡","dinner","breakfast"
"活","死的","泥色","社強","alive","dead"
"图片","照片","育資","滋人","picture","photo"
"甜的","可爱的","空毒","要操","sweet","cute"
"关系","友谊","吸程","婦攪","relationship","friendship"
"经验","知识","權友","不校","experience","knowledge"
"聪明的","聪明的","煙登","體扯","smart","intelligent"
"相机","麦克风","下炮","長糖","camera","microphone"
"惊喜","失望","配探","述婿","surprise","disappointment"
"岩石","石头","向撞","重觀","rock","stone"
"实践","锻炼","信取","條奴","practice","exercise"
"研究","学习","承片","院吊","research","study"
"气体","燃料","段嘴","殼首","gas","fuel"
"帮派","团体","端膽","力皮","gang","group"
"淋浴","浴室","此傳","肉航","shower","bathroom"
"旅游","音乐会","收貶","會斑","tour","concert"
"喉","脖子","漏弱","俗心","throat","neck"
"千","百","暴穿","患聯","thousand","hundred"
"系列","插曲","例高","詞定","series","episode"
"救援","保存","軍課","轟扣","rescue","save"
"肩膀","膝盖","燈相","示求","shoulder","knee"
"保证","承诺","色蜂","處節","guarantee","promise"
"目的","主题","店授","氣吉","object","subject"
"任务","使命","悉課","地撥","task","mission"
"网络","系统","掉郵","子身","network","system"
"忠诚","可信","門為","程領","loyal","faithful"
"三明治","汉堡包","比爺","土下","sandwich","hamburger"
"电影","剧院","售腰","俗哨","cinema","theater"
"典型的","经典的","市臉","片趕","typical","classic"
"检查员","专员","白離","數玉","inspector","commissioner"
"火箭","导弹","瞞賜","分跳","rocket","missile"
"感人的","惊人的","愛出","撤編","impressive","amazing"
"短裙","裙子","度閒","紙家","skirt","dress"
"狐狸","兔子","票睡","府遷","fox","rabbit"
"海盗","水手","補頭","多股","pirate","sailor"
"行政","政府","附微","情樂","administration","government"
"殖民地","联邦","征客","法攜","colony","federation"
"阴道","阴茎","域評","情入","vagina","penis"
"化学","生物学","求掛","心熊","chemistry","biology"
"化学","生物","測場","焊收","chemical","biological"
"传感器","发射机","言同","堪銜","sensor","transmitter"
"停留","保持","滑頒","尚向","stay","remain"
"区域","区","衝追","垢慌","area","zone"
"意识到","理解","蓋辦","胡等","realize","understand"
"记录","记录","謀姪","鎮任","record","recording"
"纸","笔","拆大","變勤","paper","pen"
"艰难的","难的","鋒豈","注遊","tough","hard"
"地面","地毯","批壓","吻油","floor","carpet"
"现金","钱","眺線","探疤","cash","money"
"简单地","简单的","情惠","爆之","simply","simple"
"艺术","文学","瘩燥","現球","art","literature"
"私人的","隐私","釀政","面航","private","privacy"
"绝对地","完全地","拳寒","到以","absolutely","completely"
"鸡","火鸡","博利","創匠","chicken","turkey"
"重量","高度","言用","熟罐","weight","height"
"细胞","监狱","去哀","馳進","cell","prison"
"挖","埋葬","興力","注譽","dig","bury"
"植物","花","弄勞","每海","plant","flower"
"单元","分配","補輸","巢好","unit","division"
"慢慢地","迅速地","護識","苦下","slowly","quickly"
"糖","巧克力","調草","上棄","sugar","chocolate"
"潜在的","天赋","龜免","閹解","potential","talent"
"链","绳索","蒙謝","城錢","chain","rope"
"首都","城市","憨期","餐心","capital","city"
"玩具娃娃","玩具","被詳","悔群","doll","toy"
"圆圈","三角形","雕面","割捷","circle","triangle"
"慈善机构","捐款","書止","膠果","charity","donation"
"无声","安静","作渾","士賬","silent","silence"
"指甲","齿","昏製","帝織","nail","tooth"
"日常的","每周","無鎮","玉拆","daily","weekly"
"耐心","同情","命菜","窺掉","patience","compassion"
"方法","技术","往庇","變意","method","technique"
"专辑","歌曲","開溫","源教","album","song"
"紧急","紧急情况","殖準","圓生","urgent","emergency"
"有礼貌的","友好的","上儀","然頭","polite","friendly"
"周年纪念日","生日","息畫","版坐","anniversary","birthday"
"狭窄","宽的","課道","光老","narrow","wide"
"瘟疫","流行性","出易","積次","plague","epidemic"
"拍卖","销售","速血","鎮錢","auction","sale"
"赞扬","礼物","車做","鍾丈","compliment","gift"
"野蛮","残忍的","霸汗","燒映","brutal","cruel"
"乘客","司机","景急","分失","passenger","driver"
"因素","元素","蓋權","鳥選","factor","element"
"内部的","外部的","扭立","主種","internal","external"
"讽刺","讽刺","弄特","衛犯","irony","ironic"
"南部","西","感戶","語數","southern","western"
"黑手党","卡特尔","好黨","淫帶","mafia","cartel"
"宇航员","飞行员","幽總","改花","astronaut","pilot"
"今天","昨天","閥瀆","貼雜","today","yesterday"
"工作","工作","生難","諺提","job","work"
"身体","尸体","打饋","修銅","body","corpse"
"一半","25美分硬币","冷蝗","伏專","half","quarter"
"麻烦","问题","夭直","行檸","trouble","problem"
"支持","帮助","印精","菜若","support","assistance"
"复仇","正义","林變","何多","revenge","justice"
"模型","原型","福定","軍送","model","prototype"
"允许","赞同","高金","腔言","permission","approval"
"胃","胸部","憑場","母室","stomach","chest"
"拒绝","接受","案疙","足蔭","refuse","accept"
"数据","信息","安名","刑別","data","information"
"全部的","完全的","管碎","澱圈","total","complete"
"收藏","收集","黯核","謠敵","collect","gather"
"愤怒","愤怒","做蓮","戰住","anger","rage"
"降低","上","庖獲","留投","lower","upper"
"路线","小路","燈韆","魚陰","route","path"
"环境","气氛","布素","曱有","environment","atmosphere"
"丛林","森林","校呼","處素","jungle","forest"
"机器人","机器","對板","後合","robot","machine"
"泥","沙","行達","壁裝","mud","sand"
"徽章","制服","照掉","海賀","badge","uniform"
"神经","肌肉","慢相","談持","nerve","muscle"
"清醒","醉","極漏","鷹浪","sober","drunk"
"组合","混合物","錢角","齊五","combination","mixture"
"淹","游泳","煙謝","礦人","drown","swim"
"阶段","时期","牆餞","節鄭","phase","period"
"阴谋","欺诈罪","璨地","尊去","conspiracy","fraud"
"闲话","丑闻","骨禁","揭頭","gossip","scandal"
"特权","荣誉","香鋁","考屬","privilege","honor"
"氏族","家庭","日竹","貌盤","clan","family"
"a片","电影","商伏","俸植","porn","movie"
"服务员","女服务员","炸坐","熱墊","waiter","waitress"
"奖金","报酬","幼焊","殘賄","bonus","reward"
"蜘蛛","昆虫","鐵嚷","量鋼","spider","insect"
"驴","马","正糞","心脫","donkey","horse"
"肾","肝","糖資","堅茶","kidney","liver"
"日历","日程","麵定","絲中","calendar","schedule"
"养老金","薪水","調霉","聚製","pension","salary"
"热情","热情","喧繞","手醫","enthusiasm","passion"
"自由","自由","產近","選子","freely","free"
"管辖权","权威","感叉","灣出","jurisdiction","authority"
"一团","营","事敵","子鋼","regiment","battalion"
"启发","灵感","統泥","童鋼","inspire","inspiration"
"终端","飞机场","青裝","手期","terminal","airport"
"瑜伽","按摩","直然","撰患","yoga","massage"
"骑兵","炮兵","弒淚","難盜","cavalry","artillery"
"民用","军队","協節","票供","civil","military"
"研讨会","演讲","和筆","撲走","seminar","lecture"
"阿司匹林","吗啡","鏡官","凍計","aspirin","morphine"
"dvd","视频","子袋","氣接","dvd","video"
"凯撒","罗马","橫趣","愛改","caesar","rome"
"安全的","安全的","春器","滿鎮","safe","secure"
"使固定","维修","士馬","驚迴","fix","repair"
"杀手","凶手","危封","牙精","killer","murderer"
"公平的","合理的","升翼","稅發","fair","reasonable"
"空的","满的","公力","圖落","empty","full"
"喂养","吃","煞管","世桿","feed","eat"
"双倍的","三倍","特人","經指","double","triple"
"遭受","死","榨急","國無","suffer","die"
"信用","贷款","疫掉","上窪","credit","loan"
"午夜","中午","帶應","抗手","midnight","noon"
"打断","打扰","指音","擊瀉","interrupt","disturb"
"状态","位置","蚓臥","軟醫","status","position"
"魅力","美丽","寬抗","滾煤","charm","beauty"
"互联网","网页","蜂學","茶紅","internet","web"
"射手","狙击手","解鐘","劇祕","shooter","sniper"
"疯狂","愚蠢","道農","腸節","madness","stupidity"
"平台","车站","景笑","然饉","platform","station"
"苹果","水果","液合","氣阻","apple","fruit"
"逃跑","逃脱","白情","地態","flee","escape"
"勺子","叉","奏位","斷射","spoon","fork"
"作坊","车库","子選","取莊","workshop","garage"
"热情好客","感激","出望","和援","hospitality","gratitude"
"土豆","番茄","琴跑","樓取","potato","tomato"
"院长","教授","紋租","樓情","dean","professor"
"折磨","酷刑","強寒","大掩","torment","torture"
"避难所","庇护所","熟綁","梅款","refuge","shelter"
"药片","丸","山局","違蹤","tablet","pill"
"静脉","动脉","導拖","管案","vein","artery"
"男爵","伯爵夫人","茶大","降不","baron","countess"
"公斤","公克","裂取","風姑","kilo","gram"
"卖方","买方","宜才","記翹","seller","buyer"
"帝國的","皇帝","迷石","鞋車","imperial","emperor"
"军团","军队","怒倒","低查","legion","army"
"驾驶","骑","狐台","駕禮","drive","ride"
"落下","坍塌","莽洗","陷矮","fall","collapse"
"脑","脑外","命右","死酷","brain","cerebral"
"教会","教堂","勾稿","地查","church","chapel"
"突然","不料","實古","順績","suddenly","unexpectedly"
"选择","选择","晚處","通剪","choose","select"
"店铺","店铺","懼於","葬慈","shop","store"
"月亮","太阳","越勢","推痰","moon","sun"
"营","村庄","台質","請物","camp","village"
"目的","意图","席局","纏稱","purpose","intention"
"柔软的","温和的","衰來","疑力","soft","gentle"
"碗","盘子","錢名","滾持","bowl","plate"
"闪耀","明亮的","是復","郵親","shine","bright"
"情妇","情人","蕉石","女想","mistress","lover"
"继续","继续","慘猛","號喝","proceed","continue"
"金的","银","對氈","解監","golden","silver"
"县","区","身完","活密","county","district"
"冲突","争议","案街","拼馬","conflict","dispute"
"靴子","鞋","輪場","事叉","boot","shoe"
"动物园","马戏团","墊動","田友","zoo","circus"
"工具","仪器","待麵","造凱","tool","instrument"
"错误","错误","下仿","讀鴿","error","mistake"
"多数","投票","內樂","為炒","majority","vote"
"杯","勋章","語費","戀抵","trophy","medal"
"可口","美味的","薑聚","流涼","tasty","delicious"
"唇","脸颊","下味","摧綽","lip","cheek"
"威严","高度","故育","藕尖","majesty","highness"
"技术的","机械的","聽貨","西正","technical","mechanical"
"蛋白质","维他命","礦筆","抄槍","protein","vitamin"
"罗盘","地图","魚平","醬探","compass","map"
"生锈","尘土飞扬","內刀","淨罪","rusty","dusty"
"牢牢","强烈","補往","樂蒼","firmly","strongly"
"激素","肾上腺素","預員","掌瞎","hormone","adrenaline"
"罗密欧","朱丽叶","戰透","密棋","romeo","juliet"
"夏洛克","沃森","簽流","到法","sherlock","watson"
"带来","发送","勸症","風壞","bring","send"
"食物","一顿饭","墊場","牧通","food","meal"
"最佳","底部","依頭","轉管","top","bottom"
"证据","证明","台心","跳妹","evidence","proof"
"受害者","攻击者","厄湯","梳版","victim","attacker"
"皮肤","组织","淫剷","體酒","skin","tissue"
"注意力","吸引","心睏","根倒","attention","attract"
"承认","承认","接以","和投","admit","confess"
"担心","紧张的","陰死","道汗","worried","nervous"
"海滩","沿海","道集","捕反","beach","coast"
"建议","建议","營移","淫劃","advice","advise"
"结果","结果","查子","露防","result","outcome"
"勇气","决心","農杉","線縮","courage","determination"
"荒谬的","荒诞","弱門","溜現","ridiculous","absurd"
"生病","生病的","風茶","乾報","ill","sick"
"字面上地","几乎","改美","擦文","literally","practically"
"设备","装备","傳怎","體手","equipment","equip"
"猴","大猩猩","去杜","題野","monkey","gorilla"
"宝藏","财富","漆教","會輒","treasure","wealth"
"要求","要求","請術","骨上","demand","request"
"部分","段落","頓票","重安","section","paragraph"
"平衡","和谐","市導","原倒","balance","harmony"
"动机","不在場證明","觸兄","正肉","motive","alibi"
"恢复","愈合","搬見","壇如","recover","heal"
"护送","陪伴","碰殘","窗百","escort","accompany"
"警报","警报","碎煎","物可","alert","alarm"
"评论","陈述","華理","材窩","comment","statement"
"高级的","初级","繩達","落戶","senior","junior"
"侮辱","得罪","油幫","叫亮","insult","offend"
"反抗","抵抗","與杯","一疑","resistance","resist"
"爆裂","爆炸","擾唱","耳切","burst","explode"
"志愿者","自愿","兵剪","防起","volunteer","voluntarily"
"喇叭","哨","熱限","有標","horn","whistle"
"反对","示范","朧業","岳亡","protest","demonstration"
"谦逊的","谦虚","醉絡","安黑","humble","modest"
"辉煌","荣耀","列彩","軟理","glorious","glory"
"幼稚的","愤世嫉俗","闊殘","體割","naive","cynical"
"青蛙","蜥蜴","塵醬","斷聚","frog","lizard"
"日落","黎明","激數","學項","sunset","dawn"
"昵称","姓","處賽","積文","nickname","surname"
"丝绸","棉","北油","求黃","silk","cotton"
"口红","香水","反偶","進山","lipstick","perfume"
"咳嗽","发热","會妓","聖住","cough","fever"
"层","表面","啟土","破人","layer","surface"
"大蒜","洋葱","惹介","執烤","garlic","onion"
"松鼠","狸","航罩","機集","squirrel","raccoon"
"金字塔","结构体","溫耳","貶覺","pyramid","structure"
"无知","傲慢","誦收","大彈","ignorance","arrogance"
"裸体","裸","名任","級指","nude","naked"
"船上","海军","出遺","擄罷","marine","navy"
"马拉松","种族","於守","洋盤","marathon","race"
"胶囊","探测","星思","調記","capsule","probe"
"中学","基本的","實試","家碎","secondary","primary"
"牛仔竞技","牛仔","凶青","共泊","rodeo","cowboy"
"文凭","毕业","不線","據空","diploma","graduate"
"障碍","挑战","勻魚","偏文","obstacle","challenge"
"高潮","勃起","貨體","不詞","orgasm","erection"
"半径","周长","頰火","普善","radius","perimeter"
"超人","蝙蝠侠","來瓷","承去","superman","batman"
"太平洋","大西洋","問錢","吃悶","pacific","atlantic"
"离开","放弃","投灘","讓舉","leave","abandon"
"查看","核实","召約","生點","check","verify"
"正面","后部","坐音","榮疹","front","rear"
"屁股","屁股","膀瓜","訊月","ass","butt"
"最后","最终","詐情","安火","finally","eventually"
"推","拉","縝負","界退","push","pull"
"应得","值得的","魚先","閉特","deserve","worthy"
"看法","看法","付滅","心焊","view","perspective"
"桌子","办公室","煙寄","鐵請","desk","office"
"演讲","讲道","氣報","世拿","speech","sermon"
"人群","观众","念衍","零慕","crowd","audience"
"吓","吓唬","阻箱","吼本","scare","frighten"
"无用","毫无价值","盛凡","出落","useless","worthless"
"加载","货物","席咪","區盛","load","cargo"
"活动","选举","看整","票言","campaign","election"
"扳机","启用","皈找","賤老","trigger","activate"
"对面的","相反","畜罐","遮延","opposite","contrary"
"赌博","扑克","到男","真力","gambling","poker"
"候选人","选民","浸軍","高週","candidate","voter"
"泵","软管","子堵","嫁管","pump","hose"
"致命","致命的","圃法","郵新","deadly","fatal"
"烤箱","火炉","水肉","達程","oven","stove"
"排除","消除","緒看","稱租","eliminate","remove"
"精美的","敏感的","尿航","函軌","delicate","sensitive"
"成人","父母","敘光","差賣","adult","parent"
"熔化","冻结","制激","理敵","melt","freeze"
"容量","能力","機監","發帽","capacity","ability"
"发生","发生","鼎剪","道種","occur","happen"
"贿赂","勒索","主支","設隔","bribe","blackmail"
"和","数量","充貫","牆追","sum","amount"
"保存","维持","版栽","短碰","preserve","maintain"
"爱好","运动","新罵","質婦","hobby","sport"
"猪肉","肉","工流","商草","pork","meat"
"锚","帆","參解","句溫","anchor","sail"
"鹅","鸭","萬公","棚利","goose","duck"
"碳","氢","散遭","療業","carbon","hydrogen"
"分段","片","霍髒","亭幼","fragment","piece"
"奉承","印象","義混","米辦","flatter","impress"
"平","丁","鬆居","常驚","ping","ding"
"原子","核","講斷","謝版","atomic","nuclear"
"诺贝尔","奖","飛狀","待環","nobel","prize"
"打","罢工","紙過","藏抱","hit","strike"
"语音","口音","稅子","焦罷","voice","accent"
"伙计","兄弟","孽憲","原怯","dude","bro"
"厨师","厨师","越自","爵與","cook","chef"
"警卫","巡逻","訂站","翻拯","guard","patrol"
"重的","重度","招除","石電","heavy","heavily"
"根据","总部","性湖","薪遠","base","headquarters"
"命运","命运","積掩","火權","fate","destiny"
"新鲜的","刷新","舖見","辱隊","fresh","refresh"
"可怕的","爬行","曲塘","友辦","scary","creepy"
"吸","舔","職標","直家","suck","lick"
"垃圾","垃圾","概爹","星液","trash","garbage"
"悲惨的","可怜的","品口","來誣","miserable","pathetic"
"安排","组织","弱賣","尖法","arrange","organize"
"概念","定义","戰題","為幸","concept","definition"
"提出","建议","牙住","迷送","propose","suggest"
"预算","资金","自吻","緊疆","budget","funding"
"品牌","产品","王拓","緊員","brand","product"
"接待","派对","蒸場","酒道","reception","party"
"吞","嚼","狹船","講居","swallow","chew"
"针","注射器","慳茶","導急","needle","syringe"
"联盟","团队","車奮","人沼","league","team"
"马夫","新娘","會豁","閃膽","groom","bride"
"饥饿","口渴","態滾","拋香","hunger","thirst"
"禁止","禁止","球卷","挑夜","forbidden","prohibit"
"无助","无力","熱進","懷間","helpless","powerless"
"粮食","面粉","想泥","笛火","grain","flour"
"贫困","苦难","勞音","紅大","poverty","misery"
"直觉","直觉","譯屋","火長","instinct","intuition"
"进化","突变","內失","去蘇","evolution","mutation"
"广告","营销","半疤","行舊","advertising","marketing"
"内阁","壁橱","菜調","包軸","cabinet","closet"
"低估","夸大","乳蹤","熒伍","underestimate","exaggerate"
"望远镜","显微镜","視運","畫崗","telescope","microscope"
"捆绑","领带","揚訓","莊診","bind","tie"
"保守","自由派","貪詣","素非","conservative","liberal"
"阀门","通风","古旅","貨熬","valve","ventilation"
"插入","放","子墮","狂牌","insert","put"
"腹泻","恶心","逃知","書逆","diarrhea","nausea"
"数量","质量","日稱","用裝","quantity","quality"
"自然的","人造的","令歷","詩僑","natural","artificial"
"偶然","故意地","文波","粉完","accidentally","intentionally"
"虫","蛇","某定","許表","worm","snake"
"保姆","女佣","橫義","癌紅","nanny","maid"
"邮票","签名","存議","資定","stamp","signature"
"飓风","龙卷风","世醬","罪主","hurricane","tornado"
"番茄酱","蛋黄酱","欄控","殿著","ketchup","mayonnaise"
"火药","炸药","遊公","欽字","gunpowder","dynamite"
"王朝","帝国","流奇","起民","dynasty","empire"
"导航","沟通","眼男","戶析","navigation","communication"
"服务","维护","量主","厄責","service","maintenance"
"额外的","额外的","缺湧","完到","extra","additional"
"金枪鱼","龙虾","現刷","擾砌","tuna","lobster"
"雇佣兵","刺客","統堵","示化","mercenary","assassin"
"分析师","研究者","口民","令椅","analyst","investigator"
"农历","太阳的","提藝","冬逼","lunar","solar"
"管理","行政的","熱開","出豐","management","administrative"
"不幸的","不幸","做隊","分准","unfortunate","misfortune"
"绑架","拐","籠血","癥酋","kidnap","abduct"
"小吃","午餐","搜解","浸差","snack","lunch"
"考试","检查","刺式","省筆","examination","inspection"
"辞职","解雇","債老","心要","resignation","dismissal"
"超自然","超自然","入豬","出問","supernatural","paranormal"
"卓越","卓越","親緊","飛疚","exceptional","remarkable"
"青少年","青少年","惡暑","馬鉗","teenage","teenager"
"脱氧核糖核酸","指纹","今藤","筒漆","dna","fingerprint"
"区域","当地的","貼玩","發押","regional","local"
"使能够","提供","工好","知開","enable","provide"
"烤宽面条","意大利面","低敢","事蹤","lasagna","spaghetti"
"新闻","政治","家尖","土冷","journalism","politics"
"解剖学","心理学","速共","改鬼","anatomy","psychology"
"肉桂","香草","嘗本","布歹","cinnamon","vanilla"
"无力","无法","子中","歸樓","inability","unable"
"间谍","破坏","平說","字受","espionage","sabotage"
"想像力","创造力","童打","道物","imagination","creativity"
"自然","一般来说","熟師","這洗","naturally","generally"
"偶尔","很少","崑罪","除讚","occasionally","rarely"
"惩罚","监禁","掌葉","光書","penalty","imprisonment"
"竞技场","战场","油中","位放","arena","battlefield"
"孤儿院","修道院","拍甜","凳匹","orphanage","convent"
"百万富翁","企业家","賄給","家筆","millionaire","entrepreneur"
"柠檬汽水","苏打","挑例","重祭","lemonade","soda"
"绑匪","赎金","功暖","爆境","kidnapper","ransom"
"操作","功能","腰頰","選水","operational","functional"
"字典","短语","稿肉","決質","dictionary","phrase"
"租户","房东","饒闖","周位","tenant","landlord"
"不合理","不负责任","人復","回福","unreasonable","irresponsible"
"耸人听闻","壮观的","懾困","誌菜","sensational","spectacular"
"财政上","融资","稿陪","水僻","financially","financing"
"时髦","优雅的","糠預","琴親","fashionable","elegant"
"雷管","计时器","附果","增退","detonator","timer"
"富于同情心","慷慨的","支乞","笑掛","compassionate","generous"
"兵工厂","军械库","榮戰","霄砲","arsenal","armory"
"海军","舰队","託子","澤且","naval","fleet"
"蜗牛","龟","價端","歲弦","snail","turtle"
"无政府状态","资本主义","歸體","廚死","anarchy","capitalism"
"污染","辐射","顛偏","船尉","contamination","radiation"
"脊","腹部","血暫","脫言","spinal","abdominal"
"个人的","亲密的","哲測","稿後","personal","intimate"
"最终的","最终的","紙精","遮慌","final","ultimate"
"管理","成功","念裝","性置","manage","succeed"
"可恶的","污秽","棉蜂","破羊","nasty","filthy"
"解释","合理的","好伸","差早","explanation","plausible"
"小憩","漫步","屋罵","尖眾","nap","stroll"
