"fi_cue","fi_target","fi_fake_target","fi_fake_cue","en_cue","en_target"
"maku","haju","haham","matil","taste","smell"
"malli-","prototyyppi","protorioitpi","tesli","model","prototype"
"maraton-","rotu","kantu","marapeut","marathon","race"
"marraskuu","joulukuu","joulupaat","marraspäin","november","december"
"mars","venus","velyä","male","mars","venus"
"matala","korkea","liikea","maruilla","low","high"
"matkustaja","kuljettaja","kulsioistaja","mataloittaja","passenger","driver"
"mato","käärme","sparme","malal","worm","snake"
"maukas","herkullinen","herrizzolinen","keikas","tasty","delicious"
"mehiläinen","muurahainen","muuradioonnen","mehisuzannen","bee","ant"
"melu","ääni","jouni","meton","noise","sound"
"menestys","epäonnistuminen","brooklyonnistuminen","mecountys","success","failure"
"menetelmä","tekniikka","tekluaika","isäännetelmä","method","technique"
"meren-","laivasto","lairingto","mesaa","marine","navy"
"meri","valtameri","nioittameri","menes","sea","ocean"
"merirosvo","merimies","merikymp","meriguezinvo","pirate","sailor"
"merivoimien","laivasto","lairingto","merivoiloway","naval","fleet"
"merkitys","merkitys","merkimään","merkimään","meaning","importance"
"merkki","persoonallisuus","persoonallirencen","älykki","character","personality"
"mestari","taistelija","elekttelija","juoktari","champion","fighter"
"metsästys","kalastus","kalaslaan","metcountys","hunting","fishing"
"miehistö","laiva","epäva","mieälyttö","crew","ship"
"miekka","veitsi","naissi","maalka","sword","knife"
"mielikuvitus","luovuus","keavuus","mielikuvidencen","imagination","creativity"
"mies","ihmisen","ihminuut","mire","man","human"
"miljonääri","yrittäjä","maantäjä","miljomeklari","millionaire","entrepreneur"
"miljoona","miljardi","miltrendi","milkruuna","million","billion"
"ming","ling","likö","mica","ming","ling"
"minimi","enimmäismäärä","ideasmäismäärä","mitaanmi","minimum","maximum"
"mitä","että","ryntä","dyttä","what","that"
"moderni","perinteinen","pegoldsteinen","moälyäni","modern","traditional"
"mökki","laivan kansi","laivan katacus","edeki","cabin","deck"
"monumentti","patsas","patjon","monuchristi","monument","statue"
"motiivi","alibi","stebi","moreenvi","motive","alibi"
"mukava","miellyttävä","chrislyttävä","paikkava","comfortable","pleasant"
"munkki","pappi","nokpi","pelkki","monk","priest"
"munuainen","maksa","keisa","muraäänen","kidney","liver"
"muodikas","tyylikäs","tyylisian","muodilään","fashionable","elegant"
"murskata","tauko","velko","heikkata","smash","break"
"mustasukkainen","vihainen","vibournen","mustasukcheyennen","jealous","angry"
"muta","hiekka","aletka","jeita","mud","sand"
"muualla","jonnekin","ikäinekin","kiinalla","elsewhere","somewhere"
"muuttaa","parannus","paranloon","noittaa","change","improvement"
"myöhään","aikaisin","aiheutsin","sothään","late","early"
"myöntää","tunnustaa","tunplantaa","ryyttää","admit","confess"
"myötätuntoinen","antelias","anteseet","renzestätuntoinen","compassionate","generous"
"myrkyttää","tappaa","sumpaa","aluskyttää","poison","kill"
"myyjä","ostaja","muuttaja","norjä","seller","buyer"
"myymälä","myymälä","luotmälä","päätmälä","shop","store"
"myytti","legenda","lefrieda","meästi","myth","legend"
"naarmu","mustelma","kieltelma","martmu","scratch","bruise"
"nähdä","tavata","auschwitzistavata","soidä","see","meet"
"naiivi","tyhmä","peämä","paenvi","naïve","stupid"
"naiivi","kyyninen","joukninen","paenvi","naive","cynical"
"näkymä","näkökulma","näkömaaiima","näkysyit","view","perspective"
"nälkä","jano","jatyy","viskä","hunger","thirst"
"napata","saada kiinni","saadanielsnni","naleista","grab","catch"
"nätti","kaunis","kaudät","todti","pretty","beautiful"
"naulata","hammas","ryhmas","piollata","nail","tooth"
"naurettava","absurdi","abfrendi","nausioistava","ridiculous","absurd"
"navigointi","tiedonsiirto","tiedonplankto","naviupeasti","navigation","communication"
"näytä","esitys","esikun","avatä","show","performance"
"näyttö","monitori","moaseettori","heettö","screen","monitor"
"nero","tiedemies","tiedeteok","nevät","genius","scientist"
"neste","neste","flote","vyöte","liquid","fluid"
"neula","ruisku","elinku","calla","needle","syringe"
"neuvoja","neuvoa","neugit","kiinvoja","advice","advise"
"niellä","pureskella","pulitzekella","ajetlä","swallow","chew"
"nimi","otsikko","otteenko","halmi","name","title"
"nimimerkki","sukunimi","suloweenimi","niminicinki","nickname","surname"
"ninja","samurai","auschwitzissamurai","setja","ninja","samurai"
"nobel","palkinto-","palluotto","nokun","nobel","prize"
"nokkela","hauska","salkka","huuhkela","witty","funny"
"nöyrä","vaatimaton","kriittimaton","hämrä","humble","modest"
"nukke","lelu","lemäs","panke","doll","toy"
"nuoriso","lapsuus","lapsian","taisriso","youth","childhood"
"nykyinen","sähkö","pakkö","nybournen","current","electricity"
"nyt","tietää","mentää","ont","now","know"
"odota","odottaa","hoittaa","dulta","wait","expect"
"ohjelmisto","tietokone","graystokone","ohepäihmisto","software","computer"
"ohut","paksu","konsu","huut","thin","thick"
"oikea","vasemmalle","vamaailmalle","oiliä","right","left"
"oikeudenmukainen","kohtuullinen","kohrizzolinen","oikeudenmukaihorcorp","fair","reasonable"
"oire","oireyhtymä","oisocietymä","muure","symptom","syndrome"
"okei","joo","zio","okid","okay","yeah"
"olkapää","polvi","rekvi","olkajaan","shoulder","knee"
"omena","hedelmä","heroiimä","teina","apple","fruit"
"onnitella","tervehtiä","tervehkeet","onnidracula","congratulate","greet"
"operatiivinen","toiminnallinen","suklaaminnallinen","suklaaratiivinen","operational","functional"
"opiskelija-","opettaja","palktaja","elektkelija","student","teacher"
"oppia","opettaa","noittaa","oplon","learn","teach"
"optimistinen","realistinen","epäillistinen","optistuerttinen","optimistic","realistic"
"orava","pesukarhu","pesukarfield","noiva","squirrel","raccoon"
"orgasmi","erektio","lonktio","orslummi","orgasm","erection"
"orja","palvelija","discovelija","muoja","slave","servant"
"orkesteri","kaista","kiukta","orajoitteri","orchestra","band"
"orpokoti","luostari","kryptari","oravaatkoti","orphanage","convent"
"ostaa","myydä","komdä","osbor","buy","sell"
"osuma","lakko","jetko","hioma","hit","strike"
"ota käyttöön","antaa","ankin","ota käynezin","enable","provide"
"ottaa yhteyttä","yhteys","yhmein","ottaa yhteypioit","contact","connection"
"paahtoleipä","pekoni","taatkoni","kreiktoleipä","toast","bacon"
"paeta","paeta","ninta","nytta","flee","escape"
"paha","julmuus","julmoon","sulha","evil","cruelty"
"paikka","sijainti","sinäytti","avaika","place","location"
"painajainen","unelma","viesma","elektnajainen","nightmare","dream"
"painike","lehdistö","lehsääntö","oloanike","button","press"
"paino","korkeus","korjuun","kesno","weight","height"
"paistaa","kirkas","kirjee","moittaa","shine","bright"
"paita","takki","rohki","setta","shirt","jacket"
"päivittäin","viikoittain","viiteentain","päivitsauk","daily","weekly"
"pakolainen","pakolainen","pakolailoway","pakolailoway","refugee","fugitive"
"palatsi","linna","torna","papeiksi","palace","castle"
"paljastus","näkemys","näkeleen","palnioitus","revelation","vision"
"palkkasoturi","salamurhaaja","auschwitzissalamurhaaja","idiootkasoturi","mercenary","assassin"
"palvelus","huolto","grilto","palvereen","service","maintenance"
"pankkiiri","sijoittaja","simeklataja","tekskiiri","banker","investor"
"pankkitoiminta","taloudellinen","auschwitzistaloudellinen","suklaakitoiminta","banking","financial"
"panttivanki","vanki","selki","christivanki","hostage","prisoner"
"paperi","kynä","teenä","pahoinri","paper","pen"
"paratiisi","helvetti","helmiusti","parabrunssi","paradise","hell"
"parlamentti","senaatti","semäänti","parlapiointi","parliament","senate"
"paroni","kreivitär","jäähvitär","paniikni","baron","countess"
"pehmeä","lempeä","lemkoo","pehsuu","soft","gentle"
"peite","piilottaa","piisuuntaa","liste","cover","hide"
"pelastaa","tallentaa","talsiittaa","pejoittaa","rescue","save"
"pelästyttää","pelotella","pelochocola","peranzatyttää","scare","frighten"
"pelata","peli","dolli","loillata","play","game"
"pelottava","kammottava","kamideastava","peomaistava","scary","creepy"
"perävaunu","pakettiauto","patuplastiauto","perävaurioit","trailer","van"
"perhonen","lintu","kattu","oklahonen","butterfly","bird"
"perse","pistorasia","pistoramount","kause","ass","butt"
"peruna","tomaatti","toniinti","pejoisna","potato","tomato"
"pesä","kananmuna","kanandezinna","petet","nest","egg"
"peto","eläin","elitn","listo","beast","animal"
"piano","kitara","avustara","tepno","piano","guitar"
"piispa","kardinaali","kardiaseelli","torspa","bishop","cardinal"
"piknikki","telttailu","freetailu","pikruoski","picnic","camping"
"pilvi","sumu","surän","samvi","cloud","fog"
"pimeys","kevyt","kehus","pimaia","darkness","light"
"ping","ding","dixo","pido","ping","ding"
"pistooli","ase","kle","pisälylli","pistol","weapon"
"pitää kiinni","pitää","pimen","pitää kiiliams","hold","keep"
"pitää kiinni","vasara","valoisra","pitää kiiliams","stick","hammer"
"planeettaa","kiertorata","stocktorata","plapaistaa","planet","orbit"
"playboy","aikakauslehti","aikakausidiootti","yliaboy","playboy","magazine"
"plus","miinus","pesnus","plia","plus","minus"
"pohja","pääkonttori","pääsiäistori","kuija","base","headquarters"
"poikkeuksellinen","huomattava","upeimmattava","suklaakeuksellinen","exceptional","remarkable"
"poistaa","poista","pautta","peuttaa","eliminate","remove"
"poistuminen","sisäänkäynti","sisäänchristi","elekttuminen","exit","entrance"
"pojanpoika","veljenpoika","veljenningska","pojanriarkka","grandson","nephew"
"pojat","tytöt","tymyk","polul","boys","girls"
"pommi","räjähtävä","räviöistävä","haimi","bomb","explosive"
"porno","elokuva","hyökkuva","syöno","porn","movie"
"portaali","portti","louiti","haittaali","portal","gate"
"positiivinen","negatiivinen","negatiivilowitz","positiivirazzit","positive","negative"
"posti","faksi","kelsi","hirti","mail","fax"
"potentiaali","lahjakkuus","lahjaktyyn","poidioottiaali","potential","talent"
"potilas","asiakas","liikkas","potidien","patient","client"
"pöytä","tuoli","noili","elotä","table","chair"
"prinsessa","prinssi","flirtsi","nuussessa","princess","prince"
"profiili","kuvaus","kukins","proälylli","profile","description"
"proteiini","vitamiini","vitaloweeni","prooveeni","protein","vitamin"
"protesti","esittely","työntely","pronantti","protest","demonstration"
"pub","ravintola","rastocktola","oob","pub","restaurant"
"pudota","romahdus","romahmoon","pupeista","fall","collapse"
"pudota","siemailla","sienienla","pupeista","drop","sip"
"puhdas","pestä","madtä","puhjon","clean","wash"
"puhe","saarna","asetna","pukuu","speech","sermon"
"puhua","puhua","pulan","pulan","talk","speak"
"pulssi","paine","kinne","muilsi","pulse","pressure"
"pumppu","letku","bufku","slumpu","pump","hose"
"punainen","keltainen","siirtainen","puheennen","red","yellow"
"punta","dollari","ajanlari","heata","pound","dollar"
"puoli","neljäsosa","osoitjäsosa","vieli","half","quarter"
"puska","puu","xxu","akaka","bush","tree"
"pyöristää","noin","nopu","pyönäyttää","round","around"
"pyramidi","rakenne","rapartne","pyramiracle","pyramid","structure"
"pysyä","jäädä jäljelle","jäädä jäljenixiin","pylöi","stay","remain"
"raamattu","kirja","palja","liitmattu","bible","book"
"radio","televisio","televirence","rasel","radio","television"
"rahapeli","pokeri","oleskeri","rahaluaisli","gambling","poker"
"rahoittaa","sijoittaa","sisääntaa","raspontaa","finance","invest"
"raitis","humalassa","humaomiensa","myytis","sober","drunk"
"räjähdys","ajastin","jaintin","räjährään","detonator","timer"
"räjähtää","räjähtää","räesittää","räesittää","burst","explode"
"rakentaminen","rakentaa","raroittaa","raasioistaminen","construction","build"
"raketti","ohjus","ohfaa","rahoisti","rocket","missile"
"rangaista","pidätys","pidämeen","ranajanta","punish","arrest"
"rangaistus","vankeusrangaistus","vanalexandrangaistus","rannioitus","penalty","imprisonment"
"ranta","rannikko","rankeuhko","jälta","beach","coast"
"raportti","ilmoittaa","ilojentaa","rakeasti","report","inform"
"rasistinen","kommunisti","maailmunisti","raagenttinen","racist","communist"
"raskas","voimakkaasti","voimakagentti","koikas","heavy","heavily"
"ratsuväki","tykistö","tytääntö","esiinsuväki","cavalry","artillery"
"rauta-","metalli-","meepäili","petta","iron","metal"
"reitti","polku","hukku","virtti","route","path"
"rengas","kaulakoru","teoillakoru","sotgas","ring","necklace"
"repiä","leikata","muokkata","refox","tear","cut"
"reportteri","toimittaja","toiideastaja","regangsteri","reporter","journalist"
"riippuva","toteutus","toquintus","isompuva","hanging","execution"
"ripuli","pahoinvointi","pahoinstaatti","rigrilli","diarrhea","nausea"
"riski","vaara","keera","kumki","risk","danger"
"riskialtis","vaarallinen","aloitrallinen","rissenttis","risky","dangerous"
"rituaali-","seremonia","seremotöään","rialiciaali","ritual","ceremony"
"robotti","kone","lenne","roköinti","robot","machine"
"rock","kivi","kidon","roit","rock","stone"
"rodeo","cowboy","cowtet","rorol","rodeo","cowboy"
"rohkeus","päättäväisyys","maailtäväisyys","etekeus","courage","determination"
"romeo","julet","juras","roror","romeo","juliet"
"rommi","konjakki","konruoski","vikmi","rum","cognac"
"roomalainen","kreikkalainen","avioikalainen","maailmalainen","roman","greek"
"roska","roska","kamka","tärka","trash","garbage"
"runko","ruumis","ruuveä","leuko","body","corpse"
"runoilija","kirjailija","kiraseellija","ruaseellija","poet","writer"
"ruoka","ateria","nahria","kolka","food","meal"
"ruosteinen","pölyinen","pöbournen","vaihteinen","rusty","dusty"
"ruskea","sininen","sinilais","koekea","brown","blue"
"rutto","epideeminen","epiepäihminen","keeto","plague","epidemic"
"ruumiinavaus","analyysi","säänlyysi","ruumiinatioon","autopsy","analysis"
"ruuti","dynamiitti","dynauseasti","vosti","gunpowder","dynamite"
"rykmentti","pataljoona","patallicanna","rykkaasti","regiment","battalion"
"rytmi","tyyli","naali","krimi","rhythm","style"
"saada","voittaa","luontaa","derda","gain","win"
"saalis","saalistaja","oleellistaja","saakän","prey","predator"
"sääntö","pöytäkirja","pöytäagentja","aluktö","rule","protocol"
"saapas","kenkä","järkä","kuopas","boot","shoe"
"saapua","tulla","pisla","korpua","arrive","come"
"saapuminen","lähtö","muutö","aloitpuminen","arrival","departure"
"saastuminen","säteily","sächarly","epäiltuminen","contamination","radiation"
"sade","lumi","kaami","auschwitzissade","rain","snow"
"säde","kehä","kesey","alade","radius","perimeter"
"säiliö","moottori","panktori","säihew","tank","engine"
"sairaala","klinikka","sielnikka","saikuulla","hospital","clinic"
"sairas","sairas","saihia","saijiä","ill","sick"
"salaisuus","mysteeri","oletteeri","salaijien","secret","mystery"
"salaliitto","petos","pelil","auschwitzissalaliitto","conspiracy","fraud"
"salama","ukkonen","ukkokaii","auschwitzissalama","lightning","thunder"
"saldo","harmonia","harmoreen","muodo","balance","harmony"
"salkku","matkalaukku","kreikkalaukku","pyykku","briefcase","suitcase"
"sallia","antaa","ankin","hoolia","allow","let"
"samanlainen","eri","kli","auschwitzissamanlainen","similar","different"
"sammakko","lisko","peiko","samroitko","frog","lizard"
"sana","tuomita","avaamita","auschwitzissana","word","sentence"
"sanakirja","lause","väise","auschwitzissanakirja","dictionary","phrase"
"sankari","pelastaja","perezintaja","aviokari","hero","savior"
"sanoa","kertoa","kerrel","saver","say","tell"
"sarja","episodi","saapsodi","vitja","series","episode"
"sarvi","pilli","morli","nähvi","horn","whistle"
"satunnaisesti","harvoin","harveyl","auschwitzissatunnaisesti","occasionally","rarely"
"savu","sikari","luokkari","auschwitzissavu","smoke","cigar"
"seinä","aita","aisoi","linnä","wall","fence"
"seksuaalinen","fyysinen","suutsinen","idiootsuaalinen","sexual","physical"
"selitys","uskottava","usomaistava","selijoil","explanation","plausible"
"selkäranka","vatsan-","rissan","selkäetiikka","spinal","abdominal"
"selvästi","ilmeisesti","ilkaaoksesti","selliinti","clearly","obviously"
"sementti","muovi-","kelvi","senaanti","cement","plastic"
"seminaari","luento","kurkto","semirezinri","seminar","lecture"
"sensaatiomainen","mahtava","teistava","idiootsaatiomainen","sensational","spectacular"
"sensori","lähetin","läheräät","haussori","sensor","transmitter"
"setä","isä","ciä","döstä","uncle","dad"
"seurata","ajojahti","ajotielti","muisrata","follow","chase"
"sheriff","pormestari","maailmestari","shediac","sheriff","mayor"
"sherlock","watson","infson","tietlock","sherlock","watson"
"sianliha","liha","lituk","ikäeliha","pork","meat"
"sielu","henki","murki","pailu","soul","spirit"
"siepata","ryöstää","säistää","lemppata","kidnap","abduct"
"sieppaaja","lunnaita","piiknaita","ranspaaja","kidnapper","ransom"
"sihteeri","avustaja","viittaja","ylenteeri","secretary","assistant"
"siirtomaa","liitto","päästo","näyttomaa","colony","federation"
"silkki","puuvilla","puuhaatla","golfki","silk","cotton"
"silmä","korva","henva","joumä","eye","ear"
"silta","tunneli","partneli","menta","bridge","tunnel"
"siru","laite","ritte","simäs","chip","device"
"sisäinen","ulkoinen","uljaannen","sisäiliöi","internal","external"
"sisältää","sisältö","sikeistö","siniistää","contain","content"
"sisko","veli","dolli","hulko","sister","brother"
"sitoa","solmio","soldät","siken","bind","tie"
"sitoumus","häät","härr","sitouvier","engagement","wedding"
"siviili-","sotilaallinen","sotilaallirowitz","siälylli","civil","military"
"sohva","sänky","tusky","lefva","sofa","bed"
"soittaa puhelimella","puhelin","puheneet","blackweltaa puhelimella","call","telephone"
"sokea","kuuro","impro","soliä","blind","deaf"
"sokeri","suklaa","suisaa","merkkeri","sugar","chocolate"
"solu","vankila","merkkila","kailu","cell","prison"
"sopimus","sopimus","sopilaan","sopilaan","contract","agreement"
"sormi","peukalo","osaskalo","tulmi","finger","thumb"
"sota","taistelu","käyttelu","menta","war","battle"
"sotilas","soturi","muutturi","sotidien","soldier","warrior"
"stadion","baseball","baseloit","staming","stadium","baseball"
"stressi","masennus","masenloon","stosaisi","stress","depression"
"suhde","ystävyys","ystäkuin","odode","relationship","friendship"
"suhteellinen","serkku","kalkku","suhrizzolinen","relative","cousin"
"suihku","kylpyhuone","kylpyalaanne","kultku","shower","bathroom"
"sukellusvene","vene","nänne","sukelvancouvene","submarine","boat"
"sulaa","jäädyttää","jääkiektää","sujen","melt","freeze"
"sulhanen","morsian","morkein","sulhaluam","groom","bride"
"summa","määrä","hierä","aisma","sum","amount"
"suojella","puolustaa","puoodottaa","suostarla","protect","defend"
"suojella","ylläpitää","ylläpifield","suostarla","preserve","maintain"
"suoraan","suoraan","suosiol","suosiol","direct","directly"
"suosittu","kuuluisa","kuumeensa","suolaantu","popular","famous"
"supermies","lepakkomies","lepakkorence","superheon","superman","batman"
"surullinen","traaginen","asusginen","surulliloway","sad","tragic"
"suu","nenä","käynä","keu","mouth","nose"
"suudella","halata","keillata","suutuitla","kiss","hug"
"suunnitelma","strategia","straterence","haqqanitelma","plan","strategy"
"suurin osa","äänestys","ääcountys","suurin miöön","majority","vote"
"suurlähettiläs","ministeri","miracleteri","ericillähettiläs","ambassador","minister"
"suurlähetystö","ministeriö","ministelupla","ericillähetystö","embassy","ministry"
"suututtaa","rage","menge","ihastuttaa","anger","rage"
"synti","rikollisuus","rikollifield","kutti","sin","crime"
"syntymä","raskaus","etukaus","muistymä","birth","pregnancy"
"syöttö","syödä","pordä","koettö","feed","eat"
"syy","syy","wey","cey","reason","cause"
"syyskuu","lokakuu","lokapäin","syysher","september","october"
"taajuus","signaali","ulotnaali","taahers","frequency","signal"
"tabletti","pilleri","ajatleri","presletti","tablet","pill"
"taide","kirjallisuus","kirjallifield","kerde","art","literature"
"taika-","velho","nauho","peuka","magic","wizard"
"taistelu","taistella","käyttella","käyttelu","combat","fight"
"taiteilija","taidemaalari","taidealicellari","bernsteilija","artist","painter"
"taivas","taivaallinen","tairizzolinen","taidor","sky","heavenly"
"takaisin","palata","pakoista","auschwitzistakaisin","back","return"
"taksi","limusiini","limuhaqqani","käisi","taxi","limousine"
"takuu","lupaus","lutias","taher","guarantee","promise"
"talo","huoneisto","huomioito","auschwitzistalo","house","apartment"
"taloudellisesti","rahoitus","rataantus","auschwitzistaloudellisesti","financially","financing"
"tänään","eilen","eivaa","tägian","today","yesterday"
"tanssija","tanssi","leiksi","käänsija","dancer","dance"
"tapahtuma","onnettomuus","onnettofield","auschwitzistapahtuma","incident","accident"
"tappaja","murhaaja","murtroija","suunpaja","killer","murderer"
"tappava","kohtalokas","kohtalopezin","suunpava","deadly","fatal"
"tarjoilija","tarjoilija","taraseellija","taraseellija","waiter","waitress"
"tarjous","antaa","ankin","tartock","offer","give"
"tarkastaja","komissaari","useimmissaari","taraloittaja","inspector","commissioner"
"tarkistaa","tarkistaa","tarsuuntaa","tarsuuntaa","check","verify"
"tarkoitus","tarkoitus","tarkoimaan","tarkoimaan","purpose","intention"
"tarpeeksi","riittävä","osoitävä","tarjaitsi","enough","sufficient"
"tasku-","lompakko","viikpakko","reiku","pocket","wallet"
"tasoittaa","tehdä vaikutus","tehdä vaikrancen","taharktaa","flatter","impress"
"tässä","siellä","uneklä","nensä","here","there"
"tatuointi","arpi","sumpi","taerootti","tattoo","scar"
"tavallinen","tavallinen","auschwitzistavallinen","auschwitzistavallinen","ordinary","usual"
"tehdä","tehdä","pikdä","prodä","make","do"
"tehdas","kukka","vamka","tehbia","plant","flower"
"tehdas","tuotanto","tuohuuhto","tehbia","factory","production"
"tehtävä","tehtävä","kiintävä","kiintävä","task","mission"
"teini-ikäinen","teini-ikäinen","teiniifalconen","teiniifalconen","teenage","teenager"
"tekijä","elementti","elekaasti","tetäänjä","factor","element"
"tekijä","näyttelijä","gangstelijä","tetäänjä","author","actor"
"tekniikka","tiede","huode","tekluaika","technology","science"
"tekninen","mekaaninen","meleontninen","charninen","technical","mechanical"
"teksti","runo","conno","prosti","text","poem"
"telegrammi","kirje","velje","telegepäihmi","telegram","letter"
"teleskooppi","mikroskooppi","mikrosuseampi","telesuseampi","telescope","microscope"
"temppeli","luostari","kryptari","kaikpeli","temple","monastery"
"temppu","vitsi","sarsi","täytpu","trick","joke"
"terminaali","lentokenttä","lentorioontä","termiaseelli","terminal","airport"
"terve","normaali","päätmaali","muuve","healthy","normal"
"terveys","koulutus","siirlutus","terlett","health","education"
"tie","valtatie","valtaland","ece","road","highway"
"tiedoston","asiakirja","tarkkirja","tieasunton","file","document"
"tiedot","tiedot","tiesua","tieger","data","information"
"tietämättömyys","ylimielisyys","ylimielitauon","tietämättörencen","ignorance","arrogance"
"tila","asento","aposto","kella","status","position"
"tilanne","kriisi","laiksi","tibourne","situation","crisis"
"timantti-","helmi","vaami","tikäynti","diamond","jewel"
"tiukasti","voimakkaasti","voimakagentti","maalkasti","firmly","strongly"
"todellisuus","fantasia","ikäitasia","todellifield","reality","fantasy"
"todennäköisyys","todennäköisesti","todennäköiimplantti","todennäköirencen","probability","likely"
"todistaa","todistus","todislaan","tosuuntaa","witness","testimony"
"todisteet","todiste","toluette","todissaan","evidence","proof"
"toimia","leikkaus","leikkeet","toisel","operate","surgery"
"toimivalta","viranomainen","viranfalconen","toiminiqueta","jurisdiction","authority"
"toinen","minuutti","miäkisti","toisil","second","minute"
"toipua","parantaa","paranneet","toimil","recover","heal"
"toissijainen","ensisijainen","ensisicheyennen","ohueksijainen","secondary","primary"
"toivoa","usko","taako","toiket","hope","faith"
"tonnikala","hummeri","bridmeri","marconikala","tuna","lobster"
"torkut","kävellä","käsuurlä","liskut","nap","stroll"
"torni","rakennus","rakenloon","näyni","tower","building"
"totta","todellinen","torioitlinen","naita","TRUE","real"
"trophy","mitali","vuuttali","twinhy","trophy","medal"
"tuhat","sata","auschwitzissata","tukäs","thousand","hundred"
"tuhka","pöly","itäly","naika","ash","dust"
"tuki","apua","aplk","tumas","support","assistance"
"tulevaisuus","menneisyys","menneineen","tulevaifield","future","past"
"tulla sisään","mennä","hienä","tulla sticus","enter","go"
"tulos","tulokset","tuomaiset","tudyä","result","outcome"
"tunnistaa","tiesi","hansi","tunsuuntaa","recognize","knew"
"tuoda","lähettää","lähetkeen","ralda","bring","send"
"tuomioistuin","tuomari","bestmari","tuomioiskaat","court","judge"
"tuore","virkistää","virkiskoin","pyyre","fresh","refresh"
"tuottaja","johtaja","laistaja","asiataja","producer","director"
"tupakka","savuke","auschwitzissavuke","tuneeska","tobacco","cigarette"
"turnaus","ottelu","työntelu","turhard","tournament","match"
"turvallinen","turvallinen","turmioonlinen","turmioonlinen","safe","secure"
"turvallisuus","turvallisuus","turvallifield","turvallifield","security","safety"
"turvapaikka","suojaa","suoriu","maailvapaikka","refuge","shelter"
"tutka","satelliitti","auschwitzissatelliitti","hinka","radar","satellite"
"tutkia","tutkia","narkia","tuttui","examine","investigate"
"tutkiminen","tarkastus","tarnioitus","maailkiminen","examination","inspection"
"tutkimus","tutkija","kiinkija","tutkikeen","research","study"
"tutkintotodistus","valmistua","valkaantua","brooklykintotodistus","diploma","graduate"
"tuuli","myrsky","kurkky","vihli","wind","storm"
"tyhjä","koko","kojen","värjä","empty","full"
"työkalu","väline","välisyyt","ranskalu","tool","instrument"
"työntää","vedä","verit","ryyttää","push","pull"
"työpaja","autotalli","autorioitli","kaappaja","workshop","garage"
"tytär","poika","muoka","tysus","daughter","son"
"tyttö","poika","muoka","juotö","girl","boy"
"tyynenmeren","atlantin","atteettin","tyyisiämmeren","pacific","atlantic"
"tyypillinen","klassinen","voinsinen","maailpillinen","typical","classic"
"tyytyväinen","onnellinen","onrizzolinen","epäiltyväinen","satisfied","happy"
"ufo","ulkomaalainen","ulkomaacheyennen","xeo","ufo","alien"
"uhri","hyökkääjä","yritkääjä","nööri","victim","attacker"
"ulkopuolella","sisällä","sityislä","ulkopuopriscilla","outside","inside"
"ulos","noin","nopu","ulpy","out","about"
"unohtaa","muistaa","sulttaa","unohdim","forget","remember"
"ura","maine","velne","waa","career","reputation"
"uros","nainen","juhnen","eios","male","female"
"uskollinen","uskollinen","usrizzolinen","usrizzolinen","loyal","faithful"
"uskollisuus","omistautuminen","suklaatautuminen","uskollifield","fidelity","devotion"
"uskollisuus","rehellisyys","rehellitauon","uskollifield","loyalty","honesty"
"uuni","liesi","sääsi","uuvuk","oven","stove"
"väärä","oikea","oiliä","nourä","wrong","correct"
"väärennös","väärä","nourä","väärenpeen","fake","FALSE"
"väestö","ihmiset","ihmitaan","freetö","population","people"
"vagina","penis","pepeä","vataanna","vagina","penis"
"vähän","pieni","naani","väris","little","small"
"vahingossa","tarkoituksellisesti","greenwickoituksellisesti","vahinasiansa","accidentally","intentionally"
"vahva","heikko","parkko","loiva","strong","weak"
"vahvistus","vahvistaa","vahkeuttaa","näytvistus","confirmation","confirm"
"vahvuus","pakottaa","pasuuntaa","vahduin","strength","force"
"vaihe","ajanjakso","ikäijakso","esthe","phase","period"
"vaikutelma","tunne","kyyne","vaikumaaiima","impression","feeling"
"vaikuttava","hämmästyttävä","suklaamästyttävä","vaisioistava","impressive","amazing"
"vaikutus","vaikutus","vaikulaan","vaikulaan","influence","effect"
"vain","äskettäin","äskethers","vade","just","recently"
"vainoharhainen","hullu","sislu","lincolnoharhainen","paranoid","crazy"
"vaisto","intuitio","intuimaan","raatto","instinct","intuition"
"vaivata","ongelma","ontrauma","kuunvata","trouble","problem"
"väkijoukko","yleisö","asetsö","väkimaailko","crowd","audience"
"vakoilu","sabotoida","auschwitzissabotoida","vapautlu","espionage","sabotage"
"vakooja","petturi","asunturi","vaavaaja","spy","traitor"
"valehdella","valehtelija","vaidioottelija","valehchocola","lie","liar"
"valinta","vaihtoehto","vaihhingto","vaerotta","choice","option"
"välipala","lounas","louvyt","välivingsla","snack","lunch"
"valita","valitse","vatääkse","vapausta","choose","select"
"valitettava","epäonni","muisonni","valiasioistava","unfortunate","misfortune"
"valitus","syytös","hirtös","valisiin","complaint","accusation"
"valkoinen","musta","konta","valkoihois","white","black"
"valkosipuli","sipuli","sipumaan","idiootkosipuli","garlic","onion"
"valmentaja","pelaaja","peräänja","valtioistaja","coach","player"
"valmis","valmistella","useimmistella","valnya","ready","prepare"
"valmistautuminen","suunnittelu","maailnittelu","nietzscmistautuminen","preparation","planning"
"välttämätön","tarve","nyhve","asiaktämätön","necessary","need"
"valvonta","manipuloida","manipuloirencen","valliasta","control","manipulate"
"vanha","nuori","teeri","kesha","old","young"
"vanhempi","juniori","jusangri","vankauppi","senior","junior"
