"fi_target","fi_cue","type","target_type","cue_type","fi_cosine"
"happi","sulhanen","unrelated","word","word",0.236891519295325
"tapahtuma","huutokauppa","unrelated","word","word",0.294537793731771
"ilo","häviäjä","unrelated","word","word",0.131894382062159
"nuolla","välttämätön","unrelated","word","word",-0.022867898278798
"inspiraatio","luonnollinen","unrelated","word","word",0.227105172509041
"intohimo","saastuminen","unrelated","word","word",0.201875071844664
"arkkitehti","stadion","unrelated","word","word",0.207885014848354
"verkko","timantti-","unrelated","word","word",NA
"ironinen","vuosisata","unrelated","word","word",0.143486716309339
"äiti","ruskea","unrelated","word","word",0.149036388759913
"valtava","hiukset","unrelated","word","word",0.118060042932047
"kaupunki","vapaasti","unrelated","word","word",0.0864884233852028
"isoäiti","tarkistaa","unrelated","word","word",0.134236840377152
"todella","tietämättömyys","unrelated","word","word",0.154892320169989
"murhata","neste","unrelated","word","word",0.050104835555186
"itsekäs","himoita","unrelated","word","word",0.256129544903388
"kohta","lusikka","unrelated","word","word",0.189097366665222
"kakku","navigointi","unrelated","word","word",0.0595349672066596
"urhea","paroni","unrelated","word","word",0.25893545021806
"istua","soittaa puhelimella","unrelated","word","word",NA
"mielenkiintoista","ulkopuolella","unrelated","word","word",0.123302564307842
"järjestää","kokea","unrelated","word","word",0.228276066691278
"johtaja","huulipuna","unrelated","word","word",0.0705986976638091
"bro","vihata","unrelated","word","word",0.230194415566706
"luopua","kiireellinen","unrelated","word","word",0.110939965355057
"viettää","leima","unrelated","word","word",0.109989785272463
"musiikki","tyypillinen","unrelated","word","word",0.12954804465317
"kuorma-auto","ehdottaa","unrelated","word","word",NA
"ryhmä","korvata","unrelated","word","word",0.0997720989153361
"edelleen","artikla","unrelated","word","word",0.193178349412379
"työ","taika-","unrelated","word","word",NA
"pomo","vartija","unrelated","word","word",0.211156202589256
"hallinnollinen","ilkeä","unrelated","word","word",0.310000774595704
"oletus","lääni","unrelated","word","word",0.101145258431039
"järvi","kirous","unrelated","word","word",0.195992905556757
"hieronta","dekaani","unrelated","word","word",0.24536128261915
"usein","käsi","unrelated","word","word",0.0381550921154862
"loma-","onnitella","unrelated","word","word",NA
"politiikka","sitoa","unrelated","word","word",0.113323225571079
"tähti","ninja","unrelated","word","word",0.241846185400738
"julma","sallia","unrelated","word","word",0.272453698544045
"jumalallinen","viehättävä","unrelated","word","word",0.220923227064295
"olut","suu","unrelated","word","word",0.217821387886285
"skandaali","jännittävä","unrelated","word","word",0.207343302949591
"kävellä","suurlähettiläs","unrelated","word","word",0.0920188001897957
"sekaannus","mato","unrelated","word","word",0.240022692286308
"lanka","analyytikko","unrelated","word","word",0.18756531377424
"kaappi","aavikko","unrelated","word","word",0.143204152085032
"polttoaine","ufo","unrelated","word","word",0.107158213969584
"saattaa loppuun","yritys","unrelated","word","word",NA
"haudata","hiili","unrelated","word","word",0.20728440418818
"neljäs","maa","unrelated","word","word",0.186816491089492
"kolminkertaistaa","avaaminen","unrelated","word","word",0.160698168490067
"ajoittaa","aarre","unrelated","word","word",0.067849141178002
"bullet","keskiyöllä","unrelated","word","word",0.0952509399556078
"halpa","vieraanvaraisuus","unrelated","word","word",0.13418549624016
"mikrofoni","ikuinen","unrelated","word","word",0.0926449432498452
"vaalit","sota","unrelated","word","word",0.301659301145235
"turkki","sanoa","unrelated","word","word",0.148076675695379
"uutiset","pöytä","unrelated","word","word",0.0634245872196958
"vanilja","salkku","unrelated","word","word",0.161065197509221
"nenäliina","sade","unrelated","word","word",0.250878060660588
"maailman-","koripallo","unrelated","word","word",NA
"maailmanlaajuinen","leiri","unrelated","word","word",0.162277706347305
"kyky","peruna","unrelated","word","word",0.191555684052236
"leveä","avata","unrelated","word","word",0.259260130681281
"pala","koko","unrelated","word","word",0.102823825092917
"koetin","runko","unrelated","word","word",0.0858572765088504
"susi","posti","unrelated","word","word",0.180125692945418
"festivaali","monumentti","unrelated","word","word",0.275124770161858
"kuolla","este","unrelated","word","word",0.0601216237192094
"kipu","luu","unrelated","word","word",0.274610715838758
"kiduttaa","paratiisi","unrelated","word","word",0.135874671841743
"myötätunto","taajuus","unrelated","word","word",0.195988931324358
"varsi","rangaistus","unrelated","word","word",0.204157273241342
"menettely","ehdottomasti","unrelated","word","word",0.16179737173774
"syöpä","saldo","unrelated","word","word",0.0747873863660871
"raha","kerma","unrelated","word","word",0.180076551785551
"kristillinen","hae","unrelated","word","word",0.117812302553179
"katsella","lääketieteellinen","unrelated","word","word",0.0803250620560092
"kamala","mukava","unrelated","word","word",0.396064264558261
"pelko","miljoona","unrelated","word","word",0.0989183700588125
"kauppias","paistaa","unrelated","word","word",0.170331109745069
"käyttää","hämähäkki","unrelated","word","word",0.127634761174861
"poliitikko","kosto","unrelated","word","word",0.0965911306092037
"keisari","suurin osa","unrelated","word","word",NA
"salaatti","koodi","unrelated","word","word",0.226493105338858
"biologia","vaikutus","unrelated","word","word",0.237616344214327
"biologinen","suhde","unrelated","word","word",0.252545977227047
"kerätä","kohtuuton","unrelated","word","word",0.0606109360165897
"kastike","olkapää","unrelated","word","word",0.121674548143199
"pinta-","luottamus","unrelated","word","word",NA
"luutnantti","esine","unrelated","word","word",0.098955440574386
"talvi-","viini","unrelated","word","word",NA
"heinäkuu","sairas","unrelated","word","word",0.134469020097056
"häiritä","kunnollinen","unrelated","word","word",0.0681577575432168
"keskity","lopullinen","unrelated","word","word",0.105269430419106
"keskipäivä","henkilökohtainen","unrelated","word","word",0.20531856672164
"keskustelu","lomake","unrelated","word","word",0.193365186388246
"köysi","voitto","unrelated","word","word",0.136626886266602
"majoneesi","porno","unrelated","word","word",0.190940059344956
"kani","vaikutelma","unrelated","word","word",0.059955088261307
"syksy","potilas","unrelated","word","word",0.0929767332989692
"kieltää","crack","unrelated","word","word",0.099014463151864
"hyväksyä","solu","unrelated","word","word",0.102592486470518
"konsertti","korjata","unrelated","word","word",0.0642292333929174
"omistaja","amatööri","unrelated","word","word",0.23675395165926
"hätä","lattia","unrelated","word","word",0.135154958195574
"kiittää","ketsuppi","unrelated","word","word",0.115630192222696
"hypätä","näyttö","unrelated","word","word",0.100650649820783
"gramma","hulluus","unrelated","word","word",0.142246248560857
"mittari","esine","unrelated","word","word",0.274742810612946
"mestaruus","kurkku","unrelated","word","word",0.0432713128254877
"panssari","meri","unrelated","word","word",0.200644062859774
"käytännössä","rodeo","unrelated","word","word",0.0875422222302258
"museo","imeä","unrelated","word","word",0.0617259851093357
"paketti","sokeri","unrelated","word","word",0.281142392258976
"kappeli","varastaa","unrelated","word","word",0.118748658809784
"noita","kaivaa","unrelated","word","word",0.157130257956826
"lääkäri","kappale","unrelated","word","word",0.0940558364070788
"ihana","lähde","unrelated","word","word",0.10214581369571
"ase","filosofia","unrelated","word","word",0.168045087368513
"öljy","sopimus","unrelated","word","word",0.244968899196078
"perhe","kuunnella","unrelated","word","word",0.140369201343917
"baari","elokuva","unrelated","word","word",0.231281338246287
"testata","lauantai","unrelated","word","word",0.0320033154541401
"osoittaa","yksinkertaisesti","unrelated","word","word",0.174382247396399
"kohtalo","valmentaja","unrelated","word","word",0.149750967168355
"lahja","lukeminen","unrelated","word","word",0.0997615817786636
"ystävällinen","kaksi","unrelated","word","word",0.120038603904803
"vastuuton","uskollinen","unrelated","word","word",0.310837435601279
"kissa","vapaus","unrelated","word","word",0.169053141319402
"heroiini","emäntä","unrelated","word","word",0.101460398225015
"tieto","menestys","unrelated","word","word",0.242573838842247
"kokki","vihreä","unrelated","word","word",0.0732638856653925
"pituus","kesä","unrelated","word","word",0.136891368533848
"ystävä","todistaa","unrelated","word","word",0.0898026734151168
"neljäs","maku","unrelated","word","word",0.0912410773769438
"kapteeni","katso","unrelated","word","word",0.0332252038933015
"tilaus","raskas","unrelated","word","word",0.171437217937103
"komitea","tilanne","unrelated","word","word",0.0920361346074324
"lausunto","idea","unrelated","word","word",0.254118561714571
"kartta","kärsimys","unrelated","word","word",0.16121200401697
"tapaaminen","muodikas","unrelated","word","word",0.235585642073328
"riita","valita","unrelated","word","word",0.127283167668522
"teräs","nobel","unrelated","word","word",0.0687053521569528
"määritelmä","ikuinen","unrelated","word","word",0.266190915126355
"liberaali","saapas","unrelated","word","word",0.187009713107719
"salasana","lupa","unrelated","word","word",0.265346592579422
"jalkapallo","kapasiteetti","unrelated","word","word",0.222624196242986
"korjaus","kaasu","unrelated","word","word",0.134840946911905
"korvata","tuki","unrelated","word","word",0.218026092527716
"huoli","toissijainen","unrelated","word","word",0.104298682562304
"oikeus","ansaitseva","unrelated","word","word",0.194134879888632
"bussi","hoito","unrelated","word","word",0.209543541423932
"kova","maa","unrelated","word","word",0.118750558804569
"kurjuus","siru","unrelated","word","word",0.134527197582394
"laskea","oikea","unrelated","word","word",0.148135162297651
"poliittinen","internet","unrelated","word","word",0.298917728831024
"valtaistuin","puska","unrelated","word","word",0.161896896158982
"märkä","kiitollinen","unrelated","word","word",0.281430372227312
"vuori","ambulanssi","unrelated","word","word",0.121903584302246
"lautanen","tässä","unrelated","word","word",0.197268107717471
"kuja","vauva","unrelated","word","word",0.201199141269403
"hopea","sisältää","unrelated","word","word",0.194388076114635
"sivilisaatio","tänään","unrelated","word","word",0.0554292810308976
"kuningas","hiljainen","unrelated","word","word",0.071988016090453
"kuningaskunta","toivoa","unrelated","word","word",0.103792697430553
"yhtenäinen","kerätä","unrelated","word","word",0.0998942865572371
"luottamus","reportteri","unrelated","word","word",0.081357735876848
"rehellinen","tutka","unrelated","word","word",0.141190902888002
"katoaminen","vilja","unrelated","word","word",0.0804543878536793
"kahvi","uuni","unrelated","word","word",0.284773921245611
"säälittävä","vanhempi","unrelated","word","word",0.15878716356125
"kaula","innostaa","unrelated","word","word",0.0653658132185558
"aurinko","vanha","unrelated","word","word",0.137880504577475
"viikko","konservatiivinen","unrelated","word","word",0.093598759236304
"oikeudenkäynti","tiukasti","unrelated","word","word",0.153200641095046
"kylmä","kuningatar","unrelated","word","word",0.120815606184508
"aurinko-","sohva","unrelated","word","word",NA
"kuulla","pelottava","unrelated","word","word",0.145645946902805
"kuva","yksityinen","unrelated","word","word",0.186820133019767
"ilmaista","hiiri","unrelated","word","word",0.0740481733099814
"senaattori","ansa","unrelated","word","word",0.0779382658726015
"hattu","caesar","unrelated","word","word",0.19487370921812
"kysyä","lippu","unrelated","word","word",0.0537194949428123
"pyyntö","maali-","unrelated","word","word",NA
"ei pysty","väärä","unrelated","word","word",NA
"psykologinen","kamera","unrelated","word","word",0.163092402482394
"kaupunginosa","kompassi","unrelated","word","word",0.159056780141486
"laukku","tekninen","unrelated","word","word",0.14817276219126
"rahti","niellä","unrelated","word","word",0.0989397080901466
"ilmiantaja","hame","unrelated","word","word",0.098357192853032
"satama","seminaari","unrelated","word","word",0.188465409488036
"kaukana","kaapeli","unrelated","word","word",0.0803858059423809
"kiristää","mielikuvitus","unrelated","word","word",0.134195323011165
"laillinen","operatiivinen","unrelated","word","word",0.33870398253221
"varustaa","tanssija","unrelated","word","word",0.0800976679415501
"perustuslaki","jälkiruoka","unrelated","word","word",0.155901764054109
"syyttäjä","malli-","unrelated","word","word",NA
"viileä","kivääri","unrelated","word","word",0.0843394926883516
"lämpötila","rykmentti","unrelated","word","word",0.0721921289841765
"kynttilä","kersantti","unrelated","word","word",0.174504911955519
"itään","proteiini","unrelated","word","word",0.121599586419922
"spagetti","ylpeä","unrelated","word","word",0.109357363794451
"pullo","murskata","unrelated","word","word",0.11755829614162
"korkki","liittovaltion-","unrelated","word","word",NA
"valtimo","paha","unrelated","word","word",0.182012866404919
"lento","banaani","unrelated","word","word",0.13548182571857
"poissaolo","likainen","unrelated","word","word",0.090491905792347
"piika","kuvata","unrelated","word","word",-0.00262593825234663
"matto","karhu","unrelated","word","word",0.192095165194241
"sunnuntai","tuhat","unrelated","word","word",0.00212974727709365
"aktivoida","laulaja","unrelated","word","word",0.108936280357926
"ampua","hukkua","unrelated","word","word",0.202718752613552
"muusikko","tutkia","unrelated","word","word",0.127820747978794
"asenne","iso","unrelated","word","word",0.113988203734854
"armeija","arkku","unrelated","word","word",0.16174666203698
"sika","kohtalo","unrelated","word","word",0.0824101693150239
"allekirjoitus","annos","unrelated","word","word",0.222944646520507
"juusto","köyhyys","unrelated","word","word",0.181019572673625
"kylä","terve","unrelated","word","word",0.134293398199784
"homo","käsitellä asiaa","unrelated","word","word",NA
"nainen","laukaus","unrelated","word","word",0.248762994307833
"nukkua","voitto","unrelated","word","word",0.0887850504693174
"tiimi","iho","unrelated","word","word",0.155938382571513
"siirtää","lohikäärme","unrelated","word","word",0.106957521233471
"presidentti","määrä","unrelated","word","word",0.144138959477591
"osavaltio","rahapeli","unrelated","word","word",NA
"ällöttävä","pommi","unrelated","word","word",0.123968595152228
"sooda","sormi","unrelated","word","word",0.230639375410452
"passi","merivoimien","unrelated","word","word",0.158610190704674
"symboli","merkki","unrelated","word","word",0.472822354928275
"vähentää","flunssa","unrelated","word","word",0.153748553634396
"laittaa","kieltäytyä","unrelated","word","word",0.151994969065623
"leijona","vatsa","unrelated","word","word",0.227656838610479
"merkki","julkkis","unrelated","word","word",0.0632075534437423
"viedä loppuun","profiili","unrelated","word","word",NA
"lopulta","sääntö","unrelated","word","word",0.0692790606646668
"perimmäinen","työntää","unrelated","word","word",0.163375322413845
"loukata","ylpeys","unrelated","word","word",0.145851647561956
"kirjoittaa","raamattu","unrelated","word","word",0.270427892292937
"kirjoittaminen","etäisyys","unrelated","word","word",0.224191728399029
"suljettu","kärsivällisyys","unrelated","word","word",0.0479509922221858
"tuottaa","puoli","unrelated","word","word",0.039541699834731
"koulu","paino","unrelated","word","word",0.252544707222735
"tuhoaminen","jakso","unrelated","word","word",0.0963037027172727
"keinotekoinen","rytmi","unrelated","word","word",0.186369981688576
"yleisesti","veri","unrelated","word","word",0.085294124906957
"uskoa","stressi","unrelated","word","word",0.146415904641111
"lainata","valkosipuli","unrelated","word","word",0.0739504472709876
"hyväksyminen","miljonääri","unrelated","word","word",0.0280010924218948
"haarukka","hai","unrelated","word","word",0.289231717448897
"kallo","paahtoleipä","unrelated","word","word",0.166284640244864
"pitkä","laskimo","unrelated","word","word",0.184118154757807
"kansakunta","rahoittaa","unrelated","word","word",0.189064871907647
"lentää","pudota","unrelated","word","word",0.344865309112225
"hyökkäys","ilmiö","unrelated","word","word",0.181076908206592
"galaksi","kapseli","unrelated","word","word",0.31798359119566
"piirtää","julma","unrelated","word","word",0.162139812586993
"tiistai","yhtiö","unrelated","word","word",0.108459360174055
"räjähdys","näkymä","unrelated","word","word",0.27117294496438
"laatu","fiksu","unrelated","word","word",0.119312890541139
"osoite","afrikka","unrelated","word","word",0.0995558744705998
"kartelli","galleria","unrelated","word","word",0.220811301783545
"sähköinen","paita","unrelated","word","word",0.0930374333278918
"mahdollisuus","rutto","unrelated","word","word",0.203987219001103
"helppo","bravo","unrelated","word","word",0.123473234356329
"kunnia","kaupallinen","unrelated","word","word",0.157238821031608
"senttimetri","pistooli","unrelated","word","word",0.210047574686954
"markkinointi","sana","unrelated","word","word",0.155116200408975
"mehu","tarpeeksi","unrelated","word","word",0.112558948664292
"korkeus","vuosipäivä","unrelated","word","word",0.125708940045005
"söpö","viski","unrelated","word","word",0.119948639429627
"haju","kulttuuri","unrelated","word","word",0.236840084136881
"prototyyppi","siirtomaa","unrelated","word","word",0.159483528522953
"rotu","pankkiiri","unrelated","word","word",0.0698797147438728
"joulukuu","poistaa","unrelated","word","word",0.094614844454697
"venus","maraton-","unrelated","word","word",NA
"korkea","leski","unrelated","word","word",0.0456109913233599
"kuljettaja","lahjoa","unrelated","word","word",0.0889117559047554
"käärme","isoisä","unrelated","word","word",0.132496143176794
"herkullinen","hymy","unrelated","word","word",0.269707099735507
"muurahainen","vahva","unrelated","word","word",0.279211580174413
"ääni","varkaus","unrelated","word","word",0.141634687512409
"epäonnistuminen","marraskuu","unrelated","word","word",0.17927163742451
"tekniikka","anteeksianto","unrelated","word","word",0.178271931760713
"laivasto","hidas","unrelated","word","word",0.0727551642943198
"valtameri","kilpailu","unrelated","word","word",0.135970722033606
"merimies","vastaus","unrelated","word","word",0.142719431545199
"laivasto","laatikko","unrelated","word","word",0.250432573591746
"merkitys","valkoinen","unrelated","word","word",0.117542523345596
"persoonallisuus","golf","unrelated","word","word",0.199579420393997
"taistelija","suojella","unrelated","word","word",0.142286646762049
"kalastus","koskea","unrelated","word","word",0.0918720560461805
"laiva","kunnioittaminen","unrelated","word","word",0.149957133175489
"veitsi","ajaa","unrelated","word","word",0.0918653079168968
"luovuus","jooga","unrelated","word","word",0.160927642987422
"ihmisen","vihollinen","unrelated","word","word",0.206541187574755
"yrittäjä","osuma","unrelated","word","word",0.153685116316577
"miljardi","pysyä","unrelated","word","word",0.0594375670962217
"ling","yksi","unrelated","word","word",0.139802833730643
"enimmäismäärä","sensori","unrelated","word","word",0.262217552674881
"että","sianliha","unrelated","word","word",0.231791313043403
"perinteinen","vakooja","unrelated","word","word",0.136090089578415
"laivan kansi","väärennös","unrelated","word","word",NA
"patsas","valitettava","unrelated","word","word",0.0236622985867906
"alibi","vastaanotto","unrelated","word","word",0.161625419702375
"miellyttävä","kauhea","unrelated","word","word",0.37465221362459
"pappi","kivihiili","unrelated","word","word",0.180261572452968
"maksa","naiivi","unrelated","word","word",0.12844159912892
"tyylikäs","iso alkukirjain","unrelated","word","word",NA
"tauko","epätavallinen","unrelated","word","word",0.163103844079703
"vihainen","tulos","unrelated","word","word",0.093131043277783
"hiekka","oire","unrelated","word","word",0.0964667329617186
"jonnekin","epäillä","unrelated","word","word",0.0642915791540355
"parannus","aids","unrelated","word","word",0.295320720258848
"aikaisin","väkijoukko","unrelated","word","word",0.0733685806213078
"tunnustaa","kauhu","unrelated","word","word",0.147996401541293
"antelias","raketti","unrelated","word","word",0.0925061745913742
"tappaa","kuppi","unrelated","word","word",0.160390599776603
"ostaja","hyväntekeväisyys","unrelated","word","word",0.179323367765555
"myymälä","menetelmä","unrelated","word","word",0.186998192265808
"legenda","suudella","unrelated","word","word",0.0634530774329266
"mustelma","kriittinen","unrelated","word","word",0.168093957767455
"tavata","aasi","unrelated","word","word",0.0568851180961096
"tyhmä","meren-","unrelated","word","word",NA
"kyyninen","harkita","unrelated","word","word",0.288939267476636
"näkökulma","vuoro","unrelated","word","word",0.164355263913274
"jano","käytäntö","unrelated","word","word",0.0127417883862335
"saada kiinni","ääni","unrelated","word","word",NA
"kaunis","kirkko","unrelated","word","word",0.186378023289769
"hammas","ele","unrelated","word","word",0.170632935910268
"absurdi","uhri","unrelated","word","word",0.105764999547479
"tiedonsiirto","myytti","unrelated","word","word",0.169259684831572
"esitys","saapua","unrelated","word","word",0.189433925680069
"monitori","kärsiä","unrelated","word","word",0.130238330822055
"tiedemies","mökki","unrelated","word","word",0.115564131923012
"neste","tyynenmeren","unrelated","word","word",0.131961927343044
"ruisku","terveys","unrelated","word","word",0.163799914075333
"neuvoa","laukaista","unrelated","word","word",0.0760908126048815
"pureskella","surullinen","unrelated","word","word",0.216690744042455
"otsikko","jäsen","unrelated","word","word",0.199872865157974
"sukunimi","muta","unrelated","word","word",0.105099377858638
"samurai","tiedot","unrelated","word","word",0.0294570183104454
"palkinto-","valehdella","unrelated","word","word",NA
"hauska","ihanteellinen","unrelated","word","word",0.283447024439525
"vaatimaton","piknikki","unrelated","word","word",0.22189558293288
"lelu","synti","unrelated","word","word",0.170003680290471
"lapsuus","räjähdys","unrelated","word","word",0.166623206908957
"sähkö","hurrikaani","unrelated","word","word",0.246469447800035
"tietää","pyramidi","unrelated","word","word",0.0993214882008779
"odottaa","vaihe","unrelated","word","word",0.0803384403046227
"tietokone","suosittu","unrelated","word","word",0.117880831048061
"paksu","riskialtis","unrelated","word","word",0.186218875609863
"vasemmalle","laki","unrelated","word","word",0.138935466816233
"kohtuullinen","huomio","unrelated","word","word",0.161551306891263
"oireyhtymä","kuninkaallinen","unrelated","word","word",0.168965471657718
"joo","avenue","unrelated","word","word",0.118643061691741
"polvi","agentti","unrelated","word","word",0.103403639596461
"hedelmä","setä","unrelated","word","word",0.128418536634112
"tervehtiä","ruosteinen","unrelated","word","word",0.102519667314564
"toiminnallinen","lähellä","unrelated","word","word",0.113761831743343
"opettaja","seurata","unrelated","word","word",0.123503649271301
"opettaa","juoda","unrelated","word","word",0.121478250396775
"realistinen","vastus","unrelated","word","word",0.244713942309435
"pesukarhu","johtaja","unrelated","word","word",0.172379304720894
"erektio","runoilija","unrelated","word","word",0.0649962642934645
"palvelija","kuva","unrelated","word","word",0.185947156851452
"kaista","liikkua","unrelated","word","word",0.163172749930534
"luostari","vastapäätä","unrelated","word","word",0.173383763579188
"myydä","kerros","unrelated","word","word",0.128158267341766
"lakko","edistyminen","unrelated","word","word",0.208488492536899
"antaa","yliluonnollinen","unrelated","word","word",0.18169782535461
"yhteys","konferenssi","unrelated","word","word",0.162051592565753
"pekoni","tehdas","unrelated","word","word",0.21539374321426
"paeta","ehdokas","unrelated","word","word",0.106818579686299
"julmuus","hiljainen","unrelated","word","word",0.0935292391680303
"sijainti","sihteeri","unrelated","word","word",0.153394105914324
"unelma","antaa potkut","unrelated","word","word",NA
"lehdistö","kommentti","unrelated","word","word",0.361500768731554
"korkeus","keitto","unrelated","word","word",0.17788219680857
"kirkas","valinta","unrelated","word","word",0.150755553928801
"takki","jalo","unrelated","word","word",0.200979004681759
"viikoittain","kunniamerkki","unrelated","word","word",0.141006224591937
"pakolainen","koe","unrelated","word","word",0.154272596047189
"linna","sukellusvene","unrelated","word","word",0.275932315163595
"näkemys","kaaos","unrelated","word","word",0.251884207641318
"salamurhaaja","ensimmäinen","unrelated","word","word",0.187667672645465
"huolto","budjetti","unrelated","word","word",0.264195112459963
"sijoittaja","väsynyt","unrelated","word","word",0.124545852556945
"taloudellinen","tunnistaa","unrelated","word","word",0.00684157479131554
"vanki","taloudellisesti","unrelated","word","word",0.0661197992990084
"kynä","poistuminen","unrelated","word","word",0.0792458936146201
"helvetti","napata","unrelated","word","word",0.0819781568380351
"senaatti","ota käyttöön","unrelated","word","word",NA
"kreivitär","ohjelmisto","unrelated","word","word",0.101872085995046
"lempeä","avioero","unrelated","word","word",0.0973041672377774
"piilottaa","oikeudenmukainen","unrelated","word","word",0.0534351035764307
"tallentaa","naarmu","unrelated","word","word",0.03098764230048
"pelotella","lisääntyä","unrelated","word","word",0.242558615314884
"peli","nimimerkki","unrelated","word","word",0.211827278034494
"kammottava","kana","unrelated","word","word",0.138687175711389
"pakettiauto","vastalääke","unrelated","word","word",0.171770529791046
"lintu","yleensä","unrelated","word","word",0.106214813103036
"pistorasia","talo","unrelated","word","word",0.248213043502047
"tomaatti","hermo","unrelated","word","word",0.256861342333766
"kananmuna","ihana","unrelated","word","word",0.269837475504775
"eläin","muuttaa","unrelated","word","word",0.131221094563062
"kitara","toipua","unrelated","word","word",0.094638392275089
"kardinaali","yksin","unrelated","word","word",0.0330144553607289
"telttailu","tasku-","unrelated","word","word",NA
"sumu","kohtelias","unrelated","word","word",0.0952619359349048
"kevyt","orgasmi","unrelated","word","word",0.209607147151945
"ding","nöyrä","unrelated","word","word",0.129045466923774
"ase","mainonta","unrelated","word","word",0.0975864283980279
"pitää","kärsimys","unrelated","word","word",0.175016555939007
"vasara","saada","unrelated","word","word",0.0903298997501643
"kiertorata","rasistinen","unrelated","word","word",0.14642274722758
"aikakauslehti","peite","unrelated","word","word",0.182659599262737
"miinus","viljelijä","unrelated","word","word",0.125595651275639
"pääkonttori","työpaja","unrelated","word","word",0.347356483678164
"huomattava","todellisuus","unrelated","word","word",0.250134717735805
"poista","palkkasoturi","unrelated","word","word",0.0265465386710472
"sisäänkäynti","hotelli","unrelated","word","word",0.279068440503406
"veljenpoika","anatomia","unrelated","word","word",0.100372609287566
"tytöt","mahdollisuus","unrelated","word","word",0.12606899517061
"räjähtävä","maahantunkeutuminen","unrelated","word","word",NA
"elokuva","vastaanotto","unrelated","word","word",0.161924734950217
"portti","savu","unrelated","word","word",0.2120950998735
"negatiivinen","pub","unrelated","word","word",0.158677041051252
"faksi","zombie","unrelated","word","word",0.162130156035085
"lahjakkuus","pelata","unrelated","word","word",0.19187785606092
"asiakas","journalismi","unrelated","word","word",0.170866171897574
"tuoli","vaivata","unrelated","word","word",0.105017191643775
"prinssi","roomalainen","unrelated","word","word",0.198683200210891
"kuvaus","ylimääräinen","unrelated","word","word",0.194251995004106
"vitamiini","kaliiperi","unrelated","word","word",0.200240830354463
"esittely","munkki","unrelated","word","word",0.0178979346715494
"ravintola","sheriff","unrelated","word","word",0.0924540204977483
"romahdus","jo","unrelated","word","word",0.110649186993595
"siemailla","pulssi","unrelated","word","word",0.0424868901079926
"pestä","naiivi","unrelated","word","word",-0.00794124267678516
"saarna","avuton","unrelated","word","word",0.104290957367334
"puhua","sementti","unrelated","word","word",0.0321132214668706
"paine","silkki","unrelated","word","word",0.109736603859996
"letku","alaston","unrelated","word","word",0.114157742753798
"keltainen","kolmas","unrelated","word","word",0.20384262948256
"dollari","miehistö","unrelated","word","word",0.150005398838436
"neljäsosa","johtopäätös","unrelated","word","word",0.116305735706366
"puu","huolestunut","unrelated","word","word",0.0568191752139817
"noin","lippu","unrelated","word","word",0.053503019023206
"rakenne","kulma","unrelated","word","word",0.3208256718822
"jäädä jäljelle","tutkimus","unrelated","word","word",NA
"kirja","kollega","unrelated","word","word",0.189331946472696
"televisio","miekka","unrelated","word","word",0.163890423279202
"pokeri","playboy","unrelated","word","word",0.194686285223759
"sijoittaa","esiintyä","unrelated","word","word",0.17702994984715
"humalassa","tuomioistuin","unrelated","word","word",0.127592571941715
"ajastin","lamppu","unrelated","word","word",0.270545614245762
"räjähtää","käytä","unrelated","word","word",0.117162534812646
"rakentaa","syy","unrelated","word","word",0.0581953389778964
"ohjus","yksikkö","unrelated","word","word",0.198743363407891
"pidätys","tappava","unrelated","word","word",0.146107632805356
"vankeusrangaistus","planeettaa","unrelated","word","word",0.0633005827500515
"rannikko","tehtävä","unrelated","word","word",0.156643514337175
"ilmoittaa","tekniikka","unrelated","word","word",0.0930959495249715
"kommunisti","rengas","unrelated","word","word",0.0362110052393146
"voimakkaasti","insinööri","unrelated","word","word",-0.00116788549648962
"tykistö","klubi","unrelated","word","word",0.106269741818963
"metalli-","portaali","unrelated","word","word",NA
"polku","luokka","unrelated","word","word",0.197632393140818
"kaulakoru","limsa","unrelated","word","word",0.202005488473805
"leikata","yksittäinen","unrelated","word","word",0.11342696887742
"toimittaja","tavallinen","unrelated","word","word",0.197243139909654
"toteutus","valmistautuminen","unrelated","word","word",0.3153199735415
"pahoinvointi","tappaja","unrelated","word","word",0.0934295031760133
"vaara","karnevaali","unrelated","word","word",0.13335886673622
"vaarallinen","selkäranka","unrelated","word","word",0.164805448376956
"seremonia","lahden","unrelated","word","word",0.0966314806756659
"kone","kuu","unrelated","word","word",0.202427532185181
"kivi","etuoikeus","unrelated","word","word",0.131970147874092
"cowboy","voi olla","unrelated","word","word",NA
"päättäväisyys","toimia","unrelated","word","word",0.202827419733051
"julet","välipala","unrelated","word","word",NA
"konjakki","yrittää","unrelated","word","word",0.0962671216741039
"kreikkalainen","tuuli","unrelated","word","word",0.13250201000774
"roska","kielletty","unrelated","word","word",0.111926347760005
"ruumis","taistelu","unrelated","word","word",0.125193640287184
"kirjailija","jalustaa","unrelated","word","word",0.14144526061751
"ateria","kiivetä","unrelated","word","word",0.0855350343087745
"pölyinen","orpokoti","unrelated","word","word",0.184319167340577
"sininen","rock","unrelated","word","word",0.116312948866894
"epideeminen","läsnäolo","unrelated","word","word",NA
"analyysi","varjo","unrelated","word","word",0.147739516197323
"dynamiitti","lasit","unrelated","word","word",0.218740071787814
"pataljoona","tyytyväinen","unrelated","word","word",0.127341311315324
