"hr_target","hr_cue","type","target_type","cue_type","hr_cosine"
"rođendan","pjesnik","unrelated","word","word",0.130593379178146
"tenis","minimum","unrelated","word","word",0.0902794640475543
"goli","čip","unrelated","word","word",0.0515870517572609
"publika","gnijezdo","unrelated","word","word",0.080731322465292
"dama","oteti","unrelated","word","word",0.104858765374065
"zahvalnost","prekinuti","unrelated","word","word",0.142351581795726
"propovijed","zadovoljstvo","unrelated","word","word",0.0678207925620658
"vojni","eliminirati","unrelated","word","word",0.139937607963324
"izgraditi","agent","unrelated","word","word",0.120377234324157
"zločin","zakon","unrelated","word","word",0.352802789878483
"bolest","kontaminacija","unrelated","word","word",0.398209926982594
"vrat","staviti","unrelated","word","word",0.201346355492589
"stablo","put","unrelated","word","word",0.176614971958021
"groblje","prirodno","unrelated","word","word",0.125812492793979
"pobjednik","zahvalan","unrelated","word","word",0.163941743658348
"potrošiti","kampanja","unrelated","word","word",0.169210996722644
"vuci","rizik","unrelated","word","word",0.149325547450289
"patka","praksa","unrelated","word","word",0.184044891593033
"žvakati","kabel","unrelated","word","word",0.257231924170295
"senator","nesposobnost","unrelated","word","word",0.1128590789467
"hitan","senzor","unrelated","word","word",0.119996087132313
"sport","veličanstvo","unrelated","word","word",0.123567332522534
"adrenalin","joga","unrelated","word","word",0.224795428582871
"motel","stol","unrelated","word","word",0.255784118407649
"odlučnost","kopati","unrelated","word","word",0.141439022075266
"samostan","objekt","unrelated","word","word",0.308479586256372
"obrok","ugljen","unrelated","word","word",0.211688381845099
"jesti","upozorenje","unrelated","word","word",0.133446911214241
"savršen","zahtijevajte","unrelated","word","word",0.074011877428148
"teorija","sigurnost","unrelated","word","word",0.142866564180396
"injekcija","zoološki vrt","unrelated","word","word",NA
"igra","radionica","unrelated","word","word",0.270398670813659
"halucinacija","pauk","unrelated","word","word",0.183137868124234
"titula","pobjeći","unrelated","word","word",0.0796116198754267
"vlasnik","ljubomoran","unrelated","word","word",0.194214031813269
"car","draž","unrelated","word","word",0.218203606566401
"nevjerojatan","prvi","unrelated","word","word",0.197608392622638
"nesreća","zrak","unrelated","word","word",0.033388419144919
"poslovanje","okoliš","unrelated","word","word",0.230280991718631
"povjerenik","žaba","unrelated","word","word",0.12567700042227
"inspiracija","bijes","unrelated","word","word",0.271046293999882
"intuicija","konačan","unrelated","word","word",0.0808167112443302
"mreža","konzervativan","unrelated","word","word",0.123970946098051
"napad","portal","unrelated","word","word",0.169937303659477
"arhitekt","kratak","unrelated","word","word",0.0526869757931115
"ironičan","nastaviti","unrelated","word","word",0.115697713673363
"znanje","bog","unrelated","word","word",0.225557708179774
"istraga","plin","unrelated","word","word",0.14342515774596
"stražnji","seminar","unrelated","word","word",0.111041808563029
"studija","pritužba","unrelated","word","word",0.235855427765322
"bjegunac","potvrda","unrelated","word","word",0.16754600976274
"opcija","dlaka","unrelated","word","word",0.251860544402085
"gledati","jasno","unrelated","word","word",0.126185506312823
"ulaz","tost","unrelated","word","word",0.151289012758051
"neočekivano","budućnost","unrelated","word","word",0.152574020336157
"razočaranje","dnevno","unrelated","word","word",0.0739204670631322
"iznos","mrtvački sanduk","unrelated","word","word",NA
"izvanredan","broj","unrelated","word","word",0.11359427553166
"obavijestiti","provizija","unrelated","word","word",0.140403526172136
"informator","špijun","unrelated","word","word",0.445081443374552
"kopirati","atraktivan","unrelated","word","word",0.209140733594796
"sjajno","obilazak","unrelated","word","word",0.110313650423526
"voće","predivan","unrelated","word","word",0.168247545948703
"slab","unesi","unrelated","word","word",0.156637538581278
"obećanje","zombi","unrelated","word","word",0.171940687977981
"očito","relativan","unrelated","word","word",0.222380172887566
"se dogoditi","koristan","unrelated","word","word",NA
"glazba, muzika","plaža","unrelated","word","word",NA
"tri","kanal","unrelated","word","word",0.106375512032105
"podjela","općenito","unrelated","word","word",0.234639314795513
"jednostavan","stanice","unrelated","word","word",0.143524666024385
"masaža","neobičan","unrelated","word","word",0.110202771752199
"sjeverno","kritično","unrelated","word","word",0.25531176411563
"salata","strpljenje","unrelated","word","word",0.100640277782483
"spasitelj","oblik","unrelated","word","word",0.142114930633237
"zapadni","pobjeda","unrelated","word","word",0.266533323539508
"žica","kokain","unrelated","word","word",0.183565981149678
"paluba","rog","unrelated","word","word",0.192010113230741
"ormar","slavna osoba","unrelated","word","word",NA
"šešir","sada","unrelated","word","word",0.186338354926459
"raspored","cezar","unrelated","word","word",0.100062824012417
"metak","osušiti","unrelated","word","word",0.110803296909357
"selo","slušati","unrelated","word","word",0.1348546348545
"izbor","čitanje","unrelated","word","word",0.142640829960281
"vijesti","ponoć","unrelated","word","word",0.152046973897982
"predsjednik","oprema","unrelated","word","word",0.0737621646488699
"birač","ekstra","unrelated","word","word",0.0770894476809373
"zbunjenost","kruh","unrelated","word","word",0.145878534892438
"sposobnost","hormon","unrelated","word","word",0.233088300167529
"grad","nebo","unrelated","word","word",0.199546706822603
"sonda","pukovnik","unrelated","word","word",0.228877295241219
"ugled","promatranje","unrelated","word","word",0.119876831671402
"festival","šerif","unrelated","word","word",0.201137486796747
"vrućica","pomozite","unrelated","word","word",0.157182940604087
"rano","kompliment","unrelated","word","word",0.11776919010911
"tepih","suza","unrelated","word","word",0.179864542070439
"kršćanin","službeno","unrelated","word","word",0.244455134129664
"krevet","slatko","unrelated","word","word",0.171782806947302
"zatvor","legija","unrelated","word","word",0.104454180304247
"uhićenje","džip","unrelated","word","word",0.090477938912475
"sin","mrziti","unrelated","word","word",0.128916036738461
"majoneza","vlast","unrelated","word","word",0.0943884175984745
"biologija","prodavač","unrelated","word","word",0.0993848114740795
"biološki","kutak","unrelated","word","word",0.126190152956563
"gram","putnik","unrelated","word","word",0.180675954811849
"metar","toplo","unrelated","word","word",0.174426978464268
"kazalište","izuzetan","unrelated","word","word",0.129413973373933
"liječnik","razlog","unrelated","word","word",0.226626227631544
"snijeg","zabrinut","unrelated","word","word",0.0863030348872666
"obitelj","sirotište","unrelated","word","word",0.225841851662145
"škola","čist","unrelated","word","word",0.0776763438294112
"gitara","spriječiti","unrelated","word","word",0.0770988242512523
"vještica","limunada","unrelated","word","word",0.285853716839806
"zaključati","katolik","unrelated","word","word",0.115210224703603
"bar","sidro","unrelated","word","word",0.163077142143417
"muzej","dućan","unrelated","word","word",0.451487784774831
"poker","otrijezniti","unrelated","word","word",0.178145409296929
"zaporka","lutka","unrelated","word","word",0.283146154538205
"heroin","lezbijka","unrelated","word","word",0.195490758858408
"sveučilište","zdjela","unrelated","word","word",0.168000793453891
"kvaliteta","sklonište","unrelated","word","word",0.0724947036438942
"federacija","svila","unrelated","word","word",0.218993092785522
"smjesa","mek","unrelated","word","word",0.122240805563876
"izjava","milion","unrelated","word","word",0.111621512706409
"karta","kraj","unrelated","word","word",0.132091389217316
"dar","oglašavanje","unrelated","word","word",0.126982726038112
"ultimativno","afrika","unrelated","word","word",0.16686677951109
"eventualno","potreban","unrelated","word","word",0.10503899572533
"definicija","osobni","unrelated","word","word",0.144421314478935
"sastanak","proljeće","unrelated","word","word",0.148218834571305
"topništvo","prasak","unrelated","word","word",0.213848852700518
"konobarica","zapovjednik","unrelated","word","word",0.226022703450008
"veza","siromašan","unrelated","word","word",0.0752891284754613
"radijacija","nadimak","unrelated","word","word",0.13290369164562
"manipulirati","ugljen","unrelated","word","word",0.142168090137891
"liberalan","pomorski","unrelated","word","word",0.229087328312982
"pokopati","inspirirati","unrelated","word","word",0.244965195749884
"djelotvoran","sami","unrelated","word","word",0.235741649714771
"nogomet","tehnički","unrelated","word","word",0.237346595418636
"lubanja","plesač","unrelated","word","word",0.115636619355922
"jakna","jedan","unrelated","word","word",0.193622792786306
"tkivo","lunarni","unrelated","word","word",0.233872428714215
"pljačka","kemija","unrelated","word","word",0.214595920654925
"završi","ambulanta","unrelated","word","word",0.122565521599648
"vrlo","mirovina","unrelated","word","word",0.104803666690175
"kraljevstvo","javiti","unrelated","word","word",0.0978046967641627
"trbušni","zavjera","unrelated","word","word",0.0299302682605395
"kralj","vječni","unrelated","word","word",0.169679348727563
"dugačak","proljev","unrelated","word","word",0.183926440743914
"svinja","vojnik","unrelated","word","word",0.210279632905292
"zajam","borba","unrelated","word","word",0.0703639604726182
"umak","aspirin","unrelated","word","word",0.326228789355246
"politički","unutrašnji","unrelated","word","word",0.385214030157357
"oko","iluzija","unrelated","word","word",0.0614071013485659
"trokut","zalazak sunca","unrelated","word","word",NA
"sir","ventil","unrelated","word","word",0.162235961199395
"rajčica","boravak","unrelated","word","word",0.0997770162891916
"prijestolje","doza","unrelated","word","word",0.0292252257514197
"urin","iznenada","unrelated","word","word",0.136677143540165
"apartman","ljeto","unrelated","word","word",0.192597893201767
"epidemija","suradnik","unrelated","word","word",0.134771488586925
"kuhar","kapsula","unrelated","word","word",0.0871538578620482
"civilizacija","kandidat","unrelated","word","word",0.0498231092232709
"kava","aktivan","unrelated","word","word",0.107745569889444
"prodavati","otpad","unrelated","word","word",0.217143412353934
"uličica","vjeverica","unrelated","word","word",0.309894700988821
"vrećica","naočale","unrelated","word","word",0.227833666416494
"uže","odjeljak","unrelated","word","word",0.172091975202476
"impresionirati","pregledan","unrelated","word","word",0.137656305861842
"lažljivac","morski pas","unrelated","word","word",NA
"lažan","bonus","unrelated","word","word",0.206933337705792
"špageti","palača","unrelated","word","word",0.210196910551254
"povratak","stići","unrelated","word","word",0.227464775991569
"vojska","tvrd","unrelated","word","word",0.148955031857716
"ptica","smeđi","unrelated","word","word",0.187681856799866
"gay","omogućiti","unrelated","word","word",0.103697000393132
"tim","nadčovjek","unrelated","word","word",0.115660636355229
"lijep","okidač","unrelated","word","word",0.128362706202357
"osobnost","zmaj","unrelated","word","word",0.144859508879702
"soda","lanac","unrelated","word","word",0.232553723992837
"srpanj","otkrivenje","unrelated","word","word",0.210254498421176
"zec","bolnica","unrelated","word","word",0.0767956731915219
"zima","leđa","unrelated","word","word",0.139232050190943
"ljubavnik","spavanje","unrelated","word","word",0.156136554683362
"ljut","uspjeh","unrelated","word","word",0.111490050810084
"kriminalac","prisutnost","unrelated","word","word",0.129039844495932
"ribarstvo","odvjetnik","unrelated","word","word",0.203456055044502
"glupost","unovčiti","unrelated","word","word",0.15166439941325
"solarni","tuna","unrelated","word","word",0.275514812101609
"igračka","posada","unrelated","word","word",0.223057740015215
"nož","doslovno","unrelated","word","word",0.126985011905115
"kartel","tajna","unrelated","word","word",0.199998111983016
"konj","duhan","unrelated","word","word",0.288181074228043
"čarobnjak","osmijeh","unrelated","word","word",0.213437160028784
"električni","status","unrelated","word","word",0.0560872738675051
"faks","povremeno","unrelated","word","word",0.0648992642998463
"otac","izvor","unrelated","word","word",0.236996542067428
"gorila","sudbina","unrelated","word","word",0.150135140952631
"mali","udaljenost","unrelated","word","word",0.117045290477156
"utrka","već","unrelated","word","word",0.150707182991078
"mornarica","grlo","unrelated","word","word",0.118702709981985
"venera","ništa","unrelated","word","word",0.104403516280731
"kreativnost","slika","unrelated","word","word",0.240443134986152
"maslac","količina","unrelated","word","word",0.140190567232186
"psihološki","arena","unrelated","word","word",0.0988708594631882
"svijet","vatra","unrelated","word","word",0.100265349650301
"nježan","artefakt","unrelated","word","word",0.0912284450085562
"šef","sisati","unrelated","word","word",0.190627062692445
"emotivan","drama","unrelated","word","word",0.223162000235682
"tehnika","biljka","unrelated","word","word",0.307318421807617
"poduzetnik","dna","unrelated","word","word",0.0816277142360791
"milijardi","gurnuti","unrelated","word","word",0.158192623021654
"centimetar","oporavak","unrelated","word","word",0.195064434263631
"donacija","danas","unrelated","word","word",0.219668840663927
"vrijesak","džungla","unrelated","word","word",0.254644300700508
"maksimum","noćna mora","unrelated","word","word",NA
"smiriti","kaciga","unrelated","word","word",0.144198249665033
"plaća","unuk","unrelated","word","word",0.106879630464278
"štakor","suziti","unrelated","word","word",0.0394412187704265
"stav","poziv","unrelated","word","word",0.257243395400326
"legenda","raditi","unrelated","word","word",0.122325174622316
"ucjena","vješanje","unrelated","word","word",0.251613469692483
"tjedan","mozak","unrelated","word","word",0.0647480693719535
"sunce","uvreda","unrelated","word","word",0.068574880110226
"mjesto","napustiti","unrelated","word","word",0.231298308547325
"djetinjstvo","seljak","unrelated","word","word",0.150958164023037
"nevjesta","rat","unrelated","word","word",0.11284933869394
"sok","krv","unrelated","word","word",0.312160984021056
"prototip","imovina","unrelated","word","word",0.145143291004613
"elegantan","ukusan","unrelated","word","word",0.468625032123752
"tradicionalan","zbivati","unrelated","word","word",0.166421512153502
"ocean","odnos","unrelated","word","word",0.168787485944721
"riba","obrazloženje","unrelated","word","word",0.137032259929771
"tunel","grob","unrelated","word","word",0.349610697247771
"alibi","bankarstvo","unrelated","word","word",0.222024326651917
"cerebral","član","unrelated","word","word",NA
"vjerojatno","težina","unrelated","word","word",0.213861542308144
"sustav","kalendar","unrelated","word","word",0.341635528267275
"pogreb","baština","unrelated","word","word",0.164629516905701
"ljubav","hrabrost","unrelated","word","word",0.381703245102867
"mučenje","tekući","unrelated","word","word",0.122998539552099
"grmljavina","aukcija","unrelated","word","word",0.204151164842738
"žena","pacijent","unrelated","word","word",0.229078646714844
"globalno","vagina","unrelated","word","word",0.136078211890025
"vjera","kapital","unrelated","word","word",0.191491736646079
"batman","barut","unrelated","word","word",0.134975136822072
"prezime","međunarodni","unrelated","word","word",0.100111019664181
"vlast","prosvjed","unrelated","word","word",0.21043858751986
"paranormalan","zabranjen","unrelated","word","word",0.257255433903502
"ciničan","omotnica","unrelated","word","word",0.120719017861266
"glup","snimiti","unrelated","word","word",0.106316571220997
"najam","grm","unrelated","word","word",0.114427441927317
"čep","planeta","unrelated","word","word",0.0569905081406055
"čini","napredak","unrelated","word","word",0.139723392050547
"razvoj","mreža","unrelated","word","word",0.220287313009117
"napustiti","nada","unrelated","word","word",0.198368483703333
"narudžba","riječ","unrelated","word","word",0.186241487910328
"poručnik","magija","unrelated","word","word",0.0502616598885476
"nastaviti","malo","unrelated","word","word",0.173238351569201
"prvenstvo","odgovor","unrelated","word","word",0.163634963278269
"naučiti","rijeka","unrelated","word","word",0.171383940344734
"komunikacija","model","unrelated","word","word",0.0612860061368148
"nebeski","munja","unrelated","word","word",0.292879183302036
"lako","gadan","unrelated","word","word",0.21078963858742
"čudan","soba","unrelated","word","word",0.141279616996173
"nepravedan","značenje","unrelated","word","word",0.18188976212961
"protivnik","kino","unrelated","word","word",0.0949294374583557
"neodgovoran","čekati","unrelated","word","word",0.145763573840733
"nesposoban","guverner","unrelated","word","word",0.23459814657549
"nesreća","hrana","unrelated","word","word",0.161776848210731
"neugodan","stanar","unrelated","word","word",0.21608825778767
"kriv","veleposlanstvo","unrelated","word","word",0.0710344453668386
"problem","povećati","unrelated","word","word",0.193178614740562
"legalan","prsten","unrelated","word","word",0.107341455897721
"arogancija","stajati","unrelated","word","word",0.173882925648816
"ikad","narednik","unrelated","word","word",0.122131143671985
"samuraj","sadržavati","unrelated","word","word",0.089783888872672
"nešto","pristojan","unrelated","word","word",0.268304005355468
"epizoda","zaslužiti","unrelated","word","word",0.0858548100666069
"visoko","ninja","unrelated","word","word",0.169787976480507
"gornji","igla","unrelated","word","word",0.175469393674026
"stranac","astronaut","unrelated","word","word",0.304582206206235
"nagrada","moderan","unrelated","word","word",0.167378330813836
"večer","prljav","unrelated","word","word",0.133750539160771
"san","tumor","unrelated","word","word",0.211619690855097
"obično","natjecanje","unrelated","word","word",0.129141005503781
"politika","lov","unrelated","word","word",0.124989929977756
"analiza","zemlja","unrelated","word","word",0.243564980942651
"uobičajen","siromaštvo","unrelated","word","word",0.174815367836052
"koncert","zaštititi","unrelated","word","word",0.1557595352789
"predmet","prikolica","unrelated","word","word",0.0887891751376376
"magla","nesretan","unrelated","word","word",0.0601474458245892
"znak","nepravda","unrelated","word","word",0.104521199123083
"uvjerljiv","skup","unrelated","word","word",0.238068327621988
"odaberi","nadnaravan","unrelated","word","word",0.155000491596516
"poštenje","lipanj","unrelated","word","word",0.00363013636979332
"prihvatiti","pogrešno","unrelated","word","word",0.161312810726098
"odgovor","može biti","unrelated","word","word",NA
"dužnost","budala","unrelated","word","word",0.160608025569656
"stavak","mafija","unrelated","word","word",0.110051433943858
"spavati","rodeo","unrelated","word","word",0.129916357155021
"prijateljstvo","pjevač","unrelated","word","word",0.151546653956825
"roditelj","skupljati","unrelated","word","word",0.129969695274721
"ogledalo","studeni","unrelated","word","word",0.172205793294783
"tužilac","polako","unrelated","word","word",0.142355782050768
"marketing","slijediti","unrelated","word","word",0.1745842607606
"modrica","dvostruko","unrelated","word","word",0.152967150885378
"aktivirati","bubreg","unrelated","word","word",0.0731528340232722
"uho","papir","unrelated","word","word",0.156995736559698
"atmosfera","pećnica","unrelated","word","word",0.325197624345853
"okrug","zaključak","unrelated","word","word",0.193023212962049
"pružiti","rob","unrelated","word","word",0.126195025910444
"paket","prilično","unrelated","word","word",0.143379946746642
"pukovnik","radar","unrelated","word","word",0.25546655392472
"funkcionalan","sef","unrelated","word","word",0.154191485563139
"izraziti","nerazuman","unrelated","word","word",0.227123667254409
"liječiti","moderan","unrelated","word","word",0.132469135451916
"milost","suosjećajan","unrelated","word","word",0.292725814736698
"opremiti","atomski","unrelated","word","word",0.246807408506657
"izgovor","kockanje","unrelated","word","word",0.196365418073505
"teret","dijamant","unrelated","word","word",0.279555171887081
"realan","glas","unrelated","word","word",0.183263341735739
"erekcija","južni","unrelated","word","word",0.145065524532052
"bend","naredba","unrelated","word","word",0.0344446956362222
"smijeh","slučajno","unrelated","word","word",0.0835850506511242
"pojedinac","viski","unrelated","word","word",0.0941090318233124
"intiman","rizičan","unrelated","word","word",0.33878012671749
"razumjeti","funta","unrelated","word","word",0.155168575900558
"mokar","dijete","unrelated","word","word",0.116405358443332
"pravda","vjerojatnost","unrelated","word","word",0.214937213234023
"oteti","napraviti","unrelated","word","word",0.259985379943199
"vizija","pumpa","unrelated","word","word",0.104343830828712
"ransoma","šutljiv","unrelated","word","word",0.1042036234922
"smeće","popraviti","unrelated","word","word",0.190937025319791
"odoljeti","zeleni","unrelated","word","word",0.0756755292452665
"pijan","uspon","unrelated","word","word",0.149222315052277
"ubiti","prozor","unrelated","word","word",0.131443054578154
"zatvaranje","kreditna","unrelated","word","word",0.192317946391051
"zatvoriti","alat","unrelated","word","word",0.170625907491187
"tamo","tableta","unrelated","word","word",0.171811233640581
"atlantski","miran","unrelated","word","word",0.187440410713968
"klijent","primijeniti","unrelated","word","word",0.119114979511175
"gutljaj","kabina","unrelated","word","word",0.152498746258525
"kolaps","eksperiment","unrelated","word","word",0.211857713017149
"dvorac","anarhija","unrelated","word","word",0.129960656263316
"inteligentan","bijedan","unrelated","word","word",0.308012275297858
"olovkom","kći","unrelated","word","word",0.00346321589761992
"lud","košulja","unrelated","word","word",0.0924825778745185
"senat","angažman","unrelated","word","word",0.14102729872388
"mačka","odabrati","unrelated","word","word",0.0835191984237887
"bol","straža","unrelated","word","word",0.180827738538296
"umrijeti","krema","unrelated","word","word",0.109424424645228
"insekt","tetovaža","unrelated","word","word",0.24074917897405
"privući","hobi","unrelated","word","word",0.162557150166907
"mrav","probati","unrelated","word","word",0.114374933276357
"potpis","nlo","unrelated","word","word",0.136750667683122
"peći","goli","unrelated","word","word",0.223264540299032
"prah","otrov","unrelated","word","word",0.448479173623278
"pivo","plus","unrelated","word","word",0.114692705514788
"kampiranje","toplina","unrelated","word","word",0.200137583962885
"purica","kamp","unrelated","word","word",0.124226900679282
"ding","običan","unrelated","word","word",0.14635873990863
"struktura","reći","unrelated","word","word",0.122731689330418
"mornar","stoljeće","unrelated","word","word",0.0638531737829971
"oružje","prvak","unrelated","word","word",0.130673615466817
"pitati","star","unrelated","word","word",0.105099194782131
"pisac","datoteka","unrelated","word","word",0.156957560150438
"glazbenik","večera","unrelated","word","word",0.159252239917612
"ubojica","zlatan","unrelated","word","word",0.140669699924866
"strategija","trčanje","unrelated","word","word",0.125510131592195
"orbita","vidjeti","unrelated","word","word",0.136767901807611
"stanica","dva","unrelated","word","word",0.191852342459049
"časopis","rujan","unrelated","word","word",0.208237616785887
"obala","bijela","unrelated","word","word",0.292398770411467
"hrabar","ponos","unrelated","word","word",0.205493342644921
"ples","otpornost","unrelated","word","word",0.0884939844202198
"predator","ponizan","unrelated","word","word",0.238340630399673
"gorivo","umetnuti","unrelated","word","word",0.246114203749358
"minus","impresivan","unrelated","word","word",0.23791402924054
"pobjeći","vjeran","unrelated","word","word",0.142038193654431
"poraz","lažan","unrelated","word","word",0.219776943358424
"informacija","užasan","unrelated","word","word",0.029099456849277
"pretjerivati","subota","unrelated","word","word",0.177628686372791
"čamac","sloboda","unrelated","word","word",0.0515738777270779
"zona","vino","unrelated","word","word",0.00736695992748619
"perspektiva","vjetar","unrelated","word","word",0.04963786917671
"štrajk","kapacitet","unrelated","word","word",0.147768363745818
"pogreška","privatni","unrelated","word","word",0.184311862365882
"ispravan","dim","unrelated","word","word",0.126218323380503
"izvođenje","pukotina","unrelated","word","word",0.137757238396618
"sakriti","čudovište","unrelated","word","word",0.0589666729963051
"ručnik","udovica","unrelated","word","word",0.180665618376579
"četvrtina","faza","unrelated","word","word",0.312820814298066
"brzo","kasno","unrelated","word","word",0.322127925182424
"političar","strijelac","unrelated","word","word",0.337602609932238
"zagrliti","plan","unrelated","word","word",0.121437965993852
"hiv","stijena","unrelated","word","word",0.031625759450453
"flota","zdrav","unrelated","word","word",0.0313751847731325
"pomoći","magarac","unrelated","word","word",0.134766078257354
"utorak","ostvariti","unrelated","word","word",0.0764800561748338
"često","igra","unrelated","word","word",0.148901029297446
"skroman","popularan","unrelated","word","word",0.341789899694749
"podne","usporiti","unrelated","word","word",0.114206209671405
"dostojanstvo","spomenik","unrelated","word","word",0.350484261185776
"uzbuđen","amater","unrelated","word","word",0.173958027399208
"dati","internet","unrelated","word","word",0.115370816957695
"popravak","zalogaj","unrelated","word","word",0.124467005244922
"poznat","turnir","unrelated","word","word",0.164859306526495
"film","pametan","unrelated","word","word",0.176558320410638
"vrata","pad","unrelated","word","word",0.0697997515306096
"brod","genij","unrelated","word","word",0.10934700762843
"raditi","paranoid","unrelated","word","word",0.155644027410253
"jedinstven","sumnjati","unrelated","word","word",0.172262315458203
"samouvjerenost","božić","unrelated","word","word",0.044159186129329
"postupak","slijetanje","unrelated","word","word",0.278014093830458
"talenat","tvornica","unrelated","word","word",0.0528034049328136
"prijenos","poseban","unrelated","word","word",0.125556819912902
"pomoć","nevin","unrelated","word","word",0.175786468931914
"potreba","kompas","unrelated","word","word",0.0856779328284177
"eksplozija","svjedok","unrelated","word","word",0.190734878568965
"potvrditi","terapija","unrelated","word","word",0.119224468209277
"smanjiti","kruna","unrelated","word","word",0.199239354438459
"vjerovati","pola","unrelated","word","word",0.092177273547496
"rijetko","prazan","unrelated","word","word",0.160494231160937
"negativan","štit","unrelated","word","word",0.142874173255139
"telefon","buka","unrelated","word","word",0.199520976493238
"vježba","piknik","unrelated","word","word",0.207095712217547
"eksplodirati","uplašiti","unrelated","word","word",0.221590268153789
"pratiti","nacionalni","unrelated","word","word",0.121928247711435
"razuman","komentar","unrelated","word","word",0.182982763438122
"stvaran","naivan","unrelated","word","word",0.375254984342298
"protokol","mail","unrelated","word","word",0.188826572305085
"lijevo","otvor","unrelated","word","word",0.254550917970107
"pun","potencijal","unrelated","word","word",0.108337894025117
"fantastičan","direktno","unrelated","word","word",0.088941253745611
"predložiti","tijelo","unrelated","word","word",0.136040610389677
"inspekcija","neznanje","unrelated","word","word",0.10031658265362
"ometati","pacifički","unrelated","word","word",0.0840749931417624
"znao","slijep","unrelated","word","word",0.248846911438366
"kombi","parlament","unrelated","word","word",0.144693962556883
"lijep","imperijalan","unrelated","word","word",NA
"mogućnost","željezo","unrelated","word","word",0.0377480132374368
"koristiti","ideja","unrelated","word","word",0.150609411271088
"princ","umjetnik","unrelated","word","word",0.241666602079743
"planiranje","uragan","unrelated","word","word",0.136781657293334
"umjetna","invazija","unrelated","word","word",0.220909215997413
"općenito","zapreka","unrelated","word","word",0.195276486090048
"pošten, čestit","otvorena","unrelated","word","word",NA
"prijateljski","evolucija","unrelated","word","word",0.134186351640849
"odsutnost","pas","unrelated","word","word",0.0770638060815114
"optužba","razvod","unrelated","word","word",0.252738591750164
"privatnost","žitarica","unrelated","word","word",0.139743916296387
"čast","zid","unrelated","word","word",0.0858904875316377
"priznati","kečap","unrelated","word","word",0.150484867144378
"odvratan","recepcija","unrelated","word","word",0.216491154317363
"pokušaj","orkestar","unrelated","word","word",0.0392644814530262
"kupac","virus","unrelated","word","word",0.189618828334564
"opis","ček","unrelated","word","word",0.246580686686649
"ishod","dokaz","unrelated","word","word",0.272238246993629
"direktor","veličina","unrelated","word","word",0.153881018315355
"program","iskustvo","unrelated","word","word",0.183701456259487
"jesen","patiti","unrelated","word","word",0.116052836825859
"mučnina","ljubavnica","unrelated","word","word",0.190863891188986
"procjena","servis","unrelated","word","word",0.0885217175730122
"poboljšanje","naivan","unrelated","word","word",0.153836423057304
"financiranje","alkohol","unrelated","word","word",0.164251584287005
"demonstracija","hraniti","unrelated","word","word",0.0865761413566412
"vitamin","zamka","unrelated","word","word",0.0105514238461537
"cjepivo","ritam","unrelated","word","word",0.1481779764027
"odbor","anatomija","unrelated","word","word",0.196348005240124
"vrata","album","unrelated","word","word",0.13156077726143
"palac","platforma","unrelated","word","word",0.0803541298945207
"ogrlica","ping","unrelated","word","word",0.237481119681223
"borac","zaljev","unrelated","word","word",0.232589916069237
"posljednji","iznos","unrelated","word","word",0.203385548586787
"zakletva","poštovanje","unrelated","word","word",0.280667545293782
"restoran","proračun","unrelated","word","word",0.209529335582815
"rupa","snimljen","unrelated","word","word",0.0945846534431717
"bataljon","okrug","unrelated","word","word",0.33473111271966
"pritisak","brutalan","unrelated","word","word",0.200745503342354
"crijevo","jug","unrelated","word","word",0.212135359354419
"pištolj","umoran","unrelated","word","word",0.0957208157648654
"dolina","promijeniti","unrelated","word","word",0.148495580351269
"staza","prst","unrelated","word","word",0.129985098127113
"vozač","utopiti","unrelated","word","word",0.134600974882651
"kornjača","dobit","unrelated","word","word",0.173383324475177
"izračunati","projekt","unrelated","word","word",0.190377063620119
"satelit","kontrolirati","unrelated","word","word",0.227300331726805
"televizija","sherlock","unrelated","word","word",0.137791388163364
"garaža","brand","unrelated","word","word",0.218078405832989
"operacija","potez","unrelated","word","word",0.266673059825637
"perimetar","jabuka","unrelated","word","word",0.139236992506165
"pakao","pažnja","unrelated","word","word",0.0525019602904641
"raketa","građanski","unrelated","word","word",0.11389842335047
"koljeno","stvarnost","unrelated","word","word",0.0651611614845568
"ozljeda","robot","unrelated","word","word",0.0779839897969921
"komunist","tajnica","unrelated","word","word",0.309393992292077
"ružan","stadion","unrelated","word","word",0.0827378609692519
"bitka","proizlaziti","unrelated","word","word",0.158473192012778
"sklad","playboy","unrelated","word","word",0.114837867800199
"pauza","špijunaža","unrelated","word","word",0.258930904800567
"rasprava","aktovka","unrelated","word","word",0.314203076261763
"govoriti","volonter","unrelated","word","word",0.235282181667627
"uzrok","čvrsto","unrelated","word","word",0.0975718826503273
"brak","odbiti","unrelated","word","word",0.210799072411376
"zabava","računati","unrelated","word","word",0.20093560073335
"reći","sestra","unrelated","word","word",0.258581858067966
"svećenik","tipičan","unrelated","word","word",0.237991470081979
"lokalni","pitanje","unrelated","word","word",0.126416452372767
"rođak","džep","unrelated","word","word",0.187789468296557
"novinar","proizvođač","unrelated","word","word",0.316502986887015
"otkaz","vezati","unrelated","word","word",0.152601515015097
"rečenica","drugdje","unrelated","word","word",0.118415048275919
"jezero","poljubac","unrelated","word","word",0.0951586123459494
"grčki","student","unrelated","word","word",0.153565519349715
"stil","sloj","unrelated","word","word",0.209588645497343
