"hr_cue","hr_target","hr_fake_target","hr_fake_cue","en_cue","en_target"
"osoba","pojedinac","pojediamond","volba","person","individual"
"osobni","intiman","intinjom","trolni","personal","intimate"
"ostvariti","razumjeti","razuoprosti","ostvainvesti","realize","understand"
"osušiti","mokar","mođem","franšiti","dry","wet"
"osveta","pravda","pljuda","olakta","revenge","justice"
"oteti","oteti","edati","subti","kidnap","abduct"
"otkrivenje","vizija","ugrozija","otkrivecraft","revelation","vision"
"otmičar","ransoma","bertsoma","otminjen","kidnapper","ransom"
"otpad","smeće","tišće","otnus","trash","garbage"
"otpornost","odoljeti","kravljeti","otportlan","resistance","resist"
"otrijezniti","pijan","pižim","skladjezniti","sober","drunk"
"otrov","ubiti","vasti","aarov","poison","kill"
"otvor","zatvaranje","zaključranje","otler","opening","closure"
"otvorena","zatvoriti","zaključriti","krisrena","open","close"
"ovdje","tamo","talen","ovšku","here","there"
"pacifički","atlantski","claytoski","pacipljacki","pacific","atlantic"
"pacijent","klijent","klineya","paciskop","patient","client"
"pad","gutljaj","vejljaj","yed","drop","sip"
"pad","kolaps","kovros","yed","fall","collapse"
"palača","dvorac","dvosob","palauren","palace","castle"
"pametan","inteligentan","inteligenfreyja","pameadow","smart","intelligent"
"papir","olovkom","troskom","patez","paper","pen"
"paranoid","lud","trd","paranostvom","paranoid","crazy"
"parlament","senat","seten","parlaurin","parliament","senate"
"pas","mačka","kilka","iós","dog","cat"
"pati","bol","ahl","menti","suffering","pain"
"patiti","umrijeti","praćjeti","identiti","suffer","die"
"pauk","insekt","inston","pačen","spider","insect"
"pažnja","privući","ovakvući","uranja","attention","attract"
"pčela","mrav","mrgu","balla","bee","ant"
"pečat","potpis","potron","peshi","stamp","signature"
"pećnica","peći","penja","thornica","oven","stove"
"pepeo","prah","prmy","pečin","ash","dust"
"piće","pivo","vojvo","hvaće","drink","beer"
"piknik","kampiranje","umjetpiranje","sobnik","picnic","camping"
"piletina","purica","puštaoca","chandletina","chicken","turkey"
"ping","ding","diia","pien","ping","ding"
"piramida","struktura","igračtura","piraminique","pyramid","structure"
"pirat","mornar","morlet","pisom","pirate","sailor"
"pištolj","oružje","lježje","piškost","pistol","weapon"
"pitanje","pitati","obustati","pitajans","question","ask"
"pjesnik","pisac","pibru","orasnik","poet","writer"
"pjevač","glazbenik","stvabenik","pjebio","singer","musician"
"plaćenik","ubojica","privjica","oštećenik","mercenary","assassin"
"plan","strategija","brewstegija","svan","plan","strategy"
"planeta","orbita","orbiljež","sretneta","planet","orbit"
"platforma","stanica","ljednica","ugriforma","platform","station"
"playboy","časopis","časoljom","playery","playboy","magazine"
"plaža","obala","škila","sniža","beach","coast"
"plemenit","hrabar","blibar","plemerang","noble","brave"
"plesač","ples","plje","plebri","dancer","dance"
"plijen","predator","predaglas","plicit","prey","predator"
"plin","gorivo","goovakvo","egin","gas","fuel"
"plus","minus","migra","udus","plus","minus"
"pobjeći","pobjeći","polzvući","polzvući","flee","escape"
"pobjeda","poraz","povea","pozgrada","victory","defeat"
"podaci","informacija","informaitlandja","povjedci","data","information"
"podcjenjivati","pretjerivati","raymontjerivati","alexancjenjivati","underestimate","exaggerate"
"podmornica","čamac","čarim","podobjasnica","submarine","boat"
"područje","zona","larna","podrulost","area","zone"
"pogled","perspektiva","persuniątitiva","pobješ","view","perspective"
"pogoditi","štrajk","omrajk","povjestditi","hit","strike"
"pogreška","pogreška","pogrenjom","pogrenjen","error","mistake"
"pogrešno","ispravan","ispraskim","pobiljno","wrong","correct"
"pokazati","izvođenje","izvođestvom","pokainvesti","show","performance"
"pokriti","sakriti","samjesti","povjedti","cover","hide"
"pokrivač","ručnik","amanik","pokrieger","blanket","towel"
"pola","četvrtina","četuniątitina","pokre","half","quarter"
"polako","brzo","brnat","poučinko","slowly","quickly"
"politika","političar","politikrist","polipljačka","policy","politician"
"poljubac","zagrliti","zaključliti","poljuvjek","kiss","hug"
"pomagala","hiv","rav","poubrizgala","aids","hiv"
"pomorski","flota","bitta","pogrebski","naval","fleet"
"pomozite","pomoći","povjedći","igrajmozite","help","assist"
"ponedjeljak","utorak","utobel","ponedjestvom","monday","tuesday"
"ponekad","često","panto","ponedjet","sometimes","often"
"ponizan","skroman","špriman","ponifest","humble","modest"
"ponoć","podne","marne","poola","midnight","noon"
"ponos","dostojanstvo","scrantojanstvo","podru","pride","dignity"
"ponos","uzbuđen","uzbuljao","podru","proud","excited"
"ponuda","dati","menti","posvagda","offer","give"
"popraviti","popravak","popratost","povjestviti","fix","repair"
"popularan","poznat","tronat","populastvom","popular","famous"
"pornografija","film","fiix","alexannografija","porn","movie"
"portal","vrata","zulta","grital","portal","gate"
"posada","brod","brko","poboljda","crew","ship"
"posao","raditi","ranjemti","počin","job","work"
"poseban","jedinstven","jedinsmond","poseford","special","unique"
"poštovanje","samouvjerenost","samouvjerefreyja","poiožajvanje","respect","confidence"
"postupak","postupak","postutrom","postuitiv","process","procedure"
"potencijal","talenat","taletvom","potencisburg","potential","talent"
"potez","prijenos","prijeljat","polid","move","transfer"
"potpora","pomoć","pobiš","oraspora","support","assistance"
"potreban","potreba","poboljba","potreford","necessary","need"
"potres","eksplozija","umjetplozija","pomons","earthquake","explosion"
"potvrda","potvrditi","pothonyjaditi","potoswalda","confirmation","confirm"
"povećati","smanjiti","smatlosti","poveinvesti","increase","reduce"
"povjerenje","vjerovati","upravrovati","poanymorenje","trust","believe"
"povremeno","rijetko","ristriko","poiožajmeno","occasionally","rarely"
"pozitivan","negativan","negatikrist","pozitikrist","positive","negative"
"poziv","telefon","telenjam","poani","call","telephone"
"praksa","vježba","sretba","fleksa","practice","exercise"
"prasak","eksplodirati","raymonplodirati","praven","burst","explode"
"pratnja","pratiti","vjestiti","abranja","escort","accompany"
"pravedan","razuman","razurich","pravezist","fair","reasonable"
"pravi","stvaran","sparran","sjevi","TRUE","real"
"pravilo","protokol","prototery","gljivilo","rule","protocol"
"pravo","lijevo","lijedins","ugovo","right","left"
"prazan","pun","enn","prager","empty","full"
"predivan","fantastičan","fanobjektičan","prediolog","wonderful","fantastic"
"predložiti","predložiti","odvukložiti","odvukložiti","propose","suggest"
"pregledan","inspekcija","instasyjacija","pregleskoj","examination","inspection"
"prekinuti","ometati","stavtati","lewickinuti","interrupt","disturb"
"prepoznati","znao","acao","preosjetnati","recognize","knew"
"prikolica","kombi","zasbi","ukljukolica","trailer","van"
"prilično","lijep","lieta","privredno","pretty","beautiful"
"prilika","mogućnost","mogućskom","charlika","chance","possibility"
"primijeniti","koristiti","koatlantiti","alexanmijeniti","apply","use"
"princeza","princ","heinc","ograceza","princess","prince"
"priprema","planiranje","umjetniranje","prikljuma","preparation","planning"
"prirodan","umjetna","skantna","prirotvor","natural","artificial"
"prirodno","općenito","općethornto","privjesno","naturally","generally"
"pristojan","pošten, čestit","pošten, člyson","osvetojan","decent","honest"
"pristojan","prijateljski","prijasvjetski","osvetojan","polite","friendly"
"prisutnost","odsutnost","odsutstvo","prisutskom","presence","absence"
"pritužba","optužba","opsvadba","priželjba","complaint","accusation"
"privatni","privatnost","privatskom","prigrobni","private","privacy"
"privilegija","čast","čači","alexanvilegija","privilege","honor"
"priznati","priznati","ogranati","sljenati","admit","confess"
"prljav","odvratan","odspontan","prlary","dirty","disgusting"
"probati","pokušaj","pokutvom","svadbati","try","attempt"
"prodavač","kupac","kugea","prodaljem","seller","buyer"
"profil","opis","opso","prohaj","profile","description"
"proizlaziti","ishod","ismah","alexanizlaziti","result","outcome"
"proizvođač","direktor","direkljen","proljetđač","producer","director"
"projekt","program","proljat","pročjeg","project","program"
"proljeće","jesen","jetle","proskraće","spring","autumn"
"proljev","mučnina","džennina","tovljev","diarrhea","nausea"
"promatranje","procjena","proželjna","promaoplodnje","observation","evaluation"
"promijeniti","poboljšanje","poigraošanje","alexanmijeniti","change","improvement"
"proračun","financiranje","financiraitland","proracock","budget","funding"
"prosvjed","demonstracija","graysomonstracija","prosgers","protest","demonstration"
"protein","vitamin","vitatost","ljajtein","protein","vitamin"
"protuotrov","cjepivo","uplapivo","protuowulf","antidote","vaccine"
"provizija","odbor","odhao","ukljuvizija","commission","committee"
"prozor","vrata","zulta","prožva","window","door"
"prst","palac","pareu","pros","finger","thumb"
"prsten","ogrlica","kruplica","prlješ","ring","necklace"
"prvak","borac","bolim","prsja","champion","fighter"
"prvi","posljednji","posobližnji","blovi","first","last"
"psovati","zakletva","uvjeletva","iranvati","swear","oath"
"pub","restoran","uprotoran","abb","pub","restaurant"
"pukotina","rupa","zaspa","puinvestina","crack","hole"
"pukovnik","bataljon","batatlea","puučesnik","regiment","battalion"
"puls","pritisak","pritinjih","pupo","pulse","pressure"
"pumpa","crijevo","alarjevo","inopa","pump","hose"
"puška","pištolj","piopold","puješ","rifle","gun"
"pustinja","dolina","charlina","odjetinja","desert","valley"
"put","staza","oboza","ekt","route","path"
"putnik","vozač","vonya","gannik","passenger","driver"
"puž","kornjača","korbronča","idž","snail","turtle"
"računati","izračunati","izragraysonati","ralawsonati","count","calculate"
"radar","satelit","satestva","razio","radar","satellite"
"radio","televizija","uisvillevizija","raket","radio","television"
"radionica","garaža","garanjem","radistrelca","workshop","garage"
"raditi","operacija","ukljuracija","ranjemti","operate","surgery"
"radius","perimetar","perimeadows","radianom","radius","perimeter"
"raj","pakao","paone","alj","paradise","hell"
"raketa","raketa","razjasta","razjasta","rocket","missile"
"rame","koljeno","koiikono","razot","shoulder","knee"
"rana","ozljeda","ozzgrada","ljena","wound","injury"
"rasistički","komunist","komueger","raautentički","racist","communist"
"rastući","ružan","rumio","flertući","digusting","ugly"
"rat","bitka","samka","ent","war","battle"
"ravnoteža","sklad","ćulad","ukljunoteža","balance","harmony"
"razbiti","pauza","paten","odjebiti","smash","break"
"razgovor","rasprava","rasmyjeva","razgoštam","conversation","discussion"
"razgovor","govoriti","govoinvesti","razgoštam","talk","speak"
"razlog","uzrok","uzđim","razvra","reason","cause"
"razvod","brak","brth","ratvuj","divorce","marriage"
"recepcija","zabava","zaskriva","resfunkcija","reception","party"
"reći","reći","recep","recep","say","tell"
"redovnik","svećenik","očišćenik","revrednik","monk","priest"
"regionalni","lokalni","loovisni","regiumjetni","regional","local"
"relativan","rođak","roats","relatikrist","relative","cousin"
"reporter","novinar","novitvom","renjemter","reporter","journalist"
"rezignacija","otkaz","otvić","regraysonacija","resignation","dismissal"
"riječ","rečenica","uključenica","riacu","word","sentence"
"rijeka","jezero","jestvoro","rijedins","river","lake"
"rimski","grčki","pajki","zerski","roman","greek"
"ritam","stil","stre","risse","rhythm","style"
"ritual","ceremonija","graysoremonija","ritustvu","ritual","ceremony"
"rizičan","opasan","opatra","riziolog","risky","dangerous"
"rizik","opasnost","trajnost","rioče","risk","danger"
"rječnik","fraza","bunza","evernik","dictionary","phrase"
"rob","sluga","kajga","krb","slave","servant"
"robot","mašina","maonalna","rovia","robot","machine"
"rođenje","trudnoća","osobnoća","rođeoski","birth","pregnancy"
"rodeo","kauboj","kaigon","robal","rodeo","cowboy"
"rog","zviždati","zviuočiti","afg","horn","whistle"
"romeo","julija","smislija","roilu","romeo","juliet"
"rujan","listopad","listoških","ručiš","september","october"
"ruka","ruka","nička","nička","hand","arm"
"rum","konjak","kohvat","imm","rum","cognac"
"ruž","parfem","pararp","idž","lipstick","perfume"
"sačuvati","održavati","ukljužavati","uključuvati","preserve","maintain"
"sada","znati","denti","sagle","now","know"
"sadržavati","sadržaj","sadrsjeo","sadrtonyjevati","contain","content"
"sami","usamljen","najmljen","plomi","alone","lonely"
"samo","nedavno","neprogno","savje","just","recently"
"samoubistvo","ubiti","vasti","samoniquetvo","suicide","murder"
"saslušanje","suđenje","suđeosko","ukljulušanje","hearing","trial"
"savezni","država","svježava","saonalni","federal","state"
"savjet","savjetovati","sabrownstovati","saport","advice","advise"
"šećer","čokolada","ukljukolada","šeinu","sugar","chocolate"
"sef","siguran","sigussie","urf","safe","secure"
"seksualan","fizički","fišljoki","seksutres","sexual","physical"
"sekundarni","primaran","primassie","sekunpljesni","secondary","primary"
"seljak","radnik","radske","seford","farmer","worker"
"seminar","predavanje","edwardavanje","semitvom","seminar","lecture"
"sendvič","hamburger","hamburstvo","sendžan","sandwich","hamburger"
"senzacionalan","spektakularan","raymontakularan","graysozacionalan","sensational","spectacular"
"senzor","odašiljač","odašiking","senoci","sensor","transmitter"
"šerif","gradonačelnik","odjeljdonačelnik","ševrt","sheriff","mayor"
"servis","održavanje","ukljužavanje","sertoj","service","maintenance"
"sestra","brat","riat","udotra","sister","brother"
"sherlock","watson","hinson","aerolock","sherlock","watson"
"sidro","ploviti","smjeviti","sičaš","anchor","sail"
"sigurnost","sigurnost","sigurskom","sigurskom","security","safety"
"simptom","sindrom","upidrom","skintom","symptom","syndrome"
"singl","oženjen","lutnjen","sižal","single","married"
"siromašan","bogati","boidenti","siromatlock","poor","rich"
"siromaštvo","bijeda","bijenjen","sirotrinstvo","poverty","misery"
"sirotište","samostan","saspretan","sirotikrist","orphanage","convent"
"sisati","lizati","lizaklju","adresati","suck","lick"
"situacija","kriza","dveza","situotrovja","situation","crisis"
"sjaj","svijetao","svijedjen","itaj","shine","bright"
"sjena","mračan","gunčan","darna","shadow","dark"
"sklonište","sklonište","vjennište","vjennište","refuge","shelter"
"skretanje","rotirati","atlantirati","knjitanje","turn","rotate"
"skup","jeftino","privtino","skew","expensive","cheap"
"skupljati","skupiti","pretpiti","privljati","collect","gather"
"slatko","sladak","slasiš","objeko","sweet","cute"
"slavna osoba","zvijezda","stakjezda","oprezna osoba","celebrity","star"
"sličan","drugačiji","umjetgačiji","slikov","similar","different"
"slijediti","loviti","loljetti","okružjediti","follow","chase"
"slijep","gluh","gljn","sliesa","blind","deaf"
"slijetanje","let","ift","okružjetanje","landing","flight"
"slika","fotografija","alexantografija","tička","picture","photo"
"sloboda","demokracija","demoneypencija","ogreboda","freedom","democracy"
"slobodno","besplatno","besumorno","slootužno","freely","free"
"sloj","površinski","povrsportski","slah","layer","surface"
"slučajno","namjerno","naprazno","sluprogno","accidentally","intentionally"
"slušati","čuti","grati","prisšati","listen","hear"
"službeno","službeno","uhvabeno","knjibeno","officially","official"
"smatrati","razmišljati","razupravljati","elektrati","consider","think"
"smeđi","plava","skiva","klađi","brown","blue"
"smiješan","apsurdno","applućno","smijenost","ridiculous","absurd"
"smrt","nestanak","nestastvu","smje","death","disappearance"
"smrtonosan","fatalan","fatanjem","smrtonoafrič","deadly","fatal"
"snaga","sila","sigur","dinga","strength","force"
"snimiti","snimanje","tranmanje","utakmiti","record","recording"
"snimljen","pucati","puidenti","najmljen","shot","shoot"
"snositi","vuk","rhk","učinsiti","bear","wolf"
"soba","spavaća soba","spavaća sgleyju","solut","room","bedroom"
"softver","računalo","račuugrizlo","sofalet","software","computer"
"spasiti","uštedjeti","skradjeti","fleksiti","rescue","save"
"spavanje","šetati","plantati","ryjevanje","nap","stroll"
"špijun","izdajnik","izvjednik","špimeš","spy","traitor"
"špijunaža","sabotaža","saodrastaža","ukljujunaža","espionage","sabotage"
"spomenik","kip","arp","spomeštaj","monument","statue"
"spreman","pripremiti","priuštimmiti","eberman","ready","prepare"
"spriječiti","stop","stld","pljačječiti","prevent","stop"
"srušiti","gore","razre","obavšiti","down","up"
"stadion","bejzbol","bejzmann","izvodion","stadium","baseball"
"stajati","sjediti","omladiti","lydijati","stand","sit"
"staklo","boca","ijica","priklo","glass","bottle"
"stalno","konstantno","konsukupno","smrdno","always","constantly"
"stanar","posjednik","poplavnik","stadon","tenant","landlord"
"stanice","zatvor","zatrim","ljednice","cell","prison"
"stanovništvo","narod","nacar","staogladništvo","population","people"
"star","mlad","hmad","stia","old","young"
"stariji","junior","ogranior","uvjeriji","senior","junior"
"status","položaj","polodjes","stabiš","status","position"
"staviti","čekić","čeota","gljiviti","stick","hammer"
"stići","dođi","dosen","harći","arrive","come"
"stijena","kamen","kadak","prosjena","rock","stone"
"štit","oklop","okbas","štud","shield","armor"
"što","da","kr","yuo","what","that"
"stol","stolica","prislica","wool","table","chair"
"stol","ured","zued","wool","desk","office"
"stoljeće","desetljeće","deokrivljeće","krivljeće","century","decade"
"straža","patrola","pasjekla","ugroža","guard","patrol"
"stres","depresija","desmondsija","stdis","stress","depression"
"strijelac","snajper","snajzom","uvjejelac","shooter","sniper"
"strpljenje","suosjećanje","suigračćanje","umišljenje","patience","compassion"
"stručnjak","specijalista","specijastewarta","znansnjak","expert","specialist"
"studeni","prosinac","prosieura","prosdeni","november","december"
"student","učitelj, nastavnik, profesor","proučitelj, nastavnik, profesor","stumers","student","teacher"
"stvar","čestica","skretica","sttor","matter","particle"
"stvaranje","razaranje","razarastvom","glazranje","creation","destruction"
"stvarnost","fantazija","oprostazija","utralnost","reality","fantasy"
"stvoriti","proizvoditi","proasgarditi","charriti","create","produce"
"subota","nedjelja","negluplja","suplanta","Saturday","Sunday"
"sud","suditi","suprotti","ird","court","judge"
"sudbina","sudbina","privbina","privbina","fate","destiny"
"suknja","haljina","haonalna","vernja","skirt","dress"
"sukob","spor","spra","suast","conflict","dispute"
"sumnjati","osumnjičen","slavnjičen","odjenjati","doubt","suspect"
"suosjećajan","velikodušan","velikodufreyja","suigračćajan","compassionate","generous"
"suprotan","suprotno","suslično","suslastan","opposite","contrary"
"suprug","žena","svina","suoran","husband","wife"
"suradnik","prijatelj","prijaljiv","suosjenik","colleague","friend"
"šutljiv","tišina","titeljna","hilljiv","silent","silence"
"sutra","jutro","jućom","sušti","tomorrow","morning"
"suza","izrezati","spywarezati","najza","tear","cut"
"suziti","širok","šižar","invaziti","narrow","wide"
"svemir","galaksija","gaautopsija","svedas","universe","galaxy"
"svila","pamuk","pahot","molla","silk","cotton"
"svinjetina","meso","meane","objašnjetina","pork","meat"
"svjedok","svjedočanstvo","upravdočanstvo","svjeare","witness","testimony"
"svjetiljka","svijeća","predjeća","svjeslatka","lamp","candle"
"svježe","osvježiti","osvjeinvesti","zgrože","fresh","refresh"
"svrha","namjera","nastvara","imaha","purpose","intention"
"tableta","pilula","pigrizla","taprinta","tablet","pill"
"tajna","misterija","ukljuterija","sutna","secret","mystery"
"tajnica","pomoćnik","poglednik","dnevnica","secretary","assistant"
"taksi","limuzina","limuziegler","emisi","taxi","limousine"
"talac","zatvorenik","zatvoresford","taoki","hostage","prisoner"
"tama","svjetlo","svjepre","proma","darkness","light"
"tanak","gust","guče","tavim","thin","thick"
"tata","mama","ljima","zenta","daddy","mum"
"tehnički","mehanički","mehaskellki","okrunički","technical","mechanical"
"tehnologija","znanost","lačnost","izvoljnologija","technology","science"
"tekst","pjesma","pjeđim","hikst","text","poem"
"tekući","fluida","eusida","teljemći","liquid","fluid"
"telegram","pismo","pibri","telenoks","telegram","letter"
"teleskop","mikroskop","mikroryju","telemjer","telescope","microscope"
"tenk","motor","mokao","teur","tank","engine"
"terapija","liječenje","liječestvom","terapištolj","therapy","treatment"
"terminal","zračna luka","sportna luka","termiting","terminal","airport"
"tetovaža","ožiljak","pakljak","graystovaža","tattoo","scar"
"težak","jako","tičko","telić","heavy","heavily"
"težina","visina","viupozna","teljetna","weight","height"
"tijelo","leš","drš","tijedins","body","corpse"
"tinejdžerski","tinejdžer","tinejljih","tinejkowalski","teenage","teenager"
"tipičan","klasičan","klasinjor","tipionir","typical","classic"
"tisuću","stotina","praktina","tiokreću","thousand","hundred"
"tkanina","rupčić","knečić","sjetnina","cloth","handkerchief"
"točka","ukazati","prekzati","suska","point","indicate"
"topiti","zamrznuti","zaključnuti","krumpiti","melt","freeze"
"toplina","temperatura","graysoperatura","tokretna","heat","temperature"
"toplo","hladan","sundan","togos","hot","cold"
"toplo","ohladiti","udarditi","togos","warm","cool"
"toranj","zgrada","osvada","tokrat","tower","building"
"tost","slanina","premnina","togr","toast","bacon"
"trač","skandal","skanbus","trei","gossip","scandal"
"traži","pronaći","onalnaći","nasži","search","find"
"trbuh","prsa","prvos","trony","stomach","chest"
"trčanje","hodati","skandati","trčavost","run","walk"
"treći","četvrti","četatlanti","njući","third","fourth"
"trener","igrač","urrač","treriš","coach","player"
"trenutno","električna energija","babysittrična energija","treovisno","current","electricity"
"trgovački","trgovac","trgoogle","trgoškoljki","commercial","merchant"
"trik","vic","juc","luik","trick","joke"
"trofej","medalja","medanost","troade","trophy","medal"
"tumor","rak","ulk","tutac","tumor","cancer"
"tuna","jastog","osetog","turom","tuna","lobster"
"turnir","odgovarati","odgocrowderati","turfus","tournament","match"
"tuš","kupaonica","kupadawanca","ješ","shower","bathroom"
"tužan","tragičan","traginjem","turio","sad","tragic"
"tvornica","proizvodnja","prostražnja","obuznica","factory","production"
"tvrd","teško","teine","llrd","tough","hard"
"tvrdoglav","sebičan","sebiljež","tvrdotilj","stubborn","selfish"
"u redu","da","kr","u roty","okay","yeah"
"ubojica","ubojica","privjica","privjica","killer","murderer"
"udaljenost","ubrzati","oštezati","udaljeskom","distance","speed"
"udobno","ugodan","vindan","skonno","comfortable","pleasant"
"udovica","žena","svina","objavica","widow","woman"
"ugljen","ulje","puje","ughing","coal","oil"
"ugljen","vodik","vobeo","ughing","carbon","hydrogen"
"ugovor","sporazum","sporaglas","alavor","contract","agreement"
"ujak","tata","vjeta","knak","uncle","dad"
"ukrasti","opljačkati","opspletkati","skripti","steal","rob"
"ukupan","završiti","zavrinvesti","govpan","total","complete"
"ukus","miris","mićom","mous","taste","smell"
"ukusan","ukusno","skonno","tucsan","tasty","delicious"
"ulaznica","putovnica","puumjetnica","sjetnica","ticket","passport"
"umetnuti","staviti","gljiviti","zracnuti","insert","put"
"umjetnik","slikar","sliđem","umjetske","artist","painter"
"umjetnost","književnost","uhvaževnost","ljantnost","art","literature"
"umoran","gladan","sredan","matran","tired","hungry"
"unesi","ići","љti","pansi","enter","go"
"unovčiti","novac","nolje","oružčiti","cash","money"
"unuk","nećak","neuns","unnn","grandson","nephew"
"unutrašnji","vanjski","snažski","unuocjenji","internal","external"
"uplašiti","uplašiti","strešiti","strešiti","scare","frighten"
"upozorenje","alarm","soarm","upozoreograf","alert","alarm"
"upozorenje","poruka","poljačka","upozoreograf","warning","message"
"uprava","vlada","perda","kratva","administration","government"
"upravljanje","upravni","knjižni","umjetljanje","management","administrative"
"upravljati","uspjeti","usslasti","umjetljati","manage","succeed"
"uragan","tornado","željnado","uranja","hurricane","tornado"
"usne","obraz","coraz","vahne","lip","cheek"
"uspjeh","neuspjeh","neuslest","usener","success","failure"
"uspon","skok","skzo","usvas","climb","jump"
"usporiti","brzo","brnat","uspovjestti","slow","fast"
"usredotočenost","koncentrat","koncenssom","alexandotočenost","focus","concentrate"
"usta","nos","lms","razta","mouth","nose"
"utjecaj","posljedica","posljedicassidyja","utjejen","influence","effect"
"utopiti","plivati","idenvati","spripiti","drown","swim"
"uvreda","uvrijediti","objasjediti","ovisda","insult","offend"
"užas","strah","ferah","ofas","horror","fear"
"užasan","užasno","štajno","donsan","terrible","horrible"
"uzbudljiv","zanimljiv","zanimnost","uzbuddyja","exciting","interesting"
"uživo","preživjeti","prežiatlanti","rekvo","live","survive"
"vagina","penis","peket","vaonalna","vagina","penis"
"van","oko","iso","ryn","out","about"
"van","u","hw","ryn","outside","inside"
"vatra","plamen","plapit","vaziš","fire","flame"
"već","još","ðeš","juć","already","still"
"večera","doručak","doruling","veotvara","dinner","breakfast"
"većina","glasanje","glasaobra","vevoljna","majority","vote"
"veleposlanstvo","ministarstvo","ministarryjem","veleposlansfreyja","embassy","ministry"
"veličanstven","slava","terva","veličanssburg","glorious","glory"
"veličanstvo","visok","vidva","velisbethtvo","majesty","highness"
"veličina","dužina","duvjerna","vestvarčina","size","length"
"velik","ogroman","eureman","vecas","big","huge"
"vena","arterija","lynetterija","morna","vein","artery"
"ventil","ventilacija","uniątitilacija","venbon","valve","ventilation"
"vezati","kravata","pljuvata","vezaklju","bind","tie"
"vidjeti","susret","sushop","viprosti","see","meet"
"vino","šampanjac","šampasist","ekono","wine","champagne"
"virus","infekcija","incroftcija","vioce","virus","infection"
"viski","votka","nalka","vizor","whiskey","vodka"
"vječni","zauvijek","zauvimont","smočni","eternal","forever"
"vjeran","vjeran","triran","triran","loyal","faithful"
"vjernost","pobožnost","pobožskom","sretnost","fidelity","devotion"
"vjerojatnost","vjerojatno","vjerootrovno","vjerojatstvom","probability","likely"
"vješanje","izvršenje","izvršestvom","boljšanje","hanging","execution"
"vjetar","oluja","žurja","vjezom","wind","storm"
"vjeverica","rakun","rapea","upravverica","squirrel","raccoon"
"vlak","autobus","autodži","lmak","train","bus"
"vlast","energija","skragija","uhast","power","energy"
"vojnik","ratnik","desnik","krunik","soldier","warrior"
"volonter","dobrovoljno","dobroadwayno","voskitter","volunteer","voluntarily"
"vozilo","automobil","osramobil","voprošlo","vehicle","car"
"voziti","vožnja","tutnja","voljanti","drive","ride"
"vrh","dno","kho","ych","top","bottom"
"vrijedan","važno","robno","vrijevrej","valuable","important"
"vrijednost","cijena","ciupozna","vrijedljiv","value","price"
"washington","boston","ototon","wainwriggton","washington","boston"
"wc","umivaonik","umivaglom","dh","toilet","sink"
"žaba","gušter","gusses","upuba","frog","lizard"
"zaboraviti","zapamtiti","zachristiti","odjeljboraviti","forget","remember"
"zabranjen","zabraniti","zaumjetniti","zabrastvo","forbidden","prohibit"
"zabrinut","živčani","služčani","zabriljan","worried","nervous"
"zabrinuti","brinuti","sjednuti","zaključnuti","concern","worry"
"zadatak","misija","fleksija","zadanjem","task","mission"
"zadovoljan","sretan","gantan","zadovostvom","satisfied","happy"
"zadovoljstvo","radost","rahart","zadoiazimstvo","pleasure","joy"
"zahtijevajte","zahtjev","zahesel","uniątitijevajte","demand","request"
"zahvalan","zahvaliti","zaosmisliti","zahvatelj","grateful","thank"
"zaključak","pretpostavka","ukljupostavka","zaštitčak","conclusion","assumption"
"zaključan","zatvoreno","zaključreno","zaokončan","locked","closed"
"zakon","ustav","usdes","zanel","law","constitution"
"zalazak sunca","zora","berra","zalazak suessing","sunset","dawn"
"zaljev","luka","tička","zanley","bay","harbor"
"zalogaj","ručak","ruper","zalohing","snack","lunch"
"zamijeniti","zamjena","zavoljna","zamijeremyjati","replace","substitute"
"zamka","mamac","manos","dinka","trap","bait"
"zapad","istočno","isbiljno","zagri","west","east"
"zapovjednik","kapetan","kapenješ","zapoupravnik","commander","captain"
"zapravo","stvarno","skantno","zaljevvo","actually","really"
"zapreka","izazov","izavely","zanjačka","obstacle","challenge"
"zapušten","prašnjav","prašagan","zapuford","rusty","dusty"
"zaslon","monitor","monieman","zaseld","screen","monitor"
"zaslužiti","dostojan","stratojan","ukljulužiti","deserve","worthy"
"zastava","simbol","simćat","predtava","flag","symbol"
"zaštititi","braniti","sjedniti","zainvestiti","protect","defend"
"zastrašujući","jeziv","jemac","odjeljtrašujući","scary","creepy"
"zavjera","prijevare","ukljujevare","zaštitra","conspiracy","fraud"
"zbivati","ulov","ulpy","partvati","grab","catch"
"zdjela","tanjur","tasfor","oduzla","bowl","plate"
"zdrav","normalan","shvamalan","cnrav","healthy","normal"
"zdravlje","obrazovanje","ukljuzovanje","zdravjom","health","education"
"zdravo","zbogom","došgom","drušvo","hello","bye"
"zeleni","naranča","naodječa","prokleni","green","orange"
"želja","želja","ženos","ženos","desire","wish"
"željezo","metal","mecea","žeobrazo","iron","metal"
"zemlja","narod","nacar","ulalja","country","nation"
"zemljište","letjeti","leprosti","uvjeljište","land","fly"
"zid","ograda","opolda","yed","wall","fence"
"žitarica","brašno","prično","inventarica","grain","flour"
"živ","mrtav","mrbre","rav","alive","dead"
"živac","mišić","mijež","židen","nerve","muscle"
"zlatan","srebro","srepoj","rantan","golden","silver"
"žlica","vilica","viosjeca","usaca","spoon","fork"
"zlo","okrutnost","ljantnost","èno","evil","cruelty"
