pairID,word1,word2,POS,similarity,association,n_sim,n_asso,JWSAN_1400
p0472,吊る,垂れる,2,2.75,3.7,170,160,1
p0473,吊るす,括る,2,1.69,2.55,150,140,1
p0474,定める,打ち立てる,2,2.33,3,180,150,1
p0475,締め付ける,許す,2,0.62,1.65,160,150,0
p0476,纏う,羽織る,2,2.84,3.25,160,150,1
p0477,纏める,引っ張る,2,1.42,3.11,160,170,1
p0478,吐く,戻す,2,2.96,3.68,170,130,1
p0479,塗る,乾かす,2,1,3.46,160,100,1
p0480,怒る,静める,2,0.75,3.07,150,140,1
p0481,怒鳴る,生き返る,2,0.53,1.23,180,130,0
p0482,投ずる,凝らす,2,1.14,2.1,170,150,1
p0483,盗む,仕留める,2,0.99,2.11,160,150,0
p0484,当て嵌める,飾る,2,1.05,2.17,180,140,0
p0485,逃げる,匿う,2,1.38,3.28,140,130,0
p0486,働き掛ける,弾む,2,1.05,1.9,140,130,1
p0487,働く,稼ぐ,2,3.76,4.96,160,120,1
p0488,動く,崩す,2,1.28,2.84,140,130,1
p0489,読み取る,暴く,2,1.85,3,160,100,0
p0490,読み返す,そそる,2,0.74,2.09,140,130,0
p0491,突き刺す,赤らめる,2,0.7,1.5,160,150,0
p0492,入れる,掛ける,2,1.38,2.37,170,160,1
p0493,入れる,差し込む,2,3.77,4.38,180,130,0
p0494,入れ替える,変える,2,3.52,3.91,180,150,1
p0495,任せる,決め込む,2,1.38,2.19,130,150,0
p0496,燃える,捕らえる,2,0.62,1.62,170,140,1
p0497,培う,育てる,2,3.69,4.24,150,140,1
p0498,剥ぐ,取り除く,2,3.5,4.1,180,160,1
p0499,薄れる,霞む,2,3.05,3.64,150,150,1
p0500,縛り付ける,省く,2,0.72,1.56,180,160,0
p0501,発する,逃がす,2,0.83,1.85,170,130,0
p0502,反する,捨てる,2,1.09,2.36,180,140,1
p0503,犯す,裁く,2,1.23,3.47,170,150,1
p0504,飛ばす,歩く,2,0.82,2.08,170,130,1
p0505,飛び上がる,売り込む,2,0.61,1.35,160,150,0
p0506,飛び立つ,きらめく,2,0.95,2.33,160,150,0
p0507,表わす,嘲る,2,1.33,2.26,180,130,0
p0508,付き纏う,遠ざける,2,0.8,2.49,160,150,0
p0509,付け加える,増す,2,3.31,4.09,150,150,1
p0510,付する,笑う,2,0.88,2.02,170,130,0
p0511,舞い上がる,浮かす,2,2.2,3.19,170,160,0
p0512,舞い戻る,返る,2,3.11,3.53,170,150,1
p0513,舞う,補う,2,0.72,1.71,190,140,0
p0514,覆う,均す,2,1.32,2.27,170,160,0
p0515,覆す,組み替える,2,1.68,2.83,180,160,0
p0516,物語る,訳す,2,1.58,3.21,160,100,1
p0517,分かる,通ずる,2,3.25,4.29,190,140,1
p0518,分ける,舞う,2,0.81,1.65,170,130,0
p0519,焚く,燃やす,2,3.88,4.63,150,150,1
p0520,聞き入れる,付け加える,2,1.3,2.19,130,150,0
p0521,並べる,敷く,2,2.48,3.5,160,150,1
p0522,閉じる,始まる,2,0.79,2.45,160,100,1
p0523,変える,改める,2,3.55,4.32,170,140,1
p0524,変える,直す,2,2.48,3.67,130,150,1
p0525,変わる,改まる,2,3.04,4.15,160,120,1
p0526,崩れ落ちる,挑む,2,0.75,2.12,150,140,0
p0527,放つ,書き記す,2,0.79,1.7,160,100,0
p0528,放る,刈る,2,1.05,1.96,160,120,0
p0529,放る,崩す,2,1.53,2.89,190,140,1
p0530,亡くなる,失せる,2,2.91,3.81,130,150,1
p0531,亡くなる,消え失せる,2,3.51,4.06,160,150,1
p0532,亡くなる,逝く,2,5.29,5.21,170,130,1
p0533,亡くなる,無くなる,2,2.22,3.33,130,150,1
p0534,妨げる,遮る,2,3.83,4.21,180,140,1
p0535,忘れる,葬る,2,1.81,3.33,190,140,1
p0536,暴れる,決める,2,0.55,1.48,150,150,0
p0537,吠える,吹かす,2,1.33,2.28,180,130,0
p0538,翻す,覆す,2,2.44,3.43,140,130,1
p0539,埋める,詰める,2,2.4,3.18,180,140,1
p0540,埋める,満たす,2,2.9,3.71,160,100,1
p0541,無くす,打ち消す,2,3.1,3.84,150,150,1
p0542,無くなる,逝く,2,2.81,3.89,180,130,1
p0543,名付ける,嘲る,2,1.06,2.05,190,140,0
p0544,儲ける,受け取る,2,1.58,3.27,170,160,1
p0545,儲ける,勝ち取る,2,2.18,3.79,150,140,1
p0546,目覚める,起きる,2,4.69,5.14,150,140,1
p0547,癒す,直る,2,2.51,3.11,150,150,1
p0548,有る,発する,2,1.64,2.73,170,160,1
p0549,揺さぶる,入れる,2,0.9,2.15,170,150,0
p0550,揺らす,張り付ける,2,0.79,1.54,150,150,0
p0551,溶かす,失う,2,1.55,2.96,150,150,1
p0552,溶かす,焦がす,2,1.47,2.81,170,150,0
p0553,来る,込み上げる,2,1.53,2.87,140,130,1
p0554,頼る,現われる,2,0.88,1.94,140,130,1
p0555,履く,羽織る,2,2.24,3.43,170,150,1
p0556,履く,纏う,2,1.67,3.01,180,160,1
p0557,立つ,見下ろす,2,1.69,3.03,170,150,1
p0558,立てる,軋む,2,1.06,2.16,180,140,0
p0559,流れる,突き抜ける,2,1.18,2.25,180,150,0
p0560,冷える,収まる,2,1.05,1.78,150,140,1
p0561,和らぐ,静まる,2,2.78,3.56,180,130,1
p0562,和らぐ,薄れる,2,2.39,3.21,160,150,1
p0563,和らげる,静める,2,3.11,4.1,170,140,1
p0564,唸る,吠える,2,2.83,3.79,180,130,1
p0565,嗅ぐ,匂う,2,4.01,4.8,170,130,1
p0566,揉む,打ち上げる,2,0.7,1.52,170,130,0
p0567,睨む,考える,2,1.03,2.24,170,130,1
p0568,おしっこ,街路,1,0.59,2.05,150,140,0
p0569,おしっこ,窒素,1,1.14,2.33,130,150,0
p0570,けち,暗黒,1,0.76,1.71,180,140,0
p0571,ずれ,格差,1,2.85,3.91,170,140,1
p0572,ずれ,相違,1,4.22,4.58,170,150,1
p0573,ジャガ芋,玉葱,1,1.43,3.49,160,170,0
p0574,ノウハウ,技能,1,3.48,4.42,170,130,1
p0575,マージャン,屈折,1,0.66,1.31,180,160,0
p0576,ミリグラム,用法,1,1.01,2.51,180,160,0
p0577,阿呆,馬鹿,1,4.63,4.58,160,150,1
p0578,愛好,賛美,1,2.15,3.29,130,150,1
p0579,愛着,無駄,1,0.68,1.96,160,150,0
p0580,悪戯,官吏,1,0.99,1.86,170,150,0
p0581,悪戯,小僧,1,1.38,3.59,180,160,1
p0582,圧迫,押し,1,3.49,4.08,160,100,1
p0583,安心,散乱,1,0.71,1.73,150,140,0
p0584,安心,平穏,1,3.79,4.69,160,170,1
p0585,安全,原子,1,0.66,2.35,160,100,1
p0586,暗黒,星座,1,1.02,2.54,170,130,0
p0587,暗殺,要員,1,0.84,2.63,160,120,1
p0588,案内,誘導,1,3.75,4.54,150,140,1
p0589,位置,場所,1,4.29,4.68,140,130,1
p0590,位置,地点,1,3.83,4.33,160,150,1
p0591,委任,権限,1,1.71,3.73,190,140,1
p0592,威厳,重み,1,2.86,3.93,180,160,0
p0593,意気,根性,1,2.46,3.55,160,150,1
p0594,意見,確信,1,1.33,2.94,170,140,1
p0595,意見,鑑定,1,1.47,2.87,170,130,1
p0596,意志,決心,1,3.33,4.59,180,130,1
p0597,意志,決断,1,2.79,4.35,130,150,1
p0598,意識,自覚,1,3.32,4.31,150,140,1
p0599,意匠,装飾,1,2.03,3.06,180,150,1
p0600,意欲,願い,1,1.82,3.26,180,150,1
p0601,椅子,会館,1,0.81,3.21,180,150,1
p0602,異端,迫害,1,1.67,3.42,160,150,1
p0603,移民,恐慌,1,0.94,2.56,190,140,1
p0604,育成,高揚,1,0.81,1.79,160,150,0
p0605,一口,配当,1,1.59,3.51,170,150,1
p0606,一緒,集合,1,2.78,3.84,130,150,1
p0607,一緒,連合,1,2.88,3.85,180,130,1
p0608,一切,全て,1,3.7,4.25,170,140,1
p0609,一節,賛美,1,0.88,2.29,170,140,0
p0610,一節,通過,1,1.17,2.39,160,120,1
p0611,一節,通行,1,0.98,1.69,150,150,0
p0612,一節,部分,1,3.53,3.86,150,140,1
p0613,一族,名門,1,2.2,3.73,170,150,1
p0614,一端,部分,1,3.33,3.91,160,150,1
p0615,一日,派手,1,0.41,1.06,160,150,0
p0616,一杯,最大,1,2.31,3.38,150,150,1
p0617,一杯,多く,1,2.33,3.39,180,160,1
p0618,一連,道具,1,0.87,2.15,190,140,0
p0619,一揆,騒動,1,3.38,4.19,160,150,1
p0620,一揆,暴動,1,3.96,4.59,170,130,1
p0621,一揆,連帯,1,1.67,3.29,150,150,1
p0622,印象,感情,1,2.03,3.39,180,140,1
p0623,印象,感想,1,3.23,4.26,190,140,1
p0624,印象,感銘,1,2.29,3.61,170,160,1
p0625,印象,輸出,1,0.58,1.19,180,130,1
p0626,因子,局面,1,1.3,2.4,160,150,1
p0627,引っ越し,移転,1,4.33,4.98,150,140,1
p0628,宇宙,膨張,1,1.54,3.36,180,130,1
p0629,運行,孤独,1,0.74,1.49,150,140,0
p0630,運賃,区間,1,1.59,4.27,160,150,1
p0631,運賃,相対,1,0.74,1.97,160,150,0
p0632,映像,面影,1,1.91,3.5,150,140,1
p0633,衛生,消毒,1,3.12,4.75,160,120,1
p0634,液体,親友,1,0.34,0.77,160,150,1
p0635,園芸,法案,1,0.58,1.19,160,120,0
p0636,延長,継続,1,3.32,4.36,180,130,1
p0637,援助,救い,1,4.17,4.73,150,150,1
p0638,援助,救済,1,3.83,4.49,190,140,1
p0639,援助,支え,1,3.99,4.59,190,140,1
p0640,援助,支持,1,2.98,3.92,170,130,1
p0641,援助,配慮,1,2.09,3.34,170,160,1
p0642,援助,補佐,1,3.32,3.81,160,150,1
p0643,沿岸,漁業,1,1.65,4.2,190,140,1
p0644,演技,芝居,1,4.78,5.04,170,140,1
p0645,演劇,狂言,1,2.98,4.37,170,140,1
p0646,演習,訓練,1,3.96,4.53,180,160,1
p0647,演出,脚本,1,2.46,4.48,140,130,1
p0648,演出,分岐,1,0.99,1.74,170,150,0
p0649,煙突,賞金,1,0.37,1.09,180,150,0
p0650,塩基,油断,1,0.81,1.48,160,100,0
p0651,塩分,風味,1,1.51,3.5,140,130,1
p0652,応援,支え,1,3.86,4.62,170,160,1
p0653,応援,支持,1,4.05,4.66,170,130,1
p0654,応援,手助け,1,3.72,4.36,180,150,1
p0655,応援,補佐,1,2.59,3.64,160,170,1
p0656,応答,返事,1,4.64,4.83,160,150,1
p0657,応用,要請,1,1.15,1.97,130,150,1
p0658,横断,鉛筆,1,0.42,1.21,170,140,1
p0659,王国,装置,1,0.57,1.14,180,140,1
p0660,王室,どす,1,0.53,1.03,160,150,0
p0661,屋敷,邸宅,1,4.44,4.79,160,150,1
p0662,温泉,入浴,1,3.18,5.11,190,140,1
p0663,音声,響き,1,2.59,4.16,160,100,1
p0664,下手,茄子,1,0.67,1.38,150,150,0
p0665,下駄,便所,1,0.86,2.84,190,140,1
p0666,下落,指数,1,1.09,2.87,170,130,0
p0667,下落,種子,1,0.83,2.31,170,130,0
p0668,化け物,学問,1,0.53,1.91,160,100,0
p0669,化け物,幽霊,1,3.96,4.61,170,130,1
p0670,化粧,香水,1,2.55,4.51,150,140,1
p0671,化粧,装飾,1,3.15,4.11,130,150,1
p0672,化粧,模様,1,1.27,2.53,180,140,1
p0673,化石,行き先,1,0.39,1.26,180,150,0
p0674,化石,地層,1,2.01,4.6,150,150,1
p0675,仮説,推定,1,3.79,4.32,170,140,1
p0676,何事,指先,1,0.79,1.29,160,150,1
p0677,価格,相場,1,3.06,4.36,170,150,1
p0678,加害,過失,1,2.52,3.97,170,150,1
p0679,加害,説教,1,0.92,2.25,170,150,0
p0680,加害,打撃,1,2.03,3.39,160,150,1
p0681,加減,調整,1,3.36,3.99,160,150,1
p0682,加減,調節,1,3.99,4.58,160,100,1
p0683,加工,生産,1,2.46,4.29,140,130,1
p0684,家屋,建築,1,2.59,4.54,150,150,1
p0685,家屋,邸宅,1,4.03,4.29,170,150,1
p0686,家具,描写,1,0.61,1.61,180,140,1
p0687,家事,即位,1,0.64,1.24,190,140,0
p0688,果物,狂言,1,0.5,0.95,160,170,0
p0689,歌劇,通勤,1,0.53,1.04,170,150,0
p0690,歌詞,旋律,1,1.81,4.03,150,140,1
p0691,歌手,新人,1,0.92,3.17,180,150,1
p0692,歌謡,信心,1,0.71,1.49,180,160,0
p0693,火傷,椅子,1,0.49,1.08,160,120,0
p0694,箇所,論点,1,1.98,3.13,170,130,1
p0695,花粉,合致,1,0.66,1.28,170,150,0
p0696,過去,未来,1,1.44,4.58,170,140,1
p0697,過失,故意,1,1.92,4.06,170,130,1
p0698,過失,錯誤,1,2.11,3.22,150,140,1
p0699,過剰,炎症,1,1.02,2.36,170,130,0
p0700,蚊帳,凸凹,1,0.68,1.24,170,160,0
p0701,我慢,辛抱,1,5.06,5.22,170,160,1
p0702,我慢,水槽,1,0.39,1.39,180,150,0
p0703,画家,大佐,1,0.56,1.22,160,120,1
p0704,介入,暴動,1,1.22,2.75,180,130,0
p0705,会議,集まり,1,3.24,4.62,160,170,1
p0706,会計,経理,1,4.1,4.9,170,150,1
p0707,会合,集まり,1,4.68,5.05,160,120,1
p0708,会釈,来客,1,1.33,3.85,170,130,1
p0709,会話,鉄砲,1,0.59,1.33,170,160,0
p0710,解決,仕事,1,1.16,2.98,160,170,1
p0711,解釈,通訳,1,2.19,3.55,170,150,1
p0712,解体,農地,1,0.67,1.98,150,140,0
p0713,解放,戦線,1,0.95,2.8,130,150,1
p0714,解放,夜間,1,0.62,1.96,170,140,0
p0715,回線,端末,1,2.11,3.99,160,100,1
p0716,回転,順番,1,1.35,2.66,170,160,1
p0717,壊滅,荒廃,1,3.22,4.15,180,140,1
p0718,怪我,負傷,1,4.87,5.07,130,150,1
p0719,懐疑,告知,1,1.01,2.03,170,130,0
p0720,改正,調整,1,2.34,3.21,170,130,1
p0721,改善,革新,1,2.69,3.75,170,150,1
p0722,改善,進展,1,2.84,3.96,160,150,1
p0723,改善,進歩,1,3.26,4.37,170,130,1
p0724,改善,是正,1,3.84,4.48,180,130,1
p0725,改善,体質,1,1.11,3.22,180,160,1
p0726,改良,革新,1,2.79,4.02,170,140,1
p0727,海岸,砂浜,1,3.37,4.77,140,130,1
p0728,海峡,運河,1,2.64,4.06,170,140,1
p0729,開拓,西部,1,1.09,3.78,170,140,1
p0730,外見,形態,1,3.13,4,180,130,1
p0731,外見,形容,1,3.18,4.16,190,140,1
p0732,外出,散歩,1,2.92,4.59,160,170,1
p0733,外相,経路,1,0.85,1.79,150,140,0
p0734,概ね,要約,1,3.09,3.65,170,130,1
p0735,概念,考え,1,3.76,4.33,160,100,1
p0736,拡散,集積,1,0.84,2.4,160,150,0
p0737,拡大,渓谷,1,0.72,1.54,160,120,0
p0738,拡大,膨張,1,3.65,4.33,170,140,1
p0739,格好,顔付き,1,2.06,3.64,170,140,1
p0740,格好,見掛け,1,3.75,4.37,140,130,1
p0741,格差,開き,1,3.3,4.28,170,130,1
p0742,獲得,調達,1,3.14,3.87,170,130,1
p0743,確認,証明,1,2.56,4,180,140,1
p0744,確保,調達,1,3.38,4.24,180,160,1
p0745,確率,見込み,1,3.17,4.01,170,130,1
p0746,覚え,小石,1,0.62,1.11,160,170,0
p0747,革新,端末,1,0.89,2.15,170,160,0
p0748,活字,媒体,1,2.07,3.91,150,150,1
p0749,滑稽,丈夫,1,0.85,1.64,170,160,0
p0750,滑走,高度,1,0.97,2.8,170,130,1
p0751,株式,宿命,1,0.54,1.34,180,160,0
p0752,乾杯,会釈,1,1.23,2.85,180,160,0
p0753,勘違い,誤解,1,4.38,4.82,160,170,1
p0754,勘定,計算,1,4.29,4.86,180,130,1
p0755,勘定,補佐,1,0.86,1.74,170,130,0
p0756,完成,遂行,1,2.65,3.96,150,140,1
p0757,干渉,障害,1,1.63,3.11,190,140,1
p0758,幹事,店頭,1,0.71,1.57,160,150,0
p0759,幹部,切断,1,0.61,1.65,170,130,0
p0760,感じ,気持ち,1,3.86,4.58,160,100,1
p0761,感覚,気付き,1,2.42,3.65,170,130,0
p0762,感謝,鑑賞,1,0.65,1.73,160,100,0
p0763,感受,認知,1,2.19,3.3,190,140,0
p0764,感情,職務,1,0.64,1.58,170,130,1
p0765,感染,周年,1,0.61,1.65,170,130,0
p0766,歓喜,真珠,1,0.58,2.33,180,150,0
p0767,歓喜,旋律,1,0.91,2.15,140,130,0
p0768,環境,負荷,1,0.93,2.73,160,120,1
p0769,監獄,麻酔,1,0.83,1.56,130,150,0
p0770,監査,公認,1,1.36,2.7,170,130,1
p0771,監査,視察,1,2.96,3.91,170,140,1
p0772,監視,観察,1,3.37,4.14,160,150,1
p0773,監視,警備,1,3.49,4.43,160,150,1
p0774,監督,管理,1,3.33,4.46,170,130,1
p0775,監督,規制,1,1.78,3.26,170,130,1
p0776,管理,維持,1,2.91,4.12,180,140,1
p0777,管理,運営,1,3.11,4.36,160,150,1
p0778,管理,統制,1,3.66,4.41,160,150,1
p0779,緩和,軽減,1,3.71,4.31,170,160,1
p0780,肝臓,代謝,1,1.54,3.91,180,130,1
p0781,艦隊,奇襲,1,1.09,3.21,180,160,1
p0782,還元,核心,1,0.79,1.6,170,150,0
p0783,間違い,寄生,1,0.77,1.41,130,150,0
p0784,間違い,訂正,1,2.73,4.62,180,130,1
p0785,間柄,平気,1,0.92,2.06,150,150,0
p0786,関係,用事,1,1.11,2.5,160,100,1
p0787,関白,殿下,1,2.6,3.69,170,130,1
p0788,玩具,散乱,1,0.92,2.89,180,160,1
p0789,企画,広報,1,1.9,3.6,160,100,1
p0790,企画,立案,1,3.98,4.56,170,140,1
p0791,企業,挫折,1,0.62,1.92,180,160,0
p0792,企業,商法,1,1.84,4.08,160,150,1
p0793,危機,回避,1,1.36,3.72,160,170,1
p0794,危険,恐れ,1,3.15,4.44,160,120,1
p0795,危険,賭け,1,1.63,3.64,160,120,1
p0796,喜び,快楽,1,4.23,4.69,180,150,1
p0797,喜び,楽しみ,1,3.81,4.66,160,170,1
p0798,喜び,満足,1,3.59,4.62,180,150,1
p0799,器具,機械,1,3.24,4.25,160,170,1
p0800,基準,規範,1,3.41,4.07,170,140,1
p0801,基準,尺度,1,3.74,4.28,140,130,1
p0802,基地,少年,1,0.62,2.55,170,140,1
p0803,基盤,根底,1,3.33,3.95,160,150,1
p0804,寄与,貢献,1,3.38,4.32,170,150,1
p0805,希望,願い,1,4.26,4.78,140,130,1
p0806,希望,野心,1,2.26,3.54,180,140,1
p0807,期間,伯母,1,0.48,0.9,180,140,1
p0808,機構,貯金,1,0.79,2.26,180,130,0
p0809,機能,財産,1,0.77,1.77,150,150,1
p0810,機能,生体,1,1.37,2.95,160,150,1
p0811,機能,用途,1,2.83,3.94,170,150,1
p0812,気圧,適用,1,0.56,1.37,140,130,0
p0813,気質,特性,1,3.23,4.13,180,160,1
p0814,気質,独創,1,1.25,2.83,160,120,1
p0815,気質,冒険,1,0.93,2.16,160,150,0
p0816,気紛れ,醸造,1,0.78,1.36,170,160,0
p0817,規則,懲戒,1,1.65,3.48,170,130,1
p0818,記録,更新,1,1.67,4.21,150,140,1
p0819,起源,隕石,1,0.81,2.29,160,150,0
p0820,偽物,写し,1,2.62,3.37,170,150,1
p0821,偽物,複製,1,3.54,4.25,160,100,1
p0822,儀式,祭り,1,3.39,4.5,160,120,1
p0823,儀式,社債,1,0.71,1.56,170,140,0
p0824,戯曲,演劇,1,3.24,4.17,160,170,1
p0825,技術,熟練,1,2.64,4.48,180,160,1
p0826,疑念,我慢,1,0.87,2.13,140,130,0
p0827,疑念,直感,1,0.91,2.62,180,150,1
p0828,疑惑,直感,1,1.32,2.8,160,100,1
p0829,義父,組織,1,0.65,1.55,190,140,0
p0830,議会,連邦,1,1.77,3.61,180,140,1
p0831,詰まり,塵箱,1,1.23,2.26,170,130,0
p0832,脚本,書式,1,1.43,3.1,180,140,1
p0833,虐待,水槽,1,0.59,1.74,180,140,0
p0834,休日,忠誠,1,0.39,1.39,180,150,1
p0835,吸収,手摺,1,1.07,2.25,150,150,1
p0836,宮殿,御所,1,3.46,4.27,170,150,1
p0837,救い,慈悲,1,3.44,4.42,170,160,1
p0838,救済,用途,1,0.95,2.04,170,150,0
p0839,球根,現状,1,0.71,1.09,150,150,0
p0840,居間,暖炉,1,1.54,3.81,180,130,1
p0841,拒絶,排除,1,2.89,3.94,180,160,1
p0842,拒否,実体,1,0.71,1.76,170,140,0
p0843,漁業,短歌,1,0.41,0.92,180,130,0
p0844,供給,需要,1,1.31,4.88,170,160,1
p0845,競馬,設定,1,0.61,1.66,160,120,0
p0846,共同,協力,1,3.65,4.4,170,140,1
p0847,協調,連携,1,3.68,4.26,170,150,1
p0848,協定,合意,1,3.14,4.17,160,100,1
p0849,協定,配置,1,1.18,2.38,180,130,1
p0850,協同,団結,1,3.51,4.36,160,170,1
p0851,協力,提携,1,3.82,4.67,190,140,1
p0852,協力,連携,1,4.21,4.79,150,140,1
p0853,境界,地層,1,1.64,3.22,170,130,1
p0854,強化,群れ,1,0.75,2.24,170,140,1
p0855,強制,移住,1,0.65,2.11,150,140,1
p0856,強調,先駆,1,1.03,2.31,190,140,0
p0857,強度,蛍光,1,0.64,1.65,180,140,0
p0858,強盗,略奪,1,4.16,4.42,160,150,1
p0859,恐竜,殿下,1,0.54,0.96,160,170,0
p0860,教育,訓練,1,3.35,4.21,130,150,1
p0861,教育,養成,1,3.72,4.29,180,150,1
p0862,教会,聖堂,1,4.09,4.71,190,140,1
p0863,教訓,比喩,1,1.28,2.55,180,150,0
p0864,教授,大佐,1,1.16,1.98,170,130,1
p0865,教養,育ち,1,2.35,3.99,170,150,1
p0866,教養,訓練,1,1.97,3.33,150,150,1
p0867,興味,関心,1,4.45,5.09,160,120,1
p0868,凝視,会釈,1,0.81,1.92,160,150,0
p0869,業者,名簿,1,1.09,3.38,170,160,1
p0870,業務,課題,1,1.85,3.49,170,150,1
p0871,勤め,責任,1,2.35,3.85,150,140,1
p0872,勤め,奉公,1,3.67,4.33,180,160,1
p0873,勤め,奉仕,1,3.05,3.99,170,160,1
p0874,禁止,独占,1,1.22,2.78,130,150,1
p0875,金額,控除,1,1.1,3.61,170,150,1
p0876,金持ち,感情,1,0.62,1.58,160,100,1
p0877,金属,慈悲,1,0.52,0.92,160,150,0
p0878,銀河,円盤,1,1.08,2.87,160,100,1
p0879,区画,部門,1,2.27,3.5,190,140,1
p0880,区間,上着,1,0.66,1.07,150,150,0
p0881,区間,本線,1,1.49,3.5,170,160,1
p0882,区分,部署,1,2.32,3.69,190,140,1
p0883,苦手,足元,1,0.55,1.49,160,150,0
p0884,苦痛,右腕,1,0.74,1.64,170,150,0
p0885,空想,錯覚,1,1.86,3.24,150,150,1
p0886,空想,産物,1,1.19,2.41,180,130,1
p0887,空想,年金,1,0.45,1.21,160,150,1
p0888,空中,保証,1,0.55,1.17,170,160,1
p0889,空洞,白書,1,0.98,1.51,160,100,0
p0890,空母,搭乗,1,1.22,3.39,170,150,1
p0891,隅々,流し,1,0.82,1.97,160,170,0
p0892,繰り返し,反響,1,1.56,2.88,160,150,1
p0893,訓練,養成,1,3.61,4.37,140,130,1
p0894,傾斜,車体,1,0.69,2.26,180,140,0
p0895,刑罰,知恵,1,0.69,1.68,170,130,0
p0896,刑罰,批判,1,1.43,2.8,160,150,0
p0897,兄弟,姉妹,1,4.25,4.92,180,160,1
p0898,契約,性別,1,0.58,1.52,180,130,0
p0899,形状,格好,1,3.15,3.82,130,150,1
p0900,形状,表情,1,1.72,2.77,170,150,1
p0901,形態,様式,1,3.66,4.13,180,150,1
p0902,形態,類型,1,2.57,3.64,160,120,1
p0903,恵み,愛想,1,1.5,2.6,170,160,1
p0904,敬意,対称,1,1.02,1.79,130,150,0
p0905,景観,眺め,1,4.68,4.94,180,160,1
p0906,景色,眺め,1,4.7,4.91,180,150,1
p0907,稽古,養成,1,2.73,4.07,160,170,1
p0908,系統,配列,1,2.36,3.72,170,130,1
p0909,経路,途方,1,1.14,2.35,160,150,1
p0910,経路,道筋,1,4.22,4.27,170,150,1
p0911,繋がり,関連,1,4.22,4.65,130,150,1
p0912,繋がり,連鎖,1,3.82,4.57,170,150,1
p0913,警戒,色彩,1,0.51,1.67,180,150,0
p0914,芸者,人口,1,0.61,1.55,170,130,0
p0915,芸人,着替え,1,0.7,1.99,160,150,0
p0916,欠点,縁側,1,0.58,1.36,190,140,0
p0917,決まり,規律,1,4.64,4.87,180,150,1
p0918,決断,結論,1,2.38,4.04,190,140,1
p0919,決定,結論,1,3.3,4.23,150,150,1
p0920,結合,関わり,1,2.46,3.74,170,150,1
p0921,血液,社交,1,0.66,1.62,170,130,0
p0922,血液,製剤,1,1.21,3.51,180,130,1
p0923,喧嘩,論争,1,3.09,4.12,140,130,1
p0924,嫌悪,一族,1,0.56,1.65,160,170,0
p0925,建て前,面目,1,3.1,3.75,160,100,1
p0926,建築,組み立て,1,3.29,4.29,180,140,1
p0927,建物,機構,1,1.42,2.76,160,170,1
p0928,建立,結構,1,0.67,1.61,150,140,0
p0929,建立,構築,1,3.36,4.04,170,130,1
p0930,憲兵,虐殺,1,1.01,2.8,180,150,1
p0931,憲法,条項,1,2.27,4.26,180,160,1
p0932,拳銃,口径,1,1.82,4.28,150,140,1
p0933,検察,調べ,1,2.7,4.33,150,140,1
p0934,検定,調査,1,1.95,3.06,150,140,1
p0935,検討,考慮,1,3.89,4.24,160,100,1
p0936,権利,資格,1,2.33,3.29,130,150,1
p0937,権利,扶養,1,0.92,2.75,180,150,1
p0938,見解,観点,1,3.23,4.01,180,160,1
p0939,見掛け,浴槽,1,0.55,1.23,170,130,0
p0940,見込み,配当,1,1.39,3.14,160,150,1
p0941,見出し,椅子,1,0.55,1.11,140,130,0
p0942,見直し,補正,1,3.54,4.24,140,130,1
p0943,見通し,略奪,1,0.73,1.43,170,160,0
p0944,見舞い,視察,1,1.77,2.81,160,120,1
p0945,見物,視察,1,3.08,3.88,130,150,1
p0946,元気,活力,1,4.31,4.73,180,150,1
p0947,元素,野菜,1,0.74,2.28,160,120,0
p0948,原型,生物,1,0.94,2.67,170,130,1
p0949,原型,石膏,1,1.49,3.14,180,160,1
p0950,原子,崇拝,1,0.61,1.4,140,130,0
p0951,原則,規律,1,3.27,4.12,180,150,1
p0952,原則,定め,1,3.62,4.29,170,130,1
p0953,原点,静止,1,0.95,2.16,170,130,0
p0954,幻想,錯覚,1,3.67,4.32,160,100,1
p0955,減少,縮小,1,3.68,4.52,170,130,1
p0956,減少,贈り物,1,0.65,1.69,190,140,0
p0957,源泉,注釈,1,0.91,1.72,150,140,0
p0958,現状,接着,1,0.75,1.81,170,130,0
p0959,言い訳,謝罪,1,1.86,3.81,170,140,1
p0960,言葉遣い,市場,1,0.68,1.41,150,140,0
p0961,言葉遣い,来客,1,0.85,3.25,180,130,0
p0962,限定,前進,1,0.67,1.42,160,150,0
p0963,限度,配置,1,0.88,1.82,170,130,0
p0964,古典,力学,1,0.98,2.04,160,100,0
p0965,戸口,玄関,1,4.14,4.62,160,100,1
p0966,胡瓜,自負,1,0.85,1.63,190,140,0
p0967,胡桃,陽気,1,0.8,1.7,150,140,0
p0968,胡麻,司法,1,0.54,0.84,170,150,0
p0969,顧客,抽出,1,0.84,2.41,190,140,0
p0970,午後,昼食,1,1.94,3.96,160,170,1
p0971,後ろ,背中,1,2.98,4.3,180,150,1
p0972,後者,用事,1,0.72,1.36,170,150,0
p0973,後方,裏手,1,3.14,3.8,140,130,1
p0974,御陰,援助,1,2.03,3.04,170,150,1
p0975,御殿,王宮,1,4.12,4.51,170,130,1
p0976,御負け,追加,1,1.69,2.7,170,130,0
p0977,御免,解雇,1,1.89,3.33,160,120,1
p0978,御覧,監査,1,1.7,2.43,170,130,1
