"ja_target","ja_cue","ja_fake_cue","ja_fake_target","en_cue","en_target"
"建物","タワー","怪談ー","いづ","tower","building"
"建築家","エンジニア","エンエリア","きい家","engineer","architect"
"式","儀式","子に","いに","ritual","ceremony"
"引きつける","注意","のス","デルつける","attention","attract"
"引く","押す","横東","ノム","push","pull"
"弱い","強い","ト郡","順番","strong","weak"
"強く","しっかりと","tfかりと","麻友","firmly","strongly"
"強盗","盗難","字名","培養","theft","robbery"
"後方","フロント","はるント","準同","front","rear"
"心理学","解剖学","せー学","本多学","anatomy","psychology"
"心理学","医学","繚乱","本多学","medical","psychological"
"心配","懸念","嫌な","すじ","concern","worry"
"必要","必要","하여","トレ","necessary","need"
"忠実な","忠実","ベサ","翔大な","loyal","faithful"
"怒り","怒り","なべ","の路","anger","rage"
"怒り","突然","申紋","の路","suddenly","unexpectedly"
"怒り","嫉妬","七星","の路","jealous","angry"
"思いやり","忍耐","ケプ","思いทธ","patience","compassion"
"恐らく","多分","グマ","ーーく","maybe","probably"
"恐れ","ホラー","上院ー","なを","horror","fear"
"恐ろしい","恐れる","監督る","シエしい","scare","frighten"
"恐喝","賄賂","氷点","けら","bribe","blackmail"
"息子","娘","ご気","ッコ","daughter","son"
"悪い","良い","اء","呼べ","good","bad"
"悪魔","天使","ツキ","春秋","angel","devil"
"悲劇的な","悲しい","いがい","悲劇査官","sad","tragic"
"悲惨な","貧困","と題","３　な","poverty","misery"
"情報","データ","誰もタ","クイ","data","information"
"情報提供者","ソース","ームス","コロ提供者","source","informant"
"情熱","熱意","立方","ウナ","enthusiasm","passion"
"意味","概念","メサ","マク","concept","definition"
"愚か者","バカ","zf","hを者","fool","idiot"
"愚か者","狂気","げて","hを者","madness","stupidity"
"愛","嫌い","ム郡","善右","hate","love"
"愛人","愛人","いに","と刻","mistress","lover"
"感情の","メンタル","家にタル","共役の","mental","emotional"
"感染","ウイルス","ョナルス","乗せ","virus","infection"
"感謝","ありがたい","ありおくい","だか","grateful","thank"
"感謝","おもてなし","ピクてなし","だか","hospitality","gratitude"
"感謝する","憧れ","見先","よこする","admire","appreciate"
"慈悲","許し","光秀","おわ","forgiveness","mercy"
"態度","意見","セバ","お探","opinion","attitude"
"憲法","法","ご回","観音","law","constitution"
"成功した","管理","気か","の地した","manage","succeed"
"戦い","戦争","пр","赤の","war","battle"
"戦場","アリーナ","手をーナ","向け","arena","battlefield"
"戦士","チャンピオン","せいンピオン","亀太","champion","fighter"
"戦士","兵隊","旧技","亀太","soldier","warrior"
"戻る","戻る","スb","冒険","back","return"
"所得","利益","協定","プイ","profit","income"
"手紙","電報","なも","yf","telegram","letter"
"手術","為替える","単于える","霊場","operate","surgery"
"手順","処理する","吉沢する","法務","process","procedure"
"払う","無駄","qf","帰ろ","waste","spend"
"承認","許可","酔っ","容赦","permission","approval"
"技術","方法","ーノ","ピカ","method","technique"
"投票","多数","紀元","話t","majority","vote"
"投資","ファイナンス","ファイナii","ーず","finance","invest"
"投資家","バンカー","ようカー","ミハ家","banker","investor"
"抵抗","抵抗","を果","ệt","resistance","resist"
"押す","ボタン","四季ン","宮窪","button","press"
"拉致","誘拐","江ノ","デロ","kidnap","abduct"
"拷問","苦しめる","勧告める","は不","torment","torture"
"指紋","dna","スケa","様子","dna","fingerprint"
"挨拶","祝う","ひは","返し","congratulate","greet"
"捕り物","獲物","画図","イグ物","prey","predator"
"捜査官","アナリスト","何とリスト","久夫官","analyst","investigator"
"探す","探す","𒅌ဪ","左岸","search","find"
"探偵","エージェント","さくジェント","セン","agent","detective"
"控えめ","謙虚","っか","本覚め","humble","modest"
"描く","ペイント","えばント","流し","paint","draw"
"提供","有効","ツナ","はチ","enable","provide"
"提案","提示する","町名する","面白","propose","suggest"
"換気","バルブ","nrブ","地五","valve","ventilation"
"操作する","コントロール","ライトロール","若菜する","control","manipulate"
"支援","サポート","深海ート","を次","support","assistance"
"支援する","ヘルプ","azプ","輝彦する","help","assist"
"改善","変化する","夫人する","標記","change","improvement"
"攻撃","侵入","レが","サザ","invasion","attack"
"放射線","汚染","聴い","外務線","contamination","radiation"
"放棄する","離れる","除去る","văする","leave","abandon"
"政府","管理","気か","ガル","administration","government"
"政治","ジャーナリズム","ジャバカリズム","テレ","journalism","politics"
"政治家","ポリシー","mfシー","南ア家","policy","politician"
"政治的","致命的","きる的","おば的","critical","political"
"故意に","偶発的に","古い的に","カマに","accidentally","intentionally"
"救世主","勇者","背番","騎士主","hero","savior"
"敗北","勝利","季彦","お台","victory","defeat"
"教えて","いう","チケ","くれて","say","tell"
"教える","学び","ダネ","iaる","learn","teach"
"教授","ディーンの","やまーンの","来ま","dean","professor"
"教育","健康","海王","補完","health","education"
"散歩","昼寝","八坂","に昇","nap","stroll"
"数学","物理","sで","が丘","physics","mathematics"
"整理","整える","芦原る","九十","arrange","organize"
"文","語","せく","四郷","word","sentence"
"文学","美術","越前","白馬","art","literature"
"文明","文化","広基","ムh","culture","civilization"
"新聞","記事","ップ","サス","article","newspaper"
"日曜日","土曜日","スレ日","藤井日","Saturday","Sunday"
"早い","遅い","教職","だら","late","early"
"早く","ゆっくり","川内くり","忘れ","slowly","quickly"
"明らかに","明らかに","ネバかに","後にかに","clearly","obviously"
"明るい","輝く","留意","赤座い","shine","bright"
"映画","ポルノ","hdノ","クル","porn","movie"
"昨日","今日","qb","看護","today","yesterday"
"昼","夜中","を獲","者n","midnight","noon"
"暗い","風邪","慶応","ات","shadow","dark"
"暗殺者","傭兵","標記","も同者","mercenary","assassin"
"更新","新鮮な","門脇な","マグ","fresh","refresh"
"書きます","読んだ","警報だ","部活ます","read","write"
"書き込み","読む","道師","店舗込み","reading","writing"
"有名","人気","jú","是菩","popular","famous"
"有権者","候補者","書籍者","処理者","candidate","voter"
"有罪","無垢","はで","合族","innocent","guilty"
"朝","明日","ーリ","灰は","tomorrow","morning"
"朝ごはん","晩ごはん","千景はん","勝太はん","dinner","breakfast"
"木","ブッシュ","vlシュ","関与","bush","tree"
"本","聖書","会っ","実技","bible","book"
"本当","実際に","fxに","併誌","actually","really"
"本物","true","troo","の頃","TRUE","real"
"本部","ベース","はドス","調だ","base","headquarters"
"本音","ちゃんとした","たおんとした","理馬","decent","honest"
"村","キャンプ","キャoa","ニジ","camp","village"
"来て","到着","モフ","ビア","arrive","come"
"東","西","疯蛇","は略","west","east"
"枢機卿","司教","ヰタ","現況卿","bishop","cardinal"
"栄光","赫々","演藝","定へ","glorious","glory"
"株式会社","会社","当た","中野会社","company","corporation"
"核の","原子","況だ","ノク","atomic","nuclear"
"森","密林","石少","天の","jungle","forest"
"椅子","テーブル","良かブル","やら","table","chair"
"検察官","法律家","笑福家","やじ官","lawyer","prosecutor"
"検査","検査","dɐ","宮杯","examination","inspection"
"楽しい","快適","人か","しえい","comfortable","pleasant"
"楽器","道具","きね","なで","tool","instrument"
"構造","ピラミッド","パタミッド","пр","pyramid","structure"
"権限","管轄","はs","幸四","jurisdiction","authority"
"機械","ロボット","登場ット","ぱー","robot","machine"
"機械的な","テクニカル","ynニカル","機械آن","technical","mechanical"
"機能的に","勤務","八丁","法学的に","operational","functional"
"歌","アルバム","アルaz","無視","album","song"
"正しい","違う","ーグ","のアい","wrong","correct"
"正常","健康","海王","水族","healthy","normal"
"正式","正式に","ハイに","スロ","officially","official"
"正直","ロイヤリティ","半角ヤリティ","コミ","loyalty","honesty"
"正確","キャラクター","どこラクター","中だ","character","personality"
"正義","復讐","村民","タチ","revenge","justice"
"武器","兵器","子役","ラ種","arsenal","armory"
"武器","ピストル","畿内トル","ラ種","pistol","weapon"
"武士","忍者","ムッ","とお","ninja","samurai"
"歩く","走る","た郡","ロヴ","run","walk"
"歯","爪","くと","栗花","nail","tooth"
"死","生きている","自分ている","ﾏﾝ","alive","dead"
"死ぬ","苦しむ","へあむ","チョ","suffer","die"
"死体","体","の企","府県","body","corpse"
"残る","止まる","で始る","字d","stay","remain"
"残酷","残忍な","に編な","空シ","brutal","cruel"
"残酷","悪の","管制","空シ","evil","cruelty"
"段落","セクション","のバション","美代","section","paragraph"
"段階","辞書","ほた","の冪","dictionary","phrase"
"殺します","毒","ン５","執筆ます","poison","kill"
"殺人","自殺","たへ","催事","suicide","murder"
"殺人者","キラー","うきー","架空者","killer","murderer"
"毎週","毎日","号９","ラレ","daily","weekly"
"民主主義","自由","奈川","民主廃止","freedom","democracy"
"気味の悪い","怖い","サギ","将監の悪い","scary","creepy"
"水素","炭素","uí","全便","carbon","hydrogen"
"水面","層","桓武","毀損","layer","surface"
"氷結","溶けた","闇のた","月川","melt","freeze"
"永遠に","永遠","ッテ","ピロに","eternal","forever"
"決定","勇気","シビ","内務","courage","determination"
"沈黙","静けさ","真宏さ","存翁","silent","silence"
"油","石炭","のえ","ひね","coal","oil"
"法的","違法","張れ","新ス","illegal","legal"
"注入","用量","大善","副駅","dose","injection"
"注文","指図","未翻","菓子","command","order"
"泳ぐ","溺れる","義朗る","見区","drown","swim"
"洗う","綺麗","エブ","牛若","clean","wash"
"活動","ジェスチャー","アルスチャー","良く","gesture","act"
"活性化","引き金","中村金","彰彦化","trigger","activate"
"海岸","ビーチ","でもチ","人公","beach","coast"
"海洋","海","逆水","大言","sea","ocean"
"海軍","ナイカの","ナイ出島","今行","naval","fleet"
"海軍","マリン","リアン","今行","marine","navy"
"消失した","死","ノフ","孝太した","death","disappearance"
"混合","組み合わせ","でシ合わせ","김괘","combination","mixture"
"渇き","飢え","同姓","が丘","hunger","thirst"
"減らす","増加","まー","郁久す","increase","reduce"
"温度","熱","ャア","辨道","heat","temperature"
"港","湾","姉小","كن","bay","harbor"
"湖","川","直ぐ","ﾟｲ","river","lake"
"満杯","空","にリ","新宝","empty","full"
"準備","準備","従う","ちを","ready","prepare"
"濡れた","ドライ","トバイ","現した","dry","wet"
"火曜日","月曜","とび","セガ日","monday","tuesday"
"火炎","火","出ら","野手","fire","flame"
"無価値","使い物にならない","諾爾物にならない","財具値","useless","worthless"
"無力","無力","チオ","関ジ","helpless","powerless"
"無責任なことに","不合理な","不合領は","雅夫任なことに","unreasonable","irresponsible"
"熱","咳","宗主","泉州","cough","fever"
"燃料","ガス","vg","の企","gas","fuel"
"爆発","地震","gá","ọc","earthquake","explosion"
"爆発する","バースト","まつスト","生徒する","burst","explode"
"爆発物","爆弾","ねす","端末物","bomb","explosive"
"父親","母親","qs","残り","mother","father"
"物理的","性的","要項","力を的","sexual","physical"
"特に","文字通り","てい通り","时间","literally","practically"
"特急","説明","ンコ","ごえ","describe","express"
"犯罪","罪","擬古","四角","sin","crime"
"犯罪的","泥棒","川市","隣の的","thief","criminal"
"犯罪者に","侮辱","駆逐","奈々者に","insult","offend"
"狙撃兵","シューター","君はーター","せや兵","shooter","sniper"
"狼","くま","スケ","シエ","bear","wolf"
"猫","犬","雲霧","久利","dog","cat"
"献身","忠実","ベサ","立項","fidelity","devotion"
"玉ねぎ","ニンニク","ニン地名","済んぎ","garlic","onion"
"王位","クラウン","クラnh","そも","crown","throne"
"王国","王立","水児","ぴな","royal","kingdom"
"王子","お姫様","目白様","準拠","princess","prince"
"現実的","楽観的","遊女的","卒業的","optimistic","realistic"
"理科","テクノロジー","の場ノロジー","カノ","technology","science"
"理解する","気づく","たやく","kgする","realize","understand"
"生き残ります","住む","宝蔵","約束残ります","live","survive"
"生き物","モンスター","こっスター","みつ物","monster","creature"
"生物学","化学","かは","真庭学","chemistry","biology"
"生物学的","化学","かは","生物金蔵","chemical","biological"
"生産","作成","るの","ーい","create","produce"
"甥","孫","広太","金太","grandson","nephew"
"男の子","女の子","行こ子","背景子","girl","boy"
"画家","アーティスト","言っティスト","回送","artist","painter"
"疾患","インフルエンザ","インフルユーザ","マは","flu","disease"
"病気","病気","ぴこ","話p","ill","sick"
"症候群","症状","らす","西條群","symptom","syndrome"
"痛み","苦しむ","へあむ","培養","suffering","pain"
"癌","腫瘍","が主","方は","tumor","cancer"
"癒し","回復する","総計する","提起","recover","heal"
"発達","進捗","ふら","唐変","progress","development"
"百","千","オケ","周り","thousand","hundred"
"百姓","超自然","道元然","言論","supernatural","paranormal"
"皮肉な","アイロニー","アイイェー","闇大な","irony","ironic"
"皿","丼鉢","らと","カワ","bowl","plate"
"盟主","メンバー","注意バー","黒龍","member","leader"
"監督","プロデューサー","プロデュイター","ロバ","producer","director"
"目的","目的","艦艇","付与","purpose","intention"
"直感","本能","各曲","旋律","instinct","intuition"
"直接","直接","複合","本級","direct","directly"
"相手","敵","孤高","顕著","enemy","opponent"
"省","大使館","ノス館","姿三","embassy","ministry"
"睡眠","残り","月下","お伺","rest","sleep"
"知らせる","報告","事務","知らアー","report","inform"
"知り合わせる","認識","パソ","ガン合わせる","recognize","knew"
"知る","今","目の","せふ","now","know"
"知的","頭いい","夕食い","メリ","smart","intelligent"
"知識","経験","一杯","すへ","experience","knowledge"
"砂","泥","情け","の男","mud","sand"
"砲兵","騎兵","錬錬","唇を","cavalry","artillery"
"破壊","創立","де","巻き","creation","destruction"
"確認","確認","グリ","なよ","confirmation","confirm"
"確認","小切手","フス手","なよ","check","verify"
"示す","点","島式","ひむ","point","indicate"
"祖母","おじいさん","信用いさん","利三","grandfather","grandmother"
"神","神様","ヘコ","一寸","god","divine"
"神秘","秘密","南沙","れえ","secret","mystery"
"祭り","カーニバル","によニバル","セネ","carnival","festival"
"祭司","モンク","ダルク","해당","monk","priest"
"視点","見る","臣蔵","トd","view","perspective"
"禁止","禁断","ゴチ","前奏","forbidden","prohibit"
"秋","バネ","伯方","云彩","spring","autumn"
"科学者","天才","太助","架空者","genius","scientist"
"移行","動く","す鳥","天武","move","transfer"
"穴","割れ目","車体目","에게","crack","hole"
"究極","最後の","代表の","うひ","final","ultimate"
"空気","空気","めち","ノハ","air","oxygen"
"空港","ターミナル","好きミナル","気分","terminal","airport"
"突然変異","進化","説は","突然義清","evolution","mutation"
"竜巻","ハリケーン","ハリ打ゴン","دس","hurricane","tornado"
"笑う","笑顔","の鬣","ごだ","smile","laugh"
"第4","三番","法恩","謝肉","third","fourth"
"筋","神経","者s","宇佐","nerve","muscle"
"管理者","管理","気か","春日者","management","administrative"
"簡単","不可能","こが能","タメ","impossible","easy"
"粒子","案件","虹音","九頭","matter","particle"
"精神","魂","東の","サミ","soul","spirit"
"約束する","保証","ロq","映画する","guarantee","promise"
"紛争","対立","釣ち","で完","conflict","dispute"
"素晴らしい","素晴らしい","こみらしい","アヴらしい","wonderful","fantastic"
"素晴らしい","良い","اء","アヴらしい","nice","lovely"
"終了","終わり","アナり","しけ","end","finish"
"組織","肌","海王","勝馬","skin","tissue"
"結婚","独身","تي","融解","single","married"
"結婚","離婚","折り","融解","divorce","marriage"
"結婚式","婚約","春よ","ちほ式","engagement","wedding"
"結果","結果","類似","が重","result","outcome"
"結石","石","ヒガ","ガト","rock","stone"
"給料","年金","ロコ","清張","pension","salary"
"継承する","遺産","ラバ","三千する","heritage","inherit"
"継続する","続行","xρ","茶臼する","proceed","continue"
"維持","保存","ハプ","解り","preserve","maintain"
"綺麗な","かわいい","かわージ","難しな","pretty","beautiful"
"緊張","心配した","みました","に加","worried","nervous"
"緊急","急","ブテ","s系","urgent","emergency"
"繋がり","連絡先","kk先","改善り","contact","connection"
"置く","入れる","ドキる","vă","insert","put"
"美しさ","魅力","毀損","ハミさ","charm","beauty"
"美味しい","美味しい","量がしい","は全しい","tasty","delicious"
"美術館","図書館","eo館","てし館","library","museum"
"考える","検討","者i","ryる","consider","think"
"耳","目","監禁","ムセ","eye","ear"
"耳の不自由な","盲目","法華","耳の不自講師","blind","deaf"
"聞く","質問","け前","に加","question","ask"
"聞く","聞く","バビ","に加","listen","hear"
"肝臓","肝臓","怪毛","愛好","kidney","liver"
"胸","お腹","に記","ねが","stomach","chest"
"能力","容量","色空","王政","capacity","ability"
"脳の","脳","ní","穴守","brain","cerebral"
"腕","手","ギレ","イボ","hand","arm"
"腹部","脊髄","ざめ","天丼","spinal","abdominal"
"膝","ショルダー","ショトキー","出現","shoulder","knee"
"自信","尊敬","ト名","當麻","respect","confidence"
"自己中","頑固","ルバ","聞き中","stubborn","selfish"
"自由","自由に","nmに","杯u","freely","free"
"自発的に","ボランティア","さやンティア","共犯的に","volunteer","voluntarily"
"致命的","致命的な","変ね的な","隆二的","deadly","fatal"
"興奮した","誇り","安五","優作した","proud","excited"
"舐める","吸う","野尾","玉城る","suck","lick"
"船員","海賊","ご本","東新","pirate","sailor"
"花","工場","下級","ウマ","plant","flower"
"花嫁","新郎","姉さ","誤差","groom","bride"
"若い","年","前の","nス","old","young"
"落ち着いて","静かな","ozな","ラテ着いて","quiet","calm"
"葉巻","煙","니다","どき","smoke","cigar"
"葬儀","棺桶","龍光","幻想","coffin","funeral"
"薬","アルコール","記事コール","ポジ","alcohol","drug"
"虫","クモ","はむ","各候","spider","insect"
"蟻","蜂","qr","ひて","bee","ant"
"行く","入力","員室","うよ","enter","go"
"街","アベニュー","káニュー","ハサ","avenue","street"
"衛生","レーダー","愛しダー","頭字","radar","satellite"
"装備","装置","町並","今が","equipment","equip"
"裏切者","スパイ","愛しイ","拡大者","spy","traitor"
"裸","ヌード","が置ド","ヘコ","nude","naked"
"製品","ブランド","ブラsh","たす","brand","product"
"製造","工場","下級","撲の","factory","production"
"褒美","ボーナス","アレナス","異邦","bonus","reward"
"西部の","南方の","睡蓮の","和田の","southern","western"
"見る","見る","臣蔵","トa","look","watch"
"覚えて","忘れる","用する","国際て","forget","remember"
"親","大人","の空","四迷","adult","parent"
"親密な","個人的","oa的","池内な","personal","intimate"
"親指","指","有値","令だ","finger","thumb"
"観客","群衆","る者","の置","crowd","audience"
"解任","辞任","ぶぞ","の儀","resignation","dismissal"
"言い訳","許す","を原","かけ訳","forgive","excuse"
"計算する","カウント","mhント","を舞する","count","calculate"
"討論","会話","奈川","輸送","conversation","discussion"
"診療所","病院","ド大","数式所","hospital","clinic"
"証拠","証拠","下表","初心","evidence","proof"
"証言","目撃者","こは者","材木","witness","testimony"
"詐欺","陰謀","三面","ノル","conspiracy","fraud"
"評価","観察","vớ","遼寧","observation","evaluation"
"評判","キャリア","どこリア","けえ","career","reputation"
"試み","試す","ów","酔っ","try","attempt"
"詩","文章","使い","天祖","text","poem"
"話す","トーク","ふるク","구비","talk","speak"
"誇張して","過小評価","ざけ評価","ünして","underestimate","exaggerate"
"誓い","誓う","明記","에는","swear","oath"
"誕生日","記念日","を採日","sj日","anniversary","birthday"
"説教","演説","天現","家康","speech","sermon"
"説明","プロフィール","パシフィール","イナ","profile","description"
"調和","残高","学ん","遠い","balance","harmony"
"調査","カプセル","せりセル","人よ","capsule","probe"
"調査","診る","と運","人よ","examine","investigate"
"講義","セミナー","訂正ナー","喜連","seminar","lecture"
"警報","警戒している","上手している","宝林","alert","alarm"
"谷","デザート","岡崎ート","年で","desert","valley"
"豚","牛","痛か","に値","cow","pig"
"財布","ポケット","セリット","床に","pocket","wallet"
"貨物","ロード","idド","表中","load","cargo"
"買い手","売り手","不変手","勝野手","seller","buyer"
"資料","ファイル","ファ訂正","一羽","file","document"
"資本主義","アナーキー","khーキー","же主義","anarchy","capitalism"
"資金調達","バジェット","一行ェット","諸葛調達","budget","funding"
"資金調達","財政的に","ドメ的に","諸葛調達","financially","financing"
"賞","ノーベル","ノーマー","春恋","nobel","prize"
"贈り物","褒め言葉","元秀言葉","茨城物","compliment","gift"
"起こる","発生する","昭子する","浪人る","occur","happen"
"起業家","富豪","妙見","八田家","millionaire","entrepreneur"
"路地","コーナー","コーィア","常光","corner","alley"
"身代金","誘拐犯","長兵犯","ケレ金","kidnapper","ransom"
"車","車両","의하","騒ぐ","vehicle","car"
"軌道","星","チハ","旧校","planet","orbit"
"軍","軍事","ギク","きけ","legion","army"
"軍隊","民生","霊場","八王","civil","military"
"輸送する","クルー","れいー","リロする","crew","ship"
"巡回する","ガード","センド","ссする","guard","patrol"
"近々","ただ","ルズ","ヤヤ","just","recently"
"返事","答え","コミ","ー卿","answer","reply"
"追加","追加","とあ","は小","extra","additional"
"追跡","従う","を復","の雪","follow","chase"
"送信","持っていく","持っと高く","のペ","bring","send"
"送信機","センサー","センze","加古機","sensor","transmitter"
"逃れる","逃亡する","nはする","久光る","flee","escape"
"逃亡者","難民","でお","孟春者","refugee","fugitive"
"逆に","反対","おば","白書","opposite","contrary"
"速い","スロー","神奈ー","工芸","slow","fast"
"速度","距離","ねと","未蘭","distance","speed"
"逮捕","懲罰する","梨乃する","みそ","punish","arrest"
"週","月","の建","スロ","month","week"
"運命","運命","発電","ゴジ","fate","destiny"
"運転者","乗客","荒丼","大谷者","passenger","driver"
"過去","最初","ムx","ガs","first","last"
"過去","将来","タチ","ガs","future","past"
"道","ルート","syト","ビフ","route","path"
"違う","似ている","難民いる","覚え","similar","different"
"遠い","近く","義晴","比較","near","far"
"適正","公平","ねず","né","fair","reasonable"
"選ぶ","開いた","徳三た","ラチ","open","close"
"選択する","選ぶ","神姫","fyする","choose","select"
"選挙","運動","田瞳","話森","campaign","election"
"酔っ払い","地味な","を和な","酔っ真紀","sober","drunk"
"醜い","消化する","計量する","旧字","digusting","ugly"
"重要","貴重","ウズ","曼蛇","valuable","important"
"重要性","意味","帰っ","以前性","meaning","importance"
"野球","スタジアム","ruジアム","の名","stadium","baseball"
"金属","鉄","は当","下ろ","iron","metal"
"金星","火星","様に","ام","mars","venus"
"金融","銀行","加害","s系","banking","financial"
"釣り","狩猟","番長","道後","hunting","fishing"
"銀","ゴールデン","みんルデン","談を","golden","silver"
"銀河","宇宙","だき","思え","universe","galaxy"
"銃","ライフル","ライト順","湯谷","rifle","gun"
"銃弾","口径","ゆれ","夢を","caliber","bullet"
"銅像","記念碑","停め碑","湯谷","monument","statue"
"鋼","コンクリート","コンルアート"," 日","concrete","steel"
"錯乱","混沌","体x","居酒","chaos","confusion"
"録音","記録","エチ","官殿","record","recording"
"鎧","シールド","ィフルド","は受","shield","armor"
"鏡","反射","何こ","るき","reflection","mirror"
"長さ","短い","島﨑","ルを","short","long"
"長さ","サイズ","yeズ","ルを","size","length"
"閉まっている","ロック","とりク","修学っている","locked","closed"
"閉鎖","斬る","メデ","写例","opening","closure"
"間違い","エラー","ンリー","ばいい","error","mistake"
"関税","責任","ớc","葱葱","responsibility","duty"
"限目","段階","南公","ばる","phase","period"
"陰茎","膣","衛生","心奈","vagina","penis"
"隠れる","カバー","矢島ー","今かる","cover","hide"
"集める","収集","dq","يعる","collect","gather"
"集中","集中","ẩm","ご機","focus","concentrate"
"雑誌","プレイボーイ","プレイボつと","英日","playboy","magazine"
"難しい","タフ","靖太","vkい","tough","hard"
"雪","雨","vö","るね","rain","snow"
"雰囲気","環境","りろ","アァ気","environment","atmosphere"
"電気","現在","にだ","ご用","current","electricity"
"電気の","磁気","原語","リアの","magnetic","electric"
"電話","電話","ーヴ","らば","call","telephone"
"霧","クラウド","クラオラ","単射","cloud","fog"
"青い","茶色","繁体","話東","brown","blue"
"面白い","エキサイティング","違いサイティング","wsい","exciting","interesting"
"面白い","お守り","本規り","wsい","witty","funny"
"靴","ブート","ibト","が貼","boot","shoe"
"音","ノイズ","後志ズ","青熊","noise","sound"
"音楽","ジャズ","バルズ","コ語","jazz","music"
"音楽家","歌手","xに","クー家","singer","musician"
"頬","リップ","全角プ","読ん","lip","cheek"
"頭蓋骨","骨","っち","ハド骨","bone","skull"
"頻繁","時折","上式","新東","sometimes","often"
"額","和","肝臓","るろ","sum","amount"
"顕微鏡","望遠鏡","窒う鏡","ひば鏡","telescope","microscope"
"顕著","例外的","吉永的","写例","exceptional","remarkable"
"願い","欲望","すで","を獲","desire","wish"
"飛ぶ","土地","済ん","忠左","land","fly"
"食べる","餌","なを","宇宙る","feed","eat"
"餌","トラップ","トラou","産駒","trap","bait"
"首","喉","夢に","樺島","throat","neck"
"香水","口紅","瑞泉","をよ","lipstick","perfume"
"駅","プラットホーム","プラ公式ホーム","aḥ","platform","station"
"高い","低い","者を","序ノ","low","high"
"高さ","威信","子市","慎う","majesty","highness"
"高さ","重さ","段組","慎う","weight","height"
"高速道路","道","ウツ","プー道路","road","highway"
"魅力的な","魅力的","形容的","望遠的な","attractive","charming"
"魔女","呪い","旧駅","ミハ","curse","witch"
"魔法使い","魔法","子を","魔法測定","magic","wizard"
"魚","鮫","ぶぞ","ナグ","shark","fish"
"鳥","蝶","ラモ","の小","butterfly","bird"
"黄","赤","因果","ダデ","red","yellow"
"鼻","口","数代","スマ","mouth","nose"
